cluster_number,consensus_annotation
733,Ribosomal RNA small subunit methyltransferase I
734,Ribosomal silencing factor RsfS
735,Ribosome hibernation promotion factor
736,Ribosome maturation factor RimM
737,Ribosome maturation factor RimP
738,Ribosome-binding ATPase YchF
739,Ribosome-binding factor A
740,Ribosome-recycling factor
741,Ribulose-phosphate 3-epimerase
742,RNA polymerase sigma factor RpoD
743,RNA polymerase-binding protein RbpA
744,RNA polymerase-binding transcription factor CarD
745,RNA pyrophosphohydrolase
746,S-(hydroxymethyl)mycothiol dehydrogenase
747,S-adenosylmethionine synthase
748,Sec-independent protein translocase protein TatA
749,Sec-independent protein translocase protein TatC
750,Sensory transduction protein regX3
751,Serine acetyltransferase
752,Serine hydroxymethyltransferase 1
753,Serine--tRNA ligase
754,Serine/threonine transporter SstT
755,Serine/threonine-protein kinase PknD
756,Shikimate kinase
757,Short-chain-enoyl-CoA hydratase
758,Signal peptidase I
759,Signal recognition particle protein
760,Signal recognition particle receptor FtsY
761,Single-stranded DNA-binding protein
762,Siroheme synthase
763,Small ribosomal subunit biogenesis GTPase RsgA
764,Sodium/proton-dependent alanine carrier protein
765,Sorbitol dehydrogenase
766,SOS response-associated protein YedK
767,Sporulation initiation inhibitor protein Soj
768,SsrA-binding protein
769,Steroid 3-ketoacyl-CoA thiolase
770,Succinate dehydrogenase 2 membrane subunit SdhC
771,Succinate dehydrogenase flavoprotein subunit
772,Succinate--CoA ligase [ADP-forming] subunit alpha
773,Succinate--CoA ligase [ADP-forming] subunit beta
774,Succinate-semialdehyde dehydrogenase
775,Succinate-semialdehyde dehydrogenase [NADP(+)] 1
776,Succinyl-CoA:acetate CoA-transferase
777,Succinyl-diaminopimelate desuccinylase
778,Sulfate adenylyltransferase subunit 2
779,Sulfite reductase [ferredoxin]
780,Superoxide dismutase [Mn]
781,Swarming motility protein SwrC
782,Thermostable monoacylglycerol lipase
783,Thiamine thiazole synthase
784,Thiamine-monophosphate kinase
785,Thiamine-phosphate synthase
786,Thiazole synthase
787,Thiol peroxidase
788,Thiol-disulfide oxidoreductase ResA
789,Thiol:disulfide interchange protein DsbD
790,Thioredoxin
791,Thioredoxin reductase
792,Thioredoxin-like reductase
793,Threonine synthase
794,Threonine--tRNA ligase
795,Threonine/homoserine exporter RhtA
796,Thymidine kinase
797,Thymidine phosphorylase
798,Thymidylate kinase
799,Transaldolase
800,Transcription antitermination protein NusB
801,Transcription elongation factor GreA
802,Transcription termination factor Rho
803,Transcription termination/antitermination protein NusA
804,Transcription termination/antitermination protein NusG
805,Transcription-repair-coupling factor
806,Transcriptional regulator FurA
807,Transcriptional regulator MraZ
808,Transcriptional regulator WhiB
809,Transcriptional regulator WhiB1
810,Transcriptional regulatory protein DegU
811,Transcriptional regulatory protein LiaR
812,Transcriptional regulatory protein LnrK
813,Transcriptional repressor NrdR
814,Transketolase
815,Translation initiation factor IF-1
816,Translation initiation factor IF-2
817,Translation initiation factor IF-3
818,Trehalose import ATP-binding protein SugC
819,Trehalose transport system permease protein SugA
820,Trehalose transport system permease protein SugB
821,Trehalose-6-phosphate hydrolase
822,Trehalose-binding lipoprotein LpqY
823,Trigger factor
824,Triosephosphate isomerase
825,tRNA (cytidine(34)-2'-O)-methyltransferase
826,tRNA (guanine-N(1)-)-methyltransferase
827,tRNA (guanine-N(7)-)-methyltransferase
828,tRNA (guanosine(18)-2'-O)-methyltransferase
829,tRNA dimethylallyltransferase
830,tRNA N6-adenosine threonylcarbamoyltransferase
831,tRNA pseudouridine synthase A
832,tRNA pseudouridine synthase B
833,tRNA(Ile)-lysidine synthase
834,tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
835,tRNA-modifying protein YgfZ
836,tRNA-specific 2-thiouridylase MnmA
837,tRNA-specific adenosine deaminase
838,Tryptophan synthase alpha chain
839,Tryptophan synthase beta chain
840,Tryptophan--tRNA ligase
841,Tyrosine recombinase XerC
842,Tyrosine recombinase XerD
843,Tyrosine--tRNA ligase
844,UDP-glucose 4-epimerase
845,UDP-N-acetyl-D-mannosamine dehydrogenase
846,UDP-N-acetylenolpyruvoylglucosamine reductase
847,UDP-N-acetylglucosamine 2-epimerase
848,UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase
849,UDP-N-acetylmuramate--L-alanine ligase
850,"UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase"
851,UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase
852,UDP-N-acetylmuramoylalanine--D-glutamate ligase
853,Ultraviolet N-glycosylase/AP lyase
854,Undecaprenyl-diphosphatase
855,Undecaprenyl-phosphate mannosyltransferase
856,Universal stress protein
857,Uracil phosphoribosyltransferase
858,Uracil-DNA glycosylase
859,Uridine kinase
860,Uridylate kinase
861,Urocanate hydratase
862,Uroporphyrinogen decarboxylase
863,UTP--glucose-1-phosphate uridylyltransferase
864,UvrABC system protein A
865,UvrABC system protein B
866,UvrABC system protein C
867,Valine--tRNA ligase
868,Vegetative protein 296
869,Vitamin B12 import ATP-binding protein BtuD
870,Vitamin B12 import system permease protein BtuC
871,Xaa-Pro aminopeptidase 1
872,Xylose import ATP-binding protein XylG
873,Zinc metalloprotease Rip1
874,Zinc transporter ZupT
875,Zinc uptake regulation protein
