gene	variance_log2_tpm	mad_log2_tpm	cluster0_median	cluster1_median	delta_cluster1_minus_cluster0	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9
S100A2	3.23609	0.856867	9.35953	5.83154	-3.52799	9.35953	5.57949	6.20101	8.7748	5.75709	8.79509	5.90599	9.63167	9.52147
ZDHHC11B	3.23371	1.10019	0.815004	4.34323	3.52823	0.815004	3.64468	4.72146	0.48314	4.29773	1.58333	4.38873	1.17993	0.657589
TMPRSS11A	3.19896	1.38765	3.25737	0.240929	-3.01644	4.53343	0.358439	0.0959714	3.95227	0.339608	3.25737	0.14225	3.029	1.48362
KRT27	3.1969	0.190274	0.757327	0.502078	-0.255249	0.815004	0.420558	0.567053	0.48314	0.437104	0.253361	4.70472	0.757327	4.42837
STEAP4	3.1883	1.97119	7.82229	4.17034	-3.65195	7.88077	5.01877	3.83547	8.23423	3.83498	7.03184	4.50522	5.85111	7.82229
CMAHP	3.17943	1.75991	2.38147	5.50129	3.11982	2.38147	5.33126	5.68231	1.35126	5.53285	3.11117	5.46973	2.5723	1.83448
POSTN	3.17825	1.45398	6.0267	8.3892	2.3625	6.0267	8.12779	8.65061	4.73644	7.73335	6.6738	9.98147	4.67935	6.33656
LIPG	3.16768	1.20844	5.63253	2.02357	-3.60897	5.66587	1.95486	3.40069	5.63253	1.55893	4.76277	2.09227	4.45743	6.23084
GALNT16	3.16753	0.915901	0.962911	4.32994	3.36703	0.499951	4.39788	3.4286	0.523623	4.60623	1.05318	4.262	0.962911	1.41585
TXLNGY	3.1521	0.394014	5.44107	5.65412	0.21305	5.75524	5.27352	0.350655	5.44107	6.12396	5.04705	6.03471	5.01329	5.65912
CLEC7A	3.13219	0.989411	6.03432	2.497	-3.53733	6.03432	2.50635	2.48764	6.29221	2.48555	5.3028	3.08964	5.99664	6.0939
SLC44A5	3.11474	0.586197	5.19653	3.34297	-1.85357	5.02745	1.72801	5.86196	4.44125	4.95792	5.19653	1.16575	5.39592	6.08983
TPPP3	3.11374	0.677831	5.59928	7.48444	1.88516	3.18209	7.43734	7.64679	3.28558	7.53154	7.1185	6.74507	6.8537	5.59928
PCOLCE2	3.10259	1.49985	0.757258	4.12917	3.37191	0.757258	3.7452	4.22325	0.110439	4.03509	0.428213	4.30801	1.38451	1.61029
FOXE1	3.09877	0.777345	4.78799	1.28475	-3.50323	4.85923	1.05084	0.755185	4.48034	2.18232	4.08189	1.51866	4.82701	4.78799
KRT16P2	3.08623	1.13218	3.30073	0.113546	-3.18718	4.39355	0.154214	0.498464	3.97434	0	1.20506	0.0728775	2.00731	3.30073
ZFY	3.08377	0.120698	5.52081	5.47171	-0.0491036	5.6017	5.5433	0.270654	5.41171	5.40011	5.65471	5.73268	5.33348	5.52081
SVEP1	3.06614	1.34154	2.91793	6.18281	3.26488	2.91793	6.0166	5.38269	2.26865	6.81458	3.61019	6.34902	2.90151	3.08861
CLEC3B	3.06258	1.45976	1.44775	4.54174	3.09399	0.568706	4.5619	4.11287	0.710572	4.72198	1.44775	4.52158	1.64552	2.02846
SAMD9	3.05827	1.90328	7.67103	4.56122	-3.10981	7.67103	4.88471	4.31584	8.87354	4.55285	6.78798	4.56959	7.52042	7.80253
PRKY	3.04514	0.302849	4.80168	5.15598	0.354303	5.42984	4.84562	0	4.80168	5.86176	4.54277	5.46635	4.80045	4.89763
HLA-DRB5	3.0399	0.963085	2.47884	1.98348	-0.495358	4.47193	2.16905	1.20596	2.47884	1.79792	0.584146	2.42015	1.08531	6.03301
VNN1	3.02363	1.636	3.99543	0.535881	-3.45955	4.53772	0.64531	0.426452	4.08331	0.339608	2.44731	1.35297	3.78663	3.99543
SLIT3	3.02026	1.5071	4.13645	7.08074	2.94428	4.07693	7.00351	6.66917	2.76715	7.38193	4.13645	7.15796	4.16762	4.27425
XLOC_008878	3.01857	1.13938	3.43633	0.197014	-3.23931	3.88806	0.358439	0.0959714	3.43633	0.122303	2.74868	0.271724	3.87979	3.26266
TMEM56	3.01684	0.750246	1.36415	3.60707	2.24292	1.2513	3.71453	6.54607	0.906985	2.2375	1.36415	3.49961	2.98774	3.469
FAM153B	3.00617	1.45428	0.655624	3.83125	3.17562	0.351753	4.12689	3.8493	0.110439	3.77097	1.56472	3.81319	0.655624	0.770419
XLOC_013994	2.99767	1.25727	9.88729	8.58271	-1.30458	8.0181	9.27537	7.39829	9.15126	9.80017	12.9452	7.89004	9.88729	11.0796
SOX5	2.99547	1.55542	2.03795	5.41764	3.3797	1.77229	5.31908	5.7631	2.67131	4.78352	3.22811	5.5162	2.03795	1.48362
CFD	2.95271	1.49112	3.74081	7.03872	3.29791	3.14879	7.01299	6.43462	3.77916	7.23462	3.61019	7.06444	3.74081	4.63992
CLDN8	2.95072	1.17885	0.94224	4.28602	3.34378	0.757258	4.91739	4.16911	1.18454	3.09086	0.94224	4.40293	0.655624	1.83448
PNPLA5	2.94971	1.19508	0.157288	2.15479	1.9975	0.096299	2.87138	5.38269	0.0562759	0.695368	0.157288	1.43819	1.35236	1.8602
USP9Y	2.94618	0.611029	5.28202	6.04979	0.76777	5.42057	6.0316	0.632528	5.28202	6.06798	5.5054	6.28432	4.75507	5.27524
RND1	2.94347	1.48799	3.4437	0.212969	-3.23073	3.81918	0.154214	0.0959714	3.99608	0.437104	3.20427	0.271724	2.50809	3.4437
COL1A1	2.9422	1.15675	7.36571	9.93189	2.56618	7.74902	10.5868	9.2906	7.60644	8.90577	6.94189	10.5732	5.41938	7.36571
TIMP3	2.93982	1.54887	4.09662	7.18679	3.09017	4.26995	7.25596	6.80316	3.15638	7.42639	3.80111	7.11762	4.09662	4.70524
CLSTN2	2.93753	1.48078	0.94224	4.15455	3.21231	0.499951	4.3706	4.71392	0.441488	3.9385	0.94224	3.78635	1.92227	1.88547
GAN	2.92916	1.07866	7.51621	10.7439	3.22766	7.4901	10.7391	10.7486	7.51621	10.8417	7.5548	10.4447	7.99269	6.91403
IGHG1	2.9275	1.00109	2.75552	1.19475	-1.56077	5.62408	3.67685	0.498464	3.67068	0.844979	0.822057	1.54452	2.75552	1.75443
SYT8	2.91865	1.25945	2.67131	5.119	2.44769	3.85403	5.11349	6.51711	2.67131	5.12451	1.32046	4.8672	2.75552	2.11648
FBLN1	2.91282	0.755298	4.48291	7.94585	3.46294	4.43097	7.97574	7.17065	4.48291	8.05656	4.53083	7.91596	4.41332	5.16862
TYRP1	2.91118	0.214204	8.64391	8.41192	-0.231989	3.76161	8.30909	8.35666	8.25297	9.16986	9.4463	8.46718	9.09354	8.64391
G41074	2.89232	1.35146	0.941463	3.52278	2.58132	0.096299	3.5296	3.4286	0.601333	3.51596	1.44775	5.05205	0.941463	1.26995
RAI14	2.89063	0.968301	3.40416	6.82883	3.42467	3.21464	6.21477	7.10729	3.40416	6.89184	4.18294	6.76582	3.30152	3.89323
CCDC80	2.89063	1.52531	5.30122	8.61086	3.30964	5.05167	9.07885	8.30425	4.86213	8.14849	6.08912	8.91746	5.30122	6.77895
MAP1A	2.87068	0.509887	2.4377	5.4609	3.0232	2.4377	5.15062	4.77681	2.17008	5.77118	2.45743	6.06851	1.99695	2.50683
MMP2	2.86778	1.2756	4.96493	8.17848	3.21355	5.70649	7.8684	6.95245	4.96493	8.88621	4.75458	8.48856	4.26365	6.03018
ELF3	2.86228	1.19205	4.62909	1.18754	-3.44155	4.62909	1.05084	0.755185	4.71912	1.32424	4.08842	1.84423	3.52706	4.69098
APOD	2.86097	1.35662	2.48604	5.45409	2.96806	1.40961	5.85306	4.45356	1.74283	5.52178	2.90477	5.38641	2.48604	3.09945
CMPK2	2.8536	1.34782	4.25959	1.28528	-2.97431	4.25959	1.16412	1.40645	5.17648	0.980523	3.82866	1.43819	3.99358	4.55189
ERAP2	2.85121	1.58617	6.27527	4.50673	-1.76854	7.05057	5.4644	2.93963	6.27527	3.54905	3.23988	5.808	6.85514	3.19352
SLC46A2	2.83677	1.27304	1.7965	4.86429	3.06778	2.03782	4.70605	5.02252	1.07983	5.12451	2.35287	4.38157	1.7965	1.30783
G29816	2.83014	1.68036	0.657589	3.68474	3.02715	0.568706	3.05883	2.68572	0.354393	4.31065	0.970784	4.89007	2.33795	0.657589
CD36	2.82896	1.27248	8.35955	5.20833	-3.15122	8.2089	5.29855	5.96246	8.35955	4.91203	7.76192	5.11811	8.65552	9.0344
NPY1R	2.82369	1.27252	1.59146	4.78339	3.19193	1.40961	4.49129	4.53286	1.13313	5.10239	1.92711	5.03391	1.59146	2.40565
GFRA1	2.82307	0.960112	2.59431	5.85667	3.26236	2.59431	5.44585	6.14742	2.40492	6.06608	2.68981	5.64726	2.47115	3.36503
AC006262.4	2.81819	1.35786	1.26995	4.71755	3.4476	0.815004	4.91199	4.57926	1.20957	4.85583	2.99786	4.41349	3.49797	1.26995
ABI3BP	2.81579	1.51827	2.86424	5.95114	3.0869	2.86424	5.55026	5.15097	2.73303	6.35201	3.6327	6.37177	2.06795	2.9154
OAS1	2.80684	1.43713	6.2929	3.24032	-3.05257	5.54949	3.17151	2.9525	6.64569	3.50476	6.1053	3.30914	6.2929	6.98662
IGLC3	2.77418	0.48314	0.298797	1.31443	1.01563	4.90316	3.17151	0.185955	0.48314	1.21851	0	1.41034	0.298797	0.253967
CDH12	2.77059	0.242825	0.253967	3.18157	2.9276	0.096299	2.76765	2.45181	0.0562759	4.08859	0.299101	3.59549	0.264661	0.253967
FAM21B	2.76837	1.09869	3.41466	0.641617	-2.77304	3.41466	0.480113	0.632528	0.48314	4.44564	3.62822	0.650707	3.45321	3.34695
LOR	2.76096	1.59823	6.57009	9.61562	3.04553	6.57009	9.60647	9.44395	5.92285	10.2782	7.1813	9.62476	8.00825	6.36492
FUT3	2.75424	0.622283	4.15462	1.00789	-3.14673	3.68625	0.64531	1.24835	4.30853	1.10442	4.03872	0.911356	4.27869	4.15462
HSD3B1	2.75122	0.209337	0.568706	1.41497	0.846268	0.568706	2.1324	5.40862	0	0.528426	1.85238	0.697551	0.488214	0.715107
PER1	2.74507	1.30093	3.06911	5.90176	2.83265	6.15383	6.74816	5.2689	4.53087	5.2337	2.76507	6.53462	3.06911	2.40565
