gene	Control_#1_T_cell	Control_#1_monocyte	Control_#1_neutrophil	Control_#1_platelet	Control_#1_B_cell	Control_#2_T_cell	Control_#2_monocyte	Control_#2_B_cell	Control_#2_neutrophil	Control_#3_T_cell	Control_#3_neutrophil	Control_#3_erythroid_lineage_cell	Control_#3_monocyte	Control_#3_platelet	Control_#3_B_cell	SARS_CoV2_pos_Mild_T_cell	SARS_CoV2_pos_Mild_neutrophil	SARS_CoV2_pos_Mild_B_cell	SARS_CoV2_pos_Mild_monocyte	SARS_CoV2_pos_Mild_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#1_platelet	SARS_CoV2_pos_Severe_#1_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#1_monocyte	SARS_CoV2_pos_Severe_#1_neutrophil	SARS_CoV2_pos_Severe_#1_T_cell	SARS_CoV2_pos_Severe_#1_B_cell	SARS_CoV2_pos_Severe_#2_monocyte	SARS_CoV2_pos_Severe_#2_neutrophil	SARS_CoV2_pos_Severe_#2_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#2_B_cell	SARS_CoV2_pos_Severe_#2_platelet	SARS_CoV2_pos_Severe_#2_T_cell	SARS_CoV2_pos_Severe_#3_T_cell	SARS_CoV2_pos_Severe_#3_B_cell
PPP1R15A	1324	426	20	1	46	1378	311	64	53	941	119	4	337	1	64	988	22	134	419	1	11	33	412	138	1068	232	494	1104	128	619	50	1610	46	12
FTL	2526	7552	57	111	135	3067	7164	228	204	2221	736	117	8353	157	231	7550	451	986	13307	226	444	1187	15293	1106	3881	1085	17588	5846	2953	1730	1973	6322	862	184
BAX	176	120	0	3	5	179	81	10	1	137	4	0	83	2	9	419	1	31	160	0	7	0	166	6	446	78	210	14	10	101	22	472	42	10
UIMC1	68	38	0	3	10	70	34	11	0	51	2	1	24	4	5	160	1	30	41	1	14	10	57	7	117	37	39	25	115	52	78	105	12	3
ADD1	157	59	0	1	9	152	45	22	0	111	5	1	29	1	15	417	0	75	99	3	3	23	91	7	256	68	79	28	63	88	16	272	39	16
SF3B2	256	116	1	0	12	230	99	16	4	206	12	0	88	0	27	727	6	61	163	1	4	1	187	19	463	86	167	69	8	107	8	516	76	13
GNAS	1455	523	2	76	72	1425	419	95	3	968	28	13	387	108	106	3308	14	374	671	23	295	198	769	49	2723	646	781	286	526	1056	884	3048	305	91
FKBP1A	196	358	2	18	6	168	277	14	8	164	21	1	282	24	11	553	13	60	457	0	91	0	591	22	426	69	569	182	19	67	253	446	84	20
MAVS	74	54	1	3	2	64	37	2	1	55	3	0	29	3	1	249	2	22	86	0	8	0	58	5	98	22	19	11	5	17	13	79	14	8
DYNLL1	142	89	0	37	6	143	53	11	0	135	2	8	61	30	15	613	0	69	285	30	82	58	133	2	273	27	146	13	394	40	243	269	42	17
RPL6	5189	1374	0	1	161	5253	1184	246	4	3994	3	2	1451	1	346	15704	0	1360	2523	8	2	18	1868	4	8833	1643	1666	28	143	2069	19	10679	1783	308
P2RX7	521	233	13	0	14	520	136	29	6	395	19	0	125	0	34	860	14	75	202	0	2	2	239	46	677	91	110	90	20	87	1	414	53	10
ANAPC5	389	128	0	14	15	328	109	21	1	314	6	0	102	13	27	870	2	92	153	1	25	1	193	21	640	91	127	47	5	96	25	519	85	23
FUS	1046	226	1	1	36	1244	175	53	3	646	21	1	190	0	67	2234	14	176	279	0	0	3	400	21	1477	283	355	162	22	355	9	1605	164	47
IGBP1	135	84	0	3	5	170	67	10	0	136	0	0	59	2	8	531	4	54	99	0	4	6	98	3	279	49	98	21	10	89	10	413	51	6
FXYD5	491	187	1	4	11	410	162	18	0	362	1	1	194	0	29	1431	1	87	335	2	37	1	276	3	786	67	310	25	9	113	93	1071	179	12
MLF2	111	61	3	0	5	109	60	7	1	66	16	1	44	1	6	234	6	26	76	1	0	5	80	23	146	22	77	89	9	41	8	172	23	12
ARHGAP4	109	80	2	0	2	120	49	7	1	78	3	1	75	1	13	310	3	26	73	0	2	2	114	4	233	34	120	45	3	59	1	219	28	7
GPATCH2L	112	61	3	0	2	88	50	21	1	100	15	1	55	0	12	304	1	32	84	1	3	1	86	14	195	46	84	57	6	30	9	134	23	2
PAPOLA	304	180	3	4	13	367	137	32	2	236	11	3	130	2	38	778	9	88	246	7	2	18	252	9	574	136	280	132	66	156	41	603	62	17
YPEL3	383	102	3	1	11	370	84	19	4	234	61	31	90	0	24	776	26	105	153	59	8	180	171	63	474	92	125	324	672	105	38	462	88	15
NUDC	148	45	1	1	5	170	36	8	0	124	4	1	45	1	7	519	2	41	90	0	2	1	68	3	261	33	74	7	18	61	6	319	49	7
GNPTG	272	143	4	1	9	298	86	13	4	212	12	0	79	0	9	611	7	58	132	1	1	2	128	18	378	67	114	51	5	45	4	271	67	5
OSBPL8	287	151	3	1	8	288	141	22	3	205	21	0	137	0	15	682	19	54	281	0	8	2	257	40	483	77	296	315	12	82	31	498	53	8
TXNL1	125	36	1	0	3	120	36	6	0	87	5	3	28	1	5	380	3	37	90	2	5	19	71	8	238	55	91	26	134	59	28	271	44	2
CMTM6	126	251	6	4	9	142	201	25	10	101	58	1	176	10	17	299	19	74	372	0	38	0	335	57	289	95	435	239	3	158	127	429	38	9
CDV3	309	223	0	0	12	322	185	19	5	248	15	2	167	2	17	771	4	65	315	2	7	14	393	25	620	165	475	105	40	229	20	720	80	11
SCFD1	384	221	1	0	14	467	168	27	1	301	11	0	171	0	23	1030	2	99	261	0	3	14	333	30	768	172	336	80	12	202	6	619	85	17
HECTD1	214	90	1	1	9	255	56	14	2	203	5	1	67	0	23	586	1	68	145	1	0	6	177	6	470	90	132	17	10	106	6	343	43	18
HNRNPC	763	307	6	2	32	817	229	47	9	632	34	1	240	3	50	1584	22	143	420	0	6	11	445	31	1375	246	474	243	63	440	35	1745	128	29
SNAP23	58	69	0	15	3	67	50	10	3	42	11	1	50	10	6	154	2	45	106	0	59	0	89	2	85	40	91	48	13	44	268	86	20	7
MYL6	1232	835	16	115	21	1378	739	60	29	928	107	84	801	191	56	3170	41	203	1257	77	555	378	1552	76	2589	238	2142	1075	926	480	1865	3047	371	59
RFFL	590	183	7	1	18	515	142	43	8	432	27	1	111	0	35	1539	12	146	293	0	1	5	306	42	1010	155	133	96	15	138	2	560	176	43
MFSD11	174	61	1	0	4	137	41	8	2	74	2	0	39	0	7	266	1	25	69	0	3	1	63	12	224	39	46	36	5	33	7	151	24	7
LRRFIP2	44	45	0	3	3	43	60	4	2	46	1	0	29	3	6	127	3	15	50	0	11	3	79	10	96	22	91	25	29	27	44	94	9	3
WAC	331	165	8	1	7	307	111	18	3	227	35	1	163	0	20	682	16	70	231	4	4	14	260	57	552	132	262	193	55	185	18	463	50	13
HSP90AB1	1342	324	0	0	100	1476	230	120	0	905	3	18	249	0	112	2808	0	329	439	15	1	48	366	2	2199	584	503	13	613	963	19	3207	301	77
HNRNPH3	280	95	0	0	14	293	88	20	3	218	4	0	75	0	14	627	5	52	150	0	10	2	171	16	581	112	167	72	10	171	21	626	54	10
SH3GLB1	150	101	2	6	7	138	91	8	4	119	24	3	88	1	7	310	14	37	162	2	3	7	197	27	319	31	189	162	28	105	42	296	32	5
RAB18	174	60	0	0	9	174	34	6	5	131	6	0	51	0	9	350	3	26	93	0	2	1	99	6	240	54	97	55	13	59	5	319	44	6
MYO9B	128	147	2	0	5	137	133	8	4	93	17	0	108	1	12	291	2	26	224	0	0	0	258	23	220	70	189	100	1	54	5	162	35	10
KCNK6	828	353	10	8	43	782	276	56	3	553	48	1	241	3	51	1957	21	214	483	0	5	5	539	69	1278	215	235	209	13	193	11	790	192	45
CIRBP	834	130	1	4	37	848	121	62	0	655	9	0	163	3	75	1668	2	183	201	1	13	5	189	4	1230	286	251	32	15	380	48	1391	159	47
ATP5F1D	710	248	5	2	34	653	215	37	6	518	19	0	200	4	44	1814	6	186	408	2	10	12	394	32	1238	210	297	63	41	244	33	1203	172	49
HNRNPM	359	158	2	0	20	302	111	19	2	248	5	0	98	0	9	818	0	75	172	0	2	4	188	6	598	90	174	20	15	121	6	677	93	11
POLR2E	119	85	0	2	4	121	63	8	1	103	2	1	77	4	11	269	3	36	87	1	13	1	124	1	238	32	92	13	11	33	41	247	32	6
MKNK2	114	42	2	0	3	148	69	12	5	71	7	2	29	1	12	276	10	63	83	12	0	13	59	24	139	90	33	61	45	74	2	121	19	9
SF3A1	117	44	0	1	3	119	24	4	2	71	0	1	24	0	5	232	4	17	51	0	7	4	44	8	172	27	37	32	11	27	14	173	13	4
MAPK1	90	81	1	2	4	134	79	4	1	85	11	2	66	3	2	203	4	21	112	3	6	19	141	18	141	24	111	109	67	41	41	152	17	4
GRK3	199	124	2	1	14	152	118	35	2	114	8	0	102	1	15	806	5	132	268	0	5	1	290	7	412	115	116	31	4	110	9	255	109	33
TRIOBP	58	62	1	0	4	94	50	3	2	53	7	0	49	1	5	182	2	20	87	0	0	0	92	6	103	14	75	49	1	22	8	97	15	0
DDX17	853	304	7	2	45	694	204	55	5	632	38	2	187	0	79	2349	23	271	432	2	7	12	314	38	1041	283	252	200	61	316	24	961	171	35
JOSD1	242	51	1	0	9	215	67	11	1	166	10	0	41	1	6	346	4	23	54	1	3	0	66	5	469	71	72	32	9	73	16	383	34	3
FBXO7	160	70	0	1	2	124	45	3	0	74	2	55	45	0	9	280	1	24	79	68	4	351	98	3	271	53	72	23	704	81	19	244	24	7
CYB5R3	97	42	0	6	9	99	47	7	2	62	1	4	52	7	7	216	1	39	73	10	45	17	97	1	221	33	65	19	51	40	82	118	17	10
THOC5	231	75	6	0	7	232	59	12	4	160	21	3	64	0	19	497	5	41	80	0	3	3	106	19	333	50	83	51	2	46	2	245	36	11
TSPO	291	660	1	0	3	263	451	6	2	230	24	1	548	1	9	724	2	34	954	1	3	22	1138	38	542	59	1221	666	27	70	18	686	80	12
RPL3	9481	1343	1	2	267	8791	1132	383	1	7461	4	1	1378	0	565	24935	0	1982	2211	5	5	16	1337	2	13854	2493	1283	12	158	3621	19	17040	2389	529
APOL1	594	231	4	0	17	504	184	39	8	369	35	0	165	1	34	1155	14	148	244	0	0	3	297	49	873	145	173	97	12	136	1	577	107	28
MYH9	469	240	6	18	10	466	156	19	4	328	36	0	180	31	24	1351	17	77	292	0	80	2	375	78	1027	91	282	300	19	129	199	729	124	18
TNRC6B	439	85	1	0	18	585	87	38	3	367	23	1	61	0	39	1555	7	142	175	2	0	26	141	10	575	174	50	62	102	163	4	638	127	30
ST13	255	104	1	0	6	299	90	22	1	181	1	19	88	0	22	954	1	86	132	31	8	119	123	1	448	76	134	8	348	104	35	566	79	17
RBX1	175	91	0	18	3	186	80	9	0	134	4	20	94	5	12	639	0	65	218	37	70	148	138	0	437	44	185	31	487	78	192	371	67	16
EP300	169	177	13	0	11	186	139	15	5	135	24	1	131	0	8	355	11	34	175	2	3	15	246	44	261	65	208	209	83	75	8	229	25	11
DESI1	145	74	3	0	5	116	62	11	4	100	1	0	49	0	8	377	2	40	109	1	3	11	118	8	284	49	89	18	24	54	12	197	40	17
SOS2	100	43	1	1	4	91	47	2	2	44	21	1	44	1	5	179	5	29	70	0	1	0	82	18	124	22	66	90	5	32	7	159	14	3
NIN	157	96	4	0	11	234	78	16	5	99	15	0	80	4	11	460	17	68	152	0	1	0	178	24	259	103	103	110	3	106	14	227	36	5
ATP6V1D	304	118	0	1	6	283	73	18	5	189	18	8	72	1	13	501	7	46	123	6	1	36	111	27	464	44	115	87	115	59	20	295	31	4
DHRS7	157	64	1	0	3	201	63	4	2	133	30	0	86	0	3	496	9	32	163	0	8	0	147	26	310	22	137	149	2	46	16	299	48	7
PPM1A	73	48	2	4	6	87	27	5	3	52	8	10	33	1	2	166	3	18	58	16	24	72	67	19	174	19	54	56	211	32	54	140	15	3
HIF1A	139	264	12	3	15	109	154	15	16	83	77	1	164	0	16	263	40	44	247	0	5	0	468	113	277	73	460	746	12	97	16	299	21	6
SRSF5	1416	573	6	2	46	1453	478	90	9	991	46	0	506	2	82	3552	27	321	723	1	2	4	711	51	2194	483	1201	258	47	666	20	2270	211	53
EIF5	525	241	12	2	33	507	221	44	5	381	27	7	179	0	44	787	13	94	334	4	13	47	310	32	661	227	410	150	380	322	73	925	68	23
MTHFD1	967	322	7	0	33	961	223	59	8	757	48	1	222	2	54	2413	15	249	398	2	1	3	512	55	1659	276	227	150	17	251	7	997	238	59
VRK1	506	119	2	0	28	470	104	41	2	342	14	0	82	1	43	1317	11	187	176	2	0	2	181	18	741	222	88	34	18	166	0	565	94	28
YY1	328	148	0	2	10	329	112	23	1	216	7	0	121	1	26	791	4	62	200	2	15	13	205	15	535	105	184	71	61	125	38	549	67	10
TRIP11	496	123	2	0	19	457	86	41	4	311	15	0	96	1	24	1274	13	124	205	0	6	2	203	25	700	140	94	56	16	114	24	437	106	24
PABPN1	226	109	0	2	4	157	90	20	0	161	3	0	130	0	19	461	1	40	194	0	7	2	171	7	378	124	208	21	5	126	23	429	35	15
PSMA6	181	154	1	0	7	155	103	12	2	138	11	0	77	0	11	421	1	37	174	0	1	0	171	21	374	46	226	85	1	53	23	379	63	6
NFKBIA	2483	1116	108	3	22	3199	957	35	177	1929	660	9	1032	5	54	1932	98	288	942	0	0	3	1225	650	1255	351	1498	6675	82	669	40	3401	114	34
SEC23A	460	180	3	1	10	451	153	24	2	299	17	1	125	0	32	1104	13	103	245	0	1	1	233	32	709	102	164	48	5	130	7	508	101	28
RAB5IF	113	187	3	2	3	206	115	8	3	105	15	0	108	2	2	361	14	24	275	0	1	3	286	25	370	22	326	147	3	28	24	358	32	5
STK4	667	183	8	5	28	693	152	52	5	508	27	1	114	2	40	1965	21	127	273	0	16	2	220	77	970	176	239	227	17	259	64	1086	144	28
CTSZ	57	330	2	0	12	51	233	13	1	32	8	0	296	0	22	122	1	97	474	3	6	6	510	11	95	90	606	71	19	122	80	134	14	17
PSMA7	289	304	1	5	6	431	183	20	0	286	11	5	224	4	18	1260	3	87	466	6	14	9	382	8	1006	94	471	59	41	152	95	884	138	35
CSNK2A1	497	182	4	0	15	501	149	31	5	389	16	0	133	1	44	1268	7	119	265	0	0	8	312	27	842	163	178	74	33	152	7	644	110	36
CDS2	126	62	1	1	6	127	76	7	3	111	15	0	47	0	17	300	11	25	68	0	7	1	103	33	257	52	77	69	3	115	17	209	25	10
MAPRE1	124	79	0	2	3	154	48	7	2	104	3	0	59	2	4	290	5	17	116	0	12	0	111	5	325	35	128	43	1	65	29	282	27	7
CHMP4B	126	171	0	1	4	130	131	9	1	100	11	2	103	2	7	280	3	43	173	1	3	16	204	8	228	45	217	102	50	56	11	227	30	8
VAPA	304	201	1	13	13	263	172	29	4	205	29	2	146	5	20	778	18	60	288	0	28	7	304	52	486	100	325	208	38	167	136	666	80	15
LPIN2	131	20	1	3	2	141	19	2	3	116	6	19	20	2	1	457	4	6	27	9	9	98	41	9	246	12	14	38	285	4	10	219	39	1
SMCHD1	1192	314	51	0	61	1032	223	140	46	739	162	1	210	0	102	2381	131	280	392	2	0	2	416	264	1646	552	266	872	21	734	7	1603	156	47
MYL12A	1366	414	0	128	22	1546	302	53	6	1139	23	1	337	141	38	4533	24	264	715	6	399	11	515	29	2256	171	721	599	160	358	1278	2907	474	48
ANKRD12	1352	299	2	0	37	1280	217	101	11	866	39	2	212	0	84	2886	19	299	413	0	1	10	475	69	2112	500	383	276	39	631	16	2061	284	59
RIOK3	166	200	2	15	6	189	128	11	4	105	14	75	165	18	10	338	12	36	227	101	60	251	302	44	324	80	444	153	1357	111	251	374	25	7
MID1	536	153	11	0	18	459	117	30	9	348	23	0	107	1	32	1131	6	110	215	0	0	2	233	28	701	121	115	72	16	117	0	489	70	28
XIAP	537	251	9	0	23	575	171	38	2	337	39	0	173	2	38	1521	23	177	321	2	15	2	452	67	842	176	256	265	17	123	6	649	147	28
STAG2	280	114	2	1	4	291	106	13	5	175	10	1	82	1	14	725	7	72	186	8	8	24	162	18	523	94	108	93	64	95	29	405	59	15
PLP2	133	164	0	0	6	170	129	16	1	134	4	0	127	0	15	487	3	57	210	0	2	1	277	5	292	40	263	78	5	152	8	395	73	15
EMD	98	47	2	3	1	116	31	7	0	90	7	0	34	1	6	197	2	15	64	0	13	0	54	6	187	24	80	38	3	51	46	196	17	2
PGK1	376	351	1	4	5	348	217	26	4	318	26	0	268	3	15	1007	4	62	427	0	25	6	520	20	700	74	560	130	4	111	43	793	128	23
SMS	63	55	0	2	3	83	52	6	1	52	2	0	57	0	7	200	3	23	92	0	10	0	101	3	185	12	97	15	2	34	51	178	25	4
RBM3	677	385	1	0	31	643	251	55	2	479	3	0	323	1	49	1315	0	138	429	1	3	3	317	7	988	211	320	37	15	334	7	1028	111	28
STK24	93	78	0	6	6	90	45	6	1	76	4	0	51	4	10	250	1	27	123	1	16	1	117	3	170	31	104	35	10	46	58	152	19	4
SLC25A15	158	71	2	0	7	152	47	13	1	106	9	0	32	1	12	518	1	71	119	0	0	0	133	14	267	52	34	20	1	34	1	165	68	21
DGKH	144	34	0	1	7	162	46	3	0	98	7	0	34	0	7	535	6	41	97	1	2	1	81	5	291	33	26	15	6	19	13	186	89	13
INTS6	256	21	1	0	11	362	30	11	2	162	14	0	22	0	17	468	5	53	61	0	2	4	36	15	271	104	24	37	21	79	3	262	20	8
CORO1A	550	361	2	0	10	672	302	44	5	491	27	1	373	0	35	2664	16	220	667	0	3	2	456	15	1732	141	668	123	5	213	13	1474	352	50
PHKB	175	65	1	5	9	178	72	22	1	129	8	0	55	4	17	409	0	76	134	0	19	0	103	5	241	83	71	13	8	106	40	184	36	14
NFAT5	87	68	1	1	1	105	47	6	2	62	11	0	45	0	7	197	5	18	76	0	4	3	111	20	136	38	136	72	22	35	9	93	20	5
CTCF	148	43	0	1	6	133	26	7	2	107	2	0	30	1	13	477	4	35	67	0	1	2	59	5	287	26	60	23	4	36	4	251	46	9
SETD6	162	93	2	0	4	147	45	5	1	108	5	0	40	1	10	346	5	24	79	0	0	3	81	13	235	31	50	26	4	29	0	152	24	5
CMC2	174	47	2	3	2	203	63	3	0	133	3	0	36	2	6	438	2	38	97	0	3	4	90	9	520	44	72	12	12	48	31	325	22	8
COTL1	296	1137	11	16	21	346	755	34	17	232	69	1	1092	19	34	915	22	77	1494	1	56	2	1678	97	1612	109	1888	414	16	171	235	793	104	36
TSC2	592	202	8	1	31	533	183	51	1	401	30	1	169	2	39	1319	12	150	286	1	1	7	347	46	849	191	156	84	11	165	2	557	119	30
STUB1	153	59	1	3	2	159	32	7	0	131	2	0	53	2	6	468	3	38	77	0	10	3	92	2	291	45	78	7	7	52	29	330	53	6
GSPT1	150	37	0	0	3	191	26	4	2	108	0	61	25	0	6	424	2	21	52	66	4	315	44	1	453	35	41	1	1397	56	5	421	41	6
ELOB	537	361	2	5	15	551	270	25	12	390	27	36	313	4	25	1366	4	103	508	39	21	220	497	20	1015	122	616	203	441	183	86	1310	163	32
CSK	91	123	0	1	8	103	87	10	1	69	9	0	97	0	15	385	1	59	173	1	11	0	171	9	266	61	213	33	1	59	10	194	35	22
HERC1	157	39	0	2	7	186	61	8	0	94	1	2	44	1	10	409	1	30	63	3	4	24	91	4	280	53	49	19	68	54	21	287	26	4
RAB11A	75	45	1	14	1	93	38	6	2	84	4	0	46	7	7	242	4	29	80	0	72	3	73	8	190	14	103	73	13	35	278	218	25	8
ZNF106	105	198	1	0	3	123	141	9	1	83	7	0	106	1	9	308	4	50	256	1	1	0	356	22	231	32	228	110	1	63	12	210	23	2
BLOC1S6	1042	405	5	8	51	1046	344	111	4	753	36	5	280	4	104	2363	15	322	443	2	19	18	429	65	1525	392	414	182	67	583	71	1488	156	51
PLAT	601	196	10	0	25	519	156	42	2	361	37	0	128	3	31	1165	13	109	229	0	0	5	246	51	795	143	119	93	10	133	1	481	83	22
STK3	266	99	5	0	10	238	97	10	1	174	14	2	69	0	23	465	3	50	132	1	0	0	133	26	340	78	71	56	1	45	8	208	43	11
RAB2A	206	165	2	2	8	251	106	16	3	189	14	0	137	1	16	453	7	36	163	0	4	1	271	22	442	66	322	122	14	100	23	455	50	7
ERICH1	130	90	0	1	5	126	54	15	1	104	2	0	86	1	8	408	2	65	116	0	9	0	136	8	208	52	98	32	2	80	39	257	35	9
ASAH1	75	596	9	4	3	108	520	14	4	66	50	0	543	20	13	298	23	49	586	0	29	10	774	114	148	63	1008	419	53	83	62	159	23	5
BNIP3L	126	125	2	3	8	132	113	11	4	82	16	137	120	3	6	290	14	21	209	165	19	852	221	26	203	30	152	77	2735	61	54	231	26	5
CD37	539	304	6	0	107	592	291	232	11	437	21	0	275	0	259	1742	19	986	605	0	7	3	503	32	948	1015	635	265	16	1248	25	1205	139	154
OAZ1	790	1348	11	233	37	968	960	92	20	703	123	198	1132	244	79	2338	39	372	1887	264	749	864	2091	84	1583	328	2336	858	3435	563	3549	1839	293	85
C19orf53	357	116	0	0	10	307	62	18	0	234	2	0	89	1	17	940	2	82	163	1	3	5	178	11	595	76	166	34	26	109	20	656	116	15
FAM32A	74	67	0	2	4	87	37	5	1	60	6	0	39	4	5	230	3	18	77	0	3	0	118	6	154	29	169	30	5	36	14	186	26	4
PPP6R1	93	29	0	1	2	112	33	6	0	50	3	2	25	3	4	243	1	20	62	2	9	14	51	1	189	43	54	13	28	24	25	177	22	8
RPS16	6723	1453	3	0	229	6518	1386	408	5	5244	10	4	1596	1	445	17133	5	1566	2121	4	3	19	2084	11	11080	2529	2238	133	190	3659	20	15008	1704	377
HNRNPUL1	901	287	5	0	28	724	205	54	7	571	36	0	187	4	53	1627	17	170	344	1	3	6	394	60	1263	255	223	172	17	207	12	1011	121	41
TGFB1	400	224	3	60	6	430	162	8	3	249	20	0	151	55	10	719	10	50	313	0	181	2	337	30	698	59	204	208	10	74	524	611	77	8
RPS19	9625	1600	2	2	380	9669	1674	532	1	8096	5	3	2220	0	718	23677	6	2528	3358	8	9	40	2791	15	16806	4080	4537	54	251	5601	27	22701	2494	581
CDC37	181	98	2	4	2	194	62	14	1	141	1	0	63	4	3	514	0	49	109	0	19	5	103	2	358	64	104	16	7	63	43	426	57	9
NAPA	56	60	2	2	1	69	48	6	1	35	12	7	36	2	2	155	5	14	85	9	9	43	91	17	115	12	58	25	67	19	21	113	7	3
RABAC1	218	89	1	4	10	235	66	17	4	195	5	1	58	3	10	555	2	53	121	0	19	5	166	13	428	97	165	58	22	139	77	556	98	18
CYTH2	535	222	1	0	20	491	163	27	1	386	19	2	138	0	29	1363	10	116	266	0	7	3	252	42	858	138	173	80	22	138	29	503	121	33
CARD8	100	38	1	6	4	128	37	2	1	80	7	0	23	1	7	420	3	16	67	0	2	1	75	4	188	24	45	33	5	44	18	172	36	4
RPL18A	7686	1540	0	0	350	7041	1590	605	0	5485	1	4	1849	0	709	20866	1	2588	3096	10	2	70	2208	3	12344	3707	2184	19	237	4406	15	15912	1956	428
COPE	190	154	0	7	4	220	91	7	5	218	5	0	134	3	16	657	5	50	206	4	7	17	244	5	526	69	254	36	36	84	31	591	115	23
USF2	164	102	0	14	6	150	97	16	1	111	6	0	82	11	8	359	4	65	124	0	18	0	190	8	280	75	156	57	5	97	27	314	25	14
FKBP8	182	70	2	9	4	182	57	10	4	143	14	98	67	27	15	497	18	29	131	121	49	579	147	24	339	42	120	96	1527	52	118	378	47	10
NAMPT	717	2962	760	2	20	547	2664	11	767	433	3818	63	1915	40	25	669	1453	64	2779	58	1	78	6623	6339	989	134	4155	21755	198	225	217	1084	47	6
MTPN	233	247	0	39	33	297	208	52	6	241	16	2	280	48	39	586	6	157	351	0	93	36	410	21	460	225	588	152	70	361	458	591	41	27
ZC3HAV1	298	49	1	0	7	345	42	14	4	195	8	5	55	2	12	934	11	63	76	3	0	9	73	22	393	66	58	59	92	68	5	425	67	5
OGDH	98	32	1	0	3	79	36	2	3	72	5	1	35	2	4	322	5	20	91	2	2	6	75	11	171	33	47	24	7	23	2	127	34	11
H2AZ2	465	104	1	0	2	453	94	16	2	380	8	1	100	0	24	1055	9	79	172	0	2	7	206	6	1094	76	209	59	19	79	6	1063	91	9
DNAJB6	445	132	1	17	9	528	103	17	3	309	24	0	102	6	11	660	16	51	157	2	63	15	218	37	879	84	212	160	43	97	148	821	56	10
TAX1BP1	341	169	3	3	7	352	152	20	4	282	22	17	143	0	16	854	11	65	253	27	19	102	236	29	687	108	313	164	371	125	48	692	67	11
CHCHD2	828	307	1	2	17	759	252	41	2	653	5	7	335	3	47	2075	9	182	509	4	12	65	519	11	1714	234	601	81	126	356	91	2162	283	42
PDAP1	138	53	0	1	6	164	20	6	1	114	1	1	42	1	5	383	1	44	56	1	9	5	69	6	285	33	72	11	9	64	29	325	43	12
BUD31	141	74	1	1	7	169	41	9	1	122	11	1	46	1	7	321	8	39	94	0	1	5	90	11	365	52	128	89	33	84	25	371	20	13
C1GALT1	97	33	0	5	6	102	42	4	1	82	3	0	29	1	5	264	3	28	49	0	8	6	32	9	152	33	55	25	26	32	13	147	18	3
ZNHIT1	102	49	0	0	4	106	43	3	1	101	5	1	52	0	9	416	3	43	119	2	3	24	123	3	230	24	155	45	60	30	10	271	66	6
COA1	204	44	1	1	4	185	32	9	1	114	4	0	26	0	8	485	2	53	54	0	0	0	71	17	330	53	62	21	0	42	0	243	31	7
TMEM248	82	48	0	1	5	82	40	8	0	60	3	0	29	2	5	233	0	26	67	1	4	3	68	3	141	29	43	13	6	35	17	128	20	6
RHEB	81	65	1	6	2	86	54	10	0	67	3	1	56	2	7	258	1	19	107	0	17	2	115	3	203	32	132	21	11	49	91	216	15	5
PRKAG2	243	202	2	0	5	216	145	13	2	185	12	0	134	0	14	533	1	62	268	0	2	1	179	11	279	49	132	15	1	68	10	232	50	10
EIF4H	219	130	0	1	5	205	85	10	0	135	1	0	92	1	16	446	1	48	134	0	2	0	169	9	415	84	129	23	10	102	11	431	56	12
DNM1	71	36	1	0	6	86	30	3	2	69	8	0	23	1	8	232	2	19	54	0	3	0	58	8	141	33	23	26	1	25	3	86	13	5
BAG1	104	61	1	3	5	124	49	10	0	79	7	31	56	1	5	291	3	28	124	52	3	157	125	14	253	35	112	39	327	52	18	262	34	3
SETX	120	103	5	0	2	127	104	17	2	88	11	0	82	0	15	441	9	62	164	1	4	0	126	11	215	60	144	54	6	68	9	187	19	10
UBE2R2	91	161	2	1	5	97	128	3	9	68	38	0	153	1	9	275	10	27	209	1	2	6	219	50	130	28	227	215	17	41	26	133	22	4
ZFAND5	171	200	2	1	2	179	155	13	0	95	7	4	190	1	14	292	3	30	291	6	3	53	327	23	230	34	383	120	307	58	37	235	15	6
HPS1	56	43	0	0	5	59	29	3	0	67	3	13	39	0	9	165	1	15	56	14	0	30	76	4	152	29	74	16	92	34	8	147	19	1
ATE1	147	29	1	3	4	152	25	13	0	103	4	0	29	3	7	342	1	29	63	0	8	2	63	3	227	50	38	11	4	55	12	209	27	4
VSIR	69	297	7	2	0	86	219	3	8	61	51	2	277	4	0	346	22	11	409	0	7	1	536	59	127	15	644	275	2	6	16	134	26	3
GBF1	260	105	4	0	7	268	82	16	4	200	7	0	70	0	32	641	4	79	160	1	0	2	187	25	391	86	98	64	3	77	7	281	67	11
GTPBP4	853	381	7	0	38	718	261	54	7	586	65	3	259	0	40	1873	21	175	398	2	0	2	552	88	1221	211	311	292	17	241	6	915	159	32
MAP3K8	173	162	1	2	2	192	127	6	2	97	11	0	164	0	11	140	4	30	256	0	0	2	530	9	182	150	715	117	8	124	14	206	9	7
SHOC2	125	105	6	2	4	131	89	27	7	90	24	1	111	0	26	343	15	70	146	3	6	11	213	49	233	113	205	187	18	159	28	214	29	7
CCNY	100	104	0	5	2	103	93	12	4	79	16	0	75	3	4	190	6	21	160	0	14	1	133	6	136	34	89	47	3	34	45	162	18	1
