names	scores	logfoldchanges	pvals	pvals_adj
PPFIA1	17.557621	2.0337496	5.200946592020357e-69	4.957287661836903e-67
SEMA5B	17.524195	4.476607	9.365724612853804e-69	8.857749006590751e-67
NUP58	17.523663	2.243837	9.453719991594852e-69	8.917927974545442e-67
RNMT	17.499714	1.9693806	1.4399151474685763e-68	1.3513419054486503e-66
SYNM	17.47426	3.689997	2.250468818560706e-68	2.1066345071135653e-66
CREM	17.461613	2.4069848	2.8089002613375797e-68	2.622667307786142e-66
FAM184B	17.44218	3.7045448	3.947253663896902e-68	3.676168736699505e-66
PDE4D	17.403357	1.6669981	7.780783238198712e-68	7.228031657393682e-66
CTNNA1	17.391497	2.3679962	9.57033005128985e-68	8.867940511576198e-66
SLITRK2	17.35002	3.7387228	1.9717950833576126e-67	1.8224664607568682e-65
VAT1L	17.32683	2.8200488	2.9515117683496555e-67	2.7211154214953586e-65
EPHB1	17.32597	3.0186563	2.9959828028003736e-67	2.7551750393290573e-65
HIF3A	17.29856	4.2182455	4.8229491320603304e-67	4.424179478259152e-65
FNIP1	17.257103	1.9723403	9.895341424202916e-67	9.054484786681274e-65
EML4	17.252552	2.2790818	1.0706505828207945e-66	9.772289771028404e-65
IDI1	17.242636	3.082484	1.2710808482129094e-66	1.1572843314786243e-64
INHBA	17.206556	7.562498	2.371199442794981e-66	2.1535551068421612e-64
ID3	17.202715	4.4765058	2.5337810202863907e-66	2.2955178000866878e-64
LRP2	17.143698	2.0672498	7.00516515289495e-66	6.315173639436159e-64
FNDC3A	17.132263	1.7257097	8.527117394899638e-66	7.668329822376452e-64
ADSSL1	17.071781	5.8998175	2.407392679724046e-65	2.1596318497691127e-63
PTPRZ1	17.035276	3.100893	4.496168112472506e-65	4.02357577223976e-63
RGL1	17.023613	3.0108316	5.487758639210359e-65	4.898962291554594e-63
AC083870.1	16.97034	3.5427911	1.3613839097105616e-64	1.2094177786241813e-62
RHEB	16.947567	2.552056	2.0058432953111354e-64	1.7690571193176595e-62
SPP1	16.92306	2.6121743	3.042115015579427e-64	2.676549319356313e-62
SPC25	16.900574	4.9745975	4.45551359150576e-64	3.910701509896939e-62
NCOA7	16.83971	2.1620202	1.2484543783674715e-63	1.093174131641814e-61
VPS13D	16.828402	1.6657152	1.5112529888193582e-63	1.3201281776557836e-61
COL4A5	16.824186	4.443415	1.6227589893635419e-63	1.414157184992738e-61
BCL6	16.765018	2.5678964	4.398836596885552e-63	3.8152089640428455e-61
AC016716.2	16.7499	4.4078083	5.67211582957404e-63	4.907922257168781e-61
SMAD3	16.70893	4.005344	1.128442196327906e-62	9.695331649717767e-61
DENND4A	16.696957	1.4854512	1.379210628218015e-62	1.1822128384872967e-60
CEMIP2	16.648216	2.4300282	3.1175271866835346e-62	2.6659956205561695e-60
VIPR2	16.620642	2.8894496	4.940059838719217e-62	4.20491000365028e-60
INSIG1	16.61898	3.9537253	5.078874543266654e-62	4.313036825013986e-60
ALDH1A2	16.612585	3.5474548	5.65053755683297e-62	4.787391785130637e-60
SVIL	16.581175	2.0804443	9.534690671506955e-62	8.059566126277737e-60
CNTNAP3B	16.556955	4.5287266	1.4263097785175296e-61	1.2001003265177033e-59
ARGLU1	16.519733	1.4868598	2.645634538549558e-61	2.2209373794828527e-59
PDE7A	16.511683	1.9166148	3.0233490051570898e-61	2.532210456241525e-59
ASAP3	16.498095	5.7068567	3.786477969385143e-61	3.164129683960403e-59
C1orf21	16.435715	2.5018387	1.0616411178892338e-60	8.831165126332692e-59
ARHGAP21	16.406506	1.7503043	1.7181402610982787e-60	1.4259784965183242e-58
TFRC	16.347383	2.9990726	4.540671305181055e-60	3.7515374817366094e-58
RDH10-AS1	16.338451	4.557586	5.257090920463727e-60	4.333666323871461e-58
PIK3C2A	16.288496	1.7572253	1.1912156114750233e-59	9.7757135864568e-58
PARD3	16.267601	1.5027237	1.675979211242062e-59	1.3723157742879354e-57
SLC7A11	16.262117	3.788444	1.8329370879768003e-59	1.4974850526124748e-57
MFSD4B	16.23533	1.6142328	2.837169567782495e-59	2.312767112481227e-57
USH1C	16.218807	5.2426825	3.7133347621197593e-59	3.01356464807861e-57
MID1	16.204977	2.4047556	4.650566611443692e-59	3.765827180209083e-57
PTPRJ	16.16379	2.500227	9.0804215987538e-59	7.336700020661984e-57
ID2	16.154333	3.9926076	1.0585754706473067e-58	8.534123524485038e-57
CNN3	16.152449	3.24347	1.0914255185956784e-58	8.779618770575917e-57
AP002336.2	16.137259	2.2537334	1.3960545266973033e-58	1.1205480642905261e-56
TSC22D2	16.063728	1.880112	4.581664888225958e-58	3.669442375797774e-56
ELMSAN1	16.047173	2.642669	5.9828085956579696e-58	4.781152345189461e-56
PLEKHH2	16.03193	5.852167	7.646958540553666e-58	6.097741384374831e-56
STK40	16.0173	3.4428637	9.676250860683335e-58	7.699140385910234e-56
DCDC2	16.011087	5.719444	1.0692533755758113e-57	8.489315140878584e-56
CREB5	15.958531	4.9849195	2.4851069161153878e-57	1.968774853609076e-55
TLE3	15.951819	3.9003842	2.7671441121178836e-57	2.1874782213310294e-55
HIVEP3	15.950276	2.0872245	2.836378743847571e-57	2.237377120766486e-55
IL15	15.933866	5.1010695	3.6883298812881786e-57	2.903151870645777e-55
LRRC1	15.927417	2.425714	4.0890341743386506e-57	3.2116467771452566e-55
ARID5B	15.874191	2.4471657	9.563546034353606e-57	7.47938778639693e-55
CDK19	15.873771	2.179202	9.62781681490262e-57	7.497611132813847e-55
AGPAT4	15.862942	4.5226536	1.1440637221263352e-56	8.890419595232696e-55
RHCG	15.859888	7.040605	1.2010700640699002e-56	9.313636740470851e-55
PLOD2	15.820151	1.7709357	2.259481067312738e-56	1.7483988698670937e-54
ST6GALNAC3	15.814044	2.5302198	2.489590249714014e-56	1.922394361387819e-54
CHSY1	15.813282	2.7075315	2.519882649466743e-56	1.9416889442764686e-54
FNBP1	15.786331	2.029367	3.8640837868606426e-56	2.9712044261110586e-54
TOB1	15.749163	2.0854077	6.959710485218905e-56	5.340301120953818e-54
PKD2	15.73465	2.2629468	8.754044231230576e-56	6.703070562913604e-54
FAM155A	15.718527	1.9267412	1.1291796686589344e-55	8.628205647721432e-54
MPP7	15.708059	1.9638611	1.3319390317330038e-55	1.0135197609243175e-53
NDRG1	15.655905	2.362459	3.0277817375053677e-55	2.2991667920007046e-53
ST5	15.642482	1.6179549	3.738705125952262e-55	2.833133464078235e-53
SEMA6A-AS1	15.637071	2.5072827	4.070283224775956e-55	3.0780255435955534e-53
ANKDD1A	15.621723	3.667141	5.178689923393833e-55	3.900107610825878e-53
TSC22D1	15.600059	1.7513709	7.272726344533153e-55	5.465894392941641e-53
VPS37B	15.58347	2.9433413	9.429342843489915e-55	7.072200356856033e-53
MPDZ	15.578644	1.7677984	1.0168954896419281e-54	7.611327569812722e-53
PTPRK	15.569942	2.9816234	1.1651206809141364e-54	8.702975926967001e-53
MKLN1	15.558811	1.4049749	1.386499263730556e-54	1.0335490743747878e-52
GASK1A	15.467924	3.4988246	5.711948047020821e-54	4.2149800497784084e-52
ATP13A3	15.414764	2.4134398	1.3024522401585888e-53	9.572500891976808e-52
TOX3	15.405912	2.8906424	1.4936692020698557e-53	1.0955869031053865e-51
RAB11A	15.396429	1.5350031	1.7296025199024155e-53	1.2661036366189661e-51
FNDC3B	15.373793	1.7740409	2.453743661415682e-53	1.7926042265763547e-51
CA5B	15.367896	2.8674304	2.6875761768003225e-53	1.9595214272324422e-51
COL24A1	15.36584	3.7612727	2.774189200123864e-53	2.0186500778078237e-51
PCDH9	15.33072	1.6612713	4.766746078449161e-53	3.4616601828832884e-51
ME1	15.29363	2.2217927	8.431718550335105e-53	6.111075854669608e-51
CORO1C	15.284141	3.7340336	9.754191148217338e-53	7.055595854069226e-51
DPP6	15.257957	2.4543614	1.457391369918045e-52	1.0521100893564175e-50
MTCH1	15.234691	2.5775528	2.0810978183601258e-52	1.4994145915314756e-50
WDR45B	15.213374	2.243951	2.8829283506543973e-52	2.0730463764695796e-50
GRID2	15.212139	1.9836502	2.9378224229245163e-52	2.108377225518828e-50
TNS1	15.203537	4.600567	3.350330496946175e-52	2.399715196061193e-50
PLCH1	15.192478	1.907054	3.966374874329974e-52	2.8298886310984676e-50
AC104365.1	15.158198	2.090573	6.687891489782641e-52	4.753077988689989e-50
FLNA	15.1032715	5.199727	1.5409342200635582e-51	1.0887979418638281e-49
OPHN1	15.088699	2.5674014	1.92192462007034e-51	1.3553827171328422e-49
WWC1	15.084681	2.7540522	2.0426023009949056e-51	1.4377170542060489e-49
PLSCR1	15.046953	4.3071218	3.6150340415861556e-51	2.5396134540517252e-49
NIN	15.005489	1.907464	6.7590632963416e-51	4.739242829681971e-49
PRSS56	14.982446	7.1545753	9.56320254818629e-51	6.692596108339701e-49
CRY1	14.981021	2.2341993	9.770488830146283e-51	6.824611863972979e-49
PPP1CB	14.967098	1.9718794	1.204629912850636e-50	8.382254646434625e-49
PNPLA8	14.951758	2.1172078	1.516908045655627e-50	1.0535171039666338e-48
UBAP1	14.934789	2.0296218	1.9569240986120607e-50	1.3565412676761369e-48
WWOX	14.924801	1.4947206	2.2731393540885114e-50	1.5727632041397655e-48
IMMP2L	14.901009	1.5033822	3.246425282153649e-50	2.2419322972095417e-48
DIP2B	14.889608	1.4672459	3.850196445649068e-50	2.6538802280075622e-48
MIDN	14.854134	4.164419	6.540848013467849e-50	4.5000296643033224e-48
AC107021.1	14.778357	1.7356694	2.020358389848974e-49	1.3873759367141144e-47
ADD3	14.687838	1.4174742	7.713683885349175e-49	5.277169044629256e-47
GOLIM4	14.648396	1.9248322	1.3793413115317585e-48	9.401354067667391e-47
CRABP1	14.609979	1.9831204	2.425934047306947e-48	1.6504017112543043e-46
FN3K	14.598972	3.1411548	2.851098587062829e-48	1.9360493392409387e-46
ZNF532	14.577997	1.7567579	3.8772349588432296e-48	2.6231178692905925e-46
ZDBF2	14.569776	1.9913186	4.373247937404588e-48	2.953233353449176e-46
PAK3	14.568561	2.458746	4.45171132440487e-48	3.0006829868239897e-46
FOXK2	14.565691	1.9263989	4.642663309684592e-48	3.1236419080471645e-46
TTC39B	14.564988	2.9736414	4.690647330847923e-48	3.1501354670892627e-46
NUDT4	14.547645	2.7246313	6.044856006214152e-48	4.044749080136091e-46
GABARAPL1	14.540651	1.8648022	6.695286053207094e-48	4.471791329077242e-46
RAB3GAP2	14.489449	1.5521972	1.4127324423425986e-47	9.4013491131239e-46
TCF7L2	14.483006	2.7079449	1.551604912701593e-47	1.0306767950960253e-45
MAFF	14.466306	5.845674	1.978141391460427e-47	1.3116295845804906e-45
TEAD1	14.443	1.5097144	2.774967618696696e-47	1.8333319460634976e-45
ACSL3	14.424369	1.9955958	3.6357867148195106e-47	2.3977194513352958e-45
AL138689.2	14.390996	5.864882	5.894115968296779e-47	3.873079686815627e-45
NHS	14.387239	2.021878	6.223069736553106e-47	4.0819099538992874e-45
AC105916.1	14.384678	3.7982717	6.45776933784556e-47	4.228279347665212e-45
GPR158	14.380561	2.4613056	6.853696020238617e-47	4.4795022863706004e-45
PRNP	14.370572	2.4887278	7.917418959891903e-47	5.1655160668628084e-45
PEAK1	14.3629875	1.4552579	8.833563806401014e-47	5.752976314556646e-45
HIPK2	14.345789	1.4659252	1.1320621337183197e-46	7.359610329702348e-45
KIF16B	14.219111	1.9719992	6.97330047352434e-46	4.501406889443816e-44
ADAM10	14.198563	1.5578866	9.351024257763919e-46	6.025648571451007e-44
