field	value
variable	node=605;name=seqnn/trunk/transformer/transformer_block_6/mha/normalization/layer_norm/offset;shape=1536;trainable=true;parameters=1536
variable	node=612;name=seqnn/trunk/transformer/transformer_block_6/mha/multihead_attention/r_w_bias;shape=1x8x1x64;trainable=true;parameters=512
variable	node=613;name=seqnn/trunk/transformer/transformer_block_6/mha/multihead_attention/r_r_bias;shape=1x8x1x64;trainable=true;parameters=512
variable	node=614;name=seqnn/trunk/transformer/transformer_block_7/mha/normalization/layer_norm/scale;shape=1536;trainable=true;parameters=1536
variable	node=615;name=seqnn/trunk/transformer/transformer_block_7/mha/normalization/layer_norm/offset;shape=1536;trainable=true;parameters=1536
variable	node=622;name=seqnn/trunk/transformer/transformer_block_7/mha/multihead_attention/r_w_bias;shape=1x8x1x64;trainable=true;parameters=512
variable	node=623;name=seqnn/trunk/transformer/transformer_block_7/mha/multihead_attention/r_r_bias;shape=1x8x1x64;trainable=true;parameters=512
variable	node=624;name=seqnn/trunk/transformer/transformer_block_8/mha/normalization/layer_norm/scale;shape=1536;trainable=true;parameters=1536
variable	node=625;name=seqnn/trunk/transformer/transformer_block_8/mha/normalization/layer_norm/offset;shape=1536;trainable=true;parameters=1536
variable	node=632;name=seqnn/trunk/transformer/transformer_block_8/mha/multihead_attention/r_w_bias;shape=1x8x1x64;trainable=true;parameters=512
variable	node=633;name=seqnn/trunk/transformer/transformer_block_8/mha/multihead_attention/r_r_bias;shape=1x8x1x64;trainable=true;parameters=512
variable	node=634;name=seqnn/trunk/transformer/transformer_block_9/mha/normalization/layer_norm/scale;shape=1536;trainable=true;parameters=1536
variable	node=635;name=seqnn/trunk/transformer/transformer_block_9/mha/normalization/layer_norm/offset;shape=1536;trainable=true;parameters=1536
variable	node=642;name=seqnn/trunk/transformer/transformer_block_9/mha/multihead_attention/r_w_bias;shape=1x8x1x64;trainable=true;parameters=512
variable	node=643;name=seqnn/trunk/transformer/transformer_block_9/mha/multihead_attention/r_r_bias;shape=1x8x1x64;trainable=true;parameters=512
variable	node=644;name=seqnn/trunk/transformer/transformer_block_10/mha/normalization/layer_norm/scale;shape=1536;trainable=true;parameters=1536
variable	node=645;name=seqnn/trunk/transformer/transformer_block_10/mha/normalization/layer_norm/offset;shape=1536;trainable=true;parameters=1536
variable	node=652;name=seqnn/trunk/transformer/transformer_block_10/mha/multihead_attention/r_w_bias;shape=1x8x1x64;trainable=true;parameters=512
variable	node=653;name=seqnn/trunk/transformer/transformer_block_10/mha/multihead_attention/r_r_bias;shape=1x8x1x64;trainable=true;parameters=512
variable	node=654;name=seqnn/trunk/downres/downres_block_0/pointwise_conv_block/normalization/exponential_moving_average/counter;shape=;trainable=false;parameters=1
variable	node=655;name=seqnn/trunk/downres/downres_block_0/pointwise_conv_block/normalization/exponential_moving_average/hidden;shape=1x1x768;trainable=false;parameters=768
variable	node=656;name=seqnn/trunk/downres/downres_block_0/pointwise_conv_block/normalization/exponential_moving_average/average;shape=1x1x768;trainable=false;parameters=768
variable	node=657;name=seqnn/trunk/downres/downres_block_0/pointwise_conv_block/normalization/exponential_moving_average/counter;shape=;trainable=false;parameters=1
variable	node=658;name=seqnn/trunk/downres/downres_block_0/pointwise_conv_block/normalization/exponential_moving_average/hidden;shape=1x1x768;trainable=false;parameters=768
variable	node=659;name=seqnn/trunk/downres/downres_block_0/pointwise_conv_block/normalization/exponential_moving_average/average;shape=1x1x768;trainable=false;parameters=768
variable	node=660;name=seqnn/trunk/downres/downres_block_1/pointwise_conv_block/normalization/exponential_moving_average/counter;shape=;trainable=false;parameters=1
variable	node=661;name=seqnn/trunk/downres/downres_block_1/pointwise_conv_block/normalization/exponential_moving_average/hidden;shape=1x1x896;trainable=false;parameters=896
variable	node=662;name=seqnn/trunk/downres/downres_block_1/pointwise_conv_block/normalization/exponential_moving_average/average;shape=1x1x896;trainable=false;parameters=896
variable	node=663;name=seqnn/trunk/downres/downres_block_1/pointwise_conv_block/normalization/exponential_moving_average/counter;shape=;trainable=false;parameters=1
variable	node=664;name=seqnn/trunk/downres/downres_block_1/pointwise_conv_block/normalization/exponential_moving_average/hidden;shape=1x1x896;trainable=false;parameters=896
variable	node=665;name=seqnn/trunk/downres/downres_block_1/pointwise_conv_block/normalization/exponential_moving_average/average;shape=1x1x896;trainable=false;parameters=896
variable	node=666;name=seqnn/trunk/downres/downres_block_2/pointwise_conv_block/normalization/exponential_moving_average/counter;shape=;trainable=false;parameters=1
variable	node=667;name=seqnn/trunk/downres/downres_block_2/pointwise_conv_block/normalization/exponential_moving_average/hidden;shape=1x1x1024;trainable=false;parameters=1024
variable	node=668;name=seqnn/trunk/downres/downres_block_2/pointwise_conv_block/normalization/exponential_moving_average/average;shape=1x1x1024;trainable=false;parameters=1024
variable	node=669;name=seqnn/trunk/downres/downres_block_2/pointwise_conv_block/normalization/exponential_moving_average/counter;shape=;trainable=false;parameters=1
variable	node=670;name=seqnn/trunk/downres/downres_block_2/pointwise_conv_block/normalization/exponential_moving_average/hidden;shape=1x1x1024;trainable=false;parameters=1024
variable	node=671;name=seqnn/trunk/downres/downres_block_2/pointwise_conv_block/normalization/exponential_moving_average/average;shape=1x1x1024;trainable=false;parameters=1024
variable	node=672;name=seqnn/trunk/downres/downres_block_3/pointwise_conv_block/normalization/exponential_moving_average/counter;shape=;trainable=false;parameters=1
variable	node=673;name=seqnn/trunk/downres/downres_block_3/pointwise_conv_block/normalization/exponential_moving_average/hidden;shape=1x1x1152;trainable=false;parameters=1152
variable	node=674;name=seqnn/trunk/downres/downres_block_3/pointwise_conv_block/normalization/exponential_moving_average/average;shape=1x1x1152;trainable=false;parameters=1152
variable	node=675;name=seqnn/trunk/downres/downres_block_3/pointwise_conv_block/normalization/exponential_moving_average/counter;shape=;trainable=false;parameters=1
variable	node=676;name=seqnn/trunk/downres/downres_block_3/pointwise_conv_block/normalization/exponential_moving_average/hidden;shape=1x1x1152;trainable=false;parameters=1152
variable	node=677;name=seqnn/trunk/downres/downres_block_3/pointwise_conv_block/normalization/exponential_moving_average/average;shape=1x1x1152;trainable=false;parameters=1152
variable	node=678;name=seqnn/trunk/downres/downres_block_4/pointwise_conv_block/normalization/exponential_moving_average/counter;shape=;trainable=false;parameters=1
variable	node=679;name=seqnn/trunk/downres/downres_block_4/pointwise_conv_block/normalization/exponential_moving_average/hidden;shape=1x1x1280;trainable=false;parameters=1280
variable	node=680;name=seqnn/trunk/downres/downres_block_4/pointwise_conv_block/normalization/exponential_moving_average/average;shape=1x1x1280;trainable=false;parameters=1280
variable	node=681;name=seqnn/trunk/downres/downres_block_4/pointwise_conv_block/normalization/exponential_moving_average/counter;shape=;trainable=false;parameters=1
variable	node=682;name=seqnn/trunk/downres/downres_block_4/pointwise_conv_block/normalization/exponential_moving_average/hidden;shape=1x1x1280;trainable=false;parameters=1280
variable	node=683;name=seqnn/trunk/downres/downres_block_4/pointwise_conv_block/normalization/exponential_moving_average/average;shape=1x1x1280;trainable=false;parameters=1280
variable	node=684;name=seqnn/trunk/downres/downres_block_5/pointwise_conv_block/normalization/exponential_moving_average/counter;shape=;trainable=false;parameters=1
variable	node=685;name=seqnn/trunk/downres/downres_block_5/pointwise_conv_block/normalization/exponential_moving_average/hidden;shape=1x1x1536;trainable=false;parameters=1536
variable	node=686;name=seqnn/trunk/downres/downres_block_5/pointwise_conv_block/normalization/exponential_moving_average/average;shape=1x1x1536;trainable=false;parameters=1536
variable	node=687;name=seqnn/trunk/downres/downres_block_5/pointwise_conv_block/normalization/exponential_moving_average/counter;shape=;trainable=false;parameters=1
variable	node=688;name=seqnn/trunk/downres/downres_block_5/pointwise_conv_block/normalization/exponential_moving_average/hidden;shape=1x1x1536;trainable=false;parameters=1536
variable	node=689;name=seqnn/trunk/downres/downres_block_5/pointwise_conv_block/normalization/exponential_moving_average/average;shape=1x1x1536;trainable=false;parameters=1536
variable	node=693;name=seqnn/trunk/transformer/transformer_block_0/mha/multihead_attention/embedding_layer/w;shape=1536x1536;trainable=true;parameters=2359296
variable	node=694;name=seqnn/trunk/transformer/transformer_block_0/mha/multihead_attention/embedding_layer/b;shape=1536;trainable=true;parameters=1536
variable	node=699;name=seqnn/trunk/transformer/transformer_block_1/mha/multihead_attention/embedding_layer/w;shape=1536x1536;trainable=true;parameters=2359296
variable	node=700;name=seqnn/trunk/transformer/transformer_block_1/mha/multihead_attention/embedding_layer/b;shape=1536;trainable=true;parameters=1536
variable	node=705;name=seqnn/trunk/transformer/transformer_block_2/mha/multihead_attention/embedding_layer/w;shape=1536x1536;trainable=true;parameters=2359296
variable	node=706;name=seqnn/trunk/transformer/transformer_block_2/mha/multihead_attention/embedding_layer/b;shape=1536;trainable=true;parameters=1536
variable	node=711;name=seqnn/trunk/transformer/transformer_block_3/mha/multihead_attention/embedding_layer/w;shape=1536x1536;trainable=true;parameters=2359296
variable	node=712;name=seqnn/trunk/transformer/transformer_block_3/mha/multihead_attention/embedding_layer/b;shape=1536;trainable=true;parameters=1536
variable	node=717;name=seqnn/trunk/transformer/transformer_block_4/mha/multihead_attention/embedding_layer/w;shape=1536x1536;trainable=true;parameters=2359296
variable	node=718;name=seqnn/trunk/transformer/transformer_block_4/mha/multihead_attention/embedding_layer/b;shape=1536;trainable=true;parameters=1536
variable	node=723;name=seqnn/trunk/transformer/transformer_block_5/mha/multihead_attention/embedding_layer/w;shape=1536x1536;trainable=true;parameters=2359296
variable	node=724;name=seqnn/trunk/transformer/transformer_block_5/mha/multihead_attention/embedding_layer/b;shape=1536;trainable=true;parameters=1536
variable	node=729;name=seqnn/trunk/transformer/transformer_block_6/mha/multihead_attention/embedding_layer/w;shape=1536x1536;trainable=true;parameters=2359296
variable	node=730;name=seqnn/trunk/transformer/transformer_block_6/mha/multihead_attention/embedding_layer/b;shape=1536;trainable=true;parameters=1536
variable	node=735;name=seqnn/trunk/transformer/transformer_block_7/mha/multihead_attention/embedding_layer/w;shape=1536x1536;trainable=true;parameters=2359296
variable	node=736;name=seqnn/trunk/transformer/transformer_block_7/mha/multihead_attention/embedding_layer/b;shape=1536;trainable=true;parameters=1536
variable	node=741;name=seqnn/trunk/transformer/transformer_block_8/mha/multihead_attention/embedding_layer/w;shape=1536x1536;trainable=true;parameters=2359296
variable	node=742;name=seqnn/trunk/transformer/transformer_block_8/mha/multihead_attention/embedding_layer/b;shape=1536;trainable=true;parameters=1536
variable	node=747;name=seqnn/trunk/transformer/transformer_block_9/mha/multihead_attention/embedding_layer/w;shape=1536x1536;trainable=true;parameters=2359296
variable	node=748;name=seqnn/trunk/transformer/transformer_block_9/mha/multihead_attention/embedding_layer/b;shape=1536;trainable=true;parameters=1536
variable	node=753;name=seqnn/trunk/transformer/transformer_block_10/mha/multihead_attention/embedding_layer/w;shape=1536x1536;trainable=true;parameters=2359296
variable	node=754;name=seqnn/trunk/transformer/transformer_block_10/mha/multihead_attention/embedding_layer/b;shape=1536;trainable=true;parameters=1536
variable	node=756;name=seqnn/trunk/transformer/transformer_block_0/mha/multihead_attention/q_layer/linear/w;shape=1536x512;trainable=true;parameters=786432
variable	node=757;name=seqnn/trunk/transformer/transformer_block_0/mha/multihead_attention/k_layer/linear/w;shape=1536x512;trainable=true;parameters=786432
variable	node=758;name=seqnn/trunk/transformer/transformer_block_0/mha/multihead_attention/v_layer/linear/w;shape=1536x1536;trainable=true;parameters=2359296
variable	node=759;name=seqnn/trunk/transformer/transformer_block_0/mha/multihead_attention/r_k_layer/linear/w;shape=192x512;trainable=true;parameters=98304
variable	node=760;name=seqnn/trunk/transformer/transformer_block_1/mha/multihead_attention/q_layer/linear/w;shape=1536x512;trainable=true;parameters=786432
variable	node=761;name=seqnn/trunk/transformer/transformer_block_1/mha/multihead_attention/k_layer/linear/w;shape=1536x512;trainable=true;parameters=786432
variable	node=762;name=seqnn/trunk/transformer/transformer_block_1/mha/multihead_attention/v_layer/linear/w;shape=1536x1536;trainable=true;parameters=2359296
variable	node=763;name=seqnn/trunk/transformer/transformer_block_1/mha/multihead_attention/r_k_layer/linear/w;shape=192x512;trainable=true;parameters=98304
variable	node=764;name=seqnn/trunk/transformer/transformer_block_2/mha/multihead_attention/q_layer/linear/w;shape=1536x512;trainable=true;parameters=786432
variable	node=765;name=seqnn/trunk/transformer/transformer_block_2/mha/multihead_attention/k_layer/linear/w;shape=1536x512;trainable=true;parameters=786432
variable	node=766;name=seqnn/trunk/transformer/transformer_block_2/mha/multihead_attention/v_layer/linear/w;shape=1536x1536;trainable=true;parameters=2359296
variable	node=767;name=seqnn/trunk/transformer/transformer_block_2/mha/multihead_attention/r_k_layer/linear/w;shape=192x512;trainable=true;parameters=98304
variable	node=768;name=seqnn/trunk/transformer/transformer_block_3/mha/multihead_attention/q_layer/linear/w;shape=1536x512;trainable=true;parameters=786432
variable	node=769;name=seqnn/trunk/transformer/transformer_block_3/mha/multihead_attention/k_layer/linear/w;shape=1536x512;trainable=true;parameters=786432
variable	node=770;name=seqnn/trunk/transformer/transformer_block_3/mha/multihead_attention/v_layer/linear/w;shape=1536x1536;trainable=true;parameters=2359296
variable	node=771;name=seqnn/trunk/transformer/transformer_block_3/mha/multihead_attention/r_k_layer/linear/w;shape=192x512;trainable=true;parameters=98304
variable	node=772;name=seqnn/trunk/transformer/transformer_block_4/mha/multihead_attention/q_layer/linear/w;shape=1536x512;trainable=true;parameters=786432
variable	node=773;name=seqnn/trunk/transformer/transformer_block_4/mha/multihead_attention/k_layer/linear/w;shape=1536x512;trainable=true;parameters=786432
variable	node=774;name=seqnn/trunk/transformer/transformer_block_4/mha/multihead_attention/v_layer/linear/w;shape=1536x1536;trainable=true;parameters=2359296
variable	node=775;name=seqnn/trunk/transformer/transformer_block_4/mha/multihead_attention/r_k_layer/linear/w;shape=192x512;trainable=true;parameters=98304
variable	node=776;name=seqnn/trunk/transformer/transformer_block_5/mha/multihead_attention/q_layer/linear/w;shape=1536x512;trainable=true;parameters=786432
variable	node=777;name=seqnn/trunk/transformer/transformer_block_5/mha/multihead_attention/k_layer/linear/w;shape=1536x512;trainable=true;parameters=786432
variable	node=778;name=seqnn/trunk/transformer/transformer_block_5/mha/multihead_attention/v_layer/linear/w;shape=1536x1536;trainable=true;parameters=2359296
variable	node=779;name=seqnn/trunk/transformer/transformer_block_5/mha/multihead_attention/r_k_layer/linear/w;shape=192x512;trainable=true;parameters=98304
variable	node=780;name=seqnn/trunk/transformer/transformer_block_6/mha/multihead_attention/q_layer/linear/w;shape=1536x512;trainable=true;parameters=786432
variable	node=781;name=seqnn/trunk/transformer/transformer_block_6/mha/multihead_attention/k_layer/linear/w;shape=1536x512;trainable=true;parameters=786432
variable	node=782;name=seqnn/trunk/transformer/transformer_block_6/mha/multihead_attention/v_layer/linear/w;shape=1536x1536;trainable=true;parameters=2359296
variable	node=783;name=seqnn/trunk/transformer/transformer_block_6/mha/multihead_attention/r_k_layer/linear/w;shape=192x512;trainable=true;parameters=98304
variable	node=784;name=seqnn/trunk/transformer/transformer_block_7/mha/multihead_attention/q_layer/linear/w;shape=1536x512;trainable=true;parameters=786432
variable	node=785;name=seqnn/trunk/transformer/transformer_block_7/mha/multihead_attention/k_layer/linear/w;shape=1536x512;trainable=true;parameters=786432
variable	node=786;name=seqnn/trunk/transformer/transformer_block_7/mha/multihead_attention/v_layer/linear/w;shape=1536x1536;trainable=true;parameters=2359296
variable	node=787;name=seqnn/trunk/transformer/transformer_block_7/mha/multihead_attention/r_k_layer/linear/w;shape=192x512;trainable=true;parameters=98304
variable	node=788;name=seqnn/trunk/transformer/transformer_block_8/mha/multihead_attention/q_layer/linear/w;shape=1536x512;trainable=true;parameters=786432
variable	node=789;name=seqnn/trunk/transformer/transformer_block_8/mha/multihead_attention/k_layer/linear/w;shape=1536x512;trainable=true;parameters=786432
variable	node=790;name=seqnn/trunk/transformer/transformer_block_8/mha/multihead_attention/v_layer/linear/w;shape=1536x1536;trainable=true;parameters=2359296
variable	node=791;name=seqnn/trunk/transformer/transformer_block_8/mha/multihead_attention/r_k_layer/linear/w;shape=192x512;trainable=true;parameters=98304
variable	node=792;name=seqnn/trunk/transformer/transformer_block_9/mha/multihead_attention/q_layer/linear/w;shape=1536x512;trainable=true;parameters=786432
variable	node=793;name=seqnn/trunk/transformer/transformer_block_9/mha/multihead_attention/k_layer/linear/w;shape=1536x512;trainable=true;parameters=786432
variable	node=794;name=seqnn/trunk/transformer/transformer_block_9/mha/multihead_attention/v_layer/linear/w;shape=1536x1536;trainable=true;parameters=2359296
variable	node=795;name=seqnn/trunk/transformer/transformer_block_9/mha/multihead_attention/r_k_layer/linear/w;shape=192x512;trainable=true;parameters=98304
variable	node=796;name=seqnn/trunk/transformer/transformer_block_10/mha/multihead_attention/q_layer/linear/w;shape=1536x512;trainable=true;parameters=786432
variable	node=797;name=seqnn/trunk/transformer/transformer_block_10/mha/multihead_attention/k_layer/linear/w;shape=1536x512;trainable=true;parameters=786432
variable	node=798;name=seqnn/trunk/transformer/transformer_block_10/mha/multihead_attention/v_layer/linear/w;shape=1536x1536;trainable=true;parameters=2359296
variable	node=799;name=seqnn/trunk/transformer/transformer_block_10/mha/multihead_attention/r_k_layer/linear/w;shape=192x512;trainable=true;parameters=98304
