	G3R1_Cortex_3xTgAD	G3R3_Cortex_3xTgAD	G3R4_Cortex_3xTgAD	G3R10_Cortex_WT	G3R7_Cortex_WT	G3R9_Cortex_WT
ENSMUSG00000028979	2100	2393	2121	2340	1983	2119
ENSMUSG00000028980	283	366	286	351	204	360
ENSMUSG00000028982	691	922	850	948	683	948
ENSMUSG00000028986	3162	3277	2811	3727	3096	3080
ENSMUSG00000028988	1126	1116	1045	1058	1068	1009
ENSMUSG00000028989	37	55	69	66	61	60
ENSMUSG00000028990	265	286	272	245	271	271
ENSMUSG00000028991	3950	3956	3477	4228	3716	4079
ENSMUSG00000028992	155	174	173	187	182	177
ENSMUSG00000028995	724	563	627	689	718	620
ENSMUSG00000028996	5	4	10	3	6	3
ENSMUSG00000028998	835	834	936	960	1085	843
ENSMUSG00000028999	567	673	637	645	663	731
ENSMUSG00000029001	2720	3396	1897	2025	2190	2029
ENSMUSG00000029003	199	237	215	224	241	217
ENSMUSG00000029004	4883	6126	5534	6195	4654	5949
ENSMUSG00000029005	5	12	12	13	19	9
ENSMUSG00000029007	205	247	272	186	216	234
ENSMUSG00000029009	1341	1889	1878	1795	1839	1757
ENSMUSG00000029012	717	793	762	956	826	956
ENSMUSG00000029014	757	790	790	902	890	804
ENSMUSG00000029015	8	5	10	12	12	7
ENSMUSG00000029016	3005	3453	4204	4679	4666	4497
ENSMUSG00000029017	1130	1044	1130	1208	1189	1164
ENSMUSG00000029019	1	0	2	0	0	0
ENSMUSG00000029020	6528	6861	6110	6307	6029	5664
ENSMUSG00000029022	870	917	500	498	533	447
ENSMUSG00000029026	39	8	35	42	59	99
ENSMUSG00000029027	603	768	637	652	680	593
ENSMUSG00000029028	1561	1907	1740	1862	1965	1589
ENSMUSG00000029029	3593	4756	4173	4318	4228	4417
ENSMUSG00000029030	2824	3818	3249	3410	3408	3556
ENSMUSG00000029032	12	8	19	14	26	11
ENSMUSG00000029033	4744	6277	5488	5815	5371	5546
ENSMUSG00000029034	1002	1270	1184	1153	1205	1015
ENSMUSG00000029036	1397	1700	1661	1637	1790	1503
ENSMUSG00000029038	1715	1886	1900	1830	1825	1704
ENSMUSG00000029044	0	0	0	0	0	0
ENSMUSG00000029047	284	347	315	279	340	305
ENSMUSG00000029048	1290	1498	1600	1552	1530	1461
ENSMUSG00000029049	1083	1418	1097	1207	1433	1099
ENSMUSG00000029050	4310	4991	4956	5507	5160	4815
ENSMUSG00000029053	7198	9090	8416	9336	7986	8992
ENSMUSG00000029054	1141	1733	1735	2171	1257	2043
ENSMUSG00000029055	4189	4442	3864	4824	5482	4082
ENSMUSG00000029056	1800	2192	2156	1905	2133	1828
ENSMUSG00000029059	1110	1209	1057	1263	1439	1130
ENSMUSG00000029060	3775	4802	4192	4320	4347	3856
ENSMUSG00000029061	50	47	74	51	35	40
ENSMUSG00000029062	1920	2172	2097	2082	1944	1948
ENSMUSG00000029063	2195	2354	2422	2336	2520	2385
ENSMUSG00000029064	13949	14723	14407	16225	15003	14326
ENSMUSG00000029066	723	800	801	839	853	864
ENSMUSG00000029068	3935	4540	4438	4463	4934	4586
ENSMUSG00000029070	120	163	181	177	155	132
ENSMUSG00000029071	3469	4324	3798	3884	4220	3586
ENSMUSG00000029072	53	44	57	39	65	37
ENSMUSG00000029073	409	462	440	458	454	441
ENSMUSG00000029074	11	6	15	12	6	10
ENSMUSG00000029075	39	44	43	45	55	32
ENSMUSG00000029076	5422	6045	6186	6680	5595	6530
ENSMUSG00000029082	10	35	10	6	5	6
ENSMUSG00000029084	70	81	116	89	90	139
ENSMUSG00000029086	588	796	790	900	673	865
ENSMUSG00000029088	5009	5435	5656	7171	4652	4766
ENSMUSG00000029089	169	184	167	181	164	202
ENSMUSG00000029090	648	554	548	631	525	601
ENSMUSG00000029092	1	0	0	0	0	0
ENSMUSG00000029093	2084	1768	1693	1758	2530	1542
ENSMUSG00000029094	769	907	875	850	692	875
ENSMUSG00000029095	6087	8133	6211	8694	8601	8072
ENSMUSG00000029096	131	246	149	178	150	181
ENSMUSG00000029097	221	274	252	253	238	229
ENSMUSG00000029098	1229	1762	1461	1587	1283	1714
ENSMUSG00000029101	1742	1626	1219	1723	2378	1389
ENSMUSG00000029102	7	9	9	5	9	8
ENSMUSG00000029103	3779	3891	3670	3956	4971	3966
ENSMUSG00000029104	4557	4918	4839	7416	4258	6937
ENSMUSG00000029106	11643	11953	12437	13510	12031	12466
ENSMUSG00000029108	3436	4069	3905	6027	3033	5116
ENSMUSG00000029110	1848	1941	2047	2034	2011	2046
ENSMUSG00000029111	868	1002	824	939	1052	806
ENSMUSG00000029112	1	0	1	0	3	0
ENSMUSG00000029119	874	1213	892	917	1059	834
ENSMUSG00000029120	16412	19450	17839	20258	17953	17984
ENSMUSG00000029121	5509	5074	5089	5317	6521	4482
ENSMUSG00000029122	2607	2969	2917	2659	3165	2526
ENSMUSG00000029123	100	35	35	62	159	27
ENSMUSG00000029125	1366	1459	1463	1575	1607	1438
ENSMUSG00000029126	5743	6309	6013	6372	6973	6404
ENSMUSG00000029127	843	1021	929	1073	855	1093
ENSMUSG00000029128	1617	1693	1639	1927	1855	1829
ENSMUSG00000029130	804	799	744	992	950	863
ENSMUSG00000029131	3965	4241	4192	4328	3887	4364
ENSMUSG00000029134	65	107	133	114	64	96
ENSMUSG00000029135	1133	1476	2022	1038	1648	1379
ENSMUSG00000029136	368	408	382	608	478	564
ENSMUSG00000029138	1	3	2	0	2	3
ENSMUSG00000029141	716	755	759	842	734	877
ENSMUSG00000029142	988	1124	1011	1446	1254	1409
ENSMUSG00000029144	2996	3158	3155	3222	3244	2985
ENSMUSG00000029145	880	945	1014	1003	971	959
ENSMUSG00000029146	1805	1933	1777	1782	1936	1740
ENSMUSG00000029147	1637	1771	1749	1817	1911	1631
ENSMUSG00000029148	2218	2407	2534	2502	2544	2429
ENSMUSG00000029149	90	93	122	91	109	130
ENSMUSG00000029151	3728	5163	4065	3602	4777	3683
ENSMUSG00000029152	7612	8093	8005	10193	7974	9524
ENSMUSG00000029153	1928	2336	2125	2451	2165	2596
ENSMUSG00000029154	141	220	172	278	97	187
ENSMUSG00000029155	4	1	2	11	4	8
ENSMUSG00000029156	1868	2100	2020	2052	1935	2021
ENSMUSG00000029158	6	10	6	7	4	5
ENSMUSG00000029161	392	339	293	404	592	307
ENSMUSG00000029162	282	382	306	367	442	350
ENSMUSG00000029163	60	63	89	55	57	36
ENSMUSG00000029165	1179	1231	1148	1205	1418	1069
ENSMUSG00000029166	4503	5522	4808	5299	5310	4587
ENSMUSG00000029167	1321	1447	1347	1807	1115	1541
ENSMUSG00000029168	1113	1045	894	1197	2048	1023
ENSMUSG00000029169	2778	2930	2867	3582	2824	3158
ENSMUSG00000029171	562	761	717	660	463	653
ENSMUSG00000029173	651	723	665	874	646	847
ENSMUSG00000029174	1025	1197	1135	1243	1171	1311
ENSMUSG00000029175	849	1093	927	977	925	1040
ENSMUSG00000029176	1924	1978	1895	2180	2089	1988
ENSMUSG00000029177	64	111	130	95	41	107
ENSMUSG00000029178	476	468	493	521	483	650
ENSMUSG00000029179	497	587	461	617	470	584
ENSMUSG00000029182	9	3	1	10	4	5
ENSMUSG00000029184	0	0	0	0	0	0
ENSMUSG00000029185	136	162	183	192	210	144
ENSMUSG00000029186	104	124	111	148	105	108
ENSMUSG00000029188	5	8	4	0	6	1
ENSMUSG00000029189	2269	3076	2825	3315	1675	3596
ENSMUSG00000029190	3645	3555	3558	4905	3017	4511
ENSMUSG00000029191	1186	1230	1211	1387	1088	1289
ENSMUSG00000029192	2476	2596	2948	3118	2386	3158
ENSMUSG00000029193	0	1	0	2	8	0
ENSMUSG00000029195	33	22	29	30	28	16
ENSMUSG00000029196	873	840	943	996	988	1034
ENSMUSG00000029198	974	1014	1038	1020	1050	980
ENSMUSG00000029199	956	1068	993	1184	904	1186
ENSMUSG00000029201	846	939	936	951	1095	864
ENSMUSG00000029202	1084	1168	1127	1890	886	1748
ENSMUSG00000029203	2840	2841	2820	3399	2826	3370
ENSMUSG00000029204	18	15	14	22	33	21
ENSMUSG00000029205	2	0	0	3	3	0
ENSMUSG00000029206	472	281	276	895	773	553
ENSMUSG00000029207	1011	1220	1158	1721	1152	1609
ENSMUSG00000029208	1917	2539	1993	2452	1993	1906
ENSMUSG00000029209	1069	1124	1118	1296	1096	1147
ENSMUSG00000029211	2975	2915	2957	3642	2426	3239
ENSMUSG00000029212	859	706	680	1121	882	1100
ENSMUSG00000029213	1042	1050	966	1127	1170	1076
ENSMUSG00000029217	49	63	84	77	102	70
ENSMUSG00000029219	2	0	2	25	56	9
ENSMUSG00000029221	4256	4447	4257	4867	4331	4442
ENSMUSG00000029223	9643	9780	8094	9598	13186	8434
ENSMUSG00000029227	2248	2333	2249	2514	2466	2359
ENSMUSG00000029228	2207	2420	2153	2490	2689	2477
ENSMUSG00000029229	472	556	486	606	526	591
ENSMUSG00000029231	2058	2191	1686	2140	2982	1937
ENSMUSG00000029233	286	340	361	434	363	421
ENSMUSG00000029234	973	1168	963	1328	1060	1140
ENSMUSG00000029235	4	7	2	2	5	4
ENSMUSG00000029236	4	3	3	1	2	3
ENSMUSG00000029238	1572	1626	1542	2901	1326	2655
ENSMUSG00000029245	2807	2466	2459	2772	3115	2761
ENSMUSG00000029246	652	731	696	693	712	799
ENSMUSG00000029247	2187	2412	2436	2361	2152	2490
ENSMUSG00000029248	29	21	18	13	21	18
ENSMUSG00000029249	188	188	183	207	167	189
ENSMUSG00000029250	1810	1776	1834	2001	1770	2063
ENSMUSG00000029253	809	893	850	1165	970	1064
ENSMUSG00000029254	8	6	10	6	0	9
ENSMUSG00000029255	1	2	1	1	0	0
ENSMUSG00000029260	1	3	2	0	1	4
ENSMUSG00000029263	716	800	726	943	696	881
ENSMUSG00000029265	1015	937	1075	1219	1150	1173
ENSMUSG00000029267	2088	2685	2184	3282	2055	2931
ENSMUSG00000029268	0	0	0	0	0	0
ENSMUSG00000029269	2	1	0	0	0	1
ENSMUSG00000029270	1256	1167	1200	1420	1169	1221
ENSMUSG00000029272	0	0	0	0	0	0
ENSMUSG00000029273	2	2	0	1	1	0
ENSMUSG00000029275	0	1	1	0	1	0
ENSMUSG00000029276	721	977	802	1133	759	1130
ENSMUSG00000029279	806	956	899	1167	773	1241
ENSMUSG00000029280	0	0	0	0	0	0
ENSMUSG00000029281	0	0	0	0	0	0
ENSMUSG00000029282	0	0	0	0	0	0
ENSMUSG00000029283	870	779	812	832	1129	923
ENSMUSG00000029286	0	0	0	2	1	0
ENSMUSG00000029287	399	430	508	526	469	511
ENSMUSG00000029288	0	0	0	0	0	0
ENSMUSG00000029290	1402	1439	1318	1550	1441	1573
ENSMUSG00000029291	4798	5023	4935	5948	4970	6093
ENSMUSG00000029298	160	188	205	249	160	221
ENSMUSG00000029299	11	16	16	23	19	25
ENSMUSG00000029304	214	307	432	167	173	153
ENSMUSG00000029306	5	4	2	5	5	5
ENSMUSG00000029307	198	305	261	283	270	330
ENSMUSG00000029309	46399	54483	55832	57863	58087	60064
ENSMUSG00000029310	1257	1452	1338	1470	1470	1594
ENSMUSG00000029311	792	1100	991	990	1047	1024
ENSMUSG00000029312	800	883	926	992	900	1026
ENSMUSG00000029313	583	589	688	866	673	828
ENSMUSG00000029314	134	177	111	210	107	235
ENSMUSG00000029319	2621	3040	2734	3551	2712	3488
ENSMUSG00000029320	0	0	4	0	0	0
ENSMUSG00000029321	0	4	6	3	4	1
ENSMUSG00000029322	14	8	10	5	5	9
ENSMUSG00000029326	1189	1224	1132	1296	1322	1258
ENSMUSG00000029328	6580	7009	6991	7419	6940	6199
ENSMUSG00000029330	3293	4412	4681	4906	2935	5346
ENSMUSG00000029331	5	7	3	7	8	0
ENSMUSG00000029333	1130	1390	1207	1957	997	1552
ENSMUSG00000029334	508	388	276	308	659	208
ENSMUSG00000029335	238	259	203	316	285	184
ENSMUSG00000029337	90	115	93	121	75	150
ENSMUSG00000029338	37	55	77	66	52	60
ENSMUSG00000029343	113	176	146	148	203	142
ENSMUSG00000029344	711	859	779	838	743	804
ENSMUSG00000029345	1517	1724	1609	1692	1481	1450
ENSMUSG00000029346	682	847	785	773	830	660
ENSMUSG00000029348	1849	2162	1993	2306	2274	2477
ENSMUSG00000029352	49	46	73	49	65	46
ENSMUSG00000029359	810	782	783	1170	1575	1092
ENSMUSG00000029360	782	937	760	892	993	814
ENSMUSG00000029361	2649	1316	1137	1275	3791	992
ENSMUSG00000029363	1699	1826	1764	1984	2030	1569
ENSMUSG00000029364	6262	7286	6487	7632	7913	6704
ENSMUSG00000029366	542	584	588	772	524	806
ENSMUSG00000029368	1	0	1	0	1	0
ENSMUSG00000029369	0	1	3	11	8	6
ENSMUSG00000029370	35	36	23	27	35	30
ENSMUSG00000029371	1	7	8	11	4	5
ENSMUSG00000029372	1	1	4	0	1	0
ENSMUSG00000029373	11	7	11	8	8	2
ENSMUSG00000029375	0	0	0	0	0	0
ENSMUSG00000029376	298	331	320	391	250	316
ENSMUSG00000029377	1	1	0	0	0	0
ENSMUSG00000029378	1	4	0	1	4	1
ENSMUSG00000029379	0	0	0	0	0	0
ENSMUSG00000029380	3	4	0	1	4	1
ENSMUSG00000029381	103	85	85	132	103	127
ENSMUSG00000029384	8	8	5	18	8	11
ENSMUSG00000029385	1251	1278	1298	1347	1220	1505
ENSMUSG00000029386	923	933	784	791	1022	654
ENSMUSG00000029387	779	793	697	704	750	647
ENSMUSG00000029388	571	626	584	560	629	568
ENSMUSG00000029389	1197	1597	1431	1407	1484	1359
ENSMUSG00000029390	2340	2382	2497	2507	2463	2372
ENSMUSG00000029392	1851	2224	1927	2093	2272	2226
ENSMUSG00000029394	2185	3116	3139	3039	2270	3148
ENSMUSG00000029397	962	916	1004	1154	1286	1237
ENSMUSG00000029401	326	364	375	361	463	370
ENSMUSG00000029402	237	235	246	246	252	267
ENSMUSG00000029403	1449	1381	1336	1732	1681	1411
ENSMUSG00000029404	680	801	698	843	840	733
ENSMUSG00000029405	7508	6589	6768	8174	7790	7518
ENSMUSG00000029406	10215	13221	11176	11876	11261	11454
ENSMUSG00000029407	2411	2353	2454	2737	2496	2712
ENSMUSG00000029408	1218	1580	1527	1781	1311	1767
ENSMUSG00000029409	1	1	0	0	2	0
ENSMUSG00000029410	17	15	21	70	108	82
ENSMUSG00000029413	660	819	728	914	1166	1014
ENSMUSG00000029414	22	12	21	20	23	31
ENSMUSG00000029415	702	738	727	1079	945	1055
ENSMUSG00000029416	558	766	818	765	709	882
ENSMUSG00000029417	0	0	0	1	0	0
ENSMUSG00000029419	3895	4599	3759	4145	4702	3601
ENSMUSG00000029420	3733	4410	4000	5067	4714	4998
ENSMUSG00000029422	2662	2665	2866	2836	2525	2763
ENSMUSG00000029423	7	4	4	3	3	8
ENSMUSG00000029426	1876	2126	2137	2220	1598	2189
ENSMUSG00000029427	1232	1479	1435	1530	1481	1598
ENSMUSG00000029428	1137	1284	1133	1299	1510	1229
ENSMUSG00000029430	3945	3752	4198	3898	4291	4019
ENSMUSG00000029431	22	18	20	45	56	42
ENSMUSG00000029432	1795	2086	1944	2359	2021	2195
ENSMUSG00000029433	815	1138	1001	1578	1487	1537
ENSMUSG00000029434	3221	3719	3591	4449	3154	4341
ENSMUSG00000029436	3129	3815	3710	5257	4378	5209
ENSMUSG00000029437	0	0	0	0	0	0
ENSMUSG00000029438	2555	3053	2714	2984	2614	2700
ENSMUSG00000029439	4007	4501	4285	5322	4407	5670
ENSMUSG00000029440	755	885	835	861	1039	911
ENSMUSG00000029442	281	296	181	405	663	302
ENSMUSG00000029445	1	0	1	1	1	0
ENSMUSG00000029446	631	683	740	670	668	623
ENSMUSG00000029447	2359	2047	2330	2480	2336	2457
ENSMUSG00000029449	1724	1822	1753	1691	2063	1627
ENSMUSG00000029451	0	0	0	0	0	0
ENSMUSG00000029452	909	1056	1115	1389	1504	1593
ENSMUSG00000029454	1319	1529	1483	1971	1711	1948
ENSMUSG00000029455	1883	2206	2202	2029	1961	1770
ENSMUSG00000029456	341	483	372	438	383	378
ENSMUSG00000029458	1873	2310	2114	2224	1834	2182
ENSMUSG00000029461	8742	9502	9523	11305	8436	10444
ENSMUSG00000029462	2756	2844	3116	3360	2873	3330
ENSMUSG00000029463	1455	1506	1616	1510	1702	1600
ENSMUSG00000029464	640	709	717	661	666	796
ENSMUSG00000029465	1937	2098	2033	2505	2295	2382
ENSMUSG00000029466	915	1020	964	1005	1084	951
ENSMUSG00000029467	21251	21642	22976	28635	18094	27421
ENSMUSG00000029468	268	408	383	395	409	452
ENSMUSG00000029469	1308	1472	1291	1548	1235	1357
ENSMUSG00000029470	570	823	767	670	520	714
ENSMUSG00000029471	6211	8282	7997	9364	6431	9227
ENSMUSG00000029472	7842	8619	7720	8646	9587	7641
ENSMUSG00000029474	1332	1368	1288	1331	1290	1240
ENSMUSG00000029475	1147	1236	1274	1146	1264	1178
ENSMUSG00000029477	12	7	18	13	16	9
ENSMUSG00000029478	5295	6425	5906	6132	5954	6014
ENSMUSG00000029480	491	628	570	477	632	538
ENSMUSG00000029482	1551	1358	1333	1479	2007	1334
ENSMUSG00000029484	179	301	220	421	399	327
ENSMUSG00000029486	547	547	509	686	586	585
ENSMUSG00000029490	48	52	56	38	43	30
ENSMUSG00000029491	12	13	15	23	15	24
ENSMUSG00000029499	165	234	181	164	156	136
ENSMUSG00000029500	1414	1397	1431	1355	1498	1385
ENSMUSG00000029501	1440	1516	1478	1637	1285	1548
ENSMUSG00000029502	1931	1968	1864	2259	1756	2381
ENSMUSG00000029503	3	2	4	2	6	2
ENSMUSG00000029504	584	618	567	720	680	635
ENSMUSG00000029505	3051	3353	3020	4524	3055	4042
ENSMUSG00000029507	329	349	341	342	343	383
ENSMUSG00000029510	362	326	409	350	498	297
ENSMUSG00000029512	2879	3561	3066	3601	3381	3383
ENSMUSG00000029513	467	657	577	634	497	596
ENSMUSG00000029516	3891	6018	5014	5778	4889	5728
ENSMUSG00000029517	1	0	0	8	8	5
ENSMUSG00000029518	1820	2144	1979	2408	2106	2319
ENSMUSG00000029521	30	20	43	44	54	59
ENSMUSG00000029522	0	1	2	0	2	0
ENSMUSG00000029524	698	845	746	1057	1108	965
ENSMUSG00000029526	2	3	1	3	4	6
ENSMUSG00000029528	1551	1912	1609	1504	1843	1525
ENSMUSG00000029530	1251	1300	1357	1523	1297	1511
ENSMUSG00000029534	1127	999	924	1312	1331	1405
ENSMUSG00000029535	324	328	322	311	338	347
ENSMUSG00000029536	1022	1150	1175	1335	1318	1249
ENSMUSG00000029538	1658	1576	1717	1570	2298	1592
ENSMUSG00000029541	1	1	0	0	0	0
ENSMUSG00000029544	5114	10122	8497	9615	5835	11251
ENSMUSG00000029545	129	148	152	192	213	169
ENSMUSG00000029546	0	0	1	1	8	0
ENSMUSG00000029547	3702	4938	4020	4379	4046	3847
ENSMUSG00000029550	2177	2301	2137	2496	2285	2080
ENSMUSG00000029551	221	221	191	201	234	217
ENSMUSG00000029552	189	274	188	304	311	282
ENSMUSG00000029553	0	2	4	0	1	0
ENSMUSG00000029554	491	617	586	579	563	605
ENSMUSG00000029556	30	28	28	12	10	11
ENSMUSG00000029557	165	194	181	173	215	169
ENSMUSG00000029559	2355	2878	2371	2581	2651	2298
ENSMUSG00000029560	384	470	470	482	667	510
ENSMUSG00000029561	107	41	111	82	83	81
ENSMUSG00000029563	210	348	306	570	207	374
ENSMUSG00000029564	12	12	10	21	16	16
ENSMUSG00000029569	478	548	539	631	540	561
ENSMUSG00000029570	459	480	520	494	597	499
ENSMUSG00000029571	4493	4284	4490	5665	4219	5228
ENSMUSG00000029575	953	1010	932	980	1395	795
ENSMUSG00000029576	825	969	753	813	1315	588
ENSMUSG00000029577	3865	4544	4255	4678	4516	4225
ENSMUSG00000029578	3344	4048	3645	3787	3823	3590
ENSMUSG00000029580	13767	15346	14503	13657	13808	13971
ENSMUSG00000029581	3543	4585	4194	4725	4105	4268
ENSMUSG00000029586	0	1	2	2	0	2
ENSMUSG00000029587	1017	1123	1189	1109	1048	1208
ENSMUSG00000029591	27	48	36	31	42	41
ENSMUSG00000029592	1288	1414	1332	1385	1451	1309
ENSMUSG00000029594	367	424	416	424	395	417
ENSMUSG00000029595	3	0	0	1	19	3
ENSMUSG00000029596	90	126	97	99	129	112
ENSMUSG00000029597	127	139	147	123	134	137
ENSMUSG00000029598	2363	3466	2990	3110	2423	3148
ENSMUSG00000029599	1062	1218	1118	1172	1192	1077
ENSMUSG00000029600	644	759	752	719	837	761
ENSMUSG00000029601	238	279	309	247	357	329
ENSMUSG00000029602	4731	4967	3739	4147	6670	3249
ENSMUSG00000029603	1952	2345	1962	2036	2483	1951
ENSMUSG00000029605	56	44	46	53	36	52
ENSMUSG00000029607	363	433	313	456	305	373
ENSMUSG00000029608	9203	13036	12337	12891	10695	13246
ENSMUSG00000029610	783	899	899	937	907	853
ENSMUSG00000029613	2347	2672	2486	2831	2272	2703
ENSMUSG00000029614	5649	5748	5815	5829	6434	5636
ENSMUSG00000029616	3160	3442	3211	3601	4128	3437
ENSMUSG00000029617	1084	1360	1242	1360	1075	1280
ENSMUSG00000029618	3	4	2	1	0	6
ENSMUSG00000029620	0	0	0	0	0	0
ENSMUSG00000029621	3643	3957	3943	3978	3876	3864
ENSMUSG00000029622	986	1252	1126	1191	1159	1129
ENSMUSG00000029623	1574	1919	1643	1916	1771	1711
ENSMUSG00000029624	900	1083	1065	1031	942	1024
ENSMUSG00000029625	1469	1824	1375	1523	1789	1268
ENSMUSG00000029627	253	258	281	261	204	259
ENSMUSG00000029629	1923	1969	1883	2760	2255	2392
ENSMUSG00000029630	0	0	0	0	0	1
ENSMUSG00000029632	3799	3917	4130	4322	4169	4528
ENSMUSG00000029633	1	2	0	0	0	3
ENSMUSG00000029634	1755	1912	1958	2182	1675	2136
ENSMUSG00000029635	1292	1381	1294	1809	1459	1640
ENSMUSG00000029636	3489	3629	3652	4309	3698	3649
ENSMUSG00000029638	1692	1925	1965	2782	1314	2450
ENSMUSG00000029640	1775	1786	1754	2155	1864	1997
ENSMUSG00000029641	83	97	76	61	143	102
ENSMUSG00000029642	983	964	950	1025	1119	959
ENSMUSG00000029644	0	0	0	0	0	0
ENSMUSG00000029646	1	4	2	0	3	0
ENSMUSG00000029647	1751	1980	1781	2270	1863	2075
ENSMUSG00000029648	2530	3927	3015	3192	2851	2662
ENSMUSG00000029649	1580	1742	1710	1697	1803	1724
ENSMUSG00000029650	296	379	338	312	305	346
ENSMUSG00000029651	1708	2098	2026	2413	1486	2573
ENSMUSG00000029655	1078	1189	1072	1647	1093	1681
ENSMUSG00000029656	3	4	2	12	2	5
ENSMUSG00000029657	6255	5820	7248	7084	6884	7826
ENSMUSG00000029658	271	404	313	292	284	280
ENSMUSG00000029659	236	410	377	623	155	712
ENSMUSG00000029660	34	53	39	36	12	22
ENSMUSG00000029661	271	455	787	333	384	326
ENSMUSG00000029663	0	0	1	0	0	0
ENSMUSG00000029664	1	0	1	1	1	2
ENSMUSG00000029669	490	492	486	536	602	459
ENSMUSG00000029670	478	558	554	556	479	577
ENSMUSG00000029671	33	44	40	46	29	41
ENSMUSG00000029672	1361	1640	1602	1509	1778	1700
ENSMUSG00000029673	2458	2143	1941	3121	3015	2515
ENSMUSG00000029674	1345	1838	1529	2003	1535	1851
ENSMUSG00000029675	231	286	296	235	305	201
ENSMUSG00000029676	501	590	559	695	497	756
ENSMUSG00000029678	0	0	0	0	0	0
ENSMUSG00000029679	0	0	1	0	0	1
ENSMUSG00000029680	0	0	0	0	1	0
ENSMUSG00000029681	1059	1331	1253	1244	1085	1294
ENSMUSG00000029682	0	0	0	0	0	0
ENSMUSG00000029683	0	0	0	0	0	1
ENSMUSG00000029684	3785	3731	3843	4423	3526	4119
ENSMUSG00000029685	3	13	7	10	8	9
ENSMUSG00000029686	3630	3702	3856	4234	3663	4116
ENSMUSG00000029687	200	295	311	334	223	307
ENSMUSG00000029695	214	294	249	198	265	237
ENSMUSG00000029697	1	2	0	2	22	1
ENSMUSG00000029699	27	49	35	36	58	11
ENSMUSG00000029700	9	13	16	9	13	16
ENSMUSG00000029701	2479	2616	2288	2602	2780	2655
ENSMUSG00000029703	681	871	803	840	823	846
ENSMUSG00000029705	2187	2829	2608	3411	1957	3270
ENSMUSG00000029706	3	1	0	1	1	0
ENSMUSG00000029707	1	1	2	1	0	1
ENSMUSG00000029708	2633	3097	2745	3300	3006	2984
ENSMUSG00000029710	165	223	221	196	207	160
ENSMUSG00000029711	9755	11631	10276	11451	12102	9809
ENSMUSG00000029712	2660	2812	2689	2765	3158	2364
ENSMUSG00000029713	5590	6393	5582	6627	6910	5720
ENSMUSG00000029714	3478	4423	4007	4143	4324	3450
ENSMUSG00000029715	245	277	229	224	298	248
ENSMUSG00000029716	502	559	405	487	583	385
ENSMUSG00000029718	112	199	290	148	194	158
ENSMUSG00000029720	1227	1245	1523	1348	1561	1197
ENSMUSG00000029722	1135	981	907	1162	1342	951
ENSMUSG00000029723	1452	1905	1931	1873	2191	2090
ENSMUSG00000029725	159	156	176	203	200	196
ENSMUSG00000029726	893	1065	1054	984	1087	1069
ENSMUSG00000029727	51	66	81	118	46	96
ENSMUSG00000029729	1213	1247	1264	1562	1083	1495
ENSMUSG00000029730	414	562	480	498	451	551
ENSMUSG00000029735	130	157	135	164	128	134
ENSMUSG00000029736	0	1	0	1	1	0
ENSMUSG00000029752	2114	2168	2205	2448	2021	2342
ENSMUSG00000029754	124	177	146	224	253	163
ENSMUSG00000029755	65	62	58	99	135	98
ENSMUSG00000029757	3429	3437	3185	3582	3249	3318
ENSMUSG00000029759	29	39	45	47	40	55
ENSMUSG00000029761	810	819	869	1011	1022	865
ENSMUSG00000029762	19	28	26	24	27	27
ENSMUSG00000029763	2200	2136	2250	2535	1975	2303
ENSMUSG00000029765	3381	2990	3350	4425	2740	4411
ENSMUSG00000029766	0	0	0	0	0	0
ENSMUSG00000029767	2053	2117	2187	2129	2244	1987
ENSMUSG00000029769	3522	4413	4024	5366	3607	5626
ENSMUSG00000029771	637	701	654	660	806	656
ENSMUSG00000029772	5262	5048	5417	6309	4991	6540
ENSMUSG00000029775	3516	3703	3717	4159	3608	4052
ENSMUSG00000029776	1139	1206	1315	1433	1213	1341
ENSMUSG00000029777	2892	3178	3175	3427	2994	3292
ENSMUSG00000029778	6685	6764	5916	7434	9973	6854
ENSMUSG00000029780	899	1015	1007	1421	989	1431
ENSMUSG00000029781	655	710	788	927	1032	989
ENSMUSG00000029782	874	944	916	982	1093	851
ENSMUSG00000029784	19	8	7	10	22	2
ENSMUSG00000029787	1508	1526	1486	2192	1678	2095
ENSMUSG00000029788	2	3	4	3	2	0
ENSMUSG00000029790	196	167	196	214	210	181
ENSMUSG00000029797	155	332	329	201	178	297
ENSMUSG00000029798	272	349	372	931	311	841
ENSMUSG00000029802	554	565	822	917	741	820
ENSMUSG00000029804	12718	14902	14461	16005	13099	16275
ENSMUSG00000029810	682	745	812	595	1051	593
ENSMUSG00000029811	1	5	2	0	5	1
ENSMUSG00000029813	0	0	0	0	0	0
ENSMUSG00000029814	850	910	1036	1289	959	1441
ENSMUSG00000029815	241	328	264	377	237	339
ENSMUSG00000029816	62	44	73	47	79	81
ENSMUSG00000029817	3735	4501	4264	5924	4330	6384
ENSMUSG00000029819	1011	1646	1328	1257	1175	1275
ENSMUSG00000029821	1013	1123	1069	1341	1313	1300
ENSMUSG00000029822	1303	1910	1812	2272	749	2555
ENSMUSG00000029823	8302	9336	7847	11569	8535	9316
ENSMUSG00000029826	190	190	225	163	213	188
ENSMUSG00000029828	55	60	38	91	80	66
ENSMUSG00000029829	2	0	0	0	0	0
ENSMUSG00000029830	34	15	30	49	27	50
