>Log2FC2, padj<0.05	log2FoldChange	pvalue	padj
Tbx2	3.31976420800237	4.47584337664212e-09	7.66333158485659e-08
Edil3	10.1737400024613	5.25673530300116e-09	8.93283600958116e-08
Epb41l4b	2.80819282734554	6.79980389905709e-09	1.13982656110643e-07
Amhr2	3.34473031818522	7.6664642974263e-09	1.27644517931858e-07
Gmpr	2.23143114325362	9.65439078245022e-09	1.58510405183598e-07
Rn7s1	2.2144691802697	9.8640352065165e-09	1.61854709251646e-07
Sh3bgrl2	2.51668278025358	1.11610256145034e-08	1.81493496072208e-07
Taf4b	2.45153524231549	1.13278662420638e-08	1.83876630003267e-07
Tpd52	2.32807264702784	1.39559579999094e-08	2.23336399093311e-07
Aplp1	3.04921961663746	1.40425614571683e-08	2.24590119681734e-07
Slc16a3	2.63134119606379	1.63472590892133e-08	2.59163631123395e-07
Chac1	4.73990000211572	1.83185175918371e-08	2.88564411821819e-07
Cacna1g	2.32927957913953	2.03008356327255e-08	3.17948974664846e-07
Fli1	2.68441536589798	2.32824382486274e-08	3.6152268049225e-07
Gramd2	6.7871837369638	2.40961737852714e-08	3.72880403555916e-07
Cnmd	2.87289499764979	2.53480144196501e-08	3.91298204113168e-07
Ap1s2	2.30120541907386	2.56127642639283e-08	3.94329245510728e-07
Tuba4a	2.4529823745867	2.56772883638462e-08	3.95098920953375e-07
Trps1	2.14613596580483	2.72620018500536e-08	4.18063490299553e-07
Gng4	2.94952958796812	3.99891386145109e-08	5.99374139906249e-07
S100a9	10.0697137310512	4.14997973785828e-08	6.20243902870623e-07
Efcab1	3.28021013379306	4.71820086066709e-08	6.96056230063361e-07
Tspan2	4.06373792926208	4.77024866436348e-08	7.02971766587418e-07
Tubb3	3.46313551652819	5.3256322649978e-08	7.79809795766974e-07
Wif1	8.44292300293356	5.53949790012238e-08	8.10185090943666e-07
Myh4	9.65918277619228	6.59926371922552e-08	9.54908894422686e-07
Ttn	4.05714294323938	7.27017956740914e-08	1.04697517085957e-06
Homer2	2.9011968949819	7.3119038809029e-08	1.05242644053927e-06
Sfn	2.88441638961098	7.48707121776543e-08	1.07526286418951e-06
Shisa2	3.09093744897548	8.93298366477142e-08	1.26976423132248e-06
Mboat2	3.63826768389086	9.18184389312962e-08	1.30159099901096e-06
Asb4	2.75388506045511	1.0778026550775e-07	1.50820259335574e-06
St8sia2	2.19471429864292	1.13188700491738e-07	1.58144274289304e-06
Dcaf12l1	2.34167514911687	1.13803239614475e-07	1.58839644860265e-06
Dio2	4.81869084920875	2.98128940441085e-07	3.90830653888749e-06
B3gnt7	4.78545536573649	3.74044180029172e-07	4.8130086184634e-06
Syngr1	4.54175150878944	3.75976960130324e-07	4.83330381512216e-06
Synpr	2.98293404555741	4.20070011203297e-07	5.34454072747143e-06
Plcd4	2.12441703135322	4.30303791364449e-07	5.46962589219636e-06
Rgs2	2.14476046635757	4.52518234497325e-07	5.73590595699197e-06
Podxl2	2.06721542925658	5.701647037992e-07	7.07540307238542e-06
Mboat1	2.13764919613621	6.64643134228615e-07	8.15477535042501e-06
Twist1	2.04908033514808	6.72747836612015e-07	8.24305584932134e-06
Nr4a2	2.42637483058885	7.65321202525834e-07	9.30284932859984e-06
Cnr1	4.52109361890805	7.77965709554544e-07	9.44290610583861e-06
Plek2	3.24119654544038	8.20794715713234e-07	9.91407708819508e-06
Arhgef26	2.46250550595622	8.89786316846329e-07	1.06951371214566e-05
Sh3rf2	2.36468263351821	1.51023687705179e-06	1.75853663598121e-05
Vipr2	2.31654140932226	1.56807580239773e-06	1.82042754019607e-05
Plxdc1	2.77415040572131	1.95626947366667e-06	2.22921251967826e-05
Il2rg	3.63913499501393	2.06161137667971e-06	2.34237992981799e-05
H19	4.38985620677964	2.17758427782287e-06	2.46180203450004e-05
F13a1	3.81170802081503	2.40034229202588e-06	2.69125387950068e-05
Itga7	2.14069657317041	2.41119062932273e-06	2.70230263893881e-05
Aldh3a1	3.09430412319265	2.71208036336447e-06	3.01097398936368e-05
Gpd1	2.4442706966364	3.39261190991487e-06	3.70746483997892e-05
Faim2	2.59551568839108	3.48368393991559e-06	3.80087811566473e-05
Rrad	2.01874133083833	3.49521493653e-06	3.81192935857658e-05
Cd177	9.44747095480549	4.19427278427203e-06	4.51635971214147e-05
Col2a1	14.3863271054974	4.90695549356834e-06	5.22582110907284e-05
Myot	11.629299575119	5.18943399671145e-06	5.49865631085688e-05
Aspn	2.16700763631395	5.49228980138008e-06	5.80372590010583e-05
Cdh15	12.2294645066977	5.66927021724718e-06	5.97448790452456e-05
Dnm3os	2.09957705441572	5.87050525096063e-06	6.17459060999491e-05
Extl1	2.4281420218687	6.00609571144045e-06	6.30988161894724e-05
Tenm4	2.87248232727433	6.70531638574633e-06	6.9958114816599e-05
Retreg1	2.0873772112365	7.33459108189767e-06	7.59237607010318e-05
Evpl	2.49144064741698	9.77275479613837e-06	9.89619923457273e-05
Unc5c	2.99643886849983	1.0023228041267e-05	0.000101196267067957
Gimap6	2.42418048666615	1.2224465074113e-05	0.000121525038720314
Scube2	2.69490940605756	1.49506625690925e-05	0.000146010619465178
Pik3r3	2.34699176908454	1.69566310686818e-05	0.000163952290941106
Drp2	2.12700991404003	1.78332119187927e-05	0.00017181686706593
Reg3g	8.10327639336315	1.84897466472933e-05	0.000177576023169643
Pglyrp1	3.59975990524642	1.85449947420956e-05	0.0001779808902375
Ccdc3	2.13983296515201	2.29978728792894e-05	0.000215765757665631
Wfdc2	3.29589051779106	2.46261131703567e-05	0.000229773298211678
Gm4202	7.62418319815781	2.64152230435664e-05	0.00024495344451962
Nrk	2.87842530709209	2.85383305068219e-05	0.000262049533316441
Asic2	2.55802819654091	2.86082337797023e-05	0.000262602723915033
Blnk	2.66975851101494	3.13138925646311e-05	0.000284746964862795
Rarres1	2.82835703356875	3.59160622546758e-05	0.000322284427934779
Cpm	2.2215774231462	3.83472030907459e-05	0.000341731270021072
Fam83d	2.11193593034049	5.61641803866891e-05	0.000482937349947404
Rorc	3.09092734471961	5.85483530163086e-05	0.000501231215376757
Slc2a13	2.00727134841279	7.04851806294132e-05	0.000593319373415825
Tmem255b	2.77391064528303	7.89824009631508e-05	0.000658323880989303
Ptgds	3.19845581701548	8.87287449936067e-05	0.000729055862082555
Bdnf	2.2590157393994	8.89079276908604e-05	0.000730307445917463
Adgrf4	2.25387945181859	0.000109922192284387	0.000884214971172207
Tll1	2.01183092603693	0.000156214831899573	0.00121595335371242
Fgfr4	2.92393978102948	0.000274758651463921	0.0020087155081077
Galnt6	4.06250998708936	0.000287986278493815	0.00209584018361037
Tnfaip8l3	2.10579942845601	0.000411830908872402	0.00287551889607903
Ccdc194	24.3299640036769	0.00041461393306471	0.0028934646370884
Rbfox1	2.16180432460871	0.000460550850692178	0.00317492826558561
Ltbp2	2.33311780252417	0.000467874363043961	0.00322051545741829
Tbx4	2.05668923090128	0.000569463191006559	0.00383911100924308
Hba-a1	3.65210434045545	0.000571726676408943	0.00385150560081337
Slc4a8	2.16820126285932	0.000884406526263823	0.00564860912440383
Aqp1	2.2810807367925	0.00103538306808104	0.00648672019282552
Ptpn6	2.21076241170244	0.00122532121240668	0.00750681803608047
Vat1l	3.23251447190563	0.00194725809550983	0.0111570835444296
Igha	8.36056745715606	0.00210131540203758	0.0118877787070328
Mup7	7.98760057558301	0.00213957352628458	0.0120812541615214
Mgam	2.31715981983847	0.00250084040679982	0.013828625141444
Hbb-bt	3.94876888643422	0.00469100706179661	0.0234930541542067
Mab21l1	2.54467685780718	0.0048954729510711	0.0243066132335048
Mmp9	3.20978586946073	0.00525353513890493	0.0258530980799432
Serpina1a	4.64893959408401	0.00586402505883268	0.0283746177833425
Slpi	2.08547885701647	0.00656280590226346	0.0311787750614435
Hbb-bs	3.79154038185909	0.00682048443998195	0.0322004083067667
Ibsp	18.4432395374122	0.00741469165709942	0.0344920065460792
Prom1	3.56021164141023	0.00747639410331279	0.0347005256529484
Hba-a2	3.24644782224648	0.00797924632055084	0.036634199292377
Cldn7	2.89404236558506	0.0106848989337525	0.0466310942391328
Tmem125	2.13087416744658	0.0112822503597094	0.0487219035943676
