DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	PLATFORM [SNPS PASSING QC]	ASSOCIATION COUNT	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2008-07-01	18391951	Gudbjartsson DF	2008-04-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18391951	Many sequence variants affecting diversity of adult human height.	Height	30,968 European ancestry individuals	8,541 European ancestry individuals	Affymetrix, Illumina [up to 304226]	52	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST000175	Genome-wide genotyping array
2008-09-12	18391950	Lettre G	2008-04-06	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/18391950	Identification of ten loci associated with height highlights new biological pathways in human growth.	Height	15,821 European ancestry individuals	Up to 17,801 European ancestry individuals	Affymetrix, Illumina [2260683] (imputed)	18	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST000176	Genome-wide genotyping array
2013-11-15	23704328	Fatemifar G	2013-05-23	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/23704328	Genome-wide association study of primary tooth eruption identifies pleiotropic loci associated with height and craniofacial distances.	Primary tooth development (number of teeth)	11,513 European ancestry individuals		Illumina [2446724] (imputed)	11	odontogenesis	http://purl.obolibrary.org/obo/GO_0042476	GCST002031	Genome-wide genotyping array
2013-11-15	23704328	Fatemifar G	2013-05-23	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/23704328	Genome-wide association study of primary tooth eruption identifies pleiotropic loci associated with height and craniofacial distances.	Primary tooth development (time to first tooth eruption)	11,118 European ancestry individuals		Illumina [2446724] (imputed)	13	tooth eruption	http://purl.obolibrary.org/obo/GO_0044691	GCST002030	Genome-wide genotyping array
2008-12-01	18952825	Johansson A	2008-10-24	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/18952825	Common variants in the JAZF1 gene associated with height identified by linkage and genome-wide association analysis.	Height	3,925 European ancestry individuals	Up to 39,859 European ancestry individuals, Up to 1,148 African American individuals	Illumina [NR]	1	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST000254	Genome-wide genotyping array
2010-03-25	20189936	Okada Y	2010-02-26	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/20189936	A genome-wide association study in 19 633 Japanese subjects identified LHX3-QSOX2 and IGF1 as adult height loci.	Height	19,633 Japanese ancestry individuals	NA	Illumina [420885]	25	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST000611	Genome-wide genotyping array
2013-04-09	23251661	Comuzzie AG	2012-12-04	PLoS One	www.ncbi.nlm.nih.gov/pubmed/23251661	Novel genetic loci identified for the pathophysiology of childhood obesity in the Hispanic population.	Obesity-related traits	815 Hispanic children from 263 families	NA	Illumina [899892]	949	cortisol secretion measurement, hormone measurement, antioxidant measurement, CCL2 measurement, body mass index, IGFBP-3 measurement, fatty acid measurement, tumor necrosis factor-alpha measurement, gestational age, energy expenditure, sleep measurement, metabolic rate measurement, urinary metabolite measurement, blood urea nitrogen measurement, vitamin B12 measurement, energy intake, ICAM-1 measurement, body height, hip circumference, arm span, physical activity, heart rate, protein measurement, estradiol measurement, thyroid stimulating hormone measurement, waist circumference, total cholesterol measurement, interleukin-6 measurement, body composition measurement, birth weight, amino acid measurement, C-reactive protein measurement, HOMA-IR, head circumference, adiponectin measurement, high density lipoprotein cholesterol measurement, aspartate aminotransferase measurement, leptin measurement, transforming growth factor beta measurement, systolic blood pressure, IGFBP-1 measurement, bone density, body weight, fasting blood glucose measurement, homocysteine measurement, folic acid measurement, serum alanine aminotransferase measurement, CCL5 measurement, IGF-1 measurement, testosterone measurement, insulin sensitivity measurement, diastolic blood pressure, maximal oxygen uptake measurement, triglyceride measurement, low density lipoprotein cholesterol measurement, lean body mass, fasting blood insulin measurement	http://www.ebi.ac.uk/efo/EFO_0004642, http://www.ebi.ac.uk/efo/EFO_0004730, http://www.ebi.ac.uk/efo/EFO_0005119, http://www.ebi.ac.uk/efo/EFO_0004749, http://www.ebi.ac.uk/efo/EFO_0004340, http://www.ebi.ac.uk/efo/EFO_0004626, http://www.ebi.ac.uk/efo/EFO_0005110, http://www.ebi.ac.uk/efo/EFO_0004684, http://www.ebi.ac.uk/efo/EFO_0005112, http://www.ebi.ac.uk/efo/EFO_0005109, http://www.ebi.ac.uk/efo/EFO_0004870, http://www.ebi.ac.uk/efo/EFO_0005115, http://www.ebi.ac.uk/efo/EFO_0005116, http://www.ebi.ac.uk/efo/EFO_0004741, http://www.ebi.ac.uk/efo/EFO_0004620, http://www.ebi.ac.uk/efo/EFO_0003939, http://www.ebi.ac.uk/efo/EFO_0004520, http://www.ebi.ac.uk/efo/EFO_0004339, http://www.ebi.ac.uk/efo/EFO_0005093, http://www.ebi.ac.uk/efo/EFO_0005108, http://www.ebi.ac.uk/efo/EFO_0003940, http://www.ebi.ac.uk/efo/EFO_0004326, http://www.ebi.ac.uk/efo/EFO_0004747, http://www.ebi.ac.uk/efo/EFO_0004697, http://www.ebi.ac.uk/efo/EFO_0004748, http://www.ebi.ac.uk/efo/EFO_0004342, http://www.ebi.ac.uk/efo/EFO_0004574, http://www.ebi.ac.uk/efo/EFO_0004810, http://www.ebi.ac.uk/efo/EFO_0005106, http://www.ebi.ac.uk/efo/EFO_0004344, http://www.ebi.ac.uk/efo/EFO_0005134, http://www.ebi.ac.uk/efo/EFO_0004458, http://www.ebi.ac.uk/efo/EFO_0004501, http://www.ebi.ac.uk/efo/EFO_0005114, http://www.ebi.ac.uk/efo/EFO_0004502, http://www.ebi.ac.uk/efo/EFO_0004612, http://www.ebi.ac.uk/efo/EFO_0004736, http://www.ebi.ac.uk/efo/EFO_0005000, http://www.ebi.ac.uk/efo/EFO_0004818, http://www.ebi.ac.uk/efo/EFO_0006335, http://www.ebi.ac.uk/efo/EFO_0005118, http://www.ebi.ac.uk/efo/EFO_0003923, http://www.ebi.ac.uk/efo/EFO_0004338, http://www.ebi.ac.uk/efo/EFO_0004465, http://www.ebi.ac.uk/efo/EFO_0004578, http://www.ebi.ac.uk/efo/EFO_0005111, http://www.ebi.ac.uk/efo/EFO_0004735, http://www.ebi.ac.uk/efo/EFO_0005117, http://www.ebi.ac.uk/efo/EFO_0004627, http://www.ebi.ac.uk/efo/EFO_0004908, http://www.ebi.ac.uk/efo/EFO_0004471, http://www.ebi.ac.uk/efo/EFO_0006336, http://www.ebi.ac.uk/efo/EFO_0004887, http://www.ebi.ac.uk/efo/EFO_0004530, http://www.ebi.ac.uk/efo/EFO_0004611, http://www.ebi.ac.uk/efo/EFO_0004995, http://www.ebi.ac.uk/efo/EFO_0004466	GCST001762	Genome-wide genotyping array
2013-06-01	23456168	Hao Y	2013-03-03	Hum Genet	www.ncbi.nlm.nih.gov/pubmed/23456168	Genome-wide association study in Han Chinese identifies three novel loci for human height.	Height	6,534 Han Chinese ancestry individuals	1,881 Han Chinese ancestry individuals from 637 families	Affymetrix [1532051] (imputed)	11	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST001885	Genome-wide genotyping array
2011-11-25	22021425	Carty CL	2011-10-21	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/22021425	Genome-wide association study of body height in African Americans: the Women's Health Initiative SNP Health Association Resource (SHARe).	Height	8,149 African American female individuals	Up to 20,809 African American and African ancestry individuals	Affymetrix [855034]	8	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST001290	Genome-wide genotyping array
2010-12-03	20966902	Croteau-Chonka DC	2010-10-21	Obesity (Silver Spring)	www.ncbi.nlm.nih.gov/pubmed/20966902	Genome-wide association study of anthropometric traits and evidence of interactions with age and study year in Filipino women.	Height	1,792 Filipino ancestry females	NA	Affymetrix [2073674] (imputed)	7	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST000839	Genome-wide genotyping array
2011-11-08	21998595	N'Diaye A	2011-10-06	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/21998595	Identification, replication, and fine-mapping of Loci associated with adult height in individuals of african ancestry.	Height	20,427 African ancestry individuals	Up to 16,436 African American individuals	Affymetrix, Illumina [3310998] (imputed)	33	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST001263	Genome-wide genotyping array
2009-01-07	19030899	Lei SF	2008-11-23	Hum Genet	www.ncbi.nlm.nih.gov/pubmed/19030899	Genome-wide association scan for stature in Chinese: evidence for ethnic specific loci.	Height	618 Chinese ancestry individuals	2,953 Chinese ancestry individuals	Affymetrix [281533]	1	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST000272	Genome-wide genotyping array
2012-10-24	20881960	Lango Allen H	2010-09-29	Nature	www.ncbi.nlm.nih.gov/pubmed/20881960	Hundreds of variants clustered in genomic loci and biological pathways affect human height.	Height	133,653 European ancestry individuals	50,074 European ancestry individuals	Affymetrix, Illumina [2834208] (imputed)	199	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST000817	Genome-wide genotyping array
2015-07-15	25429064	He M	2014-11-26	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/25429064	Meta-analysis of genome-wide association studies of adult height in East Asians identifies 17 novel loci.	Height	36,227 East Asian ancestry individuals	57,699 East Asian ancestry individuals	Affymetrix, Illumina [2704730] (imputed)	125	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST002702	Genome-wide genotyping array
2015-07-07	25281659	van der Valk RJ	2014-10-03	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/25281659	A novel common variant in DCST2 is associated with length in early life and height in adulthood.	Birth length	28,459 European ancestry individuals	16,145 European ancestry individuals, 280 Moroccan ancestry individuals, 284 Surinamese ancestry individuals, 319 Turkish ancestry individuals, 651 Chinese ancestry individuals	Affymetrix, Illumina [2201971] (imputed)	6	body height at birth	http://www.ebi.ac.uk/efo/EFO_0006784	GCST002644	Genome-wide genotyping array
2015-07-07	25281659	van der Valk RJ	2014-10-03	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/25281659	A novel common variant in DCST2 is associated with length in early life and height in adulthood.	Infant length	28,238 European ancestry individuals	NA	Affymetrix, Illumina [2193675] (imputed)	15	infant body height	http://www.ebi.ac.uk/efo/EFO_0006785	GCST002646	Genome-wide genotyping array
2015-09-24	25282103	Wood AR	2014-10-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/25282103	Defining the role of common variation in the genomic and biological architecture of adult human height.	Height	253,288 European ancestry individuals	80,067 European ancestry individuals	Affymetrix, Illumina, Perlegen [2550858] (imputed)	173	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST002647	Genome-wide genotyping array
2016-02-10	25865494	Chan Y	2015-04-09	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/25865494	Genome-wide Analysis of Body Proportion Classifies Height-Associated Variants by Mechanism of Action and Implicates Genes Important for Skeletal Development.	Sitting height ratio	3,545 African American individuals, 12,965 European ancestry women, 8,625 European ancestry men	NA	Affymetrix, Illumina [up to 10250422] (imputed)	44	sitting height ratio	http://www.ebi.ac.uk/efo/EFO_0007118	GCST002843	Genome-wide genotyping array
2013-02-28	23202124	Horikoshi M	2012-12-02	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/23202124	New loci associated with birth weight identify genetic links between intrauterine             growth and adult height and metabolism.	Birth weight	Up to 26,836 European ancestry individuals	Up to 42,519 European ancestry individuals	Affymetrix, Illumina [~ 2700000] (imputed)	10	birth weight	http://www.ebi.ac.uk/efo/EFO_0004344	GCST001758	Genome-wide genotyping array
2015-04-23	25133637	Scannell Bryan M	2014-08-18	PLoS One	www.ncbi.nlm.nih.gov/pubmed/25133637	Genome-wide association studies and heritability estimates of body mass index related phenotypes in Bangladeshi adults.	Height	2,754 Bangladeshi ancestry females, 2,590 Bangladeshi ancestry males	NA	Illumina [1208102] (imputed)	3	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST002573	Genome-wide genotyping array
2015-04-01	25044758	Stergiakouli E	2014-07-21	Obesity (Silver Spring)	www.ncbi.nlm.nih.gov/pubmed/25044758	Genome-wide association study of height-adjusted BMI in childhood identifies functional variant in ADCY3.	Height adjusted BMI	5,809 children	2,089 European ancestry children	Illumina [2608006] (imputed)	2	height-adjusted body mass index	http://www.ebi.ac.uk/efo/EFO_0005851	GCST002538	Genome-wide genotyping array
2021-01-26	32376654	Richardson TG	2020-05-06	BMJ	www.ncbi.nlm.nih.gov/pubmed/32376654	Use of genetic variation to separate the effects of early and later life adiposity on disease risk: mendelian randomisation study.	Adult body size	453,169 European ancestry individuals		Affymetrix [12370749]	554	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST010988	Genome-wide genotyping array
2018-11-06	30174134	Qiao L	2018-08-16	J Genet Genomics	www.ncbi.nlm.nih.gov/pubmed/30174134	Genome-wide variants of Eurasian facial shape differentiation and a prospective model of DNA based face prediction.	Nosetip height	424 Uyghur ancestry female individuals, 270 Uyghur ancestry male individuals	108 Uyghur ancestry female individuals, 63 Uyghur ancestry male individuals, 1,080 Han Chinese ancestry female individuals, 424 Han Chinese ancestry male individuals	Illumina [8100752] (imputed)	0	nose morphology measurement	http://www.ebi.ac.uk/efo/EFO_0007843	GCST006500	Genome-wide genotyping array
2018-11-06	30174134	Qiao L	2018-08-16	J Genet Genomics	www.ncbi.nlm.nih.gov/pubmed/30174134	Genome-wide variants of Eurasian facial shape differentiation and a prospective model of DNA based face prediction.	Nasal root height	424 Uyghur ancestry female individuals, 270 Uyghur ancestry male individuals	108 Uyghur ancestry female individuals, 63 Uyghur ancestry male individuals, 1,080 Han Chinese ancestry female individuals, 424 Han Chinese ancestry male individuals	Illumina [8100752] (imputed)	0	nose morphology measurement	http://www.ebi.ac.uk/efo/EFO_0007843	GCST006502	Genome-wide genotyping array
2019-10-29	30305743	Bycroft C	2018-10-10	Nature	www.ncbi.nlm.nih.gov/pubmed/30305743	The UK Biobank resource with deep phenotyping and genomic data.	Height	343,321 British ancestry individuals	253,288 European ancestry individuals	Affymetrix [16443622] (imputed)	0	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST008974	Genome-wide genotyping array
2019-03-04	30595539	Wallace HJ	2018-12-27	Burns	www.ncbi.nlm.nih.gov/pubmed/30595539	Genetic influence on scar height and pliability after burn injury in individuals of European ancestry: A prospective cohort study.	Postburn scar height	665 European ancestry individuals	NA	Illumina [298150]	2	postburn hypertrophic scarring severity measurement	http://www.ebi.ac.uk/efo/EFO_0007747	GCST007251	Genome-wide genotyping array
2019-03-04	30595539	Wallace HJ	2018-12-27	Burns	www.ncbi.nlm.nih.gov/pubmed/30595539	Genetic influence on scar height and pliability after burn injury in individuals of European ancestry: A prospective cohort study.	Postburn scar pliability	665 European ancestry individuals	NA	Illumina [298150]	4	postburn hypertrophic scarring severity measurement	http://www.ebi.ac.uk/efo/EFO_0007747	GCST007252	Genome-wide genotyping array
2022-07-20	34662886	Backman JD	2021-10-18	Nature	www.ncbi.nlm.nih.gov/pubmed/34662886	Exome sequencing and analysis of 454,787 UK Biobank participants.	Any other phobia e.g. disabling fear of heights or spiders (UKB data field 20544) (Gene-based burden)	1,902 European ancestry cases, 42,366 European ancestry controls	NA	Illumina [138642]	0	specific phobia	http://www.ebi.ac.uk/efo/EFO_1001918	GCST90082630	Exome-wide sequencing
2022-07-20	34662886	Backman JD	2021-10-18	Nature	www.ncbi.nlm.nih.gov/pubmed/34662886	Exome sequencing and analysis of 454,787 UK Biobank participants.	Seated height (UKB data field 51) (Gene-based burden)	430,080 European ancestry individuals	NA	Illumina [185928]	0	sitting height measurement	http://www.ebi.ac.uk/efo/EFO_0011011	GCST90083316	Exome-wide sequencing
2022-07-20	34662886	Backman JD	2021-10-18	Nature	www.ncbi.nlm.nih.gov/pubmed/34662886	Exome sequencing and analysis of 454,787 UK Biobank participants.	Comparative height size at age 10 - About average (UKB data field 1697) (Gene-based burden)	231,189 European ancestry cases, 192,786 European ancestry controls	NA	Illumina [185853]	0	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST90081579	Exome-wide sequencing
2022-07-20	34662886	Backman JD	2021-10-18	Nature	www.ncbi.nlm.nih.gov/pubmed/34662886	Exome sequencing and analysis of 454,787 UK Biobank participants.	Comparative height size at age 10 - Shorter (UKB data field 1697) (Gene-based burden)	87,597 European ancestry cases, 336,378 European ancestry controls	NA	Illumina [185853]	0	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST90081577	Exome-wide sequencing
2022-07-20	34662886	Backman JD	2021-10-18	Nature	www.ncbi.nlm.nih.gov/pubmed/34662886	Exome sequencing and analysis of 454,787 UK Biobank participants.	Comparative height size at age 10 - Taller (UKB data field 1697) (Gene-based burden)	109,627 European ancestry cases, 314,348 European ancestry controls	NA	Illumina [185853]	0	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST90081578	Exome-wide sequencing
2022-04-26	35399580	Fernandez-Rhodes L	2022-03-11	HGG Adv	www.ncbi.nlm.nih.gov/pubmed/35399580	Ancestral diversity improves discovery and fine-mapping of genetic loci for anthropometric traits-The Hispanic/Latino Anthropometry Consortium.	Height	59,771 Hispanic or Latin American individuals	8,110 Hispanic or Latin American individuals	Affymetrix, Illumina [8927938] (imputed)	116	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST90095033	Genome-wide genotyping array
2022-04-26	35399580	Fernandez-Rhodes L	2022-03-11	HGG Adv	www.ncbi.nlm.nih.gov/pubmed/35399580	Ancestral diversity improves discovery and fine-mapping of genetic loci for anthropometric traits-The Hispanic/Latino Anthropometry Consortium.	Height	350,741 Hispanic or Latin American, African or European ancestry individuals	1,945 Hispanic or Latin American children/adolescents, 336,474 British ancestry individuals	Affymetrix, Illumina [2427315] (imputed)	0	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST90095038	Genome-wide genotyping array
2022-08-26	35534559	Howe LJ	2022-05-09	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/35534559	Within-sibship genome-wide association analyses decrease bias in estimates of direct genetic effects.	Height (population-based)	upto 71,108 European ancestry sibship	NA	Affymetrix, Illumina [NR] (imputed)	0	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST90133114	Genome-wide genotyping array
2022-08-26	35534559	Howe LJ	2022-05-09	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/35534559	Within-sibship genome-wide association analyses decrease bias in estimates of direct genetic effects.	Height (within-sibship)	upto 71,108 European ancestry sibship	NA	Affymetrix, Illumina [NR] (imputed)	0	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST90133138	Genome-wide genotyping array
2022-11-09	36217425	Lin Z	2022-09-20	HGG Adv	www.ncbi.nlm.nih.gov/pubmed/36217425	Leveraging omics data to boost the power of genome-wide association studies.	Height	91,438 European ancestry individuals	NA	NR [580000]	0	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST90225553	Genome-wide genotyping array
2022-03-25	34270706	Lin E	2021-07-16	Hum Mol Genet	www.ncbi.nlm.nih.gov/pubmed/34270706	Genome-wide association study in the Taiwan biobank identifies four novel genes for human height: NABP2, RASA2, RNF41 and SLC39A5.	Height	14,571 Taiwanese Han Chinese ancestry individuals	20,506 Taiwanese Han Chinese ancestry individuals	Affymetrix [5682219] (imputed)	31	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST90090967	Genome-wide genotyping array
2021-11-16	34226706	Barton AR	2021-07-05	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/34226706	Whole-exome imputation within UK Biobank powers rare coding variant association and fine-mapping analyses.	Height	458,235 European ancestry individuals	NA	NR [9800000] (imputed)	58	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST90025949	Genome-wide genotyping array
2021-09-24	29892013	Loh PR	2018-07-01	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/29892013	Mixed-model association for biobank-scale datasets.	Height	673,878 European ancestry individuals	NA	Affymetrix [12007535] (imputed)	0	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST90029008	Genome-wide genotyping array
2022-07-08	35653334	Raghavan S	2022-06-02	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/35653334	A multi-population phenome-wide association study of genetically-predicted height in the Million Veteran Program.	Height	235,398 non-Hispanic white ancestry individuals, 63,898 non-Hispanic black ancestry individuals, 24,497 Hispanic American ancestry individuals	NA	Affymetrix [NR] (imputed)	29	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST90105052	Genome-wide genotyping array
2022-07-08	35653334	Raghavan S	2022-06-02	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/35653334	A multi-population phenome-wide association study of genetically-predicted height in the Million Veteran Program.	Height	235,398 non-Hispanic white ancestry individuals	NA	Affymetrix [NR] (imputed)	22	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST90105049	Genome-wide genotyping array
2022-07-08	35653334	Raghavan S	2022-06-02	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/35653334	A multi-population phenome-wide association study of genetically-predicted height in the Million Veteran Program.	Height	63,898 non-Hispanic black ancestry individuals	NA	Affymetrix [NR] (imputed)	0	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST90105050	Genome-wide genotyping array
2022-07-08	35653334	Raghavan S	2022-06-02	PLoS Genet	www.ncbi.nlm.nih.gov/pubmed/35653334	A multi-population phenome-wide association study of genetically-predicted height in the Million Veteran Program.	Height	24,497 Hispanic American ancestry individuals	NA	Affymetrix [NR] (imputed)	0	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST90105051	Genome-wide genotyping array
2023-11-01	37821706	Sohail M	2023-10-11	Nature	www.ncbi.nlm.nih.gov/pubmed/37821706	Mexican Biobank advances population and medical genomics of diverse ancestries.	Height	5,663 Hispanic or Latin American individuals	NA	Illumina [28176604]	0	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST90296603	Genome-wide genotyping array
2023-11-01	37821706	Sohail M	2023-10-11	Nature	www.ncbi.nlm.nih.gov/pubmed/37821706	Mexican Biobank advances population and medical genomics of diverse ancestries.	Height	up to 1,061 Hispanic or Latin American individuals (with >90% Native American ancestry)	NA	Illumina [9446501]	0	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST90296625	Genome-wide genotyping array
2021-12-14	33623009	Thareja G	2021-02-23	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/33623009	Whole genome sequencing in the Middle Eastern Qatari population identifies genetic associations with 45 clinically relevant traits.	Height	6,044 Greater Middle Eastern (Middle Eastern, North African or Persian) individuals	NA	Illumina [7880617]	0	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST90013304	Genome-wide sequencing [NA]
2021-12-14	33623009	Thareja G	2021-02-23	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/33623009	Whole genome sequencing in the Middle Eastern Qatari population identifies genetic associations with 45 clinically relevant traits.	Sitting height	6,034 Greater Middle Eastern (Middle Eastern, North African or Persian) individuals	NA	Illumina [7880617]	0	sitting height measurement	http://www.ebi.ac.uk/efo/EFO_0011011	GCST90013303	Genome-wide sequencing [NA]
2021-07-01	33713608	Graff M	2021-03-05	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/33713608	Discovery and fine-mapping of height loci via high-density imputation of GWASs in individuals of African ancestry.	Height	41,389 African ancestry individuals	11,364 African ancestry individuals, 253,288 European ancestry individuals	Affymetrix, Illumina [17972582] (imputed)	74	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST90013466	Genome-wide genotyping array
2021-07-01	33713608	Graff M	2021-03-05	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/33713608	Discovery and fine-mapping of height loci via high-density imputation of GWASs in individuals of African ancestry.	Height	16,021 African ancestry men	2,915 African ancestry men, up to 253,288 European ancestry men	Affymetrix, Illumina [16055004] (imputed)	18	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST90013467	Genome-wide genotyping array
2021-07-01	33713608	Graff M	2021-03-05	Am J Hum Genet	www.ncbi.nlm.nih.gov/pubmed/33713608	Discovery and fine-mapping of height loci via high-density imputation of GWASs in individuals of African ancestry.	Height	25,369 African ancestry women	8,449 African ancestry women, up to 253,288 European ancestry women	Affymetrix, Illumina [19885954] (imputed)	30	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST90013468	Genome-wide genotyping array
2021-10-04	34047840	Vicuna L	2021-05-28	Hum Genet	www.ncbi.nlm.nih.gov/pubmed/34047840	Novel loci and mapuche genetic ancestry are associated with pubertal growth traits in Chilean boys.	Age at peak height velocity	440 Chilean boys, 464 Chilean girls	NA	Illumina [774433] (imputed)	1	growth rate measurement, age at assessment	http://www.ebi.ac.uk/efo/EFO_0010572, http://www.ebi.ac.uk/efo/EFO_0008007	GCST012433	Genome-wide genotyping array
2021-10-04	34047840	Vicuna L	2021-05-28	Hum Genet	www.ncbi.nlm.nih.gov/pubmed/34047840	Novel loci and mapuche genetic ancestry are associated with pubertal growth traits in Chilean boys.	Height at time of age with peak height velocity	440 Chilean boys, 464 Chilean girls	NA	Illumina [774433] (imputed)	0	growth rate measurement, age at assessment, body height	http://www.ebi.ac.uk/efo/EFO_0010572, http://www.ebi.ac.uk/efo/EFO_0008007, http://www.ebi.ac.uk/efo/EFO_0004339	GCST012432	Genome-wide genotyping array
2021-10-04	34047840	Vicuna L	2021-05-28	Hum Genet	www.ncbi.nlm.nih.gov/pubmed/34047840	Novel loci and mapuche genetic ancestry are associated with pubertal growth traits in Chilean boys.	Peak height velocity	440 Chilean boys, 464 Chilean girls	NA	Illumina [774433] (imputed)	7	growth rate measurement	http://www.ebi.ac.uk/efo/EFO_0010572	GCST012434	Genome-wide genotyping array
2022-07-20	34662886	Backman JD	2021-10-18	Nature	www.ncbi.nlm.nih.gov/pubmed/34662886	Exome sequencing and analysis of 454,787 UK Biobank participants.	Standing height (UKB data field 50)	430,070 European ancestry individuals	NA	Affymetrix, Illumina [547612]	26	body height	http://www.ebi.ac.uk/efo/EFO_0004339	GCST90079277	Genome-wide genotyping array, Exome-wide sequencing [UK Biobank/UK BiLEVE Axiom Array]
2022-07-20	34662886	Backman JD	2021-10-18	Nature	www.ncbi.nlm.nih.gov/pubmed/34662886	Exome sequencing and analysis of 454,787 UK Biobank participants.	Seated height (UKB data field 51)	430,080 European ancestry individuals	NA	Affymetrix, Illumina [547605]	4	sitting height measurement	http://www.ebi.ac.uk/efo/EFO_0011011	GCST90079330	Genome-wide genotyping array, Exome-wide sequencing [UK Biobank/UK BiLEVE Axiom Array]
2022-07-20	34662886	Backman JD	2021-10-18	Nature	www.ncbi.nlm.nih.gov/pubmed/34662886	Exome sequencing and analysis of 454,787 UK Biobank participants.	Sitting height (UKB data field 20015)	430,080 European ancestry individuals	NA	Affymetrix, Illumina [547605]	7	sitting height measurement	http://www.ebi.ac.uk/efo/EFO_0011011	GCST90078245	Genome-wide genotyping array, Exome-wide sequencing [UK Biobank/UK BiLEVE Axiom Array]
2022-07-20	34662886	Backman JD	2021-10-18	Nature	www.ncbi.nlm.nih.gov/pubmed/34662886	Exome sequencing and analysis of 454,787 UK Biobank participants.	Any other phobia e.g. disabling fear of heights or spiders (UKB data field 20544)	1,902 European ancestry cases, 42,366 European ancestry controls	NA	Affymetrix, Illumina [89217]	0	specific phobia	http://www.ebi.ac.uk/efo/EFO_1001918	GCST90078644	Genome-wide genotyping array, Exome-wide sequencing [UK Biobank/UK BiLEVE Axiom Array]
