HOG	OG	Gene Tree Parent Clade	Prokka on dataset 1_ faa	Prokka on dataset 2_ faa	Prokka on dataset 3_ faa	Prokka on dataset 4_ faa
N0.HOG0000238	OG0000195	n0			AS2_00946, AS2_00811, AS2_02387, AS2_00518	KD33716_00886
N0.HOG0000239	OG0000196	n0				KD33716_01834, KD33716_00423, KD33716_00644, KD33716_01822, KD33716_01784
N0.HOG0000240	OG0000197	n0	KBS0714_00001	SA211_02006	AS2_00423	KD33716_00376
N0.HOG0000241	OG0000198	n0	KBS0714_00002	SA211_02007	AS2_00422	KD33716_00375
N0.HOG0000242	OG0000199	n0	KBS0714_00003	SA211_02008	AS2_00421	KD33716_00374
N0.HOG0000243	OG0000200	n0	KBS0714_00004	SA211_02009	AS2_00420	KD33716_00373
N0.HOG0000244	OG0000201	n0	KBS0714_00005	SA211_02010	AS2_00419	KD33716_00371
N0.HOG0000245	OG0000202	n0	KBS0714_00006	SA211_02011	AS2_00418	KD33716_00370
N0.HOG0000246	OG0000203	n0	KBS0714_00007	SA211_02012	AS2_00417	KD33716_00369
N0.HOG0000247	OG0000204	n0	KBS0714_00009	SA211_02014	AS2_00415	KD33716_00367
N0.HOG0000248	OG0000205	n0	KBS0714_00011	SA211_02029	AS2_00386	KD33716_02181
N0.HOG0000249	OG0000206	n0	KBS0714_00014	SA211_02032	AS2_00383	KD33716_00364
N0.HOG0000250	OG0000207	n0	KBS0714_00015	SA211_02033	AS2_00382	KD33716_00363
N0.HOG0000251	OG0000208	n0	KBS0714_00016	SA211_02034	AS2_00381	KD33716_00362
N0.HOG0000252	OG0000209	n0	KBS0714_00017	SA211_02035	AS2_00380	KD33716_00361
N0.HOG0000253	OG0000210	n0	KBS0714_00018	SA211_02036	AS2_00379	KD33716_00360
N0.HOG0000254	OG0000211	n0	KBS0714_00019	SA211_02037	AS2_00377	KD33716_00359
N0.HOG0000255	OG0000212	n0	KBS0714_00020	SA211_02038	AS2_00376	KD33716_00358
N0.HOG0000256	OG0000213	n0	KBS0714_00021	SA211_02039	AS2_00375	KD33716_00357
N0.HOG0000257	OG0000214	n0	KBS0714_00022	SA211_02040	AS2_00374	KD33716_00356
N0.HOG0000258	OG0000215	n0	KBS0714_00023	SA211_02041	AS2_00373	KD33716_00355
N0.HOG0000259	OG0000216	n0	KBS0714_00024	SA211_02042	AS2_00372	KD33716_00354
N0.HOG0000260	OG0000217	n0	KBS0714_00032	SA211_02049	AS2_00366	KD33716_00304
N0.HOG0000261	OG0000218	n0	KBS0714_00033	SA211_02050	AS2_00365	KD33716_00463
N0.HOG0000262	OG0000219	n0	KBS0714_00034	SA211_02051	AS2_00362	KD33716_00303
N0.HOG0000263	OG0000220	n0	KBS0714_00190, KBS0714_00035	SA211_02020	AS2_00209	
N0.HOG0000264	OG0000221	n0	KBS0714_00036	SA211_01647	AS2_00901	KD33716_00840
N0.HOG0000265	OG0000222	n0	KBS0714_00039	SA211_02052	AS2_00361	KD33716_00302
N0.HOG0000266	OG0000223	n0	KBS0714_00040	SA211_02053	AS2_00360	KD33716_00301
N0.HOG0000267	OG0000224	n0	KBS0714_00042	SA211_02055	AS2_00358	KD33716_00300
N0.HOG0000268	OG0000225	n0	KBS0714_00043	SA211_02056	AS2_00357	KD33716_00299
N0.HOG0000269	OG0000226	n0	KBS0714_00044	SA211_02057	AS2_00356	KD33716_00298
N0.HOG0000270	OG0000227	n0	KBS0714_00045	SA211_02058	AS2_00355	KD33716_00297
N0.HOG0000271	OG0000228	n0	KBS0714_00046	SA211_02059	AS2_00349	KD33716_00294
N0.HOG0000272	OG0000229	n0	KBS0714_00047	SA211_02060	AS2_00348	KD33716_00295
N0.HOG0000273	OG0000230	n0	KBS0714_00050	SA211_02063	AS2_00353	KD33716_01218
N0.HOG0000274	OG0000231	n0	KBS0714_00054	SA211_02067	AS2_00344	KD33716_00282
N0.HOG0000275	OG0000232	n0	KBS0714_00055	SA211_02068	AS2_00342	KD33716_00281
N0.HOG0000276	OG0000233	n0	KBS0714_00056	SA211_02069	AS2_00339	KD33716_00279
N0.HOG0000277	OG0000234	n0	KBS0714_00057	SA211_02070	AS2_00338	KD33716_00278
N0.HOG0000278	OG0000235	n0	KBS0714_00058	SA211_02071	AS2_00337	KD33716_00277
N0.HOG0000279	OG0000236	n0	KBS0714_00060	SA211_02073	AS2_00335	KD33716_00276
N0.HOG0000280	OG0000237	n0	KBS0714_00061	SA211_02074	AS2_00334	KD33716_00275
N0.HOG0000281	OG0000238	n0	KBS0714_00062	SA211_02075	AS2_00333	KD33716_00274
N0.HOG0000282	OG0000239	n0	KBS0714_00065	SA211_02078	AS2_00330	KD33716_00272
N0.HOG0000283	OG0000240	n0	KBS0714_00066	SA211_02079	AS2_00329	KD33716_00268
N0.HOG0000284	OG0000241	n0	KBS0714_00067	SA211_02080	AS2_00327	KD33716_00267
N0.HOG0000285	OG0000242	n0	KBS0714_00068	SA211_02081	AS2_00326	KD33716_00266
N0.HOG0000286	OG0000243	n0	KBS0714_00069	SA211_02082	AS2_00323	KD33716_00265
N0.HOG0000287	OG0000244	n0	KBS0714_00070	SA211_02083	AS2_00322	KD33716_00264
N0.HOG0000288	OG0000245	n0	KBS0714_00071	SA211_02084	AS2_00321	KD33716_00263
N0.HOG0000289	OG0000246	n0	KBS0714_00072	SA211_02085	AS2_00320	KD33716_00262
N0.HOG0000290	OG0000247	n0	KBS0714_00074	SA211_02087	AS2_00319	KD33716_00260
N0.HOG0000291	OG0000248	n0	KBS0714_00075	SA211_02088	AS2_00318	KD33716_00259
N0.HOG0000292	OG0000249	n0	KBS0714_00077	SA211_02090	AS2_00316	KD33716_00257
N0.HOG0000293	OG0000250	n0	KBS0714_00078	SA211_02091	AS2_00315	KD33716_00256
N0.HOG0000294	OG0000251	n0	KBS0714_00079	SA211_02092	AS2_00314	KD33716_00255
N0.HOG0000295	OG0000252	n0	KBS0714_00080	SA211_02093	AS2_00313	KD33716_00254
N0.HOG0000296	OG0000253	n0	KBS0714_00081	SA211_02094	AS2_00312	KD33716_00253
N0.HOG0000297	OG0000254	n0	KBS0714_00082	SA211_02095	AS2_00311	KD33716_00252
N0.HOG0000298	OG0000255	n0	KBS0714_00084	SA211_02097	AS2_00307	KD33716_00251
N0.HOG0000299	OG0000256	n0	KBS0714_00086	SA211_02099	AS2_00305	KD33716_00250
N0.HOG0000300	OG0000257	n0	KBS0714_00087	SA211_02100	AS2_00304	KD33716_00249
N0.HOG0000301	OG0000258	n0	KBS0714_00088	SA211_02101	AS2_00303	KD33716_00248
N0.HOG0000302	OG0000259	n0	KBS0714_00089	SA211_02102	AS2_00302	KD33716_00247
N0.HOG0000303	OG0000260	n0	KBS0714_00090	SA211_02103	AS2_00301	KD33716_00246
N0.HOG0000304	OG0000261	n0	KBS0714_00091	SA211_02104	AS2_00300	KD33716_00245
N0.HOG0000305	OG0000262	n0	KBS0714_00092	SA211_02105	AS2_00299	KD33716_00244
N0.HOG0000306	OG0000263	n0	KBS0714_00093	SA211_02106	AS2_00298	KD33716_00243
N0.HOG0000307	OG0000264	n0	KBS0714_00094	SA211_02107	AS2_00297	KD33716_00242
N0.HOG0000308	OG0000265	n0	KBS0714_00095	SA211_02108	AS2_00296	KD33716_00241
N0.HOG0000309	OG0000266	n0	KBS0714_00096	SA211_02109	AS2_00295	KD33716_00240
N0.HOG0000310	OG0000267	n0	KBS0714_00097	SA211_02110	AS2_00294	KD33716_00239
N0.HOG0000311	OG0000268	n0	KBS0714_00098	SA211_02111	AS2_00293	KD33716_00238
N0.HOG0000312	OG0000269	n0	KBS0714_00101	SA211_02114	AS2_00289	KD33716_00235
N0.HOG0000313	OG0000270	n0	KBS0714_00102	SA211_02115	AS2_00288	KD33716_00234
N0.HOG0000314	OG0000271	n0	KBS0714_00103	SA211_02116	AS2_00287	KD33716_00233
N0.HOG0000315	OG0000272	n0	KBS0714_00104	SA211_02117	AS2_00286	KD33716_00232
N0.HOG0000316	OG0000273	n0	KBS0714_00106	SA211_02119	AS2_00284	KD33716_00225
N0.HOG0000317	OG0000274	n0	KBS0714_00107	SA211_02120	AS2_00283	KD33716_00224
N0.HOG0000318	OG0000275	n0	KBS0714_00108	SA211_02121	AS2_00282	KD33716_00223
N0.HOG0000319	OG0000276	n0	KBS0714_00109	SA211_02122	AS2_00281	KD33716_00222
N0.HOG0000320	OG0000277	n0	KBS0714_00110	SA211_02123	AS2_00280	KD33716_00221
N0.HOG0000321	OG0000278	n0	KBS0714_00111	SA211_02124	AS2_00279	KD33716_00220
N0.HOG0000322	OG0000279	n0	KBS0714_00112	SA211_02125	AS2_00278	KD33716_00219
N0.HOG0000323	OG0000280	n0	KBS0714_00113	SA211_02126	AS2_00277	KD33716_00218
N0.HOG0000324	OG0000281	n0	KBS0714_00115	SA211_02128	AS2_00272	KD33716_00204
N0.HOG0000325	OG0000282	n0	KBS0714_00116	SA211_02129	AS2_00271	KD33716_00203
N0.HOG0000326	OG0000283	n0	KBS0714_00117	SA211_02130	AS2_00270	KD33716_00201
N0.HOG0000327	OG0000284	n0	KBS0714_00122	SA211_02136	AS2_00263	KD33716_00197
N0.HOG0000328	OG0000285	n0	KBS0714_00123	SA211_02137	AS2_00262	KD33716_00196
N0.HOG0000329	OG0000286	n0	KBS0714_00124	SA211_02138	AS2_00261	KD33716_00195
N0.HOG0000330	OG0000287	n0	KBS0714_00125	SA211_02139	AS2_00260	KD33716_00194
N0.HOG0000331	OG0000288	n0	KBS0714_00126	SA211_02140	AS2_00259	KD33716_00193
N0.HOG0000332	OG0000289	n0	KBS0714_00127	SA211_02141	AS2_00258	KD33716_00192
N0.HOG0000333	OG0000290	n0	KBS0714_00131	SA211_02145	AS2_00254	KD33716_00651
N0.HOG0000334	OG0000291	n0	KBS0714_00133	SA211_02147	AS2_00252	KD33716_00188
N0.HOG0000335	OG0000292	n0	KBS0714_00135	SA211_02149	AS2_00250	KD33716_00185
N0.HOG0000336	OG0000293	n0	KBS0714_00136	SA211_02150	AS2_00248	KD33716_00182
N0.HOG0000337	OG0000294	n0	KBS0714_00137	SA211_02151	AS2_00247	KD33716_00181
N0.HOG0000338	OG0000295	n0	KBS0714_00138	SA211_02152	AS2_00246	KD33716_00180
N0.HOG0000339	OG0000296	n0	KBS0714_00139	SA211_02153	AS2_00245	KD33716_00179
N0.HOG0000340	OG0000297	n0	KBS0714_00140	SA211_02154	AS2_00244	KD33716_00178
N0.HOG0000341	OG0000298	n0	KBS0714_00141	SA211_02155	AS2_00243	KD33716_00177
N0.HOG0000342	OG0000299	n0	KBS0714_00142	SA211_02156	AS2_00242	KD33716_00176
N0.HOG0000343	OG0000300	n0	KBS0714_00143	SA211_02157	AS2_00241	KD33716_00175
N0.HOG0000344	OG0000301	n0	KBS0714_00144	SA211_02158	AS2_00240	KD33716_00174
N0.HOG0000345	OG0000302	n0	KBS0714_00146	SA211_02160	AS2_00238	KD33716_00173
N0.HOG0000346	OG0000303	n0	KBS0714_00147	SA211_02161	AS2_00236	KD33716_00821
N0.HOG0000347	OG0000304	n0	KBS0714_00148	SA211_02162	AS2_00235	KD33716_00820
N0.HOG0000348	OG0000305	n0	KBS0714_00149	SA211_02163	AS2_00234	KD33716_00819
N0.HOG0000349	OG0000306	n0	KBS0714_00150	SA211_02164	AS2_00233	KD33716_00172
N0.HOG0000350	OG0000307	n0	KBS0714_00151	SA211_02165	AS2_00232	KD33716_00171
N0.HOG0000351	OG0000308	n0	KBS0714_00152	SA211_02166	AS2_00231	KD33716_00170
N0.HOG0000352	OG0000309	n0	KBS0714_00154	SA211_02168	AS2_00470	KD33716_00420
N0.HOG0000353	OG0000310	n0	KBS0714_00168	SA211_00359	AS2_02333	KD33716_00676
N0.HOG0000354	OG0000311	n0	KBS0714_00178	SA211_02174	AS2_00223	KD33716_00169
N0.HOG0000355	OG0000312	n0	KBS0714_00179	SA211_02175	AS2_00222	KD33716_00168
N0.HOG0000356	OG0000313	n0	KBS0714_00180	SA211_02176	AS2_00221	KD33716_00166
N0.HOG0000357	OG0000314	n0	KBS0714_00181	SA211_02177	AS2_00220	KD33716_00165
N0.HOG0000358	OG0000315	n0	KBS0714_00182	SA211_02178	AS2_00219	KD33716_00164
N0.HOG0000359	OG0000316	n0	KBS0714_00183	SA211_02179	AS2_00218	KD33716_00163
N0.HOG0000360	OG0000317	n0	KBS0714_00184	SA211_02180	AS2_00217	KD33716_00162
N0.HOG0000361	OG0000318	n0	KBS0714_00185	SA211_02181	AS2_00216	KD33716_00161
N0.HOG0000362	OG0000319	n0	KBS0714_00186	SA211_02182	AS2_00215	KD33716_00160
N0.HOG0000363	OG0000320	n0	KBS0714_00187	SA211_02183	AS2_00214	KD33716_00159
N0.HOG0000364	OG0000321	n0	KBS0714_00189	SA211_00366	AS2_00212	KD33716_00320
N0.HOG0000365	OG0000322	n0	KBS0714_00192	SA211_02188	AS2_00208	KD33716_00155
N0.HOG0000366	OG0000323	n0	KBS0714_00193	SA211_02189	AS2_00207	KD33716_00154
N0.HOG0000367	OG0000324	n0	KBS0714_00194	SA211_02190	AS2_00206	KD33716_00153
N0.HOG0000368	OG0000325	n0	KBS0714_00195	SA211_02191	AS2_00204	KD33716_00152
N0.HOG0000369	OG0000326	n0	KBS0714_00196	SA211_02192	AS2_00203	KD33716_00151
N0.HOG0000370	OG0000327	n0	KBS0714_00197	SA211_02193	AS2_00202	KD33716_00150
N0.HOG0000371	OG0000328	n0	KBS0714_00199	SA211_00771, SA211_02195	AS2_00194	
N0.HOG0000372	OG0000329	n0	KBS0714_00203	SA211_02198	AS2_00188	KD33716_00143
N0.HOG0000373	OG0000330	n0	KBS0714_00204	SA211_02199	AS2_00198	KD33716_00140
N0.HOG0000374	OG0000331	n0	KBS0714_00207	SA211_02200	AS2_00184	KD33716_00130
N0.HOG0000375	OG0000332	n0	KBS0714_00208	SA211_02201	AS2_00183	KD33716_00129
N0.HOG0000376	OG0000333	n0	KBS0714_00209	SA211_02202	AS2_00182	KD33716_00128
N0.HOG0000377	OG0000334	n0	KBS0714_00210	SA211_02203	AS2_00181	KD33716_00127
N0.HOG0000378	OG0000335	n0	KBS0714_00211	SA211_02204	AS2_00175	KD33716_00124
N0.HOG0000379	OG0000336	n0	KBS0714_00212	SA211_02205	AS2_00174	KD33716_00123
N0.HOG0000380	OG0000337	n0	KBS0714_00213	SA211_02206	AS2_00173	KD33716_00122
N0.HOG0000381	OG0000338	n0	KBS0714_00214	SA211_02207	AS2_00169	KD33716_00120
N0.HOG0000382	OG0000339	n0	KBS0714_00215	SA211_02208	AS2_00166	KD33716_00119
N0.HOG0000383	OG0000340	n0	KBS0714_00218	SA211_02212	AS2_01604	KD33716_00616
N0.HOG0000384	OG0000341	n0	KBS0714_00220	SA211_02233	AS2_00160	KD33716_00118
N0.HOG0000385	OG0000342	n0	KBS0714_00222	SA211_02235	AS2_00158	KD33716_00116
N0.HOG0000386	OG0000343	n0	KBS0714_00223	SA211_02236	AS2_00157	KD33716_00115
N0.HOG0000387	OG0000344	n0	KBS0714_00224	SA211_02237	AS2_00156	KD33716_00114
N0.HOG0000388	OG0000345	n0	KBS0714_00225	SA211_02238	AS2_00155	KD33716_00113
N0.HOG0000389	OG0000346	n0	KBS0714_00226	SA211_02239	AS2_00154	KD33716_00112
N0.HOG0000390	OG0000347	n0	KBS0714_00228	SA211_02241	AS2_00153	KD33716_00110
N0.HOG0000391	OG0000348	n0	KBS0714_00230	SA211_02243	AS2_00151	KD33716_00108
N0.HOG0000392	OG0000349	n0	KBS0714_00231	SA211_02244	AS2_00150	KD33716_00107
N0.HOG0000393	OG0000350	n0	KBS0714_00232	SA211_02245	AS2_00147	KD33716_00105
N0.HOG0000394	OG0000351	n0	KBS0714_00233	SA211_02246	AS2_00138	KD33716_00103
N0.HOG0000395	OG0000352	n0	KBS0714_00234	SA211_02247	AS2_00137	KD33716_00102
N0.HOG0000396	OG0000353	n0	KBS0714_00235	SA211_02248	AS2_00136	KD33716_00101
N0.HOG0000397	OG0000354	n0	KBS0714_00237	SA211_02250	AS2_00134	KD33716_00099
N0.HOG0000398	OG0000355	n0	KBS0714_00238	SA211_02251	AS2_00133	KD33716_00098
N0.HOG0000399	OG0000356	n0	KBS0714_00239	SA211_02252	AS2_00132	KD33716_00097
N0.HOG0000400	OG0000357	n0	KBS0714_00240	SA211_02253	AS2_00131	KD33716_00096
N0.HOG0000401	OG0000358	n0	KBS0714_00241	SA211_02254	AS2_00128	KD33716_00095
N0.HOG0000402	OG0000359	n0	KBS0714_00244	SA211_02256	AS2_00125	KD33716_00094
N0.HOG0000403	OG0000360	n0	KBS0714_00248	SA211_02260	AS2_00122	KD33716_00090
N0.HOG0000404	OG0000361	n0	KBS0714_00249	SA211_02261	AS2_00121	KD33716_00089
N0.HOG0000405	OG0000362	n0	KBS0714_00251	SA211_02263	AS2_00119	KD33716_00087
N0.HOG0000406	OG0000363	n0	KBS0714_00255	SA211_02269	AS2_00114	KD33716_00082
N0.HOG0000407	OG0000364	n0	KBS0714_00256	SA211_02270	AS2_00113	KD33716_00081
N0.HOG0000408	OG0000365	n0	KBS0714_00257	SA211_02271	AS2_00112	KD33716_00080
N0.HOG0000409	OG0000366	n0	KBS0714_00261	SA211_02274	AS2_00106	KD33716_00076
N0.HOG0000410	OG0000367	n0	KBS0714_00262	SA211_02275	AS2_00105	KD33716_00075
N0.HOG0000411	OG0000368	n0	KBS0714_00263	SA211_02276	AS2_00100	KD33716_00071
N0.HOG0000412	OG0000369	n0	KBS0714_00264	SA211_02277	AS2_00099	KD33716_00070
N0.HOG0000413	OG0000370	n0	KBS0714_00265	SA211_02278	AS2_00098	KD33716_00069
N0.HOG0000414	OG0000371	n0	KBS0714_00266	SA211_02279	AS2_00097	KD33716_00068
N0.HOG0000415	OG0000372	n0	KBS0714_00267	SA211_02280	AS2_00096	KD33716_00067
N0.HOG0000416	OG0000373	n0	KBS0714_00268	SA211_02281	AS2_00095	KD33716_00066
N0.HOG0000417	OG0000374	n0	KBS0714_00270	SA211_02285	AS2_00087	KD33716_00064
N0.HOG0000418	OG0000375	n0	KBS0714_00275	SA211_02290	AS2_00080	KD33716_00063
N0.HOG0000419	OG0000376	n0	KBS0714_00277	SA211_02292	AS2_00076	KD33716_00061
N0.HOG0000420	OG0000377	n0	KBS0714_00278	SA211_02293	AS2_00075	KD33716_00060
N0.HOG0000421	OG0000378	n0	KBS0714_00280	SA211_02295	AS2_00073	KD33716_00059
N0.HOG0000422	OG0000379	n0	KBS0714_00281	SA211_02296	AS2_00072	KD33716_00058
N0.HOG0000423	OG0000380	n0	KBS0714_00282	SA211_02297	AS2_00071	KD33716_00057
N0.HOG0000424	OG0000381	n0	KBS0714_00283	SA211_02298	AS2_00070	KD33716_00056
N0.HOG0000425	OG0000382	n0	KBS0714_00284	SA211_02306	AS2_00069	KD33716_00049
N0.HOG0000426	OG0000383	n0	KBS0714_00288	SA211_02310	AS2_00066	KD33716_00045
N0.HOG0000427	OG0000384	n0	KBS0714_00289	SA211_02311	AS2_00065	KD33716_00044
N0.HOG0000428	OG0000385	n0	KBS0714_00291	SA211_02314	AS2_00063	KD33716_00042
N0.HOG0000429	OG0000386	n0	KBS0714_00292	SA211_02315	AS2_00062	KD33716_00041
N0.HOG0000430	OG0000387	n0	KBS0714_00293	SA211_00001	AS2_00061	KD33716_00040
N0.HOG0000431	OG0000388	n0	KBS0714_00294	SA211_00002	AS2_00060	KD33716_00039
N0.HOG0000432	OG0000389	n0	KBS0714_00296	SA211_00004	AS2_00058	KD33716_00036
N0.HOG0000433	OG0000390	n0	KBS0714_00298	SA211_00006	AS2_00056	KD33716_00034
N0.HOG0000434	OG0000391	n0	KBS0714_00299	SA211_00007	AS2_00055	KD33716_00033
N0.HOG0000435	OG0000392	n0	KBS0714_00300	SA211_00008	AS2_00054	KD33716_00032
N0.HOG0000436	OG0000393	n0	KBS0714_00301	SA211_00009	AS2_00053	KD33716_00031
N0.HOG0000437	OG0000394	n0	KBS0714_00303	SA211_00011	AS2_00051	KD33716_00030
N0.HOG0000438	OG0000395	n0	KBS0714_00305	SA211_00020	AS2_00032	KD33716_00028
N0.HOG0000439	OG0000396	n0	KBS0714_00306	SA211_00021	AS2_00031	KD33716_00027
N0.HOG0000440	OG0000397	n0	KBS0714_00307	SA211_00022	AS2_00030	KD33716_00026
N0.HOG0000441	OG0000398	n0	KBS0714_00308	SA211_00023	AS2_00029	KD33716_00025
N0.HOG0000442	OG0000399	n0	KBS0714_00311	SA211_00026	AS2_00026	KD33716_00022
N0.HOG0000443	OG0000400	n0	KBS0714_00313	SA211_00028	AS2_00024	KD33716_00020
N0.HOG0000444	OG0000401	n0	KBS0714_00314	SA211_00029	AS2_00023	KD33716_00019
N0.HOG0000445	OG0000402	n0	KBS0714_00315	SA211_00030	AS2_00022	KD33716_00018
N0.HOG0000446	OG0000403	n0	KBS0714_00316	SA211_00031	AS2_00021	KD33716_00017
N0.HOG0000447	OG0000404	n0	KBS0714_00317	SA211_00032	AS2_00020	KD33716_00016
N0.HOG0000448	OG0000405	n0	KBS0714_00319	SA211_00034	AS2_00018	KD33716_00014
N0.HOG0000449	OG0000406	n0	KBS0714_00320	SA211_00035	AS2_00017	KD33716_00013
N0.HOG0000450	OG0000407	n0	KBS0714_00321	SA211_00036	AS2_00016	KD33716_00012
N0.HOG0000451	OG0000408	n0	KBS0714_00322	SA211_00037	AS2_00015	KD33716_00011
N0.HOG0000452	OG0000409	n0	KBS0714_00323	SA211_00038	AS2_00014	KD33716_00010
N0.HOG0000453	OG0000410	n0	KBS0714_00324	SA211_00039	AS2_00013	KD33716_00009
N0.HOG0000454	OG0000411	n0	KBS0714_00325	SA211_00040	AS2_00012	KD33716_00008
N0.HOG0000455	OG0000412	n0	KBS0714_00326	SA211_00042	AS2_00009	KD33716_00007
N0.HOG0000456	OG0000413	n0	KBS0714_00330	SA211_00046	AS2_00005	KD33716_00006
N0.HOG0000457	OG0000414	n0	KBS0714_00331	SA211_00047	AS2_00004	KD33716_00005
N0.HOG0000458	OG0000415	n0	KBS0714_00335	SA211_00051	AS2_02680	KD33716_02492
N0.HOG0000459	OG0000416	n0	KBS0714_00337	SA211_00053	AS2_02676	KD33716_02488
N0.HOG0000460	OG0000417	n0	KBS0714_00338	SA211_00054	AS2_02674	KD33716_02486
N0.HOG0000461	OG0000418	n0	KBS0714_00339	SA211_00055	AS2_02673	KD33716_02485
N0.HOG0000462	OG0000419	n0	KBS0714_00340	SA211_00056	AS2_02629	KD33716_02484
N0.HOG0000463	OG0000420	n0	KBS0714_00341	SA211_00057	AS2_02628	KD33716_02480
N0.HOG0000464	OG0000421	n0	KBS0714_00342	SA211_00058	AS2_02627	KD33716_02479
N0.HOG0000465	OG0000422	n0	KBS0714_00343	SA211_00059	AS2_02626	KD33716_02478
N0.HOG0000466	OG0000423	n0	KBS0714_00344	SA211_00060	AS2_02625	KD33716_02477
N0.HOG0000467	OG0000424	n0	KBS0714_00346	SA211_00062	AS2_02623	KD33716_02475
N0.HOG0000468	OG0000425	n0	KBS0714_00349	SA211_00065	AS2_02612	KD33716_02471
N0.HOG0000469	OG0000426	n0	KBS0714_00351	SA211_00067	AS2_02610	KD33716_02469
N0.HOG0000470	OG0000427	n0	KBS0714_00352	SA211_00068	AS2_02609	KD33716_02468
N0.HOG0000471	OG0000428	n0	KBS0714_00353	SA211_00069	AS2_02608	KD33716_02467
N0.HOG0000472	OG0000429	n0	KBS0714_00354	SA211_00070	AS2_02607	KD33716_02466
N0.HOG0000473	OG0000430	n0	KBS0714_00356	SA211_00072	AS2_02605	KD33716_02464
N0.HOG0000474	OG0000431	n0	KBS0714_00357	SA211_00073	AS2_02604	KD33716_02463
N0.HOG0000475	OG0000432	n0	KBS0714_00358	SA211_00074	AS2_02603	KD33716_02462
N0.HOG0000476	OG0000433	n0	KBS0714_00360	SA211_00076	AS2_02601	KD33716_02460
N0.HOG0000477	OG0000434	n0	KBS0714_00361	SA211_00077	AS2_02600	KD33716_02459
N0.HOG0000478	OG0000435	n0	KBS0714_00362	SA211_00078	AS2_02599	KD33716_02458
N0.HOG0000479	OG0000436	n0	KBS0714_00363	SA211_00079	AS2_02598	KD33716_02457
N0.HOG0000480	OG0000437	n0	KBS0714_00364	SA211_00080	AS2_02597	KD33716_02456
N0.HOG0000481	OG0000438	n0	KBS0714_00365	SA211_00081	AS2_02596	KD33716_02455
N0.HOG0000482	OG0000439	n0	KBS0714_00368	SA211_00084	AS2_02593	KD33716_02452
N0.HOG0000483	OG0000440	n0	KBS0714_00370	SA211_00086	AS2_02592	KD33716_02451
N0.HOG0000484	OG0000441	n0	KBS0714_00371	SA211_00087	AS2_02591	KD33716_02450
N0.HOG0000485	OG0000442	n0	KBS0714_00372	SA211_00088	AS2_02590	KD33716_02449
N0.HOG0000486	OG0000443	n0	KBS0714_00373		AS2_02589, AS2_01002	KD33716_01177
N0.HOG0000487	OG0000444	n0	KBS0714_00374		AS2_02588, AS2_01001	KD33716_01178
N0.HOG0000488	OG0000445	n0	KBS0714_00379	SA211_00103	AS2_02576	KD33716_02448
N0.HOG0000489	OG0000446	n0	KBS0714_00380	SA211_00104	AS2_02575	KD33716_02447
N0.HOG0000490	OG0000447	n0	KBS0714_00381	SA211_00105	AS2_02574	KD33716_02446
N0.HOG0000491	OG0000448	n0	KBS0714_00382	SA211_00106	AS2_02573	KD33716_02445
N0.HOG0000492	OG0000449	n0	KBS0714_00383	SA211_00098, SA211_00107	AS2_02572	
N0.HOG0000493	OG0000450	n0	KBS0714_00385	SA211_00109	AS2_02570	KD33716_01755
N0.HOG0000494	OG0000451	n0	KBS0714_00388	SA211_00112	AS2_02568	KD33716_02439
N0.HOG0000495	OG0000452	n0	KBS0714_00389	SA211_00113	AS2_02567	KD33716_02438
N0.HOG0000496	OG0000453	n0	KBS0714_00391	SA211_00115	AS2_02565	KD33716_02436
N0.HOG0000497	OG0000454	n0	KBS0714_00392	SA211_00116	AS2_02564	KD33716_02435
N0.HOG0000498	OG0000455	n0	KBS0714_00393	SA211_00117	AS2_00172, AS2_02563	
N0.HOG0000499	OG0000456	n0	KBS0714_00394	SA211_00118	AS2_02562	KD33716_02434
N0.HOG0000500	OG0000457	n0	KBS0714_00396	SA211_00120	AS2_02561	KD33716_02432
N0.HOG0000501	OG0000458	n0	KBS0714_00397	SA211_00121	AS2_02560	KD33716_02431
N0.HOG0000502	OG0000459	n0	KBS0714_00398	SA211_00122	AS2_02559	KD33716_02430
N0.HOG0000503	OG0000460	n0	KBS0714_00399	SA211_00123	AS2_02558	KD33716_02429
N0.HOG0000504	OG0000461	n0	KBS0714_00400	SA211_00124	AS2_02557	KD33716_02427
N0.HOG0000505	OG0000462	n0	KBS0714_00401	SA211_00125	AS2_02556	KD33716_02425
N0.HOG0000506	OG0000463	n0	KBS0714_00403	SA211_00126	AS2_02553	KD33716_02422
N0.HOG0000507	OG0000464	n0	KBS0714_00404	SA211_00127	AS2_02552	KD33716_02420
N0.HOG0000508	OG0000465	n0	KBS0714_00405	SA211_00128	AS2_02551	KD33716_02419
N0.HOG0000509	OG0000466	n0	KBS0714_00406	SA211_00129	AS2_02550	KD33716_02418
N0.HOG0000510	OG0000467	n0	KBS0714_00410	SA211_00130	AS2_02549	KD33716_02417
N0.HOG0000511	OG0000468	n0	KBS0714_00411	SA211_00131	AS2_02548	KD33716_02416
N0.HOG0000512	OG0000469	n0	KBS0714_00412	SA211_00132	AS2_02547	KD33716_02415
N0.HOG0000513	OG0000470	n0	KBS0714_00413	SA211_00133	AS2_02546	KD33716_02414
N0.HOG0000514	OG0000471	n0	KBS0714_00414	SA211_00134	AS2_02545	KD33716_02413
N0.HOG0000515	OG0000472	n0	KBS0714_00416	SA211_00136	AS2_02544	KD33716_02412
