HOG	OG	Gene Tree Parent Clade	Prokka on dataset 1_ faa	Prokka on dataset 2_ faa	Prokka on dataset 3_ faa	Prokka on dataset 4_ faa
N1.HOG0000371	OG0000320	n0	KBS0714_00187	SA211_02183		
N1.HOG0000372	OG0000321	n0	KBS0714_00189	SA211_00366		
N1.HOG0000373	OG0000322	n0	KBS0714_00192	SA211_02188		
N1.HOG0000374	OG0000323	n0	KBS0714_00193	SA211_02189		
N1.HOG0000375	OG0000324	n0	KBS0714_00194	SA211_02190		
N1.HOG0000376	OG0000325	n0	KBS0714_00195	SA211_02191		
N1.HOG0000377	OG0000326	n0	KBS0714_00196	SA211_02192		
N1.HOG0000378	OG0000327	n0	KBS0714_00197	SA211_02193		
N1.HOG0000379	OG0000328	n0	KBS0714_00199	SA211_00771, SA211_02195		
N1.HOG0000380	OG0000329	n0	KBS0714_00203	SA211_02198		
N1.HOG0000381	OG0000330	n0	KBS0714_00204	SA211_02199		
N1.HOG0000382	OG0000331	n0	KBS0714_00207	SA211_02200		
N1.HOG0000383	OG0000332	n0	KBS0714_00208	SA211_02201		
N1.HOG0000384	OG0000333	n0	KBS0714_00209	SA211_02202		
N1.HOG0000385	OG0000334	n0	KBS0714_00210	SA211_02203		
N1.HOG0000386	OG0000335	n0	KBS0714_00211	SA211_02204		
N1.HOG0000387	OG0000336	n0	KBS0714_00212	SA211_02205		
N1.HOG0000388	OG0000337	n0	KBS0714_00213	SA211_02206		
N1.HOG0000389	OG0000338	n0	KBS0714_00214	SA211_02207		
N1.HOG0000390	OG0000339	n0	KBS0714_00215	SA211_02208		
N1.HOG0000391	OG0000340	n0	KBS0714_00218	SA211_02212		
N1.HOG0000392	OG0000341	n0	KBS0714_00220	SA211_02233		
N1.HOG0000393	OG0000342	n0	KBS0714_00222	SA211_02235		
N1.HOG0000394	OG0000343	n0	KBS0714_00223	SA211_02236		
N1.HOG0000395	OG0000344	n0	KBS0714_00224	SA211_02237		
N1.HOG0000396	OG0000345	n0	KBS0714_00225	SA211_02238		
N1.HOG0000397	OG0000346	n0	KBS0714_00226	SA211_02239		
N1.HOG0000398	OG0000347	n0	KBS0714_00228	SA211_02241		
N1.HOG0000399	OG0000348	n0	KBS0714_00230	SA211_02243		
N1.HOG0000400	OG0000349	n0	KBS0714_00231	SA211_02244		
N1.HOG0000401	OG0000350	n0	KBS0714_00232	SA211_02245		
N1.HOG0000402	OG0000351	n0	KBS0714_00233	SA211_02246		
N1.HOG0000403	OG0000352	n0	KBS0714_00234	SA211_02247		
N1.HOG0000404	OG0000353	n0	KBS0714_00235	SA211_02248		
N1.HOG0000405	OG0000354	n0	KBS0714_00237	SA211_02250		
N1.HOG0000406	OG0000355	n0	KBS0714_00238	SA211_02251		
N1.HOG0000407	OG0000356	n0	KBS0714_00239	SA211_02252		
N1.HOG0000408	OG0000357	n0	KBS0714_00240	SA211_02253		
N1.HOG0000409	OG0000358	n0	KBS0714_00241	SA211_02254		
N1.HOG0000410	OG0000359	n0	KBS0714_00244	SA211_02256		
N1.HOG0000411	OG0000360	n0	KBS0714_00248	SA211_02260		
N1.HOG0000412	OG0000361	n0	KBS0714_00249	SA211_02261		
N1.HOG0000413	OG0000362	n0	KBS0714_00251	SA211_02263		
N1.HOG0000414	OG0000363	n0	KBS0714_00255	SA211_02269		
N1.HOG0000415	OG0000364	n0	KBS0714_00256	SA211_02270		
N1.HOG0000416	OG0000365	n0	KBS0714_00257	SA211_02271		
N1.HOG0000417	OG0000366	n0	KBS0714_00261	SA211_02274		
N1.HOG0000418	OG0000367	n0	KBS0714_00262	SA211_02275		
N1.HOG0000419	OG0000368	n0	KBS0714_00263	SA211_02276		
N1.HOG0000420	OG0000369	n0	KBS0714_00264	SA211_02277		
N1.HOG0000421	OG0000370	n0	KBS0714_00265	SA211_02278		
N1.HOG0000422	OG0000371	n0	KBS0714_00266	SA211_02279		
N1.HOG0000423	OG0000372	n0	KBS0714_00267	SA211_02280		
N1.HOG0000424	OG0000373	n0	KBS0714_00268	SA211_02281		
N1.HOG0000425	OG0000374	n0	KBS0714_00270	SA211_02285		
N1.HOG0000426	OG0000375	n0	KBS0714_00275	SA211_02290		
N1.HOG0000427	OG0000376	n0	KBS0714_00277	SA211_02292		
N1.HOG0000428	OG0000377	n0	KBS0714_00278	SA211_02293		
N1.HOG0000429	OG0000378	n0	KBS0714_00280	SA211_02295		
N1.HOG0000430	OG0000379	n0	KBS0714_00281	SA211_02296		
N1.HOG0000431	OG0000380	n0	KBS0714_00282	SA211_02297		
N1.HOG0000432	OG0000381	n0	KBS0714_00283	SA211_02298		
N1.HOG0000433	OG0000382	n0	KBS0714_00284	SA211_02306		
N1.HOG0000434	OG0000383	n0	KBS0714_00288	SA211_02310		
N1.HOG0000435	OG0000384	n0	KBS0714_00289	SA211_02311		
N1.HOG0000436	OG0000385	n0	KBS0714_00291	SA211_02314		
N1.HOG0000437	OG0000386	n0	KBS0714_00292	SA211_02315		
N1.HOG0000438	OG0000387	n0	KBS0714_00293	SA211_00001		
N1.HOG0000439	OG0000388	n0	KBS0714_00294	SA211_00002		
N1.HOG0000440	OG0000389	n0	KBS0714_00296	SA211_00004		
N1.HOG0000441	OG0000390	n0	KBS0714_00298	SA211_00006		
N1.HOG0000442	OG0000391	n0	KBS0714_00299	SA211_00007		
N1.HOG0000443	OG0000392	n0	KBS0714_00300	SA211_00008		
N1.HOG0000444	OG0000393	n0	KBS0714_00301	SA211_00009		
N1.HOG0000445	OG0000394	n0	KBS0714_00303	SA211_00011		
N1.HOG0000446	OG0000395	n0	KBS0714_00305	SA211_00020		
N1.HOG0000447	OG0000396	n0	KBS0714_00306	SA211_00021		
N1.HOG0000448	OG0000397	n0	KBS0714_00307	SA211_00022		
N1.HOG0000449	OG0000398	n0	KBS0714_00308	SA211_00023		
N1.HOG0000450	OG0000399	n0	KBS0714_00311	SA211_00026		
N1.HOG0000451	OG0000400	n0	KBS0714_00313	SA211_00028		
N1.HOG0000452	OG0000401	n0	KBS0714_00314	SA211_00029		
N1.HOG0000453	OG0000402	n0	KBS0714_00315	SA211_00030		
N1.HOG0000454	OG0000403	n0	KBS0714_00316	SA211_00031		
N1.HOG0000455	OG0000404	n0	KBS0714_00317	SA211_00032		
N1.HOG0000456	OG0000405	n0	KBS0714_00319	SA211_00034		
N1.HOG0000457	OG0000406	n0	KBS0714_00320	SA211_00035		
N1.HOG0000458	OG0000407	n0	KBS0714_00321	SA211_00036		
N1.HOG0000459	OG0000408	n0	KBS0714_00322	SA211_00037		
N1.HOG0000460	OG0000409	n0	KBS0714_00323	SA211_00038		
N1.HOG0000461	OG0000410	n0	KBS0714_00324	SA211_00039		
N1.HOG0000462	OG0000411	n0	KBS0714_00325	SA211_00040		
N1.HOG0000463	OG0000412	n0	KBS0714_00326	SA211_00042		
N1.HOG0000464	OG0000413	n0	KBS0714_00330	SA211_00046		
N1.HOG0000465	OG0000414	n0	KBS0714_00331	SA211_00047		
N1.HOG0000466	OG0000415	n0	KBS0714_00335	SA211_00051		
N1.HOG0000467	OG0000416	n0	KBS0714_00337	SA211_00053		
N1.HOG0000468	OG0000417	n0	KBS0714_00338	SA211_00054		
N1.HOG0000469	OG0000418	n0	KBS0714_00339	SA211_00055		
N1.HOG0000470	OG0000419	n0	KBS0714_00340	SA211_00056		
N1.HOG0000471	OG0000420	n0	KBS0714_00341	SA211_00057		
N1.HOG0000472	OG0000421	n0	KBS0714_00342	SA211_00058		
N1.HOG0000473	OG0000422	n0	KBS0714_00343	SA211_00059		
N1.HOG0000474	OG0000423	n0	KBS0714_00344	SA211_00060		
N1.HOG0000475	OG0000424	n0	KBS0714_00346	SA211_00062		
N1.HOG0000476	OG0000425	n0	KBS0714_00349	SA211_00065		
N1.HOG0000477	OG0000426	n0	KBS0714_00351	SA211_00067		
N1.HOG0000478	OG0000427	n0	KBS0714_00352	SA211_00068		
N1.HOG0000479	OG0000428	n0	KBS0714_00353	SA211_00069		
N1.HOG0000480	OG0000429	n0	KBS0714_00354	SA211_00070		
N1.HOG0000481	OG0000430	n0	KBS0714_00356	SA211_00072		
N1.HOG0000482	OG0000431	n0	KBS0714_00357	SA211_00073		
N1.HOG0000483	OG0000432	n0	KBS0714_00358	SA211_00074		
N1.HOG0000484	OG0000433	n0	KBS0714_00360	SA211_00076		
N1.HOG0000485	OG0000434	n0	KBS0714_00361	SA211_00077		
N1.HOG0000486	OG0000435	n0	KBS0714_00362	SA211_00078		
N1.HOG0000487	OG0000436	n0	KBS0714_00363	SA211_00079		
N1.HOG0000488	OG0000437	n0	KBS0714_00364	SA211_00080		
N1.HOG0000489	OG0000438	n0	KBS0714_00365	SA211_00081		
N1.HOG0000490	OG0000439	n0	KBS0714_00368	SA211_00084		
N1.HOG0000491	OG0000440	n0	KBS0714_00370	SA211_00086		
N1.HOG0000492	OG0000441	n0	KBS0714_00371	SA211_00087		
N1.HOG0000493	OG0000442	n0	KBS0714_00372	SA211_00088		
N1.HOG0000494	OG0000443	n0	KBS0714_00373			
N1.HOG0000495	OG0000444	n0	KBS0714_00374			
N1.HOG0000496	OG0000445	n0	KBS0714_00379	SA211_00103		
N1.HOG0000497	OG0000446	n0	KBS0714_00380	SA211_00104		
N1.HOG0000498	OG0000447	n0	KBS0714_00381	SA211_00105		
N1.HOG0000499	OG0000448	n0	KBS0714_00382	SA211_00106		
N1.HOG0000500	OG0000449	n0	KBS0714_00383	SA211_00098, SA211_00107		
N1.HOG0000501	OG0000450	n0	KBS0714_00385	SA211_00109		
N1.HOG0000502	OG0000451	n0	KBS0714_00388	SA211_00112		
N1.HOG0000503	OG0000452	n0	KBS0714_00389	SA211_00113		
N1.HOG0000504	OG0000453	n0	KBS0714_00391	SA211_00115		
N1.HOG0000505	OG0000454	n0	KBS0714_00392	SA211_00116		
N1.HOG0000506	OG0000455	n0	KBS0714_00393	SA211_00117		
N1.HOG0000507	OG0000456	n0	KBS0714_00394	SA211_00118		
N1.HOG0000508	OG0000457	n0	KBS0714_00396	SA211_00120		
N1.HOG0000509	OG0000458	n0	KBS0714_00397	SA211_00121		
N1.HOG0000510	OG0000459	n0	KBS0714_00398	SA211_00122		
N1.HOG0000511	OG0000460	n0	KBS0714_00399	SA211_00123		
N1.HOG0000512	OG0000461	n0	KBS0714_00400	SA211_00124		
N1.HOG0000513	OG0000462	n0	KBS0714_00401	SA211_00125		
N1.HOG0000514	OG0000463	n0	KBS0714_00403	SA211_00126		
N1.HOG0000515	OG0000464	n0	KBS0714_00404	SA211_00127		
N1.HOG0000516	OG0000465	n0	KBS0714_00405	SA211_00128		
N1.HOG0000517	OG0000466	n0	KBS0714_00406	SA211_00129		
N1.HOG0000518	OG0000467	n0	KBS0714_00410	SA211_00130		
N1.HOG0000519	OG0000468	n0	KBS0714_00411	SA211_00131		
N1.HOG0000520	OG0000469	n0	KBS0714_00412	SA211_00132		
N1.HOG0000521	OG0000470	n0	KBS0714_00413	SA211_00133		
N1.HOG0000522	OG0000471	n0	KBS0714_00414	SA211_00134		
N1.HOG0000523	OG0000472	n0	KBS0714_00416	SA211_00136		
N1.HOG0000524	OG0000473	n0	KBS0714_00417	SA211_00138		
N1.HOG0000525	OG0000474	n0	KBS0714_00419	SA211_00140		
N1.HOG0000526	OG0000475	n0	KBS0714_00420	SA211_00141		
N1.HOG0000527	OG0000476	n0	KBS0714_00421	SA211_00142		
N1.HOG0000528	OG0000477	n0	KBS0714_00422	SA211_00143		
N1.HOG0000529	OG0000478	n0	KBS0714_00424	SA211_00145		
N1.HOG0000530	OG0000479	n0	KBS0714_00425	SA211_00146		
N1.HOG0000531	OG0000480	n0	KBS0714_00426	SA211_00147		
N1.HOG0000532	OG0000481	n0	KBS0714_00427	SA211_00148		
N1.HOG0000533	OG0000482	n0	KBS0714_00428	SA211_00149		
N1.HOG0000534	OG0000483	n0	KBS0714_00429	SA211_00150		
N1.HOG0000535	OG0000484	n0	KBS0714_00430	SA211_00151		
N1.HOG0000536	OG0000485	n0	KBS0714_00432	SA211_00153		
N1.HOG0000537	OG0000486	n0	KBS0714_00433	SA211_00154		
N1.HOG0000538	OG0000487	n0	KBS0714_00434	SA211_00155		
N1.HOG0000539	OG0000488	n0	KBS0714_00435	SA211_00156		
N1.HOG0000540	OG0000489	n0	KBS0714_00436	SA211_00157		
N1.HOG0000541	OG0000490	n0	KBS0714_00437	SA211_00158		
N1.HOG0000542	OG0000491	n0	KBS0714_00438	SA211_00159		
N1.HOG0000543	OG0000492	n0	KBS0714_00439	SA211_00160		
N1.HOG0000544	OG0000493	n0	KBS0714_00440	SA211_00161		
N1.HOG0000545	OG0000494	n0	KBS0714_00441	SA211_00162		
N1.HOG0000546	OG0000495	n0	KBS0714_00442	SA211_00163		
N1.HOG0000547	OG0000496	n0	KBS0714_00443	SA211_00164		
N1.HOG0000548	OG0000497	n0	KBS0714_00444	SA211_00165		
N1.HOG0000549	OG0000498	n0	KBS0714_00445	SA211_00166		
N1.HOG0000550	OG0000499	n0	KBS0714_00446	SA211_00167		
N1.HOG0000551	OG0000500	n0	KBS0714_00447	SA211_00168		
N1.HOG0000552	OG0000501	n0	KBS0714_00449	SA211_00170		
N1.HOG0000553	OG0000502	n0	KBS0714_00450	SA211_00171		
N1.HOG0000554	OG0000503	n0	KBS0714_00451	SA211_00172		
N1.HOG0000555	OG0000504	n0	KBS0714_00456	SA211_00174		
N1.HOG0000556	OG0000505	n0	KBS0714_00457	SA211_00175		
N1.HOG0000557	OG0000506	n0	KBS0714_00458	SA211_00176		
N1.HOG0000558	OG0000507	n0	KBS0714_00459	SA211_00177		
N1.HOG0000559	OG0000508	n0	KBS0714_00460	SA211_00178		
N1.HOG0000560	OG0000509	n0	KBS0714_00461	SA211_00179		
N1.HOG0000561	OG0000510	n0	KBS0714_00462	SA211_00180		
N1.HOG0000562	OG0000511	n0	KBS0714_00464	SA211_00182		
N1.HOG0000563	OG0000512	n0	KBS0714_00465	SA211_00183		
N1.HOG0000564	OG0000513	n0	KBS0714_00466	SA211_00184		
N1.HOG0000565	OG0000514	n0	KBS0714_00467	SA211_00185		
N1.HOG0000566	OG0000515	n0	KBS0714_00468	SA211_00186		
N1.HOG0000567	OG0000516	n0	KBS0714_00469	SA211_00187		
N1.HOG0000568	OG0000517	n0	KBS0714_00470	SA211_00188		
N1.HOG0000569	OG0000518	n0	KBS0714_00471	SA211_00189		
N1.HOG0000570	OG0000519	n0	KBS0714_00472	SA211_00190		
N1.HOG0000571	OG0000520	n0	KBS0714_00473	SA211_00191		
N1.HOG0000572	OG0000521	n0	KBS0714_00474	SA211_00192		
N1.HOG0000573	OG0000522	n0	KBS0714_00475	SA211_00193		
N1.HOG0000574	OG0000523	n0	KBS0714_00477	SA211_00195		
N1.HOG0000575	OG0000524	n0	KBS0714_00478	SA211_00196		
N1.HOG0000576	OG0000525	n0	KBS0714_00479	SA211_00197		
N1.HOG0000577	OG0000526	n0	KBS0714_00480	SA211_00198		
N1.HOG0000578	OG0000527	n0	KBS0714_00481	SA211_00199		
N1.HOG0000579	OG0000528	n0	KBS0714_00482	SA211_00200		
N1.HOG0000580	OG0000529	n0	KBS0714_00483	SA211_00201		
N1.HOG0000581	OG0000530	n0	KBS0714_00484	SA211_00202		
N1.HOG0000582	OG0000531	n0	KBS0714_00486	SA211_00205		
N1.HOG0000583	OG0000532	n0	KBS0714_00487	SA211_00207		
N1.HOG0000584	OG0000533	n0	KBS0714_00489	SA211_00210		
N1.HOG0000585	OG0000534	n0	KBS0714_00490	SA211_00211		
N1.HOG0000586	OG0000535	n0	KBS0714_00491	SA211_00212		
N1.HOG0000587	OG0000536	n0	KBS0714_00492	SA211_00213		
N1.HOG0000588	OG0000537	n0	KBS0714_00493	SA211_00214		
N1.HOG0000589	OG0000538	n0	KBS0714_00494	SA211_00215		
N1.HOG0000590	OG0000539	n0	KBS0714_00497	SA211_00218		
N1.HOG0000591	OG0000540	n0	KBS0714_00500	SA211_00221		
N1.HOG0000592	OG0000541	n0	KBS0714_00501	SA211_00222		
N1.HOG0000593	OG0000542	n0	KBS0714_00503	SA211_00223		
N1.HOG0000594	OG0000543	n0	KBS0714_00504	SA211_00224		
N1.HOG0000595	OG0000544	n0	KBS0714_00505	SA211_00225		
N1.HOG0000596	OG0000545	n0	KBS0714_00506	SA211_00226		
N1.HOG0000597	OG0000546	n0	KBS0714_00507	SA211_00227		
N1.HOG0000598	OG0000547	n0	KBS0714_00508	SA211_00228		
N1.HOG0000599	OG0000548	n0	KBS0714_00511	SA211_00231		
N1.HOG0000600	OG0000549	n0	KBS0714_00512	SA211_00232		
N1.HOG0000601	OG0000550	n0	KBS0714_00513	SA211_00233		
N1.HOG0000602	OG0000551	n0	KBS0714_00516	SA211_00236		
N1.HOG0000603	OG0000552	n0	KBS0714_00521	SA211_00243		
N1.HOG0000604	OG0000553	n0	KBS0714_00522	SA211_00244		
N1.HOG0000605	OG0000554	n0	KBS0714_00526	SA211_00247		
N1.HOG0000606	OG0000555	n0	KBS0714_00527	SA211_00248		
N1.HOG0000607	OG0000556	n0	KBS0714_00529	SA211_00250		
N1.HOG0000608	OG0000557	n0	KBS0714_00530	SA211_00251		
N1.HOG0000609	OG0000558	n0	KBS0714_00531	SA211_00252		
N1.HOG0000610	OG0000559	n0	KBS0714_00532	SA211_00253		
N1.HOG0000611	OG0000560	n0	KBS0714_00533	SA211_00254		
N1.HOG0000612	OG0000561	n0	KBS0714_00534	SA211_00258		
N1.HOG0000613	OG0000562	n0	KBS0714_00535	SA211_00259		
N1.HOG0000614	OG0000563	n0	KBS0714_00537	SA211_00261		
N1.HOG0000615	OG0000564	n0	KBS0714_00538	SA211_00262		
N1.HOG0000616	OG0000565	n0	KBS0714_00539	SA211_00263		
N1.HOG0000617	OG0000566	n0	KBS0714_00540	SA211_00264		
N1.HOG0000618	OG0000567	n0	KBS0714_00541	SA211_00265		
N1.HOG0000619	OG0000568	n0	KBS0714_00543	SA211_00268		
N1.HOG0000620	OG0000569	n0	KBS0714_00544	SA211_00269		
N1.HOG0000621	OG0000570	n0	KBS0714_00545	SA211_00270		
N1.HOG0000622	OG0000571	n0	KBS0714_00546	SA211_00271		
N1.HOG0000623	OG0000572	n0	KBS0714_00548	SA211_00273		
N1.HOG0000624	OG0000573	n0	KBS0714_00549	SA211_00274		
N1.HOG0000625	OG0000574	n0	KBS0714_00550	SA211_00275		
N1.HOG0000626	OG0000575	n0	KBS0714_00552	SA211_00277		
N1.HOG0000627	OG0000576	n0	KBS0714_00553	SA211_00278		
N1.HOG0000628	OG0000577	n0	KBS0714_00554	SA211_00279		
N1.HOG0000629	OG0000578	n0	KBS0714_00555	SA211_00280		
N1.HOG0000630	OG0000579	n0	KBS0714_00556	SA211_00281		
N1.HOG0000631	OG0000580	n0	KBS0714_00557	SA211_00282		
N1.HOG0000632	OG0000581	n0	KBS0714_00558	SA211_00283		
N1.HOG0000633	OG0000582	n0	KBS0714_00559	SA211_00284		
N1.HOG0000634	OG0000583	n0	KBS0714_00560	SA211_00285		
N1.HOG0000635	OG0000584	n0	KBS0714_00561	SA211_00286		
N1.HOG0000636	OG0000585	n0	KBS0714_00562	SA211_00287		
N1.HOG0000637	OG0000586	n0	KBS0714_00564	SA211_00289		
N1.HOG0000638	OG0000587	n0	KBS0714_00565	SA211_00290		
N1.HOG0000639	OG0000588	n0	KBS0714_00566	SA211_00291		
N1.HOG0000640	OG0000589	n0	KBS0714_00567	SA211_00292		
N1.HOG0000641	OG0000590	n0	KBS0714_00570	SA211_00294		
N1.HOG0000642	OG0000591	n0	KBS0714_00572	SA211_00296		
N1.HOG0000643	OG0000592	n0	KBS0714_00573	SA211_00305		
N1.HOG0000644	OG0000593	n0	KBS0714_00574	SA211_00306		
N1.HOG0000645	OG0000594	n0	KBS0714_00579	SA211_00311		
N1.HOG0000646	OG0000595	n0	KBS0714_00580	SA211_00313		
N1.HOG0000647	OG0000596	n0	KBS0714_00583	SA211_00316		
N1.HOG0000648	OG0000597	n0	KBS0714_00584	SA211_00317		
N1.HOG0000649	OG0000598	n0	KBS0714_00625			
N1.HOG0000650	OG0000599	n0	KBS0714_00634			
N1.HOG0000651	OG0000600	n0	KBS0714_00636			
N1.HOG0000652	OG0000601	n0	KBS0714_00637			
N1.HOG0000653	OG0000602	n0	KBS0714_00641	SA211_00378		
N1.HOG0000654	OG0000603	n0	KBS0714_00643	SA211_00380		
N1.HOG0000655	OG0000604	n0	KBS0714_00645	SA211_00382		
N1.HOG0000656	OG0000605	n0	KBS0714_00647	SA211_00384		
N1.HOG0000657	OG0000606	n0	KBS0714_00651	SA211_00388		
N1.HOG0000658	OG0000607	n0	KBS0714_00652	SA211_00389		
N1.HOG0000659	OG0000608	n0	KBS0714_00653	SA211_00390		
N1.HOG0000660	OG0000609	n0	KBS0714_00654	SA211_00391		
N1.HOG0000661	OG0000610	n0	KBS0714_00655	SA211_00392		
N1.HOG0000662	OG0000611	n0	KBS0714_00657	SA211_00394		
N1.HOG0000663	OG0000612	n0	KBS0714_00658	SA211_00395		
N1.HOG0000664	OG0000613	n0	KBS0714_00659	SA211_00396		
N1.HOG0000665	OG0000614	n0	KBS0714_00660	SA211_00397		
N1.HOG0000666	OG0000615	n0	KBS0714_00661	SA211_00398		
N1.HOG0000667	OG0000616	n0	KBS0714_00662	SA211_00399		
N1.HOG0000668	OG0000617	n0	KBS0714_00664	SA211_00401		
N1.HOG0000669	OG0000618	n0	KBS0714_00668	SA211_00405		
N1.HOG0000670	OG0000619	n0	KBS0714_00669	SA211_00406		
N1.HOG0000671	OG0000620	n0	KBS0714_00670	SA211_00407		
N1.HOG0000672	OG0000621	n0	KBS0714_00671	SA211_00408		
N1.HOG0000673	OG0000622	n0	KBS0714_00672	SA211_00409		
N1.HOG0000674	OG0000623	n0	KBS0714_00673	SA211_00410		
N1.HOG0000675	OG0000624	n0	KBS0714_00674	SA211_00411		
N1.HOG0000676	OG0000625	n0	KBS0714_00675	SA211_00412		
N1.HOG0000677	OG0000626	n0	KBS0714_00676	SA211_00413		
N1.HOG0000678	OG0000627	n0	KBS0714_00677	SA211_00414		
N1.HOG0000679	OG0000628	n0	KBS0714_00679	SA211_00416		
N1.HOG0000680	OG0000629	n0	KBS0714_00680	SA211_00417		
N1.HOG0000681	OG0000630	n0	KBS0714_00681	SA211_00418		
N1.HOG0000682	OG0000631	n0	KBS0714_00682	SA211_00419		
N1.HOG0000683	OG0000632	n0	KBS0714_00683	SA211_00420		
N1.HOG0000684	OG0000633	n0	KBS0714_00684	SA211_00421		
N1.HOG0000685	OG0000634	n0	KBS0714_00685	SA211_00422		
N1.HOG0000686	OG0000635	n0	KBS0714_00687	SA211_00424		
N1.HOG0000687	OG0000636	n0	KBS0714_00688	SA211_00425		
N1.HOG0000688	OG0000637	n0	KBS0714_00689	SA211_00426		
N1.HOG0000689	OG0000638	n0	KBS0714_00690	SA211_00427		
N1.HOG0000690	OG0000639	n0	KBS0714_00691	SA211_00428		
N1.HOG0000691	OG0000640	n0	KBS0714_00693	SA211_00430		
N1.HOG0000692	OG0000641	n0	KBS0714_00694	SA211_00431		
N1.HOG0000693	OG0000642	n0	KBS0714_00695	SA211_00432		
N1.HOG0000694	OG0000643	n0	KBS0714_00696	SA211_00433		
N1.HOG0000695	OG0000644	n0	KBS0714_00697	SA211_00434		
N1.HOG0000696	OG0000645	n0	KBS0714_00699	SA211_00436		
N1.HOG0000697	OG0000646	n0	KBS0714_00700	SA211_00437		
N1.HOG0000698	OG0000647	n0	KBS0714_00704	SA211_00438		
N1.HOG0000699	OG0000648	n0	KBS0714_00705	SA211_00439		
N1.HOG0000700	OG0000649	n0	KBS0714_00706	SA211_00440		
N1.HOG0000701	OG0000650	n0	KBS0714_00707	SA211_00441		
N1.HOG0000702	OG0000651	n0	KBS0714_00708	SA211_00442		
N1.HOG0000703	OG0000652	n0	KBS0714_00709	SA211_00443		
N1.HOG0000704	OG0000653	n0	KBS0714_00710	SA211_00444		
N1.HOG0000705	OG0000654	n0	KBS0714_00714	SA211_00445		
N1.HOG0000706	OG0000655	n0	KBS0714_00715	SA211_00446		
N1.HOG0000707	OG0000656	n0	KBS0714_00716	SA211_00447		
N1.HOG0000708	OG0000657	n0	KBS0714_00717	SA211_00448		
N1.HOG0000709	OG0000658	n0	KBS0714_00718	SA211_00449		
N1.HOG0000710	OG0000659	n0	KBS0714_00719	SA211_00450		
N1.HOG0000711	OG0000660	n0	KBS0714_00720	SA211_00451		
N1.HOG0000712	OG0000661	n0	KBS0714_00721	SA211_00452		
N1.HOG0000713	OG0000662	n0	KBS0714_00722	SA211_00453		
N1.HOG0000714	OG0000663	n0	KBS0714_00723	SA211_00454		
N1.HOG0000715	OG0000664	n0	KBS0714_00724	SA211_00455		
N1.HOG0000716	OG0000665	n0	KBS0714_00725	SA211_00456		
N1.HOG0000717	OG0000666	n0	KBS0714_00726	SA211_00457		
N1.HOG0000718	OG0000667	n0	KBS0714_00727	SA211_00458		
N1.HOG0000719	OG0000668	n0	KBS0714_00728	SA211_00459		
N1.HOG0000720	OG0000669	n0	KBS0714_00729	SA211_00460		
N1.HOG0000721	OG0000670	n0	KBS0714_00730	SA211_00461		
N1.HOG0000722	OG0000671	n0	KBS0714_00732	SA211_00463		
N1.HOG0000723	OG0000672	n0	KBS0714_00733	SA211_00464		
N1.HOG0000724	OG0000673	n0	KBS0714_00734	SA211_00465		
N1.HOG0000725	OG0000674	n0	KBS0714_00735	SA211_00466		
N1.HOG0000726	OG0000675	n0	KBS0714_00736	SA211_00467		
N1.HOG0000727	OG0000676	n0	KBS0714_00737	SA211_00468		
N1.HOG0000728	OG0000677	n0	KBS0714_00738	SA211_00469		
N1.HOG0000729	OG0000678	n0	KBS0714_00740	SA211_00471		
N1.HOG0000730	OG0000679	n0	KBS0714_00741	SA211_00472		
N1.HOG0000731	OG0000680	n0	KBS0714_00742	SA211_00473		
N1.HOG0000732	OG0000681	n0	KBS0714_00743	SA211_00474		
N1.HOG0000733	OG0000682	n0	KBS0714_00744	SA211_00475		
N1.HOG0000734	OG0000683	n0	KBS0714_00745	SA211_00476		
N1.HOG0000735	OG0000684	n0	KBS0714_00749	SA211_00479		
N1.HOG0000736	OG0000685	n0	KBS0714_00750	SA211_00480		
N1.HOG0000737	OG0000686	n0	KBS0714_00751	SA211_00481		
N1.HOG0000738	OG0000687	n0	KBS0714_00752	SA211_00482		
N1.HOG0000739	OG0000688	n0	KBS0714_00753	SA211_00483		
N1.HOG0000740	OG0000689	n0	KBS0714_00754	SA211_00484		
N1.HOG0000741	OG0000690	n0	KBS0714_00755	SA211_00485		
N1.HOG0000742	OG0000691	n0	KBS0714_00756	SA211_00486		
N1.HOG0000743	OG0000692	n0	KBS0714_00757	SA211_00487		
N1.HOG0000744	OG0000693	n0	KBS0714_00758	SA211_00488		
N1.HOG0000745	OG0000694	n0	KBS0714_00759	SA211_00489		
N1.HOG0000746	OG0000695	n0	KBS0714_00760	SA211_00490		
N1.HOG0000747	OG0000696	n0	KBS0714_00761	SA211_00491		
N1.HOG0000748	OG0000697	n0	KBS0714_00762	SA211_00492		
N1.HOG0000749	OG0000698	n0	KBS0714_00763	SA211_00493		
N1.HOG0000750	OG0000699	n0	KBS0714_00764	SA211_00494		
N1.HOG0000751	OG0000700	n0	KBS0714_00765	SA211_00495		
N1.HOG0000752	OG0000701	n0	KBS0714_00766	SA211_00496		
N1.HOG0000753	OG0000702	n0	KBS0714_00767	SA211_00497		
N1.HOG0000754	OG0000703	n0	KBS0714_00770	SA211_00501		
N1.HOG0000755	OG0000704	n0	KBS0714_00771	SA211_00502		
N1.HOG0000756	OG0000705	n0	KBS0714_00772	SA211_00503		
N1.HOG0000757	OG0000706	n0	KBS0714_00773	SA211_00504		
