rank	feature_id	gene_symbol	total_counts	cells_expressed
534	ENSMUSG00000029422	Rsrc2	15069	4987
535	ENSMUSG00000042323	Pbrm1	15039	4629
536	ENSMUSG00000022403	St13	15015	4757
537	ENSMUSG00000039016	Timm8b	15012	5551
538	ENSMUSG00000041235	Chd7	15009	4330
539	ENSMUSG00000021606	Ndufs6	15006	5304
540	ENSMUSG00000006373	Pgrmc1	14913	4991
541	ENSMUSG00000005779	Psmb4	14907	5543
542	ENSMUSG00000031848	Lsm4	14907	4726
543	ENSMUSG00000020423	Btg2	14874	4091
544	ENSMUSG00000019777	Hdac2	14865	5173
545	ENSMUSG00000022044	Stmn4	14842	4387
546	ENSMUSG00000037361	Sf3b6	14818	5462
547	ENSMUSG00000024991	Eif3a	14798	4542
548	ENSMUSG00000035551	Igfbpl1	14789	3995
549	ENSMUSG00000004285	Atp6v1f	14749	5376
550	ENSMUSG00000042747	Krtcap2	14747	4849
551	ENSMUSG00000027706	Sec62	14668	5317
552	ENSMUSG00000029761	Cald1	14652	4278
553	ENSMUSG00000032199	Polr2m	14648	4411
554	ENSMUSG00000032320	Rcn2	14639	4822
555	ENSMUSG00000019362	D8Ertd738e	14626	4897
556	ENSMUSG00000038462	Uqcrfs1	14623	4941
557	ENSMUSG00000071072	Ptges3	14614	4931
558	ENSMUSG00000008333	Snrpb2	14596	5405
559	ENSMUSG00000061887	Ssbp3	14546	4843
560	ENSMUSG00000078126	Rpl23a-ps3	14514	4875
561	ENSMUSG00000020180	Snrpd3	14492	5192
562	ENSMUSG00000029064	Gnb1	14487	4819
563	ENSMUSG00000028618	Tmem59	14429	4760
564	ENSMUSG00000028798	Eif3i	14414	4840
565	ENSMUSG00000033565	Rbfox2	14366	4787
566	ENSMUSG00000021774	Ube2e1	14355	4886
567	ENSMUSG00000022108	Itm2b	14348	4846
568	ENSMUSG00000030647	Ndufc2	14346	5172
569	ENSMUSG00000052033	Pfdn4	14299	5471
570	ENSMUSG00000005687	Bcas2	14255	5040
571	ENSMUSG00000028484	Psip1	14241	4876
572	ENSMUSG00000013415	Igf2bp1	14220	4239
573	ENSMUSG00000025613	Cct8	14216	5531
574	ENSMUSG00000001416	Cct3	14197	5213
575	ENSMUSG00000023089	Ndufa5	14188	5652
576	ENSMUSG00000008489	Elavl2	14180	4592
577	ENSMUSG00000014402	Tsg101	14136	4795
578	ENSMUSG00000013236	Ptprs	14099	5022
579	ENSMUSG00000025980	Hspd1	14054	4649
580	ENSMUSG00000031683	Lsm6	14048	4766
581	ENSMUSG00000022053	Ebf2	14036	3799
582	ENSMUSG00000032050	Rdx	14022	4632
583	ENSMUSG00000019432	Ddx39b	14008	5247
584	ENSMUSG00000026385	Dbi	13970	4934
585	ENSMUSG00000028044	Cks1b	13962	3923
586	ENSMUSG00000030751	Psma1	13935	5212
587	ENSMUSG00000032481	Smarcc1	13931	4683
588	ENSMUSG00000025351	Cd63	13925	5016
589	ENSMUSG00000052534	Pbx1	13861	4531
590	ENSMUSG00000022427	Tomm22	13853	4680
591	ENSMUSG00000027091	Zc3h15	13843	4722
592	ENSMUSG00000000202	Btbd17	13840	4335
593	ENSMUSG00000020265	Sumo3	13830	4469
594	ENSMUSG00000029673	Auts2	13822	4286
595	ENSMUSG00000027133	Nop10	13805	4898
596	ENSMUSG00000019054	Fis1	13799	4985
597	ENSMUSG00000030738	Eif3c	13717	4928
598	ENSMUSG00000005447	Pafah1b3	13670	5166
599	ENSMUSG00000028568	Btf3l4	13663	4949
600	ENSMUSG00000066037	Hnrnpr	13646	4730
601	ENSMUSG00000079658	Tceb1	13631	5104
602	ENSMUSG00000013593	Ndufs2	13612	4911
603	ENSMUSG00000024346	Pfdn1	13599	5048
604	ENSMUSG00000019927	Ube2d1	13553	4648
605	ENSMUSG00000002930	Ppp1r17	13551	4273
606	ENSMUSG00000024217	Snrpc	13509	4871
607	ENSMUSG00000009863	Sdhb	13505	4854
608	ENSMUSG00000027940	Tpm3	13482	4715
609	ENSMUSG00000062397	Zfp706	13480	4318
610	ENSMUSG00000032187	Smarca4	13479	4537
611	ENSMUSG00000031197	Vbp1	13470	5172
612	ENSMUSG00000022051	Bnip3l	13462	4477
613	ENSMUSG00000075334	Rprm	13456	4481
614	ENSMUSG00000020585	Laptm4a	13398	4857
615	ENSMUSG00000025410	Dctn2	13388	4923
616	ENSMUSG00000021486	Prelid1	13380	4193
617	ENSMUSG00000071655	Ubxn1	13372	4962
618	ENSMUSG00000060739	Nsa2	13365	4316
619	ENSMUSG00000030417	Pdcd5	13347	5161
620	ENSMUSG00000031799	Tpm4	13341	4276
621	ENSMUSG00000030704	Rab6a	13322	4247
622	ENSMUSG00000036309	Skp1a	13309	5246
623	ENSMUSG00000036299	BC031181	13304	4611
624	ENSMUSG00000078453	Abracl	13198	4409
625	ENSMUSG00000026511	Srp9	13195	4544
626	ENSMUSG00000005625	Psmd4	13124	5152
627	ENSMUSG00000026434	Nucks1	13110	4244
628	ENSMUSG00000029918	Mrps33	13077	4852
629	ENSMUSG00000020022	Ndufa12	13038	4884
630	ENSMUSG00000066705	Fxyd6	12993	4017
631	ENSMUSG00000033940	Brk1	12976	4639
632	ENSMUSG00000027805	Pfn2	12963	4743
633	ENSMUSG00000034681	Rnps1	12935	4382
634	ENSMUSG00000028248	Pnisr	12918	4493
635	ENSMUSG00000003269	Cyth2	12901	4338
636	ENSMUSG00000068749	Psma5	12822	4814
637	ENSMUSG00000040731	Eif4h	12820	4366
638	ENSMUSG00000024038	Ndufv3	12819	4990
639	ENSMUSG00000022635	Zcrb1	12763	4703
640	ENSMUSG00000027170	Eif3m	12753	4671
641	ENSMUSG00000054405	Dnajc8	12749	4811
642	ENSMUSG00000016427	Ndufa1	12729	5047
643	ENSMUSG00000015575	Atp6v0e	12728	4467
644	ENSMUSG00000038412	Higd1a	12713	4903
645	ENSMUSG00000059743	Fdps	12707	4785
646	ENSMUSG00000007656	Arpp19	12687	4739
647	ENSMUSG00000035299	Mid1	12670	4347
648	ENSMUSG00000006941	Eif1b	12664	4704
649	ENSMUSG00000006740	Kif5b	12656	4487
650	ENSMUSG00000024099	Ndufv2	12654	5020
651	ENSMUSG00000020458	Rtn4	12648	4728
652	ENSMUSG00000037070	Rbmxl1	12647	4577
653	ENSMUSG00000018379	Srsf1	12634	4605
654	ENSMUSG00000038965	Ube2l3	12627	4686
655	ENSMUSG00000033020	Polr2f	12618	4863
656	ENSMUSG00000029405	G3bp2	12617	4556
657	ENSMUSG00000052833	Sae1	12615	4588
658	ENSMUSG00000027282	Mtch2	12614	4654
659	ENSMUSG00000033585	Ndn	12572	4501
660	ENSMUSG00000032112	Trappc4	12554	4616
661	ENSMUSG00000029390	Tmed2	12551	4418
662	ENSMUSG00000029004	Kmt2e	12549	4094
663	ENSMUSG00000020935	Dcakd	12549	4187
664	ENSMUSG00000069601	Ank3	12544	3393
665	ENSMUSG00000020171	Yeats4	12542	4503
666	ENSMUSG00000034192	Lsm3	12528	4453
667	ENSMUSG00000028693	Nasp	12500	4653
668	ENSMUSG00000036372	Tmem258	12500	4994
669	ENSMUSG00000045996	Polr2k	12475	4944
670	ENSMUSG00000022433	Csnk1e	12474	4311
671	ENSMUSG00000032826	Ank2	12465	3868
672	ENSMUSG00000001056	Nhp2	12458	4259
673	ENSMUSG00000028347	Tmeff1	12453	4413
674	ENSMUSG00000015733	Capza2	12452	4930
675	ENSMUSG00000019471	Cdc37	12445	4728
676	ENSMUSG00000026864	Hspa5	12437	4612
677	ENSMUSG00000051695	Pcbp1	12427	4330
678	ENSMUSG00000031807	Pgls	12420	4395
679	ENSMUSG00000024091	Vapa	12393	4704
680	ENSMUSG00000020612	Prkar1a	12382	4778
681	ENSMUSG00000047721	Bola2	12347	4757
682	ENSMUSG00000006095	Tbcb	12330	4876
683	ENSMUSG00000016541	Atxn10	12318	4937
684	ENSMUSG00000012422	Tmem167	12308	4584
685	ENSMUSG00000018585	Atox1	12275	4426
686	ENSMUSG00000039067	Psmd7	12261	4644
687	ENSMUSG00000025203	Scd2	12245	4736
688	ENSMUSG00000028906	Epb41	12218	4172
689	ENSMUSG00000001472	Tcf25	12206	4491
690	ENSMUSG00000027201	Myef2	12172	4392
691	ENSMUSG00000049760	2410015M20Rik	12149	4871
692	ENSMUSG00000035674	Ndufa3	12134	4932
693	ENSMUSG00000058569	Tmed9	12104	4448
694	ENSMUSG00000053477	Tcf4	12098	3982
695	ENSMUSG00000040652	Oaz2	12084	4340
696	ENSMUSG00000070319	Eif3g	12072	4676
697	ENSMUSG00000028447	Dctn3	12069	4988
698	ENSMUSG00000026341	Actr3	12065	4429
699	ENSMUSG00000019210	Atp6v1e1	12062	4795
700	ENSMUSG00000031781	Ciapin1	12044	4518
701	ENSMUSG00000051579	Tceal8	12043	4614
702	ENSMUSG00000020571	Pdia6	12033	4453
703	ENSMUSG00000030629	Zfand6	12018	4799
704	ENSMUSG00000069565	Dazap1	12018	4517
705	ENSMUSG00000021024	Psma6	12015	4911
706	ENSMUSG00000030591	Psmd8	11967	4710
707	ENSMUSG00000020577	Tspan13	11953	4078
708	ENSMUSG00000020321	Mdh1	11945	4903
709	ENSMUSG00000023832	Acat2	11937	4516
710	ENSMUSG00000035478	Mbd3	11933	4158
711	ENSMUSG00000040204	2810417H13Rik	11926	2177
712	ENSMUSG00000029066	Mrpl20	11875	4671
713	ENSMUSG00000039985	Fam60a	11849	4513
714	ENSMUSG00000020803	Txndc17	11847	4548
715	ENSMUSG00000006005	Tpr	11833	4208
716	ENSMUSG00000077450	Rab11b	11822	4231
717	ENSMUSG00000006575	Rundc3a	11814	3961
718	ENSMUSG00000050628	Ubald2	11810	4506
719	ENSMUSG00000021764	Ndufs4	11808	4995
720	ENSMUSG00000029465	Arpc3	11807	5096
721	ENSMUSG00000034345	Gtf2h5	11796	4634
722	ENSMUSG00000022185	Acin1	11790	4300
723	ENSMUSG00000037236	Matr3	11780	4767
724	ENSMUSG00000053907	Mat2a	11775	4254
725	ENSMUSG00000030876	Mettl9	11765	4035
726	ENSMUSG00000039615	Stub1	11763	4387
727	ENSMUSG00000032525	Nktr	11749	4019
728	ENSMUSG00000015165	Hnrnpl	11725	4257
729	ENSMUSG00000031762	Mt2	11687	3002
730	ENSMUSG00000028820	Sfpq	11676	4610
731	ENSMUSG00000010406	Mrpl52	11658	4758
732	ENSMUSG00000033760	Rbm4b	11653	4345
733	ENSMUSG00000028809	Srrm1	11643	4154
734	ENSMUSG00000078851	Hist3h2a	11637	3883
735	ENSMUSG00000008859	Rala	11616	4239
736	ENSMUSG00000023106	Denr	11598	4432
737	ENSMUSG00000022551	Cyc1	11587	4563
738	ENSMUSG00000032228	Tcf12	11584	4456
739	ENSMUSG00000025651	Uqcrc1	11582	4527
740	ENSMUSG00000015759	Cnih1	11565	4218
741	ENSMUSG00000027245	Hypk	11553	4611
742	ENSMUSG00000004530	Coro1c	11553	4458
743	ENSMUSG00000032253	Phip	11552	4275
744	ENSMUSG00000032575	Manf	11547	4357
745	ENSMUSG00000006586	Runx1t1	11544	3332
746	ENSMUSG00000031776	Arl2bp	11523	4065
747	ENSMUSG00000021957	Tkt	11472	4609
748	ENSMUSG00000022174	Dad1	11460	4500
749	ENSMUSG00000024146	Cript	11457	4371
750	ENSMUSG00000037266	Rsrp1	11439	4317
751	ENSMUSG00000034880	Mrpl34	11439	4627
752	ENSMUSG00000028249	Sdcbp	11385	4513
753	ENSMUSG00000020671	Rab10	11372	4247
754	ENSMUSG00000032171	Pin1	11371	4230
755	ENSMUSG00000063787	Chchd1	11365	4409
756	ENSMUSG00000021643	Serf1	11362	4477
757	ENSMUSG00000015804	Med28	11359	4257
758	ENSMUSG00000070394	Tmem256	11351	4628
759	ENSMUSG00000042129	Rassf4	11326	3729
760	ENSMUSG00000008140	Emc10	11291	4269
761	ENSMUSG00000026918	Brd3	11282	3857
762	ENSMUSG00000079477	Rab7	11237	4309
763	ENSMUSG00000031765	Mt1	11236	2739
764	ENSMUSG00000037166	Ppp1r14a	11214	3258
765	ENSMUSG00000021917	Spcs1	11213	4290
766	ENSMUSG00000078427	Sarnp	11212	4624
767	ENSMUSG00000060591	Ifitm2	11194	4135
768	ENSMUSG00000024268	Celf4	11193	2846
769	ENSMUSG00000026131	Dst	11190	3860
770	ENSMUSG00000054312	Mrps21	11184	4518
771	ENSMUSG00000028945	Rheb	11140	4378
772	ENSMUSG00000024754	Tmem2	11128	4064
773	ENSMUSG00000019782	Rwdd1	11123	4266
774	ENSMUSG00000050071	Bex1	11121	3864
775	ENSMUSG00000026087	Mrpl30	11112	4342
776	ENSMUSG00000024026	Glo1	11102	4243
777	ENSMUSG00000040225	Prrc2c	11090	4039
778	ENSMUSG00000024309	Pfdn6	11078	4550
779	ENSMUSG00000061032	Rrp1	11060	4573
780	ENSMUSG00000026064	Ptp4a1	11033	4652
781	ENSMUSG00000001383	Zmat2	11017	4507
782	ENSMUSG00000097767	Miat	10968	4214
783	ENSMUSG00000037772	Mrpl23	10968	4326
784	ENSMUSG00000050299	Gm9843	10949	4269
785	ENSMUSG00000042406	Atf4	10944	4459
786	ENSMUSG00000015094	Npdc1	10913	3889
787	ENSMUSG00000023456	Tpi1	10898	4098
788	ENSMUSG00000066979	Bub3	10896	4146
789	ENSMUSG00000026701	Prdx6	10893	4065
790	ENSMUSG00000035048	Anapc13	10893	4563
791	ENSMUSG00000071337	Tia1	10878	4040
792	ENSMUSG00000001833	Sept7	10874	4634
793	ENSMUSG00000033047	Eif3l	10854	4144
794	ENSMUSG00000020708	Psmc5	10840	4828
795	ENSMUSG00000019428	Fkbp8	10833	4221
796	ENSMUSG00000019943	Atp2b1	10827	3867
797	ENSMUSG00000000581	C1d	10813	4485
798	ENSMUSG00000034932	Mrpl54	10810	4330
799	ENSMUSG00000043004	Gng2	10808	4054
800	ENSMUSG00000032249	Anp32a	10798	4195
801	ENSMUSG00000021248	Tmed10	10789	4175
802	ENSMUSG00000028137	Celf3	10787	4133
803	ENSMUSG00000046229	Scand1	10782	4493
804	ENSMUSG00000027602	Map1lc3a	10779	4230
805	ENSMUSG00000062248	Cks2	10763	3183
806	ENSMUSG00000025381	Cnpy2	10761	4335
807	ENSMUSG00000030980	Knop1	10744	4224
808	ENSMUSG00000061111	Fam195b	10744	4180
809	ENSMUSG00000027828	Ssr3	10743	4311
810	ENSMUSG00000023018	Smarcd1	10724	4304
811	ENSMUSG00000028419	Chmp5	10720	4546
812	ENSMUSG00000079426	Arpc4	10719	4415
813	ENSMUSG00000028156	Eif4e	10709	4371
814	ENSMUSG00000025135	Anapc11	10708	3970
815	ENSMUSG00000068739	Sars	10691	4468
816	ENSMUSG00000020745	Pafah1b1	10679	4145
817	ENSMUSG00000017188	Coa3	10676	4262
818	ENSMUSG00000034868	Myl12b	10650	4183
819	ENSMUSG00000027108	Ola1	10639	4205
820	ENSMUSG00000071014	Ndufb6	10631	4570
821	ENSMUSG00000024844	Banf1	10617	4205
822	ENSMUSG00000046668	Cxxc5	10576	3611
823	ENSMUSG00000053453	Thoc7	10572	4439
824	ENSMUSG00000020149	Rab1a	10569	4409
825	ENSMUSG00000041740	Rnf10	10567	3984
826	ENSMUSG00000007815	Rhoa	10552	4565
827	ENSMUSG00000029038	Ssu72	10533	4448
828	ENSMUSG00000007880	Arid1a	10532	3964
829	ENSMUSG00000008036	Ap2s1	10525	4418
830	ENSMUSG00000017421	Zfp207	10516	4134
831	ENSMUSG00000063015	Ccni	10511	4023
832	ENSMUSG00000061136	Prpf40a	10494	4102
833	ENSMUSG00000002416	Ndufb2	10483	4655
834	ENSMUSG00000036752	Tubb4b	10475	3986
835	ENSMUSG00000009575	Cbx5	10459	4045
836	ENSMUSG00000022674	Ube2v2	10456	4679
837	ENSMUSG00000002102	Psmc3	10403	4779
838	ENSMUSG00000015478	Rnf5	10365	3869
839	ENSMUSG00000017428	Psmd11	10360	4109
840	ENSMUSG00000024048	Myl12a	10355	3877
841	ENSMUSG00000026150	Mff	10348	4018
842	ENSMUSG00000056612	Ppp1r14b	10323	4744
843	ENSMUSG00000031701	Dnaja2	10306	4355
844	ENSMUSG00000068240	Gm11808	10304	4404
845	ENSMUSG00000025503	Taldo1	10303	4439
846	ENSMUSG00000006651	Aplp1	10281	3244
847	ENSMUSG00000044573	Acp1	10280	4038
848	ENSMUSG00000014195	Dnajc7	10275	4694
849	ENSMUSG00000021040	Slirp	10262	4409
850	ENSMUSG00000015247	Nipsnap3b	10247	4086
851	ENSMUSG00000042675	Ypel3	10230	4031
852	ENSMUSG00000021843	Ktn1	10224	4114
853	ENSMUSG00000035960	Apex1	10219	4047
854	ENSMUSG00000020368	Canx	10209	4270
855	ENSMUSG00000042207	Kdm5b	10201	3911
856	ENSMUSG00000025871	4833439L19Rik	10199	3817
857	ENSMUSG00000020547	Bzw2	10187	4323
858	ENSMUSG00000028645	Slc2a1	10186	2884
859	ENSMUSG00000041355	Ssr2	10177	4185
860	ENSMUSG00000030224	Strap	10167	4120
861	ENSMUSG00000026074	Map4k4	10163	3850
862	ENSMUSG00000038916	Soga3	10158	3583
863	ENSMUSG00000057388	Mrpl18	10158	3974
864	ENSMUSG00000042133	Ppig	10154	3852
865	ENSMUSG00000035183	Slc24a5	10146	3673
866	ENSMUSG00000018446	C1qbp	10143	4065
867	ENSMUSG00000063919	Srrm4	10132	4153
868	ENSMUSG00000005089	Slc1a2	10131	3660
869	ENSMUSG00000030246	Ldhb	10127	4119
870	ENSMUSG00000037852	Cpe	10123	4060
871	ENSMUSG00000026260	Ndufa10	10113	4192
872	ENSMUSG00000078348	Sf3b5	10061	4145
873	ENSMUSG00000006024	Napa	10043	4220
874	ENSMUSG00000028851	Nudc	10042	4192
875	ENSMUSG00000055762	Eef1d	10038	4049
876	ENSMUSG00000001924	Uba1	10036	4193
877	ENSMUSG00000025478	Dpysl4	10025	4380
878	ENSMUSG00000021832	Psmc6	10022	4669
879	ENSMUSG00000027350	Chgb	10021	3381
880	ENSMUSG00000027304	Rtf1	10020	4238
881	ENSMUSG00000029687	Ezh2	10018	3937
882	ENSMUSG00000021111	Papola	10015	3947
883	ENSMUSG00000031954	Cfdp1	10007	4343
884	ENSMUSG00000001158	Snrnp27	9995	4261
885	ENSMUSG00000027419	Pcsk2	9982	3339
886	ENSMUSG00000061360	Phf5a	9980	4107
887	ENSMUSG00000031342	Gpm6b	9972	3634
888	ENSMUSG00000047714	Ppp1r2	9932	4085
889	ENSMUSG00000039771	Polr2j	9930	4330
890	ENSMUSG00000021361	Tmem14c	9913	4082
891	ENSMUSG00000074480	Mex3a	9901	3412
892	ENSMUSG00000001403	Ube2c	9883	1998
893	ENSMUSG00000021477	Ctsl	9878	4397
894	ENSMUSG00000014226	Cacybp	9831	4145
895	ENSMUSG00000005846	Rsl1d1	9830	4182
896	ENSMUSG00000027459	Fam110a	9828	3684
897	ENSMUSG00000020917	Acly	9821	4187
898	ENSMUSG00000020863	Luc7l3	9798	4192
899	ENSMUSG00000025439	Clns1a	9792	4069
900	ENSMUSG00000008348	Ubc	9764	4581
901	ENSMUSG00000037197	Rbm17	9735	3948
902	ENSMUSG00000063524	Eno1	9732	3493
903	ENSMUSG00000006315	Tmem147	9722	4061
904	ENSMUSG00000004096	Cwc15	9709	4128
905	ENSMUSG00000047260	Emc6	9709	4086
906	ENSMUSG00000028719	Cmpk1	9708	4321
907	ENSMUSG00000038646	Fam103a1	9708	4283
908	ENSMUSG00000001017	Chtop	9707	3985
909	ENSMUSG00000097971	Gm26917	9701	4585
910	ENSMUSG00000004771	Rab11a	9700	4340
911	ENSMUSG00000034674	Tdg	9693	4050
912	ENSMUSG00000106918	Mrpl33	9675	4285
913	ENSMUSG00000000787	Ddx3x	9667	4216
914	ENSMUSG00000037664	Cdkn1c	9657	2044
915	ENSMUSG00000018042	Cyb5r3	9655	3905
916	ENSMUSG00000042462	Dctpp1	9652	3760
917	ENSMUSG00000057236	Rbbp4	9615	4197
918	ENSMUSG00000033543	Gtf2a2	9614	4056
919	ENSMUSG00000002107	Celf2	9607	3850
920	ENSMUSG00000024304	Cdh2	9585	4143
921	ENSMUSG00000015341	Golga7	9579	3864
922	ENSMUSG00000010097	Nxf1	9569	4071
923	ENSMUSG00000062580	Timm17a	9546	3997
924	ENSMUSG00000022820	Ndufb4	9536	4406
925	ENSMUSG00000067194	Eif1ax	9523	4000
926	ENSMUSG00000032002	Dcun1d5	9522	4150
927	ENSMUSG00000065990	Aurkaip1	9519	4005
928	ENSMUSG00000050708	Ftl1	9514	3642
929	ENSMUSG00000028464	Tpm2	9505	3618
930	ENSMUSG00000041084	Ostc	9500	3818
931	ENSMUSG00000048644	Ctxn1	9500	3179
932	ENSMUSG00000027248	Pdia3	9491	4216
933	ENSMUSG00000034993	Vat1	9456	3597
934	ENSMUSG00000015749	Anp32e	9453	3975
935	ENSMUSG00000004885	Crabp2	9450	3466
936	ENSMUSG00000070436	Serpinh1	9437	3311
937	ENSMUSG00000037710	Cisd1	9430	4016
938	ENSMUSG00000024096	Ralbp1	9425	3719
939	ENSMUSG00000040048	Ndufb10	9423	4326
940	ENSMUSG00000020485	Supt4a	9415	4167
941	ENSMUSG00000019494	Cops6	9410	4347
942	ENSMUSG00000061689	Dlgap4	9406	3788
943	ENSMUSG00000020167	Tcf3	9402	3610
944	ENSMUSG00000038803	Ost4	9393	3885
945	ENSMUSG00000026987	Baz2b	9391	3680
946	ENSMUSG00000023010	Tmbim6	9383	3982
947	ENSMUSG00000070426	Rnf121	9377	3527
948	ENSMUSG00000071359	Tbpl1	9330	3900
949	ENSMUSG00000028676	Srsf10	9323	3910
950	ENSMUSG00000022995	Enah	9322	3851
951	ENSMUSG00000030304	Ergic2	9305	3864
952	ENSMUSG00000027203	Dut	9288	3309
953	ENSMUSG00000091086	Rpl6l	9279	3694
954	ENSMUSG00000046865	Fbl	9277	4214
955	ENSMUSG00000051251	Nhlh1	9274	2517
956	ENSMUSG00000027671	Actl6a	9274	3908
957	ENSMUSG00000024740	Ddb1	9267	4334
958	ENSMUSG00000019795	Pcmt1	9260	4040
959	ENSMUSG00000031715	Smarca5	9256	4028
960	ENSMUSG00000071533	Pcnp	9240	4063
961	ENSMUSG00000030697	Ppp4c	9232	3922
962	ENSMUSG00000029203	Ube2k	9220	4072
963	ENSMUSG00000028609	Magoh	9219	4431
964	ENSMUSG00000029462	Vps29	9217	4247
965	ENSMUSG00000071662	Polr2g	9216	4108
966	ENSMUSG00000059119	Nap1l4	9208	4108
967	ENSMUSG00000006299	Aamp	9206	4006
968	ENSMUSG00000030603	Psmc4	9206	4260
969	ENSMUSG00000024480	Ap3s1	9196	3900
970	ENSMUSG00000021670	Hmgcr	9191	3624
971	ENSMUSG00000029817	Tra2a	9181	3853
972	ENSMUSG00000031229	Atrx	9176	3969
973	ENSMUSG00000002014	Ssr4	9173	4056
974	ENSMUSG00000029777	Gars	9159	4051
975	ENSMUSG00000002580	Mien1	9146	3956
976	ENSMUSG00000024974	Smc3	9133	3844
977	ENSMUSG00000058407	Txndc9	9123	4208
978	ENSMUSG00000038762	Abcf1	9123	4001
979	ENSMUSG00000006998	Psmd2	9113	4323
980	ENSMUSG00000026496	Parp1	9087	3839
981	ENSMUSG00000030519	Apba2	9081	2857
982	ENSMUSG00000027223	Mapk8ip1	9078	3719
983	ENSMUSG00000038722	Bud31	9076	4278
984	ENSMUSG00000010476	Ebf3	9067	3140
985	ENSMUSG00000004667	Polr2e	9064	3977
986	ENSMUSG00000040699	Limd2	9059	3559
987	ENSMUSG00000019433	Gipc1	9017	3818
988	ENSMUSG00000032394	Igdcc3	9008	3121
989	ENSMUSG00000041629	Fam104a	9002	3724
990	ENSMUSG00000024067	Dpy30	9001	3868
991	ENSMUSG00000073639	Rab18	8987	4165
992	ENSMUSG00000000902	Smarcb1	8982	4133
993	ENSMUSG00000032212	Sltm	8976	3833
994	ENSMUSG00000024571	Gm16286	8969	3697
995	ENSMUSG00000028788	Ptp4a2	8955	3564
996	ENSMUSG00000026895	Ndufa8	8935	4141
997	ENSMUSG00000005354	Txn2	8932	3618
998	ENSMUSG00000005873	Reep5	8924	3849
999	ENSMUSG00000014956	Ppp1cb	8882	4393
1000	ENSMUSG00000028932	Psmc2	8881	4216
