	P_1	P_2	P_4	P_5	P_6	P_7	P_8	P_9	P_10	C_11	C_12	C_13	C_14	C_15	C_16	C_17	C_19	C_20
hsa-miR-423-3p	1.439538	1.450910	1.441853	1.459731	1.443499	1.437741	1.436312	1.432018	1.436815	1.452803	1.457061	1.456657	1.440527	1.449787	1.483767	1.466975	1.458330	1.432848
hsa-miR-423-5p	1.459371	1.456768	1.425657	1.460798	1.443603	1.444997	1.436055	1.434546	1.437058	1.448511	1.452816	1.447931	1.443497	1.448785	1.464171	1.460502	1.456026	1.436870
hsa-miR-424	1.420243	1.417773	1.415459	1.443811	1.444051	1.454063	1.439427	1.425620	1.425023	1.421003	1.431154	1.434232	1.413522	1.434423	1.455560	1.432176	1.447389	1.411853
hsa-miR-425	1.438654	1.441407	1.418374	1.451241	1.430677	1.443639	1.427473	1.425525	1.426610	1.429929	1.440215	1.437770	1.425423	1.431839	1.461705	1.453810	1.442513	1.418871
hsa-miR-425*	1.470243	1.476989	1.469961	1.485507	1.479080	1.477662	1.470202	1.471032	1.470172	1.480085	1.482120	1.489604	1.468207	1.489511	1.509450	1.490449	1.486603	1.479017
hsa-miR-451	1.270154	1.288172	1.250066	1.307956	1.284277	1.309702	1.262818	1.262091	1.260179	1.271057	1.311838	1.310964	1.282025	1.288561	1.331830	1.295876	1.298981	1.268918
hsa-miR-484	1.436587	1.449322	1.430517	1.447684	1.435239	1.442072	1.428818	1.426623	1.430754	1.448352	1.455383	1.460306	1.439979	1.441837	1.474611	1.452112	1.454944	1.430813
hsa-miR-485-3p	1.403394	1.411164	1.405616	1.319068	1.324924	1.328181	1.324229	1.313786	1.329043	1.411698	1.419845	1.430403	1.397189	1.352621	1.371589	1.328061	1.462600	1.338641
hsa-miR-486-5p	1.385194	1.404641	1.369092	1.393115	1.374870	1.394160	1.371989	1.371852	1.372521	1.395545	1.417799	1.401603	1.408065	1.386919	1.409979	1.409841	1.402825	1.386552
hsa-miR-495	1.473472	1.518693	1.486928	1.508106	1.480254	1.498950	1.471511	1.469940	1.475025	1.503519	1.503536	1.541350	1.491107	1.488395	1.543146	1.505686	1.525133	1.467586
hsa-miR-497	1.482818	1.485731	1.485258	1.526503	1.501136	1.519871	1.485084	1.500886	1.496434	1.479685	1.494812	1.507191	1.477396	1.530289	1.522119	1.505469	1.491882	1.501629
hsa-miR-500a	1.508989	1.517631		1.518431	1.514790	1.540133	1.520069	1.541869	1.515095	1.509919	1.526138	1.535376	1.509625	1.537941	1.550005	1.513590	1.522917	1.513381
hsa-miR-501-3p	1.517258	1.515353	1.509391	1.516796	1.505045	1.525447	1.512679	1.505647	1.520489	1.507757	1.527358	1.544327	1.516126	1.520602	1.558246	1.521639	1.547732	1.512786
hsa-miR-502-3p	1.487913	1.494779	1.490237	1.506168	1.502096	1.510257	1.497660	1.486205	1.506040	1.495604	1.498705	1.499548	1.484201	1.499927	1.555790	1.505144	1.517097	1.490870
hsa-miR-505	1.479917	1.478569	1.479985	1.495813	1.493869	1.481256	1.489901	1.488918	1.476123	1.482602	1.484892	1.508371	1.482814	1.493121	1.515670	1.498193	1.491734	1.482359
hsa-miR-532-3p	1.491127	1.484042	1.478992	1.504996	1.506728	1.506223	1.486036	1.489974	1.487887	1.484442	1.493445	1.529075	1.489122	1.501039	1.553608	1.506712	1.520227	1.484189
hsa-miR-532-5p	1.484196	1.497833	1.478666	1.492793	1.480954	1.499785	1.482006	1.475733	1.482349	1.488294	1.508665	1.510502	1.497953	1.492646	1.515153	1.499483	1.504935	1.489841
hsa-miR-543	1.478297	1.507834	1.487157	1.507508	1.498702	1.519184	1.476736	1.489939	1.490588	1.503078	1.518860	1.505176	1.490349	1.486048	1.540228	1.532980	1.506950	1.484240
hsa-miR-551b	1.504182	1.514557	1.543891	1.534379	1.500077	1.509751	1.501176	1.511553	1.506116	1.518658	1.504359	1.549572	1.493601	1.542799	1.541071	1.539145	1.547027	1.498522
hsa-miR-574-3p	1.482036	1.482148	1.481322	1.489725	1.487688	1.488085	1.473850	1.477075	1.478179	1.490920	1.486739	1.503341	1.489101	1.480636	1.502152	1.495886	1.499795	1.474722
hsa-miR-584	1.497203	1.499443	1.490779	1.525151	1.502317	1.484795	1.501713	1.493603	1.505894	1.511072	1.500160	1.498137	1.488874	1.498269	1.511488	1.518529	1.505374	1.487536
hsa-miR-590-5p	1.460558	1.465026	1.462316	1.501740	1.489747	1.492454	1.488330	1.478028	1.492599	1.479983	1.487798	1.493506	1.460433	1.483762	1.508701	1.485549	1.474286	1.456072
hsa-miR-605	1.427866	1.429460	1.428714	1.348240	1.346138	1.357327	1.347716	1.342244	1.345944	1.435831	1.446249	1.444272	1.415928	1.372324	1.397102	1.354604	1.461315	1.362016
hsa-miR-629	1.517519	1.508511	1.489116	1.506915	1.491401	1.499010	1.492200	1.496936	1.489578	1.501255	1.492276	1.495477	1.490554	1.504493	1.525564	1.511408	1.514206	1.493146
hsa-miR-652	1.439350	1.454780	1.444757	1.456808	1.434005	1.442688	1.433394	1.431318	1.433652	1.454230	1.466604	1.468758	1.446897	1.452342	1.487360	1.459747	1.463436	1.434211
hsa-miR-660	1.488126	1.480468	1.469634	1.495488	1.493151	1.498597	1.486803	1.482277	1.486341	1.483580	1.499787	1.502039	1.482269	1.484285	1.513562	1.491543	1.493185	1.476537
hsa-miR-720	1.355460	1.363115	1.384093	1.308705	1.310509	1.319067	1.309367	1.302977	1.301320		1.372982	1.378937	1.357322	1.325796	1.346241	1.310974	1.395764	1.309883
hsa-miR-766	1.476993	1.484837	1.484827	1.501052	1.486621	1.484693	1.478875	1.486050	1.487147	1.500925	1.505903	1.516582	1.477968	1.500547	1.528673	1.502020	1.530313	1.480393
hsa-miR-885-5p	1.524455	1.491761	1.517531	1.533551	1.539770	1.516520	1.514972	1.527422	1.488492	1.528207	1.536406	1.528557	1.509959	1.544144	1.543414	1.546263	1.528720	1.529471
hsa-miR-92a	1.367221	1.384674	1.362221	1.384215	1.370514	1.380535	1.358108	1.358333	1.363584	1.383747	1.404789	1.394926	1.382241	1.375181	1.408800	1.395713	1.390791	1.371394
hsa-miR-92b	1.523646	1.511971	1.502838	1.549074	1.515301	1.517884	1.515627	1.497904	1.510500	1.522203	1.524594	1.535996	1.512252	1.515153		1.531062	1.524931	1.513339
hsa-miR-93	1.411177	1.406597	1.387576	1.409321	1.390828	1.406110	1.388365	1.387284	1.382700	1.400513	1.418283	1.422687	1.399085	1.411934	1.438102	1.420138	1.415843	1.392028
hsa-miR-93*	1.490212	1.487445	1.477744	1.516724	1.490615	1.519172	1.487707	1.491687	1.491740	1.488744	1.495722	1.488634	1.484185	1.490567	1.528195	1.506731	1.502756	1.486134
hsa-miR-95	1.517017	1.527171	1.560453		1.537115	1.527200	1.571730	1.527399	1.536625	1.532801	1.526511		1.534528	1.544919		1.539095	1.556885	
hsa-miR-99a	1.470251	1.456964	1.478629	1.489106	1.492937	1.496997	1.474356	1.486021	1.465284	1.476338	1.484914	1.506603	1.477793	1.493513	1.501572	1.486858	1.485085	1.482533
hsa-miR-99b	1.464495	1.475611	1.490590	1.493032	1.473172	1.482533	1.477213	1.489246	1.484662	1.490465	1.492511	1.508276	1.476820	1.481084	1.493253	1.489696	1.495055	1.476768
