Best marker	Cell type
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
TraesCS4A03G0321300	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
TraesCS3B03G0018300	Xylem
.	Xylem
.	Pericycle
TraesCS5D03G0768300	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
TraesCS2B03G0856800	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
.	Root cap
TraesCS6D03G0566000	Xylem
.	Xylem
.	Pericycle
TraesCS2D03G0867000	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
TraesCS5D03G0143700	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
.	Xylem
.	Xylem
.	Xylem
.	Pericycle
TraesCS1B03G0823600	Pericycle
.	Endodermis
.	Phloem
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
TraesCS7A03G1218100	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
TraesCS3B03G0728400	Root cap
.	Xylem
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
TraesCS7D03G0340900	Root cap
.	Root cap
.	Xylem
.	Pericycle
TraesCS7B03G0654200	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
TraesCS3D03G0133700	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
TraesCS5A03G0720100	Root cap
.	Root cap
.	Xylem
.	Pericycle
.	Endodermis
TraesCS7D03G0539900	Endodermis
.	Phloem
TraesCS3A03G0589600	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
.	Root cap
.	Root cap
.	Xylem
.	Pericycle
TraesCS1B03G0109800	Pericycle
.	Endodermis
.	Phloem
.	Cortex
.	Epidermis
TraesCS6B03G0004100	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
TraesCS3B03G1137000	Root cap
.	Root cap
.	Root cap
.	Pericycle
TraesCS3A03G0654600	Pericycle
.	Endodermis
TraesCS2B03G0976900	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
TraesCS1B03G1284700	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Xylem
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
TraesCS1A03G0652600	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
TraesCS3B03G0309700	Root cap
.	Root cap
.	Xylem
TraesCS7A03G0821400	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
TraesCS2B03G1534500	Epidermis
.	Epidermis
TraesCS1D03G0538300	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
TraesCS1D03G0861200	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
TraesCS7D03G0337200	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
TraesCS4D03G0431300	Root cap
.	Xylem
.	Xylem
.	Pericycle
TraesCS6D03G0633900	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
TraesCS7B03G0854100	Epidermis
.	Root cap
TraesCS3B03G0399700	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
TraesCS2A03G1006000	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
TraesCS4D03G0761000	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
TraesCS1D03G0222800	Root cap
.	Root cap
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
TraesCS2B03G0107000	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
TraesCS1B03G0368500	Root cap
.	Root cap
.	Endodermis
TraesCS6A03G0941500	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
TraesCS5D03G0156400	Phloem
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
TraesCS2B03G0559800	Endodermis
.	Phloem
TraesCS5D03G0993000	Phloem
.	Cortex
.	Cortex
.	Epidermis
TraesCS4B03G0941900	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
TraesCS7A03G0821400	Root cap
.	Root cap
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
TraesCS6A03G0323300	Root cap
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
TraesCS5D03G0766400	Root cap
.	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
.	Xylem
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
TraesCS4B03G0858700	Endodermis
.	Endodermis
.	Phloem
TraesCS7D03G0567100	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Pericycle
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
TraesCS6D03G0703200	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
TraesCSU03G0019900	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
TraesCS2D03G1315900	Endodermis
.	Endodermis
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
TraesCS3A03G0129900	Root cap
.	Xylem
.	Pericycle
.	Endodermis
TraesCS1B03G0109800	Endodermis
.	Endodermis
.	Phloem
TraesCS1D03G0173900	Phloem
.	Cortex
.	Cortex
.	Cortex
TraesCS2D03G1268900	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Xylem
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
TraesCS3D03G0090600	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
TraesCS2A03G0734000	Root cap
.	Root cap
.	Xylem
TraesCS6D03G0592100	Xylem
.	Pericycle
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
TraesCS5A03G1080200	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
TraesCS1D03G0633000	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Xylem
.	Xylem
.	Xylem
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
TraesCS5A03G0533600	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
TraesCS1B03G0015300	Phloem
.	Cortex
.	Cortex
.	Epidermis
TraesCSU03G0511900	Epidermis
.	Epidermis
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
TraesCS1A03G0916900	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Epidermis
TraesCS6B03G0808900	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
TraesCS7B03G0314400	Phloem
.	Cortex
.	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
TraesCS5D03G0499900	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
TraesCS3A03G0287200	Epidermis
.	Epidermis
.	Root cap
TraesCS3A03G1146800	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
TraesCS1B03G0653700	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
TraesCS6D03G0242900	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Root cap
TraesCS7B03G0170600	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Xylem
TraesCS2A03G1162800	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
TraesCS2B03G0056900	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Pericycle
.	Endodermis
TraesCS5A03G0505600	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
TraesCS2A03G1034400	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
TraesCS3A03G0184100	Root cap
.	Root cap
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
TraesCS2D03G0915700	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Epidermis
TraesCS6D03G0684900	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
TraesCSU03G0248400	Phloem
.	Cortex
.	Cortex
.	Cortex
TraesCS1B03G0767000	Epidermis
.	Epidermis
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Epidermis
TraesCS5D03G0532900	Root cap
.	Xylem
.	Xylem
.	Xylem
.	Endodermis
.	Endodermis
TraesCS1B03G1177400	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Epidermis
TraesCS1D03G0931100	Root cap
.	Root cap
.	Xylem
TraesCS7B03G0907100	Xylem
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
TraesCS7D03G0401600	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
TraesCS6A03G0762000	Phloem
.	Cortex
.	Cortex
.	Epidermis
TraesCS1A03G0542400	Epidermis
.	Epidermis
.	Root cap
TraesCSU03G0047200	Root cap
.	Root cap
.	Xylem
TraesCS2A03G0648100	Xylem
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
TraesCS4B03G0329500	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
TraesCS4B03G0096500	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
TraesCS1D03G0646100	Root cap
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
TraesCS5A03G1214500	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
TraesCSU03G0188600	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
TraesCS1B03G0951500	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
TraesCS7A03G0988200	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Endodermis
.	Endodermis
.	Endodermis
.	Phloem
TraesCS7D03G0820700	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
TraesCS2D03G0641200	Endodermis
.	Endodermis
.	Phloem
TraesCS7D03G0865700	Phloem
.	Cortex
.	Cortex
TraesCS1A03G0810300	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
TraesCS7D03G0849400	Xylem
.	Pericycle
.	Endodermis
TraesCS1D03G0004300	Endodermis
.	Endodermis
.	Phloem
TraesCS5D03G0884400	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
TraesCS1B03G0625200	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
TraesCS2B03G1117800	Root cap
.	Root cap
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
TraesCS3A03G0654600	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
TraesCS7A03G0214300	Root cap
.	Root cap
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
TraesCS1A03G0885900	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
TraesCS3A03G0294100	Root cap
.	Xylem
.	Pericycle
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
TraesCS6B03G1029600	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
TraesCS1A03G0258600	Phloem
.	Cortex
.	Cortex
.	Epidermis
TraesCS3A03G0103100	Epidermis
.	Epidermis
.	Root cap
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Phloem
TraesCS3D03G0185400	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
TraesCS5A03G1295300	Root cap
.	Root cap
.	Pericycle
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
TraesCS5D03G1173000	Root cap
.	Root cap
.	Xylem
.	Pericycle
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Xylem
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
TraesCS2B03G1163500	Root cap
.	Root cap
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
TraesCS5D03G1033800	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
TraesCS3D03G0132200	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
TraesCS1D03G0640500	Root cap
.	Xylem
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Phloem
TraesCS2D03G0958800	Phloem
.	Cortex
.	Epidermis
.	Epidermis
TraesCS1B03G0783100	Root cap
.	Xylem
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
TraesCS2B03G0368000	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
TraesCS1A03G1045200	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
TraesCS3A03G1064300	Epidermis
.	Epidermis
TraesCS3B03G0098300	Root cap
.	Root cap
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
.	Xylem
.	Pericycle
TraesCS1D03G0216800	Endodermis
.	Endodermis
.	Phloem
TraesCS4D03G0223700	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Xylem
.	Pericycle
TraesCS2D03G0603700	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
TraesCS5D03G0992800	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Phloem
TraesCS2B03G0423100	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Pericycle
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
TraesCS3D03G0037900	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
TraesCS7B03G1286700	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
TraesCS6A03G0684200	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
.	Xylem
.	Pericycle
.	Endodermis
TraesCS6D03G0670000	Endodermis
.	Endodermis
.	Phloem
TraesCS5A03G1295300	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
TraesCS1A03G0644100	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Phloem
TraesCS1A03G0190000	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Endodermis
.	Endodermis
.	Phloem
TraesCS4D03G0760600	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
TraesCS3B03G0012900	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Phloem
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
TraesCS1B03G0889300	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Phloem
TraesCS2D03G0684200	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
TraesCS5A03G1145500	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
TraesCS7A03G0475200	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
TraesCS6A03G0083500	Epidermis
.	Epidermis
.	Root cap
.	Xylem
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
TraesCS6B03G0242600	Epidermis
.	Root cap
.	Xylem
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Xylem
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Xylem
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
TraesCS3B03G0944300	Phloem
.	Cortex
.	Epidermis
TraesCS7D03G0620600	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Pericycle
.	Endodermis
TraesCS1B03G0050600	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
TraesCS7D03G1266100	Endodermis
.	Phloem
TraesCS7D03G0146000	Phloem
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
.	Xylem
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
TraesCS4D03G0700400	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Phloem
.	Cortex
.	Epidermis
TraesCS3D03G1197600	Epidermis
.	Epidermis
.	Root cap
TraesCS2A03G1280900	Root cap
.	Xylem
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
TraesCS1A03G0542400	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
TraesCS7D03G0949000	Epidermis
.	Epidermis
.	Epidermis
TraesCS3D03G1095700	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
TraesCS2A03G0290300	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
TraesCS1D03G0209600	Root cap
.	Xylem
.	Pericycle
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
TraesCS4D03G0840100	Epidermis
.	Root cap
.	Xylem
.	Endodermis
.	Endodermis
.	Phloem
TraesCS7D03G0539900	Phloem
.	Cortex
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
TraesCS7B03G0907100	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
TraesCS2B03G0976900	Phloem
.	Cortex
.	Cortex
TraesCS7D03G1077100	Epidermis
.	Root cap
.	Xylem
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
TraesCS7D03G0811200	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
TraesCS3A03G0966500	Epidermis
.	Epidermis
TraesCS7D03G0412400	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
.	Xylem
.	Xylem
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
.	Xylem
.	Xylem
.	Xylem
.	Pericycle
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
.	Xylem
.	Pericycle
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
.	Xylem
.	Endodermis
.	Endodermis
.	Phloem
TraesCS5A03G0264700	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Phloem
TraesCS2B03G0905800	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Epidermis
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
TraesCS7A03G0268700	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Xylem
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
TraesCS5A03G1060100	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
.	Xylem
.	Endodermis
.	Endodermis
.	Phloem
TraesCS4B03G0858700	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
.	Endodermis
.	Phloem
TraesCS2D03G1315900	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Root cap
.	Pericycle
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Cortex
.	Epidermis
.	Root cap
.	Pericycle
.	Endodermis
.	Endodermis
.	Phloem
.	Cortex
.	Cortex
.	Epidermis
.	Epidermis
.	Epidermis
.	Root cap
.	Root cap
.	Xylem
.	Xylem
.	Pericycle
