Supplementary Table 14: Pathways and protein complexes prioritized by DEPICT. The Data-driven Enrichment-Prioritized Integration for Complex Traits (DEPICT) method re-annotates gene sets based on large-scale gene expression data and then identifie reconstituted gene sets that enrich for genes within associated loci. Locus gene sets were constructed by mapping genes to a given locus if they were within, or overlapped with, regions defined by linkage disequilibrium r2>0.5 around the lead SNP of the given locus. The table lists 301 gene sets with P<1x10-11). The ‘Reconstituted gene set ID’ column lists the gene set ID of the original gene set. Reconstituted gene sets starting with GO are derived from the Gene Ontology database; gene sets starting with MP are derived phenotypic gene sets from the Mouse Genome Informatics database; gene sets starting with ENSG are derived protein-protein interaction subnetworks from the InWeb database; and prefixes KEGG and REACTOME refer to gene sets derived from the KEGG and REACTOME databases, respectively). Gene sets were pruned into meta gene sets based on fraction of shared genes (Jaccard index > 0.25). The column ‘Part of meta gene set’ lists the meta gene set a given gene set may be part of. 	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5
GO:0048754	Branching Morphogenesis Of A Tube	-	9.71e-15	<1.04E-5	*, SALL1, THSD4, KCNS3
GO:0040008	Regulation Of Growth	-	1.18e-14	<1.04E-5	*, CSH2, GH2, CRIM1
ENSG00000116478	HDAC1 protein complex	ENSG00000114166	1.21e-14	<1.04E-5	RARA, CCNF, CCNA2, DTL, EZH2, NFIC, UHRF1, FANCI, CDKN1B, POLR2A, NUP153, TP53, SPC25, NASP, SUZ12, HIST2H2BE, H1FX, TACC3, TOP2A, HIRIP3, PPP4C, ATAD5, ARID1B, STAG1, CTCF, NUSAP1, CREBBP, NCAPG, CDCA2
ENSG00000174197	MGA protein complex	ENSG00000177485	1.27e-14	<1.04E-5	PABPN1, POLR2A, NUP153, BCL7A, SUZ12, FUBP3, KDM1A, CTCF, SUPT16H, UBE2Z, RNPS1
ENSG00000138696	BMPR1B protein complex	ENSG00000138696	1.31e-14	<1.04E-5	XPA, SMAD7, SMAD6, WWC2
MP:0000559	Abnormal Femur Morphology	MP:0000559	1.52e-14	<1.04E-5	MSRB3, FGFR2, FAM101A, LOXL1, NEO1, COL10A1, SMAD6, IHH, IGF2, COL9A2, BMP2, COL27A1, MATN3, FLNB, DMP1, OGN, SERPINH1, WWP2, COL11A1, ACAN, FBN1, CRISPLD1, LOXL2, SIX1, IBSP, COL8A1, GLT8D2, RHOD, OMD, COL6A1, TRPS1, ASPN
MP:0000266	Abnormal Heart Morphology	GO:0007507	1.71e-14	<1.04E-5	TRIM63, MYBPC3, CTDSP2, FBLN2, TMOD1, TNNC1, LTBP2
ENSG00000166949	SMAD3 protein complex	GO:0005667	1.72e-14	<1.04E-5	RARA, SMAD7, NUP153, ZNF574, GATAD2A, TRIB1, FBXW11, ARID1B, PLEC, CREBBP
MP:0002086	Abnormal Extraembryonic Tissue Morphology	-	2.26e-14	<1.04E-5	LAMC1, RREB1, OTUD4, FLNB, PKN2, SERPINH1, FNDC3B, REST, MED13L, CTBP2, STAG1
GO:0019838	Growth Factor Binding	GO:0019838	2.6e-14	<1.04E-5	LRP5, SERPINE2, EFEMP1, LOXL1, SMAD7, BMP6, LAMC1, LTBP1, IGFBP4, SMAD6, LATS2, PXDN, GLI2, IGF2, ADAMTS2, CCDC3, GRB10, SEMA3G, SERPINH1, ECM2, DAB2, ACAN, ENPP2, IGFBP3, FBN1, DLC1, LOXL2, FBLN2, LTBP2, COL8A1, CRIM1, SLIT3, PRRX1, PAPPA, COL6A1, ASPN, COL15A1
KEGG_PROSTATE_CANCER	 Prostate Cancer	-	2.85e-14	<1.04E-5	PBRM1
MP:0001286	Abnormal Eye Development	MP:0001286	2.86e-14	<1.04E-5	PTCH1, SMAD6, FBN2, SALL1, SIX1, ID4, SIX6
GO:0007178	Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway	-	3.21e-14	<1.04E-5	*, SMAD7, SMAD6, FBN1
GO:0010171	Body Morphogenesis	-	3.31e-14	<1.04E-5	*, TWIST1, NFATC4, ENPP2
MP:0000111	Cleft Palate	GO:0001501	3.39e-14	<1.04E-5	FOXD2, LRP5, PITX1, FGFR2, FAM101A, PTCH1, SMAD6, TWIST1, FBN2, GLI2, IGF2, PAX9, IGF1R, ACAN, WNT5A, SIX1, IBSP, PRRX1, SIX4, OMD, NFATC4
MP:0000157	Abnormal Sternum Morphology	MP:0000157	3.49e-14	<1.04E-5	FOXD2, HOXB6, GLI2, HOXB3, SALL1, WNT5A, HMGA2, HOXB5, PTPN14, ENSG00000233101, SIX1
GO:0021915	Neural Tube Development	-	3.62e-14	<1.04E-5	*, VANGL2, ZSCAN10, LIN28B
MP:0000440	Domed Cranium	GO:0001501	3.94e-14	<1.04E-5	FGFR2, NEO1, SMAD6, COL9A2, COL27A1, MATN3, FLNB, DMP1, WWP2, COL11A1, ACAN, IBSP, OMD, SCARA3, TRPS1
MP:0000141	Abnormal Vertebral Body Morphology	MP:0000435	4.4e-14	<1.04E-5	LRP5, FAM101A, COL10A1, COL9A2, COL27A1, MATN3, DMP1, SERPINH1, WWP2, COL11A1, ACAN, CYTL1, CRISPLD1, LOXL2, SIX1, IBSP, COL6A1, COL15A1
MP:0002113	Abnormal Skeleton Development	MP:0000435	4.84e-14	<1.04E-5	FGFR2, FAM101A, SMAD7, COL10A1, SMAD6, TWIST1, IGF2, COL9A2, TGFB2, BMP2, COL27A1, MATN3, DMP1, OGN, SERPINH1, WWP2, COL11A1, ACAN, FBN1, GHR, NFATC1, IBSP, PRRX1, OMD, COL6A1, PCSK5
GO:0022612	Gland Morphogenesis	-	4.99e-14	<1.04E-5	*, TNS4, SMAD3, TRPS1
ENSG00000141570	CBX8 protein complex	ENSG00000177485	5.04e-14	<1.04E-5	ZNF687, SUZ12, H1FX, UBE2Z, RNPS1, MEAF6
MP:0002884	Abnormal Branchial Arch Morphology	GO:0060021	5.18e-14	<1.04E-5	SMAD6, SALL1
MP:0011091	Complete Prenatal Lethality	-	5.58e-14	<1.04E-5	NT5DC2, FLNB, SERPINH1, TOP2A, OIP5, ZSCAN10, CREBBP
GO:0001763	Morphogenesis Of A Branching Structure	GO:0061138	5.78e-14	<1.04E-5	*, THSD4, TBX2, HHIP
GO:0031519	Pcg Protein Complex	-	5.88e-14	<1.04E-5	NUP153, H1FX, UBE2Z
ENSG00000137834	SMAD6 protein complex	-	6.1e-14	<1.04E-5	SMAD7, SMAD6, TRIM8, WWC2
MP:0002187	Abnormal Fibula Morphology	MP:0000107	6.23e-14	<1.04E-5	PITX1, FGFR2, FAM101A, LPAR1, GMDS, TBX18, NEO1, TBX4, COL10A1, SMAD6, FBN2, COL9A2, TGFB2, MATN3, OGN, COL11A1, ACAN, WNT5A, SIX1, IBSP, COL6A1
ENSG00000204227	RING1 protein complex	ENSG00000141582	6.32e-14	<1.04E-5	SENP3, OTUD4, SUZ12, PBRM1, RNPS1
ENSG00000206215	ENSG00000206215 protein complex	ENSG00000177485	6.32e-14	<1.04E-5	SENP3, OTUD4, SUZ12, PBRM1, RNPS1
ENSG00000206287	RING1 protein complex	ENSG00000177485	6.32e-14	<1.04E-5	SENP3, OTUD4, SUZ12, PBRM1, RNPS1
GO:0048634	Regulation Of Muscle Organ Development	GO:0048634	6.49e-14	<1.04E-5	*, MYH7B, ENSG00000088970, CHRND
GO:0016055	Wnt Receptor Signaling Pathway	-	6.85e-14	<1.04E-5	AXIN2
MP:0010103	Small Thoracic Cage	GO:0001501	6.93e-14	<1.04E-5	FGFR2, FAM101A, COL10A1, SMAD6, COL9A2, TGFB2, SOX8, COL27A1, MATN3, WWP2, COL11A1, ACAN, CYTL1, ID4, OMD, TRPS1
MP:0000550	Abnormal Forelimb Morphology	GO:0001501	7.01e-14	<1.04E-5	FGFR2, LPAR1, COL10A1, PTCH1, SMAD6, TWIST1, FBN2, BMP2, DMP1, OGN, SERPINH1, COL11A1, ACAN, WNT5A, CRISPLD1, SIX1, IBSP, ISL1, ID4, PRRX1, OMD, COL6A1, NFATC4
GO:0001649	Osteoblast Differentiation	-	7.21e-14	<1.04E-5	DMP1, IBSP
GO:0001503	Ossification	GO:0043009	7.74e-14	<1.04E-5	COL10A1, COL24A1, DMP1, ACAN, IBSP, OMD, SCARA3
ENSG00000010803	SCMH1 protein complex	ENSG00000177485	8.02e-14	<1.04E-5	*, RARA, H1FX, RNPS1
MP:0011089	Complete Perinatal Lethality	MP:0000107	8.68e-14	<1.04E-5	FGFR2, HOXB6, SMAD6, LATS2, FBN2, FGF18, TGFB2, FLNB, SERPINH1, IGFBP3, WNT5A, FBN1, HOXB5, PTPN14, SIX1, ID4
GO:0051170	Nuclear Import	-	8.75e-14	<1.04E-5	*, ARIH1, SMAD3, BCL6
GO:0060350	Endochondral Bone Morphogenesis	GO:0001501	8.76e-14	<1.04E-5	FAM101A, COL10A1, COL9A2, MATN3, DMP1, COL11A1, ACAN, IBSP, OMD
MP:0008973	Decreased Erythroid Progenitor Cell Number	MP:0008973	9.17e-14	<1.04E-5	MED13L, CTCF
MP:0003047	Abnormal Thoracic Vertebrae Morphology	GO:0001501	9.17e-14	<1.04E-5	SKAP1, TBX15, HOXB6, TWIST1, HOXB3, WNT5A, HOXB5, ENSG00000233101, SIX1, SHOX2, NFATC4
ENSG00000140464	PML protein complex	-	1.12e-13	<1.04E-5	SAMD9, SMCHD1, MSL2, PML, TRIB1, CNOT4, ZNFX1
MP:0005358	Abnormal Incisor Morphology	MP:0000060	1.26e-13	<1.04E-5	FGFR2, LPAR1, SMAD6, TWIST1, DMP1, SERPINH1, WNT5A, IBSP, PRRX1, OMD
MP:0003935	Abnormal Craniofacial Development	GO:0001501	1.36e-13	<1.04E-5	FGFR2, TWIST1, GLI2, FLNB, LAMA5, SIX4
GO:0000981	Sequence-Specific Dna Binding Rna Polymerase Ii Transcription Factor Activity	MP:0000107	1.52e-13	<1.04E-5	RARA, SMAD7, SMAD6, TWIST1, IHH, BMP2, TRIB1, TBX2, ISL1, ID4, NFKBIA, KLF3
GO:0033365	Protein Localization To Organelle	-	1.67e-13	<1.04E-5	*, ARIH1, XRN2, TOX4
MP:0004471	Short Nasal Bone	MP:0004471	1.7e-13	<1.04E-5	FGFR2, TBX4, PTCH1, SMAD6, FBN2, AXIN2, COL9A2, TGFB2, COL24A1, COL27A1, DMP1, ACAN, LAMA5, IBSP, HHIP, OMD, TLE3
MP:0002427	Disproportionate Dwarf	MP:0000559	1.76e-13	<1.04E-5	FGFR2, SMOC2, SOX5, FAM101A, COL10A1, SFRP4, IHH, COL9A2, COL27A1, MATN3, DMP1, WWP2, ECM2, COL11A1, ACAN, CYTL1, CRISPLD1, IBSP, OMD, COL6A1, ASPN
MP:0000163	Abnormal Cartilage Morphology	MP:0000559	1.91e-13	<1.04E-5	FGFR2, SOX5, FAM101A, TBX4, TBX15, COL10A1, LTBP1, GDF5, FBN2, IGF2, CHSY1, COL9A2, BMP2, COL27A1, MATN3, DMP1, SERPINH1, WWP2, COL11A1, ACAN, ENPP2, CYTL1, CRISPLD1, LOXL2, SIX1, IBSP, OMD, SCARA3, COL6A1, TRPS1, ASPN
MP:0000154	Rib Fusion	MP:0000157	1.92e-13	<1.04E-5	RARA, PITX1, TBX15, HOXB6, IGFBP4, TWIST1, FBN2, IGF2, PAX9, HOXB3, SALL1, HMGA2, HOXB5, SIX1, GLT8D2, PRRX1, SIX4, NFATC4
ENSG00000129965	INS-IGF2 protein complex	-	1.93e-13	<1.04E-5	SERPINE2, LOXL1, NEO1, ACAN, ENPP2, ITM2B, PRRX1
ENSG00000112592	TBP protein complex	ENSG00000114166	2.01e-13	<1.04E-5	POLR2A, HIST2H2BE, SSSCA1, H1FX, CTCF, CREBBP, CDC5L
ENSG00000127616	SMARCA4 protein complex	ENSG00000127616	2.02e-13	<1.04E-5	NCBP1, POLR2A, HIST2H2BE, NIPBL, H1FX, STAG1, CTCF, CREBBP
GO:0050678	Regulation Of Epithelial Cell Proliferation	-	2.03e-13	<1.04E-5	*, SFRP4, TEAD1, SLC12A4
GO:0030323	Respiratory Tube Development	GO:0060541	2.18e-13	<1.04E-5	TBX4
ENSG00000168283	BMI1 protein complex	ENSG00000141582	2.2e-13	<1.04E-5	*, SMARCA5, MEAF6, ZNF638
ENSG00000171720	HDAC3 protein complex	-	2.24e-13	<1.04E-5	RARA, NIPBL, MED13L, ARID1B, UBN1, CREBBP, ETV6, ZMIZ1, AP3D1, TLE3
MP:0002109	Abnormal Limb Morphology	GO:0001501	2.34e-13	<1.04E-5	FGFR2, FAM101A, SMAD6, TWIST1, FBN2, BMP2, COL27A1, DMP1, SERPINH1, SMAD3, IBSP, SLIT3, PRRX1, SCARA3, COL6A1, TRPS1, NFATC4
MP:0001891	Hydroencephaly	MP:0001891	2.42e-13	<1.04E-5	STK36, DMRTA2, TSNAXIP1, CCDC96, SPAG8, YSK4, DNALI1
MP:0000049	Abnormal Middle Ear Morphology	MP:0000049	2.45e-13	<1.04E-5	HOXB6, PTCH1, TWIST1, PAX9, HOXB3, DMP1, SALL1, HOXB5, PTPN14, SIX1, IBSP, ISL1, RUNX2, SIX4, OMD
MP:0005076	Abnormal Cell Differentiation	-	2.51e-13	<1.04E-5	RARA, CCNA2, CTDSP2, SMAD6, TRIB1, TOP2A, MED13L, SMAD3, RPN2, BCL6
ENSG00000111752	PHC1 protein complex	ENSG00000179899	2.76e-13	<1.04E-5	EZH2, OTUD4, NASP, H1FX, RNPS1, MEAF6
MP:0000547	Short Limbs	GO:0001501	2.79e-13	<1.04E-5	SNAI1, FGFR2, SOX5, FAM101A, LPAR1, COL10A1, PTCH1, TWIST1, FBN2, IHH, COL9A2, BMP2, COL27A1, ROR2, MATN3, DMP1, OGN, WWP2, COL11A1, ACAN, ENPP2, CYTL1, CRISPLD1, IBSP, PRRX1, OMD, COL6A1, TRPS1, ASPN, NFATC4
MP:0000433	Microcephaly	-	2.92e-13	<1.04E-5	FOXD2, NSD1, STAG1
ENSG00000122691	TWIST1 protein complex	-	2.95e-13	<1.04E-5	HOXB6, NFATC1, HOXB5, ENSG00000233101, ISL1, PRRX1
GO:0060443	Mammary Gland Morphogenesis	-	3.06e-13	<1.04E-5	*, ESR1, THSD4, ANO1
ENSG00000186350	RXRA protein complex	ENSG00000186350	3.09e-13	<1.04E-5	TRIB1, NIPBL, GLTSCR1, CREBBP, NFKBIA, ZMIZ1
MP:0003723	Abnormal Long Bone Morphology	MP:0000559	3.11e-13	<1.04E-5	FGFR2, FAM101A, LOXL1, LPAR1, COL10A1, PTCH1, TWIST1, FBN2, IGF2, COL9A2, COL24A1, COL27A1, MATN3, DMP1, OGN, SERPINH1, WWP2, COL11A1, ACAN, FBN1, LOXL2, IBSP, SH3PXD2A, GLT8D2, OMD, SCARA3, COL6A1, ASPN, COL15A1
ENSG00000070018	LRP6 protein complex	-	3.2e-13	<1.04E-5	SMAD6, TGFB2, EDN3, SPRY4, PRKG1, SPRY2, ID4
ENSG00000205250	E2F4 protein complex	ENSG00000205250	3.26e-13	<1.04E-5	CCNF, CCNA2, DTL, EZH2, UHRF1, FANCI, CENPW, SPC25, ZNF367, TACC3, TOP2A, OIP5, HIRIP3, ATAD5, E2F1, NUSAP1, NCAPG, CDCA2
ENSG00000163513	TGFBR2 protein complex	-	3.81e-13	<1.04E-5	CCNA2, SMAD7, APP, IGFBP4, SMAD6, SERPINH1, TOP2A, FBN1, SMAD3, LTBP2, NCAPG
GO:0060070	Canonical Wnt Receptor Signaling Pathway	-	4.02e-13	<1.04E-5	*, AXIN2, FGFR2, FAM101A
GO:0048863	Stem Cell Differentiation	-	4.03e-13	<1.04E-5	*, REST, VANGL2, ID4
GO:0006606	Protein Import Into Nucleus	-	4.26e-13	<1.04E-5	*, ARIH1, CNOT4, SMAD3
MP:0001711	Abnormal Placenta Morphology	-	4.38e-13	<1.04E-5	C9, ITIH1, NUMB, FNDC3B
GO:0030879	Mammary Gland Development	GO:0030879	4.51e-13	<1.04E-5	ANO1, ESR1
MP:0004359	Short Ulna	MP:0000107	4.71e-13	<1.04E-5	FOXD2, FGFR2, FAM101A, LOXL1, LPAR1, ARSJ, TBX18, TBX4, BNC2, COL10A1, SMAD6, GDF5, TWIST1, FBN2, COL9A2, PCOLCE2, TGFB2, BMP2, COL27A1, MATN3, OGN, SERPINH1, COL11A1, ACAN, WNT5A, SIX1, GLT8D2, SIX4, OMD, COL6A1, TRPS1, NFATC4
GO:0010463	Mesenchymal Cell Proliferation	-	4.95e-13	<1.04E-5	TWIST1
ENSG00000125084	WNT1 protein complex	ENSG00000125084	5.24e-13	<1.04E-5	SMAD6, CRISPLD1, ID4
GO:0035137	Hindlimb Morphogenesis	-	5.34e-13	<1.04E-5	*, MPPED2, ROR2, ENSG00000088970
ENSG00000157933	SKI protein complex	-	5.35e-13	<1.04E-5	NFIC, SMAD7, NEO1, SMAD6, TRIB1, CREBBP, SPIN1, ZMIZ1
ENSG00000007968	E2F2 protein complex	-	5.59e-13	<1.04E-5	HEXIM1, KLF3
ENSG00000115274	INO80B protein complex	-	5.83e-13	<1.04E-5	CTCF, KIAA1267, CREBBP
REACTOME_PI-3K_CASCADE	Pi-3K Cascade	-	6.17e-13	<1.04E-5	SMAD7, CTDSP2, PTCH1, SPTBN1, MYH7B, FRS2, WWC2
GO:0045596	Negative Regulation Of Cell Differentiation	-	6.39e-13	<1.04E-5	*, HOXB3, TLE3, ID4
ENSG00000185591	SP1 protein complex	GO:0005667	7.05e-13	<1.04E-5	RARA, NFIC, POLR2A, RREB1, TP53, TRIB1, TRIM8, GLTSCR1, REST, MED13L, NFATC1, ARID1B, STAG1, CTCF, KIAA1267, PLEC, CREBBP, NFKBIA, TLE3
GO:0030324	Lung Development	GO:0060541	7.12e-13	<1.04E-5	TBX4
ENSG00000173889	PHC3 protein complex	-	7.24e-13	<1.04E-5	ITIH4
MP:0000351	Increased Cell Proliferation	-	7.82e-13	<1.04E-5	RPS27L, DRAM1, SLC12A4, IGFBP3, FBN1, PRRX1
GO:0035116	Embryonic Hindlimb Morphogenesis	-	7.9e-13	<1.04E-5	*, SIX1, IGF2, NFATC4
GO:0048562	Embryonic Organ Morphogenesis	GO:0001501	8.1e-13	<1.04E-5	HOXB6, HOXB3, HOXB5, ENSG00000233101
ENSG00000122565	CBX3 protein complex	ENSG00000127616	9.35e-13	<1.04E-5	CCNF, CCNA2, DTL, EZH2, UHRF1, FANCI, CENPW, SPC25, NASP, SUZ12, HIST2H2BE, H1FX, TACC3, TOP2A, OIP5, ATAD5, E2F1, CTCF, CDKN2C, NUSAP1, RBL1, NCAPG, CDCA2
ENSG00000141027	NCOR1 protein complex	ENSG00000141027	9.71e-13	<1.04E-5	NFIC, POLR2A, NUP153, RYBP, NIPBL, MED13L, ARID1B, STAG1, CTCF, HNRNPH3, CREBBP, CDC5L, PBRM1, ZMIZ1
ENSG00000196363	WDR5 protein complex	ENSG00000141027	9.93e-13	<1.04E-5	RARA, POLR2A, NUP153, TP53, MSL2, SBNO1, HIST2H2BE, THAP11, PPP4C, STAG1, CTCF, CREBBP, PBRM1, RNPS1, MEAF6
MP:0000930	Wavy Neural Tube	-	1.02e-12	<1.04E-5	WWC2, CREBBP, ID4
MP:0000558	Abnormal Tibia Morphology	MP:0000060	1.04e-12	<1.04E-5	FGFR2, SMOC2, FAM101A, LPAR1, GMDS, TBX18, TBX4, COL10A1, TWIST1, COL9A2, MATN3, DMP1, OGN, COL11A1, ACAN, WNT5A, SIX1, IBSP, OMD, TRPS1, ESR1, NFATC4
ENSG00000112658	SRF protein complex	-	1.05e-12	<1.04E-5	RARA, RAPSN, REST, CHRND, PLEC, ETV6
ENSG00000120738	EGR1 protein complex	-	1.07e-12	<1.04E-5	HSP90B1, TRIB1
GO:0043566	Structure-Specific Dna Binding	ENSG00000114166	1.12e-12	<1.04E-5	CCNA2, DTL, EZH2, UHRF1, FANCI, CDKN1B, SPC25, NASP, ZNF367, PDS5B, CSE1L, H1FX, TACC3, TOP2A, OIP5, HIRIP3, ATAD5, E2F1, CTCF, NUSAP1, XRCC1, SUPT16H, RFC1, NFKBIA, NCAPG
ENSG00000101057	MYBL2 protein complex	ENSG00000114166	1.14e-12	<1.04E-5	CCNF, DNA2, CCNA2, DTL, PPM1G, EZH2, UHRF1, FANCI, CENPW, SPC25, ZNF367, GATAD2A, TACC3, TOP2A, OIP5, ATAD5, E2F1, NUSAP1, NUP155, NCAPG, CDCA2
GO:0051427	Hormone Receptor Binding	GO:0051427	1.17e-12	<1.04E-5	MYBPC3, PSMB3, DDX42, NIPBL, CTCF, CREBBP, ZEB2
GO:0030111	Regulation Of Wnt Receptor Signaling Pathway	-	1.22e-12	<1.04E-5	*, FBN2, AXIN2, SPRY2
ENSG00000147133	TAF1 protein complex	ENSG00000114166	1.28e-12	<1.04E-5	EDC4, HIST2H2BE, SSSCA1, CTCF, TRA2B
MP:0002633	Persistent Truncus Arteriosis	-	1.34e-12	<1.04E-5	BNC2, IGFBP4, WNT5A
MP:0000116	Abnormal Tooth Development	-	1.4e-12	<1.04E-5	PITX1, FGFR2, LPAR1, TWIST1, MATN3, DMP1, SERPINH1, COL11A1, FBN1, SIX1, IBSP, PRRX1, SIX4, OMD, TRPS1, ASPN
ENSG00000102054	RBBP7 protein complex	ENSG00000114166	1.42e-12	<1.04E-5	SENP3, SAMD9, POLR2A, HIST2H2BE, KDM1A
MP:0008525	Decreased Cranium Height	-	1.42e-12	<1.04E-5	FGFR2, TBX4, PTCH1, SMAD6, COL27A1, DMP1, ENPP2, IBSP, COL6A1
MP:0011087	Complete Neonatal Lethality	MP:0000107	1.44e-12	<1.04E-5	PITX1, FGFR2, NEO1, TBX15, PTCH1, TWIST1, FBN2, GLI2, IGF2, SERPINH1, IGFBP3, WNT5A, FBN1, FBLN2, SIX1, ISL1, ID4, INSM1, PRRX1
GO:0016202	Regulation Of Striated Muscle Tissue Development	GO:0048634	1.47e-12	<1.04E-5	*, MYH7B, ENSG00000088970, ADAMTS19
ENSG00000151090	THRB protein complex	-	1.5e-12	<1.04E-5	PSMB3, DDX42, NIPBL, CBX1, STAG1, CREBBP, AP3D1
KEGG_BASAL_CELL_CARCINOMA	 Basal Cell Carcinoma	KEGG_BASAL_CELL_CARCINOMA	1.5e-12	<1.04E-5	PTHLH, FGFR2, NEO1, PTCH1, SMAD6, FBN2, AXIN2, GLI2, ROR2, WNT5A, ENSG00000248890, VANGL2, LAMA5, WNT4, HHIP, PCSK5
GO:0071453	Cellular Response To Oxygen Levels	GO:0071453	1.51e-12	<1.04E-5	*, STC2, ENPP2, AFAP1
GO:0090100	Positive Regulation Of Transmembrane Receptor Protein Serine/Threonine Kinase Signaling Pathway	-	1.59e-12	<1.04E-5	*, SMAD7, SMAD6, IGF2
KEGG_CHRONIC_MYELOID_LEUKEMIA	 Chronic Myeloid Leukemia	KEGG_CHRONIC_MYELOID_LEUKEMIA	1.62e-12	<1.04E-5	CTDSP2, TP53, GATAD2A, DNM2, FRS2, ARIH1
MP:0000438	Abnormal Cranium Morphology	MP:0000097	1.71e-12	<1.04E-5	SNAI1, KCNK2, FGFR2, LOXL1, LPAR1, DMRTA2, TWIST1, FBN2, GLI2, GLIS1, DMP1, SALL1, WNT5A, SIX1, IBSP, ISL1, PRRX1, OMD, SCARA3, COL6A1, NFATC4
GO:0001707	Mesoderm Formation	GO:0048332	1.72e-12	<1.04E-5	*, TBX6, ZSCAN10, NFATC4
GO:0017147	Wnt-Protein Binding	ENSG00000125084	1.87e-12	<1.04E-5	FGFR2, SMOC2, LTBP1, IGFBP4, SFRP4, GLI2, MATN3, OGN, SERPINH1, COL11A1, FBN1, CRISPLD1, LOXL2, FBLN2, GLT8D2, KCNE4, SLIT3, PRRX1, OMD, PCSK5, ASPN, COL15A1
MP:0000109	Abnormal Parietal Bone Morphology	MP:0000097	1.96e-12	<1.04E-5	SNAI1, FGFR2, PTCH1, SMAD6, BMP2, DMP1, SERPINH1, ACAN, WNT5A, IBSP, RUNX2, PRRX1, OMD, NFATC4
MP:0001926	Female Infertility	-	2.32e-12	<1.04E-5	BNC2, CENPW, GH1, CSH2, TOP2A, NUSAP1, FSHB, GH2, CDCA2, ESR1
GO:0035257	Nuclear Hormone Receptor Binding	GO:0051427	2.39e-12	<1.04E-5	RARA, NIPBL, PDS5B, CTCF, RAF1, CREBBP
GO:0001843	Neural Tube Closure	-	2.59e-12	<1.04E-5	*, TMEM74, LIN28B, CREBBP
MP:0008271	Abnormal Bone Ossification	MP:0000097	2.6e-12	<1.04E-5	SNAI1, FGFR2, FAM101A, SMAD7, FAM46A, COL10A1, SMAD6, FBN2, IGF2, CHSY1, COL9A2, PCOLCE2, TGFB2, COL27A1, MATN3, DMP1, OGN, SERPINH1, WWP2, COL11A1, DAB2, ACAN, ENPP2, FBN1, CRISPLD1, GHR, LOXL2, SIX1, IBSP, PRRX1, OMD, COL6A1, TRPS1, ASPN
MP:0004686	Decreased Length Of Long Bones	GO:0001501	2.67e-12	<1.04E-5	COPZ2, FGFR2, SOX5, FAM101A, COL10A1, TWIST1, FBN2, SLC39A13, IHH, COL9A2, BMP2, COL24A1, COL27A1, MATN3, DMP1, OGN, WWP2, FNDC3B, NPR2, COL11A1, ACAN, SLC12A4, ENPP2, CYTL1, CRISPLD1, GHR, IBSP, OMD, SCARA3, COL6A1, TRPS1, ASPN
MP:0003641	Small Lung	-	2.74e-12	<1.04E-5	LOXL1, PTCH1, FBN2, GLI2, TGFB2, OGN, SERPINH1, HHIP, COL6A1, NFATC4
MP:0011090	Partial Perinatal Lethality	-	2.78e-12	<1.04E-5	SMAD6, IGF2, GRB10, IGFBP3, WNT5A, FBN1, FBLN2, SMAD3, COL6A1
MP:0000929	Open Neural Tube	-	2.81e-12	<1.04E-5	RREB1, TWIST1, GLTSCR1, SALL1, WNT5A, ZSCAN10, CREBBP, ID4
MP:0006042	Increased Apoptosis	ENSG00000114166	2.87e-12	<1.04E-5	PAN2, CCNF, CCNA2, DTL, EZH2, UHRF1, FANCI, RTF1, LAMC1, CENPW, NUP153, SPC25, TACC3, TOP2A, OIP5, ATAD5, CTCF, NUSAP1, CREBBP, NCAPG, CDCA2
GO:0042733	Embryonic Digit Morphogenesis	GO:0048736	3.24e-12	<1.04E-5	NFATC4
MP:0003232	Abnormal Forebrain Development	-	3.33e-12	<1.04E-5	FGFR2, SMAD7, GLI2, COL9A2, WWP2, PTPN12
MP:0003446	Renal Hypoplasia	MP:0003446	3.42e-12	<1.04E-5	LTBP1, IGFBP4, SMAD6, FBN2, IGF2, ROR2, IGF2-AS, SALL1, HMGA2, MOXD1, ISL1, SIX4, THSD4, NFATC4
ENSG00000033800	PIAS1 protein complex	-	3.42e-12	<1.04E-5	SMAD7, NFKBIA
GO:0001841	Neural Tube Formation	-	3.43e-12	<1.04E-5	*, ZSCAN10, WDR19, RNPS1
GO:0060606	Tube Closure	-	3.5e-12	<1.04E-5	*, TMEM74, WDR19, NFATC4
MP:0011086	Partial Postnatal Lethality	-	3.8e-12	<1.04E-5	NHLH1, HOXB6, LAMC1, TWIST1, GLI2, IGF2, ATP2B1, HOXB3, SERPINH1, SPRY4, MED13L, IGFBP3, FBN1, HMGA2, LAMA5, HOXB5, ZMIZ1, COL6A1
ENSG00000141644	MBD1 protein complex	-	4.07e-12	<1.04E-5	SMAD6, SF3B4, PI4KB
GO:0009968	Negative Regulation Of Signal Transduction	-	4.13e-12	<1.04E-5	*, SPRY4, FBLN2, SPRY2
GO:0048701	Embryonic Cranial Skeleton Morphogenesis	-	4.33e-12	<1.04E-5	TBX18, PAX9, SIX1, SIX4
GO:0060828	Regulation Of Canonical Wnt Receptor Signaling Pathway	-	4.8e-12	<1.04E-5	*, PTHLH, PTCH1, OMD
