gene	Control_#1_B_cell	Control_#2_B_cell	Control_#3_B_cell	SARS_CoV2_pos_Mild_B_cell	SARS_CoV2_pos_Severe_#1_B_cell	SARS_CoV2_pos_Severe_#2_B_cell	SARS_CoV2_pos_Severe_#3_B_cell	Control_#1_T_cell	Control_#2_T_cell	Control_#3_T_cell	SARS_CoV2_pos_Mild_T_cell	SARS_CoV2_pos_Severe_#1_T_cell	SARS_CoV2_pos_Severe_#2_T_cell	SARS_CoV2_pos_Severe_#3_T_cell	Control_#3_erythroid_lineage_cell	SARS_CoV2_pos_Mild_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#1_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#2_erythroid_lineage_cell	Control_#1_monocyte	Control_#2_monocyte	Control_#3_monocyte	SARS_CoV2_pos_Mild_monocyte	SARS_CoV2_pos_Severe_#1_monocyte	SARS_CoV2_pos_Severe_#2_monocyte	Control_#1_neutrophil	Control_#2_neutrophil	Control_#3_neutrophil	SARS_CoV2_pos_Mild_neutrophil	SARS_CoV2_pos_Severe_#1_neutrophil	SARS_CoV2_pos_Severe_#2_neutrophil	Control_#1_platelet	Control_#3_platelet	SARS_CoV2_pos_Severe_#1_platelet	SARS_CoV2_pos_Severe_#2_platelet
CAPZB	6	33	17	88	87	141	17	396	480	299	1264	820	807	141	3	0	3	15	253	186	223	367	383	457	3	4	28	7	25	162	15	12	68	204
CARD16	2	8	8	30	21	40	5	134	159	91	421	303	315	41	0	0	0	3	232	175	169	400	290	432	0	4	20	37	11	194	1	1	4	48
CARD8	4	2	7	16	24	44	4	100	128	80	420	188	172	36	0	0	1	5	38	37	23	67	75	45	1	1	7	3	4	33	6	1	2	18
CARHSP1	5	7	8	33	39	30	11	111	121	85	391	303	231	47	1	7	6	33	37	32	28	55	75	67	1	0	1	1	7	22	0	1	0	20
CASP4	4	14	9	58	51	56	7	160	159	119	467	370	280	40	0	1	0	1	130	86	100	200	142	138	3	9	49	28	18	88	4	0	13	45
CAST	18	31	32	128	129	357	23	469	740	458	1165	889	990	153	1	0	1	19	415	419	345	562	556	669	0	5	16	4	17	186	0	1	1	7
CBL	2	7	6	29	30	21	5	43	62	41	221	71	87	11	0	0	0	0	29	42	36	68	83	82	0	0	6	3	8	44	0	1	5	30
CBX3	15	13	10	60	75	101	9	249	255	198	920	639	555	91	1	1	1	24	118	88	83	202	195	209	0	1	9	5	10	71	3	0	7	26
CCDC157	2	8	10	25	55	40	7	150	145	84	348	207	152	22	0	0	1	4	58	39	42	108	124	41	1	5	7	7	19	26	0	1	1	0
CCDC186	3	3	7	53	43	80	5	186	176	129	421	291	296	34	1	0	7	25	62	35	37	73	91	130	1	1	6	7	9	79	0	0	0	5
CCDC30	3	5	14	38	50	45	11	213	177	125	421	252	178	37	0	0	0	3	72	54	54	68	95	47	1	0	6	5	13	28	1	0	2	0
CCDC57	23	38	47	155	219	178	42	798	747	534	1723	1265	935	173	2	0	2	18	250	245	195	313	412	207	5	9	23	12	49	98	1	3	14	15
CCDC82	9	8	8	46	60	83	5	186	167	117	431	261	198	20	0	0	0	4	42	26	38	73	65	66	0	1	14	5	10	58	0	0	2	10
CCL5	29	42	33	259	245	154	85	1599	2685	1442	5245	3941	2300	419	1	2	2	12	228	170	143	445	487	177	3	3	18	11	45	47	61	124	185	253
CCL5-1	29	42	33	259	245	154	85	1583	2607	1442	5232	3862	2300	419	1	2	2	12	228	170	143	445	487	177	3	3	18	11	45	47	61	124	185	253
CCM2	8	18	19	56	52	67	8	272	226	203	602	367	276	46	1	0	1	3	77	58	60	97	121	101	0	1	7	0	7	35	1	1	5	16
CCND3	3	6	8	49	53	47	4	266	336	208	972	357	514	91	0	1	1	7	80	55	63	108	109	152	0	0	2	5	6	25	21	10	58	217
CCNDBP1	7	19	6	66	58	85	8	145	163	156	573	351	306	43	45	40	170	566	65	65	66	108	106	98	2	3	20	10	25	74	3	0	8	32
CCNI	39	63	82	270	331	558	48	975	966	664	2448	1575	1900	218	11	33	154	318	414	381	410	675	607	637	6	16	36	26	59	181	6	2	13	86
CCNL1	43	74	70	166	328	523	36	1162	983	691	1891	1868	2170	179	1	2	6	37	521	348	310	692	798	514	27	13	99	29	128	467	0	3	0	11
CCNY	2	12	4	21	34	34	1	100	103	79	190	136	162	18	0	0	1	3	104	93	75	160	133	89	0	4	16	6	6	47	5	3	14	45
CCPG1	1	5	5	25	27	30	1	75	75	55	229	139	95	15	0	0	2	14	58	51	54	87	122	129	6	6	23	9	15	101	6	7	29	108
CD164	9	20	31	65	91	147	12	251	239	176	700	453	546	64	0	0	10	23	160	132	139	293	284	273	0	2	9	0	16	52	1	3	9	22
CD37	107	232	259	986	1015	1248	154	539	592	437	1742	948	1205	139	0	0	3	16	304	291	275	605	503	635	6	11	21	19	32	265	0	0	7	25
CD46	9	9	11	55	34	55	10	224	241	163	713	338	338	44	0	0	2	9	145	118	97	202	221	202	13	17	41	33	66	299	1	7	3	30
CD47	12	28	17	78	107	103	12	294	299	192	789	602	510	88	1	0	1	14	82	75	70	120	148	223	0	0	2	3	4	41	11	4	23	70
CD55	19	34	23	96	114	176	15	341	294	202	675	322	447	30	6	5	18	125	390	198	348	191	535	559	18	19	119	25	91	502	1	3	6	33
CD63	2	10	9	40	55	86	10	223	307	190	686	422	590	74	0	0	1	8	434	250	317	680	952	1292	1	0	29	10	20	283	10	15	65	261
CD74	426	806	736	2826	3503	4514	617	724	613	464	1313	1583	873	91	1	2	6	9	2124	2018	1692	4516	1889	1426	2	8	7	10	20	39	0	2	3	5
CD82	47	79	92	274	335	300	35	955	896	691	1937	1279	905	134	0	3	6	15	408	254	258	451	519	315	16	4	69	25	115	307	1	2	9	16
CDC37	2	14	3	49	64	63	9	181	194	141	514	358	426	57	0	0	5	7	98	62	63	109	103	104	2	1	1	0	2	16	4	4	19	43
CDC42	43	92	58	285	400	678	65	1612	1506	987	3367	2572	2459	341	8	4	18	99	749	531	495	997	1104	1137	14	12	31	33	72	314	9	1	30	59
CDC42SE1	10	18	9	78	72	91	17	239	281	173	859	410	327	76	0	1	0	7	50	56	62	175	154	103	3	5	30	13	27	154	0	1	4	16
CDC42SE2	9	31	20	84	132	180	23	770	686	530	1407	1168	1060	154	1	2	0	9	119	101	90	126	159	118	1	6	24	8	69	184	4	5	21	42
CDKL5	8	9	8	16	22	16	8	171	148	91	268	165	94	24	1	0	4	10	283	252	148	189	239	102	6	7	32	17	24	127	0	1	0	5
CDKN1B	5	14	21	52	66	111	16	347	312	268	860	496	598	67	0	0	25	83	45	34	50	73	63	86	0	0	8	0	7	67	1	0	0	7
CDKN2D	8	14	12	51	43	79	4	294	226	204	451	300	634	83	18	21	55	134	217	133	197	215	288	435	4	4	72	20	42	295	31	39	132	411
CDS2	6	7	17	25	52	115	10	126	127	111	300	257	209	25	0	0	1	3	62	76	47	68	103	77	1	3	15	11	33	69	1	0	7	17
CDV3	12	19	17	65	165	229	11	309	322	248	771	620	720	80	2	2	14	40	223	185	167	315	393	475	0	5	15	4	25	105	0	2	7	20
CEACAM22P	18	15	21	74	69	97	16	340	325	213	618	569	348	59	0	0	1	11	107	103	77	177	181	92	5	3	18	15	45	81	0	0	3	9
CELF2	16	39	27	133	154	142	14	642	869	577	1777	924	957	133	0	4	0	8	226	200	172	359	378	228	6	5	48	23	46	263	0	2	9	33
CERCAM	18	34	30	82	104	89	27	436	389	298	850	532	398	56	0	0	1	11	212	139	142	225	269	135	13	6	35	14	45	109	1	7	3	5
CERT1	6	13	4	28	32	49	10	94	79	73	240	144	121	16	0	0	0	4	100	97	80	163	192	129	1	3	7	1	9	58	0	0	1	18
CFL1	30	66	57	277	343	479	76	1352	1716	1013	4529	3348	3574	504	1	4	4	26	900	625	706	1364	1449	1722	4	15	45	18	53	449	25	28	171	565
CFLAR	19	33	19	120	163	210	25	554	633	494	1568	1165	939	139	1	0	0	19	279	172	174	361	416	242	16	10	80	30	85	593	4	3	17	76
CGGBP1	2	8	8	38	44	55	9	163	154	105	351	256	251	39	1	3	10	36	60	47	56	81	77	81	1	0	4	3	6	38	2	2	8	26
CHCHD2	17	41	47	182	234	356	42	828	759	653	2075	1714	2162	283	7	4	65	126	307	252	335	509	519	601	1	2	5	9	11	81	2	3	12	91
CHD1	14	24	16	81	167	188	14	501	505	341	747	713	599	37	1	1	1	13	286	251	224	304	246	281	8	10	64	19	52	240	0	0	0	5
CHD2	27	42	32	150	177	229	21	547	509	333	1095	758	790	73	0	0	20	75	138	114	99	143	219	213	8	10	27	10	41	173	0	0	1	4
CHD4	13	24	11	53	92	86	17	167	244	124	418	258	223	32	0	0	1	4	50	58	37	130	101	52	6	6	25	6	31	87	1	4	4	10
CHD9	6	16	8	46	81	85	8	109	117	61	251	134	168	29	2	0	2	24	66	59	57	83	117	99	1	0	2	1	2	11	4	1	25	72
CHFR	13	17	16	38	82	97	15	334	274	193	596	439	276	58	0	0	3	4	124	81	88	150	146	102	1	1	17	3	27	123	0	0	0	13
CHMP1B	4	12	10	34	72	78	6	189	163	115	318	209	261	18	1	1	0	26	88	72	74	146	136	134	2	4	7	15	16	59	1	0	3	10
CHMP2A	2	8	8	34	39	67	9	153	156	103	472	340	348	56	1	3	21	63	124	73	122	215	149	224	1	4	23	13	25	173	3	0	8	47
CHMP2B	6	17	9	35	50	78	4	89	101	67	254	179	223	16	0	0	0	8	82	52	79	100	128	124	0	2	14	13	21	89	1	0	0	6
CHMP4B	4	9	7	43	45	56	8	126	130	100	280	228	227	30	2	1	16	50	171	131	103	173	204	217	0	1	11	3	8	102	1	2	3	11
CHMP5	2	4	4	26	15	26	3	47	69	48	224	87	147	23	3	1	8	45	23	13	26	76	75	59	1	0	5	4	4	31	0	2	3	25
CHST12	129	175	180	777	808	594	140	2212	2315	1777	6411	3831	2615	646	5	4	12	35	586	433	454	854	1212	601	11	16	73	49	143	384	1	3	6	17
CHURC1	12	12	17	78	93	93	6	335	288	230	1018	600	637	89	0	0	5	35	95	62	94	145	147	161	1	1	18	6	8	82	1	4	7	19
CIR1	13	20	19	71	115	136	13	335	343	226	529	581	586	39	3	2	13	57	97	80	70	148	180	132	7	11	41	22	60	197	0	0	0	12
CIRBP	37	62	75	183	286	380	47	834	848	655	1668	1230	1391	159	0	1	5	15	130	121	163	201	189	251	1	0	9	2	4	32	4	3	13	48
CKLF	2	4	5	20	24	23	3	146	184	158	470	295	376	58	0	0	0	2	135	100	105	217	213	240	4	1	17	11	17	297	0	0	3	9
CLEC2B	12	15	9	28	45	59	5	496	409	374	835	828	1047	88	0	0	4	19	131	123	114	201	223	232	4	5	36	37	27	398	0	0	0	5
CLINT1	5	9	12	40	63	84	3	140	124	122	368	253	275	37	0	0	2	8	85	51	62	123	122	122	0	1	3	1	4	17	7	0	8	35
CLIP1	9	25	18	102	134	120	23	386	281	262	1028	628	405	101	1	0	1	7	178	128	143	317	342	232	1	1	18	2	43	118	4	0	8	23
CLK1	21	19	15	48	88	132	8	382	311	186	489	483	488	45	0	0	5	25	120	77	66	104	120	99	2	4	9	3	21	45	0	0	2	6
CLTA	2	2	5	40	37	39	5	102	117	84	444	394	295	41	0	1	1	5	113	93	96	213	207	193	0	0	2	3	7	25	2	3	12	33
CLTC	1	2	7	20	23	36	0	78	71	60	209	192	175	22	0	0	10	48	101	78	60	156	168	130	1	2	7	10	17	77	1	3	4	14
CMBL	6	16	19	53	63	67	4	308	304	188	612	426	247	32	0	2	3	28	129	120	81	134	150	90	8	6	21	9	41	85	2	0	1	2
CMC2	2	3	6	38	44	48	8	174	203	133	438	520	325	22	0	0	4	12	47	63	36	97	90	72	2	0	3	2	9	12	3	2	3	31
CMIP	5	5	6	15	29	44	3	89	126	74	178	106	106	11	0	0	2	2	110	89	81	166	139	72	2	1	12	4	4	44	14	8	46	109
CMTM6	9	25	17	74	95	158	9	126	142	101	299	289	429	38	1	0	0	3	251	201	176	372	335	435	6	10	58	19	57	239	4	10	38	127
CNBP	6	27	25	135	89	180	30	530	511	417	1477	816	993	164	1	4	28	75	264	181	234	384	326	363	3	3	27	15	59	251	0	0	4	10
CNN2	7	17	7	72	50	71	15	244	299	156	714	675	514	106	1	0	1	2	84	61	93	140	171	137	0	8	32	11	38	170	0	2	8	49
CNPY3	6	9	16	51	55	80	10	95	88	74	232	163	183	26	1	0	1	2	172	128	116	261	238	247	0	2	11	5	16	55	1	5	4	18
COA1	4	9	8	53	53	42	7	204	185	114	485	330	243	31	0	0	0	0	44	32	26	54	71	62	1	1	4	2	17	21	1	0	0	0
COMMD6	24	58	67	281	274	416	61	848	1052	774	2805	1437	1805	252	0	2	0	24	250	199	301	467	342	365	0	4	4	5	6	47	0	0	4	8
COPA	13	39	29	62	142	189	13	486	474	351	815	785	729	71	2	1	3	36	171	155	99	236	211	182	8	2	12	11	24	111	1	0	7	6
COPE	4	7	16	50	69	84	23	190	220	218	657	526	591	115	0	4	17	36	154	91	134	206	244	254	0	5	5	5	5	36	7	3	7	31
COPS2	6	12	10	22	41	81	5	135	126	110	288	257	326	23	3	1	12	26	44	43	28	73	75	101	0	1	5	2	3	10	1	0	4	11
COQ10B	5	7	4	26	27	40	4	137	142	87	229	250	258	22	0	1	3	9	69	58	51	80	77	91	0	4	5	5	17	88	1	0	2	5
CORO1A	10	44	35	220	141	213	50	550	672	491	2664	1732	1474	352	1	0	2	5	361	302	373	667	456	668	2	5	27	16	15	123	0	0	3	13
COTL1	21	34	34	77	109	171	36	296	346	232	915	1612	793	104	1	1	2	16	1137	755	1092	1494	1678	1888	11	17	69	22	97	414	16	19	56	235
COX17	14	13	10	54	74	119	7	151	151	100	401	310	277	33	0	1	18	31	75	53	63	119	124	142	0	0	2	2	4	35	2	0	9	36
COX4I1	51	86	100	304	484	687	69	1304	1280	990	3399	2364	3010	337	3	0	6	43	634	521	533	963	807	935	1	2	9	3	11	85	3	5	20	64
COX5B	16	20	25	129	128	201	38	457	468	396	1299	943	1250	152	0	0	19	52	242	219	222	420	400	631	3	1	15	7	13	133	0	1	6	28
COX6A1	7	27	19	99	148	202	16	344	390	282	1083	873	1109	121	1	3	23	69	195	166	155	294	330	401	2	1	10	5	10	83	0	1	13	72
COX6B1	22	28	23	126	108	179	36	442	486	424	1446	877	1352	195	3	3	58	206	256	229	267	453	417	556	1	2	17	7	13	150	6	6	31	120
COX7A2	17	39	35	109	168	260	33	589	592	475	1467	1180	1480	199	3	1	33	91	220	161	232	317	313	445	1	6	5	5	6	92	2	1	6	59
COX7B	10	14	27	72	91	156	19	375	378	268	983	813	1005	122	1	2	54	265	257	202	222	380	315	453	0	2	11	5	8	94	2	2	10	30
COX7C	48	91	96	359	420	641	71	1574	1435	1156	4343	2548	3425	454	3	6	51	206	483	417	482	724	647	815	0	0	2	1	1	13	1	2	8	37
COX8A	7	14	13	71	102	141	14	375	406	327	1010	916	1137	117	1	1	2	19	239	190	235	423	413	550	0	0	6	3	8	85	3	3	7	53
CPEB4	4	5	7	13	33	41	0	63	80	66	151	70	113	9	1	1	114	499	87	71	74	160	216	178	4	3	28	17	91	221	1	1	13	45
CPT1A	12	22	20	75	67	73	28	221	197	134	754	499	309	98	0	1	13	10	72	57	55	162	194	98	4	1	13	4	7	27	1	0	1	10
CRBN	5	8	10	44	46	57	6	266	235	162	627	369	428	67	0	0	2	17	79	39	35	89	92	84	0	0	1	4	3	18	2	4	15	67
CREB1	4	5	13	40	43	48	6	73	80	69	270	127	116	19	0	0	5	19	32	25	23	72	49	22	4	0	5	6	6	36	1	0	2	5
CREBRF	20	40	26	77	145	167	14	411	430	329	842	569	624	84	0	0	10	41	118	128	93	131	200	170	3	8	40	9	78	288	2	0	3	29
CSDE1	20	34	32	110	159	263	28	582	556	363	1228	832	965	95	9	12	59	184	355	264	218	426	458	371	2	1	24	4	32	102	4	3	15	51
CSK	8	10	15	59	61	59	22	91	103	69	385	266	194	35	0	1	0	1	123	87	97	173	171	213	0	1	9	1	9	33	1	0	11	10
CSNK1A1	9	15	18	79	77	123	5	320	312	228	879	618	557	84	1	3	20	60	226	185	171	309	336	326	6	7	29	3	33	138	7	1	13	38
CSNK1D	10	16	12	31	78	85	7	168	193	99	299	293	271	18	0	0	3	6	88	77	77	116	97	124	9	4	25	6	40	117	0	0	1	6
CSNK1G2	3	8	5	33	41	65	8	154	159	105	365	190	189	25	0	0	0	2	54	36	38	90	69	87	1	1	5	1	9	36	0	0	2	9
CSNK2A1	15	31	44	119	163	152	36	497	501	389	1268	842	644	110	0	0	8	33	182	149	133	265	312	178	4	5	16	7	27	74	0	1	0	7
CTBS	3	6	5	12	24	31	3	68	75	51	205	129	180	10	0	0	0	5	61	67	49	98	108	108	4	1	16	15	20	87	1	0	1	4
CTCF	6	7	13	35	26	36	9	148	133	107	477	287	251	46	0	0	2	4	43	26	30	67	59	60	0	2	2	4	5	23	1	1	1	4
CTDSP1	2	9	8	35	15	29	6	89	116	86	335	170	140	20	0	0	2	0	99	64	60	133	137	97	0	0	0	3	4	10	1	3	13	15
CTDSP2	3	7	4	24	8	12	2	73	66	45	198	91	92	16	1	3	12	4	58	32	30	66	103	40	1	1	6	3	7	18	1	1	4	19
CTSC	1	3	2	12	15	40	3	174	227	195	651	611	499	71	0	0	0	0	186	128	288	264	365	475	1	1	8	2	5	80	0	1	3	25
CTSS	29	33	48	191	227	255	34	242	223	188	666	422	428	78	2	1	4	10	2797	2118	2043	4362	4041	3518	8	46	135	71	136	625	0	0	0	6
CTSZ	12	13	22	97	90	122	17	57	51	32	122	95	134	14	0	3	6	19	330	233	296	474	510	606	2	1	8	1	11	71	0	0	6	80
CUL3	11	19	10	57	97	136	4	138	176	116	404	288	300	28	1	2	5	18	76	41	40	87	114	101	3	1	8	6	15	45	0	1	0	16
CUL4B	12	16	22	71	96	89	14	271	303	168	697	388	291	55	0	0	1	10	94	84	54	135	136	83	3	3	6	2	18	57	1	0	0	6
CUX1	4	6	6	18	27	38	2	75	80	53	231	100	156	16	1	0	0	8	134	135	126	204	231	185	3	0	11	5	8	57	2	1	13	26
CXCR4	71	141	75	250	409	608	29	1841	1675	1541	2907	3006	3456	108	0	4	5	26	414	311	204	378	421	279	15	25	87	51	206	814	0	1	1	10
CYB561A3	29	61	63	247	292	277	57	696	632	460	1429	980	664	106	0	1	3	13	285	226	174	281	353	214	6	1	42	14	54	182	0	2	1	5
CYB5R3	9	7	7	39	33	40	10	97	99	62	216	221	118	17	4	10	17	51	42	47	52	73	97	65	0	2	1	1	1	19	6	7	45	82
CYB5R4	7	16	11	54	60	52	6	169	171	123	444	236	209	28	0	0	3	5	105	96	98	167	193	117	6	5	29	13	33	122	1	1	0	9
CYBA	68	105	64	426	511	736	85	1078	1195	712	2751	1971	2458	320	2	0	3	25	1264	932	945	1819	1865	2385	5	13	47	41	57	682	0	0	2	18
CYBC1	4	9	12	38	50	41	17	89	103	79	384	153	148	26	0	0	0	2	42	32	54	86	49	68	0	2	6	3	6	26	0	1	3	7
CYLD	19	33	24	67	176	237	22	599	571	398	1135	730	976	118	0	0	9	23	182	138	129	139	167	175	5	9	37	19	59	206	0	0	0	6
CYP20A1	6	20	12	68	90	99	15	267	282	177	742	397	361	54	0	0	1	3	122	100	87	157	206	125	6	2	12	3	28	74	0	1	1	1
CYRIB	11	20	15	66	77	124	13	273	322	162	839	607	477	85	1	0	3	4	259	190	172	350	390	357	8	21	66	33	77	325	0	1	1	7
CYTH2	20	27	29	116	138	138	33	535	491	386	1363	858	503	121	2	0	3	22	222	163	138	266	252	173	1	1	19	10	42	80	0	0	7	29
DAD1	5	10	13	45	32	67	9	222	298	242	836	415	601	114	1	0	9	57	104	77	69	150	127	165	1	1	3	6	4	37	4	3	19	94
DAPP1	4	26	20	86	118	109	18	62	70	50	260	160	112	35	0	0	0	4	77	84	97	181	163	71	3	2	12	4	12	65	21	18	70	158
DAZAP2	21	19	33	130	186	283	21	526	407	384	1075	784	883	101	1	3	12	42	380	246	258	509	559	467	9	16	47	25	102	283	2	4	7	35
DBI	12	43	12	69	112	167	28	312	323	242	832	720	829	89	0	0	1	3	214	152	157	272	332	433	0	1	3	2	5	51	0	0	4	6
DBNL	9	25	15	53	91	71	12	117	129	86	344	250	297	47	0	0	0	4	87	77	70	140	115	134	1	3	3	3	10	30	6	2	29	65
DCAKD	8	12	24	53	59	61	10	267	252	158	406	318	216	35	0	0	0	3	82	50	51	92	111	66	0	3	16	6	21	46	0	1	1	7
DCP2	6	5	12	36	29	56	3	133	109	55	368	266	216	31	0	2	7	37	94	63	70	116	141	120	0	2	9	13	12	82	0	2	1	19
DCUN1D1	2	7	6	23	25	31	3	61	70	34	138	127	112	11	13	18	58	157	22	23	22	63	75	47	0	1	3	1	6	21	0	0	3	22
DCUN1D2	38	66	48	213	237	192	33	850	812	606	1789	1249	775	147	2	1	11	12	369	273	243	380	501	212	7	11	34	23	46	146	0	1	0	1
DDX17	45	55	79	271	283	316	35	853	694	632	2349	1041	961	171	2	2	12	61	304	204	187	432	314	252	7	5	38	23	38	200	2	0	7	24
DDX21	36	72	34	118	385	709	48	662	405	378	1061	1236	1435	145	1	1	2	22	351	308	327	516	531	429	18	10	50	13	56	92	0	1	0	1
DDX3X	31	55	61	132	178	438	32	889	965	654	1646	678	1122	120	10	5	40	123	290	255	239	384	333	363	16	15	57	28	45	307	0	0	14	39
DDX5	82	166	135	419	857	1154	101	2371	2271	1564	4490	3233	3293	509	2	1	16	63	864	695	652	1070	1218	1031	7	16	69	28	96	385	0	0	4	14
DDX6	22	37	29	111	164	156	24	597	497	405	1227	904	803	130	2	3	17	55	116	76	109	137	161	127	2	1	11	6	27	64	0	2	6	10
DEK	8	14	17	73	76	126	18	368	407	282	1078	901	1002	84	0	0	2	19	211	168	171	293	329	306	1	2	11	4	4	104	4	1	13	14
DESI1	5	11	8	40	49	54	17	145	116	100	377	284	197	40	0	1	11	24	74	62	49	109	118	89	3	4	1	2	8	18	0	0	3	12
DGKH	7	3	7	41	33	19	13	144	162	98	535	291	186	89	0	1	1	6	34	46	34	97	81	26	0	0	7	6	5	15	1	0	2	13
DGKZ	2	3	4	17	18	19	1	220	203	154	598	312	274	43	0	0	0	6	66	49	47	110	89	47	0	1	6	2	11	45	2	1	6	8
DHRS7	3	4	3	32	22	46	7	157	201	133	496	310	299	48	0	0	0	2	64	63	86	163	147	137	1	2	30	9	26	149	0	0	8	16
DIAPH1	1	13	6	24	21	54	6	221	262	172	601	376	284	52	0	0	1	4	191	129	136	240	178	166	1	0	5	2	8	34	10	11	23	69
DNAJA1	50	40	41	82	134	195	6	598	765	365	675	493	573	31	13	10	26	437	121	87	63	180	166	196	6	3	26	13	25	114	0	0	0	14
DNAJB1	109	55	79	142	305	311	19	1743	1746	876	1682	1410	1156	137	1	2	6	56	197	169	127	251	317	258	1	0	23	12	52	95	2	2	0	10
DNAJB6	9	17	11	51	84	97	10	445	528	309	660	879	821	56	0	2	15	43	132	103	102	157	218	212	1	3	24	16	37	160	17	6	63	148
DNAJC21	10	26	25	127	138	233	44	296	319	244	1155	797	766	131	0	1	4	25	100	109	105	225	172	306	2	2	3	4	14	81	0	0	0	22
DNAJC7	19	31	23	119	180	156	27	423	388	269	992	692	679	102	0	0	0	13	233	186	202	314	348	308	1	1	5	1	12	47	0	1	0	15
DNM1	6	3	8	19	33	25	5	71	86	69	232	141	86	13	0	0	0	1	36	30	23	54	58	23	1	2	8	2	8	26	0	1	3	3
DNM2	3	6	7	31	40	35	7	123	127	126	363	319	222	45	0	3	2	9	76	66	50	111	120	76	2	2	2	6	8	39	0	1	2	5
DR1	4	12	7	36	47	44	11	155	158	143	314	288	294	31	0	1	9	49	76	57	63	98	115	86	0	1	9	4	3	35	1	1	5	34
DRAP1	7	13	9	47	58	75	8	292	285	212	813	501	621	72	1	4	14	46	137	116	125	248	187	344	0	0	5	4	5	23	0	3	11	32
DSG3	21	28	25	117	183	164	29	439	426	333	1133	664	499	92	1	0	2	9	146	133	110	229	242	148	7	4	23	12	39	73	0	0	0	6
DUSP1	41	49	43	155	146	416	28	1789	2891	1229	2458	1862	2111	84	7	2	3	32	836	532	754	1778	1811	1252	54	158	351	232	421	1199	0	4	0	7
DYNLL1	6	11	15	69	27	40	17	142	143	135	613	273	269	42	8	30	58	394	89	53	61	285	133	146	0	0	2	0	2	13	37	30	82	243
DYNLL2	1	10	4	12	12	41	7	122	172	110	226	198	247	24	1	0	7	15	29	36	27	66	57	62	1	1	1	1	7	24	3	5	13	35
DYNLRB1	2	5	9	42	31	80	10	178	201	169	588	366	464	53	1	3	19	63	44	55	57	111	87	137	0	0	3	1	5	32	2	6	31	137
DYNLT3	5	3	3	20	25	51	6	80	79	44	182	101	174	16	0	0	0	1	18	17	13	26	32	37	1	2	4	0	7	15	2	5	6	47
DYRK1A	5	9	5	38	47	62	5	149	152	115	297	234	201	24	0	1	9	27	70	68	44	82	99	83	1	2	12	5	17	80	0	2	3	11
E2F3P2	8	9	11	46	47	48	11	136	117	91	388	195	145	49	0	1	2	1	43	26	17	79	71	25	1	2	5	2	8	18	1	1	0	0
EEF1A1	581	974	1230	4454	5459	7563	926	18634	17785	13312	49641	27567	33637	4801	17	10	60	502	5411	4571	5421	7790	7065	6161	2	6	34	12	34	148	0	8	14	63
EEF2	50	85	109	336	446	690	67	1192	1105	895	2974	1965	2138	282	5	4	52	94	498	388	448	632	653	476	0	1	1	0	5	14	2	0	2	13
EHBP1L1	4	7	9	12	34	39	4	59	43	45	140	94	105	18	1	1	9	30	103	99	110	157	203	170	1	2	15	3	8	60	0	0	0	8
EHD1	0	5	3	23	17	17	10	85	116	87	236	131	133	25	0	0	2	8	56	61	72	77	215	190	13	5	17	4	24	150	9	3	11	29
EIF1	207	455	295	867	1908	3244	170	6242	6105	4374	9236	8886	10391	771	38	121	236	1077	2619	1935	2391	2829	3199	3878	11	37	170	85	179	826	32	25	154	640
EIF1B	20	38	28	103	239	326	15	256	193	160	507	448	463	31	24	66	209	710	115	70	104	148	161	201	0	4	11	6	8	70	3	4	19	68
EIF2AK1	3	1	4	31	31	44	4	97	96	68	222	195	176	23	13	33	190	551	30	22	30	52	65	41	0	0	0	0	3	9	20	17	55	203
EIF3I	6	14	32	68	103	122	25	268	274	221	781	534	683	93	0	1	2	8	126	103	100	197	173	182	1	1	10	9	14	47	0	1	0	4
EIF4A1	27	40	25	118	128	297	40	713	860	537	1498	1203	1754	182	0	0	1	7	880	666	673	1227	1086	1098	0	1	14	9	19	40	0	0	2	6
EIF4A2	19	58	38	230	233	349	29	746	864	512	1780	997	1307	127	0	0	5	46	127	107	107	194	170	185	1	1	7	3	8	38	3	1	5	45
EIF4B	24	30	35	151	175	249	28	689	665	452	1609	946	1148	143	0	0	6	20	231	203	215	313	336	218	1	3	8	3	9	38	0	0	1	10
EIF4EBP2	1	3	6	20	15	20	4	97	109	72	221	141	148	27	0	0	6	21	78	59	49	111	97	99	0	3	8	3	8	34	1	0	3	9
EIF4G2	18	30	33	100	150	203	21	420	521	299	909	747	781	82	1	0	8	48	315	250	207	353	426	433	2	1	24	5	29	149	6	12	26	131
EIF4G3	7	6	7	21	49	53	6	67	69	39	142	113	127	11	0	0	0	2	55	30	22	75	80	59	0	1	6	3	11	29	2	3	11	39
EIF4H	5	10	16	48	84	102	12	219	205	135	446	415	431	56	0	0	0	10	130	85	92	134	169	129	0	0	1	1	9	23	1	1	2	11
EIF5	33	44	44	94	227	322	23	525	507	381	787	661	925	68	7	4	47	380	241	221	179	334	310	410	12	5	27	13	32	150	2	0	13	73
EIF5A	10	22	28	113	122	328	54	587	369	384	1119	742	1329	157	7	8	45	154	172	79	129	230	172	322	0	0	4	1	9	32	1	1	9	37
