"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","GCF_002008305_4","GCF_003691675_1","GCF_005280335_1","GCF_020097155_1"
"dnaE","","DNA polymerase III subunit alpha","2","2","1","1","2760","1","2022","","3698","3698","3698","MICKBS0714_01045","MICSA211_00758","",""
"thrS","","Threonine--tRNA ligase","2","2","1","1","2761","1","2023","","2018","2018","2018","MICKBS0714_01046","MICSA211_00759","",""
"group_1625","","AP-4-A phosphorylase","2","2","1","1","2762","1","2024","","680","680","680","MICKBS0714_01047","MICSA211_00760","",""
"ybaK","","Cys-tRNA(Pro)/Cys-tRNA(Cys) deacylase YbaK","2","2","1","1","2764","1","2026","","518","518","518","MICKBS0714_01049","MICSA211_00762","",""
"group_1627","","putative SufE-like protein","2","2","1","1","2765","1","2027","","458","458","458","MICKBS0714_01050","MICSA211_00763","",""
"sseA","","Putative thiosulfate sulfurtransferase SseA","2","2","1","1","2766","1","2028","","893","893","893","MICKBS0714_01051","MICSA211_00764","",""
"zapE","","Cell division protein ZapE","2","2","1","1","2767","1","2032","","1055","1055","1055","MICKBS0714_01052","MICSA211_00765","",""
"def_2","","Peptide deformylase","2","2","1","1","2781","1","2034","","584","584","584","MICKBS0714_01058","MICSA211_00777","",""
"group_1631","","Putative methyltransferase","2","2","1","1","2779","1","2036","","1631","1631","1631","MICKBS0714_01060","MICSA211_00779","",""
"rpe","","Ribulose-phosphate 3-epimerase","2","2","1","1","2778","1","2037","","671","671","671","MICKBS0714_01061","MICSA211_00780","",""
"ribM","","Riboflavin/roseoflavin transporter RibM","2","2","1","1","2777","1","2038","","704","704","704","MICKBS0714_01062","MICSA211_00781","",""
"ribE","","Riboflavin synthase","2","2","1","1","2775","1","2040","","656","656","656","MICKBS0714_01064","MICSA211_00783","",""
"ribBA","","Riboflavin biosynthesis protein RibBA","2","2","1","1","2774","1","2041","","1313","1313","1313","MICKBS0714_01065","MICSA211_00784","",""
"ribH","","6,7-dimethyl-8-ribityllumazine synthase","2","2","1","1","2773","1","2042","","482","482","482","MICKBS0714_01066","MICSA211_00785","",""
"group_1637","","putative protein","2","2","1","1","2752","1","1953","","1016","1016","1016","MICKBS0714_01076","MICSA211_00795","",""
"group_1638","","hypothetical protein","2","2","1","1","2753","1","1954","","1421","1421","1421","MICKBS0714_01077","MICSA211_00796","",""
"hisG","","ATP phosphoribosyltransferase","2","2","1","1","2817","1","2004","","848","848","848","MICKBS0714_01079","MICSA211_00798","",""
"hisF","","Imidazole glycerol phosphate synthase subunit HisF","2","2","1","1","2818","1","2003","","770","770","770","MICKBS0714_01080","MICSA211_00799","",""
"hisI","","Phosphoribosyl-AMP cyclohydrolase","2","2","1","1","2819","1","2002","","380","380","380","MICKBS0714_01081","MICSA211_00800","",""
"trpE","","Anthranilate synthase component 1","2","2","1","1","2820","1","2001","","1550","1550","1550","MICKBS0714_01082","MICSA211_00801","",""
"group_1644","","hypothetical protein","2","2","1","1","2821","1","2000","","605","605","605","MICKBS0714_01083","MICSA211_00802","",""
"group_1645","","hypothetical protein","2","2","1","1","2822","1","1999","","323","323","323","MICKBS0714_01084","MICSA211_00803","",""
"trpC","","Indole-3-glycerol phosphate synthase","2","2","1","1","2823","1","1998","","806","806","806","MICKBS0714_01085","MICSA211_00804","",""
"trpB_1","","Tryptophan synthase beta chain","2","2","1","1","2824","1","1997","","1325","1325","1325","MICKBS0714_01086","MICSA211_00805","",""
"gltB","","Glutamate synthase [NADPH] large chain","2","2","1","1","2827","1","1994","","4652","4652","4652","MICKBS0714_01089","MICSA211_00808","",""
"gltD","","Glutamate synthase [NADPH] small chain","2","2","1","1","2828","1","1993","","1460","1460","1460","MICKBS0714_01090","MICSA211_00809","",""
"pyk","","Pyruvate kinase","2","2","1","1","2829","1","1992","","1487","1487","1487","MICKBS0714_01091","MICSA211_00810","",""
"pdtaR","","putative transcriptional regulatory protein pdtaR","2","2","1","1","2830","1","1991","","596","596","596","MICKBS0714_01092","MICSA211_00811","",""
"ndhB_1","","NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic","2","2","1","1","2831","1","1990","","2873","2873","2873","MICKBS0714_01094","MICSA211_00813","",""
"group_1653","","hypothetical protein","2","2","1","1","2832","1","1989","","431","431","431","MICKBS0714_01095","MICSA211_00814","",""
"mrpD_1","","Na(+)/H(+) antiporter subunit D","2","2","1","1","2833","1","1988","","1670","1670","1670","MICKBS0714_01096","MICSA211_00815","",""
"group_1655","","hypothetical protein","2","2","1","1","2834","1","1987","","434","434","434","MICKBS0714_01097","MICSA211_00816","",""
"group_1656","","hypothetical protein","2","2","1","1","2835","1","1986","","284","284","284","MICKBS0714_01098","MICSA211_00817","",""
"mrpG_1","","Na(+)/H(+) antiporter subunit G","2","2","1","1","2836","1","1985","","377","377","377","MICKBS0714_01099","MICSA211_00818","",""
"polA","","DNA polymerase I","2","2","1","1","2838","1","1983","","2813","2813","2813","MICKBS0714_01101","MICSA211_00820","",""
"yigZ","","IMPACT family member YigZ","2","2","1","1","2917","29","16","","701","701","701","MICKBS0714_01105","MICSA211_00824","",""
"caiT","","L-carnitine/gamma-butyrobetaine antiporter","2","2","1","1","2918","29","17","","2369","2369","2369","MICKBS0714_01106","MICSA211_00825","",""
"coaE","","Dephospho-CoA kinase","2","2","1","1","2919","29","18","","647","647","647","MICKBS0714_01107","MICSA211_00826","",""
"group_1662","","hypothetical protein","2","2","1","1","2924","29","24","","818","818","818","MICKBS0714_01111","MICSA211_00830","",""
"group_1663","","putative membrane protein","2","2","1","1","2925","29","25","","1259","1259","1259","MICKBS0714_01112","MICSA211_00831","",""
"pip","","Proline iminopeptidase","2","2","1","1","2926","29","26","","1466","1466","1466","MICKBS0714_01113","MICSA211_00832","",""
"uvrA_2","","UvrABC system protein A","2","2","1","1","2933","29","9","","2984","2984","2984","MICKBS0714_01117","MICSA211_00836","",""
"aas","","Bifunctional protein Aas","2","2","1","1","2934","29","8","","671","671","671","MICKBS0714_01118","MICSA211_00837","",""
"uvrC","","UvrABC system protein C","2","2","1","1","2935","29","7","","1925","1931","1928","MICKBS0714_01119","MICSA211_00838","",""
"group_1668","","Nucleotide-binding protein","2","2","1","1","2936","29","6","","896","896","896","MICKBS0714_01120","MICSA211_00839","",""
"whiA","","putative cell division protein WhiA","2","2","1","1","2938","29","4","","965","965","965","MICKBS0714_01122","MICSA211_00841","",""
"gapA","","Glyceraldehyde-3-phosphate dehydrogenase","2","2","1","1","2687","31","7","","1010","1010","1010","MICKBS0714_01124","MICSA211_00843","",""
"pgk","","Phosphoglycerate kinase","2","2","1","1","2688","31","8","","1247","1247","1247","MICKBS0714_01125","MICSA211_00844","",""
"tpiA","","Triosephosphate isomerase","2","2","1","1","2689","31","9","","791","791","791","MICKBS0714_01126","MICSA211_00845","",""
"group_1673","","hypothetical protein","2","2","1","1","2690","31","10","","251","251","251","MICKBS0714_01127","MICSA211_00846","",""
"group_1674","","hypothetical protein","2","2","1","1","2691","31","11","","941","941","941","MICKBS0714_01128","MICSA211_00847","",""
"zwf2","","Glucose-6-phosphate 1-dehydrogenase 2","2","2","1","1","2692","31","12","","1562","1562","1562","MICKBS0714_01129","MICSA211_00848","",""
"pgi","","Glucose-6-phosphate isomerase","2","2","1","1","2693","31","13","","1601","1601","1601","MICKBS0714_01130","MICSA211_00849","",""
"tal","","Transaldolase","2","2","1","1","2694","31","14","","1118","1118","1118","MICKBS0714_01131","MICSA211_00850","",""
"tkt","","Transketolase","2","2","1","1","2695","31","15","","2174","2174","2174","MICKBS0714_01132","MICSA211_00851","",""
"ctaB","","Protoheme IX farnesyltransferase","2","2","1","1","2696","31","16","","983","983","983","MICKBS0714_01133","MICSA211_00852","",""
"ctaA","","Heme A synthase","2","2","1","1","2697","31","17","","1016","1016","1016","MICKBS0714_01134","MICSA211_00853","",""
"group_1681","","hypothetical protein","2","2","1","1","2698","31","18","","776","776","776","MICKBS0714_01135","MICSA211_00854","",""
"btuD_6","","Vitamin B12 import ATP-binding protein BtuD","2","2","1","1","2699","31","19","","935","935","935","MICKBS0714_01136","MICSA211_00855","",""
"group_1683","","hypothetical protein","2","2","1","1","2700","31","20","","695","695","695","MICKBS0714_01137","MICSA211_00856","",""
"group_1684","","hypothetical protein","2","2","1","1","2701","31","21","","1238","1238","1238","MICKBS0714_01139","MICSA211_00858","",""
"group_1686","","hypothetical protein","2","2","1","1","2971","35","14","","947","947","947","MICKBS0714_01142","MICSA211_00861","",""
"fabG","","3-oxoacyl-[acyl-carrier-protein] reductase FabG","2","2","1","1","2987","35","6","","746","746","746","MICKBS0714_01147","MICSA211_00866","",""
"group_1689","","hypothetical protein","2","2","1","1","2988","35","5","","758","758","758","MICKBS0714_01148","MICSA211_00867","",""
"group_1690","","Phosphoserine phosphatase","2","2","1","1","2989","35","4","","836","836","836","MICKBS0714_01149","MICSA211_00868","",""
"ylmA","","putative ABC transporter ATP-binding protein YlmA","2","2","1","1","2990","35","3","","824","824","824","MICKBS0714_01150","MICSA211_00869","",""
"yfcA_2","","hypothetical protein","2","2","1","1","2991","35","2","","845","845","845","MICKBS0714_01151","MICSA211_00870","",""
"group_1693","","Putative TrmH family tRNA/rRNA methyltransferase","2","2","1","1","2992","35","1","","842","842","842","MICKBS0714_01152","MICSA211_00871","",""
"lipM","","Octanoyltransferase LipM","2","2","1","1","2994","20","41","","1058","1058","1058","MICKBS0714_01154","MICSA211_00873","",""
"group_1695","","hypothetical protein","2","2","1","1","2995","20","42","","650","650","650","MICKBS0714_01155","MICSA211_00874","",""
"pepN_2","","Aminopeptidase N","2","2","1","1","2996","20","43","","2648","2648","2648","MICKBS0714_01156","MICSA211_00875","",""
"glgM","","Alpha-maltose-1-phosphate synthase","2","2","1","1","3007","20","44","","1196","1196","1196","MICKBS0714_01158","MICSA211_00877","",""
"group_1698","","hypothetical protein","2","2","1","1","3008","20","23","","2123","2123","2123","MICKBS0714_01159","MICSA211_00878","",""
"group_1699","betI_2","HTH-type transcriptional regulator BetI","2","2","1","1","3009","20","24","","713","713","713","MICKBS0714_01160","MICSA211_00879","",""
"fadI","","3-ketoacyl-CoA thiolase FadI","2","2","1","1","3010","20","25","","1343","1343","1343","MICKBS0714_01161","MICSA211_00880","",""
"hcaB","","3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase","2","2","1","1","3011","20","26","","1349","1349","1349","MICKBS0714_01162","MICSA211_00881","",""
"mshA_6","","D-inositol-3-phosphate glycosyltransferase","2","2","1","1","3013","20","28","","3458","3458","3458","MICKBS0714_01164","MICSA211_00883","",""
"dapE_1","","Succinyl-diaminopimelate desuccinylase","2","2","1","1","3014","20","29","","1325","1325","1325","MICKBS0714_01166","MICSA211_00885","",""
"group_1704","","hypothetical protein","2","2","1","1","3015","20","30","","239","239","239","MICKBS0714_01167","MICSA211_00886","",""
"uppP","","Undecaprenyl-diphosphatase","2","2","1","1","3017","20","22","","833","833","833","MICKBS0714_01169","MICSA211_00888","",""
"mshC","","L-cysteine:1D-myo-inositol 2-amino-2-deoxy-alpha-D-glucopyranoside ligase","2","2","1","1","3018","20","21","","1268","1268","1268","MICKBS0714_01170","MICSA211_00889","",""
"group_1707","","hypothetical protein","2","2","1","1","3019","20","20","","950","950","950","MICKBS0714_01171","MICSA211_00890","",""
"pafA","","Pup--protein ligase","2","2","1","1","3029","20","5","","1394","1394","1394","MICKBS0714_01180","MICSA211_00899","",""
"group_1711","","hypothetical protein","2","2","1","1","3028","20","4","","1091","1091","1091","MICKBS0714_01181","MICSA211_00900","",""
"tatA","","Sec-independent protein translocase protein TatA","2","2","1","1","3060","26","9","","257","257","257","MICKBS0714_01184","MICSA211_00903","",""
"tatC","","Sec-independent protein translocase protein TatC","2","2","1","1","3089","26","10","","857","857","857","MICKBS0714_01185","MICSA211_00904","",""
"group_1714","","hypothetical protein","2","2","1","1","3091","26","12","","1094","1094","1094","MICKBS0714_01187","MICSA211_00906","",""
"group_1715","","putative protein","2","2","1","1","2676","26","7","","1190","1190","1190","MICKBS0714_01190","MICSA211_00909","",""
"group_1716","","hypothetical protein","2","2","1","1","2675","26","6","","476","476","476","MICKBS0714_01191","MICSA211_00910","",""
"fadH","","2,4-dienoyl-CoA reductase","2","2","1","1","2674","26","5","","2105","2105","2105","MICKBS0714_01192","MICSA211_00911","",""
"rsmI","","hypothetical protein","2","2","1","1","5879","6","187","","110","857","483","MICKBS0714_00487","MICSA211_00209","",""
"group_1720","","hypothetical protein","2","2","1","1","3107","26","23","","281","281","281","MICKBS0714_01196","MICSA211_00916","",""
"trpD","","Anthranilate phosphoribosyltransferase","2","2","1","1","3108","26","24","","1058","1058","1058","MICKBS0714_01197","MICSA211_00917","",""
"leuA","","2-isopropylmalate synthase","2","2","1","1","3178","11","57","","1733","1733","1733","MICKBS0714_01213","MICSA211_00932","",""
"era","","GTPase Era","2","2","1","1","2665","11","58","","965","965","965","MICKBS0714_01214","MICSA211_00933","",""
"group_1725","","hypothetical protein","2","2","1","1","2666","11","59","","1325","1325","1325","MICKBS0714_01215","MICSA211_00934","",""
"ybeY","","Endoribonuclease YbeY","2","2","1","1","2667","11","60","","473","473","473","MICKBS0714_01216","MICSA211_00935","",""
"rsmE","","Ribosomal RNA small subunit methyltransferase E","2","2","1","1","3186","11","75","","761","761","761","MICKBS0714_01218","MICSA211_00937","",""
"dnaJ2","","Chaperone protein DnaJ 2","2","2","1","1","3187","11","76","","1133","1133","1133","MICKBS0714_01219","MICSA211_00938","",""
"hrcA","","Heat-inducible transcription repressor HrcA","2","2","1","1","3188","11","77","","1013","1013","1013","MICKBS0714_01220","MICSA211_00939","",""
"group_1730","","hypothetical protein","2","2","1","1","3189","11","78","","860","860","860","MICKBS0714_01221","MICSA211_00940","",""
"group_1731","","hypothetical protein","2","2","1","1","3190","11","79","","419","419","419","MICKBS0714_01222","MICSA211_00941","",""
"hemW","","Heme chaperone HemW","2","2","1","1","3191","11","80","","1280","1280","1280","MICKBS0714_01223","MICSA211_00942","",""
"group_1734","","hypothetical protein","2","2","1","1","3207","11","86","","1019","1019","1019","MICKBS0714_01227","MICSA211_00946","",""
"group_1736","","DegV domain-containing protein","2","2","1","1","3204","11","7","","974","974","974","MICKBS0714_01230","MICSA211_00949","",""
"leuS","","Leucine--tRNA ligase","2","2","1","1","3203","11","8","","2507","2507","2507","MICKBS0714_01231","MICSA211_00950","",""
"priA","","putative primosomal protein N'","2","2","1","1","2664","11","11","","2051","2051","2051","MICKBS0714_01234","MICSA211_00953","",""
"gmk","","Guanylate kinase","2","2","1","1","3225","11","3","","650","650","650","MICKBS0714_01238","MICSA211_00957","",""
"pyrF","","Orotidine 5'-phosphate decarboxylase","2","2","1","1","3227","11","1","","887","887","887","MICKBS0714_01240","MICSA211_00959","",""
"carA","","Carbamoyl-phosphate synthase small chain","2","2","1","1","3229","11","12","","1184","1184","1184","MICKBS0714_01242","MICSA211_00961","",""
"group_1743","","hypothetical protein","2","2","1","1","3228","11","13","","626","626","626","MICKBS0714_01243","MICSA211_00962","",""
"pyrR","","Bifunctional protein PyrR","2","2","1","1","3235","11","33","","608","608","608","MICKBS0714_01246","MICSA211_00965","",""
"nusB","","Transcription antitermination protein NusB","2","2","1","1","3236","11","32","","452","452","452","MICKBS0714_01247","MICSA211_00966","",""
"aroB","","3-dehydroquinate synthase","2","2","1","1","3237","11","21","","1169","1169","1169","MICKBS0714_01249","MICSA211_00968","",""
"aroK","","Shikimate kinase","2","2","1","1","2653","11","20","","704","704","704","MICKBS0714_01250","MICSA211_00969","",""
"aroC","","Chorismate synthase","2","2","1","1","2654","11","19","","1235","1235","1235","MICKBS0714_01251","MICSA211_00970","",""
"alaS","","Alanine--tRNA ligase","2","2","1","1","2658","11","15","","2711","2711","2711","MICKBS0714_01255","MICSA211_00974","",""
"group_1750","","hypothetical protein","2","2","1","1","2659","11","14","","389","389","389","MICKBS0714_01256","MICSA211_00975","",""
"group_1751","","hypothetical protein","2","2","1","1","3249","15","39","","563","563","563","MICKBS0714_01258","MICSA211_00977","",""
"group_1752","","putative AAA domain-containing protein","2","2","1","1","3250","15","40","","1397","1397","1397","MICKBS0714_01259","MICSA211_00978","",""
"group_1753","","hypothetical protein","2","2","1","1","3252","15","42","","1739","1739","1739","MICKBS0714_01261","MICSA211_00980","",""
"dtd","","D-aminoacyl-tRNA deacylase","2","2","1","1","3253","15","43","","452","452","452","MICKBS0714_01262","MICSA211_00981","",""
"hisS","","Histidine--tRNA ligase","2","2","1","1","2646","15","37","","1376","1376","1376","MICKBS0714_01265","MICSA211_00984","",""
"secF","","Protein translocase subunit SecF","2","2","1","1","2642","15","33","","1040","1040","1040","MICKBS0714_01269","MICSA211_00988","",""
"secD","","Protein translocase subunit SecD","2","2","1","1","2641","15","32","","1820","1826","1823","MICKBS0714_01270","MICSA211_00989","",""
"group_1758","","hypothetical protein","2","2","1","1","2640","15","31","","431","431","431","MICKBS0714_01271","MICSA211_00990","",""
"group_1759","ruvB_1","Holliday junction ATP-dependent DNA helicase RuvB","2","2","1","1","2639","15","30","","1022","1022","1022","MICKBS0714_01272","MICSA211_00991","",""
"fgd_1","","hypothetical protein","2","2","1","1","6064","1","728","","254","1022","638","MICKBS0714_00572","MICSA211_00304","",""
"ruvA","","Holliday junction ATP-dependent DNA helicase RuvA","2","2","1","1","2638","15","29","","644","644","644","MICKBS0714_01273","MICSA211_00992","",""
"ruvC","","Crossover junction endodeoxyribonuclease RuvC","2","2","1","1","2637","15","28","","635","635","635","MICKBS0714_01274","MICSA211_00993","",""
"group_1762","","putative transcriptional regulatory protein","2","2","1","1","2636","15","27","","761","761","761","MICKBS0714_01275","MICSA211_00994","",""
"dcp","","Dipeptidyl carboxypeptidase","2","2","1","1","2635","15","26","","2093","2093","2093","MICKBS0714_01276","MICSA211_00995","",""
"group_1764","","hypothetical protein","2","2","1","1","2634","15","25","","1400","1400","1400","MICKBS0714_01277","MICSA211_00996","",""
"msrB","","Peptide methionine sulfoxide reductase MsrB","2","2","1","1","2633","15","24","","515","515","515","MICKBS0714_01278","MICSA211_00997","",""
"group_1766","","hypothetical protein","2","2","1","1","2632","15","23","","614","614","614","MICKBS0714_01279","MICSA211_00998","",""
"rnd","","Ribonuclease D","2","2","1","1","2631","15","22","","1250","1250","1250","MICKBS0714_01280","MICSA211_00999","",""
"fadB_1","","Fatty acid oxidation complex subunit alpha","2","2","1","1","2630","15","21","","2171","2171","2171","MICKBS0714_01281","MICSA211_01000","",""
"group_1769","","hypothetical protein","2","2","1","1","2629","15","20","","656","656","656","MICKBS0714_01282","MICSA211_01001","",""
"group_1770","","hypothetical protein","2","2","1","1","2627","15","18","","329","329","329","MICKBS0714_01284","MICSA211_01003","",""
"yajO","","1-deoxyxylulose-5-phosphate synthase YajO","2","2","1","1","2626","15","17","","974","974","974","MICKBS0714_01285","MICSA211_01004","",""
"dxs","","1-deoxy-D-xylulose-5-phosphate synthase","2","2","1","1","2624","15","15","","2015","2015","2015","MICKBS0714_01287","MICSA211_01006","",""
"ydhK_1","","putative protein YdhK","2","2","1","1","2623","15","14","","587","587","587","MICKBS0714_01288","MICSA211_01007","",""
"copB_2","","Copper-exporting P-type ATPase B","2","2","1","1","2622","15","13","","2135","2135","2135","MICKBS0714_01289","MICSA211_01008","",""
"ricR","","Copper-sensing transcriptional repressor RicR","2","2","1","1","2621","15","12","","335","335","335","MICKBS0714_01290","MICSA211_01009","",""
"group_1776","","hypothetical protein","2","2","1","1","3288","15","80","","1001","1001","1001","MICKBS0714_01294","MICSA211_01017","",""
"rlmCD","","23S rRNA (uracil-C(5))-methyltransferase RlmCD","2","2","1","1","2619","15","91","","1472","1472","1472","MICKBS0714_01296","MICSA211_01019","",""
"kimA","","Potassium transporter KimA","2","2","1","1","2618","15","92","","1952","1952","1952","MICKBS0714_01297","MICSA211_01020","",""
"group_1779","","hypothetical protein","2","2","1","1","2617","15","7","","701","701","701","MICKBS0714_01298","MICSA211_01021","",""
"trkA","","Trk system potassium uptake protein TrkA","2","2","1","1","2616","15","6","","713","713","713","MICKBS0714_01299","MICSA211_01022","",""
"group_1781","","hypothetical protein","2","2","1","1","2615","15","5","","704","704","704","MICKBS0714_01300","MICSA211_01023","",""
"group_1782","","hypothetical protein","2","2","1","1","2614","15","4","","317","317","317","MICKBS0714_01301","MICSA211_01024","",""
"group_1783","","hypothetical protein","2","2","1","1","2613","15","3","","776","776","776","MICKBS0714_01302","MICSA211_01025","",""
"dut","","Deoxyuridine 5'-triphosphate nucleotidohydrolase","2","2","1","1","2612","15","2","","482","482","482","MICKBS0714_01303","MICSA211_01026","",""
"group_1785","","hypothetical protein","2","2","1","1","2611","15","1","","542","542","542","MICKBS0714_01304","MICSA211_01027","",""
"group_1786","","hypothetical protein","2","2","1","1","3317","21","43","","1424","1424","1424","MICKBS0714_01306","MICSA211_01029","",""
"group_1787","","hypothetical protein","2","2","1","1","3316","21","44","","1181","1181","1181","MICKBS0714_01307","MICSA211_01030","",""
"group_1788","","hypothetical protein","2","2","1","1","3315","21","45","","677","677","677","MICKBS0714_01308","MICSA211_01031","",""
"group_1789","","hypothetical protein","2","2","1","1","3314","21","54","","2729","2729","2729","MICKBS0714_01309","MICSA211_01032","",""
"gyrA_2","","DNA gyrase subunit A","2","2","1","1","3304","21","53","","2600","2603","2601","MICKBS0714_01310","","MICAS2_01582",""
"btuD_7","","Vitamin B12 import ATP-binding protein BtuD","2","2","1","1","3303","21","48","","3695","3695","3695","MICKBS0714_01311","","MICAS2_01581",""
"cydB","","Cytochrome bd-I ubiquinol oxidase subunit 2","2","2","1","1","3302","21","47","","1022","1022","1022","MICKBS0714_01312","","MICAS2_01580",""
"appC","","Cytochrome bd-II ubiquinol oxidase subunit 1","2","2","1","1","3301","21","46","","1580","1580","1580","MICKBS0714_01313","","MICAS2_01579",""
"blaI","","Transcriptional regulator BlaI","2","2","1","1","3300","21","30","","344","344","344","MICKBS0714_01314","","MICAS2_01578",""
"htpX","","Protease HtpX","2","2","1","1","3299","21","31","","974","974","974","MICKBS0714_01315","","MICAS2_01577",""
"oleA","","Acyl-CoA:acyl-CoA alkyltransferase","2","2","1","1","2600","21","32","","1031","1031","1031","MICKBS0714_01316","","MICAS2_01576",""
"oleD","","2-alkyl-3-oxoalkanoate reductase","2","2","1","1","2605","21","37","","1073","1073","1073","MICKBS0714_01318","MICSA211_01039","",""
"group_1799","","hypothetical protein","2","2","1","1","2597","21","25","","956","956","956","MICKBS0714_01323","MICSA211_01044","",""
"pepA","","putative cytosol aminopeptidase","2","2","1","1","2598","21","24","","1532","1532","1532","MICKBS0714_01324","MICSA211_01045","",""
"group_1801","","hypothetical protein","2","2","1","1","3383","1","605","","1865","1865","1865","MICKBS0714_01326","MICSA211_01047","",""
"group_1803","","hypothetical protein","2","2","1","1","3392","1","607","","1670","1673","1671","MICKBS0714_01328","MICSA211_01049","",""
"group_1805","","hypothetical protein","2","2","1","1","3384","1","611","","812","812","812","MICKBS0714_01331","MICSA211_01052","",""
"fgd_3","","F420-dependent glucose-6-phosphate dehydrogenase","2","2","1","1","3387","1","600","","1004","1004","1004","MICKBS0714_01334","MICSA211_01055","",""
"panB","","3-methyl-2-oxobutanoate hydroxymethyltransferase","2","2","1","1","2473","1","622","","863","863","863","MICKBS0714_01338","MICSA211_01058","",""
"map_1","","Methionine aminopeptidase 2","2","2","1","1","2475","1","624","","944","944","944","MICKBS0714_01340","MICSA211_01060","",""
"ppgK","","Polyphosphate glucokinase","2","2","1","1","2476","1","625","","824","824","824","MICKBS0714_01341","MICSA211_01061","",""
"nrdR","","Transcriptional repressor NrdR","2","2","1","1","2477","1","626","","494","494","494","MICKBS0714_01342","MICSA211_01062","",""
"group_1813","","putative RNA pseudouridine synthase","2","2","1","1","2487","1","599","","962","962","962","MICKBS0714_01344","MICSA211_01064","",""
"lspA_2","","Lipoprotein signal peptidase","2","2","1","1","2486","1","598","","470","470","470","MICKBS0714_01345","MICSA211_01065","",""
"sepF","","Cell division protein SepF","2","2","1","1","2511","1","578","","632","632","632","MICKBS0714_01348","MICSA211_01068","",""
"ftsZ","","Cell division protein FtsZ","2","2","1","1","2514","1","581","","1196","1217","1206","MICKBS0714_01351","MICSA211_01071","",""
"murC","","UDP-N-acetylmuramate--L-alanine ligase","2","2","1","1","2516","1","583","","1487","1487","1487","MICKBS0714_01353","MICSA211_01073","",""
"murG","","UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase","2","2","1","1","2517","1","584","","1130","1130","1130","MICKBS0714_01354","MICSA211_01074","",""
"ftsW","","putative peptidoglycan glycosyltransferase FtsW","2","2","1","1","2518","1","585","","1292","1292","1292","MICKBS0714_01355","MICSA211_01075","",""
"murD","","UDP-N-acetylmuramoylalanine--D-glutamate ligase","2","2","1","1","2519","1","586","","1595","1595","1595","MICKBS0714_01356","MICSA211_01076","",""
"mraY","","Phospho-N-acetylmuramoyl-pentapeptide-transferase","2","2","1","1","2520","1","587","","1127","1127","1127","MICKBS0714_01357","MICSA211_01077","",""
"murF","","UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase","2","2","1","1","2521","1","588","","1514","1514","1514","MICKBS0714_01358","MICSA211_01078","",""
"pbpB","","Penicillin-binding protein PbpB","2","2","1","1","2523","1","591","","1754","1754","1754","MICKBS0714_01360","MICSA211_01080","",""
"rsmH","","Ribosomal RNA small subunit methyltransferase H","2","2","1","1","2525","1","593","","995","995","995","MICKBS0714_01362","MICSA211_01082","",""
"group_1828","","hypothetical protein","2","2","1","1","2534","1","595","","386","386","386","MICKBS0714_01364","MICSA211_01084","",""
"dinB1","","DNA polymerase IV 1","2","2","1","1","2535","1","594","","1295","1295","1295","MICKBS0714_01365","MICSA211_01085","",""
"group_1830","","hypothetical protein","2","2","1","1","2537","1","574","","398","398","398","MICKBS0714_01367","MICSA211_01087","",""
"group_1831","","Thermostable monoacylglycerol lipase","2","2","1","1","2542","1","656","","770","770","770","MICKBS0714_01372","MICSA211_01092","",""
"group_1832","","Long-chain-fatty-acid--CoA ligase FadD15","2","2","1","1","2543","1","655","","1835","1838","1836","MICKBS0714_01373","MICSA211_01093","",""
"group_1834","","putative HTH-type transcriptional regulator","2","2","1","1","2551","1","572","","563","563","563","MICKBS0714_01376","MICSA211_01096","",""
"group_1835","","putative protein","2","2","1","1","2550","1","571","","515","515","515","MICKBS0714_01377","MICSA211_01097","",""
"group_1836","","hypothetical protein","2","2","1","1","2548","1","569","","425","425","425","MICKBS0714_01379","MICSA211_01099","",""
"gcvH","","Glycine cleavage system H protein","2","2","1","1","2547","1","568","","386","386","386","MICKBS0714_01380","MICSA211_01100","",""
"group_1839","","hypothetical protein","2","2","1","1","1325","1","1786","","932","932","932","MICKBS0714_01385","MICSA211_01113","",""
"group_1840","","hypothetical protein","2","2","1","1","6486","1","894","","317","317","317","MICKBS0714_01388","MICSA211_01120","",""
"group_1841","","IS1380 family transposase ISFsp15","2","2","1","1","6488","1","896","","953","953","953","MICKBS0714_01390","MICSA211_01122","",""
"group_1842","","hypothetical protein","2","2","1","1","6489","1","897","","359","359","359","MICKBS0714_01391","MICSA211_01123","",""
"group_1843","","ISL3 family transposase ISAar42","2","2","1","1","6490","1","898","","419","419","419","MICKBS0714_01392","MICSA211_01124","",""
"group_1844","","hypothetical protein","2","2","1","1","6494","1","902","","332","332","332","MICKBS0714_01395","MICSA211_01128","",""
"group_1845","","hypothetical protein","2","2","1","1","6495","1","903","","197","197","197","MICKBS0714_01396","MICSA211_01129","",""
