sample	level	label	cells	proportion
Liver	subanno	Macrophage	845	0.133196721311475
Lung	subanno	Macrophage	237	0.0230387868183144
Pancreas	subanno	Macrophage	171	0.0184446122316902
Prostate	subanno	Macrophage	104	0.00884805172707163
Spleen	subanno	Macrophage	604	0.0749193748449516
Stomach	subanno	Macrophage	91	0.010084219858156
Bladder	subanno	Megakaryocyte	3	0.000339059674502712
Brain	subanno	Megakaryocyte	4	0.000408329930583912
Cloaca	subanno	Megakaryocyte	16	0.00178332590280874
Gill	subanno	Megakaryocyte	158	0.0147704964008601
Heart	subanno	Megakaryocyte	365	0.0357107915076803
Intestine	subanno	Megakaryocyte	8	0.00087527352297593
Kidney	subanno	Megakaryocyte	47	0.0058559681036631
Limb	subanno	Megakaryocyte	43	0.00396862021227503
Liver	subanno	Megakaryocyte	542	0.0854350567465322
Lung	subanno	Megakaryocyte	362	0.0351900456887334
Pancreas	subanno	Megakaryocyte	164	0.0176895696257146
Prostate	subanno	Megakaryocyte	1	8.50774204526119e-05
Spleen	subanno	Megakaryocyte	714	0.0885636318531382
Stomach	subanno	Megakaryocyte	6	0.000664893617021277
Bladder	subanno	Meningeal cell	29	0.00327757685352622
Brain	subanno	Meningeal cell	471	0.0480808493262556
Cloaca	subanno	Meningeal cell	8	0.000891662951404369
Gill	subanno	Meningeal cell	10	0.000934841544358231
Heart	subanno	Meningeal cell	1	9.78377849525487e-05
Intestine	subanno	Meningeal cell	10	0.00109409190371991
Kidney	subanno	Meningeal cell	109	0.013580862197857
Limb	subanno	Meningeal cell	150	0.0138440239963083
Liver	subanno	Meningeal cell	1	0.000157629255989912
Lung	subanno	Meningeal cell	8	0.000777680567706814
Pancreas	subanno	Meningeal cell	1	0.000107863229425089
Prostate	subanno	Meningeal cell	7	0.000595541943168283
Spleen	subanno	Meningeal cell	156	0.01935003721161
Stomach	subanno	Meningeal cell	3	0.000332446808510638
Bladder	subanno	Mesothelial cell	597	0.0674728752260398
Brain	subanno	Mesothelial cell	14	0.00142915475704369
Cloaca	subanno	Mesothelial cell	12	0.00133749442710655
GallBladder	subanno	Mesothelial cell	1	0.000809716599190283
Heart	subanno	Mesothelial cell	8	0.000782702279620389
Intestine	subanno	Mesothelial cell	6	0.000656455142231947
Kidney	subanno	Mesothelial cell	27	0.0033640667829554
Limb	subanno	Mesothelial cell	24	0.00221504383940932
Lung	subanno	Mesothelial cell	41	0.00398561290949742
Pancreas	subanno	Mesothelial cell	40	0.00431452917700356
Prostate	subanno	Mesothelial cell	2	0.000170154840905224
Stomach	subanno	Mesothelial cell	14	0.00155141843971631
Bladder	subanno	Myoblast	4	0.000452079566003617
Brain	subanno	Myoblast	3	0.000306247447937934
Cloaca	subanno	Myoblast	2	0.000222915737851092
Gill	subanno	Myoblast	88	0.00822660559035244
Intestine	subanno	Myoblast	1	0.000109409190371991
Kidney	subanno	Myoblast	13	0.00161973585846001
Limb	subanno	Myoblast	272	0.0251038301799723
Lung	subanno	Myoblast	3	0.000291630212890055
Pancreas	subanno	Myoblast	1	0.000107863229425089
Bladder	subanno	Myofibroblast	16	0.00180831826401447
Brain	subanno	Myofibroblast	1	0.000102082482645978
Cloaca	subanno	Myofibroblast	229	0.0255238519839501
Gill	subanno	Myofibroblast	1	9.34841544358231e-05
Heart	subanno	Myofibroblast	4	0.000391351139810195
Intestine	subanno	Myofibroblast	182	0.0199124726477024
Kidney	subanno	Myofibroblast	2	0.00024919013207077
Limb	subanno	Myofibroblast	6	0.00055376095985233
Lung	subanno	Myofibroblast	16	0.00155536113541363
Pancreas	subanno	Myofibroblast	29	0.00312803365332758
Stomach	subanno	Myofibroblast	138	0.0152925531914894
Brain	subanno	Neuroendocrine	706	0.0720702327480604
Brain	subanno	Neuron_NR4A1	376	0.0383830134748877
Brain	subanno	Neuron_UNC5A	4134	0.422008983258473
Brain	subanno	Oligodendrocyte	256	0.0261331155573704
Brain	subanno	Oligodendrocyte progenitor	655	0.0668640261331156
Bladder	subanno	Osteoblast	8	0.000904159132007233
Brain	subanno	Osteoblast	6	0.000612494895875868
Cloaca	subanno	Osteoblast	3	0.000334373606776638
Gill	subanno	Osteoblast	1038	0.0970365523043844
Heart	subanno	Osteoblast	3	0.000293513354857646
Intestine	subanno	Osteoblast	1	0.000109409190371991
Kidney	subanno	Osteoblast	8	0.00099676052828308
Limb	subanno	Osteoblast	75	0.00692201199815413
Lung	subanno	Osteoblast	42	0.00408282298046078
Pancreas	subanno	Osteoblast	3	0.000323589688275267
Spleen	subanno	Osteoblast	1	0.000124038700074423
Bladder	subanno	Pancreatic ductal cell	6	0.000678119349005425
Cloaca	subanno	Pancreatic ductal cell	1	0.000111457868925546
GallBladder	subanno	Pancreatic ductal cell	19	0.0153846153846154
Gill	subanno	Pancreatic ductal cell	2	0.000186968308871646
Intestine	subanno	Pancreatic ductal cell	2	0.000218818380743983
Kidney	subanno	Pancreatic ductal cell	8	0.00099676052828308
Limb	subanno	Pancreatic ductal cell	1	9.22934933087217e-05
Lung	subanno	Pancreatic ductal cell	2	0.000194420141926704
Pancreas	subanno	Pancreatic ductal cell	1369	0.147664761082947
Stomach	subanno	Pancreatic ductal cell	14	0.00155141843971631
GallBladder	subanno	Parietal cell	1	0.000809716599190283
Pancreas	subanno	Parietal cell	6	0.000647179376550534
Stomach	subanno	Parietal cell	2359	0.261414007092199
Bladder	subanno	Podocyte	32	0.00361663652802893
Brain	subanno	Podocyte	51	0.00520620661494488
Gill	subanno	Podocyte	11	0.00102832569879405
Kidney	subanno	Podocyte	310	0.0386244704709693
Limb	subanno	Podocyte	95	0.00876788186432857
Liver	subanno	Podocyte	2	0.000315258511979823
Lung	subanno	Podocyte	4	0.000388840283853407
Pancreas	subanno	Podocyte	4	0.000431452917700356
Prostate	subanno	Podocyte	1	8.50774204526119e-05
Spleen	subanno	Podocyte	2	0.000248077400148846
Stomach	subanno	Podocyte	7	0.000775709219858156
Bladder	subanno	Proximal tubule	3	0.000339059674502712
GallBladder	subanno	Proximal tubule	1	0.000809716599190283
Kidney	subanno	Proximal tubule	2589	0.322576625965612
Prostate	subanno	Proximal tubule	28	0.00238216777267313
Bladder	subanno	Pulmonary epithelium	14	0.00158227848101266
Gill	subanno	Pulmonary epithelium	2	0.000186968308871646
Limb	subanno	Pulmonary epithelium	1	9.22934933087217e-05
Lung	subanno	Pulmonary epithelium	2978	0.289491591328862
Stomach	subanno	Pulmonary epithelium	2	0.000221631205673759
Bladder	subanno	Respiratory epithelial cell	13	0.00146925858951175
Gill	subanno	Respiratory epithelial cell	7147	0.668131251752828
Kidney	subanno	Respiratory epithelial cell	3	0.000373785198106155
Limb	subanno	Respiratory epithelial cell	3520	0.3248730964467
Lung	subanno	Respiratory epithelial cell	3	0.000291630212890055
Stomach	subanno	Respiratory epithelial cell	1	0.000110815602836879
Bladder	subanno	Smooth muscle cell	1172	0.13245931283906
Brain	subanno	Smooth muscle cell	104	0.0106165781951817
Cloaca	subanno	Smooth muscle cell	1275	0.142108782880071
GallBladder	subanno	Smooth muscle cell	12	0.0097165991902834
Gill	subanno	Smooth muscle cell	162	0.0151444330186033
Heart	subanno	Smooth muscle cell	174	0.0170237745817435
Intestine	subanno	Smooth muscle cell	883	0.0966083150984683
Kidney	subanno	Smooth muscle cell	190	0.0236730625467232
Limb	subanno	Smooth muscle cell	361	0.0333179510844485
Liver	subanno	Smooth muscle cell	21	0.00331021437578815
Lung	subanno	Smooth muscle cell	884	0.085933702731603
Pancreas	subanno	Smooth muscle cell	477	0.0514507604357674
Prostate	subanno	Smooth muscle cell	462	0.0393057682491067
Spleen	subanno	Smooth muscle cell	36	0.00446539320267924
Stomach	subanno	Smooth muscle cell	964	0.106826241134752
Bladder	subanno	T cell	190	0.0214737793851718
Brain	subanno	T cell	20	0.00204164965291956
Cloaca	subanno	T cell	76	0.00847079803834151
GallBladder	subanno	T cell	1	0.000809716599190283
Gill	subanno	T cell	252	0.0235580069178274
Heart	subanno	T cell	95	0.00929458957049212
Intestine	subanno	T cell	83	0.00908096280087527
Kidney	subanno	T cell	122	0.015200598056317
Limb	subanno	T cell	146	0.0134748500230734
Liver	subanno	T cell	66	0.0104035308953342
Lung	subanno	T cell	183	0.0177894429862934
Pancreas	subanno	T cell	44	0.00474598209470392
Prostate	subanno	T cell	48	0.00408371618172537
Spleen	subanno	T cell	1186	0.147109898288266
Stomach	subanno	T cell	66	0.00731382978723404
Bladder	subanno	Urothelial cell	3616	0.408679927667269
Cloaca	subanno	Urothelial cell	7	0.000780205082478823
GallBladder	subanno	Urothelial cell	4	0.00323886639676113
Gill	subanno	Urothelial cell	1	9.34841544358231e-05
Kidney	subanno	Urothelial cell	33	0.0041116371791677
Limb	subanno	Urothelial cell	8	0.000738347946469774
Lung	subanno	Urothelial cell	11	0.00106931078059687
Prostate	subanno	Urothelial cell	6	0.000510464522715671
Bladder	subanno	vas deferens epithelial cell	1	0.000113019891500904
Kidney	subanno	vas deferens epithelial cell	461	0.0574383254423125
Prostate	subanno	vas deferens epithelial cell	9816	0.835119959162838
Bladder	lineage	Endothelial	636	0.0718806509945751
Brain	lineage	Endothelial	271	0.02766435279706
Cloaca	lineage	Endothelial	1205	0.134306732055283
GallBladder	lineage	Endothelial	2	0.00161943319838057
Gill	lineage	Endothelial	478	0.0446854258203235
Heart	lineage	Endothelial	4102	0.401330593875355
Intestine	lineage	Endothelial	984	0.107658643326039
Kidney	lineage	Endothelial	901	0.112260154497882
Limb	lineage	Endothelial	867	0.0800184586986617
Liver	lineage	Endothelial	1111	0.175126103404792
Lung	lineage	Endothelial	1601	0.155633323612326
Pancreas	lineage	Endothelial	939	0.101283572430159
Prostate	lineage	Endothelial	466	0.0396460779309171
Spleen	lineage	Endothelial	55	0.00682212850409328
Stomach	lineage	Endothelial	347	0.0384530141843972
Bladder	lineage	Epithelial	4602	0.520117540687161
Cloaca	lineage	Epithelial	3934	0.438475256353099
GallBladder	lineage	Epithelial	1185	0.959514170040486
Gill	lineage	Epithelial	7160	0.669346545760494
Intestine	lineage	Epithelial	4058	0.44398249452954
Kidney	lineage	Epithelial	5011	0.624345875903314
Limb	lineage	Epithelial	3563	0.328841716658976
Lung	lineage	Epithelial	3000	0.291630212890055
Pancreas	lineage	Epithelial	5179	0.558623665192536
Prostate	lineage	Epithelial	10244	0.871533095116556
Stomach	lineage	Epithelial	6133	0.679632092198582
Bladder	lineage	Erythroid	43	0.00485985533453888
Brain	lineage	Erythroid	10	0.00102082482645978
Cloaca	lineage	Erythroid	29	0.00323227819884084
Gill	lineage	Erythroid	583	0.0545012620360849
Heart	lineage	Erythroid	370	0.036199980432443
Intestine	lineage	Erythroid	78	0.00853391684901532
Kidney	lineage	Erythroid	5	0.000622975330176925
Limb	lineage	Erythroid	367	0.0338717120443009
Liver	lineage	Erythroid	19	0.00299495586380832
Lung	lineage	Erythroid	2506	0.24360843783416
Pancreas	lineage	Erythroid	197	0.0212490561967425
Prostate	lineage	Erythroid	17	0.0014463161476944
Spleen	lineage	Erythroid	2050	0.254279335152568
Stomach	lineage	Erythroid	131	0.0145168439716312
GallBladder	lineage	Hepatocyte	18	0.0145748987854251
Intestine	lineage	Hepatocyte	7	0.000765864332603939
Kidney	lineage	Hepatocyte	5	0.000622975330176925
Liver	lineage	Hepatocyte	1872	0.295081967213115
Pancreas	lineage	Hepatocyte	2	0.000215726458850178
Bladder	lineage	Immune	608	0.0687160940325497
Brain	lineage	Immune	107	0.0109228256431196
Cloaca	lineage	Immune	433	0.0482612572447615
GallBladder	lineage	Immune	1	0.000809716599190283
Gill	lineage	Immune	992	0.0927362812003365
Heart	lineage	Immune	1024	0.10018589179141
Intestine	lineage	Immune	510	0.0557986870897155
Kidney	lineage	Immune	373	0.0464739596311986
Limb	lineage	Immune	1472	0.135856022150438
Liver	lineage	Immune	1554	0.244955863808323
Lung	lineage	Immune	859	0.0835034509575192
Pancreas	lineage	Immune	408	0.0440081976054363
Prostate	lineage	Immune	178	0.0151437808405649
Spleen	lineage	Immune	5709	0.708136938724882
Stomach	lineage	Immune	183	0.0202792553191489
Bladder	lineage	Muscle	58	0.00655515370705244
Brain	lineage	Muscle	2	0.000204164965291956
Cloaca	lineage	Muscle	869	0.0968568880962996
GallBladder	lineage	Muscle	1	0.000809716599190283
Gill	lineage	Muscle	24	0.00224361970645975
Heart	lineage	Muscle	2890	0.282751198512866
Intestine	lineage	Muscle	639	0.0699124726477024
Kidney	lineage	Muscle	5	0.000622975330176925
Limb	lineage	Muscle	19	0.00175357637286571
Liver	lineage	Muscle	12	0.00189155107187894
Lung	lineage	Muscle	99	0.00962379702537183
Pancreas	lineage	Muscle	204	0.0220040988027182
Stomach	lineage	Muscle	825	0.0914228723404255
Brain	lineage	Neuronal	8380	0.855451204573295
Brain	lineage	Secretory	15	0.00153123723968967
Cloaca	lineage	Secretory	55	0.00613018279090504
GallBladder	lineage	Secretory	3	0.00242914979757085
Intestine	lineage	Secretory	180	0.0196936542669584
Kidney	lineage	Secretory	9	0.00112135559431846
Liver	lineage	Secretory	1	0.000157629255989912
Lung	lineage	Secretory	6	0.000583260425780111
Pancreas	lineage	Secretory	1337	0.144213137741344
Prostate	lineage	Secretory	1	8.50774204526119e-05
Stomach	lineage	Secretory	208	0.0230496453900709
Bladder	lineage	Stromal	2901	0.327870705244123
Brain	lineage	Stromal	1011	0.103205389955084
Cloaca	lineage	Stromal	2447	0.272737405260811
GallBladder	lineage	Stromal	25	0.0202429149797571
Gill	lineage	Stromal	1460	0.136486865476302
Heart	lineage	Stromal	1835	0.179532335387927
Intestine	lineage	Stromal	2684	0.293654266958425
Kidney	lineage	Stromal	1717	0.213929728382756
Limb	lineage	Stromal	4547	0.419658514074758
Liver	lineage	Stromal	1775	0.279791929382093
Lung	lineage	Stromal	2216	0.215417517254788
Pancreas	lineage	Stromal	1005	0.108402545572214
Prostate	lineage	Stromal	848	0.0721456525438149
Spleen	lineage	Stromal	248	0.030761597618457
Stomach	lineage	Stromal	1197	0.132646276595745
