section	panel	method	item	value
similarity_row	discovery	log	Intestine	Bladder:-0.216928;Brain:-0.125705;Cloaca:0.176035;GallBladder:0.033908;Gill:-0.132660;Heart:-0.116222;Intestine:0.721423;Kidney:-0.197860;Limb:-0.308597;Liver:0.021094;Lung:-0.198804;Pancreas:0.027299;Prostate:-0.113937;Spleen:-0.226093;Stomach:0.345319
similarity_row	discovery	log	Kidney	Bladder:0.018867;Brain:-0.176621;Cloaca:-0.002961;GallBladder:-0.256511;Gill:0.076068;Heart:-0.059032;Intestine:-0.095692;Kidney:0.354510;Limb:-0.107582;Liver:-0.105543;Lung:-0.027572;Pancreas:-0.238270;Prostate:0.416349;Spleen:0.164044;Stomach:0.049443
similarity_row	discovery	log	Limb	Bladder:-0.024171;Brain:-0.122927;Cloaca:-0.011673;GallBladder:-0.243829;Gill:0.444553;Heart:0.006276;Intestine:-0.194861;Kidney:-0.185323;Limb:0.370559;Liver:-0.141712;Lung:0.112168;Pancreas:-0.250102;Prostate:0.213265;Spleen:0.233847;Stomach:0.121109
similarity_row	discovery	log	Liver	Bladder:-0.242453;Brain:-0.099466;Cloaca:-0.067680;GallBladder:0.122030;Gill:-0.258017;Heart:-0.221892;Intestine:0.142153;Kidney:-0.034511;Limb:-0.128086;Liver:0.653703;Lung:-0.226558;Pancreas:0.104743;Prostate:-0.186343;Spleen:-0.063457;Stomach:0.068054
similarity_row	discovery	log	Lung	Bladder:-0.002154;Brain:-0.222542;Cloaca:0.092533;GallBladder:-0.218023;Gill:0.193671;Heart:0.125094;Intestine:-0.114284;Kidney:-0.216400;Limb:-0.083861;Liver:-0.102698;Lung:0.692526;Pancreas:-0.218631;Prostate:0.074330;Spleen:0.258857;Stomach:0.078890
similarity_row	discovery	log	Pancreas	Bladder:-0.063628;Brain:-0.036618;Cloaca:0.146956;GallBladder:0.101165;Gill:-0.107267;Heart:-0.129434;Intestine:-0.015038;Kidney:-0.039214;Limb:-0.179063;Liver:-0.105305;Lung:-0.100314;Pancreas:0.560417;Prostate:-0.059239;Spleen:-0.202452;Stomach:-0.006064
similarity_row	discovery	log	Prostate	Bladder:0.083365;Brain:0.010262;Cloaca:-0.202939;GallBladder:0.109574;Gill:-0.134095;Heart:-0.085404;Intestine:-0.057378;Kidney:0.205524;Limb:0.034283;Liver:0.093201;Lung:-0.174953;Pancreas:0.031412;Prostate:0.204501;Spleen:-0.111792;Stomach:-0.160643
similarity_row	discovery	log	Spleen	Bladder:-0.130710;Brain:-0.127698;Cloaca:-0.122460;GallBladder:-0.071035;Gill:-0.054980;Heart:0.009668;Intestine:-0.027650;Kidney:-0.088500;Limb:0.018859;Liver:0.180344;Lung:0.078450;Pancreas:-0.101030;Prostate:-0.092995;Spleen:0.677320;Stomach:-0.118770
similarity_row	discovery	log	Stomach	Bladder:-0.122336;Brain:-0.084818;Cloaca:0.597314;GallBladder:0.047458;Gill:-0.090670;Heart:-0.128810;Intestine:0.142328;Kidney:-0.169734;Limb:-0.251607;Liver:-0.011187;Lung:-0.141143;Pancreas:0.051772;Prostate:-0.093884;Spleen:-0.222249;Stomach:0.138148
assignment	validation	raw	identity_score	8.09782722
assignment	validation	raw	swap_rank_1	Cloaca,Stomach;delta=0.75044298
assignment	validation	raw	swap_rank_2	Gill,Limb;delta=-0.23826096
assignment	validation	raw	swap_rank_3	Kidney,Prostate;delta=-0.25677932
assignment	validation	raw	swap_rank_4	Intestine,Stomach;delta=-0.39495769
assignment	validation	raw	swap_rank_5	Limb,Prostate;delta=-0.41203109
column_match	validation	raw	Bladder	Bladder:0.762892;GallBladder:0.121525;Heart:0.082056;Kidney:0.050774
column_match	validation	raw	Brain	Brain:0.808825;GallBladder:0.086094;Heart:0.043141;Prostate:-0.006748
column_match	validation	raw	Cloaca	Stomach:0.559602;Cloaca:0.147425;Intestine:0.139813;Pancreas:0.124701
column_match	validation	raw	GallBladder	GallBladder:0.672746;Pancreas:0.123500;Prostate:0.113436;Stomach:0.068311
column_match	validation	raw	Gill	Gill:0.548230;Limb:0.318428;Lung:0.172853;Bladder:0.152379
column_match	validation	raw	Heart	Heart:0.795756;Brain:0.142333;Lung:0.059203;Spleen:0.022849
column_match	validation	raw	Intestine	Intestine:0.700485;GallBladder:0.237116;Cloaca:0.188708;Stomach:0.132830
column_match	validation	raw	Kidney	Kidney:0.441487;GallBladder:0.406253;Bladder:0.169993;Prostate:0.137081
column_match	validation	raw	Limb	Limb:0.375700;Gill:0.367241;Bladder:0.347152;GallBladder:0.168562
column_match	validation	raw	Liver	Liver:0.611443;Spleen:0.134424;Prostate:0.113721;GallBladder:0.101469
column_match	validation	raw	Lung	Lung:0.629910;Bladder:0.292746;Heart:0.162022;Spleen:0.123865
column_match	validation	raw	Pancreas	Pancreas:0.573319;GallBladder:0.481832;Liver:0.086891;Stomach:0.055737
column_match	validation	raw	Prostate	Kidney:0.257284;Prostate:0.209658;Brain:0.173031;Limb:0.169385
column_match	validation	raw	Spleen	Spleen:0.702876;Limb:0.232065;Lung:0.228663;Kidney:0.108165
column_match	validation	raw	Stomach	Cloaca:0.455344;Intestine:0.289776;Liver:0.168560;Stomach:0.117078
similarity_row	validation	raw	Bladder	Bladder:0.762892;Brain:-0.028475;Cloaca:-0.085505;GallBladder:-0.072217;Gill:0.152379;Heart:0.006394;Intestine:-0.306121;Kidney:0.169993;Limb:0.347152;Liver:-0.312343;Lung:0.292746;Pancreas:-0.136944;Prostate:0.127888;Spleen:-0.019847;Stomach:-0.165896
similarity_row	validation	raw	Brain	Bladder:-0.028562;Brain:0.808825;Cloaca:-0.079008;GallBladder:-0.127262;Gill:0.027453;Heart:0.142333;Intestine:-0.278055;Kidney:0.008674;Limb:-0.026566;Liver:-0.262249;Lung:-0.098165;Pancreas:-0.164064;Prostate:0.173031;Spleen:0.028546;Stomach:-0.144459
similarity_row	validation	raw	Cloaca	Bladder:-0.122991;Brain:-0.128052;Cloaca:0.147425;GallBladder:-0.036297;Gill:-0.012711;Heart:-0.060335;Intestine:0.188708;Kidney:-0.193534;Limb:-0.212080;Liver:0.018763;Lung:-0.058861;Pancreas:-0.041050;Prostate:-0.058239;Spleen:-0.131031;Stomach:0.455344
similarity_row	validation	raw	GallBladder	Bladder:0.121525;Brain:0.086094;Cloaca:-0.168370;GallBladder:0.672746;Gill:-0.350391;Heart:-0.335071;Intestine:0.237116;Kidney:0.406253;Limb:0.168562;Liver:0.101469;Lung:-0.285762;Pancreas:0.481832;Prostate:-0.407564;Spleen:-0.528548;Stomach:-0.261051
similarity_row	validation	raw	Gill	Bladder:-0.048342;Brain:-0.102378;Cloaca:-0.121717;GallBladder:-0.015864;Gill:0.548230;Heart:-0.037386;Intestine:-0.073463;Kidney:-0.093731;Limb:0.367241;Liver:0.033681;Lung:-0.013816;Pancreas:-0.084176;Prostate:-0.065735;Spleen:0.055768;Stomach:-0.033820
similarity_row	validation	raw	Heart	Bladder:0.082056;Brain:0.043141;Cloaca:-0.197217;GallBladder:0.011871;Gill:-0.115974;Heart:0.795756;Intestine:-0.203601;Kidney:0.024417;Limb:0.048164;Liver:-0.096030;Lung:0.162022;Pancreas:-0.020245;Prostate:-0.136198;Spleen:-0.004455;Stomach:-0.272685
similarity_row	validation	raw	Intestine	Bladder:-0.162357;Brain:-0.103390;Cloaca:0.139813;GallBladder:0.011044;Gill:-0.117974;Heart:-0.091474;Intestine:0.700485;Kidney:-0.160630;Limb:-0.261374;Liver:-0.004347;Lung:-0.158649;Pancreas:0.019205;Prostate:-0.108534;Spleen:-0.196231;Stomach:0.289776
similarity_row	validation	raw	Kidney	Bladder:0.050774;Brain:-0.095452;Cloaca:-0.073805;GallBladder:-0.159842;Gill:-0.008035;Heart:-0.056563;Intestine:-0.051307;Kidney:0.441487;Limb:-0.045394;Liver:-0.056268;Lung:-0.047999;Pancreas:-0.174533;Prostate:0.257284;Spleen:0.108165;Stomach:-0.027886
similarity_row	validation	raw	Limb	Bladder:-0.070101;Brain:-0.092860;Cloaca:-0.039315;GallBladder:-0.194082;Gill:0.318428;Heart:-0.019340;Intestine:-0.144889;Kidney:-0.155440;Limb:0.375700;Liver:-0.069339;Lung:0.050378;Pancreas:-0.203445;Prostate:0.169385;Spleen:0.232065;Stomach:0.100850
similarity_row	validation	raw	Liver	Bladder:-0.264925;Brain:-0.132221;Cloaca:-0.049991;GallBladder:0.037286;Gill:-0.210642;Heart:-0.189020;Intestine:0.072758;Kidney:-0.119217;Limb:-0.166716;Liver:0.611443;Lung:-0.201332;Pancreas:0.086891;Prostate:-0.092787;Spleen:-0.041065;Stomach:0.168560
similarity_row	validation	raw	Lung	Bladder:-0.043083;Brain:-0.198898;Cloaca:0.102301;GallBladder:-0.177183;Gill:0.172853;Heart:0.059203;Intestine:-0.075627;Kidney:-0.174554;Limb:-0.081322;Liver:-0.056552;Lung:0.629910;Pancreas:-0.190956;Prostate:0.055202;Spleen:0.228663;Stomach:0.053515
similarity_row	validation	raw	Pancreas	Bladder:-0.032734;Brain:-0.042684;Cloaca:0.124701;GallBladder:0.123500;Gill:-0.137417;Heart:-0.157061;Intestine:0.012404;Kidney:-0.005894;Limb:-0.148348;Liver:-0.100239;Lung:-0.105388;Pancreas:0.573319;Prostate:-0.047056;Spleen:-0.196324;Stomach:-0.052812
similarity_row	validation	raw	Prostate	Bladder:0.031782;Brain:-0.006748;Cloaca:-0.190260;GallBladder:0.113436;Gill:-0.134428;Heart:-0.086738;Intestine:-0.057587;Kidney:0.137081;Limb:0.003941;Liver:0.113721;Lung:-0.160499;Pancreas:0.033291;Prostate:0.209658;Spleen:-0.082817;Stomach:-0.146727
similarity_row	validation	raw	Spleen	Bladder:-0.171076;Brain:-0.174502;Cloaca:-0.051405;GallBladder:-0.138753;Gill:0.013175;Heart:0.022849;Intestine:-0.027955;Kidney:-0.142856;Limb:-0.062393;Liver:0.134424;Lung:0.123865;Pancreas:-0.156128;Prostate:-0.031191;Spleen:0.702876;Stomach:-0.046029
similarity_row	validation	raw	Stomach	Bladder:-0.091590;Brain:-0.085464;Cloaca:0.559602;GallBladder:0.068311;Gill:-0.088436;Heart:-0.128985;Intestine:0.132830;Kidney:-0.127001;Limb:-0.219235;Liver:-0.010926;Lung:-0.140167;Pancreas:0.055737;Prostate:-0.111046;Spleen:-0.238289;Stomach:0.117078
assignment	validation	sqrt	identity_score	8.28928946
assignment	validation	sqrt	swap_rank_1	Cloaca,Stomach;delta=0.76421058
assignment	validation	sqrt	swap_rank_2	Kidney,Prostate;delta=0.01621278
assignment	validation	sqrt	swap_rank_3	Gill,Limb;delta=-0.15609930
assignment	validation	sqrt	swap_rank_4	Limb,Prostate;delta=-0.37549047
assignment	validation	sqrt	swap_rank_5	Intestine,Stomach;delta=-0.41074045
column_match	validation	sqrt	Bladder	Bladder:0.753254;GallBladder:0.195855;Prostate:0.069749;Heart:0.059629
column_match	validation	sqrt	Brain	Brain:0.829947;GallBladder:0.110972;Heart:0.043740;Prostate:0.016197
column_match	validation	sqrt	Cloaca	Stomach:0.587533;Pancreas:0.201645;Intestine:0.184641;Cloaca:0.142323
column_match	validation	sqrt	GallBladder	GallBladder:0.719319;Prostate:0.130343;Liver:0.092837;Pancreas:0.073603
column_match	validation	sqrt	Gill	Gill:0.544414;Limb:0.433062;Lung:0.220085;Bladder:0.217243
column_match	validation	sqrt	Heart	Heart:0.792004;Brain:0.160637;Lung:0.132082;Limb:0.021189
column_match	validation	sqrt	Intestine	Intestine:0.751590;GallBladder:0.285412;Cloaca:0.216049;Stomach:0.154795
column_match	validation	sqrt	Kidney	GallBladder:0.472266;Kidney:0.393600;Prostate:0.220478;Bladder:0.141820
column_match	validation	sqrt	Limb	Limb:0.418615;Gill:0.373869;Bladder:0.343381;GallBladder:0.152928
column_match	validation	sqrt	Liver	Liver:0.660073;Spleen:0.196797;Prostate:0.118979;GallBladder:0.110844
column_match	validation	sqrt	Lung	Lung:0.711187;Bladder:0.344942;Heart:0.168159;Limb:0.119837
column_match	validation	sqrt	Pancreas	GallBladder:0.567458;Pancreas:0.548605;Liver:0.129638;Stomach:0.056333
column_match	validation	sqrt	Prostate	Kidney:0.387528;Limb:0.209407;Prostate:0.198193;Bladder:0.194010
column_match	validation	sqrt	Spleen	Spleen:0.673156;Lung:0.285759;Limb:0.258840;Gill:0.160165
column_match	validation	sqrt	Stomach	Cloaca:0.472010;Intestine:0.339063;Stomach:0.153009;Liver:0.129486
similarity_row	validation	sqrt	Bladder	Bladder:0.753254;Brain:-0.068015;Cloaca:-0.058044;GallBladder:-0.138934;Gill:0.217243;Heart:0.010038;Intestine:-0.332407;Kidney:0.141820;Limb:0.343381;Liver:-0.351752;Lung:0.344942;Pancreas:-0.194319;Prostate:0.194010;Spleen:0.031280;Stomach:-0.130107
similarity_row	validation	sqrt	Brain	Bladder:-0.016064;Brain:0.829947;Cloaca:-0.104005;GallBladder:-0.113782;Gill:0.013389;Heart:0.160637;Intestine:-0.292151;Kidney:0.027277;Limb:0.016035;Liver:-0.262131;Lung:-0.096920;Pancreas:-0.156608;Prostate:0.161472;Spleen:0.010477;Stomach:-0.166510
similarity_row	validation	sqrt	Cloaca	Bladder:-0.130079;Brain:-0.118164;Cloaca:0.142323;GallBladder:-0.020236;Gill:-0.029163;Heart:-0.071953;Intestine:0.216049;Kidney:-0.198435;Limb:-0.218282;Liver:0.037726;Lung:-0.077555;Pancreas:-0.029167;Prostate:-0.086266;Spleen:-0.149199;Stomach:0.472010
similarity_row	validation	sqrt	GallBladder	Bladder:0.195855;Brain:0.110972;Cloaca:-0.154946;GallBladder:0.719319;Gill:-0.388541;Heart:-0.405302;Intestine:0.285412;Kidney:0.472266;Limb:0.152928;Liver:0.110844;Lung:-0.373559;Pancreas:0.567458;Prostate:-0.420857;Spleen:-0.685976;Stomach:-0.270165
similarity_row	validation	sqrt	Gill	Bladder:-0.073807;Brain:-0.116638;Cloaca:-0.128977;GallBladder:-0.050537;Gill:0.544414;Heart:-0.007429;Intestine:-0.095610;Kidney:-0.119079;Limb:0.373869;Liver:0.030539;Lung:0.041212;Pancreas:-0.119172;Prostate:-0.055186;Spleen:0.160165;Stomach:-0.043123
similarity_row	validation	sqrt	Heart	Bladder:0.059629;Brain:0.043740;Cloaca:-0.225587;GallBladder:0.023779;Gill:-0.124755;Heart:0.792004;Intestine:-0.203177;Kidney:0.021625;Limb:0.053097;Liver:-0.064916;Lung:0.168159;Pancreas:-0.017898;Prostate:-0.165782;Spleen:0.059182;Stomach:-0.296176
similarity_row	validation	sqrt	Intestine	Bladder:-0.211297;Brain:-0.112925;Cloaca:0.184641;GallBladder:0.034155;Gill:-0.135263;Heart:-0.135442;Intestine:0.751590;Kidney:-0.182778;Limb:-0.315599;Liver:0.027482;Lung:-0.206404;Pancreas:0.037613;Prostate:-0.133159;Spleen:-0.235834;Stomach:0.339063
similarity_row	validation	sqrt	Kidney	Bladder:0.029620;Brain:-0.149886;Cloaca:-0.030750;GallBladder:-0.240981;Gill:0.042939;Heart:-0.053833;Intestine:-0.085043;Kidney:0.393600;Limb:-0.092994;Liver:-0.100275;Lung:-0.041601;Pancreas:-0.236660;Prostate:0.387528;Spleen:0.142804;Stomach:0.035775
similarity_row	validation	sqrt	Limb	Bladder:-0.025084;Brain:-0.116084;Cloaca:-0.027347;GallBladder:-0.252388;Gill:0.433062;Heart:0.021189;Intestine:-0.194434;Kidney:-0.182918;Limb:0.418615;Liver:-0.133032;Lung:0.119837;Pancreas:-0.262271;Prostate:0.209407;Spleen:0.258840;Stomach:0.099222
similarity_row	validation	sqrt	Liver	Bladder:-0.275589;Brain:-0.099988;Cloaca:-0.092020;GallBladder:0.092837;Gill:-0.261526;Heart:-0.189709;Intestine:0.087741;Kidney:-0.091885;Limb:-0.160877;Liver:0.660073;Lung:-0.238207;Pancreas:0.129638;Prostate:-0.157625;Spleen:-0.046469;Stomach:0.129486
similarity_row	validation	sqrt	Lung	Bladder:-0.023995;Brain:-0.222258;Cloaca:0.123993;GallBladder:-0.242408;Gill:0.220085;Heart:0.132082;Intestine:-0.119742;Kidney:-0.222364;Limb:-0.077784;Liver:-0.108399;Lung:0.711187;Pancreas:-0.248244;Prostate:0.091547;Spleen:0.285759;Stomach:0.064604
similarity_row	validation	sqrt	Pancreas	Bladder:-0.063914;Brain:-0.093049;Cloaca:0.201645;GallBladder:0.073603;Gill:-0.120821;Heart:-0.150874;Intestine:0.025943;Kidney:-0.071559;Limb:-0.205479;Liver:-0.127884;Lung:-0.059041;Pancreas:0.548605;Prostate:-0.011400;Spleen:-0.184801;Stomach:0.015470
similarity_row	validation	sqrt	Prostate	Bladder:0.069749;Brain:0.016197;Cloaca:-0.236358;GallBladder:0.130343;Gill:-0.152951;Heart:-0.089510;Intestine:-0.069275;Kidney:0.220478;Limb:0.031911;Liver:0.118979;Lung:-0.180747;Pancreas:0.034239;Prostate:0.198193;Spleen:-0.084149;Stomach:-0.190060
similarity_row	validation	sqrt	Spleen	Bladder:-0.158726;Brain:-0.121633;Cloaca:-0.131416;GallBladder:-0.052065;Gill:-0.046215;Heart:0.008048;Intestine:-0.019760;Kidney:-0.075965;Limb:-0.010586;Liver:0.196797;Lung:0.075674;Pancreas:-0.098426;Prostate:-0.112829;Spleen:0.673156;Stomach:-0.120674
similarity_row	validation	sqrt	Stomach	Bladder:-0.115665;Brain:-0.087681;Cloaca:0.587533;GallBladder:0.053242;Gill:-0.086552;Heart:-0.141153;Intestine:0.154795;Kidney:-0.160203;Limb:-0.254266;Liver:-0.022329;Lung:-0.122857;Pancreas:0.056333;Prostate:-0.104662;Spleen:-0.237758;Stomach:0.153009
assignment	validation	log	identity_score	8.18962831
assignment	validation	log	swap_rank_1	Cloaca,Stomach;delta=0.75486554
assignment	validation	log	swap_rank_2	Kidney,Prostate;delta=0.03393289
assignment	validation	log	swap_rank_3	Gill,Limb;delta=-0.12238389
assignment	validation	log	swap_rank_4	Limb,Prostate;delta=-0.37408917
assignment	validation	log	swap_rank_5	Intestine,Stomach;delta=-0.42578886
column_match	validation	log	Bladder	Bladder:0.752891;GallBladder:0.180421;Prostate:0.084102;Heart:0.051838
column_match	validation	log	Brain	Brain:0.828612;GallBladder:0.104113;Heart:0.030163;Prostate:0.015874
column_match	validation	log	Cloaca	Stomach:0.578863;Pancreas:0.198342;Intestine:0.181414;Cloaca:0.117202
column_match	validation	log	GallBladder	GallBladder:0.712705;Prostate:0.122407;Pancreas:0.083348;Liver:0.078626
column_match	validation	log	Gill	Gill:0.518563;Limb:0.449910;Bladder:0.200547;Lung:0.197466
column_match	validation	log	Heart	Heart:0.788766;Brain:0.152287;Lung:0.121325;Spleen:0.016516
column_match	validation	log	Intestine	Intestine:0.747763;GallBladder:0.284966;Cloaca:0.203937;Stomach:0.147604
column_match	validation	log	Kidney	GallBladder:0.457523;Kidney:0.386625;Prostate:0.213378;Bladder:0.146730
column_match	validation	log	Limb	Limb:0.409980;Gill:0.356250;Bladder:0.341372;GallBladder:0.153146
column_match	validation	log	Liver	Liver:0.646929;Spleen:0.188805;GallBladder:0.120087;Prostate:0.105427
column_match	validation	log	Lung	Lung:0.696628;Bladder:0.332114;Heart:0.176813;Limb:0.101263
column_match	validation	log	Pancreas	GallBladder:0.557410;Pancreas:0.551705;Liver:0.120687;Stomach:0.055873
column_match	validation	log	Prostate	Kidney:0.411085;Prostate:0.203905;Limb:0.203707;Bladder:0.169415
column_match	validation	log	Spleen	Spleen:0.675368;Lung:0.285735;Limb:0.258250;Gill:0.181887
column_match	validation	log	Stomach	Cloaca:0.445190;Intestine:0.326355;Stomach:0.151986;Liver:0.140797
similarity_row	validation	log	Bladder	Bladder:0.752891;Brain:-0.058675;Cloaca:-0.069469;GallBladder:-0.123351;Gill:0.200547;Heart:0.012442;Intestine:-0.323497;Kidney:0.146730;Limb:0.341372;Liver:-0.331859;Lung:0.332114;Pancreas:-0.183324;Prostate:0.169415;Spleen:0.031788;Stomach:-0.142480
similarity_row	validation	log	Brain	Bladder:-0.002556;Brain:0.828612;Cloaca:-0.109271;GallBladder:-0.101571;Gill:0.006516;Heart:0.152287;Intestine:-0.287321;Kidney:0.039727;Limb:0.022154;Liver:-0.257132;Lung:-0.099862;Pancreas:-0.145965;Prostate:0.152117;Spleen:-0.007176;Stomach:-0.171685
similarity_row	validation	log	Cloaca	Bladder:-0.124118;Brain:-0.103163;Cloaca:0.117202;GallBladder:0.003070;Gill:-0.041650;Heart:-0.070617;Intestine:0.203937;Kidney:-0.174720;Limb:-0.199663;Liver:0.054997;Lung:-0.088755;Pancreas:-0.011665;Prostate:-0.105797;Spleen:-0.158903;Stomach:0.445190
similarity_row	validation	log	GallBladder	Bladder:0.180421;Brain:0.104113;Cloaca:-0.158814;GallBladder:0.712705;Gill:-0.386445;Heart:-0.389631;Intestine:0.284966;Kidney:0.457523;Limb:0.153146;Liver:0.120087;Lung:-0.357279;Pancreas:0.557410;Prostate:-0.419674;Spleen:-0.677596;Stomach:-0.266761
similarity_row	validation	log	Gill	Bladder:-0.087183;Brain:-0.120725;Cloaca:-0.133123;GallBladder:-0.053504;Gill:0.518563;Heart:0.003587;Intestine:-0.089837;Kidney:-0.122660;Limb:0.356250;Liver:0.045563;Lung:0.056525;Pancreas:-0.119278;Prostate:-0.063126;Spleen:0.181887;Stomach:-0.043587
similarity_row	validation	log	Heart	Bladder:0.051838;Brain:0.030163;Cloaca:-0.210287;GallBladder:0.001421;Gill:-0.109247;Heart:0.788766;Intestine:-0.206172;Kidney:0.007083;Limb:0.044019;Liver:-0.076228;Lung:0.176813;Pancreas:-0.032907;Prostate:-0.146484;Spleen:0.084882;Stomach:-0.282142
similarity_row	validation	log	Intestine	Bladder:-0.202405;Brain:-0.104839;Cloaca:0.181414;GallBladder:0.038934;Gill:-0.130078;Heart:-0.130813;Intestine:0.747763;Kidney:-0.172039;Limb:-0.304847;Liver:0.013768;Lung:-0.208419;Pancreas:0.039141;Prostate:-0.134826;Spleen:-0.238578;Stomach:0.326355
similarity_row	validation	log	Kidney	Bladder:0.022087;Brain:-0.152525;Cloaca:-0.033236;GallBladder:-0.235103;Gill:0.040830;Heart:-0.070263;Intestine:-0.080098;Kidney:0.386625;Limb:-0.112970;Liver:-0.097915;Lung:-0.059917;Pancreas:-0.238350;Prostate:0.411085;Spleen:0.151341;Stomach:0.031131
similarity_row	validation	log	Limb	Bladder:-0.048420;Brain:-0.119334;Cloaca:-0.020161;GallBladder:-0.248722;Gill:0.449910;Heart:-0.001128;Intestine:-0.179002;Kidney:-0.187895;Limb:0.409980;Liver:-0.122580;Lung:0.101263;Pancreas:-0.256798;Prostate:0.203707;Spleen:0.258250;Stomach:0.108425
similarity_row	validation	log	Liver	Bladder:-0.268423;Brain:-0.107103;Cloaca:-0.079921;GallBladder:0.078626;Gill:-0.252220;Heart:-0.189808;Intestine:0.083006;Kidney:-0.100090;Limb:-0.157628;Liver:0.646929;Lung:-0.230223;Pancreas:0.120687;Prostate:-0.144817;Spleen:-0.043881;Stomach:0.140797
similarity_row	validation	log	Lung	Bladder:-0.034034;Brain:-0.216045;Cloaca:0.114231;GallBladder:-0.222019;Gill:0.197466;Heart:0.121325;Intestine:-0.106085;Kidney:-0.211790;Limb:-0.081350;Liver:-0.082103;Lung:0.696628;Pancreas:-0.233211;Prostate:0.065749;Spleen:0.285735;Stomach:0.054731
similarity_row	validation	log	Pancreas	Bladder:-0.061423;Brain:-0.092792;Cloaca:0.198342;GallBladder:0.083348;Gill:-0.119939;Heart:-0.157626;Intestine:0.027927;Kidney:-0.067064;Limb:-0.201849;Liver:-0.136044;Lung:-0.050585;Pancreas:0.551705;Prostate:-0.018075;Spleen:-0.187256;Stomach:0.017313
similarity_row	validation	log	Prostate	Bladder:0.084102;Brain:0.015874;Cloaca:-0.221611;GallBladder:0.122407;Gill:-0.148954;Heart:-0.081230;Intestine:-0.072184;Kidney:0.213378;Limb:0.036088;Liver:0.105427;Lung:-0.167386;Pancreas:0.030298;Prostate:0.203905;Spleen:-0.107751;Stomach:-0.180773
similarity_row	validation	log	Spleen	Bladder:-0.152852;Brain:-0.127154;Cloaca:-0.127928;GallBladder:-0.062029;Gill:-0.040195;Heart:0.016516;Intestine:-0.026308;Kidney:-0.081448;Limb:-0.004995;Liver:0.188805;Lung:0.083722;Pancreas:-0.104223;Prostate:-0.106063;Spleen:0.675368;Stomach:-0.115461
similarity_row	validation	log	Stomach	Bladder:-0.115250;Brain:-0.080432;Cloaca:0.578863;GallBladder:0.050703;Gill:-0.089229;Heart:-0.127335;Intestine:0.147604;Kidney:-0.159236;Limb:-0.255031;Liver:-0.020769;Lung:-0.127700;Pancreas:0.055873;Prostate:-0.104655;Spleen:-0.237617;Stomach:0.151986
consensus	all	all	best_swap	Cloaca,Stomach
