analysis	experiment	biological_replicates	read_depth	quality	analysis_read_depth_sum	n_depth_metrics
ENCAN700BOQ	ENCSR060BFU	1	37850069	warning	37850069	1
ENCAN093ZRV	ENCSR366EGE	1	29297017	warning	29297017	1
ENCAN288QNA	ENCSR941SMM	1	34434269	warning	34434269	1
ENCAN707YDI	ENCSR305UJX	1	36747000	warning	36747000	1
ENCAN399TCC	ENCSR619BNL	1	33167191	warning	33167191	1
ENCAN959FBP	ENCSR555TFE	1	40833343	warning	40833343	1
ENCAN611OWC	ENCSR572LDG	1	34265889	warning	34265889	1
ENCAN037KSW	ENCSR092OFK	1	32563147	warning	32563147	1
ENCAN928BVS	ENCSR320TUJ	1	35839060	warning	35839060	1
ENCAN015HJI	ENCSR282QFE	1	31731786	warning	31731786	1
ENCAN974CWJ	ENCSR059LXL	1	37121775	warning	37121775	1
ENCAN829TXD	ENCSR588JXI	1	37780261	warning	37780261	1
ENCAN153GZX	ENCSR860NDZ	1	39579658	warning	39579658	1
ENCAN512CQT	ENCSR564TUY	1	34425185	warning	34425185	1
ENCAN385OIH	ENCSR295DUI	1	46355646	warning	46355646	1
ENCAN116MUL	ENCSR014VAC	1	37127546	warning	37127546	1
ENCAN397MSO	ENCSR281HBB	1	33802110	warning	33802110	1
ENCAN596TUX	ENCSR000ENR	1	29170145	warning	48721040	2
ENCAN596TUX	ENCSR000ENR	2	19550895	not_compliant	48721040	2
ENCAN291SWU	ENCSR600RAA	1	44872711	warning	44872711	1
ENCAN325ZBV	ENCSR837VHE	1	22275235	warning	92927401	4
ENCAN325ZBV	ENCSR837VHE	2	21556116	warning	92927401	4
ENCAN325ZBV	ENCSR837VHE	4	20770630	warning	92927401	4
ENCAN325ZBV	ENCSR837VHE	5	28325420	warning	92927401	4
ENCAN637DOW	ENCSR765BSU	1	34748745	warning	34748745	1
ENCAN535OQC	ENCSR366YTD	1	35101985	warning	35101985	1
ENCAN572RSN	ENCSR106OKX	1	27450670	warning	27450670	1
ENCAN231LEY	ENCSR569ATD	1	36694455	warning	36694455	1
ENCAN575VTT	ENCSR297ORG	1	45276043	warning	45276043	1
ENCAN552HQT	ENCSR871APX	1	37384727	warning	37384727	1
ENCAN711NBM	ENCSR595HZQ	1	47319865	warning	47319865	1
ENCAN780NTZ	ENCSR928SYE	1	33265047	warning	33265047	1
ENCAN294HXV	ENCSR083FBK	1	35804083	warning	35804083	1
ENCAN271YYU	ENCSR010ZMK	1	34802757	warning	34802757	1
ENCAN690HUE	ENCSR437KLY	1	36062889	warning	36062889	1
ENCAN678VNK	ENCSR344FLH	1	27902696	warning	27902696	1
ENCAN758XMT	ENCSR888GBS	1	38103510	warning	38103510	1
ENCAN220CFM	ENCSR648GDP	1	29591508	warning	29591508	1
ENCAN590VFF	ENCSR712PYJ	1	46927485	warning	46927485	1
ENCAN919YWR	ENCSR332BSB	1	33837312	warning	33837312	1
ENCAN361HHX	ENCSR615WIN	1	38335077	warning	38335077	1
ENCAN616ZXD	ENCSR000ENF	1	44115762	warning	44115762	1
ENCAN109IHJ	ENCSR000ELZ	1	25593487	warning	51712858	2
ENCAN109IHJ	ENCSR000ELZ	2	26119371	warning	51712858	2
ENCAN322IWG	ENCSR000EPW	1	22557891	warning	49957243	2
ENCAN322IWG	ENCSR000EPW	2	27399352	warning	49957243	2
ENCAN641QDE	ENCSR678ILN	1	31475418	warning	293315872	2
ENCAN641QDE	ENCSR678ILN	2	261840454	pass	293315872	2
ENCAN367JFH	ENCSR674JIL	1	22866551	warning	22866551	1
ENCAN132ZOL	ENCSR946MVP	1	285041876	pass	653203818	2
ENCAN132ZOL	ENCSR946MVP	2	368161942	pass	653203818	2
ENCAN242DFH	ENCSR095GWE	1	39477338	warning	392194796	2
ENCAN242DFH	ENCSR095GWE	2	352717458	pass	392194796	2
ENCAN748FUJ	ENCSR691MQJ	1	313209313	pass	365109734	2
ENCAN748FUJ	ENCSR691MQJ	2	51900421	pass	365109734	2
ENCAN377PHR	ENCSR594NOE	1	297017306	pass	523690252	2
ENCAN377PHR	ENCSR594NOE	2	226672946	pass	523690252	2
ENCAN263FQA	ENCSR098PTC	1	249244062	pass	472673356	2
ENCAN263FQA	ENCSR098PTC	2	223429294	pass	472673356	2
ENCAN701VQV	ENCSR062DXC	1	23043593	warning	23043593	1
ENCAN958EIL	ENCSR440QMR	1	20236943	warning	20236943	1
ENCAN572TIH	ENCSR385SZQ	1	217689770	pass	217689770	1
ENCAN850VXT	ENCSR786FWF	1	29087282	warning	29087282	1
ENCAN923PXX	ENCSR772HUG	1	19313887	not_compliant	19313887	1
ENCAN540LEF	ENCSR127PWK	1	371832462	pass	371832462	1
ENCAN441SWJ	ENCSR166KPV	1	234267320	pass	689249210	2
ENCAN441SWJ	ENCSR166KPV	2	454981890	pass	689249210	2
ENCAN152CWH	ENCSR621ENC	1	311686340	pass	393960363	2
ENCAN152CWH	ENCSR621ENC	2	82274023	pass	393960363	2
ENCAN554JGJ	ENCSR429RHR	1	204516088	pass	452257454	2
ENCAN554JGJ	ENCSR429RHR	2	247741366	pass	452257454	2
ENCAN008HUN	ENCSR082XEU	1	24638803	warning	24638803	1
ENCAN463MNR	ENCSR593LTJ	1	244249100	pass	718734420	2
ENCAN463MNR	ENCSR593LTJ	2	474485320	pass	718734420	2
ENCAN447NWD	ENCSR136KEL	1	220735022	pass	521203088	2
ENCAN447NWD	ENCSR136KEL	2	300468066	pass	521203088	2
ENCAN202OKC	ENCSR963ALV	1	331199958	pass	671223088	2
ENCAN202OKC	ENCSR963ALV	2	340023130	pass	671223088	2
ENCAN345MSG	ENCSR373BIX	1	349677086	pass	526125220	2
ENCAN345MSG	ENCSR373BIX	2	176448134	pass	526125220	2
ENCAN009BGJ	ENCSR444VTC	1	26444729	warning	26444729	1
ENCAN696VDM	ENCSR129KIV	1	24787099	warning	24787099	1
ENCAN159QLZ	ENCSR115YPI	1	242646960	pass	242646960	1
ENCAN200CTH	ENCSR217YRJ	1	30057126	warning	30057126	1
ENCAN031NME	ENCSR412NMI	1	202532182	pass	202532182	1
ENCAN672OTQ	ENCSR224IYD	1	262392142	pass	752314778	2
ENCAN672OTQ	ENCSR224IYD	2	489922636	pass	752314778	2
ENCAN940LHA	ENCSR940NLN	1	80466210	pass	379024492	2
ENCAN940LHA	ENCSR940NLN	2	298558282	pass	379024492	2
ENCAN584ATW	ENCSR405TXU	1	297657600	pass	345211732	2
ENCAN584ATW	ENCSR405TXU	2	47554132	warning	345211732	2
ENCAN909FTS	ENCSR564JUY	1	148104588	pass	483682054	2
ENCAN909FTS	ENCSR564JUY	2	335577466	pass	483682054	2
ENCAN832MJX	ENCSR037PGI	1	356434346	pass	569401906	2
ENCAN832MJX	ENCSR037PGI	2	212967560	pass	569401906	2
ENCAN653LKZ	ENCSR789VGQ	1	230296279	pass	230296279	1
ENCAN356NYH	ENCSR639ZJI	1	23797863	warning	23797863	1
ENCAN368GRT	ENCSR973MKT	1	24741055	warning	24741055	1
ENCAN429OFT	ENCSR119HXE	1	27993050	warning	27993050	1
ENCAN136RQD	ENCSR937RVN	1	26554925	warning	26554925	1
ENCAN954LBU	ENCSR855FOP	1	305750332	pass	611484819	2
ENCAN954LBU	ENCSR855FOP	2	305734487	pass	611484819	2
ENCAN485PEZ	ENCSR845CFB	1	92440478	pass	762006572	3
ENCAN485PEZ	ENCSR845CFB	2	275963372	pass	762006572	3
ENCAN485PEZ	ENCSR845CFB	3	393602722	pass	762006572	3
ENCAN809TVR	ENCSR019JDO	1	452332678	pass	666578596	2
ENCAN809TVR	ENCSR019JDO	2	214245918	pass	666578596	2
ENCAN561QZZ	ENCSR301RCD	1	30585813	warning	30585813	1
ENCAN066VHO	ENCSR347CEH	1	31816267	warning	133778644	4
ENCAN066VHO	ENCSR347CEH	2	45548885	warning	133778644	4
ENCAN066VHO	ENCSR347CEH	3	22914941	warning	133778644	4
ENCAN066VHO	ENCSR347CEH	5	33498551	warning	133778644	4
ENCAN534QOH	ENCSR258IBL	1	29225950	warning	29225950	1
ENCAN862TMM	ENCSR000ENE	1	35455938	warning	67740171	2
ENCAN862TMM	ENCSR000ENE	2	32284233	warning	67740171	2
ENCAN083VXT	ENCSR000ENG	1	24587557	warning	49864061	2
ENCAN083VXT	ENCSR000ENG	2	25276504	warning	49864061	2
ENCAN205OCU	ENCSR295ELC	1	27263870	warning	27263870	1
ENCAN834JPN	ENCSR214QEO	1	34249961	warning	34249961	1
ENCAN416VGY	ENCSR136DNA	2	16825365	not_compliant	95025247	4
ENCAN416VGY	ENCSR136DNA	3	26064570	warning	95025247	4
ENCAN416VGY	ENCSR136DNA	4	22626375	warning	95025247	4
ENCAN416VGY	ENCSR136DNA	5	29508937	warning	95025247	4
ENCAN204MPS	ENCSR000EPK	2	76326299	pass	76326299	1
ENCAN970ZYW	ENCSR000ELY	1	22224225	warning	50667871	2
ENCAN970ZYW	ENCSR000ELY	2	28443646	warning	50667871	2
ENCAN578XVD	ENCSR303YII	1	33067811	warning	33067811	1
ENCAN934UBM	ENCSR000ENC	1	39982004	warning	68347058	2
ENCAN934UBM	ENCSR000ENC	2	28365054	warning	68347058	2
ENCAN948NKY	ENCSR000EPT	1	22144275	warning	44141821	2
ENCAN948NKY	ENCSR000EPT	2	21997546	warning	44141821	2
ENCAN984AZS	ENCSR286WIA	1	34086939	warning	34086939	1
ENCAN252PCM	ENCSR000EMM	1	19615721	not_compliant	19615721	1
ENCAN458SGR	ENCSR000EQN	1	20044972	warning	41154048	2
ENCAN458SGR	ENCSR000EQN	2	21109076	warning	41154048	2
ENCAN950RLC	ENCSR670VQZ	1	27269109	warning	27269109	1
ENCAN883XWC	ENCSR000EOM	1	19277504	not_compliant	41275010	2
ENCAN883XWC	ENCSR000EOM	2	21997506	warning	41275010	2
ENCAN876HJD	ENCSR000EMP	1	30870575	warning	61219824	2
ENCAN876HJD	ENCSR000EMP	2	30349249	warning	61219824	2
ENCAN669UZV	ENCSR000EQM	1	24500107	warning	48167729	2
ENCAN669UZV	ENCSR000EQM	2	23667622	warning	48167729	2
ENCAN091IKS	ENCSR000EMO	1	33540949	warning	57387064	2
ENCAN091IKS	ENCSR000EMO	2	23846115	warning	57387064	2
ENCAN481ZHN	ENCSR000ELW	1	207630574	pass	238426887	2
ENCAN481ZHN	ENCSR000ELW	2	30796313	warning	238426887	2
ENCAN547JFM	ENCSR000EPV	1	318533661	pass	358632052	2
ENCAN547JFM	ENCSR000EPV	2	40098391	warning	358632052	2
ENCAN065MYQ	ENCSR228VNQ	2	238898119	pass	238898119	1
ENCAN141NKF	ENCSR930YSB	1	62808551	pass	62808551	1
ENCAN250YRN	ENCSR683YLO	1	61266330	pass	61266330	1
ENCAN111JDT	ENCSR000EMR	1	21585366	warning	21585366	1
ENCAN798GNV	ENCSR453EVC	1	30293901	warning	30293901	1
ENCAN682WJZ	ENCSR000EQB	1	252876225	pass	287977118	2
ENCAN682WJZ	ENCSR000EQB	2	35100893	warning	287977118	2
ENCAN027OKL	ENCSR554WUJ	1	55692585	pass	55692585	1
ENCAN735GZD	ENCSR518JGY	1	73183307	pass	73183307	1
ENCAN044KCP	ENCSR325LYJ	1	233464365	pass	233464365	1
ENCAN199GUS	ENCSR660OQE	1	17538320	not_compliant	128191104	5
ENCAN199GUS	ENCSR660OQE	2	21963506	warning	128191104	5
ENCAN199GUS	ENCSR660OQE	3	33085649	warning	128191104	5
ENCAN199GUS	ENCSR660OQE	4	26210379	warning	128191104	5
ENCAN199GUS	ENCSR660OQE	5	29393250	warning	128191104	5
ENCAN573AUX	ENCSR062DUU	1	34450254	warning	34450254	1
ENCAN625UHZ	ENCSR704HNG	1	652687435	pass	652687435	1
ENCAN397UIM	ENCSR874CAK	1	66888168	pass	66888168	1
ENCAN170JTX	ENCSR294XUZ	1	21607554	warning	103218986	4
ENCAN170JTX	ENCSR294XUZ	2	20620267	warning	103218986	4
ENCAN170JTX	ENCSR294XUZ	3	31831290	warning	103218986	4
ENCAN170JTX	ENCSR294XUZ	5	29159875	warning	103218986	4
ENCAN769NKF	ENCSR731QLJ	1	366852927	pass	366852927	1
ENCAN691ZXC	ENCSR622TWS	1	249604566	pass	249604566	1
ENCAN580ZUV	ENCSR683QJJ	1	331448127	pass	331448127	1
ENCAN788CQH	ENCSR000EMW	1	42184194	warning	70099273	2
ENCAN788CQH	ENCSR000EMW	2	27915079	warning	70099273	2
ENCAN692CPY	ENCSR384KCZ	1	22271599	warning	134860698	5
ENCAN692CPY	ENCSR384KCZ	2	19964006	not_compliant	134860698	5
ENCAN692CPY	ENCSR384KCZ	3	34679709	warning	134860698	5
ENCAN692CPY	ENCSR384KCZ	4	24182373	warning	134860698	5
ENCAN692CPY	ENCSR384KCZ	5	33763011	warning	134860698	5
ENCAN806QUT	ENCSR129TSG	1	72424176	pass	72424176	1
ENCAN749DFX	ENCSR184LMY	1	268146749	pass	268146749	1
ENCAN667MZO	ENCSR840TVG	1	36299512	warning	36299512	1
ENCAN272RCW	ENCSR796SJV	1	79390571	pass	79390571	1
ENCAN200JBD	ENCSR033DQS	1	31073461	warning	31073461	1
ENCAN260NIW	ENCSR000EOP	1	28227621	warning	53771766	2
ENCAN260NIW	ENCSR000EOP	2	25544145	warning	53771766	2
ENCAN620MLR	ENCSR217RVH	1	292534511	pass	292534511	1
ENCAN555AEW	ENCSR782SSS	1	41097854	warning	41097854	1
ENCAN619QUQ	ENCSR770DEN	1	258909739	pass	258909739	1
ENCAN778KHM	ENCSR540PVZ	1	26201658	warning	26201658	1
ENCAN630BVJ	ENCSR000EPQ	1	23796928	warning	55949047	2
ENCAN630BVJ	ENCSR000EPQ	2	32152119	warning	55949047	2
ENCAN457TRN	ENCSR383BLX	1	316333121	pass	316333121	1
ENCAN584TKY	ENCSR035QHH	1	367943292	pass	367943292	1
ENCAN581ALL	ENCSR000EMF	1	34090546	warning	34090546	1
ENCAN450CRC	ENCSR122VUW	1	33556918	warning	86838783	2
ENCAN450CRC	ENCSR122VUW	2	53281865	pass	86838783	2
ENCAN702DIW	ENCSR000EPM	1	196767444	pass	219538839	2
ENCAN702DIW	ENCSR000EPM	2	22771395	warning	219538839	2
ENCAN575ETU	ENCSR000EMJ	1	232530483	pass	265421100	2
ENCAN575ETU	ENCSR000EMJ	2	32890617	warning	265421100	2
ENCAN580CGH	ENCSR000EPZ	1	155340528	pass	182853714	2
ENCAN580CGH	ENCSR000EPZ	2	27513186	warning	182853714	2
ENCAN999FSO	ENCSR000EML	1	268639878	pass	268639878	1
ENCAN484BOE	ENCSR000EPD	1	37199149	warning	282971343	2
ENCAN484BOE	ENCSR000EPD	2	245772194	pass	282971343	2
ENCAN667ZCC	ENCSR000EPE	1	205455505	pass	243684482	2
ENCAN667ZCC	ENCSR000EPE	2	38228977	warning	243684482	2
ENCAN270GIO	ENCSR000EPG	1	360466690	pass	409361148	2
ENCAN270GIO	ENCSR000EPG	2	48894458	warning	409361148	2
ENCAN722MXE	ENCSR000EPO	1	230503704	pass	271940284	2
ENCAN722MXE	ENCSR000EPO	2	41436580	warning	271940284	2
ENCAN517CSJ	ENCSR000EMQ	1	121179329	pass	137411330	2
ENCAN517CSJ	ENCSR000EMQ	2	16232001	not_compliant	137411330	2
ENCAN648NWG	ENCSR000EOO	1	585399301	pass	619454138	2
ENCAN648NWG	ENCSR000EOO	2	34054837	warning	619454138	2
ENCAN403XCH	ENCSR000EPI	1	44746057	warning	117695337	2
ENCAN403XCH	ENCSR000EPI	2	72949280	pass	117695337	2
ENCAN474TVC	ENCSR000EOK	1	215140362	pass	237183425	2
ENCAN474TVC	ENCSR000EOK	2	22043063	warning	237183425	2
ENCAN263GZD	ENCSR000EOR	1	249452481	pass	271731608	2
ENCAN263GZD	ENCSR000EOR	2	22279127	warning	271731608	2
ENCAN046OPO	ENCSR000EMG	1	39576336	warning	39576336	1
ENCAN442ZBU	ENCSR000ENV	1	30795569	warning	54793350	2
ENCAN442ZBU	ENCSR000ENV	2	23997781	warning	54793350	2
ENCAN130XHF	ENCSR000ENT	1	206101679	pass	239904603	2
ENCAN130XHF	ENCSR000ENT	2	33802924	warning	239904603	2
ENCAN129NRN	ENCSR000EQG	1	18880967	not_compliant	339508469	2
ENCAN129NRN	ENCSR000EQG	2	320627502	pass	339508469	2
ENCAN261KXH	ENCSR434OBM	1	82010714	pass	82010714	1
ENCAN511VYT	ENCSR033STL	1	88142740	pass	88142740	1
ENCAN331EIN	ENCSR000EOH	1	217179406	pass	243836141	2
ENCAN331EIN	ENCSR000EOH	2	26656735	warning	243836141	2
ENCAN645YRK	ENCSR299BQG	1	95899028	pass	95899028	1
ENCAN067TYJ	ENCSR116WWW	1	62157363	pass	62157363	1
ENCAN919CBR	ENCSR133SPH	1	29045440	warning	29045440	1
ENCAN273DBM	ENCSR278FVO	1	72210025	pass	72210025	1
ENCAN075FAU	ENCSR000ENI	1	333253313	pass	364592633	2
ENCAN075FAU	ENCSR000ENI	2	31339320	warning	364592633	2
ENCAN776IOM	ENCSR536NGW	1	24963696	warning	24963696	1
ENCAN719RCQ	ENCSR000EIZ	1	985967	not_compliant	985967	1
ENCAN230NQB	ENCSR316UDN	1	358986765	pass	358986765	1
ENCAN946JEH	ENCSR000ENW	1	26870414	warning	293141240	2
ENCAN946JEH	ENCSR000ENW	2	266270826	pass	293141240	2
ENCAN139SME	ENCSR000EQD	1	268550411	pass	268550411	1
ENCAN995AWL	ENCSR000END	1	264995232	pass	290718797	2
ENCAN995AWL	ENCSR000END	2	25723565	warning	290718797	2
ENCAN854SOP	ENCSR000ENL	1	236166353	pass	262820221	2
ENCAN854SOP	ENCSR000ENL	2	26653868	warning	262820221	2
ENCAN540IRV	ENCSR000EQI	1	310637206	pass	310637206	1
ENCAN967KQP	ENCSR000EQJ	1	235811314	pass	235811314	1
ENCAN855TUO	ENCSR036VRV	1	24477059	warning	24477059	1
ENCAN261NSX	ENCSR020LUD	1	620876041	pass	620876041	1
ENCAN744FSG	ENCSR000EOI	1	265508018	pass	285439091	2
ENCAN744FSG	ENCSR000EOI	2	19931073	not_compliant	285439091	2
ENCAN781WVZ	ENCSR000ENS	1	365623425	pass	387882867	2
ENCAN781WVZ	ENCSR000ENS	2	22259442	warning	387882867	2
ENCAN054TGT	ENCSR426TPQ	1	294988066	pass	294988066	1
ENCAN125HSH	ENCSR251UPG	1	66873124	pass	66873124	1
ENCAN938OQQ	ENCSR092WMD	1	31752245	warning	31752245	1
ENCAN426UXU	ENCSR956NOL	1	19209462	not_compliant	19209462	1
ENCAN273LMB	ENCSR517NHP	1	82513740	pass	82513740	1
ENCAN698EZV	ENCSR000EQF	1	209028159	pass	209028159	1
ENCAN902UVR	ENCSR000EMZ	1	240623978	pass	262633663	2
ENCAN902UVR	ENCSR000EMZ	2	22009685	warning	262633663	2
ENCAN662YPY	ENCSR167JFX	1	622303338	pass	622303338	1
ENCAN088FLU	ENCSR128IVG	1	25226715	warning	131660464	4
ENCAN088FLU	ENCSR128IVG	2	45330949	warning	131660464	4
ENCAN088FLU	ENCSR128IVG	3	28916812	warning	131660464	4
ENCAN088FLU	ENCSR128IVG	5	32185988	warning	131660464	4
ENCAN166OCD	ENCSR724CND	1	61755280	pass	61755280	1
ENCAN173YEI	ENCSR047FNH	1	52645858	pass	52645858	1
ENCAN490BWZ	ENCSR320PGJ	1	32012110	warning	32012110	1
ENCAN269VCZ	ENCSR414ZUA	1	25303613	warning	25303613	1
ENCAN093DOE	ENCSR385AMY	1	77622158	pass	77622158	1
ENCAN850YBZ	ENCSR452DCM	1	403606205	pass	403606205	1
ENCAN604TNV	ENCSR531HPD	1	26061617	warning	26061617	1
ENCAN149BHW	ENCSR000EMV	1	69009584	pass	69009584	1
ENCAN337MEJ	ENCSR656QYL	1	55035342	pass	55035342	1
ENCAN356PLU	ENCSR141NSQ	1	72749908	pass	72749908	1
ENCAN571DHS	ENCSR000ENY	1	218889583	pass	261220863	2
ENCAN571DHS	ENCSR000ENY	2	42331280	warning	261220863	2
ENCAN259FHL	ENCSR000EQC	1	167766700	pass	526859171	2
ENCAN259FHL	ENCSR000EQC	2	359092471	pass	526859171	2
ENCAN811YYC	ENCSR000EMC	1	30639778	warning	348912128	2
ENCAN811YYC	ENCSR000EMC	2	318272350	pass	348912128	2
ENCAN269PMQ	ENCSR367FKP					
ENCAN944ONC	ENCSR593WXK					
ENCAN882MXM	ENCSR464ETX					
ENCAN711PKS	ENCSR803BLT					
ENCAN510NTH	ENCSR483PGP					
ENCAN837VCE	ENCSR139KYP					
ENCAN225JTO	ENCSR566XSD					
ENCAN869JOY	ENCSR941MHZ					
ENCAN169BWB	ENCSR325GNM					
ENCAN589AXX	ENCSR564XXO					
ENCAN738GCW	ENCSR405FAK					
ENCAN846PVC	ENCSR553WJB	1	105985272	pass	105985272	1
ENCAN355IBM	ENCSR506QJJ	1	183591026	pass	353346104	2
ENCAN355IBM	ENCSR506QJJ	2	169755078	pass	353346104	2
ENCAN338GEM	ENCSR251INE	1	167381558	pass	167381558	1
ENCAN488PQL	ENCSR732IFV	1	310508644	pass	310508644	1
ENCAN924RWZ	ENCSR544KDB	1	38317259	warning	38317259	1
ENCAN222ABT	ENCSR245AXW	1	197147936	pass	197147936	1
ENCAN770NAU	ENCSR322BYN	1	13819776	not_compliant	13819776	1
ENCAN867DNG	ENCSR934IKS	1	57240356	pass	57240356	1
ENCAN465SRC	ENCSR932OSG	1	67940424	pass	67940424	1
ENCAN294IWB	ENCSR920JUM	1	104036180	pass	104036180	1
ENCAN967GWU	ENCSR266NDC	1	31164880	warning	31164880	1
ENCAN465UOQ	ENCSR688OIJ	1	22917066	warning	22917066	1
ENCAN933SKK	ENCSR540VTN	1	64951096	pass	64951096	1
ENCAN140PRP	ENCSR962EAP	1	45890372	warning	45890372	1
ENCAN599HBH	ENCSR933GMM	1	177707062	pass	177707062	1
ENCAN500NHM	ENCSR561ZLY	1	182803310	pass	182803310	1
ENCAN665JXR	ENCSR791BHE	1	99336272	pass	99336272	1
ENCAN729XDW	ENCSR323PWV	1	43083262	warning	43083262	1
ENCAN293DPI	ENCSR419CKG	1	30617340	warning	30617340	1
ENCAN257HGN	ENCSR457JOG	1	81701162	pass	81701162	1
ENCAN276LVO	ENCSR197BFD	1	210348914	pass	210348914	1
ENCAN263XOS	ENCSR984HIY	1	27169442	warning	27169442	1
ENCAN466LMN	ENCSR006IMH	1	182448692	pass	182448692	1
ENCAN285PHV	ENCSR612CTW	1	241010498	pass	241010498	1
ENCAN913XBQ	ENCSR090IDV	1	238029090	pass	238029090	1
ENCAN844SJN	ENCSR798XLO	1	235189038	pass	235189038	1
ENCAN450VSC	ENCSR053ZKP	1	238775990	pass	238775990	1
ENCAN605VUM	ENCSR128GBN	1	295784420	pass	295784420	1
ENCAN787OLE	ENCSR424JPH	1	148121890	pass	148121890	1
ENCAN535XOO	ENCSR242RPQ	1	208181082	pass	208181082	1
ENCAN379AEK	ENCSR254BCA	1	28639136	warning	28639136	1
ENCAN220RSK	ENCSR336QAO	1	182400038	pass	182400038	1
ENCAN589NPU	ENCSR452RAX	1	198454636	pass	198454636	1
ENCAN719VIJ	ENCSR455GUW	1	83201100	pass	83201100	1
ENCAN041IMH	ENCSR141IUS	1	256876646	pass	256876646	1
ENCAN881GJW	ENCSR141VGA	1	288200688	pass	288200688	1
ENCAN565GEU	ENCSR164WOF	1	221571640	pass	221571640	1
ENCAN728DXS	ENCSR164PQJ	1	82430344	pass	82430344	1
ENCAN373VOT	ENCSR824YLD	1	51902298	pass	51902298	1
ENCAN048URF	ENCSR559QCM	1	164050308	pass	164050308	1
ENCAN666ZWW	ENCSR705GCU	1	234728290	pass	234728290	1
ENCAN209MPJ	ENCSR464TKV	1	194835386	pass	194835386	1
ENCAN844WTE	ENCSR567IWT	1	231395448	pass	231395448	1
ENCAN745MFF	ENCSR520BAD	1	196548678	pass	196548678	1
ENCAN077MOM	ENCSR628NEA	1	242443982	pass	242443982	1
ENCAN242SWN	ENCSR940UEK	1	220383306	pass	220383306	1
ENCAN631UUA	ENCSR424MWH	1	213690140	pass	213690140	1
ENCAN287OIE	ENCSR539WBA	1	195868246	pass	195868246	1
ENCAN638MLI	ENCSR458AOS	1	281820274	pass	281820274	1
ENCAN298OMW	ENCSR635VQU	1	163539914	pass	163539914	1
ENCAN354XIC	ENCSR006IJP	1	35478179	warning	35478179	1
ENCAN405TLF	ENCSR006XED	1	11575032	not_compliant	11575032	1
ENCAN579AAH	ENCSR076YBB	1	21577453	warning	21577453	1
ENCAN587DMJ	ENCSR930USX	1	56913518	pass	56913518	1
ENCAN717XJN	ENCSR883WDW	1	248166238	pass	248166238	1
ENCAN807VLS	ENCSR408GYQ	1	278098604	pass	278098604	1
ENCAN316BQH	ENCSR549NRK	1	196047644	pass	196047644	1
ENCAN902KEX	ENCSR036ELY	1	52473724	pass	52473724	1
ENCAN099DDP	ENCSR819GAF	1	144743042	pass	144743042	1
ENCAN128NNU	ENCSR325FWM	1	200386748	pass	200386748	1
ENCAN320NEA	ENCSR116UQH	1	142977572	pass	142977572	1
ENCAN001QCQ	ENCSR163GMC	1	82385210	pass	82385210	1
ENCAN053YZY	ENCSR238FMP	1	134710084	pass	134710084	1
ENCAN528LKD	ENCSR222CLC	1	200569792	pass	200569792	1
ENCAN053BAT	ENCSR240TZG	1	47145902	warning	47145902	1
ENCAN312WCF	ENCSR241BNZ	1	179755166	pass	179755166	1
ENCAN470RCC	ENCSR215DXT	1	97206886	pass	97206886	1
ENCAN274JQW	ENCSR333BUP	1	126509200	pass	126509200	1
ENCAN612AZF	ENCSR395HAE	1	189236690	pass	189236690	1
ENCAN038FKW	ENCSR299QGI	1	193331564	pass	193331564	1
ENCAN308JMP	ENCSR060MJY	1	158458112	pass	158458112	1
ENCAN475FKX	ENCSR566HLQ	1	24146668	warning	24146668	1
ENCAN409TJG	ENCSR541JMK	1	236427630	pass	236427630	1
ENCAN181ZBQ	ENCSR416QNA	1	18898126	not_compliant	18898126	1
ENCAN581ZTD	ENCSR058VBM	1	193915040	pass	193915040	1
ENCAN154NLQ	ENCSR060ZXQ	1	34386602	warning	34386602	1
ENCAN069YET	ENCSR126EVX	1	96384898	pass	96384898	1
ENCAN959UCR	ENCSR787ERP	1	28968822	warning	28968822	1
ENCAN957CXG	ENCSR778DWG	1	40114526	warning	40114526	1
ENCAN904ZOB	ENCSR000EOQ	2	31477814	warning	442000420	2
ENCAN904ZOB	ENCSR000EOQ	1	410522606	pass	442000420	2
ENCAN797YSM	ENCSR124IMM	1	136809208	pass	136809208	1
ENCAN063JLC	ENCSR524QBS	1	202890576	pass	202890576	1
ENCAN305ENF	ENCSR351FWN	1	133857416	pass	133857416	1
ENCAN270PAM	ENCSR035SZE	1	124204110	pass	124204110	1
ENCAN516ZAK	ENCSR518WRP	1	159120080	pass	159120080	1
ENCAN771AFJ	ENCSR647WPA	1	15970458	not_compliant	15970458	1
ENCAN484CNL	ENCSR962VJO	1	205837538	pass	205837538	1
ENCAN670DCT	ENCSR030HFV	1	218055248	pass	390721688	2
ENCAN670DCT	ENCSR030HFV	2	172666440	pass	390721688	2
ENCAN794YTI	ENCSR635QIZ	1	44416100	warning	44416100	1
ENCAN800OLA	ENCSR711AQM	1	421602414	pass	421602414	1
ENCAN506QDF	ENCSR035RVH	1	195229785	pass	195229785	1
ENCAN885KFX	ENCSR001QTZ	1	147206832	pass	147206832	1
ENCAN531REE	ENCSR000EQA	2	32100242	warning	32100242	1
ENCAN752AUM	ENCSR508FVM	1	102816532	pass	102816532	1
ENCAN603VOK	ENCSR277KRY	1	180497178	pass	180497178	1
ENCAN975NRD	ENCSR693UHT	1	108453374	pass	108453374	1
ENCAN042VKS	ENCSR366KPR	1	41187814	warning	41187814	1
