record	group	tree	mean_patristic_distance	selected	processed	failed	median_mean_patristic_distance	ratio_fungi_to_animals
tree	fungi	855834at2759.faa.mafft.clipkit.treefile	2.5456807801500001	.	.	.	.	.
tree	fungi	865202at2759.faa.mafft.clipkit.treefile	1.7292463459166667	.	.	.	.	.
tree	fungi	866359at2759.faa.mafft.clipkit.treefile	0.85503708746666662	.	.	.	.	.
tree	fungi	869548at2759.faa.mafft.clipkit.treefile	1.8137161844333334	.	.	.	.	.
tree	fungi	878143at2759.faa.mafft.clipkit.treefile	1.5230639838666666	.	.	.	.	.
tree	fungi	87842at2759.faa.mafft.clipkit.treefile	1.8598256931166666	.	.	.	.	.
tree	fungi	887370at2759.faa.mafft.clipkit.treefile	1.7936240491166666	.	.	.	.	.
tree	fungi	891751at2759.faa.mafft.clipkit.treefile	2.3071621701166669	.	.	.	.	.
tree	fungi	898782at2759.faa.mafft.clipkit.treefile	2.2209618738833332	.	.	.	.	.
tree	fungi	901894at2759.faa.mafft.clipkit.treefile	1.7333503108166668	.	.	.	.	.
tree	fungi	905026at2759.faa.mafft.clipkit.treefile	1.7686911280666666	.	.	.	.	.
tree	fungi	911863at2759.faa.mafft.clipkit.treefile	2.0354029436833332	.	.	.	.	.
tree	fungi	917326at2759.faa.mafft.clipkit.treefile	1.3733009997166667	.	.	.	.	.
tree	fungi	918816at2759.faa.mafft.clipkit.treefile	1.9050792609500002	.	.	.	.	.
tree	fungi	919955at2759.faa.mafft.clipkit.treefile	1.5072276001333331	.	.	.	.	.
tree	fungi	923657at2759.faa.mafft.clipkit.treefile	2.1811815775166665	.	.	.	.	.
tree	fungi	924753at2759.faa.mafft.clipkit.treefile	1.8279958533	.	.	.	.	.
tree	fungi	931188at2759.faa.mafft.clipkit.treefile	2.1353808210666667	.	.	.	.	.
tree	fungi	939345at2759.faa.mafft.clipkit.treefile	2.1211432808000001	.	.	.	.	.
tree	fungi	944899at2759.faa.mafft.clipkit.treefile	0.6120044969166667	.	.	.	.	.
tree	fungi	946128at2759.faa.mafft.clipkit.treefile	1.868286635	.	.	.	.	.
tree	fungi	97116at2759.faa.mafft.clipkit.treefile	1.5273289059333333	.	.	.	.	.
tree	fungi	973442at2759.faa.mafft.clipkit.treefile	1.8439660878833333	.	.	.	.	.
tree	fungi	974865at2759.faa.mafft.clipkit.treefile	1.2751336016833332	.	.	.	.	.
tree	fungi	975158at2759.faa.mafft.clipkit.treefile	1.6630886949166666	.	.	.	.	.
tree	fungi	975557at2759.faa.mafft.clipkit.treefile	2.1082023057999999	.	.	.	.	.
tree	fungi	981902at2759.faa.mafft.clipkit.treefile	2.7195450858000001	.	.	.	.	.
tree	fungi	996662at2759.faa.mafft.clipkit.treefile	1.3109191007500001	.	.	.	.	.
failure	fungi	1038775at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	1049599at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	1053181at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	1085752at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	1090038at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	1106766at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	1108845at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	1111142at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	1173229at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	1266231at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	1287401at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	1314980at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	1322642at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	1364586at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	1377237at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	1380409at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	1382842at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	1395649at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	142542at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	1455730at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	1558822at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	156083at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	1626636at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	261328at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	261419at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	306227at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	345441at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	549762at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	604979at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	625387at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	679187at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	679771at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	844748at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	858842at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	937275at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	937686at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	956854at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
failure	fungi	976469at2759.faa.mafft.clipkit.treefile	expected 4 tips, found 3	.	.	.	.	.
ratio	fungi/animals	.	.	.	.	.	.	1.8937635037181524
