metric	marker_cell_type	gene	column	value
raw	Horizontal	ONECUT2	Mullerglia	1766
cpm	Horizontal	ONECUT2	Mullerglia	18.70857008
raw	Horizontal	ONECUT2	Retinalganglioncell	491
cpm	Horizontal	ONECUT2	Retinalganglioncell	23.3646472
raw	Horizontal	ONECUT2	Rod	12445
cpm	Horizontal	ONECUT2	Rod	30.09340992
raw	GABAamacrine	GAD1	AIIamacrine	172
cpm	GABAamacrine	GAD1	AIIamacrine	14.53095063
raw	GABAamacrine	GAD1	Astrocyte	139
cpm	GABAamacrine	GAD1	Astrocyte	18.45725009
raw	GABAamacrine	GAD1	Cone	1721
cpm	GABAamacrine	GAD1	Cone	35.5552632
raw	GABAamacrine	GAD1	GABAamacrine	1526
cpm	GABAamacrine	GAD1	GABAamacrine	41.22564435
raw	GABAamacrine	GAD1	Horizontal	270
cpm	GABAamacrine	GAD1	Horizontal	8.533281282
raw	GABAamacrine	GAD1	Microglia	160
cpm	GABAamacrine	GAD1	Microglia	19.61897979
raw	GABAamacrine	GAD1	Mullerglia	2859
cpm	GABAamacrine	GAD1	Mullerglia	30.28754352
raw	GABAamacrine	GAD1	Retinalganglioncell	204
cpm	GABAamacrine	GAD1	Retinalganglioncell	9.707511258
raw	GABAamacrine	GAD1	Rod	12008
cpm	GABAamacrine	GAD1	Rod	29.03669476
raw	GABAamacrine	GAD1_article	AIIamacrine	335
cpm	GABAamacrine	GAD1_article	AIIamacrine	28.30156082
raw	GABAamacrine	GAD1_article	Astrocyte	278
cpm	GABAamacrine	GAD1_article	Astrocyte	36.91450018
raw	GABAamacrine	GAD1_article	Cone	2628
cpm	GABAamacrine	GAD1_article	Cone	54.29356867
raw	GABAamacrine	GAD1_article	GABAamacrine	3708
cpm	GABAamacrine	GAD1_article	GABAamacrine	100.173453
raw	GABAamacrine	GAD1_article	Horizontal	516
cpm	GABAamacrine	GAD1_article	Horizontal	16.30804867
raw	GABAamacrine	GAD1_article	Microglia	257
cpm	GABAamacrine	GAD1_article	Microglia	31.51298629
raw	GABAamacrine	GAD1_article	Mullerglia	5390
cpm	GABAamacrine	GAD1_article	Mullerglia	57.10033563
raw	GABAamacrine	GAD1_article	Retinalganglioncell	492
cpm	GABAamacrine	GAD1_article	Retinalganglioncell	23.41223303
raw	GABAamacrine	GAD1_article	Rod	18611
cpm	GABAamacrine	GAD1_article	Rod	45.00349152
raw	GABAamacrine	SLC32A1	AIIamacrine	754
cpm	GABAamacrine	SLC32A1	AIIamacrine	63.69963241
raw	GABAamacrine	SLC32A1	Astrocyte	39
cpm	GABAamacrine	SLC32A1	Astrocyte	5.178652902
raw	GABAamacrine	SLC32A1	Cone	255
cpm	GABAamacrine	SLC32A1	Cone	5.268211572
raw	GABAamacrine	SLC32A1	GABAamacrine	2480
cpm	GABAamacrine	SLC32A1	GABAamacrine	66.99842594
raw	GABAamacrine	SLC32A1	Horizontal	1208
cpm	GABAamacrine	SLC32A1	Horizontal	38.17853255
raw	GABAamacrine	SLC32A1	Microglia	84
cpm	GABAamacrine	SLC32A1	Microglia	10.29996439
raw	GABAamacrine	SLC32A1	Mullerglia	455
cpm	GABAamacrine	SLC32A1	Mullerglia	4.820158202
raw	GABAamacrine	SLC32A1	Retinalganglioncell	85
cpm	GABAamacrine	SLC32A1	Retinalganglioncell	4.044796358
raw	GABAamacrine	SLC32A1	Rod	1269
cpm	GABAamacrine	SLC32A1	Rod	3.068584748
raw	Astrocyte	S100B	AIIamacrine	12
cpm	Astrocyte	S100B	AIIamacrine	1.013787253
raw	Astrocyte	S100B	Astrocyte	107
cpm	Astrocyte	S100B	Astrocyte	14.20809899
raw	Astrocyte	S100B	Cone	131
cpm	Astrocyte	S100B	Cone	2.706414572
raw	Astrocyte	S100B	GABAamacrine	158
cpm	Astrocyte	S100B	GABAamacrine	4.268448104
raw	Astrocyte	S100B	Horizontal	56
cpm	Astrocyte	S100B	Horizontal	1.769865747
raw	Astrocyte	S100B	Microglia	52
cpm	Astrocyte	S100B	Microglia	6.376168433
raw	Astrocyte	S100B	Mullerglia	247
cpm	Astrocyte	S100B	Mullerglia	2.61665731
raw	Astrocyte	S100B	Retinalganglioncell	165
cpm	Astrocyte	S100B	Retinalganglioncell	7.851663518
raw	Astrocyte	S100B	Rod	496
cpm	Astrocyte	S100B	Rod	1.199383794
raw	Microglia	CX3CR1	AIIamacrine	42
cpm	Microglia	CX3CR1	AIIamacrine	3.548255386
raw	Microglia	CX3CR1	Astrocyte	49
cpm	Microglia	CX3CR1	Astrocyte	6.506512621
raw	Microglia	CX3CR1	Cone	135
cpm	Microglia	CX3CR1	Cone	2.789053185
raw	Microglia	CX3CR1	GABAamacrine	335
cpm	Microglia	CX3CR1	GABAamacrine	9.050190601
raw	Microglia	CX3CR1	Horizontal	167
cpm	Microglia	CX3CR1	Horizontal	5.277992497
raw	Microglia	CX3CR1	Microglia	165
cpm	Microglia	CX3CR1	Microglia	20.23207291
raw	Microglia	CX3CR1	Mullerglia	564
cpm	Microglia	CX3CR1	Mullerglia	5.97487742
raw	Microglia	CX3CR1	Retinalganglioncell	94
cpm	Microglia	CX3CR1	Retinalganglioncell	4.473068913
raw	Microglia	CX3CR1	Rod	1004
cpm	Microglia	CX3CR1	Rod	2.427784939
raw	Rod	GNAT1	AIIamacrine	565
cpm	Rod	GNAT1	AIIamacrine	47.73248317
raw	Rod	GNAT1	Astrocyte	520
cpm	Rod	GNAT1	Astrocyte	69.04870536
raw	Rod	GNAT1	Cone	4297
cpm	Rod	GNAT1	Cone	88.7745299
raw	Rod	GNAT1	GABAamacrine	1399
cpm	Rod	GNAT1	GABAamacrine	37.79467657
raw	Rod	GNAT1	Horizontal	1608
cpm	Rod	GNAT1	Horizontal	50.82043075
raw	Rod	GNAT1	Microglia	691
cpm	Rod	GNAT1	Microglia	84.72946898
raw	Rod	GNAT1	Mullerglia	8630
cpm	Rod	GNAT1	Mullerglia	91.42409953
raw	Rod	GNAT1	Retinalganglioncell	747
cpm	Rod	GNAT1	Retinalganglioncell	35.54662211
raw	Rod	GNAT1	Rod	96255
cpm	Rod	GNAT1	Rod	232.7554176
raw	Astrocyte	ALDH1L1	AIIamacrine	30
cpm	Astrocyte	ALDH1L1	AIIamacrine	2.534468133
raw	Astrocyte	ALDH1L1	Astrocyte	37
cpm	Astrocyte	ALDH1L1	Astrocyte	4.913080959
raw	Astrocyte	ALDH1L1	Cone	46
cpm	Astrocyte	ALDH1L1	Cone	0.9503440483
raw	Astrocyte	ALDH1L1	GABAamacrine	50
cpm	Astrocyte	ALDH1L1	GABAamacrine	1.350774717
raw	Astrocyte	ALDH1L1	Horizontal	75
cpm	Astrocyte	ALDH1L1	Horizontal	2.370355912
raw	Astrocyte	ALDH1L1	Microglia	19
cpm	Astrocyte	ALDH1L1	Microglia	2.32975385
raw	Astrocyte	ALDH1L1	Mullerglia	348
cpm	Astrocyte	ALDH1L1	Mullerglia	3.686626493
raw	Astrocyte	ALDH1L1	Retinalganglioncell	54
cpm	Astrocyte	ALDH1L1	Retinalganglioncell	2.569635333
raw	Astrocyte	ALDH1L1	Rod	348
cpm	Astrocyte	ALDH1L1	Rod	0.841503146
raw	Rod	RHO	AIIamacrine	949
cpm	Rod	RHO	AIIamacrine	80.17367527
raw	Rod	RHO	Astrocyte	648
cpm	Rod	RHO	Astrocyte	86.04530976
raw	Rod	RHO	Cone	3910
cpm	Rod	RHO	Cone	80.77924411
raw	Rod	RHO	GABAamacrine	1719
cpm	Rod	RHO	GABAamacrine	46.43963476
raw	Rod	RHO	Horizontal	2082
cpm	Rod	RHO	Horizontal	65.80108011
raw	Rod	RHO	Microglia	999
cpm	Rod	RHO	Microglia	122.4960051
raw	Rod	RHO	Mullerglia	9513
cpm	Rod	RHO	Mullerglia	100.7783846
raw	Rod	RHO	Retinalganglioncell	800
cpm	Rod	RHO	Retinalganglioncell	38.0686716
raw	Rod	RHO	Rod	144919
cpm	Rod	RHO	Rod	350.4304437
raw	Microglia	P2RY12	AIIamacrine	6
cpm	Microglia	P2RY12	AIIamacrine	0.5068936266
raw	Microglia	P2RY12	Astrocyte	17
cpm	Microglia	P2RY12	Astrocyte	2.257361521
raw	Microglia	P2RY12	Cone	33
cpm	Microglia	P2RY12	Cone	0.6817685564
raw	Microglia	P2RY12	GABAamacrine	60
cpm	Microglia	P2RY12	GABAamacrine	1.62092966
raw	Microglia	P2RY12	Horizontal	65
cpm	Microglia	P2RY12	Horizontal	2.054308457
raw	Microglia	P2RY12	Microglia	65
cpm	Microglia	P2RY12	Microglia	7.970210541
raw	Microglia	P2RY12	Mullerglia	275
cpm	Microglia	P2RY12	Mullerglia	2.91328243
raw	Microglia	P2RY12	Retinalganglioncell	31
cpm	Microglia	P2RY12	Retinalganglioncell	1.475161025
raw	Microglia	P2RY12	Rod	111
cpm	Microglia	P2RY12	Rod	0.2684104862
raw	Rod	PDE6B	AIIamacrine	286
cpm	Rod	PDE6B	AIIamacrine	24.16192953
raw	Rod	PDE6B	Astrocyte	259
cpm	Rod	PDE6B	Astrocyte	34.39156671
raw	Rod	PDE6B	Cone	3213
cpm	Rod	PDE6B	Cone	66.37946581
raw	Rod	PDE6B	GABAamacrine	721
cpm	Rod	PDE6B	GABAamacrine	19.47817141
raw	Rod	PDE6B	Horizontal	800
cpm	Rod	PDE6B	Horizontal	25.28379639
raw	Rod	PDE6B	Microglia	319
cpm	Rod	PDE6B	Microglia	39.11534096
raw	Rod	PDE6B	Mullerglia	3265
cpm	Rod	PDE6B	Mullerglia	34.58860776
raw	Rod	PDE6B	Retinalganglioncell	390
cpm	Rod	PDE6B	Retinalganglioncell	18.55847741
raw	Rod	PDE6B	Rod	49142
cpm	Rod	PDE6B	Rod	118.8308839
raw	Retinalganglioncell	POU4F2	AIIamacrine	64
cpm	Retinalganglioncell	POU4F2	AIIamacrine	5.40686535
raw	Retinalganglioncell	POU4F2	Astrocyte	31
cpm	Retinalganglioncell	POU4F2	Astrocyte	4.116365127
raw	Retinalganglioncell	POU4F2	Cone	580
cpm	Retinalganglioncell	POU4F2	Cone	11.98259887
raw	Retinalganglioncell	POU4F2	GABAamacrine	283
cpm	Retinalganglioncell	POU4F2	GABAamacrine	7.645384896
raw	Retinalganglioncell	POU4F2	Horizontal	198
cpm	Retinalganglioncell	POU4F2	Horizontal	6.257739607
raw	Retinalganglioncell	POU4F2	Microglia	39
cpm	Retinalganglioncell	POU4F2	Microglia	4.782126325
raw	Retinalganglioncell	POU4F2	Mullerglia	393
cpm	Retinalganglioncell	POU4F2	Mullerglia	4.163345436
raw	Retinalganglioncell	POU4F2	Retinalganglioncell	1245
cpm	Retinalganglioncell	POU4F2	Retinalganglioncell	59.24437018
raw	Retinalganglioncell	POU4F2	Rod	2045
cpm	Retinalganglioncell	POU4F2	Rod	4.945040039
raw	Mullerglia	SLC1A3	AIIamacrine	27
cpm	Mullerglia	SLC1A3	AIIamacrine	2.28102132
raw	Mullerglia	SLC1A3	Astrocyte	57
cpm	Mullerglia	SLC1A3	Astrocyte	7.568800396
raw	Mullerglia	SLC1A3	Cone	31
cpm	Mullerglia	SLC1A3	Cone	0.6404492499
raw	Mullerglia	SLC1A3	GABAamacrine	25
cpm	Mullerglia	SLC1A3	GABAamacrine	0.6753873583
raw	Mullerglia	SLC1A3	Horizontal	22
cpm	Mullerglia	SLC1A3	Horizontal	0.6953044008
raw	Mullerglia	SLC1A3	Microglia	28
cpm	Mullerglia	SLC1A3	Microglia	3.433321464
raw	Mullerglia	SLC1A3	Mullerglia	1104
cpm	Mullerglia	SLC1A3	Mullerglia	11.69550474
raw	Mullerglia	SLC1A3	Retinalganglioncell	27
cpm	Mullerglia	SLC1A3	Retinalganglioncell	1.284817667
raw	Mullerglia	SLC1A3	Rod	134
cpm	Mullerglia	SLC1A3	Rod	0.3240270735
raw	Retinalganglioncell	ISL1	AIIamacrine	62
cpm	Retinalganglioncell	ISL1	AIIamacrine	5.237900808
raw	Retinalganglioncell	ISL1	Astrocyte	59
cpm	Retinalganglioncell	ISL1	Astrocyte	7.834372339
raw	Retinalganglioncell	ISL1	Cone	296
cpm	Retinalganglioncell	ISL1	Cone	6.115257354
raw	Retinalganglioncell	ISL1	GABAamacrine	194
cpm	Retinalganglioncell	ISL1	GABAamacrine	5.2410059
raw	Retinalganglioncell	ISL1	Horizontal	393
cpm	Retinalganglioncell	ISL1	Horizontal	12.42066498
raw	Retinalganglioncell	ISL1	Microglia	74
cpm	Retinalganglioncell	ISL1	Microglia	9.073778154
raw	Retinalganglioncell	ISL1	Mullerglia	242
cpm	Retinalganglioncell	ISL1	Mullerglia	2.563688538
raw	Retinalganglioncell	ISL1	Retinalganglioncell	873
cpm	Retinalganglioncell	ISL1	Retinalganglioncell	41.54243788
raw	Retinalganglioncell	ISL1	Rod	1185
cpm	Retinalganglioncell	ISL1	Rod	2.865463299
raw	Rod	PDE6A_article	AIIamacrine	978
cpm	Rod	PDE6A_article	AIIamacrine	82.62366114
raw	Rod	PDE6A_article	Astrocyte	996
cpm	Rod	PDE6A_article	Astrocyte	132.254828
raw	Rod	PDE6A_article	Cone	4473
cpm	Rod	PDE6A_article	Cone	92.41062887
raw	Rod	PDE6A_article	GABAamacrine	2482
cpm	Rod	PDE6A_article	GABAamacrine	67.05245693
raw	Rod	PDE6A_article	Horizontal	2262
cpm	Rod	PDE6A_article	Horizontal	71.4899343
raw	Rod	PDE6A_article	Microglia	1012
cpm	Rod	PDE6A_article	Microglia	124.0900472
raw	Rod	PDE6A_article	Mullerglia	11899
cpm	Rod	PDE6A_article	Mullerglia	126.0550823
raw	Rod	PDE6A_article	Retinalganglioncell	1224
cpm	Rod	PDE6A_article	Retinalganglioncell	58.24506755
raw	Rod	PDE6A_article	Rod	120376
cpm	Rod	PDE6A_article	Rod	291.0827089
raw	Rod	PDE6A	AIIamacrine	159
cpm	Rod	PDE6A	AIIamacrine	13.4326811
raw	Rod	PDE6A	Astrocyte	269
cpm	Rod	PDE6A	Astrocyte	35.71942643
raw	Rod	PDE6A	Cone	854
cpm	Rod	PDE6A	Cone	17.64334385
raw	Rod	PDE6A	GABAamacrine	340
cpm	Rod	PDE6A	GABAamacrine	9.185268073
raw	Rod	PDE6A	Horizontal	433
cpm	Rod	PDE6A	Horizontal	13.6848548
raw	Rod	PDE6A	Microglia	225
cpm	Rod	PDE6A	Microglia	27.58919033
raw	Rod	PDE6A	Mullerglia	2703
cpm	Rod	PDE6A	Mullerglia	28.63491785
raw	Rod	PDE6A	Retinalganglioncell	186
cpm	Rod	PDE6A	Retinalganglioncell	8.850966147
raw	Rod	PDE6A	Rod	33774
cpm	Rod	PDE6A	Rod	81.66933119
raw	Microglia	CSF1R	AIIamacrine	63
cpm	Microglia	CSF1R	AIIamacrine	5.322383079
raw	Microglia	CSF1R	Astrocyte	104
cpm	Microglia	CSF1R	Astrocyte	13.80974107
raw	Microglia	CSF1R	Cone	220
cpm	Microglia	CSF1R	Cone	4.545123709
raw	Microglia	CSF1R	GABAamacrine	152
cpm	Microglia	CSF1R	GABAamacrine	4.106355138
raw	Microglia	CSF1R	Horizontal	92
cpm	Microglia	CSF1R	Horizontal	2.907636585
raw	Microglia	CSF1R	Microglia	128
cpm	Microglia	CSF1R	Microglia	15.69518383
raw	Microglia	CSF1R	Mullerglia	2810
cpm	Microglia	CSF1R	Mullerglia	29.76844956
raw	Microglia	CSF1R	Retinalganglioncell	70
cpm	Microglia	CSF1R	Retinalganglioncell	3.331008765
raw	Microglia	CSF1R	Rod	1854
cpm	Microglia	CSF1R	Rod	4.483180554
raw	GABAamacrine	TFAP2A	AIIamacrine	562
cpm	GABAamacrine	TFAP2A	AIIamacrine	47.47903636
raw	GABAamacrine	TFAP2A	Astrocyte	224
cpm	GABAamacrine	TFAP2A	Astrocyte	29.74405769
raw	GABAamacrine	TFAP2A	Cone	582
cpm	GABAamacrine	TFAP2A	Cone	12.02391818
raw	GABAamacrine	TFAP2A	GABAamacrine	2103
cpm	GABAamacrine	TFAP2A	GABAamacrine	56.81358458
raw	GABAamacrine	TFAP2A	Horizontal	1867
cpm	GABAamacrine	TFAP2A	Horizontal	59.00605983
raw	GABAamacrine	TFAP2A	Microglia	148
cpm	GABAamacrine	TFAP2A	Microglia	18.14755631
raw	GABAamacrine	TFAP2A	Mullerglia	1334
cpm	GABAamacrine	TFAP2A	Mullerglia	14.13206822
raw	GABAamacrine	TFAP2A	Retinalganglioncell	190
cpm	GABAamacrine	TFAP2A	Retinalganglioncell	9.041309505
raw	GABAamacrine	TFAP2A	Rod	4222
cpm	GABAamacrine	TFAP2A	Rod	10.20927093
raw	Microglia	HLA-DRA	AIIamacrine	21
cpm	Microglia	HLA-DRA	AIIamacrine	1.774127693
raw	Microglia	HLA-DRA	Astrocyte	54
cpm	Microglia	HLA-DRA	Astrocyte	7.17044248
raw	Microglia	HLA-DRA	Cone	57
cpm	Microglia	HLA-DRA	Cone	1.177600234
raw	Microglia	HLA-DRA	GABAamacrine	83
cpm	Microglia	HLA-DRA	GABAamacrine	2.24228603
raw	Microglia	HLA-DRA	Horizontal	69
cpm	Microglia	HLA-DRA	Horizontal	2.180727439
raw	Microglia	HLA-DRA	Microglia	200
cpm	Microglia	HLA-DRA	Microglia	24.52372474
raw	Microglia	HLA-DRA	Mullerglia	302
cpm	Microglia	HLA-DRA	Mullerglia	3.199313796
raw	Microglia	HLA-DRA	Retinalganglioncell	74
cpm	Microglia	HLA-DRA	Retinalganglioncell	3.521352123
raw	Microglia	HLA-DRA	Rod	555
cpm	Microglia	HLA-DRA	Rod	1.342052431
raw	Cone	OPN1SW	AIIamacrine	36
cpm	Cone	OPN1SW	AIIamacrine	3.04136176
raw	Cone	OPN1SW	Astrocyte	18
cpm	Cone	OPN1SW	Astrocyte	2.390147493
raw	Cone	OPN1SW	Cone	404
cpm	Cone	OPN1SW	Cone	8.346499902
raw	Cone	OPN1SW	GABAamacrine	84
cpm	Cone	OPN1SW	GABAamacrine	2.269301524
raw	Cone	OPN1SW	Horizontal	105
cpm	Cone	OPN1SW	Horizontal	3.318498276
raw	Cone	OPN1SW	Microglia	16
cpm	Cone	OPN1SW	Microglia	1.961897979
raw	Cone	OPN1SW	Mullerglia	173
cpm	Cone	OPN1SW	Mullerglia	1.832719492
raw	Cone	OPN1SW	Retinalganglioncell	57
cpm	Cone	OPN1SW	Retinalganglioncell	2.712392852
raw	Cone	OPN1SW	Rod	1427
cpm	Cone	OPN1SW	Rod	3.450646521
raw	Retinalganglioncell	NEFL_article	AIIamacrine	69
cpm	Retinalganglioncell	NEFL_article	AIIamacrine	5.829276706
raw	Retinalganglioncell	NEFL_article	Astrocyte	16
cpm	Retinalganglioncell	NEFL_article	Astrocyte	2.12457555
raw	Retinalganglioncell	NEFL_article	Cone	234
cpm	Retinalganglioncell	NEFL_article	Cone	4.834358854
raw	Retinalganglioncell	NEFL_article	GABAamacrine	518
cpm	Retinalganglioncell	NEFL_article	GABAamacrine	13.99402606
raw	Retinalganglioncell	NEFL_article	Horizontal	219
cpm	Retinalganglioncell	NEFL_article	Horizontal	6.921439262
raw	Retinalganglioncell	NEFL_article	Microglia	50
cpm	Retinalganglioncell	NEFL_article	Microglia	6.130931185
raw	Retinalganglioncell	NEFL_article	Mullerglia	287
cpm	Retinalganglioncell	NEFL_article	Mullerglia	3.040407482
raw	Retinalganglioncell	NEFL_article	Retinalganglioncell	1714
cpm	Retinalganglioncell	NEFL_article	Retinalganglioncell	81.5621289
raw	Retinalganglioncell	NEFL_article	Rod	1214
cpm	Retinalganglioncell	NEFL_article	Rod	2.935588561
raw	Retinalganglioncell	NEFL	AIIamacrine	40
cpm	Retinalganglioncell	NEFL	AIIamacrine	3.379290844
raw	Retinalganglioncell	NEFL	Astrocyte	2
cpm	Retinalganglioncell	NEFL	Astrocyte	0.2655719437
raw	Retinalganglioncell	NEFL	Cone	111
cpm	Retinalganglioncell	NEFL	Cone	2.293221508
raw	Retinalganglioncell	NEFL	GABAamacrine	363
cpm	Retinalganglioncell	NEFL	GABAamacrine	9.806624442
raw	Retinalganglioncell	NEFL	Horizontal	88
cpm	Retinalganglioncell	NEFL	Horizontal	2.781217603
raw	Retinalganglioncell	NEFL	Microglia	18
cpm	Retinalganglioncell	NEFL	Microglia	2.207135227
raw	Retinalganglioncell	NEFL	Mullerglia	91
cpm	Retinalganglioncell	NEFL	Mullerglia	0.9640316405
raw	Retinalganglioncell	NEFL	Retinalganglioncell	766
cpm	Retinalganglioncell	NEFL	Retinalganglioncell	36.45075306
raw	Retinalganglioncell	NEFL	Rod	443
cpm	Retinalganglioncell	NEFL	Rod	1.071223832
raw	Mullerglia	CLU	AIIamacrine	53
cpm	Mullerglia	CLU	AIIamacrine	4.477560368
raw	Mullerglia	CLU	Astrocyte	215
cpm	Mullerglia	CLU	Astrocyte	28.54898395
raw	Mullerglia	CLU	Cone	83
cpm	Mullerglia	CLU	Cone	1.714751218
raw	Mullerglia	CLU	GABAamacrine	212
cpm	Mullerglia	CLU	GABAamacrine	5.727284798
raw	Mullerglia	CLU	Horizontal	98
cpm	Mullerglia	CLU	Horizontal	3.097265058
raw	Mullerglia	CLU	Microglia	56
cpm	Mullerglia	CLU	Microglia	6.866642928
raw	Mullerglia	CLU	Mullerglia	1769
cpm	Mullerglia	CLU	Mullerglia	18.74035134
raw	Mullerglia	CLU	Retinalganglioncell	154
cpm	Mullerglia	CLU	Retinalganglioncell	7.328219283
raw	Mullerglia	CLU	Rod	524
cpm	Mullerglia	CLU	Rod	1.267090944
raw	Retinalganglioncell	RBPMS	AIIamacrine	14
cpm	Retinalganglioncell	RBPMS	AIIamacrine	1.182751795
raw	Retinalganglioncell	RBPMS	Astrocyte	210
cpm	Retinalganglioncell	RBPMS	Astrocyte	27.88505409
raw	Retinalganglioncell	RBPMS	Cone	65
cpm	Retinalganglioncell	RBPMS	Cone	1.34287746
raw	Retinalganglioncell	RBPMS	GABAamacrine	53
cpm	Retinalganglioncell	RBPMS	GABAamacrine	1.4318212
raw	Retinalganglioncell	RBPMS	Horizontal	55
cpm	Retinalganglioncell	RBPMS	Horizontal	1.738261002
raw	Retinalganglioncell	RBPMS	Microglia	22
cpm	Retinalganglioncell	RBPMS	Microglia	2.697609722
raw	Retinalganglioncell	RBPMS	Mullerglia	182
cpm	Retinalganglioncell	RBPMS	Mullerglia	1.928063281
raw	Retinalganglioncell	RBPMS	Retinalganglioncell	491
cpm	Retinalganglioncell	RBPMS	Retinalganglioncell	23.3646472
raw	Retinalganglioncell	RBPMS	Rod	324
cpm	Retinalganglioncell	RBPMS	Rod	0.7834684463
raw	AIIamacrine	GLRA2	AIIamacrine	65
cpm	AIIamacrine	GLRA2	AIIamacrine	5.491347621
raw	AIIamacrine	GLRA2	Astrocyte	14
cpm	AIIamacrine	GLRA2	Astrocyte	1.859003606
raw	AIIamacrine	GLRA2	Cone	44
cpm	AIIamacrine	GLRA2	Cone	0.9090247419
raw	AIIamacrine	GLRA2	GABAamacrine	430
cpm	AIIamacrine	GLRA2	GABAamacrine	11.61666256
raw	AIIamacrine	GLRA2	Horizontal	357
cpm	AIIamacrine	GLRA2	Horizontal	11.28289414
raw	AIIamacrine	GLRA2	Microglia	15
cpm	AIIamacrine	GLRA2	Microglia	1.839279356
raw	AIIamacrine	GLRA2	Mullerglia	144
cpm	AIIamacrine	GLRA2	Mullerglia	1.525500618
raw	AIIamacrine	GLRA2	Retinalganglioncell	219
cpm	AIIamacrine	GLRA2	Retinalganglioncell	10.42129885
raw	AIIamacrine	GLRA2	Rod	447
cpm	AIIamacrine	GLRA2	Rod	1.080896282
raw	Cone	ARR3_article	AIIamacrine	91
cpm	Cone	ARR3_article	AIIamacrine	7.68788667
raw	Cone	ARR3_article	Astrocyte	83
cpm	Cone	ARR3_article	Astrocyte	11.02123566
raw	Cone	ARR3_article	Cone	3729
cpm	Cone	ARR3_article	Cone	77.03984687
raw	Cone	ARR3_article	GABAamacrine	251
cpm	Cone	ARR3_article	GABAamacrine	6.780889077
raw	Cone	ARR3_article	Horizontal	254
cpm	Cone	ARR3_article	Horizontal	8.027605355
raw	Cone	ARR3_article	Microglia	86
cpm	Cone	ARR3_article	Microglia	10.54520164
raw	Cone	ARR3_article	Mullerglia	854
cpm	Cone	ARR3_article	Mullerglia	9.047066165
raw	Cone	ARR3_article	Retinalganglioncell	153
cpm	Cone	ARR3_article	Retinalganglioncell	7.280633444
raw	Cone	ARR3_article	Rod	3349
cpm	Cone	ARR3_article	Rod	8.098258724
raw	Cone	ARR3_gene	AIIamacrine	91
cpm	Cone	ARR3_gene	AIIamacrine	7.68788667
raw	Cone	ARR3_gene	Astrocyte	83
cpm	Cone	ARR3_gene	Astrocyte	11.02123566
raw	Cone	ARR3_gene	Cone	3729
cpm	Cone	ARR3_gene	Cone	77.03984687
raw	Cone	ARR3_gene	GABAamacrine	251
cpm	Cone	ARR3_gene	GABAamacrine	6.780889077
raw	Cone	ARR3_gene	Horizontal	254
cpm	Cone	ARR3_gene	Horizontal	8.027605355
raw	Cone	ARR3_gene	Microglia	86
cpm	Cone	ARR3_gene	Microglia	10.54520164
raw	Cone	ARR3_gene	Mullerglia	854
cpm	Cone	ARR3_gene	Mullerglia	9.047066165
raw	Cone	ARR3_gene	Retinalganglioncell	153
cpm	Cone	ARR3_gene	Retinalganglioncell	7.280633444
raw	Cone	ARR3_gene	Rod	3349
cpm	Cone	ARR3_gene	Rod	8.098258724
raw	Cone	ARR3	AIIamacrine	31
cpm	Cone	ARR3	AIIamacrine	2.618950404
raw	Cone	ARR3	Astrocyte	23
cpm	Cone	ARR3	Astrocyte	3.054077353
raw	Cone	ARR3	Cone	2439
cpm	Cone	ARR3	Cone	50.38889421
raw	Cone	ARR3	GABAamacrine	78
cpm	Cone	ARR3	GABAamacrine	2.107208558
raw	Cone	ARR3	Horizontal	70
cpm	Cone	ARR3	Horizontal	2.212332184
raw	Cone	ARR3	Microglia	24
cpm	Cone	ARR3	Microglia	2.942846969
raw	Cone	ARR3	Mullerglia	229
cpm	Cone	ARR3	Mullerglia	2.425969733
raw	Cone	ARR3	Retinalganglioncell	47
cpm	Cone	ARR3	Retinalganglioncell	2.236534457
raw	Cone	ARR3	Rod	1244
cpm	Cone	ARR3	Rod	3.008131936
raw	Cone	OPN1LW	AIIamacrine	58
cpm	Cone	OPN1LW	AIIamacrine	4.899971724
raw	Cone	OPN1LW	Astrocyte	40
cpm	Cone	OPN1LW	Astrocyte	5.311438874
raw	Cone	OPN1LW	Cone	2300
cpm	Cone	OPN1LW	Cone	47.51720242
raw	Cone	OPN1LW	GABAamacrine	109
cpm	Cone	OPN1LW	GABAamacrine	2.944688882
raw	Cone	OPN1LW	Horizontal	135
cpm	Cone	OPN1LW	Horizontal	4.266640641
raw	Cone	OPN1LW	Microglia	48
cpm	Cone	OPN1LW	Microglia	5.885693938
raw	Cone	OPN1LW	Mullerglia	452
cpm	Cone	OPN1LW	Mullerglia	4.78837694
raw	Cone	OPN1LW	Retinalganglioncell	60
cpm	Cone	OPN1LW	Retinalganglioncell	2.85515037
raw	Cone	OPN1LW	Rod	6323
cpm	Cone	OPN1LW	Rod	15.28972527
raw	Cone	OPN1MW	AIIamacrine	0
cpm	Cone	OPN1MW	AIIamacrine	0
raw	Cone	OPN1MW	Astrocyte	1
cpm	Cone	OPN1MW	Astrocyte	0.1327859719
raw	Cone	OPN1MW	Cone	20
cpm	Cone	OPN1MW	Cone	0.4131930645
raw	Cone	OPN1MW	GABAamacrine	3
cpm	Cone	OPN1MW	GABAamacrine	0.08104648299
raw	Cone	OPN1MW	Horizontal	3
cpm	Cone	OPN1MW	Horizontal	0.09481423647
raw	Cone	OPN1MW	Microglia	0
cpm	Cone	OPN1MW	Microglia	0
