sample	subcluster	pearson_correlation
Spleen	Cholangiocyte	-0.300429
Stomach	Cloaca epithelial cell	0.516724
Stomach	Hepatic stellate cell	0.25067
Stomach	Fibroblast	0.233359
Stomach	Goblet cell	0.2205
Stomach	Liver sinusoidal endothelial cell	0.216533
Stomach	Hepatocyte	0.207446
Stomach	Lymphatic endothelial cell	0.202917
Stomach	Capillary endothelial cell	0.193378
Stomach	Foveolar cell	0.18118
Stomach	Enterocyte	0.157887
Stomach	Parietal cell	0.155351
Stomach	Myofibroblast	0.149451
Stomach	Macrophage	0.147085
Stomach	Chondrocyte	0.0962955
Stomach	vas deferens epithelial cell	0.087825
Stomach	Osteoblast	0.0550695
Stomach	Endocrine cell	0.0252691
Stomach	Myoblast	-0.000486033
Stomach	B cell	-0.000870863
Stomach	Respiratory epithelial cell	-0.000955329
Stomach	Acinar cell	-0.00141307
Stomach	Smooth muscle cell	-0.010365
Stomach	Erythroid cell	-0.0179388
Stomach	Adipocyte	-0.0229974
Stomach	Pulmonary epithelium	-0.0338367
Stomach	Neuroendocrine	-0.0475005
Stomach	Megakaryocyte	-0.0582174
Stomach	Inhibitory neuron	-0.06389
Stomach	Proximal tubule	-0.0647637
Stomach	Pancreatic ductal cell	-0.0652266
Stomach	Oligodendrocyte	-0.065258
Stomach	Oligodendrocyte progenitor	-0.0726626
Stomach	Neuron_UNC5A	-0.0837675
Stomach	Meningeal cell	-0.087258
Stomach	Endothelial_MAS1	-0.0953466
Stomach	Cholangiocyte	-0.125727
Stomach	T cell	-0.127574
Stomach	Endothelial_RGS5	-0.153184
Stomach	Podocyte	-0.154568
Stomach	Lung fibroblast	-0.180721
Stomach	Neuron_NR4A1	-0.196095
Stomach	Endocardial endothelial cell	-0.19755
Stomach	Cardiac muscle	-0.20362
Stomach	Astrocyte	-0.225985
Stomach	Urothelial cell	-0.226583
Stomach	Epicardial cell	-0.235643
Stomach	H+ secreting cell	-0.253404
Stomach	Mesothelial cell	-0.262023
Stomach	Basal cell	-0.290315
Stomach	Fibroblast_GPRC6A	-0.32054
