sample	samp	samtype	celltype	batch	sex
A183CD19	A183	nonrefsamp	CD19	4	F
A183PBMC	A183	nonrefsamp	PBMC	4	F
A180CD4	A180	refsamp	CD4	4	F
A180CD8	A180	refsamp	CD8	4	F
A180CD14	A180	refsamp	CD14	4	F
A180CD19	A180	refsamp	CD19	4	F
A180PBMC	A180	refsamp	PBMC	4	F
A172CD4	A172	refsamp	CD4	4	F
A172CD8	A172	refsamp	CD8	4	F
A172CD14	A172	refsamp	CD14	4	F
A172CD19	A172	refsamp	CD19	4	F
A172PBMC	A172	refsamp	PBMC	4	F
CHC115CD4	CHC115	refsamp	CD4	4	F
CHC115CD8	CHC115	refsamp	CD8	4	F
CHC115CD14	CHC115	refsamp	CD14	4	F
CHC115CD19	CHC115	refsamp	CD19	4	F
CHC115PBMC	CHC115	refsamp	PBMC	4	F
THC003CD4	THC003	nonrefsamp	CD4	4	F
THC003CD8	THC003	nonrefsamp	CD8	4	F
THC003CD14	THC003	nonrefsamp	CD14	4	F
THC003CD19	THC003	nonrefsamp	CD19	4	F
THC003PBMC	THC003	nonrefsamp	PBMC	4	F
THC047CD4_2	THC047_2	refsamp	CD4	4	M
THC047CD8_2	THC047_2	refsamp	CD8	4	M
THC047CD14_2	THC047_2	refsamp	CD14	4	M
THC047CD19_2	THC047_2	refsamp	CD19	4	M
THC047PBMC_2	THC047_2	refsamp	PBMC	4	M
AHC030CD4_2	AHC030_2	refsamp	CD4	4	F
AHC030CD8_2	AHC030_2	refsamp	CD8	4	F
AHC030CD14_2	AHC030_2	refsamp	CD14	4	F
AHC030CD19_2	AHC030_2	refsamp	CD19	4	F
AHC030PBMC_2	AHC030_2	refsamp	PBMC	4	F
THC001CD4	THC001	refsamp	CD4	4	M
THC001CD8	THC001	refsamp	CD8	4	M
THC001CD14	THC001	refsamp	CD14	4	M
THC001CD19	THC001	refsamp	CD19	4	M
THC001PBMC	THC001	refsamp	PBMC	4	M
CAR003CD4	CAR003	refsamp	CD4	4	M
CAR003CD8	CAR003	refsamp	CD8	4	M
CAR003CD14	CAR003	refsamp	CD14	4	M
CAR003CD19	CAR003	refsamp	CD19	4	M
CAR003PBMC	CAR003	refsamp	PBMC	4	M
CHC117CD4	CHC117	nonrefsamp	CD4	4	F
CHC117CD8	CHC117	nonrefsamp	CD8	4	F
CHC117CD14	CHC117	nonrefsamp	CD14	4	F
CHC117CD19	CHC117	nonrefsamp	CD19	4	F
CHC117PBMC	CHC117	nonrefsamp	PBMC	4	F
AHC053CD4_2	AHC053_2	refsamp	CD4	4	M
AHC053CD8_2	AHC053_2	refsamp	CD8	4	M
AHC053CD14_2	AHC053_2	refsamp	CD14	4	M
AHC053CD19_2	AHC053_2	refsamp	CD19	4	M
AHC053PBMC_2	AHC053_2	refsamp	PBMC	4	M
THC197CD4_2	THC197_2	nonrefsamp	CD4	4	M
THC197CD8_2	THC197_2	nonrefsamp	CD8	4	M
THC197CD14_2	THC197_2	nonrefsamp	CD14	4	M
THC197CD19_2	THC197_2	nonrefsamp	CD19	4	M
THC197PBMC_2	THC197_2	nonrefsamp	PBMC	4	M
CHC147CD4_2	CHC147_2	refsamp	CD4	4	F
CHC147CD8_2	CHC147_2	refsamp	CD8	4	F
CHC147CD14_2	CHC147_2	refsamp	CD14	4	F
CHC147CD19_2	CHC147_2	refsamp	CD19	4	F
CHC147PBMC_2	CHC147_2	refsamp	PBMC	4	F
THC054CD4	THC054	nonrefsamp	CD4	4	M
THC054CD8	THC054	nonrefsamp	CD8	4	M
THC054CD19	THC054	nonrefsamp	CD19	4	M
THC054PBMC	THC054	nonrefsamp	PBMC	4	M
CHC146CD4	CHC146	refsamp	CD4	4	F
CHC146CD8	CHC146	refsamp	CD8	4	F
CHC146CD14	CHC146	refsamp	CD14	4	F
CHC146CD19	CHC146	refsamp	CD19	4	F
CHC146PBMC	CHC146	refsamp	PBMC	4	F
CHC161CD4	CHC161	nonrefsamp	CD4	4	F
CHC161CD8	CHC161	nonrefsamp	CD8	4	F
CHC161CD14	CHC161	nonrefsamp	CD14	4	F
CHC161CD19	CHC161	nonrefsamp	CD19	4	F
CHC161PBMC	CHC161	nonrefsamp	PBMC	4	F
A113CD4	A113	nonrefsamp	CD4	4	F
A113CD8	A113	nonrefsamp	CD8	4	F
A113CD19	A113	nonrefsamp	CD19	4	F
A113PBMC	A113	nonrefsamp	PBMC	4	F
JAS31_PB_CD4	JAS31	nonrefsamp	CD4	4	M
JAS31_PB_CD8	JAS31	nonrefsamp	CD8	4	M
JAS31_PB_CD14	JAS31	nonrefsamp	CD14	4	M
JAS31_PB_CD19	JAS31	nonrefsamp	CD19	4	M
JAS31_PB_PBMC	JAS31	nonrefsamp	PBMC	4	M
SYS12_PB_CD4	SYS12	refsamp	CD4	4	M
SYS12_PB_CD8	SYS12	refsamp	CD8	4	M
SYS12_PB_CD14	SYS12	refsamp	CD14	4	M
SYS12_PB_CD19	SYS12	refsamp	CD19	4	M
SYS12_PB_PBMC	SYS12	refsamp	PBMC	4	M
SYS1_PB_CD4	SYS1	nonrefsamp	CD4	4	F
SYS1_PB_CD8	SYS1	nonrefsamp	CD8	4	F
SYS1_PB_PBMC	SYS1	nonrefsamp	PBMC	4	F
JAS8_PB_CD4	JAS8	refsamp	CD4	4	M
JAS8_PB_CD8	JAS8	refsamp	CD8	4	M
JAS8_PB_CD14	JAS8	refsamp	CD14	4	M
JAS8_PB_CD19	JAS8	refsamp	CD19	4	M
JAS8_PB_PBMC	JAS8	refsamp	PBMC	4	M
SYS7_PB_CD4	SYS7	nonrefsamp	CD4	4	M
SYS7_PB_CD8	SYS7	nonrefsamp	CD8	4	M
SYS7_PB_CD14	SYS7	nonrefsamp	CD14	4	M
SYS7_PB_CD19	SYS7	nonrefsamp	CD19	4	M
SYS7_PB_PBMC	SYS7	nonrefsamp	PBMC	4	M
JAS6_PB_CD4	JAS6	nonrefsamp	CD4	4	M
JAS6_PB_CD8	JAS6	nonrefsamp	CD8	4	M
JAS6_PB_CD19	JAS6	nonrefsamp	CD19	4	M
JAS6_PB_PBMC	JAS6	nonrefsamp	PBMC	4	M
PS30_PB_CD4	PS30	refsamp	CD4	4	M
PS30_PB_CD8	PS30	refsamp	CD8	4	M
PS30_PB_CD14	PS30	refsamp	CD14	4	M
PS30_PB_CD19	PS30	refsamp	CD19	4	M
PS30_PB_PBMC	PS30	refsamp	PBMC	4	M
SYS42_PB_CD8	SYS42	nonrefsamp	CD8	4	F
SYS42_PB_CD14	SYS42	nonrefsamp	CD14	4	F
SYS42_PB_CD19	SYS42	nonrefsamp	CD19	4	F
SYS42_PB_PBMC	SYS42	nonrefsamp	PBMC	4	F
PA172_PB_CD4	PA172	nonrefsamp	CD4	4	F
PA172_PB_CD19	PA172	nonrefsamp	CD19	4	F
PA172_PB_PBMC	PA172	nonrefsamp	PBMC	4	F
PO48_PB_CD4	PO48	refsamp	CD4	4	F
PO48_PB_CD8	PO48	refsamp	CD8	4	F
PO48_PB_CD14	PO48	refsamp	CD14	4	F
PO48_PB_CD19	PO48	refsamp	CD19	4	F
PO48_PB_PBMC	PO48	refsamp	PBMC	4	F
PA362_PB_CD4	PA362	nonrefsamp	CD4	4	F
PA362_PB_CD8	PA362	nonrefsamp	CD8	4	F
PA362_PB_CD14	PA362	nonrefsamp	CD14	4	F
PA362_PB_CD19	PA362	nonrefsamp	CD19	4	F
PA362_PB_PBMC	PA362	nonrefsamp	PBMC	4	F
PA375_PB_CD4	PA375	nonrefsamp	CD4	4	F
PA375_PB_CD8	PA375	nonrefsamp	CD8	4	F
PA375_PB_CD19	PA375	nonrefsamp	CD19	4	F
PA375_PB_PBMC	PA375	nonrefsamp	PBMC	4	F
PA47_PB_CD4	PA47	nonrefsamp	CD4	4	M
PA47_PB_CD8	PA47	nonrefsamp	CD8	4	M
PA47_PB_CD19	PA47	nonrefsamp	CD19	4	M
PA47_PB_PBMC	PA47	nonrefsamp	PBMC	4	M
SYS43_PB_CD4	SYS43	refsamp	CD4	4	M
SYS43_PB_CD8	SYS43	refsamp	CD8	4	M
SYS43_PB_CD14	SYS43	refsamp	CD14	4	M
SYS43_PB_CD19	SYS43	refsamp	CD19	4	M
SYS43_PB_PBMC	SYS43	refsamp	PBMC	4	M
PA215_PB_CD4_1	PA215_1	nonrefsamp	CD4	4	F
PA215_PB_CD8_1	PA215_1	nonrefsamp	CD8	4	F
PA215_PB_PBMC_1	PA215_1	nonrefsamp	PBMC	4	F
PO136_PB_CD4	PO136	refsamp	CD4	4	M
PO136_PB_CD8	PO136	refsamp	CD8	4	M
PO136_PB_CD14	PO136	refsamp	CD14	4	M
PO136_PB_CD19	PO136	refsamp	CD19	4	M
PO136_PB_PBMC	PO136	refsamp	PBMC	4	M
PO203_PB_CD4	PO203	nonrefsamp	CD4	4	M
PO203_PB_PBMC	PO203	nonrefsamp	PBMC	4	M
PO237_PB_CD4	PO237	nonrefsamp	CD4	4	F
PO237_PB_CD8	PO237	nonrefsamp	CD8	4	F
PO237_PB_CD14	PO237	nonrefsamp	CD14	4	F
PO237_PB_CD19	PO237	nonrefsamp	CD19	4	F
PO237_PB_PBMC	PO237	nonrefsamp	PBMC	4	F
