# candidates have max_abs_usage_delta >= 0.25
rank	gene_id	gene_symbol	expressed_isoforms	sampleA_gene_NumReads	sampleB_gene_NumReads	max_abs_usage_delta	total_variation	top_transcript	top_sampleA_usage	top_sampleB_usage	top_sampleA_NumReads	top_sampleB_NumReads	top_sampleA_TPM	top_sampleB_TPM	top_log2FC_normalized_reads	top_usage_delta_sampleB_minus_A
211	ENSG00000164733.23	CTSB	4	20	21	0.8239	1	ENST00000679051	0.8239	0	16.478	0	35.1227	0	-7.46331	-0.8239
212	ENSG00000081237.22	PTPRC	5	62.999	52	0.823865	1	ENST00000491302	0	0.823865	0	42.841	0	54.6302	8.84541	0.823865
213	ENSG00000168066.22	SF1	7	56	67.999	0.821268	1	ENST00000377394	0.821268	0	45.991	0	75.4441	0	-8.93887	-0.821268
214	ENSG00000158615.10	PPP1R15B	3	25	27	0.8212	0.8212	ENST00000367188	0.1788	1	4.47	27	3.81197	25.4395	2.5783	0.8212
215	ENSG00000077232.19	DNAJC10	4	27.001	33	0.820788	0.873264	ENST00000616986	0	0.820788	0	27.086	0	6.47064	8.18578	0.820788
216	ENSG00000013364.19	MVP	3	31	32	0.82075	0.82075	ENST00000357402	0	0.82075	0	26.264	0	48.6476	8.14148	0.82075
217	ENSG00000197943.13	PLCG2	6	49.999	55	0.820716	0.930879	ENST00000697580	0.820716	0	41.035	0	43.1529	0	-8.77473	-0.820716
218	ENSG00000007168.15	PAFAH1B1	3	50	45	0.820667	0.820667	ENST00000676188	0	0.820667	0	36.93	0	34.5338	8.63171	0.820667
219	ENSG00000100906.12	NFKBIA	3	49	44	0.818523	0.818523	ENST00000216797	1	0.181477	49	7.985	159.899	28.7898	-2.59471	-0.818523
220	ENSG00000100503.27	NIN	7	71	60	0.817521	1	ENST00000706705	0.817521	0	58.044	0	32.4061	0	-9.27405	-0.817521
221	ENSG00000135837.18	CEP350	5	32	24	0.81725	1	ENST00000417046	0	0.81725	0	19.614	0	7.59569	7.72201	0.81725
222	ENSG00000119912.18	IDE	4	20	26	0.8171	1	ENST00000678458	0.8171	0	16.342	0	14.0346	0	-7.45143	-0.8171
223	ENSG00000090686.16	USP48	4	26	37	0.8165	0.937757	ENST00000308271	0.8165	0	21.229	0	21.751	0	-7.82698	-0.8165
224	ENSG00000108946.17	PRKAR1A	5	60.001	52	0.815981	1	ENST00000536854	0	0.815981	0	42.431	0	58.0943	8.83156	0.815981
225	ENSG00000213585.11	VDAC1	4	90	106	0.815839	0.832028	ENST00000395044	0.983811	0.167972	88.543	17.805	242.916	53.9708	-2.29938	-0.815839
226	ENSG00000152795.18	HNRNPDL	5	41	30	0.815467	0.869857	ENST00000602300	0	0.815467	0	24.464	0	110.912	8.03943	0.815467
227	ENSG00000080503.25	SMARCA2	5	25.001	27	0.814815	0.958762	ENST00000635739	0	0.814815	0	22	0	25.8152	7.88688	0.814815
228	ENSG00000196730.13	DAPK1	4	26	26	0.814038	1	ENST00000469640	0.814038	0	21.165	0	16.004	0	-7.82264	-0.814038
229	ENSG00000164190.19	NIPBL	2	23	34	0.810522	0.810522	ENST00000448238	0.810522	0	18.642	0	9.39176	0	-7.64038	-0.810522
230	ENSG00000118503.18	TNFAIP3	3	77	80	0.809883	0.809883	ENST00000421450	0.190117	1	14.639	80	14.0874	85.0551	2.45134	0.809883
231	ENSG00000137502.10	RAB30	4	33	22	0.807727	1	ENST00000527633	0	0.807727	0	17.77	0	8.7279	7.58028	0.807727
232	ENSG00000115760.16	BIRC6	5	55	66	0.805394	0.805394	ENST00000421745	0	0.805394	0	53.156	0	16.2511	9.15604	0.805394
233	ENSG00000147140.17	NONO	5	70.001	66	0.804288	0.804288	ENST00000276079	0	0.804288	0	53.083	0	103.908	9.15406	0.804288
234	ENSG00000055332.19	EIF2AK2	4	49	48	0.804224	1	ENST00000233057	0.804224	0	39.407	0	17.3091	0	-8.71646	-0.804224
235	ENSG00000182670.14	TTC3	5	40	32	0.800375	1	ENST00000450533	0.800375	0	32.015	0	18.369	0	-8.41755	-0.800375
236	ENSG00000183291.18	SELENOF	4	38	28	0.799079	1	ENST00000331835	0.799079	0	30.365	0	100.392	0	-8.34144	-0.799079
237	ENSG00000155506.19	LARP1	3	63	61	0.798033	0.798033	ENST00000518297	1	0.201967	63	12.32	38.8271	8.3888	-2.33691	-0.798033
238	ENSG00000211460.12	TSN	4	21	21	0.796857	1	ENST00000490104	0	0.796857	0	16.734	0	32.0123	7.49408	0.796857
239	ENSG00000147162.15	OGT	5	28.999	42	0.7945	1	ENST00000373719	0	0.7945	0	33.369	0	30.3732	8.48581	0.7945
240	ENSG00000083312.19	TNPO1	4	48	57	0.78886	0.78886	ENST00000679378	0	0.78886	0	44.965	0	26.0001	8.91507	0.78886
241	ENSG00000130175.10	PRKCSH	3	35	33	0.788287	0.788287	ENST00000591462	0.964257	0.17597	33.749	5.807	79.5159	15.1165	-2.51128	-0.788287
242	ENSG00000126247.11	CAPNS1	3	33	33	0.787515	0.787515	ENST00000246533	0	0.787515	0	25.988	0	104.118	8.12629	0.787515
243	ENSG00000162613.18	FUBP1	4	36	22.999	0.781121	0.781121	ENST00000370767	0	0.781121	0	17.965	0	37.2853	7.59594	0.781121
244	ENSG00000104824.18	HNRNPL	4	55.008	51.6	0.780505	0.855603	ENST00000601449	0.780505	0	42.934	0	109.951	0	-8.83985	-0.780505
245	ENSG00000111669.15	TPI1	3	213	198	0.780235	0.780235	ENST00000613953	0.780235	0	166.19	0	586.69	0	-10.7902	-0.780235
246	ENSG00000138674.17	SEC31A	5	47	52	0.77966	0.825936	ENST00000448323	0.77966	0	36.644	0	39.0831	0	-8.61184	-0.77966
247	ENSG00000051108.15	HERPUD1	6	80	86	0.776326	1	ENST00000300302	0	0.776326	0	66.764	0	195.467	9.48436	0.776326
248	ENSG00000120802.15	TMPO	4	85.644	61.865	0.774006	0.774006	ENST00000715724	0.774006	0	66.289	0	72.3274	0	-9.46539	-0.774006
249	ENSG00000166197.17	NOLC1	3	24	40	0.772917	0.772917	ENST00000405356	0.772917	0	18.55	0	21.3179	0	-7.63328	-0.772917
250	ENSG00000028277.22	POU2F2	7	30.001	25	0.771674	1	ENST00000389341	0.771674	0	23.151	0	14.8684	0	-7.95149	-0.771674
251	ENSG00000012124.17	CD22	6	41	32	0.769875	1	ENST00000536635	0	0.769875	0	24.636	0	42.2187	8.0495	0.769875
252	ENSG00000115234.11	SNX17	2	23	20	0.769522	0.769522	ENST00000427123	0.769522	0	17.699	0	43.029	0	-7.56588	-0.769522
253	ENSG00000117859.19	OSBPL9	5	35	37	0.768486	1	ENST00000462759	0.768486	0	26.897	0	45.8658	0	-8.16705	-0.768486
254	ENSG00000172534.14	HCFC1	3	27	30	0.7673	0.7673	ENST00000369984	0	0.7673	0	23.019	0	13.3709	7.95194	0.7673
255	ENSG00000114062.22	UBE3A	7	36	31.001	0.763111	1	ENST00000650110	0.763111	0	27.472	0	23.3579	0	-8.19746	-0.763111
256	ENSG00000120733.15	KDM3B	3	29	28	0.758964	0.758964	ENST00000510866	0	0.758964	0	21.251	0	16.5117	7.83713	0.758964
257	ENSG00000263001.8	GTF2I	6	50.756	66.788	0.751797	0.751797	ENST00000621734	0	0.751797	0	50.211	0	56.9372	9.07396	0.751797
258	ENSG00000196712.20	NF1	4	24	21	0.750333	0.750333	ENST00000579081	0.750333	0	18.008	0	9.00971	0	-7.59072	-0.750333
259	ENSG00000177200.18	CHD9	6	22	21	0.750238	1	ENST00000219084	0	0.750238	0	15.755	0	8.75919	7.40761	0.750238
260	ENSG00000144895.12	EIF2A	6	33	43	0.748913	0.84393	ENST00000273435	0.861727	0.112814	28.437	4.851	66.2681	12.4912	-2.51998	-0.748913
261	ENSG00000181555.22	SETD2	6	36.001	28	0.748893	1	ENST00000409792	0	0.748893	0	20.969	0	11.936	7.81794	0.748893
262	ENSG00000082641.16	NFE2L1	4	38	43	0.745581	1	ENST00000357480	0	0.745581	0	32.06	0	34.2173	8.42824	0.745581
263	ENSG00000172071.15	EIF2AK3	6	48	33	0.743917	1	ENST00000684455	0.743917	0	35.708	0	47.0772	0	-8.57461	-0.743917
264	ENSG00000010292.13	NCAPD2	5	47	50	0.7437	0.78466	ENST00000539084	0	0.7437	0	37.185	0	43.4394	8.64161	0.7437
265	ENSG00000099622.14	CIRBP	8	20.001	30	0.743567	1	ENST00000320936	0	0.743567	0	22.307	0	97.6621	7.90679	0.743567
266	ENSG00000119396.12	RAB14	4	21	21	0.74281	1	ENST00000704001	0	0.74281	0	15.599	0	32.5327	7.39333	0.74281
267	ENSG00000162645.13	GBP2	3	24	32	0.739156	0.739156	ENST00000370466	1	0.260844	24	8.347	26.7114	10.2644	-1.5046	-0.739156
268	ENSG00000136758.21	YME1L1	3	52	37	0.738192	0.738192	ENST00000376016	0.738192	0	38.386	0	41.6064	0	-8.67868	-0.738192
269	ENSG00000115310.19	RTN4	5	32	46	0.736565	1	ENST00000317610	0	0.736565	0	33.882	0	76.7675	8.50776	0.736565
270	ENSG00000198836.11	OPA1	4	34	32.962	0.736211	1	ENST00000646085	0	0.736211	0	24.267	0	28.4189	8.02781	0.736211
271	ENSG00000081189.17	MEF2C	8	63	65.999	0.732937	1	ENST00000637481	0.732937	0	46.175	0	33.7855	0	-8.94462	-0.732937
272	ENSG00000134824.14	FADS2	3	44	35	0.7295	0.7295	ENST00000278840	0.2705	1	11.902	35	17.8952	58.1423	1.55735	0.7295
273	ENSG00000205352.11	PRR13	4	29	23	0.728345	1	ENST00000429243	0.728345	0	21.122	0	105.528	0	-7.81972	-0.728345
274	ENSG00000005810.20	MYCBP2	9	63.999	67.999	0.724614	0.893826	ENST00000695081	0	0.724614	0	49.273	0	16.5242	9.0468	0.724614
275	ENSG00000073578.18	SDHA	5	23.007	31.975	0.721689	1	ENST00000505555	0	0.721689	0	23.076	0	55.0031	7.95549	0.721689
276	ENSG00000172270.22	BSG	2	47	57	0.717074	0.717074	ENST00000680065	0.819021	0.101947	38.494	5.811	119.153	19.8716	-2.6996	-0.717074
277	ENSG00000168488.19	ATXN2L	3	35	47.341	0.713525	0.713525	ENST00000570200	0	0.713525	0	33.779	0	47.0955	8.50338	0.713525
278	ENSG00000118873.17	RAB3GAP2	3	28	27	0.712107	0.712107	ENST00000358951	0.287893	1	8.061	27	4.91488	18.1882	1.7409	0.712107
279	ENSG00000124198.10	ARFGEF2	4	22	32	0.709094	1	ENST00000371917	0	0.709094	0	22.691	0	12.1957	7.93132	0.709094
280	ENSG00000152601.18	MBNL1	9	96	121.996	0.708712	1	ENST00000324210	0	0.708712	0	86.46	0	77.4874	9.85686	0.708712
281	ENSG00000138496.17	PARP9	4	25	25	0.70676	0.70676	ENST00000471785	0.70676	0	17.669	0	27.0512	0	-7.56344	-0.70676
282	ENSG00000106052.14	TAX1BP1	3	33	28	0.703848	0.703848	ENST00000543117	0.703848	0	23.227	0	31.8515	0	-7.9562	-0.703848
283	ENSG00000134910.14	STT3A	5	34	36.999	0.703154	0.840428	ENST00000531491	0	0.703154	0	26.016	0	64.2851	8.12784	0.703154
284	ENSG00000111732.12	AICDA	4	32	26	0.702281	1	ENST00000696246	0.702281	0	22.473	0	41.0772	0	-7.90878	-0.702281
285	ENSG00000110713.18	NUP98	5	28	37	0.701919	1	ENST00000700597	0	0.701919	0	25.971	0	19.1787	8.12535	0.701919
286	ENSG00000116604.19	MEF2D	4	21	21	0.699619	0.71119	ENST00000464356	0.699619	0	14.692	0	11.7352	0	-7.2988	-0.699619
287	ENSG00000143153.14	ATP1B1	3	27	25	0.697074	0.697074	ENST00000690184	0.697074	0	18.821	0	74.4408	0	-7.6541	-0.697074
288	ENSG00000116754.14	SRSF11	4	36.001	25	0.69568	0.69568	ENST00000370949	0	0.69568	0	17.392	0	22.1303	7.54942	0.69568
289	ENSG00000111642.16	CHD4	6	78.001	71	0.694296	1	ENST00000544040	0	0.694296	0	49.295	0	37.2772	9.04744	0.694296
290	ENSG00000197122.13	SRC	3	23	21	0.693524	0.693524	ENST00000373578	0	0.693524	0	14.564	0	15.6433	7.2949	0.693524
291	ENSG00000198589.15	LRBA	5	69	60	0.689883	0.70229	ENST00000510413	0	0.689883	0	41.393	0	19.971	8.79591	0.689883
292	ENSG00000075151.24	EIF4G3	4	24	22	0.686167	1	ENST00000400422	0.686167	0	16.468	0	12.7924	0	-7.46244	-0.686167
293	ENSG00000140350.15	ANP32A	5	28	40	0.686107	0.861675	ENST00000465139	0.686107	0	19.211	0	37.4702	0	-7.68354	-0.686107
294	ENSG00000073584.20	SMARCE1	7	27.075	24	0.684284	1	ENST00000580419	0.684284	0	18.527	0	38.9269	0	-7.6315	-0.684284
295	ENSG00000196914.9	ARHGEF12	2	23	26	0.681739	0.681739	ENST00000397843	0.318261	1	7.32	26	3.10307	12.1781	1.82407	0.681739
296	ENSG00000092820.19	EZR	2	84	99	0.676747	0.676747	ENST00000337147	0	0.676747	0	66.998	0	112.206	9.4894	0.676747
297	ENSG00000144028.15	SNRNP200	3	83	85	0.673952	0.673952	ENST00000323853	0.326048	1	27.062	85	16.6472	57.7703	1.65648	0.673952
298	ENSG00000118308.16	IRAG2	5	30	25	0.67332	0.72724	ENST00000536173	0	0.67332	0	16.833	0	42.484	7.50254	0.67332
299	ENSG00000159399.10	HK2	2	36	29	0.672667	0.672667	ENST00000409174	0.672667	0	24.216	0	20.573	0	-8.01612	-0.672667
300	ENSG00000133657.17	ATP13A3	3	32	35	0.672429	0.672429	ENST00000642744	0	0.672429	0	23.535	0	18.5029	7.98379	0.672429
301	ENSG00000253352.10	TUG1	6	41	30.295	0.671585	1	ENST00000643071	0.671585	0	27.535	0	19.9222	0	-8.20075	-0.671585
302	ENSG00000168003.19	SLC3A2	6	23	28	0.66887	1	ENST00000536981	0.66887	0	15.384	0	56.5051	0	-7.36478	-0.66887
303	ENSG00000070214.17	SLC44A1	4	36	25	0.667806	0.81356	ENST00000374720	0.667806	0	24.041	0	10.0367	0	-8.0057	-0.667806
304	ENSG00000068366.21	ACSL4	3	73	60	0.6677	0.6677	ENST00000672282	0	0.6677	0	40.062	0	43.4447	8.74887	0.6677
305	ENSG00000136156.15	ITM2B	4	31	25	0.66728	1	ENST00000648898	0	0.66728	0	16.682	0	92.8444	7.48962	0.66728
306	ENSG00000149480.7	MTA2	3	28	37	0.666081	0.666081	ENST00000524902	0	0.666081	0	24.645	0	49.9841	8.05002	0.666081
307	ENSG00000023445.17	BIRC3	4	76	100	0.66523	0.66523	ENST00000673846	0	0.66523	0	66.523	0	68.3104	9.47915	0.66523
308	ENSG00000100628.12	ASB2	3	32	29	0.665188	0.665188	ENST00000315988	0.334813	1	10.714	29	18.3577	54.8999	1.4373	0.665188
309	ENSG00000071564.19	TCF3	6	28.999	20	0.664	1	ENST00000262965	0	0.664	0	13.28	0	13.9741	7.16263	0.664
310	ENSG00000103257.10	SLC7A5	2	61	46.726	0.659967	0.659967	ENST00000565644	0.659967	0	40.258	0	45.9806	0	-8.74721	-0.659967
311	ENSG00000113712.19	CSNK1A1	6	38	35	0.659257	1	ENST00000377843	0	0.659257	0	23.074	0	21.3111	7.95537	0.659257
312	ENSG00000033170.17	FUT8	2	24	22	0.659083	0.659083	ENST00000674118	0.659083	0	15.818	0	25.9082	0	-7.40468	-0.659083
313	ENSG00000176986.16	SEC24C	2	50	46	0.651804	0.651804	ENST00000339365	1	0.348196	50	16.017	50.1009	17.7319	-1.62795	-0.651804
314	ENSG00000099331.14	MYO9B	3	42	37	0.651243	0.651243	ENST00000397274	0	0.651243	0	24.096	0	15.6168	8.01764	0.651243
315	ENSG00000123505.20	AMD1	4	42	35	0.650886	0.692429	ENST00000368876	0	0.650886	0	22.781	0	38.536	7.937	0.650886
316	ENSG00000066117.15	SMARCD1	3	21	21	0.650333	0.650333	ENST00000381513	0	0.650333	0	13.657	0	21.578	7.20274	0.650333
317	ENSG00000160752.15	FDPS	6	32	24.999	0.649386	0.764191	ENST00000368356	0	0.649386	0	16.234	0	65.6531	7.45056	0.649386
318	ENSG00000114942.15	EEF1B2	3	112	115	0.649374	0.649374	ENST00000392222	1	0.350626	112	40.322	857.382	341.036	-1.46303	-0.649374
319	ENSG00000186432.10	KPNA4	4	32	32	0.648188	0.648188	ENST00000676958	0.648188	0	20.742	0	26.377	0	-7.79365	-0.648188
320	ENSG00000186470.14	BTN3A2	4	33.009	37.183	0.647339	0.647339	ENST00000377708	0	0.647339	0	24.07	0	32.2167	8.01609	0.647339
321	ENSG00000140750.17	ARHGAP17	5	21	42.001	0.645247	0.645247	ENST00000303665	1	0.354753	21	14.9	30.2134	23.6841	-0.483806	-0.645247
322	ENSG00000005302.19	MSL3	8	39	31	0.642387	1	ENST00000649602	0	0.642387	0	19.914	0	47.467	7.7438	0.642387
323	ENSG00000197535.16	MYO5A	5	26	27.001	0.639385	0.919346	ENST00000688792	0.639385	0	16.624	0	17.8149	0	-7.47597	-0.639385
324	ENSG00000089737.19	DDX24	5	33	43	0.636364	0.822	ENST00000544005	0.636364	0	21	0	45.6739	0	-7.8114	-0.636364
325	ENSG00000135404.12	CD63	2	23	23	0.632348	0.632348	ENST00000257857	0.367652	1	8.456	23	46.7297	140.425	1.4422	0.632348
326	ENSG00000106554.13	CHCHD3	3	28	24.999	0.628919	0.628919	ENST00000262570	0.962893	0.333973	26.961	8.349	85.0558	29.1024	-1.67148	-0.628919
327	ENSG00000163946.14	TASOR	6	23.001	24.999	0.62819	1	ENST00000355628	0.62819	0	14.449	0	12.3711	0	-7.27489	-0.62819
328	ENSG00000161405.18	IKZF3	2	62	48.078	0.627813	0.627813	ENST00000346872	1	0.372187	62	17.894	27.7666	8.85415	-1.77877	-0.627813
329	ENSG00000244462.8	RBM12	3	33.373	23.631	0.626465	0.626465	ENST00000374114	0	0.626465	0	14.804	0	10.9238	7.31833	0.626465
330	ENSG00000100714.18	MTHFD1	6	49.897	53	0.625736	1	ENST00000652337	0	0.625736	0	33.164	0	53.8968	8.47695	0.625736
331	ENSG00000153944.12	MSI2	6	29.001	27	0.62553	0.85535	ENST00000675379	0.62553	0	18.141	0	15.6418	0	-7.60128	-0.62553
332	ENSG00000055609.21	KMT2C	9	27	29	0.625379	0.948333	ENST00000360104	0	0.625379	0	18.136	0	6.09535	7.60954	0.625379
333	ENSG00000097033.15	SH3GLB1	4	31	32	0.623531	0.799935	ENST00000535010	0	0.623531	0	19.953	0	15.7554	7.74661	0.623531
334	ENSG00000095787.26	WAC	5	47	40	0.6184	0.66675	ENST00000347934	0	0.6184	0	24.736	0	45.0912	8.05532	0.6184
335	ENSG00000136279.21	DBNL	6	33	30	0.618091	1	ENST00000468694	0.618091	0	20.397	0	47.9243	0	-7.76956	-0.618091
336	ENSG00000105397.16	TYK2	3	30	27	0.617667	0.617667	ENST00000531836	0	0.617667	0	16.677	0	20.14	7.48919	0.617667
337	ENSG00000111786.10	SRSF9	4	21.572	20.358	0.616787	0.618441	ENST00000229390	0.314296	0.931084	6.78	18.955	32.1082	99.1749	1.47916	0.616787
338	ENSG00000120948.19	TARDBP	9	33.999	37	0.616489	0.892026	ENST00000639083	0.616489	0	20.96	0	44.3459	0	-7.80866	-0.616489
339	ENSG00000133818.14	RRAS2	4	23.986	22	0.615864	0.695239	ENST00000414023	0	0.615864	0	13.549	0	39.1338	7.19136	0.615864
340	ENSG00000204843.13	DCTN1	2	28	26	0.615308	0.615308	ENST00000409240	1	0.384692	28	10.002	29.0656	11.4708	-1.46787	-0.615308
341	ENSG00000178741.12	COX5A	5	27	29	0.614481	0.686	ENST00000564811	0.614481	0	16.591	0	222.859	0	-7.47312	-0.614481
342	ENSG00000113575.13	PPP2CA	6	33.001	37	0.61389	0.923033	ENST00000703309	0.61389	0	20.259	0	58.6289	0	-7.75981	-0.61389
343	ENSG00000174574.16	AKIRIN1	2	26	21	0.613238	0.613238	ENST00000372984	0	0.613238	0	12.878	0	56.276	7.1186	0.613238
344	ENSG00000197879.17	MYO1C	2	36	35	0.613028	0.613028	ENST00000361007	0.386972	1	13.931	35	13.3306	37.0032	1.3319	0.613028
345	ENSG00000086730.17	LAT2	5	37.999	48.999	0.613013	0.656177	ENST00000275635	0	0.613013	0	30.037	0	87.5612	8.33449	0.613013
346	ENSG00000141551.15	CSNK1D	4	21	23	0.612391	0.689826	ENST00000392334	0	0.612391	0	14.085	0	19.0196	7.24696	0.612391
347	ENSG00000269404.7	SPIB	4	31	26.11	0.612218	0.6563	ENST00000439922	0	0.612218	0	15.985	0	24.6456	7.42839	0.612218
348	ENSG00000109685.19	NSD2	10	27	27.999	0.610915	1	ENST00000382891	0	0.610915	0	17.105	0	11.0827	7.52554	0.610915
349	ENSG00000161016.18	RPL8	6	212.999	189	0.609825	1	ENST00000262584	0	0.609825	0	115.257	0	687.681	10.2712	0.609825
350	ENSG00000137776.17	SLTM	7	21	24	0.609714	1	ENST00000492526	0.609714	0	12.804	0	19.7315	0	-7.10171	-0.609714
351	ENSG00000101445.10	PPP1R16B	2	86	73	0.609535	0.609535	ENST00000299824	0.390465	1	33.58	73	23.8707	57.3345	1.12681	0.609535
352	ENSG00000004897.12	CDC27	4	30	37	0.6094	0.6094	ENST00000531206	0.6094	0	18.282	0	26.6797	0	-7.61239	-0.6094
353	ENSG00000310517.1	CAST	8	40	38	0.606475	1	ENST00000504465	0.606475	0	24.259	0	49.6772	0	-8.01867	-0.606475
354	ENSG00000083799.18	CYLD	5	49	50	0.60622	0.62622	ENST00000398568	0	0.60622	0	30.311	0	43.5335	8.34755	0.60622
355	ENSG00000136448.13	NMT1	6	27	33	0.605091	1	ENST00000258960	0	0.605091	0	19.968	0	20.3491	7.74769	0.605091
356	ENSG00000168214.22	RBPJ	2	32	31	0.604781	0.604781	ENST00000342320	0.395219	1	12.647	31	9.80301	26.5477	1.29584	0.604781
357	ENSG00000156976.17	EIF4A2	6	28	35	0.602321	0.602321	ENST00000323963	0.602321	0	16.865	0	44.0346	0	-7.49662	-0.602321
358	ENSG00000131051.24	RBM39	8	30.001	33.999	0.60188	0.834986	ENST00000361162	0.60188	0	18.057	0	29.8842	0	-7.59462	-0.60188
359	ENSG00000100412.17	ACO2	3	40.917	24.788	0.599506	0.599506	ENST00000677554	0.400494	1	16.387	24.788	30.263	50.5786	0.602967	0.599506
360	ENSG00000175224.17	ATG13	7	28	24	0.598708	1	ENST00000524625	0	0.598708	0	14.369	0	18.017	7.27557	0.598708
361	ENSG00000000938.13	FGR	2	23	22	0.598409	0.598409	ENST00000374003	0	0.598409	0	13.165	0	35.0828	7.15017	0.598409
362	ENSG00000145287.12	PLAC8	6	45.299	45	0.598203	0.623502	ENST00000509973	0.598203	0	27.098	0	337.471	0	-8.17775	-0.598203
363	ENSG00000158941.17	CCAR2	5	22	25.906	0.598163	0.744963	ENST00000520738	0	0.598163	0	15.496	0	30.6893	7.38383	0.598163
364	ENSG00000142657.21	PGD	3	27	28	0.598	0.598	ENST00000270776	1	0.402	27	11.256	57.1522	26.3253	-1.24666	-0.598
365	ENSG00000083520.15	DIS3	4	23	29.268	0.596217	0.598777	ENST00000545453	0.596217	0	13.713	0	17.2228	0	-7.19996	-0.596217
366	ENSG00000082898.19	XPO1	4	86.999	82	0.595903	0.713571	ENST00000678741	0.595903	0	51.843	0	56.7105	0	-9.11133	-0.595903
367	ENSG00000138095.20	LRPPRC	6	66	75.001	0.594072	0.652911	ENST00000682480	0	0.594072	0	44.556	0	51.6025	8.90191	0.594072
368	ENSG00000134900.13	TPP2	5	27	26	0.593154	0.593154	ENST00000651544	0	0.593154	0	15.422	0	17.791	7.37697	0.593154
369	ENSG00000075539.15	FRYL	3	20	33	0.592333	0.592333	ENST00000503238	1	0.407667	20	13.453	8.37733	6.22577	-0.560156	-0.592333
370	ENSG00000095585.18	BLNK	4	26	36	0.586985	0.82775	ENST00000696514	0.717846	0.130861	18.664	4.711	53.0447	14.793	-1.95639	-0.586985
371	ENSG00000084754.12	HADHA	3	65	73	0.586233	0.586233	ENST00000380649	0	0.586233	0	42.795	0	74.9981	8.84386	0.586233
372	ENSG00000155366.17	RHOC	5	28.001	32	0.583301	0.736613	ENST00000339083	0.583301	0	16.333	0	80.4698	0	-7.45064	-0.583301
373	ENSG00000130414.13	NDUFA10	7	22	26	0.583227	0.896227	ENST00000677567	0.583227	0	12.831	0	42.2582	0	-7.10473	-0.583227
374	ENSG00000161057.13	PSMC2	3	27	27	0.583185	0.583185	ENST00000292644	0	0.583185	0	15.746	0	30.1839	7.40679	0.583185
375	ENSG00000196628.20	TCF4	5	32	32	0.58275	0.692781	ENST00000637923	0.58275	0	18.648	0	11.2766	0	-7.64084	-0.58275
376	ENSG00000122986.14	HVCN1	5	27.882	21.852	0.581737	0.617603	ENST00000620084	0.581737	0	16.22	0	52.5687	0	-7.44068	-0.581737
377	ENSG00000177156.11	TALDO1	2	23	27	0.581196	0.581196	ENST00000528097	0.162174	0.74337	3.73	20.071	16.243	96.5612	2.40739	0.581196
378	ENSG00000090621.15	PABPC4	4	57	53	0.577386	0.577386	ENST00000677609	0.577386	0	32.911	0	75.0975	0	-8.45726	-0.577386
379	ENSG00000079459.14	FDFT1	5	48	43	0.576605	0.671023	ENST00000525900	0	0.576605	0	24.794	0	86.9348	8.05869	0.576605
380	ENSG00000145349.20	CAMK2D	4	20	25	0.57465	0.58464	ENST00000699415	0.57465	0	11.493	0	10.8734	0	-6.94707	-0.57465
381	ENSG00000281649.4	EBLN3P	2	30	31	0.5734	0.5734	ENST00000653711	0.5734	0	17.202	0	24.4774	0	-7.52501	-0.5734
382	ENSG00000177409.12	SAMD9L	3	40	36	0.573325	0.573325	ENST00000414791	0.573325	0	22.933	0	20.9455	0	-7.9379	-0.573325
383	ENSG00000087460.29	GNAS	8	139	122	0.56873	0.858755	ENST00000488546	0	0.56873	0	69.385	0	283.026	9.53984	0.56873
384	ENSG00000204267.19	TAP2	4	43	33.583	0.568721	0.568721	ENST00000374897	0.568721	0	24.455	0	19.3702	0	-8.03023	-0.568721
385	ENSG00000127824.15	TUBA4A	3	28	38	0.567763	0.567763	ENST00000248437	1	0.432237	28	16.425	66.484	43.0904	-0.75749	-0.567763
386	ENSG00000139626.16	ITGB7	5	56.048	46.928	0.565355	0.631435	ENST00000267082	0	0.565355	0	26.531	0	48.9879	8.15602	0.565355
387	ENSG00000211455.8	STK38L	5	29	30	0.565233	0.565233	ENST00000389032	1	0.434767	29	13.043	26.3175	13.0778	-1.13845	-0.565233
388	ENSG00000114416.19	FXR1	5	29	44	0.564909	0.665545	ENST00000480918	0	0.564909	0	24.856	0	67.1866	8.06227	0.564909
389	ENSG00000135506.17	OS9	3	30	33	0.564394	0.564394	ENST00000435406	0	0.564394	0	18.625	0	41.9364	7.64773	0.564394
390	ENSG00000080345.18	RIF1	3	37	38	0.562868	0.562868	ENST00000243326	0	0.562868	0	21.389	0	6.84228	7.84642	0.562868
391	ENSG00000111266.9	DUSP16	3	33	29	0.559966	0.559966	ENST00000298573	1	0.440034	33	12.761	21.9876	9.39389	-1.35561	-0.559966
392	ENSG00000065150.21	IPO5	3	70	73	0.559151	0.559151	ENST00000357602	0	0.559151	0	40.818	0	47.1578	8.77577	0.559151
393	ENSG00000154001.14	PPP2R5E	3	25	25.001	0.557655	0.557655	ENST00000422769	0.92704	0.369385	23.176	9.235	30.6688	13.5014	-1.31007	-0.557655
394	ENSG00000145675.16	PIK3R1	5	30	35	0.557167	0.6825	ENST00000697467	0.557167	0	16.715	0	14.7461	0	-7.4838	-0.557167
395	ENSG00000013374.17	NUB1	4	32	27	0.555306	0.658556	ENST00000413040	0.89675	0.341444	28.696	9.219	42.905	15.2297	-1.61965	-0.555306
