BSS00484	ESC	H9		ESC			embryonic	5	day	female	cell line	#924965	Stem-like	Roadmap 2015	ENCDO222AAA	H9
BSS00493	Heart	heart_embryo_(101_day)		HEART			embryonic	101	day	unknown/mixed	tissue	#D56F80	Tissue	Roadmap 2015	ENCDO308YQF	heart embryo (101 day)
BSS00496	Heart	heart_embryo_(96_days)		HEART			embryonic	96	day	unknown/mixed	tissue	#D56F80	Tissue	Roadmap (New)	ENCDO226BUZ	heart embryo (96 days)
BSS00498	Heart	heart_female_embryo_(103_days)		HEART			embryonic	103	day	female	tissue	#D56F80	Tissue	Roadmap (New)	ENCDO623IAT	heart female embryo (103 days)
BSS00499	Heart	heart_female_embryo_(105_days)		HEART			embryonic	105	day	female	tissue	#D56F80	Tissue	Roadmap (New)	ENCDO718LHH	heart female embryo (105 days)
BSS00500	Heart	heart_female_embryo_(110_days)		HEART			embryonic	110	day	female	tissue	#D56F80	Tissue	Roadmap (New)	ENCDO087TLK	heart female embryo (110 days)
BSS00502	Heart	heart_female_embryo_(117_days)		HEART			embryonic	117	day	female	tissue	#D56F80	Tissue	Roadmap (New)	ENCDO453STB	heart female embryo (117 days)
BSS00503	Heart	heart_female_embryo_(147_days)		HEART			embryonic	147	day	female	tissue	#D56F80	Tissue	Roadmap (New)	ENCDO863JOG	heart female embryo (147 days)
BSS00505	Heart	heart_female_embryo_(91_day)		HEART			embryonic	91	day	female	tissue	#D56F80	Tissue	Roadmap (New)	ENCDO605ZCF	heart female embryo (91 day)
BSS00511	Liver	liver_male_adult_(32 years)		LIVER			adult	32	year	male	tissue	#5151E7	Tissue	Roadmap (New)	ENCDO060AAA	heart left ventricle male adult (32 years)
BSS00512	Heart	heart_left_ventricle_male_adult_(34_years)		HEART LEFT VENTRICLE			adult	34	year	male	tissue	#D56F80	Tissue	Roadmap 2015	ENCDO058AAA	heart left ventricle male adult (34 years)
BSS00513	Heart	heart_left_ventricle_male_child_(3_years)		HEART LEFT VENTRICLE			child	3	year	male	tissue	#D56F80	Tissue	Roadmap 2015	ENCDO478OMA	heart left ventricle male child (3 years)
BSS00516	Heart	heart_male_child_(3_years)		HEART			child	3	year	male	tissue	#D56F80	Tissue	Roadmap (New)	ENCDO478OMA	heart male child (3 years)
BSS00517	Heart	heart_male_embryo_(105_days)		HEART			embryonic	105	day	male	tissue	#D56F80	Tissue	Roadmap 2015	ENCDO350ZUK	heart male embryo (105 days)
BSS00518	Heart	heart_male_embryo_(110_days)		HEART			embryonic	110	day	male	tissue	#D56F80	Tissue	Roadmap (New)	ENCDO640NNW	heart male embryo (110 days)
BSS00519	Heart	heart_male_embryo_(120_days)		HEART			embryonic	120	day	male	tissue	#D56F80	Tissue	Roadmap (New)	ENCDO249ZDZ	heart male embryo (120 days)
BSS00521	Heart	heart_male_embryo_(91_day)		HEART			embryonic	91	day	male	tissue	#D56F80	Tissue	Roadmap 2015	ENCDO375VTO	heart male embryo (91 day)
BSS00522	Heart	heart_male_embryo_(96_days)		HEART			embryonic	96	day	male	tissue	#D56F80	Tissue	Roadmap 2015	ENCDO778DGP	heart male embryo (96 days)
BSS00524	Heart	heart_right_ventricle_male_adult_(34_years)		HEART RIGHT VENTRICLE			adult	34	year	male	tissue	#D56F80	Tissue	Roadmap 2015	ENCDO058AAA	heart right ventricle male adult (34 years)
BSS00525	Heart	heart_right_ventricle_male_child_(3_years)		HEART RIGHT VENTRICLE			child	3	year	male	tissue	#D56F80	Tissue	Roadmap 2015	ENCDO478OMA	heart right ventricle male child (3 years)
BSS00543	HSC & B-cell	hematopoietic_multipotent_progenitor_cell		MPP			unknown/mixed	unknown		unknown/mixed	in vitro differentiated cells	#55A354	Immune	Roadmap (New)	ENCDO116AAA,ENCDO579CCQ,ENCDO937OUY	hematopoietic multipotent progenitor cell
BSS00553	Liver	hepatic_stellate_cell_female_adult_(59_years)		HEPATIC STELLATE CELL			adult	59	year	female	primary cell	#5151E7	Tissue	ENCODE (New)	ENCDO282AAA	hepatic stellate cell female adult (59 years)
BSS00554	Liver	hepatocyte		HEPATOCYTE			unknown/mixed	unknown		unknown/mixed	primary cell	#5151E7	Tissue	ENCODE (New)	ENCDO102AAA	hepatocyte
BSS00556	ES-deriv	hepatocyte_originated_from_H9	Liver	HEPATOCYTE DERIV			embryonic	5	day	female	in vitro differentiated cells	#4178AE	Stem-like	ENCODE (New)	ENCDO222AAA	hepatocyte originated from H9
BSS00558	Cancer	HepG2	Liver	HEPATOCELLULAR CARCINOMA			child	15	year	male	cell line	#000000	Other	ENCODE 2012	ENCDO000AAC	HepG2
BSS00694	Cancer	HepG2_treated_with_2_mM_pravastatin_for_16_hours	Liver	HEPATOCELLULAR CARCINOMA	HepG2	2_mM_pravastatin_for_16_hours	unknown/mixed			unknown/mixed	cell line	#000000	Other	ENCODE (New)	NA	NA
BSS00695	Cancer	HepG2_treated_with_forskolin_and_pyruvate_for_6_hours	Liver	HEPATOCELLULAR CARCINOMA	HepG2	forskolin_and_pyruvate_for_6_hours	unknown/mixed			unknown/mixed	cell line	#000000	Other	ENCODE (New)	NA	NA
BSS00700	Muscle	hindlimb_muscle_male_embryo_(120_days)		LEG MUSCLE			embryonic	120	day	male	tissue	#C2655D	Tissue	Roadmap (New)	ENCDO249ZDZ	hindlimb muscle male embryo (120 days)
BSS00715	ESC	HUES48		ESC			embryonic	unknown		female	cell line	#924965	Stem-like	Roadmap 2015	ENCDO741IWK	HUES48
BSS00716	ESC	HUES6		ESC			embryonic	unknown		female	cell line	#924965	Stem-like	Roadmap 2015	ENCDO734LQV	HUES6
BSS00717	ESC	HUES64		ESC			embryonic	unknown		male	cell line	#924965	Stem-like	Roadmap 2015	ENCDO424FTP	HUES64
BSS00718	Cancer	HuH-7	Liver	HEPATOCELLULAR CARCINOMA			adult	57	year	male	cell line	#000000	Other	ENCODE (New)	ENCDO000ACU	HuH-7
BSS00719	Cancer	HuH-7.5	Liver	HEPATOCELLULAR CARCINOMA			adult	57	year	male	cell line	#000000	Other	ENCODE (New)	ENCDO000ACU	HuH-7.5
BSS00720	Stromal	IMR-90	Lung	LUNG FIBROBLAST			embryonic	16	week	female	cell line	#FF720C	Primary Cell	Roadmap 2015	ENCDO000AAX	IMR-90
BSS00729	Brain	inferior_parietal_cortex_male_adult_(84_years)		INFERIOR PARIETAL CORTEX			adult	84	year	male	tissue	#C5912B	Neural	ENCODE (New)	ENCDO240JUB	inferior parietal cortex male adult (84 years)
BSS00731	iPSC	iPS_DF_19.11_male_newborn		iPSC			newborn	unknown		male	cell line	#69608A	Stem-like	Roadmap 2015	ENCDO592CQV	iPS DF 19.11 male newborn
BSS00732	iPSC	iPS_DF_19.7_male_newborn		iPSC			newborn	unknown		male	cell line	#69608A	Stem-like	Roadmap (New)	ENCDO592CQV	iPS DF 19.7 male newborn
BSS00733	iPSC	iPS_DF_4.7_male_newborn		iPSC			newborn	unknown		male	cell line	#69608A	Stem-like	Roadmap (New)	ENCDO592CQV	iPS DF 4.7 male newborn
BSS00734	iPSC	iPS_DF_6.9_male_newborn		iPSC			newborn	unknown		male	cell line	#69608A	Stem-like	Roadmap 2015	ENCDO592CQV	iPS DF 6.9 male newborn
BSS00735	iPSC	iPS-11a_male_adult_(36_years)		iPSC			adult	36	year	male	cell line	#69608A	Stem-like	Roadmap (New)	ENCDO632AGT	iPS-11a male adult (36 years)
BSS00736	iPSC	iPS-15b_female_adult_(48_years)		iPSC			adult	48	year	female	cell line	#69608A	Stem-like	Roadmap 2015	ENCDO163OST	iPS-15b female adult (48 years)
BSS00737	iPSC	iPS-18a_female_adult_(48_years)		iPSC			adult	48	year	female	cell line	#69608A	Stem-like	Roadmap 2015	ENCDO844VGJ	iPS-18a female adult (48 years)
BSS00738	iPSC	iPS-18c_female_adult_(48_years)		iPSC			adult	48	year	female	cell line	#69608A	Stem-like	Roadmap 2015	ENCDO844VGJ	iPS-18c female adult (48 years)
BSS00739	iPSC	iPS-20b_male_adult_(55_years)		iPSC			adult	55	year	male	cell line	#69608A	Stem-like	Roadmap 2015	ENCDO175XVW	iPS-20b male adult (55 years)
BSS01084	Kidney	kidney_female_embryo_(105_days)		KIDNEY			embryonic	105	day	female	tissue	#660000	Tissue	Roadmap (New)	ENCDO718LHH,ENCDO863KZW	kidney female embryo (105 days)
BSS01085	Kidney	kidney_female_embryo_(108_days)		KIDNEY			embryonic	108	day	female	tissue	#660000	Tissue	Roadmap (New)	ENCDO012PVK	kidney female embryo (108 days)
BSS01086	Kidney	kidney_female_embryo_(113_days)		KIDNEY			embryonic	113	day	female	tissue	#660000	Tissue	Roadmap (New)	ENCDO319EMZ	kidney female embryo (113 days)
BSS01088	Kidney	kidney_female_embryo_(120_days)		KIDNEY			embryonic	120	day	female	tissue	#660000	Tissue	Roadmap 2015	ENCDO670CKN	kidney female embryo (120 days)
BSS01089	Kidney	kidney_female_embryo_(121_day)		KIDNEY			embryonic	121	day	female	tissue	#660000	Tissue	Roadmap (New)	ENCDO920LST	kidney female embryo (121 day)
BSS01091	Kidney	kidney_female_embryo_(85_days)		KIDNEY			embryonic	85	day	female	tissue	#660000	Tissue	Roadmap (New)	ENCDO165PKL	kidney female embryo (85 days)
BSS01096	Kidney	kidney_male_adult_(50_years)		KIDNEY			adult	50	year	male	tissue	#660000	Tissue	Roadmap (New)	ENCDO646IOH	kidney male adult (50 years)
BSS01097	Kidney	kidney_male_adult_(67_years)		KIDNEY			adult	67	year	male	tissue	#660000	Tissue	Roadmap (New)	ENCDO620KOS	kidney male adult (67 years)
BSS01099	Kidney	kidney_male_embryo_(105_days)		KIDNEY			embryonic	105	day	male	tissue	#660000	Tissue	Roadmap (New)	ENCDO350ZUK	kidney male embryo (105 days)
BSS01100	Kidney	kidney_male_embryo_(85_days)		KIDNEY			embryonic	85	day	male	tissue	#660000	Tissue	Roadmap (New)	ENCDO342PFI	kidney male embryo (85 days)
BSS01101	Kidney	kidney_male_embryo_(87_days)		KIDNEY			embryonic	87	day	male	tissue	#660000	Tissue	Roadmap (New)	ENCDO443KWV	kidney male embryo (87 days)
BSS01109	Digestive	large_intestine_female_embryo_(103_days)		LARGE INTESTINE			embryonic	103	day	female	tissue	#C58DAA	Tissue	Roadmap (New)	ENCDO623IAT	large intestine female embryo (103 days)
BSS01110	Digestive	large_intestine_female_embryo_(105_days)		LARGE INTESTINE			embryonic	105	day	female	tissue	#C58DAA	Tissue	Roadmap (New)	ENCDO766MZV	large intestine female embryo (105 days)
BSS01111	Digestive	large_intestine_female_embryo_(107_days)		LARGE INTESTINE			embryonic	107	day	female	tissue	#C58DAA	Tissue	Roadmap (New)	ENCDO607LOS	large intestine female embryo (107 days)
BSS01112	Digestive	large_intestine_female_embryo_(108_days)		LARGE INTESTINE			embryonic	108	day	female	tissue	#C58DAA	Tissue	Roadmap (New)	ENCDO012PVK	large intestine female embryo (108 days)
BSS01113	Digestive	large_intestine_female_embryo_(110_days)		LARGE INTESTINE			embryonic	110	day	female	tissue	#C58DAA	Tissue	Roadmap (New)	ENCDO087TLK	large intestine female embryo (110 days)
BSS01114	Digestive	large_intestine_female_embryo_(120_days)		LARGE INTESTINE			embryonic	120	day	female	tissue	#C58DAA	Tissue	Roadmap (New)	ENCDO555CMC	large intestine female embryo (120 days)
BSS01116	Digestive	large_intestine_female_embryo_(91_day)		LARGE INTESTINE			embryonic	91	day	female	tissue	#C58DAA	Tissue	Roadmap (New)	ENCDO605ZCF	large intestine female embryo (91 day)
BSS01117	Digestive	large_intestine_female_embryo_(98_days)		LARGE INTESTINE			embryonic	98	day	female	tissue	#C58DAA	Tissue	Roadmap (New)	ENCDO837QWL	large intestine female embryo (98 days)
BSS01118	Digestive	large_intestine_male_embryo_(105_days)		LARGE INTESTINE			embryonic	105	day	male	tissue	#C58DAA	Tissue	Roadmap (New)	ENCDO171HMD,ENCDO350ZUK	large intestine male embryo (105 days)
BSS01119	Digestive	large_intestine_male_embryo_(108_days)		LARGE INTESTINE			embryonic	108	day	male	tissue	#C58DAA	Tissue	Roadmap 2015	ENCDO119ASK,ENCDO132ASK	large intestine male embryo (108 days)
BSS01120	Digestive	large_intestine_male_embryo_(113_days)		LARGE INTESTINE			embryonic	113	day	male	tissue	#C58DAA	Tissue	Roadmap (New)	ENCDO608XKS	large intestine male embryo (113 days)
BSS01121	Digestive	large_intestine_male_embryo_(115_days)		LARGE INTESTINE			embryonic	115	day	male	tissue	#C58DAA	Tissue	Roadmap (New)	ENCDO999JZG	large intestine male embryo (115 days)
BSS01122	Digestive	large_intestine_male_embryo_(91_day)		LARGE INTESTINE			embryonic	91	day	male	tissue	#C58DAA	Tissue	Roadmap (New)	ENCDO375VTO	large intestine male embryo (91 day)
BSS01124	Brain	layer_of_hippocampus_female_adult_(75_years)		HIPPOCAMPUS			adult	75	year	female	tissue	#C5912B	Neural	Roadmap (New)	ENCDO871IWW	layer of hippocampus female adult (75 years)
BSS01125	Brain	layer_of_hippocampus_male_adult_(73_years)		HIPPOCAMPUS			adult	73	year	male	tissue	#C5912B	Neural	Roadmap 2015	ENCDO636RDE	layer of hippocampus male adult (73 years)
BSS01126	Brain	layer_of_hippocampus_male_adult_(81_year)		HIPPOCAMPUS			adult	81	year	male	tissue	#C5912B	Neural	Roadmap 2015	ENCDO980BZD	layer of hippocampus male adult (81 year)
BSS01128	Kidney	left_kidney_female_embryo_(107_days)		KIDNEY			embryonic	107	day	female	tissue	#660000	Tissue	Roadmap (New)	ENCDO607LOS	left kidney female embryo (107 days)
BSS01129	Kidney	left_kidney_female_embryo_(110_days)		KIDNEY			embryonic	110	day	female	tissue	#660000	Tissue	Roadmap (New)	ENCDO087TLK	left kidney female embryo (110 days)
BSS01130	Kidney	left_kidney_female_embryo_(147_days)		KIDNEY			embryonic	147	day	female	tissue	#660000	Tissue	Roadmap (New)	ENCDO863JOG	left kidney female embryo (147 days)
BSS01132	Kidney	left_kidney_female_embryo_(87_days)		KIDNEY			embryonic	87	day	female	tissue	#660000	Tissue	Roadmap (New)	ENCDO814BQX	left kidney female embryo (87 days)
BSS01133	Kidney	left_kidney_female_embryo_(98_days)		KIDNEY			embryonic	98	day	female	tissue	#660000	Tissue	Roadmap (New)	ENCDO633IHH	left kidney female embryo (98 days)
BSS01134	Kidney	left_kidney_male_embryo_(115_days)		KIDNEY			embryonic	115	day	male	tissue	#660000	Tissue	Roadmap (New)	ENCDO816OTW	left kidney male embryo (115 days)
BSS01135	Kidney	left_kidney_male_embryo_(87_days)		KIDNEY			embryonic	87	day	male	tissue	#660000	Tissue	Roadmap (New)	ENCDO126IGB	left kidney male embryo (87 days)
BSS01136	Kidney	left_kidney_male_embryo_(96_days)		KIDNEY			embryonic	96	day	male	tissue	#660000	Tissue	Roadmap (New)	ENCDO817EKT	left kidney male embryo (96 days)
BSS01137	Lung	left_lung_female_embryo_(105_days)		LUNG			embryonic	105	day	female	tissue	#D9D2E9	Tissue	Roadmap (New)	ENCDO766MZV	left lung female embryo (105 days)
BSS01138	Lung	left_lung_female_embryo_(107_days)		LUNG			embryonic	107	day	female	tissue	#D9D2E9	Tissue	Roadmap (New)	ENCDO607LOS	left lung female embryo (107 days)
BSS01139	Lung	left_lung_female_embryo_(108_days)		LUNG			embryonic	108	day	female	tissue	#D9D2E9	Tissue	Roadmap (New)	ENCDO012PVK	left lung female embryo (108 days)
BSS01140	Lung	left_lung_female_embryo_(110_days)		LUNG			embryonic	110	day	female	tissue	#D9D2E9	Tissue	Roadmap (New)	ENCDO087TLK	left lung female embryo (110 days)
BSS01141	Lung	left_lung_female_embryo_(117_days)		LUNG			embryonic	117	day	female	tissue	#D9D2E9	Tissue	Roadmap (New)	ENCDO453STB	left lung female embryo (117 days)
BSS01142	Lung	left_lung_female_embryo_(91_day)		LUNG			embryonic	91	day	female	tissue	#D9D2E9	Tissue	Roadmap (New)	ENCDO605ZCF	left lung female embryo (91 day)
BSS01143	Lung	left_lung_female_embryo_(98_days)		LUNG			embryonic	98	day	female	tissue	#D9D2E9	Tissue	Roadmap (New)	ENCDO837QWL	left lung female embryo (98 days)
BSS01144	Lung	left_lung_male_embryo_(105_days)		LUNG			embryonic	105	day	male	tissue	#D9D2E9	Tissue	Roadmap (New)	ENCDO171HMD	left lung male embryo (105 days)
BSS01145	Lung	left_lung_male_embryo_(113_days)		LUNG			embryonic	113	day	male	tissue	#D9D2E9	Tissue	Roadmap (New)	ENCDO608XKS	left lung male embryo (113 days)
BSS01146	Lung	left_lung_male_embryo_(115_days)		LUNG			embryonic	115	day	male	tissue	#D9D2E9	Tissue	Roadmap (New)	ENCDO816OTW	left lung male embryo (115 days)
BSS01147	Lung	left_lung_male_embryo_(87_days)		LUNG			embryonic	87	day	male	tissue	#D9D2E9	Tissue	Roadmap (New)	ENCDO126IGB	left lung male embryo (87 days)
BSS01148	Lung	left_lung_male_embryo_(91_day)		LUNG			embryonic	91	day	male	tissue	#D9D2E9	Tissue	Roadmap (New)	ENCDO375VTO	left lung male embryo (91 day)
BSS01149	Lung	left_lung_male_embryo_(96_days)		LUNG			embryonic	96	day	male	tissue	#D9D2E9	Tissue	Roadmap (New)	ENCDO817EKT	left lung male embryo (96 days)
BSS01150	Kidney	left_renal_cortex_interstitium_male_embryo_(105_days)		RENAL CORTEX INTERSTITIUM			embryonic	105	day	male	tissue	#660000	Tissue	Roadmap (New)	ENCDO171HMD,ENCDO378UAU,ENCDO513BVP	left renal cortex interstitium male embryo (105 days)
BSS01151	Kidney	left_renal_cortex_interstitium_male_embryo_(120_days)		RENAL CORTEX INTERSTITIUM			embryonic	120	day	male	tissue	#660000	Tissue	Roadmap (New)	ENCDO327QNA	left renal cortex interstitium male embryo (120 days)
BSS01152	Kidney	left_renal_pelvis_male_embryo_(105_days)		RENAL PELVIS			embryonic	105	day	male	tissue	#660000	Tissue	Roadmap (New)	ENCDO171HMD,ENCDO378UAU,ENCDO513BVP	left renal pelvis male embryo (105 days)
BSS01153	Kidney	left_renal_pelvis_male_embryo_(120_days)		RENAL PELVIS			embryonic	120	day	male	tissue	#660000	Tissue	Roadmap (New)	ENCDO327QNA	left renal pelvis male embryo (120 days)
BSS01158	Liver	liver_embryo_(59_days)_and_embryo_(80_days)		LIVER			embryonic	59,80	day	unknown/mixed	tissue	#5151E7	Tissue	ENCODE (New)	ENCDO163CLX,ENCDO662IIE	liver embryo (59 days) and embryo (80 days)
BSS01159	Liver	liver_female_adult_(25_years)		LIVER			adult	25	year	female	tissue	#5151E7	Tissue	Roadmap 2015	ENCDO776UMN	liver female adult (25 years)
BSS01161	Liver	liver_female_child_(4_years)		LIVER			child	4	year	female	tissue	#5151E7	Tissue	ENCODE (New)	NA	NA
BSS01163	Liver	liver_female_child_(6_years)_and_male_adult_(32_years)		LIVER			unknown/mixed	6,32	year	unknown/mixed	tissue	#5151E7	Tissue	ENCODE (New)	NA	NA
BSS01164	Liver	liver_female_embryo_(101_day)_and_female_embryo_(113_days)		LIVER			embryonic	101,113	day	female	tissue	#5151E7	Tissue	ENCODE (New)	ENCDO060OTP,ENCDO987XTQ	liver female embryo (101 day) and female embryo (113 days)
BSS01168	Liver	liver_male_adult_(31_year)		LIVER			adult	31	year	male	tissue	#5151E7	Tissue	Roadmap 2015	ENCDO832GKP	liver male adult (31 year)
BSS01169	Liver	liver_male_adult_(32_years)		LIVER			adult	32	year	male	tissue	#5151E7	Tissue	Roadmap (New)	ENCDO060AAA	liver male adult (32 years)
BSS01170	Liver	liver_male_adult_(78_years)		LIVER			adult	78	year	male	tissue	#5151E7	Tissue	Roadmap 2015	ENCDO232KQV	liver male adult (78 years)
BSS01185	Epithelial	luminal_epithelial_cell_of_mammary_gland_female_adult_(33_years)		MAMMARY LUMINAL EPITHELIAL CELL			adult	33	year	female	primary cell	#FF9D0C	Primary Cell	Roadmap (New)	ENCDO819SJC	luminal epithelial cell of mammary gland female adult (33 years)
BSS01186	Lung	lung_embryo_(101_day)		LUNG			embryonic	101	day	unknown/mixed	tissue	#D9D2E9	Tissue	Roadmap 2015	ENCDO308YQF	lung embryo (101 day)
BSS01187	Lung	lung_embryo_(112_days)		LUNG			embryonic	112	day	unknown/mixed	tissue	#D9D2E9	Tissue	Roadmap (New)	ENCDO307OVZ	lung embryo (112 days)
BSS01188	Lung	lung_embryo_(67_days)		LUNG			embryonic	67	day	unknown/mixed	tissue	#D9D2E9	Tissue	Roadmap (New)	ENCDO936EIF	lung embryo (67 days)
BSS01190	Lung	lung_female_adult_(30_years)		LUNG			adult	30	year	female	tissue	#D9D2E9	Tissue	Roadmap 2015	ENCDO424HVB	lung female adult (30 years)
BSS01192	Lung	lung_female_embryo_(108_days)		LUNG			embryonic	108	day	female	tissue	#D9D2E9	Tissue	Roadmap (New)	ENCDO440SUR	lung female embryo (108 days)
BSS01193	Lung	lung_female_embryo_(120_days)		LUNG			embryonic	120	day	female	tissue	#D9D2E9	Tissue	Roadmap 2015	ENCDO670CKN	lung female embryo (120 days)
BSS01196	Lung	lung_female_embryo_(82_days)		LUNG			embryonic	82	day	female	tissue	#D9D2E9	Tissue	Roadmap 2015	ENCDO058TGV	lung female embryo (82 days)
BSS01197	Lung	lung_female_embryo_(85_days)		LUNG			embryonic	85	day	female	tissue	#D9D2E9	Tissue	Roadmap 2015	ENCDO316SVQ	lung female embryo (85 days)
BSS01198	Lung	lung_female_embryo_(96_days)		LUNG			embryonic	96	day	female	tissue	#D9D2E9	Tissue	Roadmap 2015	ENCDO370HUJ	lung female embryo (96 days)
BSS01201	Lung	lung_male_child_(3_years)		LUNG			child	3	year	male	tissue	#D9D2E9	Tissue	Roadmap (New)	ENCDO478OMA	lung male child (3 years)
BSS01202	Lung	lung_male_embryo_(103_days)		LUNG			embryonic	103	day	male	tissue	#D9D2E9	Tissue	Roadmap (New)	ENCDO430ZSC	lung male embryo (103 days)
BSS01203	Lung	lung_male_embryo_(108_days)		LUNG			embryonic	108	day	male	tissue	#D9D2E9	Tissue	Roadmap (New)	ENCDO177SBN	lung male embryo (108 days)
BSS01205	Lung	lung_male_embryo_(82_days)		LUNG			embryonic	82	day	male	tissue	#D9D2E9	Tissue	Roadmap (New)	ENCDO023VAX	lung male embryo (82 days)
BSS01208	Cancer	M059J	Brain	GLIOBLASTOMA			adult	33	year	male	cell line	#000000	Other	ENCODE (New)	ENCDO000ACY	M059J
BSS01211	Epithelial	mammary_epithelial_cell_female_adult_(18_years)		MAMMARY EPITHELIAL CELL			adult	18	year	female	primary cell	#FF9D0C	Primary Cell	Roadmap 2015	ENCDO147MBH	mammary epithelial cell female adult (18 years)
BSS01216	Other	mammary_stem_cell		MAMMARY STEM CELL			adult	33	year	female	primary cell	#999999	Other	Roadmap (New)	ENCDO819SJC	mammary stem cell
BSS01250	Brain	medulla_oblongata_male_adult_(78_years)_and_male_adult_(84_years)		MEDULLA OBLONGATA			adult	84,78	year	male	tissue	#C5912B	Neural	ENCODE (New)	ENCDO240JUB,ENCDO317XRR	medulla oblongata male adult (78 years) and male adult (84 years)
BSS01251	Cancer	medulloblastoma	Brain	MEDULLOBLASTOMA			child	2,3	year	male	cell line	#000000	Other	ENCODE (New)	ENCDO000ACZ,ENCDO000ADA	medulloblastoma
BSS01260	Mesench	mesenchymal_stem_cell_originated_from_adipose_tissue		MESENCHYMAL STEM CELL			adult	41,59,unknown	year	female	in vitro differentiated cells	#B65C73	Tissue	Roadmap 2015	ENCDO477HWZ,ENCDO535TMW,ENCDO608RNO	mesenchymal stem cell originated from adipose tissue
BSS01261	ES-deriv	mesenchymal_stem_cell_originated_from_H1-hESC	Mesench	MESENCHYMAL STEM DERIV			embryonic	unknown		male	in vitro differentiated cells	#4178AE	Stem-like	Roadmap 2015	ENCDO000AAW	mesenchymal stem cell originated from H1-hESC
BSS01263	ES-deriv	mesendoderm_originated_from_H1-hESC		MESENDODERM DERIV			embryonic	unknown		male	in vitro differentiated cells	#4178AE	Stem-like	Roadmap 2015	ENCDO000AAW	mesendoderm originated from H1-hESC
BSS01264	ES-deriv	mesodermal_cell_originated_from_HUES64		MESODERMAL DERIV			embryonic	unknown		male	in vitro differentiated cells	#4178AE	Stem-like	Roadmap 2015	ENCDO424FTP	mesodermal cell originated from HUES64
BSS01270	Brain	midbrain_male_adult_(78_years)_and_male_adult_(84_years)		MIDBRAIN			adult	78,84	year	male	tissue	#C5912B	Neural	ENCODE (New)	ENCDO240JUB,ENCDO317XRR	midbrain male adult (78 years) and male adult (84 years)
BSS01271	Brain	middle_frontal_area_46_female_adult_(75_years)		MIDDLE FRONTAL AREA			adult	75	year	female	tissue	#C5912B	Neural	Roadmap 2015	ENCDO871IWW	middle frontal area 46 female adult (75 years)
BSS01272	Brain	middle_frontal_area_46_male_adult_(81_year)		MIDDLE FRONTAL AREA			adult	81	year	male	tissue	#C5912B	Neural	Roadmap 2015	ENCDO980BZD	middle frontal area 46 male adult (81 year)
BSS01273	Brain	middle_frontal_gyrus_male_adult_(78_years)		MIDDLE FRONTAL GYRUS			adult	78	year	male	tissue	#C5912B	Neural	ENCODE (New)	ENCDO317XRR	middle frontal gyrus male adult (78 years)
BSS01282	Digestive	mucosa_of_rectum_female_adult_(50_years)		RECTUM MUCOSA			adult	50	year	female	tissue	#C58DAA	Tissue	Roadmap 2015	ENCDO654NKH	mucosa of rectum female adult (50 years)
BSS01283	Digestive	mucosa_of_rectum_female_adult_(61_year)		RECTUM MUCOSA			adult	61	year	female	tissue	#C58DAA	Tissue	Roadmap 2015	ENCDO896AXO	mucosa of rectum female adult (61 year)
BSS01284	Digestive	mucosa_of_stomach_male_adult_(59_years)		STOMACH MUCOSA			adult	59	year	male	tissue	#C58DAA	Tissue	Roadmap 2015	ENCDO895TFL	mucosa of stomach male adult (59 years)
BSS01285	Sm. Muscle	muscle_layer_of_colon_female_adult_(56_years)	Digestive	COLON MUSCLE			adult	56	year	female	tissue	#F182BC	Tissue	Roadmap 2015	ENCDO266YSK	muscle layer of colon female adult (56 years)
BSS01286	Sm. Muscle	muscle_layer_of_colon_female_adult_(77_years)	Digestive	COLON MUSCLE			adult	77	year	female	tissue	#F182BC	Tissue	Roadmap 2015	ENCDO731PNE	muscle layer of colon female adult (77 years)
BSS01287	Sm. Muscle	muscle_layer_of_duodenum_male_adult_(59_years)	Digestive	DUODENUM MUSCLE			adult	59	year	male	tissue	#F182BC	Tissue	Roadmap 2015	ENCDO858AJQ	muscle layer of duodenum male adult (59 years)
BSS01288	Sm. Muscle	muscle_layer_of_duodenum_male_adult_(73_years)	Digestive	DUODENUM MUSCLE			adult	73	year	male	tissue	#F182BC	Tissue	Roadmap 2015	ENCDO024FMB	muscle layer of duodenum male adult (73 years)
BSS01289	Muscle	muscle_of_arm_embryo_(101_day)		ARM MUSCLE			embryonic	101	day	unknown/mixed	tissue	#C2655D	Tissue	Roadmap (New)	ENCDO072LQF	muscle of arm embryo (101 day)
BSS01290	Muscle	muscle_of_arm_female_embryo_(105_days)		ARM MUSCLE			embryonic	105	day	female	tissue	#C2655D	Tissue	Roadmap (New)	ENCDO766MZV	muscle of arm female embryo (105 days)
BSS01291	Muscle	muscle_of_arm_female_embryo_(115_days)		ARM MUSCLE			embryonic	115	day	female	tissue	#C2655D	Tissue	Roadmap (New)	ENCDO594VTA	muscle of arm female embryo (115 days)
BSS01292	Muscle	muscle_of_arm_female_embryo_(120_days)		ARM MUSCLE			embryonic	120	day	female	tissue	#C2655D	Tissue	Roadmap (New)	ENCDO555CMC	muscle of arm female embryo (120 days)
BSS01293	Muscle	muscle_of_arm_female_embryo_(85_days)		ARM MUSCLE			embryonic	85	day	female	tissue	#C2655D	Tissue	Roadmap (New)	ENCDO527XLA	muscle of arm female embryo (85 days)
