Unnamed: 0	Group	BSSID	Extended Info	Unnamed: 4	Group.1	BSSID.1	Extended Info.1	Unnamed: 8	Group.2	BSSID.2	Extended Info.2
178	Cancer	BSS00027	LUNG EPITHELIAL CARCINOMA	465	HSC & B-cell	BSS00093	B CELL	752.0	Placenta & EEM	BSS01437	PLACENTA
179	Cancer	BSS00016	LUNG EPITHELIAL CARCINOMA	466	HSC & B-cell	BSS00096	B CELL	753.0	Placenta & EEM	BSS01435	PLACENTA
180	Cancer	BSS00020	LUNG EPITHELIAL CARCINOMA	467	HSC & B-cell	BSS00100	B CELL	754.0	Placenta & EEM	BSS01443	PLACENTA
181	Cancer	BSS00023	LUNG EPITHELIAL CARCINOMA	468	HSC & B-cell	BSS00101	B CELL	755.0	Placenta & EEM	BSS01444	PLACENTA
182	Cancer	BSS00024	LUNG EPITHELIAL CARCINOMA	469	HSC & B-cell	BSS00095	B CELL	756.0	Placenta & EEM	BSS01433	PLACENTA
183	Cancer	BSS00026	LUNG EPITHELIAL CARCINOMA	470	HSC & B-cell	BSS00179	CD14 MONOCYTE	757.0	Placenta & EEM	BSS01432	PLACENTA
184	Cancer	BSS00028	LUNG EPITHELIAL CARCINOMA	471	HSC & B-cell	BSS00181	CD14 MONOCYTE	758.0	Placenta & EEM	BSS01430	PLACENTA
185	Cancer	BSS00029	LUNG EPITHELIAL CARCINOMA	472	HSC & B-cell	BSS00180	CD14 MONOCYTE	759.0	Placenta & EEM	BSS01448	PLACENTA
186	Cancer	BSS00018	LUNG EPITHELIAL CARCINOMA	473	HSC & B-cell	BSS00178	CD14 MONOCYTE	760.0	Placenta & EEM	BSS01446	PLACENTA
187	Cancer	BSS00025	LUNG EPITHELIAL CARCINOMA	474	HSC & B-cell	BSS00182	CD1C MYELOID DENDRITIC CELL	761.0	Placenta & EEM	BSS01441	PLACENTA
188	Cancer	BSS00030	LUNG EPITHELIAL CARCINOMA	475	HSC & B-cell	BSS00233	CD34 CMP	762.0	Placenta & EEM	BSS01431	PLACENTA
189	Cancer	BSS00007	LUNG EPITHELIAL CARCINOMA	476	HSC & B-cell	BSS00230	CD34 CMP	763.0	Placenta & EEM	BSS01438	PLACENTA
190	Cancer	BSS00013	LUNG EPITHELIAL CARCINOMA	477	HSC & B-cell	BSS00236	CD34 CMP	764.0	Placenta & EEM	BSS00714	TROPHOBLAST
191	Cancer	BSS00015	LUNG EPITHELIAL CARCINOMA	478	HSC & B-cell	BSS00238	CD34 CMP	765.0	Placenta & EEM	BSS01856	TROPHOBLAST
192	Cancer	BSS01359	SQUAMOUS CELL CARCINOMA	479	HSC & B-cell	BSS00240	CD34 CMP	766.0	Placenta & EEM	BSS01853	TROPHOBLAST
193	Cancer	BSS00035	MUSCLE EWING SARCOMA	480	HSC & B-cell	BSS00241	CD34 CMP	767.0	Placenta & EEM	BSS01855	TROPHOBLAST
194	Cancer	BSS01549	RHABDOMYOSARCOMA	481	HSC & B-cell	BSS00234	CD34 CMP	768.0	Placenta & EEM	BSS01852	TROPHOBLAST
195	Cancer	BSS00036	ADENOID CYSTIC CARCINOMA	482	HSC & B-cell	BSS00235	CD34 CMP	769.0	Placenta & EEM	BSS01859	TROPHOBLAST
196	Cancer	BSS01240	MAMMARY GLAND ADENOCARCINOMA	483	HSC & B-cell	BSS00229	CD34 CMP	770.0	Placenta & EEM	BSS01860	TROPHOBLAST
197	Cancer	BSS01243	MAMMARY GLAND ADENOCARCINOMA	484	HSC & B-cell	BSS00237	CD34 CMP	771.0	Placenta & EEM	BSS01867	UMBILICAL CORD
198	Cancer	BSS01244	MAMMARY GLAND ADENOCARCINOMA	485	HSC & B-cell	BSS00239	CD34 CMP	772.0	PNS	BSS01618	SPINAL CORD
199	Cancer	BSS01235	MAMMARY GLAND ADENOCARCINOMA	486	HSC & B-cell	BSS00231	CD34 CMP	773.0	PNS	BSS01619	SPINAL CORD
200	Cancer	BSS01226	MAMMARY GLAND ADENOCARCINOMA	487	HSC & B-cell	BSS00232	CD34 CMP	774.0	PNS	BSS01617	SPINAL CORD
201	Cancer	BSS01699	MAMMARY GLAND DUCTAL CARCINOMA	488	HSC & B-cell	BSS00384	GERMINAL CENTER	775.0	PNS	BSS01621	SPINAL CORD
202	Cancer	BSS01705	MAMMARY GLAND DUCTAL CARCINOMA	489	HSC & B-cell	BSS00760	LYMPHOCYTE	776.0	PNS	BSS01620	SPINAL CORD
203	Cancer	BSS00003	PANCREAS ADENOCARCINOMA	490	HSC & B-cell	BSS00544	MPP	777.0	PNS	BSS01614	SPINAL CORD
204	Cancer	BSS01405	PANCREAS DUCT EPITHELIAL CARCINOMA	491	HSC & B-cell	BSS00545	MPP	778.0	PNS	BSS01613	SPINAL CORD
205	Cancer	BSS00541	CERVIX ADENOCARCINOMA	492	HSC & B-cell	BSS00546	MPP	779.0	PNS	BSS01842	TIBIAL NERVE
206	Cancer	BSS00531	CERVIX ADENOCARCINOMA	493	HSC & B-cell	BSS00547	MPP	780.0	PNS	BSS01840	TIBIAL NERVE
207	Cancer	BSS00529	CERVIX ADENOCARCINOMA	494	HSC & B-cell	BSS00548	MPP	781.0	PNS	BSS01841	TIBIAL NERVE
208	Cancer	BSS00748	ENDOMETRIAL ADENOCARCINOMA	495	HSC & B-cell	BSS00549	MPP	782.0	Reproductive	BSS01456	PROSTATE GLAND
209	Cancer	BSS00756	ENDOMETRIAL ADENOCARCINOMA	496	HSC & B-cell	BSS00550	MPP	783.0	Reproductive	BSS01457	PROSTATE GLAND
210	Cancer	BSS00745	ENDOMETRIAL ADENOCARCINOMA	497	HSC & B-cell	BSS00551	MPP	784.0	Reproductive	BSS01459	PROSTATE GLAND
211	Cancer	BSS01174	PROSTATE ADENOCARCINOMA	498	HSC & B-cell	BSS00552	MPP	785.0	Reproductive	BSS01884	UTERUS
212	Cancer	BSS01173	PROSTATE ADENOCARCINOMA	499	HSC & B-cell	BSS00543	MPP	786.0	Reproductive	BSS01886	VAGINA
213	Cancer	BSS01414	PROSTATE ADENOCARCINOMA	500	HSC & B-cell	BSS01381	NEUTROPHIL	787.0	Reproductive	BSS01887	VAGINA
214	Cancer	BSS00157	PROSTATE CANCER	501	HSC & B-cell	BSS01380	NEUTROPHIL	788.0	Sm. Muscle	BSS01606	BRAIN VASCULATURE SMOOTH MUSCLE CELL
215	Cancer	BSS01888	PROSTATE EPITHELIAL CARCINOMA	502	HSC & B-cell	BSS01353	NK CELL	789.0	Sm. Muscle	BSS01285	COLON MUSCLE
216	Cancer	BSS00001	PROSTATE EPITHELIAL CARCINOMA	503	HSC & B-cell	BSS01355	NK CELL	790.0	Sm. Muscle	BSS01286	COLON MUSCLE
217	Cancer	BSS00002	PROSTATE EPITHELIAL CARCINOMA	504	HSC & B-cell	BSS01354	NK CELL	791.0	Sm. Muscle	BSS01288	DUODENUM MUSCLE
218	Cancer	BSS00709	FIBROSARCOMA	505	iPSC	BSS00742	iPSC	792.0	Sm. Muscle	BSS01287	DUODENUM MUSCLE
219	Digestive	BSS00227	COLON MUCOSA	506	iPSC	BSS00735	iPSC	793.0	Sm. Muscle	BSS01475	RECTUM MUSCLE
220	Digestive	BSS00228	COLON MUCOSA	507	iPSC	BSS00741	iPSC	794.0	Sm. Muscle	BSS01660	STOMACH MUSCLE
221	Digestive	BSS00271	DUODENUM MUCOSA	508	iPSC	BSS00732	iPSC	795.0	Sm. Muscle	BSS01659	STOMACH MUSCLE
222	Digestive	BSS00270	DUODENUM MUCOSA	509	iPSC	BSS00733	iPSC	796.0	Spleen	BSS01625	SPLEEN
223	Digestive	BSS00316	ESOPHAGUS	510	iPSC	BSS00244	iPSC	797.0	Spleen	BSS01628	SPLEEN
224	Digestive	BSS00318	ESOPHAGUS	511	iPSC	BSS01107	iPSC	798.0	Spleen	BSS01629	SPLEEN
225	Digestive	BSS00323	ESOPHAGUS MUSCULARIS MUCOSA	512	iPSC	BSS01108	iPSC	799.0	Spleen	BSS01633	SPLEEN
226	Digestive	BSS00322	ESOPHAGUS MUSCULARIS MUCOSA	513	iPSC	BSS00738	iPSC	800.0	Spleen	BSS01634	SPLEEN
227	Digestive	BSS00321	ESOPHAGUS MUSCULARIS MUCOSA	514	iPSC	BSS00736	iPSC	801.0	Spleen	BSS01631	SPLEEN
228	Digestive	BSS00324	ESOPHAGUS SQUAMOUS EPITHELIUM	515	iPSC	BSS00737	iPSC	802.0	Spleen	BSS01630	SPLEEN
229	Digestive	BSS00326	ESOPHAGUS SQUAMOUS EPITHELIUM	516	iPSC	BSS00739	iPSC	803.0	Stromal	BSS01661	BONE MARROW STROMAL CELL
230	Digestive	BSS00325	ESOPHAGUS SQUAMOUS EPITHELIUM	517	iPSC	BSS00731	iPSC	804.0	Stromal	BSS00144	PERICYTE
231	Digestive	BSS00380	GASTROESOPHAGEAL SPHINCTER	518	iPSC	BSS00734	iPSC	805.0	Stromal	BSS00349	CONJUNCTIVA FIBROBLAST
232	Digestive	BSS00381	GASTROESOPHAGEAL SPHINCTER	519	iPSC	BSS00477	iPSC	806.0	Stromal	BSS00347	AORTA FIBROBLAST
233	Digestive	BSS01116	LARGE INTESTINE	520	Kidney	BSS01091	KIDNEY	807.0	Stromal	BSS00168	CARDIAC FIBROBLAST
234	Digestive	BSS01117	LARGE INTESTINE	521	Kidney	BSS01132	KIDNEY	808.0	Stromal	BSS00166	CARDIAC FIBROBLAST
235	Digestive	BSS01109	LARGE INTESTINE	522	Kidney	BSS01512	KIDNEY	809.0	Stromal	BSS00167	CARDIAC FIBROBLAST
236	Digestive	BSS01110	LARGE INTESTINE	523	Kidney	BSS01133	KIDNEY	810.0	Stromal	BSS00064	LUNG FIBROBLAST
237	Digestive	BSS01111	LARGE INTESTINE	524	Kidney	BSS01513	KIDNEY	811.0	Stromal	BSS01891	LUNG FIBROBLAST
238	Digestive	BSS01112	LARGE INTESTINE	525	Kidney	BSS01084	KIDNEY	812.0	Stromal	BSS00342	LUNG FIBROBLAST
239	Digestive	BSS01113	LARGE INTESTINE	526	Kidney	BSS01128	KIDNEY	813.0	Stromal	BSS00339	LUNG FIBROBLAST
240	Digestive	BSS01114	LARGE INTESTINE	527	Kidney	BSS01509	KIDNEY	814.0	Stromal	BSS00062	LUNG FIBROBLAST
241	Digestive	BSS01122	LARGE INTESTINE	528	Kidney	BSS01085	KIDNEY	815.0	Stromal	BSS00341	LUNG FIBROBLAST
242	Digestive	BSS01118	LARGE INTESTINE	529	Kidney	BSS01129	KIDNEY	816.0	Stromal	BSS00720	LUNG FIBROBLAST
243	Digestive	BSS01120	LARGE INTESTINE	530	Kidney	BSS01086	KIDNEY	817.0	Stromal	BSS00345	PULMONARY ARTERY FIBROBLAST
244	Digestive	BSS01121	LARGE INTESTINE	531	Kidney	BSS01510	KIDNEY	818.0	Stromal	BSS00338	GINGIVAL FIBROBLAST
245	Digestive	BSS01119	LARGE INTESTINE	532	Kidney	BSS01089	KIDNEY	819.0	Stromal	BSS00067	GINGIVAL FIBROBLAST
246	Digestive	BSS01427	PEYERS PATCH	533	Kidney	BSS01130	KIDNEY	820.0	Stromal	BSS00344	PERIDONTAL LIGAMENT FIBROBLAST
247	Digestive	BSS01428	PEYERS PATCH	534	Kidney	BSS01511	KIDNEY	821.0	Stromal	BSS00350	VILLOUS MESENCHYME FIBROBLAST
248	Digestive	BSS01426	PEYERS PATCH	535	Kidney	BSS01090	KIDNEY	822.0	Stromal	BSS00332	BREAST FIBROBLAST
249	Digestive	BSS01282	RECTUM MUCOSA	536	Kidney	BSS01078	KIDNEY	823.0	Stromal	BSS00333	BREAST FIBROBLAST
250	Digestive	BSS01283	RECTUM MUCOSA	537	Kidney	BSS01100	KIDNEY	824.0	Stromal	BSS00335	DERMIS FIBROBLAST
251	Digestive	BSS01542	SIGMOID COLON	538	Kidney	BSS01101	KIDNEY	825.0	Stromal	BSS00334	DERMIS FIBROBLAST
252	Digestive	BSS01546	SIGMOID COLON	539	Kidney	BSS01135	KIDNEY	826.0	Stromal	BSS00337	DERMIS FIBROBLAST
253	Digestive	BSS01547	SIGMOID COLON	540	Kidney	BSS01516	KIDNEY	827.0	Stromal	BSS00697	FORESKIN FIBROBLAST
254	Digestive	BSS01548	SIGMOID COLON	541	Kidney	BSS01517	KIDNEY	828.0	Stromal	BSS00353	FORESKIN FIBROBLAST
255	Digestive	BSS01545	SIGMOID COLON	542	Kidney	BSS01136	KIDNEY	829.0	Stromal	BSS00343	MAMMARY FIBROBLAST
256	Digestive	BSS01543	SIGMOID COLON	543	Kidney	BSS01518	KIDNEY	830.0	Stromal	BSS00275	SKIN FIBROBLAST
257	Digestive	BSS01595	SMALL INTESTINE	544	Kidney	BSS01099	KIDNEY	831.0	Stromal	BSS00276	SKIN FIBROBLAST
258	Digestive	BSS01596	SMALL INTESTINE	545	Kidney	BSS01514	KIDNEY	832.0	Stromal	BSS00393	SKIN FIBROBLAST
259	Digestive	BSS01590	SMALL INTESTINE	546	Kidney	BSS01134	KIDNEY	833.0	Stromal	BSS00394	SKIN FIBROBLAST
260	Digestive	BSS01591	SMALL INTESTINE	547	Kidney	BSS01515	KIDNEY	834.0	Stromal	BSS00063	SKIN FIBROBLAST
261	Digestive	BSS01592	SMALL INTESTINE	548	Kidney	BSS01131	KIDNEY	835.0	Stromal	BSS00069	SKIN FIBROBLAST
262	Digestive	BSS01593	SMALL INTESTINE	549	Kidney	BSS01079	KIDNEY	836.0	Stromal	BSS00346	SKIN FIBROBLAST
263	Digestive	BSS01594	SMALL INTESTINE	550	Kidney	BSS01096	KIDNEY	837.0	Stromal	BSS01583	SKIN FIBROBLAST
264	Digestive	BSS01603	SMALL INTESTINE	551	Kidney	BSS01097	KIDNEY	838.0	Stromal	BSS00278	SKIN FIBROBLAST
265	Digestive	BSS01604	SMALL INTESTINE	552	Kidney	BSS01088	KIDNEY	839.0	Stromal	BSS00390	SKIN FIBROBLAST
266	Digestive	BSS01600	SMALL INTESTINE	553	Kidney	BSS00528	KIDNEY CELL	840.0	Stromal	BSS00066	SKIN FIBROBLAST
267	Digestive	BSS01602	SMALL INTESTINE	554	Kidney	BSS00526	KIDNEY CELL	841.0	Stromal	BSS00061	SKIN FIBROBLAST
268	Digestive	BSS01597	SMALL INTESTINE	555	Kidney	BSS01484	RENAL CORTEX INTERSTITIUM	842.0	Stromal	BSS00068	SKIN FIBROBLAST
269	Digestive	BSS01599	SMALL INTESTINE	556	Kidney	BSS01485	RENAL CORTEX INTERSTITIUM	843.0	Stromal	BSS00476	SKIN FIBROBLAST
270	Digestive	BSS01588	SMALL INTESTINE	557	Kidney	BSS01482	RENAL CORTEX INTERSTITIUM	844.0	Stromal	BSS00113	SKIN FIBROBLAST
271	Digestive	BSS01601	SMALL INTESTINE	558	Kidney	BSS01483	RENAL CORTEX INTERSTITIUM	845.0	Thymus	BSS01824	THYMUS
272	Digestive	BSS01637	STOMACH	559	Kidney	BSS01489	RENAL CORTEX INTERSTITIUM	846.0	Thymus	BSS01819	THYMUS
273	Digestive	BSS01642	STOMACH	560	Kidney	BSS01490	RENAL CORTEX INTERSTITIUM	847.0	Thymus	BSS01821	THYMUS
274	Digestive	BSS01643	STOMACH	561	Kidney	BSS01150	RENAL CORTEX INTERSTITIUM	848.0	Thymus	BSS01823	THYMUS
275	Digestive	BSS01644	STOMACH	562	Kidney	BSS01531	RENAL CORTEX INTERSTITIUM	849.0	Thymus	BSS01818	THYMUS
276	Digestive	BSS01646	STOMACH	563	Kidney	BSS01486	RENAL CORTEX INTERSTITIUM	850.0	Thymus	BSS01826	THYMUS
277	Digestive	BSS01647	STOMACH	564	Kidney	BSS01487	RENAL CORTEX INTERSTITIUM	851.0	Thymus	BSS01827	THYMUS
278	Digestive	BSS01641	STOMACH	565	Kidney	BSS01151	RENAL CORTEX INTERSTITIUM	852.0	Thymus	BSS01828	THYMUS
279	Digestive	BSS01658	STOMACH	566	Kidney	BSS01532	RENAL CORTEX INTERSTITIUM	853.0	Thymus	BSS01829	THYMUS
280	Digestive	BSS01655	STOMACH	567	Kidney	BSS01488	RENAL CORTEX INTERSTITIUM	854.0	Thymus	BSS01820	THYMUS
281	Digestive	BSS01656	STOMACH	568	Kidney	BSS01495	RENAL PELVIS	855.0	Thymus	BSS01825	THYMUS
282	Digestive	BSS01657	STOMACH	569	Kidney	BSS01496	RENAL PELVIS	856.0	Urinary	BSS01878	URINARY BLADDER
283	Digestive	BSS01636	STOMACH	570	Kidney	BSS01493	RENAL PELVIS	857.0	Urinary	BSS01876	URINARY BLADDER
284	Digestive	BSS01638	STOMACH	571	Kidney	BSS01494	RENAL PELVIS	858.0	Urinary	BSS01879	UROTHELIUM CELL
285	Digestive	BSS01650	STOMACH	572	Kidney	BSS01500	RENAL PELVIS	859.0	Urinary	BSS01880	UROTHELIUM CELL
286	Digestive	BSS01653	STOMACH	573	Kidney	BSS01501	RENAL PELVIS				
287	Digestive	BSS01649	STOMACH	574	Kidney	BSS01152	RENAL PELVIS				
