section	group	file	n_terms	n_pairs	mean_patristic_distance
per_tree	fungi	855834at2759.faa.mafft.clipkit.treefile	4	6	2.5456807801500001
per_tree	fungi	858842at2759.faa.mafft.clipkit.treefile	3	3	1.8560246582666666
per_tree	fungi	865202at2759.faa.mafft.clipkit.treefile	4	6	1.7292463459166667
per_tree	fungi	866359at2759.faa.mafft.clipkit.treefile	4	6	0.85503708746666662
per_tree	fungi	869548at2759.faa.mafft.clipkit.treefile	4	6	1.8137161844333332
per_tree	fungi	878143at2759.faa.mafft.clipkit.treefile	4	6	1.5230639838666666
per_tree	fungi	87842at2759.faa.mafft.clipkit.treefile	4	6	1.8598256931166668
per_tree	fungi	887370at2759.faa.mafft.clipkit.treefile	4	6	1.7936240491166666
per_tree	fungi	891751at2759.faa.mafft.clipkit.treefile	4	6	2.3071621701166669
per_tree	fungi	898782at2759.faa.mafft.clipkit.treefile	4	6	2.2209618738833332
per_tree	fungi	901894at2759.faa.mafft.clipkit.treefile	4	6	1.7333503108166666
per_tree	fungi	905026at2759.faa.mafft.clipkit.treefile	4	6	1.7686911280666668
per_tree	fungi	911863at2759.faa.mafft.clipkit.treefile	4	6	2.0354029436833332
per_tree	fungi	917326at2759.faa.mafft.clipkit.treefile	4	6	1.3733009997166665
per_tree	fungi	918816at2759.faa.mafft.clipkit.treefile	4	6	1.90507926095
per_tree	fungi	919955at2759.faa.mafft.clipkit.treefile	4	6	1.5072276001333333
per_tree	fungi	923657at2759.faa.mafft.clipkit.treefile	4	6	2.1811815775166665
per_tree	fungi	924753at2759.faa.mafft.clipkit.treefile	4	6	1.8279958533
per_tree	fungi	931188at2759.faa.mafft.clipkit.treefile	4	6	2.1353808210666667
per_tree	fungi	937275at2759.faa.mafft.clipkit.treefile	3	3	2.4910008344666665
per_tree	fungi	937686at2759.faa.mafft.clipkit.treefile	3	3	1.2552447785333334
per_tree	fungi	939345at2759.faa.mafft.clipkit.treefile	4	6	2.1211432808000001
per_tree	fungi	944899at2759.faa.mafft.clipkit.treefile	4	6	0.6120044969166667
per_tree	fungi	946128at2759.faa.mafft.clipkit.treefile	4	6	1.8682866349999998
per_tree	fungi	956854at2759.faa.mafft.clipkit.treefile	3	3	1.5928635082
per_tree	fungi	97116at2759.faa.mafft.clipkit.treefile	4	6	1.5273289059333333
per_tree	fungi	973442at2759.faa.mafft.clipkit.treefile	4	6	1.8439660878833333
per_tree	fungi	974865at2759.faa.mafft.clipkit.treefile	4	6	1.2751336016833335
per_tree	fungi	975158at2759.faa.mafft.clipkit.treefile	4	6	1.6630886949166666
per_tree	fungi	975557at2759.faa.mafft.clipkit.treefile	4	6	2.1082023058000003
per_tree	fungi	976469at2759.faa.mafft.clipkit.treefile	3	3	1.1909071283999999
per_tree	fungi	981902at2759.faa.mafft.clipkit.treefile	4	6	2.7195450858000001
per_tree	fungi	996662at2759.faa.mafft.clipkit.treefile	4	6	1.3109191007499998
summary	animals	median	100	NA	0.8723982972583334
summary	fungi	median	249	NA	1.698980076
answer	fungi_over_animals	ratio	NA	NA	1.9474821091918069
