cells	leiden
s2_cell1499	9
s2_cell1500	7
s2_cell1501	14
s2_cell1502	3
s2_cell1503	9
s2_cell1504	3
s2_cell1505	14
s2_cell1506	9
s2_cell1507	3
s2_cell1508	3
s2_cell1509	3
s2_cell1510	2
s2_cell1511	7
s2_cell1512	5
s2_cell1513	0
s2_cell1514	2
s2_cell1515	8
s2_cell1516	2
s2_cell1517	3
s2_cell1518	9
s2_cell1519	2
s2_cell1520	3
s2_cell1521	8
s2_cell1522	13
s2_cell1523	9
s2_cell1524	20
s2_cell1525	2
s2_cell1526	2
s2_cell1527	0
s2_cell1528	15
s2_cell1529	8
s2_cell1530	2
s2_cell1531	15
s2_cell1532	1
s2_cell1533	6
s2_cell1534	2
s2_cell1535	2
s2_cell1536	18
s2_cell1537	2
s2_cell1538	0
s2_cell1539	8
s2_cell1540	10
s2_cell1541	2
s2_cell1542	5
s2_cell1543	1
s2_cell1544	18
s2_cell1545	1
s2_cell1546	1
s2_cell1547	0
s2_cell1548	2
s2_cell1549	0
s2_cell1550	8
s2_cell1551	1
s2_cell1552	1
s2_cell1553	15
s2_cell1554	2
s2_cell1555	3
s2_cell1556	0
s2_cell1557	0
s2_cell1558	17
s2_cell1559	8
s2_cell1560	1
s2_cell1561	6
s2_cell1562	12
s2_cell1563	0
s2_cell1564	7
s2_cell1565	1
s2_cell1566	0
s2_cell1567	5
s2_cell1568	1
s2_cell1569	0
s2_cell1570	6
s2_cell1571	7
s2_cell1572	6
s2_cell1573	8
s2_cell1574	12
s2_cell1575	2
s2_cell1576	2
s2_cell1577	2
s2_cell1578	5
s2_cell1579	6
s2_cell1580	3
s2_cell1581	0
s2_cell1582	3
s2_cell1583	17
s2_cell1584	1
s2_cell1585	1
s2_cell1586	9
s2_cell1587	0
s2_cell1588	2
s2_cell1589	2
s2_cell1590	5
s2_cell1591	15
s2_cell1592	0
s2_cell1593	13
s2_cell1594	2
s2_cell1595	3
s2_cell1596	20
s2_cell1597	2
s2_cell1598	0
s2_cell1599	0
s2_cell1600	2
s2_cell1601	5
s2_cell1602	0
s2_cell1603	8
s2_cell1604	9
s2_cell1605	9
s2_cell1606	3
s2_cell1607	12
s2_cell1608	7
s2_cell1609	6
s2_cell1610	11
s2_cell1611	11
s2_cell1612	15
s2_cell1613	3
s2_cell1614	3
s2_cell1615	4
s2_cell1616	13
s2_cell1617	7
s2_cell1618	2
s2_cell1619	1
s2_cell1620	0
s2_cell1621	14
s2_cell1622	2
s2_cell1623	2
s2_cell1624	4
s2_cell1625	3
s2_cell1626	1
s2_cell1627	1
s2_cell1628	1
s2_cell1629	0
s2_cell1630	2
s2_cell1631	6
s2_cell1632	2
s2_cell1633	9
s2_cell1634	2
s2_cell1635	3
s2_cell1636	1
s2_cell1637	2
s2_cell1638	9
s2_cell1639	3
s2_cell1640	1
s2_cell1641	14
s2_cell1642	3
s2_cell1643	11
s2_cell1644	1
s2_cell1645	8
s2_cell1646	8
s2_cell1647	19
s2_cell1648	2
s2_cell1649	5
s2_cell1650	1
s2_cell1651	1
s2_cell1652	1
s2_cell1653	2
s2_cell1654	3
s2_cell1655	17
s2_cell1656	17
s2_cell1657	9
s2_cell1658	7
s2_cell1659	1
s2_cell1660	0
s2_cell1661	2
s2_cell1662	4
s2_cell1663	0
s2_cell1664	7
s2_cell1665	2
s2_cell1666	4
s2_cell1667	18
s2_cell1668	11
s2_cell1669	3
s2_cell1670	11
s2_cell1671	3
s2_cell1672	0
s2_cell1673	12
s2_cell1674	9
s2_cell1675	3
s2_cell1676	4
s2_cell1677	9
s2_cell1678	0
s2_cell1679	1
s2_cell1680	2
s2_cell1681	3
s2_cell1682	0
s2_cell1683	0
s2_cell1684	12
s2_cell1685	1
s2_cell1686	15
s2_cell1687	14
s2_cell1688	0
s2_cell1689	0
s2_cell1690	0
s2_cell1691	9
s2_cell1692	0
s2_cell1693	2
s2_cell1694	15
s2_cell1695	0
s2_cell1696	0
s2_cell1697	8
s2_cell1698	1
s2_cell1699	1
s2_cell1700	0
s2_cell1701	12
s2_cell1702	1
s2_cell1703	0
s2_cell1704	11
s2_cell1705	0
s2_cell1706	0
s2_cell1707	11
s2_cell1708	2
s2_cell1709	1
s2_cell1710	1
s2_cell1711	4
s2_cell1712	2
s2_cell1713	2
s2_cell1714	3
s2_cell1715	2
s2_cell1716	8
s2_cell1717	2
s2_cell1718	15
s2_cell1719	3
s2_cell1720	0
s2_cell1721	11
s2_cell1722	1
s2_cell1723	0
s2_cell1724	0
s2_cell1725	1
s2_cell1726	5
s2_cell1727	0
s2_cell1728	5
s2_cell1729	5
s2_cell1730	20
s2_cell1731	2
s2_cell1732	0
s2_cell1733	17
s2_cell1734	13
s2_cell1735	0
s2_cell1736	8
s2_cell1737	1
s2_cell1738	2
s2_cell1739	0
s2_cell1740	0
s2_cell1741	1
s2_cell1742	7
s2_cell1743	1
s2_cell1744	6
s2_cell1745	1
s2_cell1746	5
s2_cell1747	15
s2_cell1748	3
s2_cell1749	4
s2_cell1750	13
s2_cell1751	2
s2_cell1752	8
s2_cell1753	20
s2_cell1754	0
s2_cell1755	3
s2_cell1756	2
s2_cell1757	3
s2_cell1758	4
s2_cell1759	14
s2_cell1760	1
s2_cell1761	1
s2_cell1762	1
s2_cell1763	8
s2_cell1764	2
s2_cell1765	8
s2_cell1766	2
s2_cell1767	1
s2_cell1768	2
s2_cell1769	13
s2_cell1770	1
s2_cell1771	0
s2_cell1772	0
s2_cell1773	17
s2_cell1774	0
s2_cell1775	1
s2_cell1776	0
s2_cell1777	2
s2_cell1778	2
s2_cell1779	0
s2_cell1780	1
s2_cell1781	2
s2_cell1782	4
s2_cell1783	0
s2_cell1784	1
s2_cell1785	1
s2_cell1786	0
s2_cell1787	3
s2_cell1788	6
s2_cell1789	0
s2_cell1790	1
s2_cell1791	2
s2_cell1792	17
s2_cell1793	0
s2_cell1794	0
s2_cell1795	2
s2_cell1796	3
s2_cell1797	1
s2_cell1798	5
s2_cell1799	1
s2_cell1800	1
s2_cell1801	1
s2_cell1802	4
s2_cell1803	4
s2_cell1804	1
s2_cell1805	2
s2_cell1806	2
s2_cell1807	13
s2_cell1808	0
s2_cell1809	17
s2_cell1810	3
s2_cell1811	3
s2_cell1812	1
s2_cell1813	8
s2_cell1814	5
s2_cell1815	15
s2_cell1816	4
s2_cell1817	0
s2_cell1818	14
s2_cell1819	14
s2_cell1820	13
s2_cell1821	1
s2_cell1822	1
s2_cell1823	1
s2_cell1824	0
s2_cell1825	4
s2_cell1826	2
s2_cell1827	2
s2_cell1828	2
s2_cell1829	15
s2_cell1830	2
s2_cell1831	4
s2_cell1832	3
s2_cell1833	1
s2_cell1834	4
s2_cell1835	2
s2_cell1836	17
s2_cell1837	8
s2_cell1838	2
s2_cell1839	0
s2_cell1840	0
s2_cell1841	17
s2_cell1842	0
s2_cell1843	1
s2_cell1844	12
s2_cell1845	0
s2_cell1846	2
s2_cell1847	3
s2_cell1848	3
s2_cell1849	3
s2_cell1850	1
s2_cell1851	1
s2_cell1852	0
s2_cell1853	7
s2_cell1854	2
s2_cell1855	5
s2_cell1856	13
s2_cell1857	1
s2_cell1858	0
s2_cell1859	1
s2_cell1860	0
s2_cell1861	15
s2_cell1862	5
s2_cell1863	4
s2_cell1864	3
s2_cell1865	2
s2_cell1866	0
s2_cell1867	1
s2_cell1868	1
s2_cell1869	0
s2_cell1870	17
s2_cell1871	1
s2_cell1872	2
s2_cell1873	0
s2_cell1874	9
s2_cell1875	0
s2_cell1876	2
s2_cell1877	1
s2_cell1878	8
s2_cell1879	9
s2_cell1880	0
s2_cell1881	3
s2_cell1882	3
s2_cell1883	2
s2_cell1884	12
s2_cell1885	3
s2_cell1886	3
s2_cell1887	9
s2_cell1888	6
s2_cell1889	0
s2_cell1890	4
s2_cell1891	4
s2_cell1892	1
s2_cell1893	0
s2_cell1894	2
s2_cell1895	8
s2_cell1896	12
s2_cell1897	1
s2_cell1898	17
s2_cell1899	0
s2_cell1900	2
s2_cell1901	17
s2_cell1902	6
s2_cell1903	5
s2_cell1904	3
s2_cell1905	0
s2_cell1906	2
s2_cell1907	6
s2_cell1908	14
s2_cell1909	0
s2_cell1910	20
s2_cell1911	8
s2_cell1912	4
s2_cell1913	2
s2_cell1914	2
s2_cell1915	0
s2_cell1916	3
s2_cell1917	8
s2_cell1918	0
s2_cell1919	1
s2_cell1920	1
s2_cell1921	0
s2_cell1922	8
s2_cell1923	12
s2_cell1924	12
s2_cell1925	0
s2_cell1926	1
s2_cell1927	13
s2_cell1928	3
s2_cell1929	1
s2_cell1930	8
s2_cell1931	1
s2_cell1932	2
s2_cell1933	5
s2_cell1934	4
s2_cell1935	2
s2_cell1936	2
s2_cell1937	5
s2_cell1938	0
s2_cell1939	0
s2_cell1940	10
s2_cell1941	9
s2_cell1942	17
s2_cell1943	1
s2_cell1944	5
s2_cell1945	13
s2_cell1946	2
s2_cell1947	0
s2_cell1948	3
s2_cell1949	2
s2_cell1950	0
s2_cell1951	12
s2_cell1952	2
s2_cell1953	14
s2_cell1954	0
s2_cell1955	2
s2_cell1956	9
s2_cell1957	2
s2_cell1958	1
s2_cell1959	2
s2_cell1960	1
s2_cell1961	4
s2_cell1962	2
s2_cell1963	2
s2_cell1964	1
s2_cell1965	1
s2_cell1966	3
s2_cell1967	2
s2_cell1968	3
s2_cell1969	2
s2_cell1970	0
s2_cell1971	12
s2_cell1972	1
s2_cell1973	0
s2_cell1974	0
s2_cell1975	0
s2_cell1976	1
s2_cell1977	2
s2_cell1978	14
s2_cell1979	2
s2_cell1980	4
s2_cell1981	4
s2_cell1982	0
s2_cell1983	2
s2_cell1984	9
s2_cell1985	0
s2_cell1986	11
s2_cell1987	6
s2_cell1988	2
s2_cell1989	3
s2_cell1990	1
s2_cell1991	1
s2_cell1992	0
s2_cell1993	1
s2_cell1994	0
s2_cell1995	1
s2_cell1996	1
s2_cell1997	1
s2_cell1998	1
s2_cell1999	3
s2_cell2000	0
s2_cell2001	0
s2_cell2002	0
s2_cell2003	2
s2_cell2004	15
s2_cell2005	2
s2_cell2006	4
s2_cell2007	13
s2_cell2008	0
s2_cell2009	2
s2_cell2010	4
s2_cell2011	3
s2_cell2012	9
s2_cell2013	0
s2_cell2014	1
s2_cell2015	0
s2_cell2016	0
s2_cell2017	4
s2_cell2018	0
s2_cell2019	3
s2_cell2020	14
s2_cell2021	0
s2_cell2022	0
s2_cell2023	0
s2_cell2024	3
s2_cell2025	1
s2_cell2026	1
s2_cell2027	1
s2_cell2028	0
s2_cell2029	1
s2_cell2030	0
s2_cell2031	8
s2_cell2032	4
s2_cell2033	1
s2_cell2034	1
s2_cell2035	0
s2_cell2036	2
s2_cell2037	17
s2_cell2038	17
s2_cell2039	2
s2_cell2040	15
s2_cell2041	2
s2_cell2042	12
s2_cell2043	2
s2_cell2044	0
s2_cell2045	0
s2_cell2046	0
s2_cell2047	4
s2_cell2048	4
s2_cell2049	14
s2_cell2050	2
s2_cell2051	2
s2_cell2052	1
s2_cell2053	5
s2_cell2054	0
s2_cell2055	0
s2_cell2056	2
s2_cell2057	1
s2_cell2058	0
s2_cell2059	2
s2_cell2060	4
s2_cell2061	3
s2_cell2062	2
s2_cell2063	0
s2_cell2064	1
s2_cell2065	2
s2_cell2066	0
s2_cell2067	1
s2_cell2068	0
s2_cell2069	1
s2_cell2070	2
s2_cell2071	4
s2_cell2072	2
s2_cell2073	3
s2_cell2074	0
s2_cell2075	8
s2_cell2076	0
s2_cell2077	0
s2_cell2078	2
s2_cell2079	1
s2_cell2080	7
s2_cell2081	1
s2_cell2082	0
s2_cell2083	0
s2_cell2084	2
s2_cell2085	2
s2_cell2086	1
s2_cell2087	2
s2_cell2088	0
s2_cell2089	0
s2_cell2090	2
s2_cell2091	4
s2_cell2092	0
s2_cell2093	2
s2_cell2094	0
s2_cell2095	2
s2_cell2096	2
s2_cell2097	0
s2_cell2098	2
s2_cell2099	0
s2_cell2100	13
s2_cell2101	0
s2_cell2102	2
s2_cell2103	1
s2_cell2104	0
s2_cell2105	13
s2_cell2106	0
s2_cell2107	1
s2_cell2108	0
s2_cell2109	0
s2_cell2110	0
s2_cell2111	1
s2_cell2112	2
s2_cell2113	1
s2_cell2114	2
s2_cell2115	1
s2_cell2116	4
s2_cell2117	4
s2_cell2118	1
s2_cell2119	2
s2_cell2120	1
s2_cell2121	0
s2_cell2122	1
s2_cell2123	2
s2_cell2124	1
s2_cell2125	0
s2_cell2126	2
s2_cell2127	6
s2_cell2128	2
s2_cell2129	4
s2_cell2130	1
s2_cell2131	1
s2_cell2132	2
s2_cell2133	0
s2_cell2134	3
s2_cell2135	1
s2_cell2136	2
s2_cell2137	18
s2_cell2138	5
s2_cell2139	2
s2_cell2140	1
s2_cell2141	0
s2_cell2142	2
s2_cell2143	1
s2_cell2144	1
s2_cell2145	2
s2_cell2146	0
s2_cell2147	0
s2_cell2148	3
s2_cell2149	0
s2_cell2150	0
s2_cell2151	2
s2_cell2152	1
s2_cell2153	4
s2_cell2154	3
s2_cell2155	0
s2_cell2156	5
s2_cell2157	9
s2_cell2158	0
s2_cell2159	4
s2_cell2160	3
s2_cell2161	1
s2_cell2162	8
s2_cell2163	3
s2_cell2164	2
s2_cell2165	1
s2_cell2166	1
s2_cell2167	0
s2_cell2168	14
s2_cell2169	10
s2_cell2170	3
s2_cell2171	0
s2_cell2172	0
s2_cell2173	1
s2_cell2174	2
s2_cell2175	0
s2_cell2176	1
s2_cell2177	0
s2_cell2178	12
s2_cell2179	0
s2_cell2180	4
s2_cell2181	0
s2_cell2182	0
s2_cell2183	0
s2_cell2184	1
s2_cell2185	2
s2_cell2186	1
s2_cell2187	2
s2_cell2188	3
s2_cell2189	19
s2_cell2190	14
s2_cell2191	11
s2_cell2192	1
s2_cell2193	14
s2_cell2194	12
s2_cell2195	9
s2_cell2196	2
s2_cell2197	1
s2_cell2198	1
s2_cell2199	3
s2_cell2200	1
s2_cell2201	2
s2_cell2202	0
s2_cell2203	0
s2_cell2204	4
s2_cell2205	1
s2_cell2206	0
s2_cell2207	3
s2_cell2208	0
s2_cell2209	1
s2_cell2210	2
s2_cell2211	1
s2_cell2212	2
s2_cell2213	6
s2_cell2214	2
s2_cell2215	0
s2_cell2216	10
s2_cell2217	1
s2_cell2218	0
s2_cell2219	4
s2_cell2220	4
s2_cell2221	0
s2_cell2222	0
s2_cell2223	0
s2_cell2224	2
s2_cell2225	2
s2_cell2226	8
s2_cell2227	2
s2_cell2228	9
s2_cell2229	0
s2_cell2230	5
s2_cell2231	0
s2_cell2232	7
s2_cell2233	5
s2_cell2234	0
s2_cell2235	1
s2_cell2236	0
s2_cell2237	1
s2_cell2238	0
s2_cell2239	0
s2_cell2240	0
s2_cell2241	2
s2_cell2242	1
s2_cell2243	1
s2_cell2244	1
s2_cell2245	2
s2_cell2246	2
s2_cell2247	2
s2_cell2248	15
s2_cell2249	0
s2_cell2250	1
s2_cell2251	0
s2_cell2252	0
s2_cell2253	4
s2_cell2254	0
s2_cell2255	14
s2_cell2256	1
s2_cell2257	0
s2_cell2258	0
s2_cell2259	1
s2_cell2260	0
s2_cell2261	2
s2_cell2262	0
s2_cell2263	1
s2_cell2264	0
s2_cell2265	0
s2_cell2266	4
s2_cell2267	11
s2_cell2268	1
s2_cell2269	1
s2_cell2270	3
s2_cell2271	0
s2_cell2272	1
s2_cell2273	1
s2_cell2274	0
s2_cell2275	2
s2_cell2276	3
s2_cell2277	0
s2_cell2278	0
s2_cell2279	2
s2_cell2280	5
s2_cell2281	2
s2_cell2282	2
s2_cell2283	1
s2_cell2284	1
s2_cell2285	3
s2_cell2286	1
s2_cell2287	2
s2_cell2288	3
s2_cell2289	4
s2_cell2290	2
s2_cell2291	9
s2_cell2292	2
s2_cell2293	2
s2_cell2294	2
s2_cell2295	2
s2_cell2296	1
s2_cell2297	1
s2_cell2298	2
s2_cell2299	0
s2_cell2300	2
s2_cell2301	1
s2_cell2302	0
s2_cell2303	1
s2_cell2304	1
s2_cell2305	4
s2_cell2306	2
s2_cell2307	9
s2_cell2308	13
s2_cell2309	5
s2_cell2310	2
s2_cell2311	1
s2_cell2312	4
s2_cell2313	1
s2_cell2314	0
s2_cell2315	0
s2_cell2316	2
s2_cell2317	1
s2_cell2318	15
s2_cell2319	1
s2_cell2320	0
s2_cell2321	19
s2_cell2322	0
s2_cell2323	2
s2_cell2324	12
s2_cell2325	9
s2_cell2326	1
s2_cell2327	2
s2_cell2328	4
s2_cell2329	1
s2_cell2330	0
s2_cell2331	13
s2_cell2332	2
s2_cell2333	1
s2_cell2334	2
s2_cell2335	2
s2_cell2336	0
s2_cell2337	3
s2_cell2338	0
s2_cell2339	0
s2_cell2340	1
s2_cell2341	0
s2_cell2342	0
s2_cell2343	1
s2_cell2344	13
s2_cell2345	1
s2_cell2346	0
s2_cell2347	1
s2_cell2348	2
s2_cell2349	0
s2_cell2350	0
s2_cell2351	1
s2_cell2352	2
s2_cell2353	0
s2_cell2354	1
s2_cell2355	1
s2_cell2356	21
s2_cell2357	6
s2_cell2358	2
s2_cell2359	4
s2_cell2360	4
s2_cell2361	0
s2_cell2362	1
s2_cell2363	0
s2_cell2364	2
s2_cell2365	4
s2_cell2366	5
s2_cell2367	1
s2_cell2368	0
s2_cell2369	6
s2_cell2370	9
s2_cell2371	2
s2_cell2372	2
s2_cell2373	5
s2_cell2374	14
s2_cell2375	12
s2_cell2376	0
s2_cell2377	0
s2_cell2378	1
s2_cell2379	0
s2_cell2380	1
s2_cell2381	8
s2_cell2382	1
s2_cell2383	7
s2_cell2384	0
s2_cell2385	0
s2_cell2386	0
s2_cell2387	7
s2_cell2388	2
s2_cell2389	19
s2_cell2390	0
s2_cell2391	1
s2_cell2392	0
s2_cell2393	1
s2_cell2394	2
s2_cell2395	1
s2_cell2396	0
s2_cell2397	2
s2_cell2398	1
s2_cell2399	1
s2_cell2400	1
s2_cell2401	4
s2_cell2402	1
s2_cell2403	1
s2_cell2404	0
s2_cell2405	0
s2_cell2406	0
s2_cell2407	1
s2_cell2408	4
s2_cell2409	6
s2_cell2410	0
s2_cell2411	4
s2_cell2412	0
s2_cell2413	13
s2_cell2414	4
s2_cell2415	1
s2_cell2416	4
s2_cell2417	0
s2_cell2418	2
s2_cell2419	0
s2_cell2420	1
s2_cell2421	1
s2_cell2422	1
s2_cell2423	0
s2_cell2424	6
s2_cell2425	2
s2_cell2426	1
s2_cell2427	2
s2_cell2428	0
s2_cell2429	0
s2_cell2430	1
s2_cell2431	1
s2_cell2432	0
s2_cell2433	4
s2_cell2434	0
s2_cell2435	0
s2_cell2436	0
s2_cell2437	0
s2_cell2438	2
s2_cell2439	0
s2_cell2440	2
s2_cell2441	1
s2_cell2442	2
s2_cell2443	1
s2_cell2444	0
s2_cell2445	0
s2_cell2446	4
s2_cell2447	0
s2_cell2448	2
s2_cell2449	2
s2_cell2450	1
s2_cell2451	0
s2_cell2452	2
s2_cell2453	1
s2_cell2454	2
s2_cell2455	3
s2_cell2456	14
s2_cell2457	1
s2_cell2458	8
s2_cell2459	0
s2_cell2460	8
s2_cell2461	20
s2_cell2462	2
s2_cell2463	4
s2_cell2464	2
s2_cell2465	18
s2_cell2466	8
s2_cell2467	13
s2_cell2468	0
s2_cell2469	2
s2_cell2470	1
s2_cell2471	0
s2_cell2472	0
s2_cell2473	1
s2_cell2474	4
s2_cell2475	9
s2_cell2476	1
s2_cell2477	2
s2_cell2478	6
s2_cell2479	4
s2_cell2480	2
s2_cell2481	11
s2_cell2482	1
s2_cell2483	0
s2_cell2484	1
s2_cell2485	4
s2_cell2486	0
s2_cell2487	2
s2_cell2488	2
s2_cell2489	0
s2_cell2490	2
s2_cell2491	0
s2_cell2492	0
s2_cell2493	2
s2_cell2494	2
s2_cell2495	2
s2_cell2496	2
s2_cell2497	2
s2_cell2498	1
s2_cell2499	0
s2_cell2500	2
s2_cell2501	1
s2_cell2502	1
s2_cell2503	1
s2_cell2504	1
s2_cell2505	0
s2_cell2506	0
s2_cell2507	2
s2_cell2508	2
s2_cell2509	3
s2_cell2510	12
s2_cell2511	1
s2_cell2512	1
s2_cell2513	0
s2_cell2514	0
s2_cell2515	2
s2_cell2516	4
s2_cell2517	0
s2_cell2518	0
s2_cell2519	0
s2_cell2520	4
s2_cell2521	0
s2_cell2522	2
s2_cell2523	2
s2_cell2524	15
s2_cell2525	0
s2_cell2526	2
s2_cell2527	2
s2_cell2528	3
s2_cell2529	1
s2_cell2530	1
s2_cell2531	1
s2_cell2532	4
s2_cell2533	1
s2_cell2534	1
s2_cell2535	0
s2_cell2536	0
s2_cell2537	2
s2_cell2538	1
s2_cell2539	0
s2_cell2540	1
s2_cell2541	0
s2_cell2542	1
s2_cell2543	2
s2_cell2544	0
s2_cell2545	2
s2_cell2546	2
s2_cell2547	2
s2_cell2548	1
s2_cell2549	0
s2_cell2550	1
s2_cell2551	2
s2_cell2552	1
s2_cell2553	4
s2_cell2554	1
s2_cell2555	0
s2_cell2556	2
s2_cell2557	1
s2_cell2558	12
s2_cell2559	0
s2_cell2560	0
s2_cell2561	4
s2_cell2562	2
s2_cell2563	9
s2_cell2564	13
s2_cell2565	0
s2_cell2566	0
s2_cell2567	0
s2_cell2568	1
s2_cell2569	0
s2_cell2570	12
s2_cell2571	1
s2_cell2572	2
s2_cell2573	2
s2_cell2574	5
s2_cell2575	1
s2_cell2576	1
s2_cell2577	1
s2_cell2578	5
s2_cell2579	2
s2_cell2580	2
s2_cell2581	0
s2_cell2582	1
s2_cell2583	18
s2_cell2584	4
s2_cell2585	2
s2_cell2586	1
s2_cell2587	2
s2_cell2588	0
s2_cell2589	2
s2_cell2590	0
s2_cell2591	1
s2_cell2592	1
s2_cell2593	0
s2_cell2594	2
s2_cell2595	0
s2_cell2596	0
s2_cell2597	1
s2_cell2598	4
s2_cell2599	2
s2_cell2600	4
s2_cell2601	1
s2_cell2602	1
s2_cell2603	0
s2_cell2604	2
s2_cell2605	0
s2_cell2606	0
s2_cell2607	1
s2_cell2608	3
s2_cell2609	0
s2_cell2610	2
s2_cell2611	4
s2_cell2612	1
s2_cell2613	1
s2_cell2614	1
s2_cell2615	2
s2_cell2616	14
s2_cell2617	0
s2_cell2618	0
s2_cell2619	1
s2_cell2620	2
s2_cell2621	0
s2_cell2622	0
s2_cell2623	1
s2_cell2624	0
s2_cell2625	2
s2_cell2626	13
s2_cell2627	0
s2_cell2628	1
s2_cell2629	9
s2_cell2630	0
s2_cell2631	2
s2_cell2632	0
s2_cell2633	0
s2_cell2634	1
s2_cell2635	0
s2_cell2636	4
s2_cell2637	4
s2_cell2638	0
s2_cell2639	1
s2_cell2640	0
s2_cell2641	0
s2_cell2642	0
s2_cell2643	2
s2_cell2644	0
s2_cell2645	0
s2_cell2646	1
s2_cell2647	1
s2_cell2648	1
s2_cell2649	4
s2_cell2650	4
s2_cell2651	2
s2_cell2652	4
s2_cell2653	1
s2_cell2654	4
s2_cell2655	4
s2_cell2656	1
s2_cell2657	0
s2_cell2658	4
s2_cell2659	1
s2_cell2660	9
s2_cell2661	2
s2_cell2662	2
s2_cell2663	2
s2_cell2664	3
s2_cell2665	0
s2_cell2666	0
s2_cell2667	14
s2_cell2668	2
s2_cell2669	4
s2_cell2670	2
s2_cell2671	1
s2_cell2672	2
s2_cell2673	4
s2_cell2674	1
s2_cell2675	0
s2_cell2676	12
s2_cell2677	0
s2_cell2678	1
s2_cell2679	1
s2_cell2680	9
s2_cell2681	1
s2_cell2682	4
s2_cell2683	2
s2_cell2684	2
s2_cell2685	0
s2_cell2686	11
s2_cell2687	2
s2_cell2688	2
s2_cell2689	0
s2_cell2690	1
s2_cell2691	0
s2_cell2692	1
s2_cell2693	4
s2_cell2694	1
s2_cell2695	1
s2_cell2696	0
s2_cell2697	2
s2_cell2698	2
s2_cell2699	1
s2_cell2700	0
s2_cell2701	2
s2_cell2702	0
s2_cell2703	7
s2_cell2704	4
s2_cell2705	0
s2_cell2706	3
s2_cell2707	1
s2_cell2708	1
s2_cell2709	0
s2_cell2710	2
s2_cell2711	0
s2_cell2712	0
s2_cell2713	4
s2_cell2714	14
s2_cell2715	4
s2_cell2716	12
s2_cell2717	11
s2_cell2718	0
s2_cell2719	0
s2_cell2720	6
s2_cell2721	19
s2_cell2722	1
s2_cell2723	2
s2_cell2724	4
s2_cell2725	6
s2_cell2726	1
s2_cell2727	0
s2_cell2728	7
s2_cell2729	9
s2_cell2730	1
s2_cell2731	1
s2_cell2732	15
s2_cell2733	0
s2_cell2734	2
s2_cell2735	0
s2_cell2736	1
s2_cell2737	0
s2_cell2738	3
s2_cell2739	2
s2_cell2740	6
s2_cell2741	2
s2_cell2742	1
s2_cell2743	2
s2_cell2744	0
s2_cell2745	1
s2_cell2746	1
s2_cell2747	0
s2_cell2748	1
s2_cell2749	0
s2_cell2750	0
s2_cell2751	18
s2_cell2752	1
s2_cell2753	2
s2_cell2754	1
s2_cell2755	2
s2_cell2756	1
s2_cell2757	0
s2_cell2758	0
s2_cell2759	2
s2_cell2760	4
s2_cell2761	0
s2_cell2762	4
s2_cell2763	3
s2_cell2764	1
s2_cell2765	2
s2_cell2766	0
s2_cell2767	0
s2_cell2768	1
s2_cell2769	6
s2_cell2770	11
s2_cell2771	0
s2_cell2772	0
s2_cell2773	16
s2_cell2774	2
s2_cell2775	0
s2_cell2776	2
s2_cell2777	2
s2_cell2778	2
s2_cell2779	2
s2_cell2780	1
s2_cell2781	1
s2_cell2782	1
s2_cell2783	2
s2_cell2784	1
s2_cell2785	1
s2_cell2786	1
s2_cell2787	0
s2_cell2788	0
s2_cell2789	12
s2_cell2790	0
s2_cell2791	2
s2_cell2792	12
s2_cell2793	1
s2_cell2794	2
s2_cell2795	16
s2_cell2796	1
s2_cell2797	4
s2_cell2798	0
s2_cell2799	0
s2_cell2800	4
s2_cell2801	2
s2_cell2802	0
s2_cell2803	2
s2_cell2804	1
s2_cell2805	4
s2_cell2806	1
s2_cell2807	0
s2_cell2808	0
s2_cell2809	0
s2_cell2810	0
s2_cell2811	0
s2_cell2812	0
s2_cell2813	1
s2_cell2814	0
s2_cell2815	2
s2_cell2816	1
s2_cell2817	6
s2_cell2818	12
s2_cell2819	1
s2_cell2820	0
s2_cell2821	1
s2_cell2822	0
s2_cell2823	2
s2_cell2824	2
s2_cell2825	0
s2_cell2826	1
s2_cell2827	7
s2_cell2828	1
s2_cell2829	12
s2_cell2830	14
s2_cell2831	0
s2_cell2832	1
s2_cell2833	2
s2_cell2834	2
s2_cell2835	0
s2_cell2836	2
s2_cell2837	1
s2_cell2838	18
s2_cell2839	4
s2_cell2840	4
s2_cell2841	1
s2_cell2842	0
s2_cell2843	2
s2_cell2844	1
s2_cell2845	4
s2_cell2846	2
s2_cell2847	2
s2_cell2848	1
s2_cell2849	0
s2_cell2850	1
s2_cell2851	8
s2_cell2852	0
s2_cell2853	0
s2_cell2854	1
s2_cell2855	4
s2_cell2856	0
s2_cell2857	0
s2_cell2858	1
s2_cell2859	1
s2_cell2860	12
s2_cell2861	0
s2_cell2862	0
s2_cell2863	2
s2_cell2864	0
s2_cell2865	0
s2_cell2866	0
s2_cell2867	2
s2_cell2868	16
s2_cell2869	1
s2_cell2870	1
s2_cell2871	1
s2_cell2872	1
s2_cell2873	1
s2_cell2874	0
s2_cell2875	2
s2_cell2876	6
s2_cell2877	0
s2_cell2878	2
s2_cell2879	1
s2_cell2880	4
s2_cell2881	2
s2_cell2882	1
s2_cell2883	1
s2_cell2884	0
s2_cell2885	1
s2_cell2886	4
s2_cell2887	0
s2_cell2888	2
s2_cell2889	0
s2_cell2890	13
s2_cell2891	1
s2_cell2892	2
s2_cell2893	2
s2_cell2894	1
s2_cell2895	2
s2_cell2896	0
s2_cell2897	3
