cells	leiden
s1_cell1499	5
s1_cell1500	8
s1_cell1501	9
s1_cell1502	5
s1_cell1503	8
s1_cell1504	15
s1_cell1505	6
s1_cell1506	1
s1_cell1507	1
s1_cell1508	7
s1_cell1509	10
s1_cell1510	5
s1_cell1511	7
s1_cell1512	4
s1_cell1513	8
s1_cell1514	1
s1_cell1515	4
s1_cell1516	5
s1_cell1517	21
s1_cell1518	5
s1_cell1519	6
s1_cell1520	6
s1_cell1521	1
s1_cell1522	9
s1_cell1523	19
s1_cell1524	1
s1_cell1525	6
s1_cell1526	4
s1_cell1527	10
s1_cell1528	9
s1_cell1529	1
s1_cell1530	5
s1_cell1531	0
s1_cell1532	5
s1_cell1533	6
s1_cell1534	9
s1_cell1535	1
s1_cell1536	4
s1_cell1537	15
s1_cell1538	10
s1_cell1539	17
s1_cell1540	4
s1_cell1541	4
s1_cell1542	1
s1_cell1543	5
s1_cell1544	15
s1_cell1545	19
s1_cell1546	5
s1_cell1547	5
s1_cell1548	5
s1_cell1549	14
s1_cell1550	1
s1_cell1551	4
s1_cell1552	4
s1_cell1553	5
s1_cell1554	21
s1_cell1555	3
s1_cell1556	0
s1_cell1557	0
s1_cell1558	7
s1_cell1559	1
s1_cell1560	5
s1_cell1561	1
s1_cell1562	4
s1_cell1563	1
s1_cell1564	7
s1_cell1565	15
s1_cell1566	19
s1_cell1567	6
s1_cell1568	1
s1_cell1569	2
s1_cell1570	17
s1_cell1571	6
s1_cell1572	0
s1_cell1573	1
s1_cell1574	5
s1_cell1575	4
s1_cell1576	4
s1_cell1577	0
s1_cell1578	1
s1_cell1579	1
s1_cell1580	6
s1_cell1581	11
s1_cell1582	6
s1_cell1583	5
s1_cell1584	5
s1_cell1585	4
s1_cell1586	2
s1_cell1587	1
s1_cell1588	10
s1_cell1589	0
s1_cell1590	1
s1_cell1591	15
s1_cell1592	1
s1_cell1593	6
s1_cell1594	6
s1_cell1595	1
s1_cell1596	6
s1_cell1597	1
s1_cell1598	0
s1_cell1599	10
s1_cell1600	1
s1_cell1601	1
s1_cell1602	9
s1_cell1603	5
s1_cell1604	15
s1_cell1605	15
s1_cell1606	14
s1_cell1607	9
s1_cell1608	1
s1_cell1609	1
s1_cell1610	5
s1_cell1611	0
s1_cell1612	0
s1_cell1613	7
s1_cell1614	5
s1_cell1615	15
s1_cell1616	1
s1_cell1617	1
s1_cell1618	1
s1_cell1619	1
s1_cell1620	6
s1_cell1621	1
s1_cell1622	14
s1_cell1623	16
s1_cell1624	4
s1_cell1625	18
s1_cell1626	1
s1_cell1627	0
s1_cell1628	1
s1_cell1629	8
s1_cell1630	6
s1_cell1631	6
s1_cell1632	0
s1_cell1633	9
s1_cell1634	2
s1_cell1635	4
s1_cell1636	8
s1_cell1637	0
s1_cell1638	8
s1_cell1639	5
s1_cell1640	14
s1_cell1641	4
s1_cell1642	14
s1_cell1643	5
s1_cell1644	5
s1_cell1645	5
s1_cell1646	5
s1_cell1647	1
s1_cell1648	5
s1_cell1649	5
s1_cell1650	9
s1_cell1651	0
s1_cell1652	6
s1_cell1653	7
s1_cell1654	1
s1_cell1655	1
s1_cell1656	6
s1_cell1657	0
s1_cell1658	9
s1_cell1659	10
s1_cell1660	0
s1_cell1661	0
s1_cell1662	0
s1_cell1663	5
s1_cell1664	8
s1_cell1665	5
s1_cell1666	17
s1_cell1667	9
s1_cell1668	4
s1_cell1669	5
s1_cell1670	19
s1_cell1671	4
s1_cell1672	9
s1_cell1673	21
s1_cell1674	10
s1_cell1675	3
s1_cell1676	17
s1_cell1677	10
s1_cell1678	6
s1_cell1679	4
s1_cell1680	1
s1_cell1681	11
s1_cell1682	10
s1_cell1683	1
s1_cell1684	1
s1_cell1685	1
s1_cell1686	21
s1_cell1687	5
s1_cell1688	10
s1_cell1689	1
s1_cell1690	4
s1_cell1691	10
s1_cell1692	1
s1_cell1693	4
s1_cell1694	6
s1_cell1695	6
s1_cell1696	8
s1_cell1697	7
s1_cell1698	5
s1_cell1699	17
s1_cell1700	11
s1_cell1701	17
s1_cell1702	1
s1_cell1703	1
s1_cell1704	1
s1_cell1705	8
s1_cell1706	1
s1_cell1707	14
s1_cell1708	10
s1_cell1709	8
s1_cell1710	10
s1_cell1711	4
s1_cell1712	1
s1_cell1713	5
s1_cell1714	6
s1_cell1715	15
s1_cell1716	7
s1_cell1717	5
s1_cell1718	7
s1_cell1719	12
s1_cell1720	1
s1_cell1721	5
s1_cell1722	0
s1_cell1723	10
s1_cell1724	22
s1_cell1725	1
s1_cell1726	10
s1_cell1727	18
s1_cell1728	5
s1_cell1729	1
s1_cell1730	5
s1_cell1731	8
s1_cell1732	16
s1_cell1733	5
s1_cell1734	1
s1_cell1735	9
s1_cell1736	1
s1_cell1737	0
s1_cell1738	1
s1_cell1739	5
s1_cell1740	0
s1_cell1741	1
s1_cell1742	8
s1_cell1743	1
s1_cell1744	1
s1_cell1745	8
s1_cell1746	6
s1_cell1747	5
s1_cell1748	0
s1_cell1749	1
s1_cell1750	6
s1_cell1751	13
s1_cell1752	1
s1_cell1753	5
s1_cell1754	1
s1_cell1755	9
s1_cell1756	6
s1_cell1757	6
s1_cell1758	5
s1_cell1759	3
s1_cell1760	6
s1_cell1761	6
s1_cell1762	5
s1_cell1763	3
s1_cell1764	2
s1_cell1765	6
s1_cell1766	0
s1_cell1767	6
s1_cell1768	3
s1_cell1769	5
s1_cell1770	1
s1_cell1771	9
s1_cell1772	5
s1_cell1773	13
s1_cell1774	14
s1_cell1775	1
s1_cell1776	13
s1_cell1777	5
s1_cell1778	5
s1_cell1779	1
s1_cell1780	6
s1_cell1781	9
s1_cell1782	10
s1_cell1783	9
s1_cell1784	6
s1_cell1785	1
s1_cell1786	18
s1_cell1787	9
s1_cell1788	1
s1_cell1789	11
s1_cell1790	10
s1_cell1791	1
s1_cell1792	15
s1_cell1793	16
s1_cell1794	14
s1_cell1795	0
s1_cell1796	1
s1_cell1797	3
s1_cell1798	1
s1_cell1799	5
s1_cell1800	1
s1_cell1801	9
s1_cell1802	10
s1_cell1803	2
s1_cell1804	6
s1_cell1805	1
s1_cell1806	13
s1_cell1807	9
s1_cell1808	1
s1_cell1809	4
s1_cell1810	6
s1_cell1811	7
s1_cell1812	7
s1_cell1813	3
s1_cell1814	15
s1_cell1815	1
s1_cell1816	1
s1_cell1817	5
s1_cell1818	1
s1_cell1819	1
s1_cell1820	9
s1_cell1821	14
s1_cell1822	3
s1_cell1823	5
s1_cell1824	1
s1_cell1825	5
s1_cell1826	17
s1_cell1827	2
s1_cell1828	3
s1_cell1829	6
s1_cell1830	6
s1_cell1831	1
s1_cell1832	1
s1_cell1833	1
s1_cell1834	4
s1_cell1835	6
s1_cell1836	1
s1_cell1837	5
s1_cell1838	10
s1_cell1839	1
s1_cell1840	1
s1_cell1841	12
s1_cell1842	5
s1_cell1843	4
s1_cell1844	5
s1_cell1845	22
s1_cell1846	1
s1_cell1847	1
s1_cell1848	5
s1_cell1849	8
s1_cell1850	16
s1_cell1851	3
s1_cell1852	13
s1_cell1853	6
s1_cell1854	4
s1_cell1855	1
s1_cell1856	10
s1_cell1857	6
s1_cell1858	13
s1_cell1859	4
s1_cell1860	11
s1_cell1861	1
s1_cell1862	6
s1_cell1863	10
s1_cell1864	1
s1_cell1865	5
s1_cell1866	9
s1_cell1867	1
s1_cell1868	4
s1_cell1869	1
s1_cell1870	1
s1_cell1871	11
s1_cell1872	5
s1_cell1873	0
s1_cell1874	1
s1_cell1875	8
s1_cell1876	1
s1_cell1877	10
s1_cell1878	6
s1_cell1879	0
s1_cell1880	5
s1_cell1881	4
s1_cell1882	1
s1_cell1883	9
s1_cell1884	21
s1_cell1885	6
s1_cell1886	19
s1_cell1887	4
s1_cell1888	5
s1_cell1889	2
s1_cell1890	20
s1_cell1891	4
s1_cell1892	5
s1_cell1893	0
s1_cell1894	8
s1_cell1895	6
s1_cell1896	8
s1_cell1897	8
s1_cell1898	0
s1_cell1899	1
s1_cell1900	13
s1_cell1901	4
s1_cell1902	8
s1_cell1903	10
s1_cell1904	8
s1_cell1905	9
s1_cell1906	6
s1_cell1907	4
s1_cell1908	1
s1_cell1909	1
s1_cell1910	4
s1_cell1911	1
s1_cell1912	0
s1_cell1913	3
s1_cell1914	1
s1_cell1915	0
s1_cell1916	6
s1_cell1917	4
s1_cell1918	18
s1_cell1919	0
s1_cell1920	17
s1_cell1921	13
s1_cell1922	14
s1_cell1923	10
s1_cell1924	1
s1_cell1925	1
s1_cell1926	9
s1_cell1927	1
s1_cell1928	7
s1_cell1929	1
s1_cell1930	5
s1_cell1931	1
s1_cell1932	1
s1_cell1933	8
s1_cell1934	0
s1_cell1935	6
s1_cell1936	10
s1_cell1937	6
s1_cell1938	2
s1_cell1939	0
s1_cell1940	9
s1_cell1941	1
s1_cell1942	2
s1_cell1943	4
s1_cell1944	13
s1_cell1945	1
s1_cell1946	13
s1_cell1947	5
s1_cell1948	1
s1_cell1949	6
s1_cell1950	15
s1_cell1951	1
s1_cell1952	9
s1_cell1953	1
s1_cell1954	6
s1_cell1955	1
s1_cell1956	6
s1_cell1957	7
s1_cell1958	9
s1_cell1959	1
s1_cell1960	2
s1_cell1961	1
s1_cell1962	5
s1_cell1963	15
s1_cell1964	1
s1_cell1965	1
s1_cell1966	1
s1_cell1967	6
s1_cell1968	8
s1_cell1969	4
s1_cell1970	8
s1_cell1971	1
s1_cell1972	2
s1_cell1973	0
s1_cell1974	13
s1_cell1975	1
s1_cell1976	5
s1_cell1977	1
s1_cell1978	1
s1_cell1979	3
s1_cell1980	2
s1_cell1981	1
s1_cell1982	13
s1_cell1983	7
s1_cell1984	1
s1_cell1985	13
s1_cell1986	6
s1_cell1987	1
s1_cell1988	6
s1_cell1989	1
s1_cell1990	9
s1_cell1991	0
s1_cell1992	1
s1_cell1993	9
s1_cell1994	0
s1_cell1995	10
s1_cell1996	5
s1_cell1997	16
s1_cell1998	1
s1_cell1999	10
s1_cell2000	6
s1_cell2001	5
s1_cell2002	1
s1_cell2003	15
s1_cell2004	9
s1_cell2005	18
s1_cell2006	8
s1_cell2007	6
s1_cell2008	9
s1_cell2009	17
s1_cell2010	6
s1_cell2011	2
s1_cell2012	12
s1_cell2013	9
s1_cell2014	5
s1_cell2015	18
s1_cell2016	0
s1_cell2017	9
s1_cell2018	1
s1_cell2019	14
s1_cell2020	6
s1_cell2021	10
s1_cell2022	14
s1_cell2023	8
s1_cell2024	5
s1_cell2025	9
s1_cell2026	15
s1_cell2027	10
s1_cell2028	6
s1_cell2029	8
s1_cell2030	6
s1_cell2031	10
s1_cell2032	3
s1_cell2033	5
s1_cell2034	1
s1_cell2035	1
s1_cell2036	4
s1_cell2037	4
s1_cell2038	8
s1_cell2039	1
s1_cell2040	2
s1_cell2041	15
s1_cell2042	3
s1_cell2043	6
s1_cell2044	9
s1_cell2045	4
s1_cell2046	1
s1_cell2047	10
s1_cell2048	12
s1_cell2049	6
s1_cell2050	5
s1_cell2051	6
s1_cell2052	1
s1_cell2053	9
s1_cell2054	17
s1_cell2055	3
s1_cell2056	0
s1_cell2057	6
s1_cell2058	5
s1_cell2059	1
s1_cell2060	2
s1_cell2061	8
s1_cell2062	8
s1_cell2063	3
s1_cell2064	9
s1_cell2065	10
s1_cell2066	1
s1_cell2067	13
s1_cell2068	6
s1_cell2069	9
s1_cell2070	9
s1_cell2071	22
s1_cell2072	6
s1_cell2073	6
s1_cell2074	1
s1_cell2075	2
s1_cell2076	6
s1_cell2077	5
s1_cell2078	6
s1_cell2079	6
s1_cell2080	1
s1_cell2081	6
s1_cell2082	1
s1_cell2083	4
s1_cell2084	8
s1_cell2085	8
s1_cell2086	7
s1_cell2087	8
s1_cell2088	6
s1_cell2089	1
s1_cell2090	1
s1_cell2091	10
s1_cell2092	9
s1_cell2093	19
s1_cell2094	1
s1_cell2095	6
s1_cell2096	1
s1_cell2097	1
s1_cell2098	1
s1_cell2099	2
s1_cell2100	0
s1_cell2101	4
s1_cell2102	1
s1_cell2103	5
s1_cell2104	8
s1_cell2105	13
s1_cell2106	3
s1_cell2107	1
s1_cell2108	5
s1_cell2109	7
s1_cell2110	9
s1_cell2111	8
s1_cell2112	6
s1_cell2113	16
s1_cell2114	4
s1_cell2115	6
s1_cell2116	4
s1_cell2117	5
s1_cell2118	15
s1_cell2119	1
s1_cell2120	4
s1_cell2121	0
s1_cell2122	0
s1_cell2123	6
s1_cell2124	1
s1_cell2125	1
s1_cell2126	5
s1_cell2127	9
s1_cell2128	6
s1_cell2129	18
s1_cell2130	9
s1_cell2131	1
s1_cell2132	1
s1_cell2133	6
s1_cell2134	17
s1_cell2135	4
s1_cell2136	3
s1_cell2137	1
s1_cell2138	1
s1_cell2139	10
s1_cell2140	3
s1_cell2141	4
s1_cell2142	14
s1_cell2143	6
s1_cell2144	1
s1_cell2145	2
s1_cell2146	14
s1_cell2147	0
s1_cell2148	8
s1_cell2149	1
s1_cell2150	6
s1_cell2151	10
s1_cell2152	6
s1_cell2153	6
s1_cell2154	6
s1_cell2155	3
s1_cell2156	0
s1_cell2157	2
s1_cell2158	2
s1_cell2159	6
s1_cell2160	16
s1_cell2161	7
s1_cell2162	7
s1_cell2163	8
s1_cell2164	1
s1_cell2165	1
s1_cell2166	14
s1_cell2167	13
s1_cell2168	1
s1_cell2169	1
s1_cell2170	6
s1_cell2171	4
s1_cell2172	10
s1_cell2173	4
s1_cell2174	2
s1_cell2175	10
s1_cell2176	4
s1_cell2177	6
s1_cell2178	6
s1_cell2179	0
s1_cell2180	7
s1_cell2181	14
s1_cell2182	1
s1_cell2183	1
s1_cell2184	10
s1_cell2185	6
s1_cell2186	14
s1_cell2187	3
s1_cell2188	1
s1_cell2189	9
s1_cell2190	22
s1_cell2191	9
s1_cell2192	1
s1_cell2193	1
s1_cell2194	1
s1_cell2195	8
s1_cell2196	1
s1_cell2197	6
s1_cell2198	1
s1_cell2199	4
s1_cell2200	1
s1_cell2201	1
s1_cell2202	17
s1_cell2203	0
s1_cell2204	8
s1_cell2205	6
s1_cell2206	6
s1_cell2207	5
s1_cell2208	6
s1_cell2209	2
s1_cell2210	6
s1_cell2211	8
s1_cell2212	6
s1_cell2213	10
s1_cell2214	1
s1_cell2215	0
s1_cell2216	1
s1_cell2217	2
s1_cell2218	0
s1_cell2219	17
s1_cell2220	6
s1_cell2221	6
s1_cell2222	9
s1_cell2223	1
s1_cell2224	6
s1_cell2225	1
s1_cell2226	0
s1_cell2227	16
s1_cell2228	6
s1_cell2229	3
s1_cell2230	13
s1_cell2231	1
s1_cell2232	10
s1_cell2233	1
s1_cell2234	6
s1_cell2235	1
s1_cell2236	1
s1_cell2237	0
s1_cell2238	9
s1_cell2239	5
s1_cell2240	9
s1_cell2241	1
s1_cell2242	8
s1_cell2243	13
s1_cell2244	1
s1_cell2245	6
s1_cell2246	1
s1_cell2247	6
s1_cell2248	1
s1_cell2249	14
s1_cell2250	1
s1_cell2251	0
s1_cell2252	1
s1_cell2253	5
s1_cell2254	9
s1_cell2255	0
s1_cell2256	10
s1_cell2257	15
s1_cell2258	5
s1_cell2259	1
s1_cell2260	10
s1_cell2261	8
s1_cell2262	14
s1_cell2263	5
s1_cell2264	2
s1_cell2265	7
s1_cell2266	19
s1_cell2267	10
s1_cell2268	1
s1_cell2269	14
s1_cell2270	5
s1_cell2271	0
s1_cell2272	2
s1_cell2273	5
s1_cell2274	5
s1_cell2275	3
s1_cell2276	6
s1_cell2277	2
s1_cell2278	0
s1_cell2279	0
s1_cell2280	1
s1_cell2281	7
s1_cell2282	10
s1_cell2283	4
s1_cell2284	1
s1_cell2285	8
s1_cell2286	6
s1_cell2287	2
s1_cell2288	8
s1_cell2289	4
s1_cell2290	1
s1_cell2291	5
s1_cell2292	6
s1_cell2293	2
s1_cell2294	0
s1_cell2295	0
s1_cell2296	10
s1_cell2297	8
s1_cell2298	6
s1_cell2299	13
s1_cell2300	18
s1_cell2301	0
s1_cell2302	6
s1_cell2303	1
s1_cell2304	13
s1_cell2305	5
s1_cell2306	14
s1_cell2307	1
s1_cell2308	6
s1_cell2309	1
s1_cell2310	9
s1_cell2311	13
s1_cell2312	9
s1_cell2313	1
s1_cell2314	3
s1_cell2315	1
s1_cell2316	1
s1_cell2317	1
s1_cell2318	8
s1_cell2319	10
s1_cell2320	19
s1_cell2321	1
s1_cell2322	0
s1_cell2323	10
s1_cell2324	5
s1_cell2325	7
s1_cell2326	2
s1_cell2327	2
s1_cell2328	0
s1_cell2329	3
s1_cell2330	10
s1_cell2331	1
s1_cell2332	10
s1_cell2333	1
s1_cell2334	0
s1_cell2335	14
s1_cell2336	8
s1_cell2337	4
s1_cell2338	1
s1_cell2339	1
s1_cell2340	8
s1_cell2341	2
s1_cell2342	19
s1_cell2343	4
s1_cell2344	1
s1_cell2345	1
s1_cell2346	1
s1_cell2347	18
s1_cell2348	4
s1_cell2349	9
s1_cell2350	0
s1_cell2351	15
s1_cell2352	6
s1_cell2353	1
s1_cell2354	6
s1_cell2355	5
s1_cell2356	5
s1_cell2357	4
s1_cell2358	18
s1_cell2359	9
s1_cell2360	2
s1_cell2361	10
s1_cell2362	9
s1_cell2363	1
s1_cell2364	13
s1_cell2365	0
s1_cell2366	6
s1_cell2367	1
s1_cell2368	9
s1_cell2369	6
s1_cell2370	1
s1_cell2371	6
s1_cell2372	6
s1_cell2373	8
s1_cell2374	2
s1_cell2375	8
s1_cell2376	3
s1_cell2377	18
s1_cell2378	8
s1_cell2379	1
s1_cell2380	6
s1_cell2381	10
s1_cell2382	0
s1_cell2383	1
s1_cell2384	10
s1_cell2385	2
s1_cell2386	9
s1_cell2387	2
s1_cell2388	6
s1_cell2389	0
s1_cell2390	5
s1_cell2391	9
s1_cell2392	1
s1_cell2393	6
s1_cell2394	8
s1_cell2395	1
s1_cell2396	1
s1_cell2397	8
s1_cell2398	14
s1_cell2399	1
s1_cell2400	9
s1_cell2401	1
s1_cell2402	3
s1_cell2403	19
s1_cell2404	5
s1_cell2405	0
s1_cell2406	17
s1_cell2407	14
s1_cell2408	1
s1_cell2409	1
s1_cell2410	8
s1_cell2411	0
s1_cell2412	9
s1_cell2413	14
s1_cell2414	0
s1_cell2415	1
s1_cell2416	13
s1_cell2417	11
s1_cell2418	14
s1_cell2419	4
s1_cell2420	4
s1_cell2421	9
s1_cell2422	6
s1_cell2423	6
s1_cell2424	10
s1_cell2425	1
s1_cell2426	1
s1_cell2427	1
s1_cell2428	8
s1_cell2429	1
s1_cell2430	6
s1_cell2431	2
s1_cell2432	8
s1_cell2433	8
s1_cell2434	3
s1_cell2435	0
s1_cell2436	4
s1_cell2437	2
s1_cell2438	4
s1_cell2439	10
s1_cell2440	8
s1_cell2441	6
s1_cell2442	6
s1_cell2443	0
s1_cell2444	1
s1_cell2445	9
s1_cell2446	1
s1_cell2447	0
s1_cell2448	6
s1_cell2449	8
s1_cell2450	7
s1_cell2451	16
s1_cell2452	3
s1_cell2453	10
s1_cell2454	7
s1_cell2455	2
s1_cell2456	13
s1_cell2457	8
s1_cell2458	6
s1_cell2459	0
s1_cell2460	3
s1_cell2461	17
s1_cell2462	19
s1_cell2463	13
s1_cell2464	16
s1_cell2465	0
s1_cell2466	9
s1_cell2467	1
s1_cell2468	1
s1_cell2469	0
s1_cell2470	5
s1_cell2471	4
s1_cell2472	5
s1_cell2473	0
s1_cell2474	21
s1_cell2475	4
s1_cell2476	13
s1_cell2477	2
s1_cell2478	19
s1_cell2479	1
s1_cell2480	1
s1_cell2481	10
s1_cell2482	0
s1_cell2483	7
s1_cell2484	6
s1_cell2485	16
s1_cell2486	0
s1_cell2487	7
s1_cell2488	16
s1_cell2489	8
s1_cell2490	6
s1_cell2491	3
s1_cell2492	8
s1_cell2493	1
s1_cell2494	1
s1_cell2495	11
s1_cell2496	16
s1_cell2497	6
s1_cell2498	13
s1_cell2499	1
s1_cell2500	9
s1_cell2501	12
s1_cell2502	0
s1_cell2503	6
s1_cell2504	11
s1_cell2505	9
s1_cell2506	1
s1_cell2507	0
s1_cell2508	1
s1_cell2509	13
s1_cell2510	3
s1_cell2511	13
s1_cell2512	9
s1_cell2513	5
s1_cell2514	7
s1_cell2515	3
s1_cell2516	1
s1_cell2517	6
s1_cell2518	16
s1_cell2519	2
s1_cell2520	5
s1_cell2521	1
s1_cell2522	1
s1_cell2523	9
s1_cell2524	1
s1_cell2525	0
s1_cell2526	18
s1_cell2527	0
s1_cell2528	5
s1_cell2529	0
s1_cell2530	9
s1_cell2531	2
s1_cell2532	9
s1_cell2533	13
s1_cell2534	1
s1_cell2535	18
s1_cell2536	14
s1_cell2537	1
s1_cell2538	1
s1_cell2539	8
s1_cell2540	0
s1_cell2541	16
s1_cell2542	3
s1_cell2543	0
s1_cell2544	5
s1_cell2545	10
s1_cell2546	8
s1_cell2547	1
s1_cell2548	19
s1_cell2549	16
s1_cell2550	2
s1_cell2551	9
s1_cell2552	6
s1_cell2553	3
s1_cell2554	9
s1_cell2555	1
s1_cell2556	0
s1_cell2557	16
s1_cell2558	17
s1_cell2559	1
s1_cell2560	9
s1_cell2561	1
s1_cell2562	8
s1_cell2563	1
s1_cell2564	9
s1_cell2565	1
s1_cell2566	11
s1_cell2567	1
s1_cell2568	19
s1_cell2569	5
s1_cell2570	1
s1_cell2571	10
s1_cell2572	2
s1_cell2573	2
s1_cell2574	0
s1_cell2575	1
s1_cell2576	1
s1_cell2577	11
s1_cell2578	1
s1_cell2579	0
s1_cell2580	18
s1_cell2581	4
s1_cell2582	13
s1_cell2583	5
s1_cell2584	1
s1_cell2585	14
s1_cell2586	5
s1_cell2587	13
s1_cell2588	1
s1_cell2589	1
s1_cell2590	19
s1_cell2591	1
s1_cell2592	0
s1_cell2593	1
s1_cell2594	3
s1_cell2595	2
s1_cell2596	4
s1_cell2597	8
s1_cell2598	2
s1_cell2599	13
s1_cell2600	0
s1_cell2601	9
s1_cell2602	6
s1_cell2603	0
s1_cell2604	16
s1_cell2605	5
s1_cell2606	1
s1_cell2607	14
s1_cell2608	8
s1_cell2609	9
s1_cell2610	5
s1_cell2611	1
s1_cell2612	1
s1_cell2613	1
s1_cell2614	19
s1_cell2615	10
s1_cell2616	8
s1_cell2617	3
s1_cell2618	6
s1_cell2619	14
s1_cell2620	9
s1_cell2621	5
s1_cell2622	0
s1_cell2623	1
s1_cell2624	4
s1_cell2625	6
s1_cell2626	1
s1_cell2627	1
s1_cell2628	4
s1_cell2629	8
s1_cell2630	9
s1_cell2631	1
s1_cell2632	0
s1_cell2633	2
s1_cell2634	15
s1_cell2635	6
s1_cell2636	2
s1_cell2637	1
s1_cell2638	6
s1_cell2639	6
s1_cell2640	11
s1_cell2641	0
s1_cell2642	1
s1_cell2643	16
s1_cell2644	1
s1_cell2645	0
s1_cell2646	1
s1_cell2647	1
s1_cell2648	17
s1_cell2649	19
s1_cell2650	19
s1_cell2651	10
s1_cell2652	14
s1_cell2653	17
s1_cell2654	9
s1_cell2655	1
s1_cell2656	6
s1_cell2657	13
s1_cell2658	6
s1_cell2659	6
s1_cell2660	1
s1_cell2661	0
s1_cell2662	8
s1_cell2663	6
s1_cell2664	1
s1_cell2665	7
s1_cell2666	15
s1_cell2667	9
s1_cell2668	3
s1_cell2669	10
s1_cell2670	4
s1_cell2671	10
s1_cell2672	18
s1_cell2673	10
s1_cell2674	5
s1_cell2675	16
s1_cell2676	1
s1_cell2677	9
s1_cell2678	8
s1_cell2679	9
s1_cell2680	3
s1_cell2681	9
s1_cell2682	13
s1_cell2683	5
s1_cell2684	1
s1_cell2685	9
s1_cell2686	19
s1_cell2687	19
s1_cell2688	2
s1_cell2689	4
s1_cell2690	8
s1_cell2691	14
s1_cell2692	2
s1_cell2693	0
s1_cell2694	6
s1_cell2695	10
s1_cell2696	6
s1_cell2697	8
s1_cell2698	6
s1_cell2699	21
s1_cell2700	10
s1_cell2701	2
s1_cell2702	9
s1_cell2703	6
s1_cell2704	14
s1_cell2705	8
s1_cell2706	16
s1_cell2707	7
s1_cell2708	1
s1_cell2709	8
s1_cell2710	14
s1_cell2711	4
s1_cell2712	8
s1_cell2713	8
s1_cell2714	6
s1_cell2715	0
s1_cell2716	1
s1_cell2717	13
s1_cell2718	8
s1_cell2719	8
s1_cell2720	8
s1_cell2721	6
s1_cell2722	14
s1_cell2723	2
s1_cell2724	19
s1_cell2725	1
s1_cell2726	7
s1_cell2727	13
s1_cell2728	16
s1_cell2729	2
s1_cell2730	0
s1_cell2731	13
s1_cell2732	9
s1_cell2733	9
s1_cell2734	3
s1_cell2735	13
s1_cell2736	8
s1_cell2737	14
s1_cell2738	8
s1_cell2739	1
s1_cell2740	9
s1_cell2741	4
s1_cell2742	13
s1_cell2743	10
s1_cell2744	7
s1_cell2745	1
s1_cell2746	1
s1_cell2747	1
s1_cell2748	0
s1_cell2749	9
s1_cell2750	18
s1_cell2751	10
s1_cell2752	11
s1_cell2753	0
s1_cell2754	14
s1_cell2755	11
s1_cell2756	4
s1_cell2757	1
s1_cell2758	2
s1_cell2759	0
s1_cell2760	5
s1_cell2761	1
s1_cell2762	1
s1_cell2763	10
s1_cell2764	2
s1_cell2765	1
s1_cell2766	16
s1_cell2767	4
s1_cell2768	9
s1_cell2769	5
s1_cell2770	2
s1_cell2771	2
s1_cell2772	1
s1_cell2773	1
s1_cell2774	6
s1_cell2775	6
s1_cell2776	0
s1_cell2777	16
s1_cell2778	6
s1_cell2779	1
s1_cell2780	1
s1_cell2781	1
s1_cell2782	7
s1_cell2783	9
s1_cell2784	5
s1_cell2785	4
s1_cell2786	13
s1_cell2787	13
s1_cell2788	3
s1_cell2789	0
s1_cell2790	6
s1_cell2791	3
s1_cell2792	6
s1_cell2793	9
s1_cell2794	0
s1_cell2795	6
s1_cell2796	4
s1_cell2797	1
s1_cell2798	13
s1_cell2799	9
s1_cell2800	18
s1_cell2801	8
s1_cell2802	14
s1_cell2803	18
s1_cell2804	16
s1_cell2805	0
s1_cell2806	0
s1_cell2807	4
s1_cell2808	17
s1_cell2809	5
s1_cell2810	0
s1_cell2811	1
s1_cell2812	19
s1_cell2813	18
s1_cell2814	1
s1_cell2815	2
s1_cell2816	9
s1_cell2817	0
s1_cell2818	10
s1_cell2819	0
s1_cell2820	11
s1_cell2821	12
s1_cell2822	1
s1_cell2823	11
s1_cell2824	6
s1_cell2825	6
s1_cell2826	12
s1_cell2827	9
s1_cell2828	10
s1_cell2829	1
s1_cell2830	20
s1_cell2831	3
s1_cell2832	3
s1_cell2833	5
s1_cell2834	10
s1_cell2835	4
s1_cell2836	14
s1_cell2837	0
s1_cell2838	8
s1_cell2839	1
s1_cell2840	0
s1_cell2841	2
s1_cell2842	1
s1_cell2843	2
s1_cell2844	8
s1_cell2845	2
s1_cell2846	2
s1_cell2847	21
s1_cell2848	17
s1_cell2849	15
s1_cell2850	9
s1_cell2851	9
s1_cell2852	1
s1_cell2853	5
s1_cell2854	3
s1_cell2855	8
s1_cell2856	0
s1_cell2857	19
s1_cell2858	1
s1_cell2859	0
s1_cell2860	7
s1_cell2861	6
s1_cell2862	2
s1_cell2863	2
s1_cell2864	2
s1_cell2865	2
s1_cell2866	16
s1_cell2867	10
s1_cell2868	1
s1_cell2869	8
s1_cell2870	0
s1_cell2871	1
s1_cell2872	8
s1_cell2873	6
s1_cell2874	3
s1_cell2875	9
s1_cell2876	0
s1_cell2877	5
s1_cell2878	19
s1_cell2879	3
s1_cell2880	8
s1_cell2881	1
s1_cell2882	7
s1_cell2883	2
s1_cell2884	10
s1_cell2885	22
s1_cell2886	4
s1_cell2887	2
s1_cell2888	1
s1_cell2889	1
s1_cell2890	1
s1_cell2891	1
s1_cell2892	17
s1_cell2893	16
s1_cell2894	0
s1_cell2895	2
s1_cell2896	16
s1_cell2897	2
