cell_type	rank	gene_id	specificity_log2	expression	other_mean_log2
root_hair	15	TraesCS2D03G0321900	6.193209	261.08	1.840654
root_hair	16	TraesCS7D03G0568800	6.191655	291.25	1.999404
root_hair	17	TraesCS2A03G0508300	6.185192	336.02	2.211498
root_hair	18	TraesCS2A03G1162700	6.136787	256.84	1.873545
root_hair	19	TraesCS2D03G0496100	6.106544	265.33	1.950527
root_hair	20	TraesCS7B03G0410500	6.094195	374.66	2.459088
root_hair	21	TraesCS3D03G0133700	6.074874	118.29	0.823456
root_hair	22	TraesCS2B03G1319000	6.045375	326.35	2.309316
root_hair	23	TraesCS2B03G0582100	6.002870	490.59	2.938442
root_hair	24	TraesCS2A03G1281500	5.998296	193.46	1.605034
root_hair	25	TraesCS2D03G1242700	5.992037	250.01	1.979564
root_hair	26	TraesCS7A03G0529100	5.990619	379.37	2.580640
root_hair	27	TraesCS2D03G0468100	5.944398	662.84	3.430294
root_hair	28	TraesCS1B03G0637100	5.925085	211.13	1.803720
root_hair	29	TraesCS7D03G0801200	5.909068	215.14	1.846754
root_hair	30	TraesCS2B03G1100500	5.890486	110.51	0.910543
root_hair	31	TraesCS6B03G1069000	5.860792	304.91	2.396171
root_hair	32	TraesCS2A03G0991200	5.851660	124.65	1.121607
root_hair	33	TraesCS2A03G0235500	5.833983	240.82	2.083807
root_hair	34	TraesCS4A03G1182000	5.807969	119.94	1.110179
root_hair	35	TraesCS7A03G0045400	5.792665	146.33	1.410242
root_hair	36	TraesCS7A03G0816500	5.775132	283.47	2.377001
root_hair	37	TraesCS2A03G0462100	5.747851	533.24	3.313494
root_hair	38	TraesCS5B03G1000500	5.745392	164.94	1.629126
root_hair	39	TraesCS7B03G1308800	5.725176	170.84	1.699746
root_hair	40	TraesCS5A03G0951600	5.719764	141.85	1.438594
root_hair	41	TraesCS3B03G0268700	5.686554	188.51	1.879577
root_hair	42	TraesCS5B03G0106800	5.664922	263.44	2.381874
root_hair	43	TraesCS6A03G0890300	5.655461	195.34	1.961750
root_hair	44	TraesCS6D03G0765000	5.626807	215.14	2.129016
root_hair	45	TraesCS7B03G0675000	5.618507	177.9	1.864503
root_hair	46	TraesCS2B03G1468700	5.611148	153.63	1.661528
root_hair	47	TraesCS2B03G0914600	5.538342	139.02	1.591147
root_hair	48	TraesCS2D03G0769800	5.519488	102.5	1.173999
root_hair	49	TraesCS4B03G0990200	5.483886	109.57	1.304930
root_hair	50	TraesCS3D03G0204600	5.480615	90.01	1.027338
xylem	1	TraesCS1D03G0049400	6.363337	1152.08	3.807940
xylem	2	TraesCS5A03G0388600	6.296194	2402.04	4.934451
xylem	3	TraesCS5D03G0377000	6.255199	2557.75	5.066024
xylem	4	TraesCSU03G0020100	6.215571	347.98	2.231429
xylem	5	TraesCS1A03G0062800	6.211127	1043.18	3.817028
xylem	6	TraesCS5B03G0387000	6.178880	1962.44	4.760288
xylem	7	TraesCS3B03G1344800	6.051757	420.83	2.668761
xylem	8	TraesCS2B03G0484900	5.817003	482.16	3.099354
xylem	9	TraesCS5A03G0570800	5.775035	151.96	1.481976
xylem	10	TraesCS3D03G0008300	5.769780	239.08	2.137591
xylem	11	TraesCS2D03G0060400	5.744059	120.67	1.182771
xylem	12	TraesCS3B03G0012900	5.719061	271.87	2.373009
xylem	13	TraesCS1B03G0066500	5.678359	146.7	1.528167
xylem	14	TraesCS2A03G0730800	5.662542	294.9	2.546424
xylem	15	TraesCS1D03G0371000	5.610101	140.44	1.533945
xylem	16	TraesCS7B03G0904700	5.582098	73.6	0.639006
xylem	17	TraesCS5B03G0582100	5.529521	126.67	1.466755
xylem	18	TraesCS2D03G0381300	5.490474	139.19	1.640766
xylem	19	TraesCS1B03G0493300	5.477642	119.16	1.431171
xylem	20	TraesCS1B03G0325900	5.474850	146.2	1.726784
xylem	21	TraesCSU03G0019900	5.465650	194.52	2.145522
xylem	22	TraesCS6A03G0080100	5.445146	217.8	2.328323
xylem	23	TraesCS1A03G0223500	5.402976	96.88	1.209966
xylem	24	TraesCS2D03G0676600	5.383936	104.39	1.335658
xylem	25	TraesCS1A03G0402200	5.367087	126.67	1.629189
xylem	26	TraesCS7A03G0446200	5.365457	257.85	2.650515
xylem	27	TraesCS3A03G0006300LC	5.350801	141.69	1.805939
xylem	28	TraesCS2A03G0364600	5.349438	122.67	1.600914
xylem	29	TraesCS2B03G0806600	5.348445	167.98	2.052264
xylem	30	TraesCS7B03G0805100	5.331325	378.02	3.234806
xylem	31	TraesCS3B03G1137000	5.276145	111.4	1.536353
xylem	32	TraesCS2A03G0734000	5.265496	111.65	1.550208
xylem	33	TraesCS6D03G0654300	5.253963	319.44	3.069948
xylem	34	TraesCS5D03G0536900	5.251092	111.65	1.564611
xylem	35	TraesCS3A03G0987500	5.233853	111.9	1.585048
xylem	36	TraesCS3D03G0666000	5.216471	86.12	1.228461
xylem	37	TraesCS2D03G0673900	5.188988	119.66	1.725815
xylem	38	TraesCS3D03G0921200	5.116785	107.65	1.646759
xylem	39	TraesCS3B03G0828300	5.089075	94.63	1.490316
xylem	40	TraesCS3A03G0722200	5.039249	64.59	0.996155
xylem	41	TraesCS7D03G1014000	5.010852	41.81	0.409024
xylem	42	TraesCS4A03G0280400	4.988372	98.13	1.642878
xylem	43	TraesCS6D03G0082600	4.982812	387.78	3.619999
xylem	44	TraesCS2B03G1399100	4.951531	85.12	1.476745
xylem	45	TraesCS2B03G0810100	4.943928	71.35	1.232993
xylem	46	TraesCS1D03G0402900	4.886351	141.94	2.272914
xylem	47	TraesCS2D03G0379800	4.873063	48.32	0.751037
xylem	48	TraesCS7D03G0430200	4.870384	156.96	2.433032
xylem	49	TraesCS4B03G0486500	4.846543	76.6	1.431442
xylem	50	TraesCS1D03G0236500	4.837936	78.36	1.472404
