trainable_count	251221292
all_variable_count	251280712
name	shape	param_count	trainable
enformer/trunk/transformer/transformer_block_7/mlp/linear/b:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_7/mlp/linear/w:0	[3072, 1536]	4718592	1
enformer/trunk/transformer/transformer_block_8/mha/layer_norm/offset:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_8/mha/layer_norm/scale:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_8/mha/attention_8/r_r_bias:0	[1, 8, 1, 64]	512	1
enformer/trunk/transformer/transformer_block_8/mha/attention_8/r_w_bias:0	[1, 8, 1, 64]	512	1
enformer/trunk/transformer/transformer_block_8/mha/attention_8/embedding_layer/b:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_8/mha/attention_8/embedding_layer/w:0	[1536, 1536]	2359296	1
enformer/trunk/transformer/transformer_block_8/mha/attention_8/k_layer/w:0	[1536, 512]	786432	1
enformer/trunk/transformer/transformer_block_8/mha/attention_8/q_layer/w:0	[1536, 512]	786432	1
enformer/trunk/transformer/transformer_block_8/mha/attention_8/r_k_layer/w:0	[192, 512]	98304	1
enformer/trunk/transformer/transformer_block_8/mha/attention_8/v_layer/w:0	[1536, 1536]	2359296	1
enformer/trunk/transformer/transformer_block_8/mlp/layer_norm/offset:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_8/mlp/layer_norm/scale:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_8/mlp/linear/b:0	[3072]	3072	1
enformer/trunk/transformer/transformer_block_8/mlp/linear/w:0	[1536, 3072]	4718592	1
enformer/trunk/transformer/transformer_block_8/mlp/linear/b:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_8/mlp/linear/w:0	[3072, 1536]	4718592	1
enformer/trunk/transformer/transformer_block_9/mha/layer_norm/offset:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_9/mha/layer_norm/scale:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_9/mha/attention_9/r_r_bias:0	[1, 8, 1, 64]	512	1
enformer/trunk/transformer/transformer_block_9/mha/attention_9/r_w_bias:0	[1, 8, 1, 64]	512	1
enformer/trunk/transformer/transformer_block_9/mha/attention_9/embedding_layer/b:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_9/mha/attention_9/embedding_layer/w:0	[1536, 1536]	2359296	1
enformer/trunk/transformer/transformer_block_9/mha/attention_9/k_layer/w:0	[1536, 512]	786432	1
enformer/trunk/transformer/transformer_block_9/mha/attention_9/q_layer/w:0	[1536, 512]	786432	1
enformer/trunk/transformer/transformer_block_9/mha/attention_9/r_k_layer/w:0	[192, 512]	98304	1
enformer/trunk/transformer/transformer_block_9/mha/attention_9/v_layer/w:0	[1536, 1536]	2359296	1
enformer/trunk/transformer/transformer_block_9/mlp/layer_norm/offset:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_9/mlp/layer_norm/scale:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_9/mlp/linear/b:0	[3072]	3072	1
enformer/trunk/transformer/transformer_block_9/mlp/linear/w:0	[1536, 3072]	4718592	1
enformer/trunk/transformer/transformer_block_9/mlp/linear/b:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_9/mlp/linear/w:0	[3072, 1536]	4718592	1
enformer/trunk/transformer/transformer_block_10/mha/layer_norm/offset:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_10/mha/layer_norm/scale:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_10/mha/attention_10/r_r_bias:0	[1, 8, 1, 64]	512	1
enformer/trunk/transformer/transformer_block_10/mha/attention_10/r_w_bias:0	[1, 8, 1, 64]	512	1
enformer/trunk/transformer/transformer_block_10/mha/attention_10/embedding_layer/b:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_10/mha/attention_10/embedding_layer/w:0	[1536, 1536]	2359296	1
enformer/trunk/transformer/transformer_block_10/mha/attention_10/k_layer/w:0	[1536, 512]	786432	1
enformer/trunk/transformer/transformer_block_10/mha/attention_10/q_layer/w:0	[1536, 512]	786432	1
enformer/trunk/transformer/transformer_block_10/mha/attention_10/r_k_layer/w:0	[192, 512]	98304	1
enformer/trunk/transformer/transformer_block_10/mha/attention_10/v_layer/w:0	[1536, 1536]	2359296	1
enformer/trunk/transformer/transformer_block_10/mlp/layer_norm/offset:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_10/mlp/layer_norm/scale:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_10/mlp/linear/b:0	[3072]	3072	1
enformer/trunk/transformer/transformer_block_10/mlp/linear/w:0	[1536, 3072]	4718592	1
enformer/trunk/transformer/transformer_block_10/mlp/linear/b:0	[1536]	1536	1
enformer/trunk/transformer/transformer_block_10/mlp/linear/w:0	[3072, 1536]	4718592	1
enformer/trunk/final_pointwise/conv_block/cross_replica_batch_norm/offset:0	[1536]	1536	1
enformer/trunk/final_pointwise/conv_block/cross_replica_batch_norm/scale:0	[1536]	1536	1
enformer/trunk/final_pointwise/conv_block/exponential_moving_average/counter:0	[]	1	0
enformer/trunk/final_pointwise/conv_block/exponential_moving_average/hidden:0	[1, 1, 1536]	1536	0
enformer/trunk/final_pointwise/conv_block/exponential_moving_average/average:0	[1, 1, 1536]	1536	0
enformer/trunk/final_pointwise/conv_block/exponential_moving_average/counter:0	[]	1	0
enformer/trunk/final_pointwise/conv_block/exponential_moving_average/hidden:0	[1, 1, 1536]	1536	0
enformer/trunk/final_pointwise/conv_block/exponential_moving_average/average:0	[1, 1, 1536]	1536	0
enformer/trunk/final_pointwise/conv_block/conv1_d/b:0	[3072]	3072	1
enformer/trunk/final_pointwise/conv_block/conv1_d/w:0	[1, 1536, 3072]	4718592	1
