FFQ	121	0	0	21112	6	0	347	36	36	336	131	202	137	2	233	3	52	55	247	177	178	192	284	518	663	585	913	1387	1282	2753	3976	22304	47913	40715	54513	5106	14789	50599	23155	56427	16016	0	0	0
FFQ	122	0	0	21220	13	0	322	36	41	382	128	172	187	18	228	9	52	123	129	162	270	219	241	637	896	1045	651	1876	813	2673	4010	8515	33827	41970	38507	48300	14570	15614	38700	17269	55925	15816	0	0
FFQ	123	0	0	21341	9	0	332	39	44	316	120	154	182	30	206	7	49	49	227	145	203	208	286	524	765	596	902	1376	1344	2184	4206	7554	38047	42110	40890	40828	14910	18320	39085	16291	54487	15325	0	0
FFQ	124	0	0	21492	0	70	289	60	397	142	160	188	29	242	35	50	127	231	178	108	293	631	637	571	464	1475	1577	1341	3755	3841	6020	21644	43398	41304	51410	6399	12473	48062	22241	55018	15537	0	0	0
FFQ	125	0	0	21608	5	0	336	35	47	336	126	149	183	17	232	12	64	45	210	184	197	263	222	502	832	830	897	1285	1126	2197	4085	19982	47919	38453	55390	6005	15030	49256	22285	54493	15224	0	0	0
FFQ	126	0	0	21716	15	0	337	49	48	372	115	154	214	25	209	6	55	34	235	174	253	302	251	537	714	844	1031	1159	1379	2522	3876	7746	37462	41471	40050	39923	15389	18196	38304	15157	52456	15351	0	0
FFQ	127	0	0	21854	6	0	344	36	33	364	116	160	161	21	214	25	34	37	218	155	262	190	335	506	719	681	893	1942	839	3181	3555	19907	43436	37141	53026	10384	16598	46763	21494	54493	15967	0	0	0
FFQ	128	0	0	21987	7	0	290	29	39	343	136	154	170	35	186	29	53	142	132	202	108	326	219	673	559	782	1043	1683	957	4042	3628	10270	23291	43786	35753	51579	5653	16088	41107	20273	53287	15078	0	0
FFQ	129	0	0	22124	7	0	330	38	45	337	118	150	182	25	189	6	44	33	209	160	189	265	199	508	741	762	808	1262	1108	1612	4177	6078	37238	41616	38942	40711	14820	18422	37248	15292	51376	14704	0	0
FFQ	130	0	0	22243	2	0	290	28	42	310	126	160	161	26	200	9	37	118	126	163	298	185	202	663	788	951	930	1100	1380	2064	4372	21006	46548	37000	52248	8890	12832	46332	21413	51922	14710	0	0	0
FFQ	131	0	0	22405	11	0	280	36	18	329	100	147	176	21	213	34	49	195	48	189	176	200	245	623	628	646	674	1848	790	2611	3915	18843	46295	37982	51085	10500	12764	46437	21299	51418	14526	0	0	0
FFQ	132	0	0	22568	10	0	302	27	47	342	134	123	149	29	187	38	35	207	62	221	200	295	180	603	669	828	657	1272	1119	2115	3992	19229	46142	36710	52035	5961	14861	46589	21341	51666	14656	0	0	0
FFQ	133	0	0	22723	8	0	269	39	46	323	145	154	144	19	199	15	38	27	230	147	183	273	189	481	709	756	1040	1065	1267	2889	4680	18131	41386	35774	50863	9838	16367	45040	21168	51726	15071	0	0	0
FFQ	134	0	0	22858	3	0	311	29	38	319	108	144	168	16	181	28	44	176	36	224	165	245	172	632	610	785	725	1253	1084	1974	4065	18810	45509	36005	51351	6063	14857	46073	21221	50576	14318	0	0	0
FFQ	135	0	0	23054	0	66	240	41	334	112	147	141	50	218	11	40	24	181	182	183	151	681	379	748	164	883	1124	1353	1398	4181	3959	20117	42668	37313	48955	7700	12990	45051	20824	49409	13809	0	0	0
FFQ	136	0	0	23261	4	0	255	35	48	285	121	126	151	22	187	7	35	28	179	136	136	235	230	525	656	698	976	1048	1241	1869	4222	18129	44740	36312	48859	10384	13050	44640	20737	49315	13625	0	0	0
FFQ	137	0	0	23456	5	0	261	32	36	278	129	103	165	20	194	6	48	25	161	148	158	295	171	561	690	734	885	1005	1240	2353	3639	18568	44101	35224	49866	5903	14981	45569	20669	48536	13802	0	0	0
FFQ	138	0	0	23697	9	0	246	32	33	257	120	131	161	30	193	23	46	172	39	188	161	242	153	677	565	774	636	1764	865	2468	3171	18079	44640	35059	49751	5866	14907	45062	19935	48205	13284	0	0	0
FFQ	139	0	0	23962	9	0	265	26	34	278	85	126	136	16	164	5	44	107	95	117	200	181	188	485	724	765	743	968	1123	3029	4053	20957	38670	36252	45135	10884	14316	42665	19464	48202	14622	0	0	0
FFQ	140	0	0	24244	5	0	240	23	35	257	105	127	157	27	196	28	33	74	122	172	96	336	136	645	458	685	832	1580	792	3225	3420	19031	42766	34331	47628	8659	12939	42831	20019	46922	13389	0	0	0
FFQ	141	0	6	24557	57	23	226	281	80	142	108	46	226	25	96	123	135	68	240	143	667	299	613	585	812	1039	1260	1672	3839	4090	4935	18069	38694	36580	45280	6024	11965	42434	19469	45918	13117	0	0	0
FFQ	142	0	0	24899	3	0	207	29	41	254	95	110	125	28	195	3	44	20	166	146	144	233	130	584	643	854	803	987	1317	1979	3650	17832	42392	33704	47671	5673	14925	43256	19571	45715	12853	0	0	0
FFQ	143	0	0	25261	2	0	196	35	28	186	80	109	125	22	161	7	33	73	65	113	191	203	113	444	669	743	690	1405	752	2613	3528	16732	41760	34612	45510	10209	12684	42151	19363	44971	12859	0	0	0
FFQ	144	0	0	25782	2	0	185	18	32	204	78	98	123	12	167	6	33	123	27	127	135	224	90	533	532	681	708	863	1176	2525	4374	16278	41139	33519	46562	5708	14927	42710	19259	44580	12682	0	0	0
FFQ	145	0	58	26387	23	251	222	91	89	8	174	25	77	36	116	82	86	108	546	408	339	271	624	763	895	1823	2337	2524	3377	4551	7328	23718	36330	32523	36504	11878	10233	36839	15283	44149	12481	0	0	0
FFQ	146	0	0	27053	1	0	124	27	17	159	71	68	95	12	139	28	16	96	40	133	155	158	143	543	450	806	689	1347	1231	3036	4654	21897	38418	34065	41008	8326	17851	35360	17024	43193	12451	0	0	0
FFQ	147	0	0	27918	1	0	118	12	20	118	64	66	76	6	114	22	39	7	133	68	155	170	449	274	425	490	1138	911	1115	3517	15251	41185	33025	44829	7168	14170	41612	18334	42621	12464	0	0	0	0
FFQ	148	0	0	28812	0	0	40	14	13	12	87	47	46	43	6	71	43	38	18	70	113	125	131	478	281	798	944	765	1645	14116	39840	35726	42005	8938	15443	41093	18483	41750	12014	0	0	0	0	0
FFQ	149	0	0	29501	0	0	16	2	6	5	32	14	18	19	1	48	8	37	43	53	106	104	289	226	331	412	947	716	12534	24935	38264	43030	16197	10453	38098	21479	43718	12678	0	0	0	0	0	0
FFQ	150	0	0	29123	0	0	0	0	0	1	0	0	5	0	0	11	2	36	1	50	96	59	93	271	263	529	636	773	849	12931	26240	36440	41020	16495	7539	29506	19842	36412	11443	0	0	0	0	0
FFQ	151	0	0	25105	0	0	0	0	0	0	0	0	0	0	1	0	5	116	0	44	139	85	125	466	848	1938	1156	2425	3163	2299	13197	17150	36916	36000	16586	7689	8464	12727	8124	2340	0	0	0	0
# Last Fragment Qualities. Use `grep ^LFQ | cut -f 2-` to extract this part.
# Columns correspond to qualities and rows to cycles. First column is the cycle number.
# GC Content of first fragments. Use `grep ^GCF | cut -f 2-` to extract this part.
GCF	1.26	1
GCF	3.52	2
GCF	4.77	1
GCF	5.53	2
GCF	6.28	1
GCF	7.79	0
GCF	9.55	2
GCF	10.30	5
GCF	10.80	4
GCF	11.31	5
GCF	11.81	6
GCF	12.31	5
GCF	12.81	9
GCF	13.32	10
GCF	13.82	16
GCF	14.57	10
GCF	15.33	15
GCF	15.83	19
GCF	16.33	16
GCF	16.83	19
GCF	17.34	34
GCF	17.84	56
GCF	18.34	61
GCF	18.84	72
GCF	19.35	81
GCF	19.85	117
GCF	20.35	158
GCF	20.85	182
GCF	21.36	242
GCF	21.86	306
GCF	22.36	409
GCF	22.86	431
GCF	23.37	545
GCF	23.87	627
GCF	24.37	723
GCF	24.87	794
GCF	25.38	1069
GCF	25.88	1227
GCF	26.38	1489
GCF	26.88	1605
GCF	27.39	1863
GCF	27.89	2224
GCF	28.39	2507
GCF	28.89	2966
GCF	29.40	3106
GCF	29.90	3485
GCF	30.40	3688
GCF	30.90	4092
GCF	31.41	4251
GCF	31.91	4532
GCF	32.41	4845
GCF	32.91	5159
GCF	33.42	5523
GCF	33.92	5967
GCF	34.42	6357
GCF	34.92	6773
GCF	35.43	7035
GCF	35.93	7321
GCF	36.43	7821
GCF	36.93	7995
GCF	37.44	8270
GCF	37.94	8532
GCF	38.44	8611
GCF	38.94	8797
GCF	39.45	8988
GCF	39.95	9020
GCF	40.45	9457
GCF	40.95	9420
GCF	41.46	9528
GCF	41.96	9233
GCF	42.46	9538
GCF	42.96	9382
GCF	43.47	9140
GCF	43.97	9228
GCF	44.47	9078
GCF	44.97	8926
GCF	45.48	9314
GCF	45.98	9186
GCF	46.48	8989
GCF	46.98	9016
GCF	47.49	9113
GCF	47.99	9060
GCF	48.49	9071
GCF	48.99	9184
GCF	49.50	9453
GCF	50.00	9384
GCF	50.50	9154
GCF	51.01	9376
GCF	51.51	9308
GCF	52.01	9425
GCF	52.51	8956
GCF	53.02	8916
GCF	53.52	8807
GCF	54.02	8952
GCF	54.52	8909
GCF	55.03	9080
GCF	55.53	8870
GCF	56.03	8916
GCF	56.53	8796
GCF	57.04	9020
GCF	57.54	8769
GCF	58.04	8577
GCF	58.54	8640
GCF	59.05	8546
GCF	59.55	8430
GCF	60.05	8429
GCF	60.55	8245
GCF	61.06	7999
GCF	61.56	7930
GCF	62.06	7512
GCF	62.56	7416
GCF	63.07	7145
GCF	63.57	6937
GCF	64.07	6650
GCF	64.57	6231
GCF	65.08	5943
GCF	65.58	5524
GCF	66.08	5302
GCF	66.58	4889
GCF	67.09	4439
GCF	67.59	3982
GCF	68.09	3412
GCF	68.59	3091
GCF	69.10	2531
GCF	69.60	2260
GCF	70.10	1883
GCF	70.60	1687
GCF	71.11	1354
GCF	71.61	1202
GCF	72.11	997
GCF	72.61	892
GCF	73.12	771
GCF	73.62	645
GCF	74.12	490
GCF	74.62	416
GCF	75.13	355
GCF	75.63	339
GCF	76.13	271
GCF	76.63	229
GCF	77.14	215
GCF	77.64	171
GCF	78.14	128
GCF	78.64	129
GCF	79.15	113
GCF	79.65	75
GCF	80.15	64
GCF	80.65	63
GCF	81.16	49
GCF	81.66	42
GCF	82.16	35
GCF	82.66	28
GCF	83.42	29
GCF	84.17	12
GCF	84.67	9
GCF	85.18	20
GCF	85.68	21
GCF	86.18	7
GCF	86.68	9
GCF	87.19	7
GCF	87.69	5
GCF	88.19	4
GCF	88.69	7
GCF	89.45	5
GCF	90.20	3
GCF	90.70	5
GCF	91.21	2
GCF	92.21	1
GCF	93.47	0
GCF	94.47	1
GCF	95.48	2
GCF	96.48	1
# GC Content of last fragments. Use `grep ^GCL | cut -f 2-` to extract this part.
# ACGT content per cycle. Use `grep ^GCC | cut -f 2-` to extract this part. The columns are: cycle; A,C,G,T base counts as a percentage of all A/C/G/T bases [%]; and N and O counts as a percentage of all A/C/G/T bases [%]
GCC	1	13.10	36.84	37.10	12.96	0.00	0.00
GCC	2	25.98	24.17	23.87	25.98	0.00	0.00
GCC	3	23.07	26.93	26.80	23.21	0.00	0.00
GCC	4	23.72	26.53	26.09	23.65	0.00	0.00
GCC	5	33.54	16.38	16.35	33.73	0.00	0.00
GCC	6	23.91	25.94	26.17	23.97	0.00	0.00
GCC	7	23.49	26.30	26.54	23.66	0.00	0.00
GCC	8	25.48	24.57	24.64	25.31	0.00	0.00
GCC	9	15.72	34.37	34.29	15.62	0.00	0.00
GCC	10	30.79	19.31	19.16	30.74	0.00	0.00
GCC	11	21.35	28.66	28.59	21.40	0.00	0.00
GCC	12	26.23	23.75	23.86	26.16	0.00	0.00
GCC	13	21.92	28.01	27.94	22.13	0.00	0.00
GCC	14	22.67	27.50	27.38	22.46	0.00	0.00
GCC	15	25.05	24.98	24.96	25.01	0.00	0.00
GCC	16	25.45	24.54	24.73	25.28	0.00	0.00
GCC	17	26.07	23.89	23.86	26.18	0.00	0.00
GCC	18	26.28	23.62	23.75	26.35	0.00	0.00
GCC	19	26.10	24.15	23.89	25.86	0.00	0.00
GCC	20	26.19	24.12	24.05	25.64	0.00	0.00
GCC	21	25.76	24.33	24.29	25.62	0.00	0.00
GCC	22	25.87	24.23	24.17	25.73	0.00	0.00
GCC	23	25.58	24.46	24.34	25.62	0.00	0.00
GCC	24	25.82	24.16	24.23	25.79	0.00	0.00
GCC	25	25.87	24.23	24.29	25.61	0.00	0.00
GCC	26	25.82	24.26	24.28	25.64	0.00	0.00
GCC	27	25.94	24.16	24.12	25.78	0.00	0.00
GCC	28	25.85	24.07	24.20	25.88	0.01	0.00
GCC	29	26.09	23.98	23.87	26.06	0.00	0.00
GCC	30	26.20	23.93	23.97	25.90	0.00	0.00
GCC	31	25.86	24.05	24.16	25.93	0.00	0.00
GCC	32	26.25	23.91	23.69	26.15	0.00	0.00
GCC	33	26.01	23.94	24.11	25.94	0.00	0.00
GCC	34	26.20	24.05	23.90	25.85	0.00	0.00
GCC	35	26.15	23.99	23.88	25.98	0.00	0.00
GCC	36	26.38	23.70	23.94	25.98	0.00	0.00
GCC	37	26.01	23.99	24.03	25.97	0.01	0.00
GCC	38	26.16	23.75	23.91	26.18	0.01	0.00
GCC	39	26.31	23.73	23.88	26.08	0.00	0.00
GCC	40	26.36	23.89	23.76	25.99	0.00	0.00
GCC	41	26.21	23.77	23.95	26.08	0.00	0.00
GCC	42	26.43	23.86	23.84	25.88	0.00	0.00
GCC	43	26.00	23.97	24.02	26.01	0.00	0.00
GCC	44	26.34	23.62	23.88	26.17	0.00	0.00
GCC	45	26.01	24.05	23.73	26.20	0.00	0.00
GCC	46	26.38	23.75	23.84	26.03	0.00	0.00
GCC	47	26.42	23.76	23.63	26.20	0.00	0.00
GCC	48	26.28	23.88	23.79	26.06	0.00	0.00
GCC	49	26.15	23.98	23.73	26.14	0.00	0.00
GCC	50	26.10	23.95	23.79	26.16	0.00	0.00
GCC	51	26.22	24.01	23.78	25.99	0.00	0.00
GCC	52	26.26	23.87	23.86	26.01	0.01	0.00
GCC	53	26.24	23.98	23.90	25.88	0.00	0.00
GCC	54	26.29	23.74	23.93	26.04	0.00	0.00
GCC	55	26.17	23.85	23.81	26.17	0.00	0.00
GCC	56	26.22	23.95	23.92	25.91	0.00	0.00
GCC	57	26.28	23.73	23.74	26.25	0.00	0.00
GCC	58	26.26	23.86	23.95	25.94	0.00	0.00
GCC	59	26.39	23.77	23.57	26.27	0.00	0.00
GCC	60	26.28	23.81	23.67	26.23	0.01	0.00
GCC	61	26.16	23.92	24.01	25.91	0.00	0.00
GCC	62	26.29	23.73	23.84	26.13	0.01	0.00
GCC	63	26.23	23.77	23.85	26.15	0.00	0.00
GCC	64	26.23	23.89	23.87	26.01	0.00	0.00
GCC	65	26.19	23.83	23.88	26.11	0.01	0.00
GCC	66	26.17	23.99	24.00	25.84	0.01	0.00
GCC	67	26.17	23.90	24.01	25.92	0.01	0.00
GCC	68	26.38	23.82	23.62	26.18	0.01	0.00
GCC	69	26.08	23.87	23.90	26.15	0.00	0.00
GCC	70	26.11	24.04	23.92	25.92	0.00	0.00
GCC	71	26.18	24.07	23.78	25.98	0.00	0.00
GCC	72	26.38	23.84	23.66	26.13	0.00	0.00
GCC	73	25.91	24.07	23.91	26.12	0.00	0.00
GCC	74	26.24	23.83	23.89	26.04	0.00	0.00
GCC	75	26.04	24.03	23.93	26.00	0.00	0.00
GCC	76	26.15	23.85	24.03	25.97	0.00	0.00
GCC	77	26.27	23.73	23.90	26.10	0.00	0.00
GCC	78	26.24	23.82	23.78	26.16	0.00	0.00
GCC	79	26.23	23.83	23.86	26.07	0.00	0.00
GCC	80	26.24	23.82	23.92	26.02	0.00	0.00
GCC	81	26.13	23.89	23.90	26.08	0.00	0.00
GCC	82	26.30	23.73	23.84	26.13	0.00	0.00
GCC	83	26.23	23.80	23.87	26.10	0.00	0.00
GCC	84	26.16	23.86	23.89	26.09	0.00	0.00
GCC	85	26.13	24.13	23.78	25.97	0.00	0.00
GCC	86	26.19	23.84	23.96	26.01	0.00	0.00
GCC	87	26.23	23.79	24.00	25.98	0.00	0.00
GCC	88	26.11	23.74	24.08	26.08	0.00	0.00
GCC	89	26.33	23.79	23.98	25.90	0.00	0.00
GCC	90	26.20	23.72	23.84	26.25	0.00	0.00
GCC	91	26.17	23.96	24.01	25.87	0.00	0.00
GCC	92	26.28	23.79	23.76	26.17	0.00	0.00
GCC	93	26.25	24.01	23.92	25.83	0.00	0.00
GCC	94	25.65	24.42	24.49	25.44	3.92	0.00
GCC	95	26.21	23.87	23.90	26.03	0.00	0.00
GCC	96	26.14	23.84	24.06	25.96	0.00	0.00
GCC	97	26.31	23.76	23.90	26.03	0.00	0.00
GCC	98	26.18	23.92	23.84	26.06	0.00	0.00
GCC	99	26.18	23.92	24.01	25.89	0.00	0.00
GCC	100	26.19	23.89	23.92	26.00	0.00	0.00
GCC	101	26.35	23.88	23.72	26.06	0.00	0.00
GCC	102	26.19	23.83	23.84	26.14	0.01	0.00
GCC	103	26.29	23.91	23.90	25.90	0.00	0.00
GCC	104	26.26	23.82	23.82	26.10	0.00	0.00
GCC	105	26.23	23.81	23.81	26.15	0.00	0.00
GCC	106	26.20	23.82	23.83	26.15	0.00	0.00
GCC	107	26.24	23.88	23.72	26.16	0.00	0.00
GCC	108	26.16	23.78	23.93	26.14	0.00	0.00
GCC	109	26.18	23.94	23.93	25.95	0.00	0.00
GCC	110	26.28	23.89	23.89	25.95	0.00	0.00
GCC	111	26.10	23.75	23.91	26.25	0.00	0.00
GCC	112	26.17	23.77	23.97	26.08	0.00	0.00
GCC	113	26.26	23.61	23.88	26.25	0.00	0.00
GCC	114	26.34	23.75	23.80	26.10	0.00	0.00
GCC	115	26.20	23.74	23.77	26.30	0.00	0.00
GCC	116	26.25	23.79	23.86	26.10	0.00	0.00
GCC	117	26.16	23.86	23.95	26.03	0.00	0.00
GCC	118	26.26	23.77	23.92	26.05	0.00	0.00
GCC	119	26.32	23.75	23.79	26.14	0.00	0.00
GCC	120	26.22	23.81	23.87	26.10	0.00	0.00
GCC	121	26.28	23.76	23.90	26.06	0.00	0.00
GCC	122	26.21	23.91	23.72	26.16	0.00	0.00
GCC	123	26.22	23.89	23.80	26.10	0.00	0.00
GCC	124	26.33	23.67	23.81	26.19	0.01	0.00
GCC	125	26.26	23.85	23.78	26.12	0.01	0.00
GCC	126	26.42	23.88	23.62	26.08	0.00	0.00
GCC	127	26.28	23.93	23.63	26.16	0.00	0.00
GCC	128	26.19	23.87	23.94	26.00	0.00	0.00
GCC	129	26.20	23.70	23.84	26.26	0.00	0.00
GCC	130	26.16	23.82	23.74	26.28	0.00	0.00
GCC	131	26.25	23.98	23.59	26.19	0.00	0.00
GCC	132	26.24	23.79	23.99	25.98	0.00	0.00
GCC	133	26.24	23.87	23.80	26.09	0.00	0.00
GCC	134	25.95	24.05	23.93	26.07	0.00	0.00
GCC	135	26.20	23.77	23.86	26.16	0.00	0.00
GCC	136	26.26	23.86	23.91	25.97	0.00	0.00
GCC	137	26.19	24.04	23.81	25.97	0.00	0.00
GCC	138	26.22	23.85	23.79	26.14	0.00	0.00
GCC	139	26.11	24.01	23.83	26.05	0.00	0.00
GCC	140	25.98	23.94	23.91	26.16	0.00	0.00
GCC	141	26.16	23.68	23.93	26.23	0.00	0.00
GCC	142	26.03	23.97	24.01	25.99	0.00	0.00
GCC	143	26.11	24.07	23.81	26.01	0.00	0.00
GCC	144	26.13	23.86	24.04	25.97	0.00	0.00
GCC	145	26.11	23.91	23.98	26.01	0.00	0.00
GCC	146	26.14	23.91	23.91	26.05	0.00	0.00
GCC	147	26.08	23.90	23.96	26.05	0.00	0.00
GCC	148	26.09	23.94	23.90	26.08	0.00	0.00
GCC	149	26.58	23.44	23.52	26.46	0.00	0.00
GCC	150	27.60	22.37	22.44	27.59	0.00	0.00
GCC	151	33.36	16.54	16.74	33.36	0.00	0.00
# ACGT content per cycle, read oriented. Use `grep ^GCT | cut -f 2-` to extract this part. The columns are: cycle; A,C,G,T base counts as a percentage of all A/C/G/T bases [%]
GCT	1	15.64	26.34	47.60	10.43
GCT	2	18.18	28.94	19.09	33.79
GCT	3	19.26	32.45	21.28	27.01
GCT	4	13.32	38.59	14.04	34.05
GCT	5	33.31	16.34	16.39	33.96
GCT	6	32.98	14.33	37.78	14.90
GCT	7	28.10	20.12	32.73	19.06
GCT	8	32.26	20.58	28.63	18.53
GCT	9	13.79	42.51	26.15	17.55
GCT	10	26.80	24.32	14.15	34.72
GCT	11	20.57	20.41	36.84	22.18
GCT	12	22.71	24.05	23.56	29.68
GCT	13	19.28	26.45	29.50	24.77
GCT	14	19.21	32.96	21.92	25.91
GCT	15	27.93	25.50	24.45	22.13
GCT	16	26.97	24.92	24.35	23.76
GCT	17	26.27	24.67	23.08	25.98
GCT	18	26.35	23.91	23.45	26.28
GCT	19	25.75	23.97	24.06	26.21
GCT	20	25.52	23.88	24.29	26.31
GCT	21	25.41	24.71	23.92	25.97
GCT	22	25.33	24.52	23.87	26.28
GCT	23	25.39	24.80	24.00	25.81
GCT	24	25.26	24.62	23.77	26.35
GCT	25	25.41	24.42	24.09	26.08
GCT	26	25.34	24.94	23.60	26.12
GCT	27	25.52	24.58	23.69	26.20
GCT	28	25.47	24.47	23.80	26.26
GCT	29	25.71	24.36	23.49	26.45
GCT	30	25.90	24.10	23.80	26.20
GCT	31	25.89	24.20	24.02	25.89
GCT	32	26.18	24.24	23.36	26.22
GCT	33	25.61	24.48	23.57	26.34
GCT	34	25.32	24.42	23.53	26.72
GCT	35	25.49	24.30	23.57	26.63
GCT	36	26.05	23.95	23.69	26.31
GCT	37	25.86	24.07	23.95	26.12
GCT	38	26.34	23.96	23.71	25.99
GCT	39	26.02	24.01	23.60	26.36
GCT	40	25.65	24.25	23.40	26.70
GCT	41	25.82	24.22	23.49	26.47
GCT	42	25.91	24.13	23.57	26.39
GCT	43	25.75	24.27	23.72	26.27
GCT	44	26.07	23.85	23.65	26.44
GCT	45	25.99	24.16	23.62	26.22
GCT	46	26.19	23.84	23.75	26.23
GCT	47	26.17	24.02	23.36	26.44
GCT	48	26.03	24.16	23.51	26.31
GCT	49	26.00	24.10	23.61	26.29
GCT	50	25.97	24.22	23.52	26.29
GCT	51	26.01	24.13	23.67	26.20
GCT	52	25.95	24.04	23.69	26.31
GCT	53	25.88	23.97	23.91	26.24
GCT	54	26.29	23.78	23.90	26.03
GCT	55	26.36	23.86	23.80	25.98
GCT	56	26.23	23.89	23.97	25.91
GCT	57	26.13	24.00	23.47	26.40
GCT	58	25.60	24.21	23.59	26.60
GCT	59	26.25	24.04	23.31	26.40
GCT	60	26.15	23.87	23.61	26.36
GCT	61	26.16	23.85	24.08	25.90
GCT	62	26.26	23.97	23.61	26.17
GCT	63	26.08	23.89	23.73	26.30
GCT	64	25.98	24.01	23.75	26.25
GCT	65	25.94	24.10	23.60	26.36
GCT	66	25.98	24.22	23.76	26.04
GCT	67	25.97	24.20	23.71	26.12
GCT	68	26.25	23.75	23.69	26.31
GCT	69	26.16	23.53	24.24	26.07
GCT	70	25.83	24.01	23.95	26.21
GCT	71	26.13	23.81	24.03	26.02
GCT	72	26.30	23.76	23.74	26.20
GCT	73	25.78	24.07	23.90	26.25
GCT	74	26.18	23.90	23.83	26.10
GCT	75	26.07	24.06	23.89	25.98
GCT	76	26.26	24.02	23.86	25.86
GCT	77	26.29	24.03	23.60	26.08
GCT	78	26.23	23.56	24.04	26.17
GCT	79	26.02	23.75	23.94	26.28
GCT	80	26.05	23.84	23.90	26.21
GCT	81	26.10	23.83	23.97	26.11
GCT	82	26.12	23.80	23.76	26.32
GCT	83	26.16	23.83	23.84	26.16
GCT	84	26.18	23.91	23.85	26.07
GCT	85	26.04	23.92	23.98	26.06
GCT	86	26.27	23.82	23.97	25.94
GCT	87	26.22	23.79	24.00	25.98
GCT	88	26.04	23.80	24.02	26.14
GCT	89	26.10	23.95	23.82	26.13
GCT	90	26.31	23.71	23.84	26.13
GCT	91	26.19	23.99	23.98	25.84
GCT	92	26.40	23.70	23.85	26.05
GCT	93	26.31	23.77	24.15	25.76
GCT	94	25.95	22.13	26.77	25.14
GCT	95	26.21	23.77	23.99	26.02
GCT	96	26.09	23.96	23.94	26.01
GCT	97	26.39	23.82	23.83	25.96
GCT	98	26.14	23.79	23.97	26.10
GCT	99	26.30	23.88	24.05	25.77
GCT	100	26.37	23.81	24.00	25.82
GCT	101	26.47	23.68	23.92	25.94
GCT	102	26.56	23.79	23.88	25.78
GCT	103	26.26	23.95	23.86	25.94
GCT	104	26.48	23.67	23.97	25.87
GCT	105	26.46	23.78	23.84	25.91
GCT	106	26.22	23.78	23.87	26.13
GCT	107	26.33	23.75	23.85	26.07
GCT	108	26.33	23.90	23.80	25.97
GCT	109	26.31	23.69	24.18	25.82
GCT	110	26.47	23.72	24.05	25.75
GCT	111	26.54	23.74	23.92	25.80
GCT	112	26.31	23.69	24.06	25.94
GCT	113	26.50	23.59	23.90	26.01
GCT	114	26.42	23.58	23.98	26.02
GCT	115	26.60	23.70	23.81	25.90
GCT	116	26.44	23.69	23.96	25.91
GCT	117	26.52	23.66	24.15	25.67
GCT	118	26.46	23.55	24.15	25.84
GCT	119	26.48	23.42	24.12	25.98
GCT	120	26.35	23.65	24.03	25.97
GCT	121	26.37	23.56	24.10	25.98
GCT	122	26.65	23.61	24.01	25.72
GCT	123	26.42	23.55	24.13	25.90
GCT	124	26.46	23.53	23.95	26.05
GCT	125	26.37	23.75	23.88	26.01
GCT	126	26.52	23.53	23.97	25.98
GCT	127	26.52	23.45	24.11	25.92
GCT	128	26.40	23.58	24.22	25.79
GCT	129	26.56	23.57	23.97	25.91
GCT	130	26.53	23.57	23.99	25.91
GCT	131	26.42	23.42	24.14	26.01
GCT	132	26.45	23.55	24.23	25.77
GCT	133	26.36	23.56	24.11	25.97
GCT	134	26.30	23.74	24.24	25.73
GCT	135	26.56	23.63	24.00	25.81
GCT	136	26.20	23.57	24.21	26.03
GCT	137	26.18	23.79	24.05	25.98
GCT	138	26.24	23.79	23.86	26.12
GCT	139	26.01	23.63	24.21	26.15
GCT	140	26.20	23.66	24.20	25.95
GCT	141	26.34	23.44	24.17	26.05
GCT	142	25.99	23.83	24.15	26.03
GCT	143	26.18	23.64	24.24	25.94
GCT	144	25.98	23.58	24.32	26.11
GCT	145	26.03	23.68	24.21	26.08
GCT	146	25.95	23.61	24.20	26.24
GCT	147	26.18	23.71	24.16	25.95
GCT	148	26.18	23.43	24.41	25.99
GCT	149	26.91	22.00	24.96	26.13
GCT	150	29.15	18.47	26.34	26.04
GCT	151	39.19	0.00	33.28	27.53
# ACGT content per cycle for first fragments. Use `grep ^FBC | cut -f 2-` to extract this part. The columns are: cycle; A,C,G,T base counts as a percentage of all A/C/G/T bases [%]; and N and O counts as a percentage of all A/C/G/T bases [%]
FBC	1	13.10	36.84	37.10	12.96	0.00	0.00
FBC	2	25.98	24.17	23.87	25.98	0.00	0.00
FBC	3	23.07	26.93	26.80	23.21	0.00	0.00
FBC	4	23.72	26.53	26.09	23.65	0.00	0.00
FBC	5	33.54	16.38	16.35	33.73	0.00	0.00
FBC	6	23.91	25.94	26.17	23.97	0.00	0.00
FBC	7	23.49	26.30	26.54	23.66	0.00	0.00
FBC	8	25.48	24.57	24.64	25.31	0.00	0.00
FBC	9	15.72	34.37	34.29	15.62	0.00	0.00
FBC	10	30.79	19.31	19.16	30.74	0.00	0.00
FBC	11	21.35	28.66	28.59	21.40	0.00	0.00
FBC	12	26.23	23.75	23.86	26.16	0.00	0.00
FBC	13	21.92	28.01	27.94	22.13	0.00	0.00
FBC	14	22.67	27.50	27.38	22.46	0.00	0.00
FBC	15	25.05	24.98	24.96	25.01	0.00	0.00
FBC	16	25.45	24.54	24.73	25.28	0.00	0.00
FBC	17	26.07	23.89	23.86	26.18	0.00	0.00
FBC	18	26.28	23.62	23.75	26.35	0.00	0.00
FBC	19	26.10	24.15	23.89	25.86	0.00	0.00
