cells	louvain
"1363 	cell"	16
"1364 	cell"	5
"1365 	cell"	6
"1366 	cell"	12
"1367 	cell"	10
"1368 	cell"	0
"1369 	cell"	5
"1370 	cell"	7
"1371 	cell"	6
"1372 	cell"	5
"1373 	cell"	0
"1374 	cell"	6
"1375 	cell"	7
"1376 	cell"	23
"1377 	cell"	0
"1378 	cell"	10
"1379 	cell"	6
"1380 	cell"	9
"1381 	cell"	22
"1382 	cell"	8
"1383 	cell"	3
"1384 	cell"	5
"1385 	cell"	10
"1386 	cell"	6
"1387 	cell"	5
"1388 	cell"	7
"1389 	cell"	5
"1390 	cell"	8
"1391 	cell"	5
"1392 	cell"	18
"1393 	cell"	0
"1394 	cell"	6
"1395 	cell"	0
"1396 	cell"	0
"1397 	cell"	12
"1398 	cell"	9
"1399 	cell"	0
"1400 	cell"	7
"1401 	cell"	5
"1402 	cell"	18
"1403 	cell"	0
"1404 	cell"	2
"1405 	cell"	5
"1406 	cell"	14
"1407 	cell"	5
"1408 	cell"	0
"1409 	cell"	14
"1410 	cell"	6
"1411 	cell"	0
"1412 	cell"	5
"1413 	cell"	6
"1414 	cell"	7
"1415 	cell"	5
"1416 	cell"	0
"1417 	cell"	12
"1418 	cell"	6
"1419 	cell"	9
"1420 	cell"	8
"1421 	cell"	6
"1422 	cell"	7
"1423 	cell"	0
"1424 	cell"	0
"1425 	cell"	12
"1426 	cell"	8
"1427 	cell"	20
"1428 	cell"	5
"1429 	cell"	10
"1430 	cell"	14
"1431 	cell"	19
"1432 	cell"	6
"1433 	cell"	6
"1434 	cell"	6
"1435 	cell"	8
"1436 	cell"	0
"1437 	cell"	8
"1438 	cell"	6
"1439 	cell"	5
"1440 	cell"	0
"1441 	cell"	25
"1442 	cell"	6
"1443 	cell"	11
"1444 	cell"	4
"1445 	cell"	7
"1446 	cell"	5
"1447 	cell"	0
"1448 	cell"	0
"1449 	cell"	23
"1450 	cell"	5
"1451 	cell"	0
"1452 	cell"	10
"1453 	cell"	14
"1454 	cell"	10
"1455 	cell"	6
"1456 	cell"	7
"1457 	cell"	7
"1458 	cell"	5
"1459 	cell"	0
"1460 	cell"	14
"1461 	cell"	18
"1462 	cell"	5
"1463 	cell"	18
"1464 	cell"	11
"1465 	cell"	4
"1466 	cell"	5
"1467 	cell"	5
"1468 	cell"	5
"1469 	cell"	18
"1470 	cell"	5
"1471 	cell"	5
"1472 	cell"	4
"1473 	cell"	5
"1474 	cell"	0
"1475 	cell"	0
"1476 	cell"	7
"1477 	cell"	8
"1478 	cell"	7
"1479 	cell"	12
"1480 	cell"	9
"1481 	cell"	9
"1482 	cell"	5
"1483 	cell"	0
"1484 	cell"	7
"1485 	cell"	5
"1486 	cell"	14
"1487 	cell"	7
"1488 	cell"	7
"1489 	cell"	5
"1490 	cell"	18
"1491 	cell"	23
"1492 	cell"	5
"1493 	cell"	5
"1494 	cell"	5
"1495 	cell"	0
"1496 	cell"	6
"1497 	cell"	0
"1498 	cell"	3
"1499 	cell"	5
"1500 	cell"	10
"1501 	cell"	11
"1502 	cell"	5
"1503 	cell"	10
"1504 	cell"	17
"1505 	cell"	7
"1506 	cell"	0
"1507 	cell"	0
"1508 	cell"	9
"1509 	cell"	12
"1510 	cell"	5
"1511 	cell"	9
"1512 	cell"	6
"1513 	cell"	10
"1514 	cell"	0
"1515 	cell"	6
"1516 	cell"	5
"1517 	cell"	14
"1518 	cell"	5
"1519 	cell"	7
"1520 	cell"	7
"1521 	cell"	0
"1522 	cell"	11
"1523 	cell"	22
"1524 	cell"	3
"1525 	cell"	7
"1526 	cell"	8
"1527 	cell"	12
"1528 	cell"	11
"1529 	cell"	0
"1530 	cell"	5
"1531 	cell"	4
"1532 	cell"	5
"1533 	cell"	7
"1534 	cell"	11
"1535 	cell"	0
"1536 	cell"	6
"1537 	cell"	17
"1538 	cell"	12
"1539 	cell"	20
"1540 	cell"	6
"1541 	cell"	6
"1542 	cell"	0
"1543 	cell"	5
"1544 	cell"	17
"1545 	cell"	22
"1546 	cell"	5
"1547 	cell"	5
"1548 	cell"	5
"1549 	cell"	18
"1550 	cell"	0
"1551 	cell"	8
"1552 	cell"	6
"1553 	cell"	5
"1554 	cell"	14
"1555 	cell"	0
"1556 	cell"	0
"1557 	cell"	4
"1558 	cell"	9
"1559 	cell"	0
"1560 	cell"	5
"1561 	cell"	0
"1562 	cell"	6
"1563 	cell"	0
"1564 	cell"	9
"1565 	cell"	17
"1566 	cell"	22
"1567 	cell"	7
"1568 	cell"	0
"1569 	cell"	0
"1570 	cell"	20
"1571 	cell"	7
"1572 	cell"	0
"1573 	cell"	0
"1574 	cell"	5
"1575 	cell"	6
"1576 	cell"	8
"1577 	cell"	4
"1578 	cell"	0
"1579 	cell"	0
"1580 	cell"	7
"1581 	cell"	14
"1582 	cell"	7
"1583 	cell"	5
"1584 	cell"	5
"1585 	cell"	6
"1586 	cell"	0
"1587 	cell"	0
"1588 	cell"	12
"1589 	cell"	0
"1590 	cell"	0
"1591 	cell"	17
"1592 	cell"	0
"1593 	cell"	7
"1594 	cell"	7
"1595 	cell"	0
"1596 	cell"	7
"1597 	cell"	0
"1598 	cell"	1
"1599 	cell"	12
"1600 	cell"	0
"1601 	cell"	0
"1602 	cell"	11
"1603 	cell"	5
"1604 	cell"	17
"1605 	cell"	17
"1606 	cell"	18
"1607 	cell"	11
"1608 	cell"	0
"1609 	cell"	0
"1610 	cell"	5
"1611 	cell"	0
"1612 	cell"	0
"1613 	cell"	9
"1614 	cell"	5
"1615 	cell"	17
"1616 	cell"	0
"1617 	cell"	0
"1618 	cell"	0
"1619 	cell"	0
"1620 	cell"	7
"1621 	cell"	0
"1622 	cell"	18
"1623 	cell"	19
"1624 	cell"	8
"1625 	cell"	23
"1626 	cell"	0
"1627 	cell"	3
"1628 	cell"	0
"1629 	cell"	10
"1630 	cell"	7
"1631 	cell"	7
"1632 	cell"	0
"1633 	cell"	11
"1634 	cell"	3
"1635 	cell"	6
"1636 	cell"	10
"1637 	cell"	1
"1638 	cell"	10
"1639 	cell"	5
"1640 	cell"	18
"1641 	cell"	6
"1642 	cell"	18
"1643 	cell"	5
"1644 	cell"	5
"1645 	cell"	5
"1646 	cell"	5
"1647 	cell"	0
"1648 	cell"	5
"1649 	cell"	5
"1650 	cell"	11
"1651 	cell"	0
"1652 	cell"	7
"1653 	cell"	9
"1654 	cell"	0
"1655 	cell"	0
"1656 	cell"	7
"1657 	cell"	0
"1658 	cell"	11
"1659 	cell"	12
"1660 	cell"	0
"1661 	cell"	0
"1662 	cell"	0
"1663 	cell"	5
"1664 	cell"	10
"1665 	cell"	5
"1666 	cell"	20
"1667 	cell"	11
"1668 	cell"	6
"1669 	cell"	5
"1670 	cell"	22
"1671 	cell"	8
"1672 	cell"	11
"1673 	cell"	14
"1674 	cell"	12
"1675 	cell"	4
"1676 	cell"	20
"1677 	cell"	12
"1678 	cell"	7
"1679 	cell"	6
"1680 	cell"	0
"1681 	cell"	14
"1682 	cell"	12
"1683 	cell"	0
"1684 	cell"	0
"1685 	cell"	0
"1686 	cell"	14
"1687 	cell"	5
"1688 	cell"	12
"1689 	cell"	0
"1690 	cell"	8
"1691 	cell"	12
"1692 	cell"	0
"1693 	cell"	6
"1694 	cell"	7
"1695 	cell"	7
"1696 	cell"	10
"1697 	cell"	9
"1698 	cell"	5
"1699 	cell"	20
"1700 	cell"	14
"1701 	cell"	20
"1702 	cell"	0
"1703 	cell"	0
"1704 	cell"	0
"1705 	cell"	10
"1706 	cell"	0
"1707 	cell"	18
"1708 	cell"	12
"1709 	cell"	10
"1710 	cell"	12
"1711 	cell"	6
"1712 	cell"	0
"1713 	cell"	5
"1714 	cell"	7
"1715 	cell"	17
"1716 	cell"	9
"1717 	cell"	5
"1718 	cell"	9
"1719 	cell"	13
"1720 	cell"	0
"1721 	cell"	5
"1722 	cell"	1
"1723 	cell"	12
"1724 	cell"	25
"1725 	cell"	0
"1726 	cell"	12
"1727 	cell"	23
"1728 	cell"	5
"1729 	cell"	0
"1730 	cell"	5
"1731 	cell"	10
"1732 	cell"	19
"1733 	cell"	5
"1734 	cell"	0
"1735 	cell"	11
"1736 	cell"	0
"1737 	cell"	0
"1738 	cell"	0
"1739 	cell"	5
"1740 	cell"	4
"1741 	cell"	0
"1742 	cell"	10
"1743 	cell"	0
"1744 	cell"	3
"1745 	cell"	10
"1746 	cell"	7
"1747 	cell"	5
"1748 	cell"	0
"1749 	cell"	0
"1750 	cell"	7
"1751 	cell"	16
"1752 	cell"	0
"1753 	cell"	5
"1754 	cell"	0
"1755 	cell"	11
"1756 	cell"	7
"1757 	cell"	7
"1758 	cell"	5
"1759 	cell"	4
"1760 	cell"	7
"1761 	cell"	7
"1762 	cell"	5
"1763 	cell"	4
"1764 	cell"	3
"1765 	cell"	7
"1766 	cell"	0
"1767 	cell"	7
"1768 	cell"	4
"1769 	cell"	5
"1770 	cell"	0
"1771 	cell"	11
"1772 	cell"	5
"1773 	cell"	16
"1774 	cell"	18
"1775 	cell"	0
"1776 	cell"	16
"1777 	cell"	5
"1778 	cell"	5
"1779 	cell"	0
"1780 	cell"	7
"1781 	cell"	11
"1782 	cell"	12
"1783 	cell"	11
"1784 	cell"	7
"1785 	cell"	0
"1786 	cell"	23
"1787 	cell"	11
"1788 	cell"	0
"1789 	cell"	14
"1790 	cell"	12
"1791 	cell"	0
"1792 	cell"	17
"1793 	cell"	19
"1794 	cell"	18
"1795 	cell"	0
"1796 	cell"	0
"1797 	cell"	4
"1798 	cell"	0
"1799 	cell"	5
"1800 	cell"	0
"1801 	cell"	11
"1802 	cell"	12
"1803 	cell"	3
"1804 	cell"	7
"1805 	cell"	0
"1806 	cell"	16
"1807 	cell"	11
"1808 	cell"	0
"1809 	cell"	6
"1810 	cell"	7
"1811 	cell"	9
"1812 	cell"	9
"1813 	cell"	0
"1814 	cell"	17
"1815 	cell"	0
"1816 	cell"	0
"1817 	cell"	5
"1818 	cell"	0
"1819 	cell"	0
"1820 	cell"	11
"1821 	cell"	18
"1822 	cell"	0
"1823 	cell"	5
"1824 	cell"	0
"1825 	cell"	5
"1826 	cell"	20
"1827 	cell"	3
"1828 	cell"	4
"1829 	cell"	7
"1830 	cell"	7
"1831 	cell"	0
"1832 	cell"	0
"1833 	cell"	0
"1834 	cell"	8
"1835 	cell"	7
"1836 	cell"	0
"1837 	cell"	5
"1838 	cell"	12
"1839 	cell"	0
"1840 	cell"	0
"1841 	cell"	13
"1842 	cell"	5
"1843 	cell"	8
"1844 	cell"	5
"1845 	cell"	25
"1846 	cell"	0
"1847 	cell"	0
"1848 	cell"	5
"1849 	cell"	10
"1850 	cell"	24
"1851 	cell"	2
"1852 	cell"	16
"1853 	cell"	7
"1854 	cell"	6
"1855 	cell"	0
"1856 	cell"	12
"1857 	cell"	7
"1858 	cell"	16
"1859 	cell"	6
"1860 	cell"	14
"1861 	cell"	0
"1862 	cell"	7
"1863 	cell"	12
"1864 	cell"	0
"1865 	cell"	5
"1866 	cell"	11
"1867 	cell"	0
"1868 	cell"	6
"1869 	cell"	0
"1870 	cell"	0
"1871 	cell"	14
"1872 	cell"	5
"1873 	cell"	0
"1874 	cell"	0
"1875 	cell"	10
"1876 	cell"	0
"1877 	cell"	12
"1878 	cell"	7
"1879 	cell"	0
"1880 	cell"	18
"1881 	cell"	6
"1882 	cell"	0
"1883 	cell"	11
"1884 	cell"	14
"1885 	cell"	7
"1886 	cell"	22
"1887 	cell"	8
"1888 	cell"	5
"1889 	cell"	0
"1890 	cell"	21
"1891 	cell"	6
"1892 	cell"	5
"1893 	cell"	0
"1894 	cell"	10
"1895 	cell"	7
"1896 	cell"	10
"1897 	cell"	10
"1898 	cell"	0
"1899 	cell"	0
"1900 	cell"	16
"1901 	cell"	6
"1902 	cell"	10
"1903 	cell"	12
"1904 	cell"	10
"1905 	cell"	11
"1906 	cell"	7
"1907 	cell"	8
"1908 	cell"	0
"1909 	cell"	0
"1910 	cell"	8
"1911 	cell"	0
"1912 	cell"	0
"1913 	cell"	0
"1914 	cell"	0
"1915 	cell"	0
"1916 	cell"	7
"1917 	cell"	6
"1918 	cell"	23
"1919 	cell"	0
"1920 	cell"	20
"1921 	cell"	16
"1922 	cell"	18
"1923 	cell"	12
"1924 	cell"	0
"1925 	cell"	0
"1926 	cell"	11
"1927 	cell"	0
"1928 	cell"	9
"1929 	cell"	0
"1930 	cell"	5
"1931 	cell"	0
"1932 	cell"	0
"1933 	cell"	10
"1934 	cell"	0
"1935 	cell"	7
"1936 	cell"	12
"1937 	cell"	7
"1938 	cell"	3
"1939 	cell"	0
"1940 	cell"	11
"1941 	cell"	0
"1942 	cell"	3
"1943 	cell"	6
"1944 	cell"	16
"1945 	cell"	0
"1946 	cell"	16
"1947 	cell"	5
"1948 	cell"	0
"1949 	cell"	7
"1950 	cell"	17
"1951 	cell"	0
"1952 	cell"	11
"1953 	cell"	0
"1954 	cell"	7
"1955 	cell"	0
"1956 	cell"	7
"1957 	cell"	9
"1958 	cell"	11
"1959 	cell"	0
"1960 	cell"	2
"1961 	cell"	0
"1962 	cell"	5
"1963 	cell"	17
"1964 	cell"	3
"1965 	cell"	0
"1966 	cell"	0
"1967 	cell"	7
"1968 	cell"	10
"1969 	cell"	6
"1970 	cell"	10
"1971 	cell"	0
"1972 	cell"	0
"1973 	cell"	0
"1974 	cell"	16
"1975 	cell"	0
"1976 	cell"	5
"1977 	cell"	0
"1978 	cell"	4
"1979 	cell"	2
"1980 	cell"	2
"1981 	cell"	0
"1982 	cell"	16
"1983 	cell"	15
"1984 	cell"	0
"1985 	cell"	16
"1986 	cell"	7
"1987 	cell"	0
"1988 	cell"	7
"1989 	cell"	0
"1990 	cell"	11
"1991 	cell"	0
"1992 	cell"	0
"1993 	cell"	11
"1994 	cell"	0
"1995 	cell"	12
"1996 	cell"	5
"1997 	cell"	19
"1998 	cell"	0
"1999 	cell"	12
"2000 	cell"	7
"2001 	cell"	5
"2002 	cell"	0
"2003 	cell"	17
"2004 	cell"	11
"2005 	cell"	23
"2006 	cell"	10
"2007 	cell"	7
"2008 	cell"	11
"2009 	cell"	20
"2010 	cell"	7
"2011 	cell"	0
"2012 	cell"	13
"2013 	cell"	11
"2014 	cell"	5
"2015 	cell"	23
"2016 	cell"	0
"2017 	cell"	11
"2018 	cell"	0
"2019 	cell"	18
"2020 	cell"	7
"2021 	cell"	12
"2022 	cell"	18
"2023 	cell"	10
"2024 	cell"	5
"2025 	cell"	11
"2026 	cell"	17
"2027 	cell"	12
"2028 	cell"	7
"2029 	cell"	10
"2030 	cell"	7
"2031 	cell"	12
"2032 	cell"	4
"2033 	cell"	5
"2034 	cell"	0
"2035 	cell"	0
"2036 	cell"	6
"2037 	cell"	6
"2038 	cell"	10
"2039 	cell"	0
"2040 	cell"	0
"2041 	cell"	17
"2042 	cell"	4
"2043 	cell"	7
"2044 	cell"	11
"2045 	cell"	6
"2046 	cell"	0
"2047 	cell"	12
"2048 	cell"	13
"2049 	cell"	7
"2050 	cell"	5
"2051 	cell"	7
"2052 	cell"	0
"2053 	cell"	11
"2054 	cell"	20
"2055 	cell"	4
"2056 	cell"	0
"2057 	cell"	7
"2058 	cell"	5
"2059 	cell"	0
"2060 	cell"	0
"2061 	cell"	10
"2062 	cell"	10
"2063 	cell"	4
"2064 	cell"	11
"2065 	cell"	12
"2066 	cell"	0
"2067 	cell"	16
"2068 	cell"	7
"2069 	cell"	11
"2070 	cell"	11
"2071 	cell"	25
"2072 	cell"	7
"2073 	cell"	7
"2074 	cell"	3
"2075 	cell"	0
"2076 	cell"	7
"2077 	cell"	5
"2078 	cell"	7
"2079 	cell"	7
"2080 	cell"	0
"2081 	cell"	7
"2082 	cell"	0
"2083 	cell"	6
"2084 	cell"	10
"2085 	cell"	10
"2086 	cell"	9
"2087 	cell"	10
"2088 	cell"	7
"2089 	cell"	0
"2090 	cell"	0
"2091 	cell"	12
"2092 	cell"	11
"2093 	cell"	22
"2094 	cell"	0
"2095 	cell"	7
"2096 	cell"	0
"2097 	cell"	0
"2098 	cell"	0
"2099 	cell"	0
"2100 	cell"	1
"2101 	cell"	6
"2102 	cell"	0
"2103 	cell"	5
"2104 	cell"	10
"2105 	cell"	16
"2106 	cell"	4
"2107 	cell"	0
"2108 	cell"	5
"2109 	cell"	15
"2110 	cell"	11
"2111 	cell"	10
"2112 	cell"	7
"2113 	cell"	24
"2114 	cell"	6
"2115 	cell"	7
"2116 	cell"	6
"2117 	cell"	5
"2118 	cell"	17
"2119 	cell"	0
"2120 	cell"	6
"2121 	cell"	1
"2122 	cell"	0
"2123 	cell"	7
"2124 	cell"	0
"2125 	cell"	0
"2126 	cell"	5
"2127 	cell"	11
"2128 	cell"	7
"2129 	cell"	23
"2130 	cell"	11
"2131 	cell"	0
"2132 	cell"	0
"2133 	cell"	7
"2134 	cell"	20
"2135 	cell"	6
"2136 	cell"	4
"2137 	cell"	0
"2138 	cell"	0
"2139 	cell"	12
"2140 	cell"	4
"2141 	cell"	6
"2142 	cell"	18
"2143 	cell"	7
"2144 	cell"	0
"2145 	cell"	0
"2146 	cell"	18
"2147 	cell"	0
"2148 	cell"	10
"2149 	cell"	0
"2150 	cell"	7
"2151 	cell"	12
"2152 	cell"	7
"2153 	cell"	7
"2154 	cell"	7
"2155 	cell"	0
"2156 	cell"	0
"2157 	cell"	3
"2158 	cell"	3
"2159 	cell"	7
"2160 	cell"	19
"2161 	cell"	9
"2162 	cell"	9
"2163 	cell"	10
"2164 	cell"	0
"2165 	cell"	0
"2166 	cell"	18
"2167 	cell"	16
"2168 	cell"	0
"2169 	cell"	0
"2170 	cell"	7
"2171 	cell"	8
"2172 	cell"	12
"2173 	cell"	6
"2174 	cell"	3
"2175 	cell"	12
"2176 	cell"	6
"2177 	cell"	7
"2178 	cell"	7
"2179 	cell"	0
"2180 	cell"	15
"2181 	cell"	18
"2182 	cell"	0
"2183 	cell"	0
"2184 	cell"	12
"2185 	cell"	7
"2186 	cell"	18
"2187 	cell"	4
"2188 	cell"	0
"2189 	cell"	11
"2190 	cell"	25
"2191 	cell"	11
"2192 	cell"	0
"2193 	cell"	0
"2194 	cell"	0
"2195 	cell"	10
"2196 	cell"	0
"2197 	cell"	7
"2198 	cell"	0
"2199 	cell"	6
"2200 	cell"	0
"2201 	cell"	1
"2202 	cell"	20
"2203 	cell"	0
"2204 	cell"	10
"2205 	cell"	7
"2206 	cell"	7
"2207 	cell"	5
"2208 	cell"	7
"2209 	cell"	0
"2210 	cell"	7
"2211 	cell"	10
"2212 	cell"	7
"2213 	cell"	12
"2214 	cell"	0
"2215 	cell"	3
"2216 	cell"	0
"2217 	cell"	3
"2218 	cell"	0
"2219 	cell"	20
"2220 	cell"	7
"2221 	cell"	7
"2222 	cell"	11
"2223 	cell"	0
"2224 	cell"	7
"2225 	cell"	0
"2226 	cell"	0
"2227 	cell"	19
"2228 	cell"	7
"2229 	cell"	4
"2230 	cell"	16
"2231 	cell"	0
"2232 	cell"	12
"2233 	cell"	0
"2234 	cell"	7
"2235 	cell"	4
"2236 	cell"	3
"2237 	cell"	0
"2238 	cell"	11
"2239 	cell"	5
"2240 	cell"	11
"2241 	cell"	0
"2242 	cell"	10
"2243 	cell"	16
"2244 	cell"	0
"2245 	cell"	7
"2246 	cell"	0
"2247 	cell"	7
"2248 	cell"	0
"2249 	cell"	18
"2250 	cell"	0
"2251 	cell"	0
"2252 	cell"	0
"2253 	cell"	5
"2254 	cell"	11
"2255 	cell"	0
"2256 	cell"	12
"2257 	cell"	17
"2258 	cell"	5
"2259 	cell"	0
"2260 	cell"	12
"2261 	cell"	10
"2262 	cell"	18
"2263 	cell"	5
"2264 	cell"	0
"2265 	cell"	9
"2266 	cell"	22
"2267 	cell"	12
"2268 	cell"	3
"2269 	cell"	18
"2270 	cell"	5
"2271 	cell"	0
"2272 	cell"	0
"2273 	cell"	5
"2274 	cell"	5
"2275 	cell"	4
"2276 	cell"	7
"2277 	cell"	0
"2278 	cell"	1
"2279 	cell"	0
"2280 	cell"	0
"2281 	cell"	9
"2282 	cell"	12
"2283 	cell"	6
"2284 	cell"	0
"2285 	cell"	10
"2286 	cell"	7
"2287 	cell"	4
"2288 	cell"	10
"2289 	cell"	8
"2290 	cell"	0
"2291 	cell"	5
"2292 	cell"	7
"2293 	cell"	3
"2294 	cell"	0
"2295 	cell"	0
"2296 	cell"	12
"2297 	cell"	10
"2298 	cell"	7
"2299 	cell"	16
"2300 	cell"	23
"2301 	cell"	0
"2302 	cell"	7
"2303 	cell"	0
"2304 	cell"	16
"2305 	cell"	5
"2306 	cell"	18
"2307 	cell"	0
"2308 	cell"	7
"2309 	cell"	0
"2310 	cell"	11
"2311 	cell"	16
"2312 	cell"	11
"2313 	cell"	0
"2314 	cell"	0
"2315 	cell"	0
"2316 	cell"	0
"2317 	cell"	0
"2318 	cell"	10
"2319 	cell"	12
"2320 	cell"	22
"2321 	cell"	0
"2322 	cell"	0
"2323 	cell"	12
"2324 	cell"	5
"2325 	cell"	9
"2326 	cell"	4
"2327 	cell"	0
"2328 	cell"	0
"2329 	cell"	0
"2330 	cell"	12
"2331 	cell"	0
"2332 	cell"	12
"2333 	cell"	0
"2334 	cell"	0
"2335 	cell"	18
"2336 	cell"	10
"2337 	cell"	6
"2338 	cell"	0
"2339 	cell"	0
"2340 	cell"	10
"2341 	cell"	0
"2342 	cell"	22
"2343 	cell"	8
"2344 	cell"	0
"2345 	cell"	0
"2346 	cell"	0
"2347 	cell"	23
"2348 	cell"	6
"2349 	cell"	11
"2350 	cell"	0
"2351 	cell"	17
"2352 	cell"	7
"2353 	cell"	0
"2354 	cell"	7
"2355 	cell"	5
"2356 	cell"	5
"2357 	cell"	6
"2358 	cell"	23
"2359 	cell"	11
"2360 	cell"	3
"2361 	cell"	12
"2362 	cell"	11
"2363 	cell"	0
"2364 	cell"	16
"2365 	cell"	0
"2366 	cell"	7
"2367 	cell"	0
"2368 	cell"	11
"2369 	cell"	7
"2370 	cell"	0
"2371 	cell"	7
"2372 	cell"	7
"2373 	cell"	10
"2374 	cell"	0
"2375 	cell"	10
"2376 	cell"	0
"2377 	cell"	23
"2378 	cell"	10
"2379 	cell"	0
"2380 	cell"	7
"2381 	cell"	12
"2382 	cell"	0
"2383 	cell"	0
"2384 	cell"	12
"2385 	cell"	1
"2386 	cell"	11
"2387 	cell"	0
"2388 	cell"	7
"2389 	cell"	0
"2390 	cell"	5
"2391 	cell"	11
"2392 	cell"	0
"2393 	cell"	7
"2394 	cell"	10
"2395 	cell"	0
"2396 	cell"	0
"2397 	cell"	10
"2398 	cell"	18
"2399 	cell"	0
"2400 	cell"	11
"2401 	cell"	0
"2402 	cell"	4
"2403 	cell"	22
"2404 	cell"	5
"2405 	cell"	1
"2406 	cell"	20
"2407 	cell"	18
"2408 	cell"	0
"2409 	cell"	0
"2410 	cell"	10
"2411 	cell"	0
"2412 	cell"	11
"2413 	cell"	18
"2414 	cell"	0
"2415 	cell"	0
"2416 	cell"	16
"2417 	cell"	14
"2418 	cell"	18
"2419 	cell"	6
"2420 	cell"	6
"2421 	cell"	11
"2422 	cell"	7
"2423 	cell"	7
"2424 	cell"	12
"2425 	cell"	0
"2426 	cell"	0
"2427 	cell"	0
"2428 	cell"	10
"2429 	cell"	0
"2430 	cell"	7
"2431 	cell"	3
"2432 	cell"	10
"2433 	cell"	10
"2434 	cell"	4
"2435 	cell"	1
"2436 	cell"	6
"2437 	cell"	0
"2438 	cell"	8
"2439 	cell"	12
"2440 	cell"	10
"2441 	cell"	7
"2442 	cell"	7
"2443 	cell"	0
"2444 	cell"	0
"2445 	cell"	11
"2446 	cell"	0
"2447 	cell"	0
"2448 	cell"	7
"2449 	cell"	10
"2450 	cell"	9
"2451 	cell"	24
"2452 	cell"	4
"2453 	cell"	12
"2454 	cell"	15
"2455 	cell"	2
"2456 	cell"	16
"2457 	cell"	10
"2458 	cell"	7
"2459 	cell"	0
"2460 	cell"	4
"2461 	cell"	20
"2462 	cell"	22
"2463 	cell"	16
"2464 	cell"	19
"2465 	cell"	0
"2466 	cell"	11
"2467 	cell"	0
"2468 	cell"	0
"2469 	cell"	0
"2470 	cell"	5
"2471 	cell"	6
"2472 	cell"	5
"2473 	cell"	0
"2474 	cell"	14
"2475 	cell"	6
"2476 	cell"	16
"2477 	cell"	0
"2478 	cell"	22
"2479 	cell"	0
"2480 	cell"	0
"2481 	cell"	12
"2482 	cell"	0
"2483 	cell"	9
"2484 	cell"	7
"2485 	cell"	19
"2486 	cell"	0
"2487 	cell"	9
"2488 	cell"	19
"2489 	cell"	10
"2490 	cell"	7
"2491 	cell"	4
"2492 	cell"	10
"2493 	cell"	0
"2494 	cell"	0
"2495 	cell"	14
"2496 	cell"	24
"2497 	cell"	7
"2498 	cell"	16
"2499 	cell"	0
"2500 	cell"	11
"2501 	cell"	13
"2502 	cell"	0
"2503 	cell"	7
"2504 	cell"	14
"2505 	cell"	11
"2506 	cell"	0
"2507 	cell"	1
"2508 	cell"	0
"2509 	cell"	16
"2510 	cell"	4
"2511 	cell"	16
"2512 	cell"	11
"2513 	cell"	5
"2514 	cell"	9
"2515 	cell"	4
"2516 	cell"	0
"2517 	cell"	7
"2518 	cell"	19
"2519 	cell"	3
"2520 	cell"	5
"2521 	cell"	0
"2522 	cell"	0
"2523 	cell"	11
"2524 	cell"	0
"2525 	cell"	1
"2526 	cell"	23
"2527 	cell"	0
"2528 	cell"	5
"2529 	cell"	0
"2530 	cell"	11
"2531 	cell"	0
"2532 	cell"	11
"2533 	cell"	16
"2534 	cell"	0
"2535 	cell"	23
"2536 	cell"	18
"2537 	cell"	0
"2538 	cell"	0
"2539 	cell"	10
"2540 	cell"	4
"2541 	cell"	24
"2542 	cell"	4
"2543 	cell"	0
"2544 	cell"	5
"2545 	cell"	12
"2546 	cell"	10
"2547 	cell"	0
"2548 	cell"	22
"2549 	cell"	19
"2550 	cell"	3
"2551 	cell"	11
"2552 	cell"	7
"2553 	cell"	4
"2554 	cell"	11
"2555 	cell"	0
"2556 	cell"	0
"2557 	cell"	19
"2558 	cell"	20
"2559 	cell"	0
"2560 	cell"	11
"2561 	cell"	0
"2562 	cell"	10
"2563 	cell"	0
"2564 	cell"	11
"2565 	cell"	0
"2566 	cell"	14
"2567 	cell"	0
"2568 	cell"	22
"2569 	cell"	5
"2570 	cell"	0
"2571 	cell"	12
"2572 	cell"	3
"2573 	cell"	0
"2574 	cell"	1
"2575 	cell"	0
"2576 	cell"	0
"2577 	cell"	14
"2578 	cell"	0
"2579 	cell"	0
"2580 	cell"	23
"2581 	cell"	6
"2582 	cell"	16
"2583 	cell"	5
"2584 	cell"	0
"2585 	cell"	18
"2586 	cell"	5
"2587 	cell"	16
"2588 	cell"	0
"2589 	cell"	0
"2590 	cell"	22
"2591 	cell"	0
"2592 	cell"	0
"2593 	cell"	0
"2594 	cell"	4
"2595 	cell"	4
"2596 	cell"	8
"2597 	cell"	10
"2598 	cell"	3
"2599 	cell"	16
"2600 	cell"	0
"2601 	cell"	11
"2602 	cell"	7
"2603 	cell"	1
"2604 	cell"	24
"2605 	cell"	5
"2606 	cell"	0
"2607 	cell"	18
"2608 	cell"	10
"2609 	cell"	11
"2610 	cell"	5
"2611 	cell"	0
"2612 	cell"	0
"2613 	cell"	0
"2614 	cell"	22
"2615 	cell"	12
"2616 	cell"	10
"2617 	cell"	0
"2618 	cell"	7
"2619 	cell"	18
"2620 	cell"	11
"2621 	cell"	5
"2622 	cell"	0
"2623 	cell"	0
"2624 	cell"	6
"2625 	cell"	7
"2626 	cell"	0
"2627 	cell"	0
"2628 	cell"	8
"2629 	cell"	10
"2630 	cell"	11
"2631 	cell"	0
"2632 	cell"	0
"2633 	cell"	0
"2634 	cell"	17
