cells	louvain
"11271	cell2"	1
"11272	cell2"	7
"11273	cell2"	8
"11274	cell2"	9
"11275	cell2"	10
"11276	cell2"	10
"11277	cell2"	8
"11278	cell2"	1
"11279	cell2"	7
"11280	cell2"	10
"11281	cell2"	11
"11282	cell2"	1
"11283	cell2"	10
"11284	cell2"	7
"11285	cell2"	11
"11286	cell2"	10
"11287	cell2"	8
"11288	cell2"	15
"11289	cell2"	5
"11290	cell2"	8
"11291	cell2"	20
"11292	cell2"	1
"11293	cell2"	23
"11294	cell2"	11
"11295	cell2"	8
"11296	cell2"	12
"11297	cell2"	8
"11298	cell2"	5
"11299	cell2"	22
"11300	cell2"	1
"11301	cell2"	8
"11302	cell2"	3
"11303	cell2"	1
"11304	cell2"	5
"11305	cell2"	10
"11306	cell2"	10
"11307	cell2"	3
"11308	cell2"	17
"11309	cell2"	5
"11310	cell2"	7
"11311	cell2"	23
"11312	cell2"	8
"11313	cell2"	5
"11314	cell2"	19
"11315	cell2"	12
"11316	cell2"	20
"11317	cell2"	2
"11318	cell2"	2
"11319	cell2"	23
"11320	cell2"	8
"11321	cell2"	8
"11322	cell2"	3
"11323	cell2"	3
"11324	cell2"	8
"11325	cell2"	23
"11326	cell2"	17
"11327	cell2"	15
"11328	cell2"	8
"11329	cell2"	3
"11330	cell2"	11
"11331	cell2"	8
"11332	cell2"	12
"11333	cell2"	19
"11334	cell2"	22
"11335	cell2"	9
"11336	cell2"	5
"11337	cell2"	3
"11338	cell2"	3
"11339	cell2"	5
"11340	cell2"	12
"11341	cell2"	11
"11342	cell2"	1
"11343	cell2"	8
"11344	cell2"	11
"11345	cell2"	20
"11346	cell2"	15
"11347	cell2"	11
"11348	cell2"	1
"11349	cell2"	8
"11350	cell2"	2
"11351	cell2"	0
"11352	cell2"	1
"11353	cell2"	10
"11354	cell2"	8
"11355	cell2"	3
"11356	cell2"	5
"11357	cell2"	10
"11358	cell2"	13
"11359	cell2"	8
"11360	cell2"	1
"11361	cell2"	8
"11362	cell2"	8
"11363	cell2"	11
"11364	cell2"	8
"11365	cell2"	15
"11366	cell2"	1
"11367	cell2"	2
"11368	cell2"	12
"11369	cell2"	16
"11370	cell2"	3
"11371	cell2"	10
"11372	cell2"	3
"11373	cell2"	15
"11374	cell2"	8
"11375	cell2"	10
"11376	cell2"	5
"11377	cell2"	15
"11378	cell2"	8
"11379	cell2"	3
"11380	cell2"	8
"11381	cell2"	15
"11382	cell2"	2
"11383	cell2"	1
"11384	cell2"	1
"11385	cell2"	1
"11386	cell2"	8
"11387	cell2"	18
"11388	cell2"	10
"11389	cell2"	8
"11390	cell2"	15
"11391	cell2"	11
"11392	cell2"	2
"11393	cell2"	3
"11394	cell2"	19
"11395	cell2"	1
"11396	cell2"	3
"11397	cell2"	5
"11398	cell2"	3
"11399	cell2"	3
"11400	cell2"	2
"11401	cell2"	10
"11402	cell2"	3
"11403	cell2"	3
"11404	cell2"	3
"11405	cell2"	9
"11406	cell2"	5
"11407	cell2"	15
"11408	cell2"	7
"11409	cell2"	19
"11410	cell2"	8
"11411	cell2"	2
"11412	cell2"	1
"11413	cell2"	3
"11414	cell2"	17
"11415	cell2"	18
"11416	cell2"	12
"11417	cell2"	5
"11418	cell2"	1
"11419	cell2"	3
"11420	cell2"	5
"11421	cell2"	8
"11422	cell2"	0
"11423	cell2"	3
"11424	cell2"	18
"11425	cell2"	3
"11426	cell2"	5
"11427	cell2"	1
"11428	cell2"	1
"11429	cell2"	19
"11430	cell2"	24
"11431	cell2"	1
"11432	cell2"	12
"11433	cell2"	3
"11434	cell2"	3
"11435	cell2"	3
"11436	cell2"	10
"11437	cell2"	2
"11438	cell2"	10
"11439	cell2"	3
"11440	cell2"	15
"11441	cell2"	8
"11442	cell2"	2
"11443	cell2"	1
"11444	cell2"	1
"11445	cell2"	3
"11446	cell2"	13
"11447	cell2"	16
"11448	cell2"	2
"11449	cell2"	17
"11450	cell2"	1
"11451	cell2"	10
"11452	cell2"	4
"11453	cell2"	18
"11454	cell2"	1
"11455	cell2"	15
"11456	cell2"	2
"11457	cell2"	3
"11458	cell2"	5
"11459	cell2"	16
"11460	cell2"	2
"11461	cell2"	15
"11462	cell2"	18
"11463	cell2"	8
"11464	cell2"	2
"11465	cell2"	12
"11466	cell2"	2
"11467	cell2"	10
"11468	cell2"	12
"11469	cell2"	3
"11470	cell2"	5
"11471	cell2"	2
"11472	cell2"	1
"11473	cell2"	1
"11474	cell2"	16
"11475	cell2"	2
"11476	cell2"	10
"11477	cell2"	3
"11478	cell2"	8
"11479	cell2"	5
"11480	cell2"	2
"11481	cell2"	1
"11482	cell2"	2
"11483	cell2"	18
"11484	cell2"	12
"11485	cell2"	2
"11486	cell2"	1
"11487	cell2"	3
"11488	cell2"	1
"11489	cell2"	9
"11490	cell2"	9
"11491	cell2"	5
"11492	cell2"	5
"11493	cell2"	10
"11494	cell2"	19
"11495	cell2"	3
"11496	cell2"	8
"11497	cell2"	1
"11498	cell2"	11
"11499	cell2"	7
"11500	cell2"	16
"11501	cell2"	8
"11502	cell2"	11
"11503	cell2"	8
"11504	cell2"	16
"11505	cell2"	11
"11506	cell2"	8
"11507	cell2"	8
"11508	cell2"	8
"11509	cell2"	3
"11510	cell2"	7
"11511	cell2"	5
"11512	cell2"	2
"11513	cell2"	3
"11514	cell2"	10
"11515	cell2"	3
"11516	cell2"	8
"11517	cell2"	11
"11518	cell2"	3
"11519	cell2"	8
"11520	cell2"	10
"11521	cell2"	19
"11522	cell2"	11
"11523	cell2"	23
"11524	cell2"	3
"11525	cell2"	3
"11526	cell2"	2
"11527	cell2"	17
"11528	cell2"	10
"11529	cell2"	3
"11530	cell2"	17
"11531	cell2"	1
"11532	cell2"	9
"11533	cell2"	3
"11534	cell2"	3
"11535	cell2"	20
"11536	cell2"	3
"11537	cell2"	2
"11538	cell2"	10
"11539	cell2"	13
"11540	cell2"	3
"11541	cell2"	5
"11542	cell2"	1
"11543	cell2"	20
"11544	cell2"	1
"11545	cell2"	1
"11546	cell2"	1
"11547	cell2"	3
"11548	cell2"	2
"11549	cell2"	10
"11550	cell2"	1
"11551	cell2"	1
"11552	cell2"	17
"11553	cell2"	1
"11554	cell2"	8
"11555	cell2"	2
"11556	cell2"	2
"11557	cell2"	18
"11558	cell2"	10
"11559	cell2"	1
"11560	cell2"	9
"11561	cell2"	15
"11562	cell2"	2
"11563	cell2"	7
"11564	cell2"	1
"11565	cell2"	2
"11566	cell2"	5
"11567	cell2"	1
"11568	cell2"	2
"11569	cell2"	9
"11570	cell2"	7
"11571	cell2"	9
"11572	cell2"	10
"11573	cell2"	15
"11574	cell2"	0
"11575	cell2"	3
"11576	cell2"	3
"11577	cell2"	5
"11578	cell2"	9
"11579	cell2"	8
"11580	cell2"	2
"11581	cell2"	8
"11582	cell2"	18
"11583	cell2"	1
"11584	cell2"	1
"11585	cell2"	11
"11586	cell2"	2
"11587	cell2"	0
"11588	cell2"	3
"11589	cell2"	5
"11590	cell2"	17
"11591	cell2"	2
"11592	cell2"	19
"11593	cell2"	3
"11594	cell2"	8
"11595	cell2"	23
"11596	cell2"	3
"11597	cell2"	2
"11598	cell2"	2
"11599	cell2"	3
"11600	cell2"	5
"11601	cell2"	2
"11602	cell2"	10
"11603	cell2"	11
"11604	cell2"	11
"11605	cell2"	8
"11606	cell2"	15
"11607	cell2"	7
"11608	cell2"	9
"11609	cell2"	12
"11610	cell2"	12
"11611	cell2"	17
"11612	cell2"	8
"11613	cell2"	8
"11614	cell2"	2
"11615	cell2"	19
"11616	cell2"	7
"11617	cell2"	3
"11618	cell2"	1
"11619	cell2"	2
"11620	cell2"	16
"11621	cell2"	3
"11622	cell2"	3
"11623	cell2"	1
"11624	cell2"	8
"11625	cell2"	1
"11626	cell2"	1
"11627	cell2"	1
"11628	cell2"	2
"11629	cell2"	3
"11630	cell2"	9
"11631	cell2"	3
"11632	cell2"	11
"11633	cell2"	3
"11634	cell2"	8
"11635	cell2"	1
"11636	cell2"	3
"11637	cell2"	11
"11638	cell2"	8
"11639	cell2"	1
"11640	cell2"	16
"11641	cell2"	8
"11642	cell2"	12
"11643	cell2"	1
"11644	cell2"	10
"11645	cell2"	10
"11646	cell2"	22
"11647	cell2"	3
"11648	cell2"	5
"11649	cell2"	1
"11650	cell2"	1
"11651	cell2"	3
"11652	cell2"	3
"11653	cell2"	8
"11654	cell2"	18
"11655	cell2"	18
"11656	cell2"	11
"11657	cell2"	7
"11658	cell2"	1
"11659	cell2"	2
"11660	cell2"	3
"11661	cell2"	2
"11662	cell2"	2
"11663	cell2"	7
"11664	cell2"	3
"11665	cell2"	2
"11666	cell2"	20
"11667	cell2"	12
"11668	cell2"	8
"11669	cell2"	12
"11670	cell2"	8
"11671	cell2"	2
"11672	cell2"	15
"11673	cell2"	11
"11674	cell2"	8
"11675	cell2"	1
"11676	cell2"	11
"11677	cell2"	2
"11678	cell2"	1
"11679	cell2"	3
"11680	cell2"	8
"11681	cell2"	2
"11682	cell2"	2
"11683	cell2"	15
"11684	cell2"	1
"11685	cell2"	17
"11686	cell2"	16
"11687	cell2"	2
"11688	cell2"	2
"11689	cell2"	2
"11690	cell2"	11
"11691	cell2"	2
"11692	cell2"	3
"11693	cell2"	17
"11694	cell2"	4
"11695	cell2"	3
"11696	cell2"	10
"11697	cell2"	1
"11698	cell2"	1
"11699	cell2"	2
"11700	cell2"	15
"11701	cell2"	1
"11702	cell2"	1
"11703	cell2"	12
"11704	cell2"	2
"11705	cell2"	2
"11706	cell2"	12
"11707	cell2"	3
"11708	cell2"	1
"11709	cell2"	1
"11710	cell2"	2
"11711	cell2"	3
"11712	cell2"	3
"11713	cell2"	8
"11714	cell2"	3
"11715	cell2"	10
"11716	cell2"	3
"11717	cell2"	17
"11718	cell2"	8
"11719	cell2"	2
"11720	cell2"	12
"11721	cell2"	1
"11722	cell2"	2
"11723	cell2"	2
"11724	cell2"	1
"11725	cell2"	5
"11726	cell2"	2
"11727	cell2"	5
"11728	cell2"	5
"11729	cell2"	23
"11730	cell2"	3
"11731	cell2"	1
"11732	cell2"	18
"11733	cell2"	19
"11734	cell2"	2
"11735	cell2"	10
"11736	cell2"	1
"11737	cell2"	3
"11738	cell2"	1
"11739	cell2"	2
"11740	cell2"	1
"11741	cell2"	7
"11742	cell2"	1
"11743	cell2"	9
"11744	cell2"	1
"11745	cell2"	5
"11746	cell2"	17
"11747	cell2"	8
"11748	cell2"	2
"11749	cell2"	19
"11750	cell2"	3
"11751	cell2"	10
"11752	cell2"	23
"11753	cell2"	2
"11754	cell2"	8
"11755	cell2"	3
"11756	cell2"	8
"11757	cell2"	1
"11758	cell2"	16
"11759	cell2"	1
"11760	cell2"	1
"11761	cell2"	1
"11762	cell2"	10
"11763	cell2"	3
"11764	cell2"	10
"11765	cell2"	3
"11766	cell2"	0
"11767	cell2"	0
"11768	cell2"	19
"11769	cell2"	1
"11770	cell2"	4
"11771	cell2"	2
"11772	cell2"	18
"11773	cell2"	2
"11774	cell2"	1
"11775	cell2"	2
"11776	cell2"	3
"11777	cell2"	3
"11778	cell2"	2
"11779	cell2"	1
"11780	cell2"	3
"11781	cell2"	2
"11782	cell2"	2
"11783	cell2"	1
"11784	cell2"	1
"11785	cell2"	2
"11786	cell2"	8
"11787	cell2"	9
"11788	cell2"	2
"11789	cell2"	1
"11790	cell2"	3
"11791	cell2"	18
"11792	cell2"	2
"11793	cell2"	2
"11794	cell2"	3
"11795	cell2"	8
"11796	cell2"	1
"11797	cell2"	5
"11798	cell2"	1
"11799	cell2"	1
"11800	cell2"	1
"11801	cell2"	2
"11802	cell2"	2
"11803	cell2"	1
"11804	cell2"	3
"11805	cell2"	3
"11806	cell2"	19
"11807	cell2"	2
"11808	cell2"	18
"11809	cell2"	8
"11810	cell2"	8
"11811	cell2"	1
"11812	cell2"	10
"11813	cell2"	5
"11814	cell2"	17
"11815	cell2"	2
"11816	cell2"	2
"11817	cell2"	16
"11818	cell2"	16
"11819	cell2"	19
"11820	cell2"	1
"11821	cell2"	1
"11822	cell2"	1
"11823	cell2"	3
"11824	cell2"	2
"11825	cell2"	3
"11826	cell2"	3
"11827	cell2"	3
"11828	cell2"	17
"11829	cell2"	3
"11830	cell2"	2
"11831	cell2"	8
"11832	cell2"	1
"11833	cell2"	3
"11834	cell2"	3
"11835	cell2"	18
"11836	cell2"	10
"11837	cell2"	0
"11838	cell2"	2
"11839	cell2"	2
"11840	cell2"	18
"11841	cell2"	2
"11842	cell2"	1
"11843	cell2"	15
"11844	cell2"	2
"11845	cell2"	3
"11846	cell2"	8
"11847	cell2"	8
"11848	cell2"	8
"11849	cell2"	1
"11850	cell2"	1
"11851	cell2"	2
"11852	cell2"	7
"11853	cell2"	0
"11854	cell2"	5
"11855	cell2"	19
"11856	cell2"	1
"11857	cell2"	2
"11858	cell2"	1
"11859	cell2"	1
"11860	cell2"	17
"11861	cell2"	5
"11862	cell2"	1
"11863	cell2"	8
"11864	cell2"	3
"11865	cell2"	2
"11866	cell2"	1
"11867	cell2"	1
"11868	cell2"	2
"11869	cell2"	18
"11870	cell2"	1
"11871	cell2"	3
"11872	cell2"	1
"11873	cell2"	11
"11874	cell2"	1
"11875	cell2"	3
"11876	cell2"	1
"11877	cell2"	10
"11878	cell2"	11
"11879	cell2"	2
"11880	cell2"	8
"11881	cell2"	8
"11882	cell2"	3
"11883	cell2"	15
"11884	cell2"	8
"11885	cell2"	8
"11886	cell2"	11
"11887	cell2"	9
"11888	cell2"	2
"11889	cell2"	1
"11890	cell2"	1
"11891	cell2"	1
"11892	cell2"	2
"11893	cell2"	3
"11894	cell2"	10
"11895	cell2"	15
"11896	cell2"	1
"11897	cell2"	18
"11898	cell2"	2
"11899	cell2"	3
"11900	cell2"	18
"11901	cell2"	9
"11902	cell2"	5
"11903	cell2"	8
"11904	cell2"	2
"11905	cell2"	3
"11906	cell2"	9
"11907	cell2"	16
"11908	cell2"	2
"11909	cell2"	23
"11910	cell2"	10
"11911	cell2"	2
"11912	cell2"	3
"11913	cell2"	3
"11914	cell2"	2
"11915	cell2"	8
"11916	cell2"	10
"11917	cell2"	2
"11918	cell2"	1
"11919	cell2"	1
"11920	cell2"	4
"11921	cell2"	10
"11922	cell2"	15
"11923	cell2"	15
"11924	cell2"	2
"11925	cell2"	1
"11926	cell2"	19
"11927	cell2"	8
"11928	cell2"	1
"11929	cell2"	10
"11930	cell2"	1
"11931	cell2"	3
"11932	cell2"	5
"11933	cell2"	2
"11934	cell2"	3
"11935	cell2"	3
"11936	cell2"	5
"11937	cell2"	4
"11938	cell2"	2
"11939	cell2"	13
"11940	cell2"	11
"11941	cell2"	18
"11942	cell2"	1
"11943	cell2"	5
"11944	cell2"	19
"11945	cell2"	3
"11946	cell2"	1
"11947	cell2"	8
"11948	cell2"	0
"11949	cell2"	2
"11950	cell2"	15
"11951	cell2"	3
"11952	cell2"	16
"11953	cell2"	2
"11954	cell2"	3
"11955	cell2"	11
"11956	cell2"	3
"11957	cell2"	1
"11958	cell2"	3
"11959	cell2"	1
"11960	cell2"	2
"11961	cell2"	3
"11962	cell2"	3
"11963	cell2"	1
"11964	cell2"	1
"11965	cell2"	8
"11966	cell2"	3
"11967	cell2"	8
"11968	cell2"	3
"11969	cell2"	2
"11970	cell2"	15
"11971	cell2"	1
"11972	cell2"	2
"11973	cell2"	2
"11974	cell2"	2
"11975	cell2"	1
"11976	cell2"	3
"11977	cell2"	16
"11978	cell2"	3
"11979	cell2"	2
"11980	cell2"	3
"11981	cell2"	2
"11982	cell2"	3
"11983	cell2"	11
"11984	cell2"	2
"11985	cell2"	12
"11986	cell2"	9
"11987	cell2"	3
"11988	cell2"	8
"11989	cell2"	1
"11990	cell2"	1
"11991	cell2"	2
"11992	cell2"	1
"11993	cell2"	2
"11994	cell2"	1
"11995	cell2"	1
"11996	cell2"	1
"11997	cell2"	1
"11998	cell2"	8
"11999	cell2"	1
"12000	cell2"	2
"12001	cell2"	2
"12002	cell2"	3
"12003	cell2"	17
"12004	cell2"	3
"12005	cell2"	2
"12006	cell2"	24
"12007	cell2"	4
"12008	cell2"	3
"12009	cell2"	2
"12010	cell2"	8
"12011	cell2"	11
"12012	cell2"	2
"12013	cell2"	3
"12014	cell2"	2
"12015	cell2"	2
"12016	cell2"	2
"12017	cell2"	2
"12018	cell2"	8
"12019	cell2"	16
"12020	cell2"	2
"12021	cell2"	1
"12022	cell2"	2
"12023	cell2"	8
"12024	cell2"	3
"12025	cell2"	1
"12026	cell2"	1
"12027	cell2"	2
"12028	cell2"	1
"12029	cell2"	2
"12030	cell2"	10
"12031	cell2"	2
"12032	cell2"	1
"12033	cell2"	1
"12034	cell2"	2
"12035	cell2"	3
"12036	cell2"	18
"12037	cell2"	18
"12038	cell2"	3
"12039	cell2"	17
"12040	cell2"	3
"12041	cell2"	15
"12042	cell2"	3
"12043	cell2"	2
"12044	cell2"	2
"12045	cell2"	2
"12046	cell2"	2
"12047	cell2"	1
"12048	cell2"	16
"12049	cell2"	3
"12050	cell2"	3
"12051	cell2"	1
"12052	cell2"	5
"12053	cell2"	2
"12054	cell2"	2
"12055	cell2"	3
"12056	cell2"	1
"12057	cell2"	2
"12058	cell2"	3
"12059	cell2"	1
"12060	cell2"	8
"12061	cell2"	3
"12062	cell2"	1
"12063	cell2"	1
"12064	cell2"	3
"12065	cell2"	2
"12066	cell2"	1
"12067	cell2"	2
"12068	cell2"	1
"12069	cell2"	3
"12070	cell2"	4
"12071	cell2"	3
"12072	cell2"	8
"12073	cell2"	2
"12074	cell2"	10
"12075	cell2"	2
"12076	cell2"	2
"12077	cell2"	3
"12078	cell2"	1
"12079	cell2"	7
"12080	cell2"	1
"12081	cell2"	2
"12082	cell2"	2
"12083	cell2"	3
"12084	cell2"	3
"12085	cell2"	1
"12086	cell2"	3
"12087	cell2"	2
"12088	cell2"	2
"12089	cell2"	3
"12090	cell2"	2
"12091	cell2"	2
"12092	cell2"	3
"12093	cell2"	2
"12094	cell2"	3
"12095	cell2"	3
"12096	cell2"	2
"12097	cell2"	3
"12098	cell2"	2
"12099	cell2"	24
"12100	cell2"	2
"12101	cell2"	3
"12102	cell2"	3
"12103	cell2"	2
"12104	cell2"	19
"12105	cell2"	2
"12106	cell2"	1
"12107	cell2"	2
"12108	cell2"	2
"12109	cell2"	2
"12110	cell2"	1
"12111	cell2"	3
"12112	cell2"	1
"12113	cell2"	3
"12114	cell2"	1
"12115	cell2"	4
"12116	cell2"	1
"12117	cell2"	1
"12118	cell2"	3
"12119	cell2"	1
"12120	cell2"	2
"12121	cell2"	1
"12122	cell2"	3
"12123	cell2"	1
"12124	cell2"	2
"12125	cell2"	2
"12126	cell2"	9
"12127	cell2"	3
"12128	cell2"	1
"12129	cell2"	1
"12130	cell2"	1
"12131	cell2"	3
"12132	cell2"	2
"12133	cell2"	8
"12134	cell2"	1
"12135	cell2"	3
"12136	cell2"	20
"12137	cell2"	5
"12138	cell2"	3
"12139	cell2"	1
"12140	cell2"	2
"12141	cell2"	3
"12142	cell2"	1
"12143	cell2"	1
"12144	cell2"	3
"12145	cell2"	2
"12146	cell2"	2
"12147	cell2"	8
"12148	cell2"	2
"12149	cell2"	2
"12150	cell2"	3
"12151	cell2"	1
"12152	cell2"	2
"12153	cell2"	8
"12154	cell2"	2
"12155	cell2"	5
"12156	cell2"	11
"12157	cell2"	2
"12158	cell2"	1
"12159	cell2"	8
"12160	cell2"	1
"12161	cell2"	10
"12162	cell2"	8
"12163	cell2"	3
"12164	cell2"	1
"12165	cell2"	1
"12166	cell2"	1
"12167	cell2"	16
"12168	cell2"	13
"12169	cell2"	8
"12170	cell2"	2
"12171	cell2"	2
"12172	cell2"	1
"12173	cell2"	3
"12174	cell2"	2
"12175	cell2"	1
"12176	cell2"	2
"12177	cell2"	15
"12178	cell2"	2
"12179	cell2"	1
"12180	cell2"	2
"12181	cell2"	2
"12182	cell2"	2
"12183	cell2"	1
"12184	cell2"	3
"12185	cell2"	1
"12186	cell2"	3
"12187	cell2"	8
"12188	cell2"	22
"12189	cell2"	16
"12190	cell2"	12
"12191	cell2"	1
"12192	cell2"	16
"12193	cell2"	15
"12194	cell2"	11
"12195	cell2"	3
"12196	cell2"	1
"12197	cell2"	1
"12198	cell2"	8
"12199	cell2"	1
"12200	cell2"	3
"12201	cell2"	2
"12202	cell2"	2
"12203	cell2"	1
"12204	cell2"	1
"12205	cell2"	2
"12206	cell2"	8
"12207	cell2"	2
"12208	cell2"	1
"12209	cell2"	3
"12210	cell2"	1
"12211	cell2"	3
"12212	cell2"	9
"12213	cell2"	3
"12214	cell2"	2
"12215	cell2"	13
"12216	cell2"	1
"12217	cell2"	2
"12218	cell2"	1
"12219	cell2"	2
"12220	cell2"	2
"12221	cell2"	2
"12222	cell2"	2
"12223	cell2"	3
"12224	cell2"	3
"12225	cell2"	10
"12226	cell2"	3
"12227	cell2"	11
"12228	cell2"	2
"12229	cell2"	5
"12230	cell2"	2
"12231	cell2"	7
"12232	cell2"	5
"12233	cell2"	2
"12234	cell2"	1
"12235	cell2"	2
"12236	cell2"	1
"12237	cell2"	2
"12238	cell2"	1
"12239	cell2"	2
"12240	cell2"	3
"12241	cell2"	1
"12242	cell2"	1
"12243	cell2"	1
"12244	cell2"	3
"12245	cell2"	3
"12246	cell2"	3
"12247	cell2"	17
"12248	cell2"	2
"12249	cell2"	1
"12250	cell2"	2
"12251	cell2"	2
"12252	cell2"	2
"12253	cell2"	2
"12254	cell2"	16
"12255	cell2"	1
"12256	cell2"	2
"12257	cell2"	2
"12258	cell2"	1
"12259	cell2"	2
"12260	cell2"	3
"12261	cell2"	2
"12262	cell2"	1
"12263	cell2"	2
"12264	cell2"	2
"12265	cell2"	1
"12266	cell2"	12
"12267	cell2"	1
"12268	cell2"	1
"12269	cell2"	8
"12270	cell2"	3
"12271	cell2"	1
"12272	cell2"	1
"12273	cell2"	3
"12274	cell2"	3
"12275	cell2"	8
"12276	cell2"	3
"12277	cell2"	2
"12278	cell2"	3
"12279	cell2"	5
"12280	cell2"	3
"12281	cell2"	3
"12282	cell2"	1
"12283	cell2"	1
"12284	cell2"	8
"12285	cell2"	1
"12286	cell2"	3
"12287	cell2"	8
"12288	cell2"	2
"12289	cell2"	3
"12290	cell2"	11
"12291	cell2"	3
"12292	cell2"	3
"12293	cell2"	3
"12294	cell2"	3
"12295	cell2"	1
"12296	cell2"	1
"12297	cell2"	3
"12298	cell2"	2
"12299	cell2"	3
"12300	cell2"	1
"12301	cell2"	2
"12302	cell2"	1
"12303	cell2"	1
"12304	cell2"	1
"12305	cell2"	3
"12306	cell2"	11
"12307	cell2"	19
"12308	cell2"	5
"12309	cell2"	3
"12310	cell2"	1
"12311	cell2"	1
"12312	cell2"	1
"12313	cell2"	2
"12314	cell2"	2
"12315	cell2"	3
"12316	cell2"	1
"12317	cell2"	17
"12318	cell2"	1
"12319	cell2"	2
"12320	cell2"	22
"12321	cell2"	2
"12322	cell2"	3
"12323	cell2"	15
"12324	cell2"	11
"12325	cell2"	1
"12326	cell2"	3
"12327	cell2"	1
"12328	cell2"	1
"12329	cell2"	2
"12330	cell2"	24
"12331	cell2"	3
"12332	cell2"	1
"12333	cell2"	3
"12334	cell2"	3
"12335	cell2"	2
"12336	cell2"	8
"12337	cell2"	2
"12338	cell2"	2
"12339	cell2"	1
"12340	cell2"	2
"12341	cell2"	2
"12342	cell2"	0
"12343	cell2"	19
"12344	cell2"	1
"12345	cell2"	2
"12346	cell2"	1
"12347	cell2"	3
"12348	cell2"	2
"12349	cell2"	2
"12350	cell2"	1
"12351	cell2"	3
"12352	cell2"	2
"12353	cell2"	1
"12354	cell2"	1
"12355	cell2"	7
"12356	cell2"	9
"12357	cell2"	3
"12358	cell2"	1
"12359	cell2"	2
"12360	cell2"	2
"12361	cell2"	1
"12362	cell2"	2
"12363	cell2"	3
"12364	cell2"	2
"12365	cell2"	5
"12366	cell2"	1
"12367	cell2"	2
"12368	cell2"	9
"12369	cell2"	11
"12370	cell2"	3
"12371	cell2"	3
"12372	cell2"	5
"12373	cell2"	16
"12374	cell2"	15
"12375	cell2"	2
"12376	cell2"	2
"12377	cell2"	1
"12378	cell2"	2
"12379	cell2"	1
"12380	cell2"	10
"12381	cell2"	1
"12382	cell2"	7
"12383	cell2"	2
"12384	cell2"	2
"12385	cell2"	3
"12386	cell2"	7
"12387	cell2"	3
"12388	cell2"	22
"12389	cell2"	2
"12390	cell2"	1
"12391	cell2"	2
"12392	cell2"	1
"12393	cell2"	3
"12394	cell2"	1
"12395	cell2"	2
"12396	cell2"	3
"12397	cell2"	1
"12398	cell2"	1
"12399	cell2"	1
"12400	cell2"	1
"12401	cell2"	1
"12402	cell2"	1
"12403	cell2"	2
"12404	cell2"	1
"12405	cell2"	2
"12406	cell2"	1
"12407	cell2"	2
"12408	cell2"	9
"12409	cell2"	2
"12410	cell2"	2
"12411	cell2"	2
"12412	cell2"	19
"12413	cell2"	2
"12414	cell2"	1
"12415	cell2"	1
"12416	cell2"	1
"12417	cell2"	3
"12418	cell2"	2
"12419	cell2"	1
"12420	cell2"	1
"12421	cell2"	1
"12422	cell2"	2
"12423	cell2"	9
"12424	cell2"	3
"12425	cell2"	1
"12426	cell2"	3
"12427	cell2"	2
"12428	cell2"	2
"12429	cell2"	1
"12430	cell2"	1
"12431	cell2"	2
"12432	cell2"	2
"12433	cell2"	4
"12434	cell2"	2
"12435	cell2"	2
"12436	cell2"	2
"12437	cell2"	3
"12438	cell2"	2
"12439	cell2"	3
"12440	cell2"	1
"12441	cell2"	3
"12442	cell2"	1
"12443	cell2"	2
"12444	cell2"	2
"12445	cell2"	1
"12446	cell2"	2
"12447	cell2"	3
"12448	cell2"	3
"12449	cell2"	1
"12450	cell2"	2
"12451	cell2"	3
"12452	cell2"	1
"12453	cell2"	3
"12454	cell2"	8
"12455	cell2"	16
"12456	cell2"	1
"12457	cell2"	10
"12458	cell2"	2
"12459	cell2"	10
"12460	cell2"	23
"12461	cell2"	3
"12462	cell2"	2
"12463	cell2"	3
"12464	cell2"	20
"12465	cell2"	10
"12466	cell2"	19
"12467	cell2"	2
"12468	cell2"	3
"12469	cell2"	1
"12470	cell2"	2
"12471	cell2"	2
"12472	cell2"	1
"12473	cell2"	2
"12474	cell2"	11
"12475	cell2"	1
"12476	cell2"	3
"12477	cell2"	9
"12478	cell2"	2
"12479	cell2"	3
"12480	cell2"	12
"12481	cell2"	1
"12482	cell2"	2
"12483	cell2"	2
"12484	cell2"	2
"12485	cell2"	2
"12486	cell2"	3
"12487	cell2"	3
"12488	cell2"	2
"12489	cell2"	3
"12490	cell2"	3
"12491	cell2"	2
"12492	cell2"	3
"12493	cell2"	3
"12494	cell2"	3
"12495	cell2"	3
"12496	cell2"	3
"12497	cell2"	1
"12498	cell2"	2
"12499	cell2"	3
"12500	cell2"	1
"12501	cell2"	1
"12502	cell2"	1
"12503	cell2"	1
"12504	cell2"	2
"12505	cell2"	2
"12506	cell2"	0
"12507	cell2"	3
"12508	cell2"	8
"12509	cell2"	15
"12510	cell2"	1
"12511	cell2"	1
"12512	cell2"	2
"12513	cell2"	2
"12514	cell2"	3
"12515	cell2"	1
"12516	cell2"	2
"12517	cell2"	2
"12518	cell2"	2
"12519	cell2"	2
"12520	cell2"	2
"12521	cell2"	3
"12522	cell2"	3
"12523	cell2"	17
"12524	cell2"	2
"12525	cell2"	0
"12526	cell2"	3
"12527	cell2"	8
"12528	cell2"	1
"12529	cell2"	1
"12530	cell2"	1
"12531	cell2"	2
"12532	cell2"	1
"12533	cell2"	1
"12534	cell2"	2
"12535	cell2"	4
"12536	cell2"	3
"12537	cell2"	1
"12538	cell2"	2
"12539	cell2"	1
"12540	cell2"	2
"12541	cell2"	1
"12542	cell2"	3
