# BUSCO version is: 5.8.0 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2024-01-08, number of genomes: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Score	Length	OrthoDB url	Description
1450538at2759	Complete	NP_013282.1	82.7	139	https://v10-1.orthodb.org/?query=1450538at2759	Vta1, C-terminal
1454155at2759	Complete	NP_010748.3	70.9	89	https://v10-1.orthodb.org/?query=1454155at2759	Cdk-activating kinase assembly factor MAT1, centre
1455730at2759	Fragmented	NP_009370.1	131.5	259	https://v10-1.orthodb.org/?query=1455730at2759	SKI-interacting protein, SKIP
1459797at2759	Complete	NP_014246.1	75.8	96	https://v10-1.orthodb.org/?query=1459797at2759	Prefoldin subunit 4
1474000at2759	Complete	NP_015231.2	82.2	138	https://v10-1.orthodb.org/?query=1474000at2759	Translocation protein Sec62
1479417at2759	Complete	NP_011092.1	277.7	168	https://v10-1.orthodb.org/?query=1479417at2759	SF3B4, RNA recognition motif 1
1488235at2759	Complete	NP_010115.1	161.7	139	https://v10-1.orthodb.org/?query=1488235at2759	Adenylate kinase isoenzyme 6
1488436at2759	Complete	NP_015513.1	121.8	63	https://v10-1.orthodb.org/?query=1488436at2759	DNA-directed RNA polymerase, 14-18kDa subunit, conserved site
1490022at2759	Complete	NP_012548.1	165.7	171	https://v10-1.orthodb.org/?query=1490022at2759	SUI1 domain
1504863at2759	Complete	NP_010532.3	108.7	114	https://v10-1.orthodb.org/?query=1504863at2759	Trafficking protein particle complex subunit
1513531at2759	Complete	NP_012584.3	151.6	191	https://v10-1.orthodb.org/?query=1513531at2759	Pre-mRNA-splicing factor Isy1
1525971at2759	Complete	NP_009776.1	91.8	80	https://v10-1.orthodb.org/?query=1525971at2759	Ubiquitin-like protein ATG12
1526152at2759	Missing
1530008at2759	Complete	NP_011957.1	132.9	89	https://v10-1.orthodb.org/?query=1530008at2759	H/ACA ribonucleoprotein complex subunit
1538526at2759	Complete	NP_010073.2	140.2	94	https://v10-1.orthodb.org/?query=1538526at2759	Ribosomal protein L7Ae/L30e/S12e/Gadd45
1545004at2759	Duplicated	NP_012556.2	69.9	73	https://v10-1.orthodb.org/?query=1545004at2759	LSM domain, eukaryotic/archaea-type
1545004at2759	Duplicated	NP_012411.1	68.7	66	https://v10-1.orthodb.org/?query=1545004at2759	LSM domain, eukaryotic/archaea-type
1552706at2759	Complete	NP_013602.1	86.1	92	https://v10-1.orthodb.org/?query=1552706at2759	Signal recognition particle, SRP19 subunit
1558822at2759	Complete	NP_011073.1	83.6	66	https://v10-1.orthodb.org/?query=1558822at2759	LSM domain, eukaryotic/archaea-type
1563319at2759	Missing
1567796at2759	Complete	NP_011592.3	124.0	133	https://v10-1.orthodb.org/?query=1567796at2759	Prefoldin
1575179at2759	Complete	NP_012785.2	27.9	44	https://v10-1.orthodb.org/?query=1575179at2759	COX assembly mitochondrial protein
1576404at2759	Complete	NP_010447.3	64.0	143	https://v10-1.orthodb.org/?query=1576404at2759	Pre-mRNA-splicing factor  Cwf15/Cwc15
1588798at2759	Complete	NP_012997.3	81.9	93	https://v10-1.orthodb.org/?query=1588798at2759	Anamorsin
1593937at2759	Complete	NP_011386.2	48.3	129	https://v10-1.orthodb.org/?query=1593937at2759	Ribosomal protein S23/S29, mitochondrial
1617752at2759	Complete	NP_011577.3	114.6	94	https://v10-1.orthodb.org/?query=1617752at2759	Transcription elongation factor SPT4
1620056at2759	Complete	NP_015425.1	44.8	73	https://v10-1.orthodb.org/?query=1620056at2759	Ribosomal protein/NADH dehydrogenase domain
1623701at2759	Complete	NP_011283.1	97.4	92	https://v10-1.orthodb.org/?query=1623701at2759	TMEM85/ER membrane protein complex subunit 4
1626636at2759	Fragmented	NP_010185.1	56.7	82	https://v10-1.orthodb.org/?query=1626636at2759	Zinc finger, double-stranded RNA binding
1633672at2759	Complete	NP_013543.3	105.6	82	https://v10-1.orthodb.org/?query=1633672at2759	LSM domain, eukaryotic/archaea-type
1645187at2759	Complete	NP_013790.1	32.9	37	https://v10-1.orthodb.org/?query=1645187at2759	PDCD5-like
