Supplementary Table 1. Characterization of immunophenotypes. 	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4
MFI	B cell	Bcells.trait283	CD19 on CD24+ CD27+	GCST90001723
MFI	B cell	Bcells.trait308	CD19 on IgD+ CD24+	GCST90001724
MFI	B cell	Bcells.trait309	CD19 on IgD+ CD24-	GCST90001725
MFI	B cell	Bcells.trait310	CD19 on IgD+ CD38-	GCST90001726
MFI	B cell	Bcells.trait311	CD19 on IgD+ CD38- naive	GCST90001727
MFI	B cell	Bcells.trait312	CD19 on IgD+ CD38- unsw mem	GCST90001728
MFI	B cell	Bcells.trait313	CD19 on IgD+ CD38br	GCST90001729
MFI	B cell	Bcells.trait314	CD19 on IgD+ CD38dim	GCST90001730
MFI	B cell	Bcells.trait318	CD19 on IgD- CD24-	GCST90001731
MFI	B cell	Bcells.trait319	CD19 on IgD- CD27-	GCST90001732
MFI	B cell	Bcells.trait320	CD19 on IgD- CD38-	GCST90001733
MFI	B cell	Bcells.trait321	CD19 on IgD- CD38br	GCST90001734
MFI	B cell	Bcells.trait322	CD19 on IgD- CD38dim	GCST90001735
MFI	B cell	Bcells.trait325	CD19 on memory B cell	GCST90001736
MFI	B cell	Bcells.trait327	CD19 on naive-mature B cell	GCST90001737
MFI	B cell	Bcells.trait328	CD19 on unsw mem	GCST90001738
MFI	B cell	Bcells.trait329	CD19 on PB/PC	GCST90001739
MFI	B cell	Bcells.trait331	CD19 on sw mem	GCST90001740
MFI	B cell	Bcells.trait332	CD19 on IgD+	GCST90001741
MFI	B cell	Bcells.trait333	CD19 on transitional	GCST90001742
MFI	B cell	Bcells.trait335	CD20 on B cell	GCST90001743
MFI	B cell	Bcells.trait354	CD20 on CD20- CD38-	GCST90001744
MFI	B cell	Bcells.trait355	CD20 on CD24+ CD27+	GCST90001745
MFI	B cell	Bcells.trait378	CD20 on IgD+ CD24+	GCST90001746
MFI	B cell	Bcells.trait379	CD20 on IgD+ CD24-	GCST90001747
MFI	B cell	Bcells.trait380	CD20 on IgD+ CD38-	GCST90001748
MFI	B cell	Bcells.trait381	CD20 on IgD+ CD38- naive	GCST90001749
MFI	B cell	Bcells.trait382	CD20 on IgD+ CD38- unsw mem	GCST90001750
MFI	B cell	Bcells.trait383	CD20 on IgD+ CD38br	GCST90001751
MFI	B cell	Bcells.trait384	CD20 on IgD+ CD38dim	GCST90001752
MFI	B cell	Bcells.trait388	CD20 on IgD- CD24-	GCST90001753
MFI	B cell	Bcells.trait389	CD20 on IgD- CD27-	GCST90001754
MFI	B cell	Bcells.trait390	CD20 on IgD- CD38-	GCST90001755
MFI	B cell	Bcells.trait391	CD20 on IgD- CD38br	GCST90001756
MFI	B cell	Bcells.trait392	CD20 on IgD- CD38dim	GCST90001757
MFI	B cell	Bcells.trait395	CD20 on memory B cell	GCST90001758
MFI	B cell	Bcells.trait397	CD20 on naive-mature B cell	GCST90001759
MFI	B cell	Bcells.trait398	CD20 on unsw mem	GCST90001760
MFI	B cell	Bcells.trait399	CD20 on sw mem	GCST90001761
MFI	B cell	Bcells.trait400	CD20 on IgD+	GCST90001762
MFI	B cell	Bcells.trait401	CD20 on transitional	GCST90001763
MFI	B cell	Bcells.trait418	CD24 on CD24+ CD27+	GCST90001764
MFI	B cell	Bcells.trait438	CD24 on IgD+ CD24+	GCST90001765
MFI	B cell	Bcells.trait439	CD24 on IgD+ CD38-	GCST90001766
MFI	B cell	Bcells.trait441	CD24 on IgD+ CD38- unsw mem	GCST90001767
MFI	B cell	Bcells.trait442	CD24 on IgD+ CD38br	GCST90001768
MFI	B cell	Bcells.trait445	CD24 on IgD- CD38-	GCST90001769
MFI	B cell	Bcells.trait446	CD24 on IgD- CD38dim	GCST90001770
MFI	B cell	Bcells.trait448	CD24 on memory B cell	GCST90001771
MFI	B cell	Bcells.trait449	CD24 on unsw mem	GCST90001772
MFI	B cell	Bcells.trait450	CD24 on sw mem	GCST90001773
MFI	B cell	Bcells.trait451	CD24 on transitional	GCST90001774
MFI	B cell	Bcells.trait453	CD25 on B cell	GCST90001775
MFI	B cell	Bcells.trait470	CD25 on CD20- CD38-	GCST90001776
MFI	B cell	Bcells.trait471	CD25 on CD24+ CD27+	GCST90001777
MFI	B cell	Bcells.trait490	CD25 on IgD+ CD24+	GCST90001778
MFI	B cell	Bcells.trait491	CD25 on IgD+ CD24-	GCST90001779
MFI	B cell	Bcells.trait492	CD25 on IgD+ CD38-	GCST90001780
MFI	B cell	Bcells.trait493	CD25 on IgD+ CD38- naive	GCST90001781
MFI	B cell	Bcells.trait494	CD25 on IgD+ CD38- unsw mem	GCST90001782
MFI	B cell	Bcells.trait495	CD25 on IgD+ CD38br	GCST90001783
MFI	B cell	Bcells.trait496	CD25 on IgD+ CD38dim	GCST90001784
MFI	B cell	Bcells.trait500	CD25 on IgD- CD24-	GCST90001785
MFI	B cell	Bcells.trait501	CD25 on IgD- CD27-	GCST90001786
MFI	B cell	Bcells.trait502	CD25 on IgD- CD38-	GCST90001787
MFI	B cell	Bcells.trait503	CD25 on IgD- CD38br	GCST90001788
MFI	B cell	Bcells.trait504	CD25 on IgD- CD38dim	GCST90001789
MFI	B cell	Bcells.trait506	CD25 on memory B cell	GCST90001790
MFI	B cell	Bcells.trait508	CD25 on naive-mature B cell	GCST90001791
MFI	B cell	Bcells.trait509	CD25 on unsw mem	GCST90001792
MFI	B cell	Bcells.trait510	CD25 on sw mem	GCST90001793
MFI	B cell	Bcells.trait511	CD25 on IgD+	GCST90001794
MFI	B cell	Bcells.trait512	CD25 on transitional	GCST90001795
MFI	B cell	Bcells.trait514	CD27 on CD20-	GCST90001796
MFI	B cell	Bcells.trait536	CD27 on CD20- CD38-	GCST90001797
MFI	B cell	Bcells.trait537	CD27 on CD24+ CD27+	GCST90001798
MFI	B cell	Bcells.trait539	CD27 on T cell	GCST90001799
MFI	B cell	Bcells.trait561	CD27 on IgD+ CD24+	GCST90001800
MFI	B cell	Bcells.trait563	CD27 on IgD+ CD38- unsw mem	GCST90001801
MFI	B cell	Bcells.trait565	CD27 on IgD- CD38-	GCST90001802
MFI	B cell	Bcells.trait566	CD27 on IgD- CD38br	GCST90001803
MFI	B cell	Bcells.trait567	CD27 on IgD- CD38dim	GCST90001804
MFI	B cell	Bcells.trait570	CD27 on memory B cell	GCST90001805
MFI	B cell	Bcells.trait571	CD27 on unsw mem	GCST90001806
MFI	B cell	Bcells.trait572	CD27 on PB/PC	GCST90001807
MFI	B cell	Bcells.trait574	CD27 on sw mem	GCST90001808
MFI	B cell	Bcells.trait597	CD38 on CD20-	GCST90001809
MFI	B cell	Bcells.trait619	CD38 on CD3- CD19-	GCST90001810
MFI	B cell	Bcells.trait637	CD38 on IgD+ CD24-	GCST90001811
MFI	B cell	Bcells.trait640	CD38 on IgD+ CD38br	GCST90001812
MFI	B cell	Bcells.trait641	CD38 on IgD+ CD38dim	GCST90001813
MFI	B cell	Bcells.trait643	CD38 on IgD- CD38br	GCST90001814
MFI	B cell	Bcells.trait644	CD38 on IgD- CD38dim	GCST90001815
MFI	B cell	Bcells.trait646	CD38 on naive-mature B cell	GCST90001816
MFI	B cell	Bcells.trait647	CD38 on PB/PC	GCST90001817
MFI	B cell	Bcells.trait649	CD38 on IgD+	GCST90001818
MFI	B cell	Bcells.trait650	CD38 on transitional	GCST90001819
MFI	B cell	Bcells.trait775	IgD on IgD+ CD24+	GCST90001820
MFI	B cell	Bcells.trait776	IgD on IgD+ CD24-	GCST90001821
MFI	B cell	Bcells.trait777	IgD on IgD+ CD38-	GCST90001822
MFI	B cell	Bcells.trait779	IgD on IgD+ CD38- unsw mem	GCST90001823
MFI	B cell	Bcells.trait780	IgD on IgD+ CD38br	GCST90001824
MFI	B cell	Bcells.trait781	IgD on IgD+ CD38dim	GCST90001825
MFI	B cell	Bcells.trait785	IgD on unsw mem	GCST90001826
MFI	B cell	Bcells.trait786	IgD on IgD+	GCST90001827
MFI	B cell	Bcells.trait787	IgD on transitional	GCST90001828
MFI	B cell	Bcells.trait84	BAFF-R on B cell	GCST90001829
MFI	B cell	Bcells.trait85	BAFF-R on CD20-	GCST90001830
MFI	cDC	Blue.530.30.cDC.trait1	CD62L on CD62L+ myeloid DC 	GCST90001831
MFI	cDC	Blue.530.30.cDC.trait2	CD62L on CD62L+ plasmacytoid DC 	GCST90001832
MFI	cDC	Blue.530.30.cDC.trait3	CD62L on CD62L+ DC	GCST90001833
MFI	cDC	Blue.530.30.cDC.trait4	CD62L on monocyte	GCST90001834
MFI	cDC	Blue.530.30.cDC.trait5	CD62L on granulocyte	GCST90001835
MFI	Myeloid cell	Blue.530.30.MDSC.trait1	CD66b on CD66b++ myeloid cell	GCST90001836
MFI	Myeloid cell	Blue.530.30.MDSC.trait2	CD66b on Gr MDSC	GCST90001837
MFI	Maturation stages of T cell	Blue.530.30.MT.trait10	CD3 on naive CD8br  	GCST90001838
MFI	Maturation stages of T cell	Blue.530.30.MT.trait11	CD3 on EM CD8br  	GCST90001839
MFI	Maturation stages of T cell	Blue.530.30.MT.trait12	CD3 on TD CD8br	GCST90001840
MFI	Maturation stages of T cell	Blue.530.30.MT.trait3	CD3 on CM CD4+	GCST90001841
MFI	Maturation stages of T cell	Blue.530.30.MT.trait4	CD3 on Naive CD4+	GCST90001842
MFI	Maturation stages of T cell	Blue.530.30.MT.trait5	CD3 on EM CD4+ 	GCST90001843
MFI	Maturation stages of T cell	Blue.530.30.MT.trait6	CD3 on TD CD4+	GCST90001844
MFI	Maturation stages of T cell	Blue.530.30.MT.trait7	CD3 on CD45RA- CD4+	GCST90001845
MFI	Maturation stages of T cell	Blue.530.30.MT.trait9	CD3 on CM CD8br  	GCST90001846
MFI	TBNK	Blue.530.30.TBNK.trait4	CD3 on HLA DR+ T cell 	GCST90001847
MFI	TBNK	Blue.530.30.TBNK.trait5	CD3 on NKT 	GCST90001848
MFI	TBNK	Blue.530.30.TBNK.trait6	CD3 on HLA DR+ CD4+	GCST90001849
MFI	TBNK	Blue.530.30.TBNK.trait7	CD3 on HLA DR+ CD8br	GCST90001850
MFI	Treg	Blue.530.30.Treg.trait1	CD3 on T cell	GCST90001851
MFI	Treg	Blue.530.30.Treg.trait10	CD3 on CD39+ resting Treg 	GCST90001852
MFI	Treg	Blue.530.30.Treg.trait11	CD3 on activated Treg	GCST90001853
MFI	Treg	Blue.530.30.Treg.trait12	CD3 on CD39+ activated Treg	GCST90001854
MFI	Treg	Blue.530.30.Treg.trait13	CD3 on secreting Treg 	GCST90001855
MFI	Treg	Blue.530.30.Treg.trait14	CD3 on CD39+ secreting Treg 	GCST90001856
MFI	Treg	Blue.530.30.Treg.trait15	CD3 on activated & secreting Treg	GCST90001857
MFI	Treg	Blue.530.30.Treg.trait17	CD3 on CD45RA+ CD4+	GCST90001858
MFI	Treg	Blue.530.30.Treg.trait2	CD3 on CD8br	GCST90001859
MFI	Treg	Blue.530.30.Treg.trait21	CD3 on CD39+ CD4+	GCST90001860
MFI	Treg	Blue.530.30.Treg.trait22	CD3 on CD28+ CD4+	GCST90001861
MFI	Treg	Blue.530.30.Treg.trait23	CD3 on CD28+ DN (CD4-CD8-)	GCST90001862
MFI	Treg	Blue.530.30.Treg.trait3	CD3 on CD28+ CD45RA- CD8br   	GCST90001863
MFI	Treg	Blue.530.30.Treg.trait4	CD3 on CD28+ CD45RA+ CD8br	GCST90001864
MFI	Treg	Blue.530.30.Treg.trait5	CD3 on CD28- CD8br 	GCST90001865
MFI	Treg	Blue.530.30.Treg.trait6	CD3 on CD39+ CD8br 	GCST90001866
MFI	Treg	Blue.530.30.Treg.trait7	CD3 on CD4+ 	GCST90001867
MFI	Treg	Blue.530.30.Treg.trait8	CD3 on CD4 Treg 	GCST90001868
MFI	Treg	Blue.530.30.Treg.trait9	CD3 on resting Treg 	GCST90001869
MFI	Myeloid cell	Blue.585.42.MDSC.trait1	CD34 on HSC	GCST90001870
MFI	Maturation stages of T cell	HVEM1000_150630.trait1	HVEM on T cell	GCST90001871
MFI	Maturation stages of T cell	HVEM1000_150630.trait10	HVEM on naive CD8br 	GCST90001872
MFI	Maturation stages of T cell	HVEM1000_150630.trait11	HVEM on EM CD8br 	GCST90001873
MFI	Maturation stages of T cell	HVEM1000_150630.trait12	HVEM on TD CD8br 	GCST90001874
MFI	Maturation stages of T cell	HVEM1000_150630.trait2	HVEM on CD4+ 	GCST90001875
MFI	Maturation stages of T cell	HVEM1000_150630.trait3	HVEM on CM CD4+	GCST90001876
MFI	Maturation stages of T cell	HVEM1000_150630.trait4	HVEM on naive CD4+	GCST90001877
MFI	Maturation stages of T cell	HVEM1000_150630.trait5	HVEM on EM CD4+	GCST90001878
MFI	Maturation stages of T cell	HVEM1000_150630.trait6	HVEM on TD CD4+	GCST90001879
MFI	Maturation stages of T cell	HVEM1000_150630.trait7	HVEM on CD45RA- CD4+	GCST90001880
MFI	Maturation stages of T cell	HVEM1000_150630.trait8	HVEM on CD8br	GCST90001881
MFI	Maturation stages of T cell	HVEM1000_150630.trait9	HVEM on CM CD8br	GCST90001882
MFI	TBNK	Blue.585.42.TBNK.trait1	CD16-CD56 on NKT	GCST90001883
MFI	TBNK	Blue.585.42.TBNK.trait2	CD16-CD56 on NK	GCST90001884
MFI	TBNK	Blue.585.42.TBNK.trait3	CD16-CD56 on HLA DR+ NK	GCST90001885
MFI	Treg	Blue.585.42.Treg.trait10	CD28 on CD39+ activated Treg	GCST90001886
MFI	Treg	Blue.585.42.Treg.trait11	CD28 on secreting Treg 	GCST90001887
MFI	Treg	Blue.585.42.Treg.trait12	CD28 on CD39+ secreting Treg 	GCST90001888
MFI	Treg	Blue.585.42.Treg.trait13	CD28 on activated & secreting Treg	GCST90001889
MFI	Treg	Blue.585.42.Treg.trait15	CD28 on CD45RA+ CD4+	GCST90001890
MFI	Treg	Blue.585.42.Treg.trait18	CD28 on CD45RA- CD4 not Treg  	GCST90001891
MFI	Treg	Blue.585.42.Treg.trait19	CD28 on CD39+ CD4+  	GCST90001892
MFI	Treg	Blue.585.42.Treg.trait2	CD28 on CD28+ CD45RA- CD8br  	GCST90001893
MFI	Treg	Blue.585.42.Treg.trait20	CD28 on CD28+ CD4+  	GCST90001894
MFI	Treg	Blue.585.42.Treg.trait21	CD28 on CD28+ DN (CD4-CD8-)	GCST90001895
MFI	Treg	Blue.585.42.Treg.trait3	CD28 on CD28+ CD45RA+ CD8br	GCST90001896
MFI	Treg	Blue.585.42.Treg.trait4	CD28 on CD39+ CD8br  	GCST90001897
MFI	Treg	Blue.585.42.Treg.trait5	CD28 on CD4+	GCST90001898
MFI	Treg	Blue.585.42.Treg.trait6	CD28 on CD4 Treg 	GCST90001899
MFI	Treg	Blue.585.42.Treg.trait7	CD28 on resting Treg 	GCST90001900
MFI	Treg	Blue.585.42.Treg.trait8	CD28 on CD39+ resting Treg 	GCST90001901
MFI	Treg	Blue.585.42.Treg.trait9	CD28 on activated Treg	GCST90001902
MFI	cDC	Blue.670.LP.cDC.trait1	CD86 on myeloid DC	GCST90001903
MFI	cDC	Blue.670.LP.cDC.trait2	CD86 on CD62L+ myeloid DC	GCST90001904
MFI	cDC	Blue.670.LP.cDC.trait3	CD86 on monocyte	GCST90001905
MFI	cDC	Blue.670.LP.cDC.trait4	CD86 on granulocyte	GCST90001906
MFI	Maturation stages of T cell	Blue.670.LP.MT.trait1	CCR7 on naive CD4+	GCST90001907
MFI	Maturation stages of T cell	Blue.670.LP.MT.trait3	CCR7 on naive CD8br	GCST90001908
MFI	TBNK	Blue.670.LP.TBNK.trait1	CD45 on CD14+ monocyte	GCST90001909
MFI	TBNK	Blue.670.LP.TBNK.trait10	CD45 on B cell	GCST90001910
MFI	TBNK	Blue.670.LP.TBNK.trait11	CD45 on NK	GCST90001911
MFI	TBNK	Blue.670.LP.TBNK.trait12	CD45 on HLA DR+ NK	GCST90001912
MFI	TBNK	Blue.670.LP.TBNK.trait13	CD45 on granulocyte	GCST90001913
MFI	TBNK	Blue.670.LP.TBNK.trait2	CD45 on lymphocyte	GCST90001914
MFI	TBNK	Blue.670.LP.TBNK.trait3	CD45 on T cell	GCST90001915
MFI	TBNK	Blue.670.LP.TBNK.trait4	CD45 on CD4+	GCST90001916
MFI	TBNK	Blue.670.LP.TBNK.trait5	CD45 on CD8br	GCST90001917
MFI	TBNK	Blue.670.LP.TBNK.trait6	CD45 on HLA DR+ T cell	GCST90001918
MFI	TBNK	Blue.670.LP.TBNK.trait7	CD45 on NKT	GCST90001919
MFI	TBNK	Blue.670.LP.TBNK.trait8	CD45 on HLA DR+ CD4+	GCST90001920
MFI	TBNK	Blue.670.LP.TBNK.trait9	CD45 on HLA DR+ CD8br	GCST90001921
MFI	Treg	Blue.670.LP.Treg.trait1	CD127 on T cell	GCST90001922
MFI	Treg	Blue.670.LP.Treg.trait10	CD127 on CD45RA- CD4 not Treg	GCST90001923
MFI	Treg	Blue.670.LP.Treg.trait11	CD127 on CD28+ CD4+	GCST90001924
MFI	Treg	Blue.670.LP.Treg.trait12	CD127 on CD28+ DN (CD4-CD8-)	GCST90001925
MFI	Treg	Blue.670.LP.Treg.trait13	CD127 on granulocyte	GCST90001926
MFI	Treg	Blue.670.LP.Treg.trait2	CD127 on CD8br	GCST90001927
MFI	Treg	Blue.670.LP.Treg.trait3	CD127 on CD28+ CD45RA- CD8br	GCST90001928
MFI	Treg	Blue.670.LP.Treg.trait4	CD127 on CD28+ CD45RA+ CD8br 	GCST90001929
MFI	Treg	Blue.670.LP.Treg.trait5	CD127 on CD28- CD8br 	GCST90001930
MFI	Treg	Blue.670.LP.Treg.trait6	CD127 on CD4+	GCST90001931
MFI	Treg	Blue.670.LP.Treg.trait7	CD127 on CD45RA+ CD4+ 	GCST90001932
MFI	Treg	Blue.780.60.CD25.trait1	CD25 on  CD45RA- CD4 not Treg 	GCST90001933
MFI	Treg	Blue.780.60.CD25.trait13	CD25 on CD45RA+ CD4 not Treg 	GCST90001934
MFI	Treg	Blue.780.60.CD25.trait10	CD25 on CD39+ CD4 Treg  	GCST90001935
MFI	Treg	Blue.780.60.CD25.trait2	CD25 on CD4 Treg	GCST90001936
MFI	Treg	Blue.780.60.CD25.trait3	CD25 on resting Treg 	GCST90001937
MFI	Treg	Blue.780.60.CD25.trait4	CD25 on CD39+ resting Treg 	GCST90001938
MFI	Treg	Blue.780.60.CD25.trait5	CD25 on activated Treg 	GCST90001939
MFI	Treg	Blue.780.60.CD25.trait6	CD25 on CD39+ activated Treg 	GCST90001940
MFI	Treg	Blue.780.60.CD25.trait7	CD25 on secreting Treg 	GCST90001941
MFI	Treg	Blue.780.60.CD25.trait8	CD25 on CD39+ secreting Treg 	GCST90001942
MFI	Treg	Blue.780.60.CD25.trait9	CD25 on activated & secreting Treg 	GCST90001943
MFI	cDC	Blue.780.60.cDC.trait1	CD123 on plasmacytoid DC	GCST90001944
MFI	cDC	Blue.780.60.cDC.trait2	CD123 on CD62L+ plasmacytoid DC	GCST90001945
MFI	Myeloid cell	Blue.780.60.MDSC.trait1	CD33 on CD14+ monocyte	GCST90001946
MFI	Myeloid cell	Blue.780.60.MDSC.trait10	CD33 on CD33br HLA DR+ CD14dim 	GCST90001947
MFI	Myeloid cell	Blue.780.60.MDSC.trait12	CD33 on CD33dim HLA DR+ CD11b+  	GCST90001948
MFI	Myeloid cell	Blue.780.60.MDSC.trait13	CD33 on CD33dim HLA DR+ CD11b- 	GCST90001949
MFI	Myeloid cell	Blue.780.60.MDSC.trait14	CD33 on Gr MDSC  	GCST90001950
MFI	Myeloid cell	Blue.780.60.MDSC.trait2	CD33 on CD66b++ myeloid cell	GCST90001951
MFI	Myeloid cell	Blue.780.60.MDSC.trait3	CD33 on Mo MDSC  	GCST90001952
MFI	Myeloid cell	Blue.780.60.MDSC.trait4	CD33 on CD33dim HLA DR- 	GCST90001953
MFI	Myeloid cell	Blue.780.60.MDSC.trait6	CD33 on basophil 	GCST90001954
MFI	Myeloid cell	Blue.780.60.MDSC.trait7	CD33 on Im MDSC  	GCST90001955
MFI	Myeloid cell	Blue.780.60.MDSC.trait8	CD33 on CD33br HLA DR+  	GCST90001956
MFI	Myeloid cell	Blue.780.60.MDSC.trait9	CD33 on CD33br HLA DR+ CD14-  	GCST90001957
MFI	TBNK	Blue.780.60.TBNK.trait1	CD4 on monocyte	GCST90001958
MFI	TBNK	Blue.780.60.TBNK.trait3	CD4 on HLA DR+ CD4+ 	GCST90001959
MFI	Treg	Blue.780.60.Treg.trait4	CD25 on CD4+	GCST90001960
MFI	Treg	Blue.780.60.Treg.trait5	CD25 on CD39+ CD4+ 	GCST90001961
MFI	Treg	Blue.780.60.Treg.trait6	CD25 on CD28+ CD4+ 	GCST90001962
Morphological parameter	cDC	FSC.cDC.trait2	FSC-A on myeloid DC 	GCST90001963
Morphological parameter	cDC	FSC.cDC.trait3	FSC-A on plasmacytoid DC	GCST90001964
Morphological parameter	cDC	FSC.cDC.trait4	FSC-A on monocyte	GCST90001965
Morphological parameter	cDC	FSC.cDC.trait5	FSC-A on granulocyte	GCST90001966
Morphological parameter	TBNK	FSC.TBNK.trait1	FSC-A on CD14+ monocyte	GCST90001967
Morphological parameter	TBNK	FSC.TBNK.trait10	FSC-A on B cell	GCST90001968
Morphological parameter	TBNK	FSC.TBNK.trait11	FSC-A on NK	GCST90001969
Morphological parameter	TBNK	FSC.TBNK.trait12	FSC-A on HLA DR+ NK	GCST90001970
Morphological parameter	TBNK	FSC.TBNK.trait2	FSC-A on lymphocyte	GCST90001971
Morphological parameter	TBNK	FSC.TBNK.trait3	FSC-A on T cell	GCST90001972
Morphological parameter	TBNK	FSC.TBNK.trait4	FSC-A on CD4+	GCST90001973
Morphological parameter	TBNK	FSC.TBNK.trait5	FSC-A on CD8br	GCST90001974
Morphological parameter	TBNK	FSC.TBNK.trait6	FSC-A on HLA DR+ T cell	GCST90001975
Morphological parameter	TBNK	FSC.TBNK.trait7	FSC-A on NKT 	GCST90001976
Morphological parameter	TBNK	FSC.TBNK.trait8	FSC-A on HLA DR+ CD4+	GCST90001977
Morphological parameter	TBNK	FSC.TBNK.trait9	FSC-A on HLA DR+ CD8br	GCST90001978
MFI	Monocyte	mono.trait1	CD16 on CD14- CD16+ monocyte	GCST90001979
MFI	Monocyte	mono.trait10	CD40 on CD14+ CD16- monocyte	GCST90001980
MFI	Monocyte	mono.trait11	CD40 on CD14+ CD16+ monocyte 	GCST90001981
MFI	Monocyte	mono.trait12	CCR2 on CD14- CD16+ monocyte 	GCST90001982
MFI	Monocyte	mono.trait14	CD14 on CD14+ CD16+  monocyte	GCST90001983
MFI	Monocyte	mono.trait16	HLA DR on CD14- CD16+ monocyte	GCST90001984
MFI	Monocyte	mono.trait17	CD40 on monocytes	GCST90001985
MFI	Monocyte	mono.trait19	CD14 on CD14+ CD16- monocyte	GCST90001986
MFI	Monocyte	mono.trait2	CD64 on CD14+ CD16- monocyte 	GCST90001987
MFI	Monocyte	mono.trait21	HLA DR on CD14+ CD16- monocyte	GCST90001988
MFI	Monocyte	mono.trait22	CD40 on CD14- CD16+ monocyte 	GCST90001989
MFI	Monocyte	mono.trait24	CD64 on CD14- CD16+ monocyte 	GCST90001990
MFI	Monocyte	mono.trait25	HLA DR on CD14+ monocyte	GCST90001991
MFI	Monocyte	mono.trait28	 CCR2 on CD14+ CD16+ monocyte	GCST90001992
MFI	Monocyte	mono.trait29	PDL-1 on CD14+ CD16- monocyte	GCST90001993
MFI	Monocyte	mono.trait3	CX3CR1 on CD14- CD16- 	GCST90001994
MFI	Monocyte	mono.trait33	CX3CR1 on monocyte	GCST90001995
MFI	Monocyte	mono.trait35	CX3CR1 on CD14+ CD16+ monocyte	GCST90001996
MFI	Monocyte	mono.trait36	CX3CR1 on CD14+ CD16- monocyte	GCST90001997
MFI	Monocyte	mono.trait39	PDL-1 on CD14+ CD16+ monocyte	GCST90001998
MFI	Monocyte	mono.trait4	PDL-1 on CD14- CD16+ monocyte	GCST90001999
MFI	Monocyte	mono.trait41	PDL-1 on CD14- CD16- 	GCST90002000
MFI	Monocyte	mono.trait42	CD64 on CD14- CD16- 	GCST90002001
MFI	Monocyte	mono.trait43	PDL-1 on monocyte	GCST90002002
MFI	Monocyte	mono.trait44	CCR2 on CD14- CD16- 	GCST90002003
MFI	Monocyte	mono.trait46	CCR2 on CD14+ CD16- monocyte	GCST90002004
MFI	Monocyte	mono.trait47	CD16 on CD14+ CD16+ monocyte	GCST90002005
MFI	Monocyte	mono.trait48	CD64 on monocyte	GCST90002006
MFI	Monocyte	mono.trait50	HLA DR on CD14+ CD16+ monocyte	GCST90002007
MFI	Monocyte	mono.trait52	CCR2 on monocyte	GCST90002008
MFI	Monocyte	mono.trait53	HLA DR on CD14- CD16- 	GCST90002009
MFI	Monocyte	mono.trait54	HLA DR on monocyte	GCST90002010
MFI	Monocyte	mono.trait6	CD64 on CD14+ CD16+ monocyte	GCST90002011
MFI	Monocyte	mono.trait7	CX3CR1 on CD14- CD16+ monocyte	GCST90002012
MFI	cDC	Red.660.20.cDC.trait1	CCR2 on myeloid DC	GCST90002013
MFI	cDC	Red.660.20.cDC.trait2	CCR2 on CD62L+ myeloid DC	GCST90002014
MFI	cDC	Red.660.20.cDC.trait3	CCR2 on plasmacytoid DC	GCST90002015
MFI	cDC	Red.660.20.cDC.trait4	CCR2 on CD62L+ plasmacytoid DC	GCST90002016
MFI	cDC	Red.660.20.cDC.trait5	CCR2 on monocyte 	GCST90002017
MFI	cDC	Red.660.20.cDC.trait6	CCR2 on granulocyte	GCST90002018
MFI	Myeloid cell	Red.660.20.MDSC.trait2	CD14 on Mo MDSC 	GCST90002019
MFI	Myeloid cell	Red.660.20.MDSC.trait3	CD14 on CD33br HLA DR+ CD14dim  	GCST90002020
MFI	Myeloid cell	Red.660.20.MDSC.trait4	CD14  on CD33dim HLA DR+ CD11b+ 	GCST90002021
MFI	Maturation stages of T cell	Red.660.20.MT.trait1	CD4 on CD4+  	GCST90002022
MFI	Maturation stages of T cell	Red.660.20.MT.trait2	CD4 on CM CD4 +	GCST90002023
MFI	Maturation stages of T cell	Red.660.20.MT.trait3	CD4 on naive CD4+ 	GCST90002024
MFI	Maturation stages of T cell	Red.660.20.MT.trait4	CD4 on EM CD4+ 	GCST90002025
MFI	Maturation stages of T cell	Red.660.20.MT.trait5	CD4 on TD CD4+  	GCST90002026
MFI	Maturation stages of T cell	Red.660.20.MT.trait6	CD4 on CD45RA+ CD4+  	GCST90002027
MFI	TBNK	Red.660.20.TBNK.trait2	CD19 on B cell	GCST90002028
MFI	Treg	Red.660.20.Treg.trait1	CD39 on CD39+ CD8br 	GCST90002029
MFI	Treg	Red.660.20.Treg.trait2	CD39 on CD39+ activated Treg 	GCST90002030
MFI	Treg	Red.660.20.Treg.trait3	CD39 on CD39+ secreting Treg   	GCST90002031
MFI	Treg	Red.660.20.Treg.trait5	CD39 on CD39+ CD4+  	GCST90002032
MFI	Treg	Red.660.20.Treg.trait6	CD39 on granulocyte  	GCST90002033
MFI	Treg	Red.660.20.Treg.trait7	CD39 on monocyte  	GCST90002034
MFI	cDC	Red.780.60.cDC.trait1	CD80 on myeloid DC 	GCST90002035
MFI	cDC	Red.780.60.cDC.trait2	CD80 on CD62L+ myeloid DC	GCST90002036
MFI	cDC	Red.780.60.cDC.trait3	CD80 on plasmacytoid DC	GCST90002037
MFI	cDC	Red.780.60.cDC.trait4	CD80 on CD62L+ plasmacytoid DC	GCST90002038
MFI	cDC	Red.780.60.cDC.trait5	CD80 on monocyte	GCST90002039
MFI	cDC	Red.780.60.cDC.trait6	CD80 on granulocyte	GCST90002040
MFI	Myeloid cell	Red.780.60.MDSC.trait1	CD45 on lymphocyte 	GCST90002041
