Supplementary Table 1. Characterization of immunophenotypes. 	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7
Relative count	Treg	Treg_Trait606	CD28+ CD45RA- CD8br %T cell	3440	0.758	8.747	34.327
Relative count	Treg	Treg_Trait581	CD28+ CD45RA- CD8dim %CD8dim	3440	1.593	44.607	95.495
Relative count	Treg	Treg_Trait580	CD28+ CD45RA- CD8dim %T cell	3440	0.053	1.533	16.54
Relative count	Treg	Treg_Trait604	CD28+ CD45RA+ CD8br %CD8br	3440	0	30.877	88.251
Relative count	Treg	Treg_Trait603	CD28+ CD45RA+ CD8br %T cell	3440	0	8.038	39.631
Relative count	Treg	Treg_Trait578	CD28+ CD45RA+ CD8dim %CD8dim	3440	0	8.956	73.729
Relative count	Treg	Treg_Trait577	CD28+ CD45RA+ CD8dim %T cell	3440	0	0.269	4.792
Relative count	Treg	Treg_Trait508	CD28+ DN (CD4-CD8-) %DN	3440	1.515	59.945	98.635
Relative count	Treg	Treg_Trait507	CD28+ DN (CD4-CD8-) %T cell	3440	0.108	2.706	32.391
Relative count	Treg	f_Treg_Trait513	CD39+ activated Treg %activated Treg 	3437	3.615	60.32	99.099
Relative count	Treg	f_Treg_Trait514	CD39+ activated Treg %CD4 Treg	3437	0.364	10.344	35.5
Relative count	Treg	Treg_Trait513	CD39+ CD4+ %CD4+	3440	0.006	5.385	22.674
Relative count	Treg	Treg_Trait512	CD39+ CD4+ %T cell	3440	0.003	3.329	16.356
Relative count	Treg	Treg_Trait586	CD39+ CD8br %CD8br	3440	0	2.355	36.567
Relative count	Treg	Treg_Trait585	CD39+ CD8br %T cell	3440	0	0.605	14.423
Relative count	Treg	f_Treg_Trait507	CD39+ resting Treg %resting Treg	3437	0	3.863	99.138
Relative count	Treg	f_Treg_Trait508	CD39+ resting Treg %CD4 Treg	3437	0	0.774	42.915
Relative count	Treg	f_Treg_Trait519	CD39+ secreting Treg %secreting Treg	3437	0.9	27.131	98.633
Relative count	Treg	f_Treg_Trait520	CD39+ secreting Treg %CD4 Treg	3437	0.6	17.476	60.565
Relative count	Treg	f_Treg_Trait501	CD4 Treg %CD4	3437	1.3	7.676	23.729
Relative count	Treg	f_Treg_Trait502	CD4 Treg %T cell	3437	0.481	4.786	19.058
Relative count	Treg	Treg_Trait701	CD45RA- CD28- CD8br  %CD8br	3425	0.351	14.728	82.695
Relative count	Treg	Treg_Trait702	CD45RA- CD28- CD8br %T cell	3425	0.1	4.417	53.223
Relative count	Treg	Treg_Trait707	CD45RA+ CD28- CD8br  %CD8br	3425	0.194	20.529	90.854
Relative count	Treg	Treg_Trait708	CD45RA+ CD28- CD8br %T cell	3425	0.135	6.185	71.56
Relative count	Treg	f_Treg_Trait505	Resting Treg %CD4 	3437	0	1.544	9.2
Relative count	Treg	f_Treg_Trait504	Resting Treg %CD4 Treg	3437	0.2	20.243	83.6
Relative count	Treg	f_Treg_Trait517	Secreting Treg %CD4	3437	0.5	4.946	13.232
Relative count	Treg	f_Treg_Trait516	Secreting Treg %CD4 Treg	3437	5.6	64.559	88.8
