Supplementary Table 8. Pharmacological implication of the coincident associations.	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13
45	CD28,CTLA4	CD28 on CD4+	pQTL	CD4, CD3, CD28	CD28	pQTL	Multiple sclerosis	increase	no	inhibition	CEL,  UC		
45	CD28,CTLA4	CD28 on CD39+ CD8br	pQTL	CD39, CD8, CD3	CD28	pQTL	Inflammatory bowel disease	decrease	no	activation		ICOS(-):::KRT18P39	KRT18P39
45	CD28,CTLA4	CD28 on CD39+ CD8br	pQTL	CD39, CD8, CD3	CD28	pQTL	Ulcerative colitis	decrease	yes	activation		ICOS(-):::KRT18P39	KRT18P39
45	CD28,CTLA4	CD28 on CD39+ activated Treg	pQTL	CD39, CD25, CD45RO, CD4, CD3	CD28	pQTL	Inflammatory bowel disease	decrease	yes	activation		ICOS(-):::KRT18P39	KRT18P39
45	CD28,CTLA4	CD28 on CD39+ activated Treg	pQTL	CD39, CD25, CD45RO, CD4, CD3	CD28	pQTL	Ulcerative colitis	decrease	yes	activation		ICOS(-):::KRT18P39	KRT18P39
62	XCR1,CCR1	CCR2 on monocyte 	pQTL	CD14 or CD16, HLA DR	CCR2	pQTL	Behcet's disease	decrease	not tested	activation	SLE	CCRL2(-):::CCR1(+):::CCR2(-):::CCR3(-):::CCRL2,RP11-24F11.5(-):::RP11-24F11.2(-)	CCRL2(-):::CCR1(+):::CCR2(-):::CCR3(-):::CCRL2,RP11-24F11.5(-):::RP11-24F11.2(-)
62	XCR1,CCR1	CCR2 on monocyte 	pQTL	CD14 or CD16, HLA DR	CCR2	pQTL	Celiac Disease	decrease	not tested	activation	SLE	CCRL2(-):::CCR1(+):::CCR2(-):::CCR3(-):::CCRL2,RP11-24F11.5(-):::RP11-24F11.2(-)	CCRL2(-):::CCR1(+):::CCR2(-):::CCR3(-):::CCRL2,RP11-24F11.5(-):::RP11-24F11.2(-)
62	CCR2	CCR2 on plasmacytoid DC	pQTL	CD123, CLEC4C	CCR2	pQTL	Celiac Disease	decrease	not tested	activation		LZTFL1:::CCR2(+,-):::CCR3(+):::FLT1P1(+):::CCR5(-):::CCRL2,RP11-24F11.5(+):::RP11-24F11.2(+)	LZTFL1:::CCR2(+,-):::CCR3(+):::FLT1P1(+):::CCR5(-):::CCRL2,RP11-24F11.5(+):::RP11-24F11.2(+)
71	LPP	HLA DR on CD14- CD16+ monocyte	pQTL	HLA DR, CD16	HLA DR	pQTL	Celiac Disease	increase	not tested	inhibition	VIT, AA, UC	BCL6	BCL6
71	LPP	HLA DR on CD14- CD16+ monocyte	pQTL	HLA DR, CD16	HLA DR	pQTL	Vitiligo	decrease	not tested	activation	CEL, Allergy, MS, Cutaneous squamous cell carcinoma	BCL6	BCL6
71	LPP	HLA DR on CD14- CD16+ monocyte	pQTL	HLA DR, CD16	HLA DR	pQTL	Allergy	increase	yes	inhibition	VIT, AA, UC	BCL6	BCL6
71	LPP	HLA DR on CD14- CD16+ monocyte	pQTL	HLA DR, CD16	HLA DR	pQTL	Alopecia areata	decrease	not tested	activation	CEL, Allergy, MS, Cutaneous squamous cell carcinoma	BCL6	BCL6
71	LPP	HLA DR on CD14- CD16+ monocyte	pQTL	HLA DR, CD16	HLA DR	pQTL	Cutaneous squamous cell carcinoma	increase	not tested	inhibition	VIT, AA, UC	BCL6	
71	LPP	HLA DR on CD14- CD16+ monocyte	pQTL	HLA DR, CD16	HLA DR	pQTL	Multiple sclerosis	increase	no	inhibition	VIT, AA, UC	BCL6	BCL6
71	LPP	CD11c+ HLA DR++ monocyte %monocyte	RC	CD11c, HLA DR, CD14 or CD16	CD11c, HLA DR, CD14 or CD16	Count	Celiac Disease	increase	not tested	inhibition	VIT, AA	BCL6	BCL6
71	LPP	CD11c+ HLA DR++ monocyte %monocyte	RC	CD11c, HLA DR, CD14 or CD16	CD11c, HLA DR, CD14 or CD16	Count	Allergy	increase	yes	inhibition	VIT, AA	BCL6	BCL6
71	LPP	CD11c+ HLA DR++ monocyte %monocyte	RC	CD11c, HLA DR, CD14 or CD16	CD11c, HLA DR, CD14 or CD16	Count	Vitiligo	decrease	not tested	activation	CEL, Allergy, MS, Cutaneous squamous cell carcinoma	BCL6	BCL6
71	LPP	CD11c+ HLA DR++ monocyte %monocyte	RC	CD11c, HLA DR, CD14 or CD16	CD11c, HLA DR, CD14 or CD16	Count	Alopecia areata	decrease	not tested	activation	CEL, Allergy, MS, Cutaneous squamous cell carcinoma	BCL6	BCL6
71	LPP	CD11c+ HLA DR++ monocyte %monocyte	RC	CD11c, HLA DR, CD14 or CD16	CD11c, HLA DR, CD14 or CD16	Count	Cutaneous squamous cell carcinoma	increase	not tested	inhibition	VIT, AA	BCL6	
71	LPP	CD11c+ HLA DR++ monocyte %monocyte	RC	CD11c, HLA DR, CD14 or CD16	CD11c, HLA DR, CD14 or CD16	Count	Multiple sclerosis	increase	uncertain	inhibition	VIT, AA	BCL6	BCL6
71	LPP	HLA DR on CD33dim HLA DR+ CD11b+ 	pQTL	CD33, HLA DR, CD11b	HLA DR	pQTL	Allergic disease (asthma, hay fever or eczema)	increase	yes	inhibition	VIT		
71	LPP	HLA DR on CD33dim HLA DR+ CD11b+ 	pQTL	CD33, HLA DR, CD11b	HLA DR	pQTL	Cutaneous squamous cell carcinoma	increase	not tested	inhibition	VIT		
71	LPP	HLA DR on CD33dim HLA DR+ CD11b+ 	pQTL	CD33, HLA DR, CD11b	HLA DR	pQTL	Vitiligo	decrease	not tested	activation	Allergy, Cutaneous squamous cell carcinoma		
98	BACH2	CD28 on CD28+ CD45RA+ CD8br	pQTL	CD45RA, CD8, CD3, CD28	CD28	pQTL	Multiple Sclerosis	increase	yes	inhibition		BACH2(+,-):::BACH2,RP3-512E2.2(-):::7SK(-)	BACH2(+,-):::BACH2,RP3-512E2.2(-):::7SK(-)
98	BACH2	CD28 on CD28+ CD45RA+ CD8br	pQTL	CD45RA, CD8, CD3, CD28	CD28	pQTL	Autoimmune Thyroiditis	increase	not tested	inhibition		BACH2(+,-):::BACH2,RP3-512E2.2(-):::7SK(-)	BACH2(+,-):::BACH2,RP3-512E2.2(-):::7SK(-)
98	BACH2	CD28 on CD28+ CD45RA+ CD8br	pQTL	CD45RA, CD8, CD3, CD28	CD28	pQTL	Type 1 diabetes	increase	yes	inhibition		BACH2(+,-):::BACH2,RP3-512E2.2(-):::7SK(-):::NA	BACH2(+,-):::BACH2,RP3-512E2.2(-):::7SK(-):::NA
98	BACH2	CD28 on CD28+ CD45RA+ CD8br	pQTL	CD45RA, CD8, CD3, CD28	CD28	pQTL	Non-melanoma skin cancer	increase	not tested	inhibition		BACH2(+,-):::BACH2,RP3-512E2.2(-):::7SK(-)	BACH2(+,-):::BACH2,RP3-512E2.2(-):::7SK(-)
98	BACH2	CD28 on CD28+ CD45RA+ CD8br	pQTL	CD45RA, CD8, CD3, CD28	CD28	pQTL	Vitiligo	increase	not tested	inhibition		BACH2(+,-):::BACH2,RP3-512E2.2(-):::7SK(-)	BACH2(+,-):::BACH2,RP3-512E2.2(-):::7SK(-)
98	BACH2	CD28 on resting Treg	pQTL	CD45RA, CD4, CD3, CD25	CD28	pQTL	Multiple Sclerosis	increase	yes	inhibition		BACH2(+,-):::BACH2,RP3-512E2.2(-):::7SK(-)	BACH2(+,-):::BACH2,RP3-512E2.2(-):::7SK(-)
98	BACH2	CD28 on resting Treg	pQTL	CD45RA, CD4, CD3, CD25	CD28	pQTL	Autoimmune Thyroiditis	increase	not tested	inhibition		BACH2(+,-):::BACH2,RP3-512E2.2(-):::7SK(-)	BACH2(+,-):::BACH2,RP3-512E2.2(-):::7SK(-)
98	BACH2	CD28 on resting Treg	pQTL	CD45RA, CD4, CD3, CD25	CD28	pQTL	Type 1 diabetes	increase	yes	inhibition		BACH2(+,-):::BACH2,RP3-512E2.2(-):::7SK(-):::NA	BACH2(+,-):::BACH2,RP3-512E2.2(-):::7SK(-):::NA
98	BACH2	CD28 on resting Treg	pQTL	CD45RA, CD4, CD3, CD25	CD28	pQTL	Non-melanoma skin cancer	increase	not tested	inhibition		BACH2(+,-):::BACH2,RP3-512E2.2(-):::7SK(-)	BACH2(+,-):::BACH2,RP3-512E2.2(-):::7SK(-)
98	BACH2	CD28 on resting Treg	pQTL	CD45RA, CD4, CD3, CD25	CD28	pQTL	Vitiligo	increase	not tested	inhibition		BACH2(+,-):::BACH2,RP3-512E2.2(-):::7SK(-)	BACH2(+,-):::BACH2,RP3-512E2.2(-):::7SK(-)
98	BACH2	CD28 on CD4+ (especially CD45RA+)	pQTL	CD45RA, CD4, CD3	CD28	pQTL	Multiple Sclerosis	increase	yes	inhibition		BACH2(+,-):::BACH2,RP3-512E2.2(-):::7SK(-)	BACH2(+,-):::BACH2,RP3-512E2.2(-):::7SK(-)
98	BACH2	CD28 on CD4+ (especially CD45RA+)	pQTL	CD45RA, CD4, CD3	CD28	pQTL	Autoimmune Thyroiditis	increase	not tested	inhibition		BACH2(+,-):::BACH2,RP3-512E2.2(-):::7SK(-)	BACH2(+,-):::BACH2,RP3-512E2.2(-):::7SK(-)
98	BACH2	CD28 on CD4+ (especially CD45RA+)	pQTL	CD45RA, CD4, CD3	CD28	pQTL	Type 1 diabetes	increase	yes	inhibition		BACH2(+,-):::BACH2,RP3-512E2.2(-):::7SK(-)	BACH2(+,-):::BACH2,RP3-512E2.2(-):::7SK(-)
98	BACH2	CD28 on CD4+ (especially CD45RA+)	pQTL	CD45RA, CD4, CD3	CD28	pQTL	Non-melanoma skin cancer	increase	not tested	inhibition		BACH2(+,-):::BACH2,RP3-512E2.2(-):::7SK(-)	BACH2(+,-):::BACH2,RP3-512E2.2(-):::7SK(-)
98	BACH2	CD28 on CD4+ (especially CD45RA+)	pQTL	CD45RA, CD4, CD3	CD28	pQTL	Vitiligo	increase	not tested	inhibition		BACH2(+,-):::BACH2,RP3-512E2.2(-):::7SK(-)	BACH2(+,-):::BACH2,RP3-512E2.2(-):::7SK(-)
98	BACH2	CD80 on myeloid DC (especially CD62L+)	pQTL	CD62L, CD33, CD11c, CD141 or CD1c	CD80	pQTL	Celiac Disease	increase	not tested	inhibition	CRO, IBD, Allergy	BACH2(+)	BACH2(+)
98	BACH2	CD80 on myeloid DC (especially CD62L+)	pQTL	CD62L, CD33, CD11c, CD141 or CD1c	CD80	pQTL	Crohn's Disease	decrease	yes	activation	CEL	BACH2(-)	BACH2(-)
98	BACH2	CD80 on myeloid DC (especially CD62L+)	pQTL	CD62L, CD33, CD11c, CD141 or CD1c	CD80	pQTL	Inflammatory bowel disease	decrease	uncertain	activation	CEL	BACH2(-)	BACH2(-)
98	BACH2	CD80 on myeloid DC (especially CD62L+)	pQTL	CD62L, CD33, CD11c, CD141 or CD1c	CD80	pQTL	Allergic disease (asthma, hay fever or eczema)	decrease	yes	activation	CEL	BACH2(-)	
98	BACH2	CD28 on CD28+ CD45RA+ CD8br	pQTL	CD45RA, CD8, CD3, CD28	CD28	pQTL	Systemic lupus erythematosus	increase	not tested	inhibition			
98	BACH2	CD28 on resting Treg	pQTL	CD45RA, CD4, CD3, CD25	CD28	pQTL	Systemic lupus erythematosus	increase	not tested	inhibition			
103	LOC100996634,CCDC162P	CD34 on HSC	pQTL	CD34	CD34	pQTL	Ankylosing spondylitis	decrease	not tested	activation		FLJ37396:::PTCHD3P3(+):::CCDC162P(+,-):::C6orf183(+):::CD164(+)	FLJ37396:::PTCHD3P3(+):::CCDC162P(+):::CD164(+)
107	JAZF1	CD45RA on naive CD4+ 	pQTL	CD45RA, CD4, CD3	CD45RA	pQTL	Multiple sclerosis	increase	uncertain	inhibition	RA	JAZF1-AS1(-):::JAZF1(+)	JAZF1-AS1(-):::JAZF1(+)
107	JAZF1	CD45RA on naive CD4+ 	pQTL	CD45RA, CD4, CD3	CD45RA	pQTL	Allergic disease (asthma, hay fever or eczema)	increase	yes	inhibition	RA	JAZF1-AS1(-):::JAZF1(+)	JAZF1-AS1(-):::JAZF1(+)
107	JAZF1	CD45RA on naive CD4+ 	pQTL	CD45RA, CD4, CD3	CD45RA	pQTL	Rheumatoid arthritis	decrease	yes	activation	MS, Allergy	JAZF1-AS1(+):::JAZF1(-)	JAZF1-AS1(+):::JAZF1(-)
110	ELMO1	Activated & secreting Treg %CD4+	RC	CD25, CD45RO, CD4, CD3	CD25, CD45RO, CD4, CD3	Count	Celiac Disease	increase	not tested	inhibition	T1D, PSC, JIA	ELMO1(+,-)	ELMO1(+,-)
110	ELMO1	Activated & secreting Treg %CD4+	RC	CD25, CD45RO, CD4, CD3	CD25, CD45RO, CD4, CD3	Count	Multiple Sclerosis	increase	yes	inhibition	T1D, PSC, JIA	ELMO1(+,-)	ELMO1(+,-)
110	ELMO1	Activated & secreting Treg %CD4+	RC	CD25, CD45RO, CD4, CD3	CD25, CD45RO, CD4, CD3	Count	Primary biliary cirrhosis	increase	not tested	inhibition	T1D, PSC, JIA	ELMO1(+,-)	ELMO1(+,-)
110	ELMO1	Activated & secreting Treg %CD4+	RC	CD25, CD45RO, CD4, CD3	CD25, CD45RO, CD4, CD3	Count	Primary biliary cholangitis	increase	not tested	inhibition	T1D, PSC, JIA	ELMO1(+,-)	ELMO1(+,-)
110	ELMO1	Activated & secreting Treg %CD4+	RC	CD25, CD45RO, CD4, CD3	CD25, CD45RO, CD4, CD3	Count	Rheumatoid arthritis	increase	yes	inhibition	T1D, PSC, JIA	ELMO1(+,-)	ELMO1(+,-)
114	SPATA48,IKZF1	Plasmacytoid DC AC	AC, RC	CD123/CLEC4C	CD123/CLEC4C	Count	Systemic lupus erythematosus	increase	yes	inhibition		CLEC10A(-):::IFI6(+):::CLEC4C(+):::MX1(+):::TNFRSF21(+):::HERC5(+):::IFIT1(+)	CLEC10A(-):::IFI6(+):::CLEC4C(+):::MX1(+):::TNFRSF21(+):::HERC5(+):::IFIT1(+)
114	SPATA48,IKZF1	CD123 on plasmacytoid DC	pQTL	CD123/CLEC4C	CD123	pQTL	Systemic lupus erythematosus	increase	yes	inhibition		CLEC10A(-):::IFI6(+):::CLEC4C(+):::MX1(+):::TNFRSF21(+):::HERC5(+):::IFIT1(+)	CLEC10A(-):::IFI6(+):::CLEC4C(+):::MX1(+):::TNFRSF21(+):::HERC5(+):::IFIT1(+)
114	SPATA48,IKZF1	CD80 on plasmacytoid DC	pQTL	CD80/CLEC4C	CD80	pQTL	Systemic lupus erythematosus	increase	yes	inhibition		CLEC10A(-):::IFI6(+):::CLEC4C(+):::MX1(+):::TNFRSF21(+):::HERC5(+):::IFIT1(+)	CLEC10A(-):::IFI6(+):::CLEC4C(+):::MX1(+):::TNFRSF21(+):::HERC5(+):::IFIT1(+)
114	SPATA48,IKZF1	CD62L on CD62L+ plasmacytoid DC 	pQTL	CD62L, CD123, CLEC4C	CD62L	pQTL	Systemic lupus erythematosus	increase	yes	inhibition		CLEC10A(-):::IFI6(+):::CLEC4C(+):::MX1(+):::TNFRSF21(+):::HERC5(+):::IFIT1(+)	CLEC10A(-):::IFI6(+):::CLEC4C(+):::MX1(+):::TNFRSF21(+):::HERC5(+):::IFIT1(+)
114	SPATA48,IKZF1	Plasmacytoid DC AC	AC, RC	CD123/CLEC4C	CD123/CLEC4C	Count	Cold medicine-related Stevens-Johnson syndrome/toxic epidermal necrolysis (SJS/TEN) with severe mucosal involvement	increase	not tested	inhibition		CLEC10A(-):::IFI6(+):::CLEC4C(+):::MX1(+):::TNFRSF21(+):::HERC5(+):::IFIT1(+)	CLEC10A(-):::IFI6(+):::CLEC4C(+):::MX1(+):::TNFRSF21(+):::HERC5(+):::IFIT1(+)
114	SPATA48,IKZF1	CD123 on plasmacytoid DC	pQTL	CD123/CLEC4C	CD123	pQTL	Cold medicine-related Stevens-Johnson syndrome/toxic epidermal necrolysis (SJS/TEN) with severe mucosal involvement	increase	not tested	inhibition		CLEC10A(-):::IFI6(+):::CLEC4C(+):::MX1(+):::TNFRSF21(+):::HERC5(+):::IFIT1(+)	CLEC10A(-):::IFI6(+):::CLEC4C(+):::MX1(+):::TNFRSF21(+):::HERC5(+):::IFIT1(+)
114	SPATA48,IKZF1	CD80 on plasmacytoid DC	pQTL	CD123/CLEC4C	CD80	pQTL	Cold medicine-related Stevens-Johnson syndrome/toxic epidermal necrolysis (SJS/TEN) with severe mucosal involvement	increase	not tested	inhibition		CLEC10A(-):::IFI6(+):::CLEC4C(+):::MX1(+):::TNFRSF21(+):::HERC5(+):::IFIT1(+)	CLEC10A(-):::IFI6(+):::CLEC4C(+):::MX1(+):::TNFRSF21(+):::HERC5(+):::IFIT1(+)
114	SPATA48,IKZF1	CD62L on CD62L+ plasmacytoid DC 	pQTL	CD62L, CD123, CLEC4C	CD62L	pQTL	Cold medicine-related Stevens-Johnson syndrome/toxic epidermal necrolysis (SJS/TEN) with severe mucosal involvement	increase	not tested	inhibition		CLEC10A(-):::IFI6(+):::CLEC4C(+):::MX1(+):::TNFRSF21(+):::HERC5(+):::IFIT1(+)	CLEC10A(-):::IFI6(+):::CLEC4C(+):::MX1(+):::TNFRSF21(+):::HERC5(+):::IFIT1(+)
123	PLEC	NKT %T cell	RC, AC	CD3,CD56/CD57	CD3,CD56/CD57	Count	Osteoarthritis of the hip (hospital diagnosed)	increase	not tested	inhibition		CTD-3065J16.6(-):::EPPK1(-):::PLEC1(-):::COMMD5(+):::GRINA(u,+,-):::PARP10(-):::NRBP2:::SPATC1(+,-):::ZNF517(-):::FAM83H(+):::PLEC(+,-):::LOC648526(-):::ZNF623:::MROH1(-):::OPLAH:::EXOSC4	CTD-3065J16.6(-):::EPPK1(-):::PLEC1(-):::GRINA(u,+,-):::PARP10(-):::NRBP2:::SPATC1(+,-):::ZNF517(-):::FAM83H(+):::PLEC(+,-):::LOC648526(-):::ZNF623:::MROH1(-):::OPLAH:::EXOSC4
126	NINJ1	CD25 on B cell (especially naïve IgD+ CD24-)	pQTL	IgD, CD19/CD20	CD25	pQTL	Obesity (early onset extreme)	decrease	not tested	activation		NINJ1(+,-)	NINJ1(+,-)
126	NINJ1	CD40 on CD14+CD16- monocyte	pQTL	CD14, HLA DR	CD40	pQTL	Obesity (early onset extreme)	decrease	not tested	activation		NINJ1(+,-)	NINJ1(+,-)
129	TNFSF15,TNFSF8	HLA DR+ T cell %lymphocyte	RC, AC	HLA DR, CD3	HLA DR, CD3	Count	Ulcerative colitis	increase	no	inhibition		AF086214:::TNFSF8(+):::LOC389786(+):::TNC(-):::DKFZp434D0215	AF086214:::TNFSF8(+):::LOC389786(+):::TNC(-):::DKFZp434D0215
131	IL2RA,RBM17	CD25 on B cell	pQTL	CD19/CD20	CD25	pQTL	Asthma and hay fever	increase	not tested	inhibition			
131	IL2RA,RBM17	CD25hi CD45RA+ CD4 not Treg %CD4+	RC	CD25, CD127, CD45RA, CD4, CD3	CD25, CD127, CD45RA, CD4, CD3	Count	Alopecia areata	increase	not tested	inhibition		ANKRD16(-):::IL2RA(+)	ANKRD16(-):::IL2RA(+)
131	IL2RA,RBM17	CD25hi CD45RA+ CD4 not Treg %CD4+	RC	CD25, CD127, CD45RA, CD4, CD3	CD25, CD127, CD45RA, CD4, CD3	Count	Primary Sclerosing Cholangitis	increase	not tested	inhibition		ANKRD16(-):::IL2RA(+)	ANKRD16(-):::IL2RA(+)
131	IL2RA,RBM17	CD25hi CD45RA+ CD4 not Treg %CD4+	RC	CD25, CD127, CD45RA, CD4, CD3	CD25, CD127, CD45RA, CD4, CD3	Count	Multiple sclerosis	increase	no	inhibition		ANKRD16(-):::IL2RA(+)	ANKRD16(-):::IL2RA(+)
131	IL2RA,RBM17	CD25hi CD45RA+ CD4 not Treg %CD4+	RC	CD25, CD127, CD45RA, CD4, CD3	CD25, CD127, CD45RA, CD4, CD3	Count	Psoriasis	increase	not tested	inhibition		ANKRD16(-):::IL2RA(+)	ANKRD16(-):::IL2RA(+)
131	IL2RA,RBM17	CD25 on CD45RA+ CD4 not Treg	pQTL	CD25, CD127, CD45RA, CD4, CD3	CD25	pQTL	Alopecia areata	increase	not tested	inhibition		ANKRD16(-):::IL2RA(+)	ANKRD16(-):::IL2RA(+)
131	IL2RA,RBM17	CD25 on CD45RA+ CD4 not Treg	pQTL	CD25, CD127, CD45RA, CD4, CD3	CD25	pQTL	Primary Sclerosing Cholangitis	increase	not tested	inhibition		ANKRD16(-):::IL2RA(+)	ANKRD16(-):::IL2RA(+)
131	IL2RA,RBM17	CD25 on CD45RA+ CD4 not Treg	pQTL	CD25, CD127, CD45RA, CD4, CD3	CD25	pQTL	Multiple sclerosis	increase	no	inhibition		ANKRD16(-):::IL2RA(+)	ANKRD16(-):::IL2RA(+)
131	IL2RA,RBM17	CD25 on CD45RA+ CD4 not Treg	pQTL	CD25, CD127, CD45RA, CD4, CD3	CD25	pQTL	Psoriasis	increase	not tested	inhibition		ANKRD16(-):::IL2RA(+)	ANKRD16(-):::IL2RA(+)
131	IL2RA	CD25 on IgD- CD38-	pQTL	CD25, CD19, CD20	CD25	pQTL	Autoimmune Thyroiditis	increase	not tested	inhibition		IL15RA	IL15RA
131	IL2RA	CD25 on IgD- CD38-	pQTL	CD25, CD19, CD20	CD25	pQTL	Vitiligo	increase	not tested	inhibition		IL15RA	IL15RA
131	IL2RA	CD25hi%CD4+ (especially CD25hi CD45RA- CD4 not Treg %CD4+)	RC, AC	CD25, CD45RO,CD4, CD3	CD25, CD4, CD3	Count	Juvenile Rheumatoid Arthritis	decrease	not tested	activation	Allergy, CRO	IL2RA(-)	IL2RA(-)
131	IL2RA	CD25hi%CD4+ (especially CD25hi CD45RA- CD4 not Treg %CD4+)	RC, AC	CD25, CD45RO,CD4, CD3	CD25, CD4, CD3	Count	Type 1 diabetes	decrease	yes	activation	Allergy, CRO	IL2RA(-)	IL2RA(-)
131	IL2RA	CD25hi%CD4+ (especially CD25hi CD45RA- CD4 not Treg %CD4+)	RC, AC	CD25, CD45RO,CD4, CD3	CD25, CD4, CD3	Count	Allergic disease (asthma, hay fever or eczema)	increase	yes	inhibition	T1D, PSC, JIA	IL2RA(+)	IL2RA(+)
131	IL2RA	CD25hi%CD4+ (especially CD25hi CD45RA- CD4 not Treg %CD4+)	RC, AC	CD25, CD45RO,CD4, CD3	CD25, CD4, CD3	Count	Crohn's disease	increase	yes	inhibition	T1D, PSC, JIA	IL2RA(+)	IL2RA(+)
131	IL2RA	CD25hi%CD4+ (especially CD25hi CD45RA- CD4 not Treg %CD4+)	RC, AC	CD25, CD45RO,CD4, CD3	CD25, CD4, CD3	Count	Primary sclerosing cholangitis	decrease	not tested	activation	Allergy, CRO	IL2RA(-)	IL2RA(-)
131	IL2RA	CD25hi%CD4+ (especially CD25hi CD45RA- CD4 not Treg %CD4+)	RC, AC	CD25, CD45RO,CD4, CD3	CD25, CD4, CD3	Count	Juvenile idiopathic arthritis (oligoarticular or rheumatoid factor-negative polyarticular)	decrease	not tested	activation	Allergy, CRO	IL2RA(-)	IL2RA(-)
131	IL2RA	CD25 on CD45RA- CD4 not Treg	pQTL	CD25, CD127, CD45RO,CD4, CD3	CD25	pQTL	Juvenile Rheumatoid Arthritis	decrease	not tested	activation	Allergy, CRO	IL2RA(-)	IL2RA(-)
131	IL2RA	CD25 on CD45RA- CD4 not Treg	pQTL	CD25, CD127, CD45RO,CD4, CD3	CD25	pQTL	Type 1 diabetes	decrease	yes	activation	Allergy, CRO	IL2RA(-)	IL2RA(-)
131	IL2RA	CD25 on CD45RA- CD4 not Treg	pQTL	CD25, CD127, CD45RO,CD4, CD3	CD25	pQTL	Allergic disease (asthma, hay fever or eczema)	increase	yes	inhibition	T1D, PSC, JIA	IL2RA(+)	IL2RA(+)
131	IL2RA	CD25 on CD45RA- CD4 not Treg	pQTL	CD25, CD127, CD45RO,CD4, CD3	CD25	pQTL	Crohn's disease	increase	yes	inhibition	T1D, PSC, JIA	IL2RA(+)	IL2RA(+)
131	IL2RA	CD25 on CD45RA- CD4 not Treg	pQTL	CD25, CD127, CD45RO,CD4, CD3	CD25	pQTL	Primary sclerosing cholangitis	decrease	not tested	activation	Allergy, CRO	IL2RA(-)	IL2RA(-)
131	IL2RA	CD25 on CD45RA- CD4 not Treg	pQTL	CD25, CD127, CD45RO,CD4, CD3	CD25	pQTL	Juvenile idiopathic arthritis (oligoarticular or rheumatoid factor-negative polyarticular)	decrease	not tested	activation	Allergy, CRO	IL2RA(-)	IL2RA(-)
131	IL2RA	CD25 on CD4+	pQTL	CD25, CD4, CD3	CD25	pQTL	Juvenile Rheumatoid Arthritis	decrease	not tested	activation	Allergy, CRO	IL2RA(-)	IL2RA(-)
131	IL2RA	CD25 on CD4+	pQTL	CD25, CD4, CD3	CD25	pQTL	Type 1 diabetes	decrease	yes	activation	Allergy, CRO	IL2RA(-)	IL2RA(-)
131	IL2RA	CD25 on CD4+	pQTL	CD25, CD4, CD3	CD25	pQTL	Allergic disease (asthma, hay fever or eczema)	increase	yes	inhibition	T1D, PSC, JIA	IL2RA(+)	IL2RA(+)
131	IL2RA	CD25 on CD4+	pQTL	CD25, CD4, CD3	CD25	pQTL	Crohn's disease	increase	yes	inhibition	T1D, PSC, JIA	IL2RA(+)	IL2RA(+)
131	IL2RA	CD25 on CD4+	pQTL	CD25, CD4, CD3	CD25	pQTL	Primary sclerosing cholangitis	decrease	not tested	activation	Allergy, CRO	IL2RA(-)	IL2RA(-)
131	IL2RA	CD25 on CD4+	pQTL	CD25, CD4, CD3	CD25	pQTL	Juvenile idiopathic arthritis (oligoarticular or rheumatoid factor-negative polyarticular)	decrease	not tested	activation	Allergy, CRO	IL2RA(-)	IL2RA(-)
131	IL2RA	CD25++ CD8br%Tcells	RC	CD25, CD8	CD25, CD8	Count	Juvenile Rheumatoid Arthritis	decrease	not tested	activation	Allergy, CRO	IL2RA(-)	IL2RA(-)
131	IL2RA	CD25++ CD8br%Tcells	RC	CD25, CD8	CD25, CD8	Count	Type 1 diabetes	decrease	yes	activation	Allergy, CRO	IL2RA(-)	IL2RA(-)
131	IL2RA	CD25++ CD8br%Tcells	RC	CD25, CD8	CD25, CD8	Count	Allergic disease (asthma, hay fever or eczema)	increase	yes	inhibition	T1D, PSC, JIA	IL2RA(+)	IL2RA(+)
131	IL2RA	CD25++ CD8br%Tcells	RC	CD25, CD8	CD25, CD8	Count	Crohn's disease	increase	yes	inhibition	T1D, PSC, JIA	IL2RA(+)	IL2RA(+)
131	IL2RA	CD25++ CD8br%Tcells	RC	CD25, CD8	CD25, CD8	Count	Primary sclerosing cholangitis	decrease	not tested	activation	Allergy, CRO	IL2RA(-)	IL2RA(-)
131	IL2RA	CD25++ CD8br%Tcells	RC	CD25, CD8	CD25, CD8	Count	Juvenile idiopathic arthritis (oligoarticular or rheumatoid factor-negative polyarticular)	decrease	not tested	activation	Allergy, CRO	IL2RA(-)	IL2RA(-)
158	TNFSF13B	B cell%lymphocyte (especially IgD+ CD24+ %lymphocyte)	RC, AC	IgD, CD24, CD19/CD20	IgD, CD24, CD19/CD20	Count	Systemic lupus erythematosus 	increase	yes	inhibition		TNFSF13B(+)	TNFSF13B(+)
158	TNFSF13B	B cell%lymphocyte (especially IgD+ CD24+ %lymphocyte)	RC, AC	IgD, CD24, CD19/CD20	IgD, CD24, CD19/CD20	Count	Multiple Sclerosis	increase	yes	inhibition		TNFSF13B(+)	TNFSF13B(+)
