Supplementary Table 2. Heritability of immunophenotypes.	Unnamed: 1	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12
MFI	B cell	Bcells.trait787	IgD on transitional	3755	0.392	0.0621	0.39202592556221155	0.04851222625945203	L	A	B cell	 Naive
MFI	B cell	Bcells.trait84	BAFF-R on B cell	3758	0.7218	0.0977	0.49384460141271436	0.05065590312815338	L	A	B cell	BOTH
MFI	B cell	Bcells.trait85	BAFF-R on CD20-	3746	0.3005	0.0567	0.11773858921161827	0.04595435684647303	L	A	B cell	
Relative count	B cell	N_BC_Trait3	Transitional %B cell	3755	0.3446	0.0599	0.2579324462640737	0.04779938587512794	L	A	B cell	 Naive
Absolute count	B cell	N_BC_Trait4	Transitional AC	3754	0.4971	0.0752	0.37838124535907497	0.04943248117110427	L	A	B cell	 Naive
Relative count	B cell	N_BC_Trait6	Transitional %lymphocyte	3754	0.4766	0.0734	0.3564169722367732	0.04924044002095338	L	A	B cell	 Naive
MFI	cDC	Blue.530.30.cDC.trait1	CD62L on CD62L+ myeloid DC 	2872	0.404	0.0754	0.40400717703349276	0.05542264752791068	M	I		
MFI	cDC	Blue.530.30.cDC.trait2	CD62L on CD62L+ plasmacytoid DC 	2872	0.4646	0.0809	0.46457460286521784	0.05555014131176299	L	I		
MFI	cDC	Blue.530.30.cDC.trait3	CD62L on CD62L+ DC	2871	0.4143	0.0764	0.41434886719469516	0.05544299134278872	BOTH	I		
MFI	cDC	Blue.530.30.cDC.trait4	CD62L on monocyte	2848	0.4369	0.083	0.31325175190879617	0.05585189833699405	M	I		
MFI	cDC	Blue.530.30.cDC.trait5	CD62L on granulocyte	2849	0.4992	0.0911	0.3282194848824188	0.05632698768197088	M	I		
MFI	cDC	Blue.670.LP.cDC.trait1	CD86 on myeloid DC	2871	0.556	0.1019	0.21726907630522088	0.05582329317269076	M	I		
MFI	cDC	Blue.670.LP.cDC.trait2	CD86 on CD62L+ myeloid DC	2871	0.4144	0.0829	0.15969274307661208	0.054275318374772584	M	I		
MFI	cDC	Blue.670.LP.cDC.trait3	CD86 on monocyte	2850	0.2236	0.058	0.2236377891023128	0.05360642885143081	M	I		
MFI	cDC	Blue.670.LP.cDC.trait4	CD86 on granulocyte	2848	0.4689	0.0833	0.4292756539235413	0.05603621730382294	M	I		
MFI	cDC	Blue.780.60.cDC.trait1	CD123 on plasmacytoid DC	2872	0.4359	0.0783	0.4358754641530991	0.055507950109492527	L	I		
MFI	cDC	Blue.780.60.cDC.trait2	CD123 on CD62L+ plasmacytoid DC	2872	0.4358	0.0783	0.4358533791523482	0.05546009927453226	L	I		
Absolute count	cDC	DC_Trait524	CD11c+ monocyte AC	3020	0.3469	0.07	0.27087576374745415	0.05348911994854754	M	I		
Relative count	cDC	DC_Trait525	CD11c+ monocyte %monocyte	3043	0.4473	0.0842	0.22230142566191446	0.053462321792260695	M	I		
Absolute count	cDC	DC_Trait526	CD62L- monocyte AC	3019	0.3712	0.0708	0.3711998475173925	0.0539407223863528	M	I		
Relative count	cDC	DC_Trait527	CD62L- monocyte %monocyte	3042	0.3765	0.0726	0.2987959121724173	0.05342507335829202	M	I		
Absolute count	cDC	DC_Trait530	CD11c+ CD62L- monocyte AC	3017	0.3505	0.0697	0.3102075938474777	0.053673227922985914	M	I		
Relative count	cDC	DC_Trait531	CD11c+ CD62L- monocyte %monocyte	3040	0.4688	0.0868	0.2416683704763852	0.05377223471682683	M	I		
Absolute count	cDC	DC_Trait532	CD62L- HLA DR++ monocyte AC	3018	0.3125	0.065	0.31253892464189326	0.05335270915507577	M	I		
Relative count	cDC	DC_Trait533	CD62L- HLA DR++ monocyte %monocyte	3041	0.6196	0.1061	0.2488975489693365	0.054763613988308896	M	I		
Absolute count	cDC	DC_Trait534	CD11c+ HLA DR++ monocyte AC	3019	0.3354	0.0687	0.26278603817357377	0.05335864178002742	M	I		
Relative count	cDC	DC_Trait535	CD11c+ HLA DR++ monocyte %monocyte	3042	0.4891	0.0902	0.21960904092852782	0.05375687232742823	M	I		
Absolute count	cDC	f_DC_Trait502	Myeloid DC AC	3387	0.665	0.0935	0.4206125222117696	0.050904149681195776	M	I		
Relative count	cDC	f_DC_Trait503	Myeloid DC %DC	3410	0.5988	0.0836	0.5059375	0.049895833333333334	M	I		
Absolute count	cDC	f_DC_Trait504	Plasmacytoid DC AC	3374	0.5502	0.0842	0.3927797833935018	0.050421179302045725	L	I		
Absolute count	cDC	f_DC_Trait505	DC AC	3374	0.6895	0.0965	0.3910382513661202	0.051147540983606556	BOTH	I		
Absolute count	cDC	f_DC_Trait508	CD62L- DC AC	3387	0.7235	0.0976	0.3854552946023898	0.05109188298310672	BOTH	I		
Relative count	cDC	f_DC_Trait509	CD62L- DC %DC	3410	0.8163	0.0927	0.40355786528083154	0.05116929842094744	BOTH	I		
Absolute count	cDC	f_DC_Trait512	CD86+ myeloid DC AC	3387	0.7911	0.0951	0.4160606060606061	0.05141414141414141	M	I		
Relative count	cDC	f_DC_Trait513	CD86+ myeloid DC %DC	3410	0.6875	0.0933	0.44504558661456767	0.05069632301372608	M	I		
Absolute count	cDC	f_DC_Trait514	CD86+ plasmacytoid DC AC	3374	0.3946	0.0698	0.23950200464232962	0.04874446085672083	L	I		
Relative count	cDC	f_DC_Trait515	CD86+ plasmacytoid DC %DC	3410	0.3711	0.0663	0.22963938411669368	0.04801458670988654	L	I		
Absolute count	cDC	f_DC_Trait516	CD62L- myeloid DC AC	3387	0.6936	0.0958	0.40354946052233537	0.05102349500857114	M	I		
Relative count	cDC	f_DC_Trait517	CD62L- myeloid DC %DC	3410	0.7413	0.0951	0.44341894060995185	0.05096308186195826	M	I		
Absolute count	cDC	f_DC_Trait518	CD62L- plasmacytoid DC AC	3374	0.3746	0.0663	0.29128965442058213	0.048947999563937646	L	I		
Relative count	cDC	f_DC_Trait519	CD62L- plasmacytoid DC %DC	3410	0.3014	0.0577	0.2730208333333333	0.04781250000000001	L	I		
Absolute count	cDC	f_DC_Trait520	CD62L- CD86+ myeloid DC AC	3387	0.7614	0.0942	0.4757959876235153	0.05120271484180058	M	I		
Relative count	cDC	f_DC_Trait521	CD62L- CD86+ myeloid DC %DC	3410	0.8136	0.0897	0.5038557836755133	0.05107661492238357	M	I		
Relative count	cDC	f_DC_Trait522	Plasmacytoid DC %DC	3410	0.5781	0.0822	0.4905114184625281	0.04985525892569958	L	I		
Morphological parameter	cDC	FSC.cDC.trait2	FSC-A on myeloid DC 	2872	0.2748	0.0625	0.2748408994484514	0.054221467967755614	M	I		
Morphological parameter	cDC	FSC.cDC.trait3	FSC-A on plasmacytoid DC	2872	0.4915	0.086	0.42455883888482826	0.05596742194841809	L	I		
Morphological parameter	cDC	FSC.cDC.trait4	FSC-A on monocyte	2850	0.3336	0.0687	0.3335853050117167	0.05510620606243858	M	I		
Morphological parameter	cDC	FSC.cDC.trait5	FSC-A on granulocyte	2850	0.5197	0.0867	0.5029597672318651	0.05598474967392395	M	I		
MFI	cDC	Red.660.20.cDC.trait1	CCR2 on myeloid DC	2870	0.5507	0.0979	0.31738999093746856	0.05648977947840097	M	I		
MFI	cDC	Red.660.20.cDC.trait2	CCR2 on CD62L+ myeloid DC	2870	0.4496	0.0796	0.44959984756097565	0.05564024390243903	M	I		
MFI	cDC	Red.660.20.cDC.trait3	CCR2 on plasmacytoid DC	2871	0.4337	0.0807	0.35683087861858814	0.05566277298120874	L	I		
MFI	cDC	Red.660.20.cDC.trait4	CCR2 on CD62L+ plasmacytoid DC	2871	0.4255	0.0796	0.35700497815706594	0.05557248806258255	L	I		
MFI	cDC	Red.660.20.cDC.trait5	CCR2 on monocyte 	2850	0.4786	0.0826	0.47858341428949924	0.05581559657334629	M	I		
MFI	cDC	Red.660.20.cDC.trait6	CCR2 on granulocyte	2850	0.4046	0.0758	0.40460069444444446	0.05564236111111112	M	I		
MFI	cDC	Red.780.60.cDC.trait1	CD80 on myeloid DC 	2871	0.2467	0.0598	0.24675707547169815	0.05375393081761007	M	I		
MFI	cDC	Red.780.60.cDC.trait2	CD80 on CD62L+ myeloid DC	2871	0.2663	0.0617	0.2631794033510421	0.05404577033101758	M	I		
MFI	cDC	Red.780.60.cDC.trait3	CD80 on plasmacytoid DC	2871	0.3629	0.0713	0.3628847494770395	0.05508516784540293	L	I		
MFI	cDC	Red.780.60.cDC.trait4	CD80 on CD62L+ plasmacytoid DC	2871	0.3652	0.0716	0.36057068741893644	0.055073331337922776	L	I		
MFI	cDC	Red.780.60.cDC.trait5	CD80 on monocyte	2850	0.4678	0.0816	0.46784922394678496	0.055801921655580206	M	I		
MFI	cDC	Red.780.60.cDC.trait6	CD80 on granulocyte	2850	0.4606	0.081	0.4605520926090828	0.05583259127337489	M	I		
Morphological parameter	cDC	SSC.cDC.trait2	SSC-A on myeloid DC 	2872	0.3744	0.0724	0.3743511450381679	0.05526717557251909	M	I		
Morphological parameter	cDC	SSC.cDC.trait3	SSC-A on plasmacytoid DC	2872	0.5345	0.0918	0.41825613079019075	0.05627750995598407	L	I		
Morphological parameter	cDC	SSC.cDC.trait4	SSC-A on monocyte	2850	0.6468	0.0979	0.5591176167405423	0.0562828574373776	M	I		
MFI	cDC	Violet.450.50.cDC.trait1	CD11c on myeloid DC	2872	0.4655	0.0816	0.4506437768240343	0.05568394409596126	M	I		
MFI	cDC	Violet.450.50.cDC.trait2	CD11c on CD62L+ myeloid DC	2872	0.4704	0.0822	0.45269078076753416	0.05569033965593295	M	I		
MFI	cDC	Violet.450.50.cDC.trait3	CD11c on monocyte 	2850	0.2894	0.0647	0.25923288228710956	0.054430766100315386	M	I		
MFI	cDC	Violet.450.50.cDC.trait4	CD11c on granulocyte 	2850	0.4698	0.0879	0.30162085976039466	0.05607570723849794	M	I		
MFI	cDC	Violet.510.50.cDC.trait2	HLA DR on myeloid DC	2872	0.6387	0.1022	0.454380664652568	0.05689828801611279	M	I		
MFI	cDC	Violet.510.50.cDC.trait3	HLA DR on plasmacytoid DC	2872	0.8076	0.0964	0.6515337423312884	0.05582822085889571	L	I		
MFI	cDC	Violet.510.50.cDC.trait4	HLA DR on DC	2871	0.7698	0.1061	0.4986924160128747	0.05733252866626433	BOTH	I		
MFI	Maturation stages of T cell	Blue.530.30.MT.trait10	CD3 on naive CD8br  	2910	0.634	0.0941	0.5490577632117986	0.055407619827939375	L	A	CD8	 Naive
MFI	Maturation stages of T cell	Blue.530.30.MT.trait11	CD3 on EM CD8br  	2912	0.4302	0.0776	0.38518215309046255	0.05485059353254196	L	A	CD8	Memory
MFI	Maturation stages of T cell	Blue.530.30.MT.trait12	CD3 on TD CD8br	2911	0.2544	0.0601	0.15275543041029768	0.05209171359613838	L	A	CD8	Memory
MFI	Maturation stages of T cell	Blue.530.30.MT.trait3	CD3 on CM CD4+	2912	0.6456	0.0957	0.5377387396588704	0.05556122970074558	L	A	CD4	Memory
MFI	Maturation stages of T cell	Blue.530.30.MT.trait4	CD3 on Naive CD4+	2910	0.9169	0.0691	0.6256152584085316	0.05609105824446268	L	A	CD4	 Naive
MFI	Maturation stages of T cell	Blue.530.30.MT.trait5	CD3 on EM CD4+ 	2912	0.5054	0.0881	0.3611823873550241	0.05542440726675562	L	A	CD4	Memory
MFI	Maturation stages of T cell	Blue.530.30.MT.trait6	CD3 on TD CD4+	2903	0.2078	0.0555	0.17025125628140703	0.051959798994974875	L	A	CD4	Memory
MFI	Maturation stages of T cell	Blue.530.30.MT.trait7	CD3 on CD45RA- CD4+	2911	0.5711	0.09	0.5048251530559302	0.055307668361523295	L	A	CD4	Memory
MFI	Maturation stages of T cell	Blue.530.30.MT.trait9	CD3 on CM CD8br  	2910	0.4536	0.0783	0.45179666958808057	0.05488606485539001	L	A	CD8	Memory
MFI	Maturation stages of T cell	Blue.670.LP.MT.trait1	CCR7 on naive CD4+	2910	0.6429	0.0977	0.4934742075823493	0.05593536357986326	L	A	CD4	 Naive
MFI	Maturation stages of T cell	Blue.670.LP.MT.trait3	CCR7 on naive CD8br	2910	0.662	0.1085	0.2686858316221766	0.05605749486652978	L	A	CD8	 Naive
MFI	Maturation stages of T cell	HVEM1000_150630.trait1	HVEM on T cell	1247	0.4859	0.1766	0.4859142905924535	0.1001365886972853	L	A		
MFI	Maturation stages of T cell	HVEM1000_150630.trait10	HVEM on naive CD8br 	1247	0.5642	0.1933	0.564146563036237	0.0986171393963864	L	A	CD8	 Naive
MFI	Maturation stages of T cell	HVEM1000_150630.trait11	HVEM on EM CD8br 	1247	0.5587	0.2072	0.39614364415425424	0.10263211589471537	L	A	CD8	Memory
MFI	Maturation stages of T cell	HVEM1000_150630.trait12	HVEM on TD CD8br 	1247	0.2399	0.1187	0.23995385502787925	0.100845991155547	L	A	CD8	Memory
MFI	Maturation stages of T cell	HVEM1000_150630.trait2	HVEM on CD4+ 	1247	0.5356	0.1874	0.5355623701651994	0.09921851815214167	L	A	CD4	BOTH
MFI	Maturation stages of T cell	HVEM1000_150630.trait3	HVEM on CM CD4+	1247	0.5756	0.1955	0.5756679483387558	0.09839298038055802	L	A	CD4	Memory
MFI	Maturation stages of T cell	HVEM1000_150630.trait4	HVEM on naive CD4+	1247	0.5596	0.1924	0.5595687930651255	0.09868859746610359	L	A	CD4	 Naive
MFI	Maturation stages of T cell	HVEM1000_150630.trait5	HVEM on EM CD4+	1247	0.3916	0.1544	0.3916472848619678	0.10112245929821014	L	A	CD4	Memory
MFI	Maturation stages of T cell	HVEM1000_150630.trait6	HVEM on TD CD4+	1245	0.4159	0.1717	0.19079685746352412	0.10254055708601165	L	A	CD4	Memory
MFI	Maturation stages of T cell	HVEM1000_150630.trait7	HVEM on CD45RA- CD4+	1247	0.5758	0.1956	0.575806614746637	0.09831091332052189	L	A	CD4	Memory
MFI	Maturation stages of T cell	HVEM1000_150630.trait8	HVEM on CD8br	1247	0.4211	0.1614	0.42104177411036614	0.10087674058793192	L	A	CD8	BOTH
MFI	Maturation stages of T cell	HVEM1000_150630.trait9	HVEM on CM CD8br	1247	0.3634	0.1475	0.3634608311879367	0.10123207061419638	L	A	CD8	Memory
Absolute count	Maturation stages of T cell	MT_ry_Trait514	CD45RA- CD4+ AC	3395	0.6349	0.0916	0.39893723681572085	0.05053138159213957	L	A	CD4	Memory
Relative count	Maturation stages of T cell	MT_ry_Trait515	CD45RA- CD4+ %CD4+	3427	0.7771	0.0889	0.5713093250655855	0.050202718817076074	L	A	CD4	Memory
Relative count	Maturation stages of T cell	MT_ry_Trait516	CD45RA- CD4+ %T cell	3427	0.7506	0.0915	0.5214816535067348	0.05039479795633999	L	A	CD4	Memory
Absolute count	Maturation stages of T cell	MT_Trait503	CM CD4+ AC	3395	0.5966	0.0877	0.40745699866103613	0.05036564012771655	L	A	CD4	Memory
Relative count	Maturation stages of T cell	MT_Trait504	CM CD4+ %CD4+	3427	0.863	0.0818	0.49549275802694215	0.051048313582497715	L	A	CD4	Memory
Relative count	Maturation stages of T cell	MT_Trait505	CM CD4+ %T cell	3427	0.7875	0.0931	0.4574382654085525	0.05089339490062237	L	A	CD4	Memory
Absolute count	Maturation stages of T cell	MT_Trait506	Naive CD4+ AC	3395	0.7879	0.09	0.5471281296023564	0.0508100147275405	L	A	CD4	 Naive
Relative count	Maturation stages of T cell	MT_Trait507	Naive CD4+ %CD4+	3427	0.794	0.0883	0.5683542729195173	0.05037940042293818	L	A	CD4	 Naive
Absolute count	Maturation stages of T cell	MT_Trait508	EM CD4+ AC	3395	0.5938	0.0871	0.41693340216830155	0.05028394424367579	L	A	CD4	Memory
Relative count	Maturation stages of T cell	MT_Trait509	EM CD4+ %CD4+	3427	0.631	0.0872	0.4815213491209186	0.049994019854084436	L	A	CD4	Memory
Relative count	Maturation stages of T cell	MT_Trait510	EM CD4+ %T cell	3427	0.5813	0.0825	0.48236744759556105	0.049691738594327996	L	A	CD4	Memory
Absolute count	Maturation stages of T cell	MT_Trait511	TD CD4+ AC	3395	0.3734	0.0655	0.2930137684854666	0.04864864864864865	L	A	CD4	Memory
Relative count	Maturation stages of T cell	MT_Trait512	TD CD4+ %CD4+	3427	0.3156	0.0589	0.26725869542234915	0.04767945871656624	L	A	CD4	Memory
Relative count	Maturation stages of T cell	MT_Trait513	TD CD4+ %T cell	3427	0.339	0.0617	0.2593068035943517	0.04781771501925545	L	A	CD4	Memory
Absolute count	Maturation stages of T cell	MT_Trait522	CM CD8br AC	3395	0.5747	0.0885	0.3279633113828786	0.05009407337723424	L	A	CD8	Memory
Relative count	Maturation stages of T cell	MT_Trait523	CM  CD8br %CD8br	3427	0.5774	0.0907	0.25183169353150514	0.04929872304793804	L	A	CD8	Memory
Relative count	Maturation stages of T cell	MT_Trait524	CM CD8br %T cell	3427	0.5316	0.0826	0.34302262047863624	0.04950278658070156	L	A	CD8	Memory
Absolute count	Maturation stages of T cell	MT_Trait525	Naive CD8br AC	3395	0.6531	0.0912	0.443155452436195	0.0505800464037123	L	A	CD8	 Naive
Relative count	Maturation stages of T cell	MT_Trait526	Naive  CD8br %CD8br	3427	0.6483	0.0905	0.4387615128355869	0.05016656868508721	L	A	CD8	 Naive
Relative count	Maturation stages of T cell	MT_Trait527	Naive CD8br %T cell	3427	0.6611	0.0876	0.5243168133395091	0.05002315886984716	L	A	CD8	 Naive
Absolute count	Maturation stages of T cell	MT_Trait528	EM CD8br AC	3395	0.549	0.082	0.42567567567567566	0.05006142506142506	L	A	CD8	Memory
Relative count	Maturation stages of T cell	MT_Trait529	EM CD8br %CD8br	3427	0.5257	0.079	0.4234988452655889	0.04950923787528868	L	A	CD8	Memory
Relative count	Maturation stages of T cell	MT_Trait530	EM CD8br %T cell	3427	0.6254	0.0885	0.44006810442678773	0.050056753688989784	L	A	CD8	Memory
Absolute count	Maturation stages of T cell	MT_Trait531	TD CD8br AC	3395	0.3116	0.0583	0.30593375330217437	0.048160942897785004	L	A	CD8	Memory
Relative count	Maturation stages of T cell	MT_Trait532	TD  CD8br %CD8br	3427	0.3154	0.0581	0.3153943751321633	0.04789596109113978	L	A	CD8	Memory
Relative count	Maturation stages of T cell	MT_Trait533	TD CD8br %T cell	3427	0.3298	0.0597	0.3125264047317279	0.048056611744824666	L	A	CD8	Memory
Absolute count	Maturation stages of T cell	MT_Trait537	CD45RA+ CD8br AC	3395	0.5499	0.0878	0.26441379310344826	0.049655172413793094	L	A	CD8	BOTH
Relative count	Maturation stages of T cell	MT_Trait538	CD45RA+ CD8br  %CD8br	3427	0.5873	0.0856	0.4225211045929318	0.049935613106309916	L	A	CD8	BOTH
Relative count	Maturation stages of T cell	MT_Trait539	CD45RA+ CD8br %T cell	3427	0.5983	0.092	0.2794889038332212	0.049630127774041695	L	A	CD8	BOTH
Absolute count	Maturation stages of T cell	MT_Trait542	CM DN (CD4-CD8-) AC	3395	0.3193	0.061	0.17789228315544106	0.04723346828609987	L	A		
Relative count	Maturation stages of T cell	MT_Trait543	CM DN (CD4-CD8-) %DN	3427	0.1753	0.0468	0.16424557310995652	0.04548828332096278	L	A		
Relative count	Maturation stages of T cell	MT_Trait544	CM DN (CD4-CD8-) %T cell	3427	0.3672	0.0663	0.18156956004756244	0.04732461355529132	L	A		
Absolute count	Maturation stages of T cell	MT_Trait545	Naive DN (CD4-CD8-) AC	3395	0.4237	0.0714	0.3023860507800551	0.04909758335882533	L	A		
Relative count	Maturation stages of T cell	MT_Trait546	Naive DN (CD4-CD8-) %DN	3427	0.4034	0.0681	0.3147951351989609	0.048648010390837174	L	A		
Relative count	Maturation stages of T cell	MT_Trait547	Naive DN (CD4-CD8-) %T cell	3427	0.4619	0.0748	0.3265073947667804	0.04906143344709898	L	A		
Absolute count	Maturation stages of T cell	MT_Trait548	EM DN (CD4-CD8-) AC	3395	0.5175	0.078	0.4394422781519556	0.04974595297175942	L	A		
Relative count	Maturation stages of T cell	MT_Trait549	EM DN (CD4-CD8-) %DN	3427	0.5171	0.0824	0.29623304871923656	0.049321948769462574	L	A		
Relative count	Maturation stages of T cell	MT_Trait550	EM DN (CD4-CD8-) %T cell	3427	0.5923	0.0864	0.4158946310972207	0.04989396137961826	L	A		
Absolute count	Maturation stages of T cell	MT_Trait551	TD DN (CD4-CD8-) AC	3395	0.4183	0.0718	0.25547908946532555	0.048703017469560614	L	A		
Relative count	Maturation stages of T cell	MT_Trait552	TD DN (CD4-CD8-) %DN	3427	0.4569	0.0749	0.3031669570564723	0.04888797786204776	L	A		
Relative count	Maturation stages of T cell	MT_Trait553	TD DN (CD4-CD8-) %T cell	3427	0.4175	0.0702	0.2971311475409836	0.048668032786885244	L	A		
Relative count	Maturation stages of T cell	MT_Trait560	Naive CD4+  %T cell	3427	0.7968	0.0901	0.5209901893680128	0.05065023956194387	L	A	CD4	 Naive
MFI	Maturation stages of T cell	Red.660.20.MT.trait1	CD4 on CD4+  	2912	0.5899	0.096	0.41759578349888504	0.055949726332860335	L	A	CD4	BOTH
MFI	Maturation stages of T cell	Red.660.20.MT.trait2	CD4 on CM CD4 +	2912	0.6993	0.1035	0.45092460881934565	0.056390977443609026	L	A	CD4	Memory
MFI	Maturation stages of T cell	Red.660.20.MT.trait3	CD4 on naive CD4+ 	2910	0.5966	0.0939	0.480044683659998	0.0557530212247385	L	A	CD4	 Naive
MFI	Maturation stages of T cell	Red.660.20.MT.trait4	CD4 on EM CD4+ 	2912	0.4224	0.0784	0.3241273100616016	0.05472279260780288	L	A	CD4	Memory
MFI	Maturation stages of T cell	Red.660.20.MT.trait5	CD4 on TD CD4+  	2903	0.3174	0.0682	0.12607823470411234	0.05235707121364093	L	A	CD4	Memory
MFI	Maturation stages of T cell	Red.660.20.MT.trait6	CD4 on CD45RA+ CD4+  	2911	0.6039	0.0971	0.42576374745417517	0.0560081466395112	L	A	CD4	 Naive
MFI	Maturation stages of T cell	Red.780.60.MT.trait2	CD8 on CM CD8br 	2910	0.4128	0.0787	0.26737266767523954	0.05446293494704992	L	A	CD8	Memory
MFI	Maturation stages of T cell	Red.780.60.MT.trait3	CD8 on naive CD8br	2910	0.6626	0.107	0.31415241057542764	0.05629860031104199	L	A	CD8	 Naive
MFI	Maturation stages of T cell	Red.780.60.MT.trait4	CD8 on EM CD8br  	2912	0.3916	0.0763	0.2437569507633202	0.05419067839450006	L	A	CD8	Memory
MFI	Maturation stages of T cell	Red.780.60.MT.trait5	CD8 on TD CD8br	2911	0.3669	0.0738	0.19771176234444	0.053592934564431954	L	A	CD8	Memory
MFI	Maturation stages of T cell	Violet.450.50.MT.trait1	CD45RA on naive CD4+ 	2910	0.8184	0.0973	0.5210592398128067	0.056614541718981844	L	A	CD4	 Naive
MFI	Maturation stages of T cell	Violet.450.50.MT.trait2	CD45RA on TD CD4+ 	2903	0.169	0.0524	0.1609716762423143	0.05150690454591271	L	A	CD4	Memory
MFI	Maturation stages of T cell	Violet.450.50.MT.trait3	CD45RA on naive CD8br	2910	0.6621	0.1081	0.28127687016337055	0.0561049011177988	L	A	CD8	 Naive
MFI	Maturation stages of T cell	Violet.450.50.MT.trait4	CD45RA on TD CD8br	2911	0.2571	0.0605	0.13092118524491028	0.051804071759725866	L	A	CD8	Memory
MFI	Monocyte	mono.trait1	CD16 on CD14- CD16+ monocyte	3717	0.7513	0.0863	0.7201283079390537	0.048416198877305534	M	I		
MFI	Monocyte	mono.trait10	CD40 on CD14+ CD16- monocyte	3727	0.2905	0.0542	0.2905261114346729	0.04785478547854785	M	I		
MFI	Monocyte	mono.trait11	CD40 on CD14+ CD16+ monocyte 	3716	0.327	0.0574	0.326984126984127	0.04839124839124839	M	I		
MFI	Monocyte	mono.trait12	CCR2 on CD14- CD16+ monocyte 	3719	0.3364	0.061	0.14425966740132237	0.046984572230014024	M	I		
MFI	Monocyte	mono.trait14	CD14 on CD14+ CD16+  monocyte	3727	0.4704	0.0689	0.4703667953667954	0.04922779922779923	M	I		
MFI	Monocyte	mono.trait16	HLA DR on CD14- CD16+ monocyte	3719	0.6831	0.0961	0.45758381030253475	0.05100163532297629	M	I		
MFI	Monocyte	mono.trait17	CD40 on monocytes	3727	0.3606	0.06	0.3599919823611946	0.048606935257566646	M	I		
MFI	Monocyte	mono.trait19	CD14 on CD14+ CD16- monocyte	3727	0.4704	0.0689	0.4703667953667954	0.04922779922779923	M	I		
MFI	Monocyte	mono.trait2	CD64 on CD14+ CD16- monocyte 	3720	0.6337	0.0881	0.4940972928963973	0.05047832281701608	M	I		
MFI	Monocyte	mono.trait21	HLA DR on CD14+ CD16- monocyte	3727	0.5225	0.0762	0.4479187613110798	0.04976875125678665	M	I		
MFI	Monocyte	mono.trait22	CD40 on CD14- CD16+ monocyte 	3719	0.4715	0.0691	0.4715454629033742	0.04927829364714536	M	I		
MFI	Monocyte	mono.trait24	CD64 on CD14- CD16+ monocyte 	3712	0.3224	0.057	0.32235340807619806	0.04831828554420081	M	I		
MFI	Monocyte	mono.trait25	HLA DR on CD14+ monocyte	3727	0.5242	0.077	0.43454234904049027	0.04983422083793831	M	I		
MFI	Monocyte	mono.trait28	 CCR2 on CD14+ CD16+ monocyte	3716	0.2279	0.0497	0.17989898989898992	0.046464646464646465	M	I		
MFI	Monocyte	mono.trait29	PDL-1 on CD14+ CD16- monocyte	3727	0.33	0.0575	0.3300039169604387	0.04827653740697218	M	I		
MFI	Monocyte	mono.trait3	CX3CR1 on CD14- CD16- 	3687	0.516	0.0842	0.2513931888544892	0.05015479876160991				
MFI	Monocyte	mono.trait33	CX3CR1 on monocyte	3687	0.4864	0.0743	0.4152445961319681	0.050160306133002375	M	I		
MFI	Monocyte	mono.trait35	CX3CR1 on CD14+ CD16+ monocyte	3676	0.3798	0.0648	0.2975535168195718	0.049337410805300706	M	I		
MFI	Monocyte	mono.trait36	CX3CR1 on CD14+ CD16- monocyte	3687	0.5768	0.0848	0.4479485609308022	0.050724637681159424	M	I		
MFI	Monocyte	mono.trait39	PDL-1 on CD14+ CD16+ monocyte	3716	0.2699	0.0532	0.22678142514011207	0.04733787029623699	M	I		
MFI	Monocyte	mono.trait4	PDL-1 on CD14- CD16+ monocyte	3719	0.6014	0.095	0.24494068387997212	0.050343933805203876	M	I		
MFI	Monocyte	mono.trait41	PDL-1 on CD14- CD16- 	3727	0.1746	0.0454	0.09491869918699186	0.04451219512195122				
MFI	Monocyte	mono.trait42	CD64 on CD14- CD16- 	3720	0.2004	0.0476	0.16457273388017857	0.04589346900633372				
MFI	Monocyte	mono.trait43	PDL-1 on monocyte	3727	0.3599	0.0611	0.3093237294917967	0.04851940776310524	M	I		
MFI	Monocyte	mono.trait44	CCR2 on CD14- CD16- 	3727	0.441	0.0703	0.32817713072490146	0.04933778182185826				
MFI	Monocyte	mono.trait46	CCR2 on CD14+ CD16- monocyte	3727	0.4968	0.071	0.4967877936157398	0.04928729170849227	M	I		
MFI	Monocyte	mono.trait47	CD16 on CD14+ CD16+ monocyte	3714	0.4506	0.0693	0.40486279257465696	0.04953591606133979	M	I		
MFI	Monocyte	mono.trait48	CD64 on monocyte	3720	0.5216	0.0764	0.4431095406360424	0.049873801110550224	M	I		
MFI	Monocyte	mono.trait50	HLA DR on CD14+ CD16+ monocyte	3716	0.5551	0.0806	0.4454017231015829	0.05019034261671008	M	I		
MFI	Monocyte	mono.trait52	CCR2 on monocyte	3727	0.4377	0.0664	0.43770642201834864	0.049082568807339445	M	I		
MFI	Monocyte	mono.trait53	HLA DR on CD14- CD16- 	3727	0.5389	0.078	0.45444489139179406	0.049879324215607396				
MFI	Monocyte	mono.trait54	HLA DR on monocyte	3727	0.5696	0.0851	0.381519217189549	0.05033794007868455	M	I		
