barcode,in_tissue,array_row,array_col,pxl_row_in_fullres,pxl_col_in_fullres
Spot_745-1,1,25,24,1350,1300
Spot_746-1,1,26,24,1400,1300
Spot_747-1,1,27,24,1450,1300
Spot_748-1,1,28,24,1500,1300
Spot_749-1,1,29,24,1550,1300
Spot_750-1,1,0,25,100,1350
Spot_751-1,1,1,25,150,1350
Spot_752-1,1,2,25,200,1350
Spot_753-1,1,3,25,250,1350
Spot_754-1,1,4,25,300,1350
Spot_755-1,1,5,25,350,1350
Spot_756-1,1,6,25,400,1350
Spot_757-1,1,7,25,450,1350
Spot_758-1,1,8,25,500,1350
Spot_759-1,1,9,25,550,1350
Spot_760-1,1,10,25,600,1350
Spot_761-1,1,11,25,650,1350
Spot_762-1,1,12,25,700,1350
Spot_763-1,1,13,25,750,1350
Spot_764-1,1,14,25,800,1350
Spot_765-1,1,15,25,850,1350
Spot_766-1,1,16,25,900,1350
Spot_767-1,1,17,25,950,1350
Spot_768-1,1,18,25,1000,1350
Spot_769-1,1,19,25,1050,1350
Spot_770-1,1,20,25,1100,1350
Spot_771-1,1,21,25,1150,1350
Spot_772-1,1,22,25,1200,1350
Spot_773-1,1,23,25,1250,1350
Spot_774-1,1,24,25,1300,1350
Spot_775-1,1,25,25,1350,1350
Spot_776-1,1,26,25,1400,1350
Spot_777-1,1,27,25,1450,1350
Spot_778-1,1,28,25,1500,1350
Spot_779-1,1,29,25,1550,1350
Spot_780-1,1,0,26,100,1400
Spot_781-1,1,1,26,150,1400
Spot_782-1,1,2,26,200,1400
Spot_783-1,1,3,26,250,1400
Spot_784-1,1,4,26,300,1400
Spot_785-1,1,5,26,350,1400
Spot_786-1,1,6,26,400,1400
Spot_787-1,1,7,26,450,1400
Spot_788-1,1,8,26,500,1400
Spot_789-1,1,9,26,550,1400
Spot_790-1,1,10,26,600,1400
Spot_791-1,1,11,26,650,1400
Spot_792-1,1,12,26,700,1400
Spot_793-1,1,13,26,750,1400
Spot_794-1,1,14,26,800,1400
Spot_795-1,1,15,26,850,1400
Spot_796-1,1,16,26,900,1400
Spot_797-1,1,17,26,950,1400
Spot_798-1,1,18,26,1000,1400
Spot_799-1,1,19,26,1050,1400
Spot_800-1,1,20,26,1100,1400
Spot_801-1,1,21,26,1150,1400
Spot_802-1,1,22,26,1200,1400
Spot_803-1,1,23,26,1250,1400
Spot_804-1,1,24,26,1300,1400
Spot_805-1,1,25,26,1350,1400
Spot_806-1,1,26,26,1400,1400
Spot_807-1,1,27,26,1450,1400
Spot_808-1,1,28,26,1500,1400
Spot_809-1,1,29,26,1550,1400
Spot_810-1,1,0,27,100,1450
Spot_811-1,1,1,27,150,1450
Spot_812-1,1,2,27,200,1450
Spot_813-1,1,3,27,250,1450
Spot_814-1,1,4,27,300,1450
Spot_815-1,1,5,27,350,1450
Spot_816-1,1,6,27,400,1450
Spot_817-1,1,7,27,450,1450
Spot_818-1,1,8,27,500,1450
Spot_819-1,1,9,27,550,1450
Spot_820-1,1,10,27,600,1450
Spot_821-1,1,11,27,650,1450
Spot_822-1,1,12,27,700,1450
Spot_823-1,1,13,27,750,1450
Spot_824-1,1,14,27,800,1450
Spot_825-1,1,15,27,850,1450
Spot_826-1,1,16,27,900,1450
Spot_827-1,1,17,27,950,1450
Spot_828-1,1,18,27,1000,1450
Spot_829-1,1,19,27,1050,1450
Spot_830-1,1,20,27,1100,1450
Spot_831-1,1,21,27,1150,1450
Spot_832-1,1,22,27,1200,1450
Spot_833-1,1,23,27,1250,1450
Spot_834-1,1,24,27,1300,1450
Spot_835-1,1,25,27,1350,1450
Spot_836-1,1,26,27,1400,1450
Spot_837-1,1,27,27,1450,1450
Spot_838-1,1,28,27,1500,1450
Spot_839-1,1,29,27,1550,1450
Spot_840-1,1,0,28,100,1500
Spot_841-1,1,1,28,150,1500
Spot_842-1,1,2,28,200,1500
Spot_843-1,1,3,28,250,1500
Spot_844-1,1,4,28,300,1500
Spot_845-1,1,5,28,350,1500
Spot_846-1,1,6,28,400,1500
Spot_847-1,1,7,28,450,1500
Spot_848-1,1,8,28,500,1500
Spot_849-1,1,9,28,550,1500
Spot_850-1,1,10,28,600,1500
Spot_851-1,1,11,28,650,1500
Spot_852-1,1,12,28,700,1500
Spot_853-1,1,13,28,750,1500
Spot_854-1,1,14,28,800,1500
Spot_855-1,1,15,28,850,1500
Spot_856-1,1,16,28,900,1500
Spot_857-1,1,17,28,950,1500
Spot_858-1,1,18,28,1000,1500
Spot_859-1,1,19,28,1050,1500
Spot_860-1,1,20,28,1100,1500
Spot_861-1,1,21,28,1150,1500
Spot_862-1,1,22,28,1200,1500
Spot_863-1,1,23,28,1250,1500
Spot_864-1,1,24,28,1300,1500
Spot_865-1,1,25,28,1350,1500
Spot_866-1,1,26,28,1400,1500
Spot_867-1,1,27,28,1450,1500
Spot_868-1,1,28,28,1500,1500
Spot_869-1,1,29,28,1550,1500
Spot_870-1,1,0,29,100,1550
Spot_871-1,1,1,29,150,1550
Spot_872-1,1,2,29,200,1550
Spot_873-1,1,3,29,250,1550
Spot_874-1,1,4,29,300,1550
Spot_875-1,1,5,29,350,1550
Spot_876-1,1,6,29,400,1550
Spot_877-1,1,7,29,450,1550
Spot_878-1,1,8,29,500,1550
Spot_879-1,1,9,29,550,1550
Spot_880-1,1,10,29,600,1550
Spot_881-1,1,11,29,650,1550
Spot_882-1,1,12,29,700,1550
Spot_883-1,1,13,29,750,1550
Spot_884-1,1,14,29,800,1550
Spot_885-1,1,15,29,850,1550
Spot_886-1,1,16,29,900,1550
Spot_887-1,1,17,29,950,1550
Spot_888-1,1,18,29,1000,1550
Spot_889-1,1,19,29,1050,1550
Spot_890-1,1,20,29,1100,1550
Spot_891-1,1,21,29,1150,1550
Spot_892-1,1,22,29,1200,1550
Spot_893-1,1,23,29,1250,1550
Spot_894-1,1,24,29,1300,1550
Spot_895-1,1,25,29,1350,1550
Spot_896-1,1,26,29,1400,1550
Spot_897-1,1,27,29,1450,1550
Spot_898-1,1,28,29,1500,1550
Spot_899-1,1,29,29,1550,1550
