Geneid	https://zenodo.org/records/14056162/files/SRR5085169.tabular_SRR5085169	https://zenodo.org/records/14056162/files/SRR5085170.tabular_SRR5085170	https://zenodo.org/records/14056162/files/SRR5085167.tabular_SRR5085167	https://zenodo.org/records/14056162/files/SRR5085168.tabular_SRR5085168
YGR253C	42	27	20	29
YGR254W	554	385	274	385
YGR255C	25	19	12	13
YGR260W	67	41	32	31
YGR261C	37	12	21	30
YGR262C	14	11	8	5
YGR264C	202	111	99	131
YGR266W	23	13	11	11
YGR267C	18	9	7	13
YGR270W	38	24	17	21
YGR271C-A	14	7	0	11
YGR271W	33	15	14	13
YGR274C	19	10	9	14
YGR276C	21	15	7	13
YGR277C	22	8	4	15
YGR278W	13	14	11	4
YGR279C	257	148	142	233
YGR280C	20	10	4	15
YGR281W	42	10	12	15
YGR282C	176	132	117	148
YGR284C	27	16	12	8
YGR285C	174	106	93	137
YGR286C	10	10	6	5
YGR295C	11	7	3	12
YHL001W	35	22	12	24
YHL003C	35	30	23	24
YHL007C	21	17	5	9
YHL011C	123	60	68	79
YHL015W	457	291	252	289
YHL017W	38	18	16	13
YHL025W	21	17	6	19
YHL030W	59	52	23	42
YHL033C	173	119	96	134
YHL034C	48	26	16	33
YHL035C	13	6	11	11
YHL038C	14	12	7	8
YHL039W	35	27	16	22
YHR001W	16	17	10	11
YHR003C	28	19	13	20
YHR005C	80	53	38	81
YHR005C-A	28	25	11	14
YHR007C	216	133	146	161
YHR008C	24	17	7	12
YHR009C	16	19	8	19
YHR010W	190	121	87	121
YHR018C	45	21	23	25
YHR019C	183	116	112	175
YHR020W	102	49	52	51
YHR021C	86	37	41	39
YHR023W	81	43	34	39
YHR025W	43	28	28	36
YHR026W	109	74	57	68
YHR027C	97	90	52	71
YHR028C	74	45	33	39
YHR030C	15	10	10	10
YHR031C	12	8	9	13
YHR032W	26	27	18	26
YHR037W	26	15	7	15
YHR039C	23	3	25	14
YHR039C-A	92	42	52	55
YHR042W	45	25	21	37
YHR045W	39	21	17	21
YHR047C	71	40	16	19
YHR049W	32	6	12	15
YHR050W	22	12	16	16
YHR052W	38	21	18	19
YHR056C	12	7	7	11
YHR063C	30	18	11	16
YHR064C	161	100	88	114
YHR065C	27	20	20	16
YHR066W	34	29	14	21
YHR068W	82	43	47	62
YHR069C	12	7	12	6
YHR070W	15	15	5	13
YHR072W	26	15	23	17
YHR072W-A	34	18	14	13
YHR073W	25	17	11	16
YHR074W	29	16	14	21
YHR077C	48	24	18	25
YHR079C	14	10	8	19
YHR082C	28	12	11	16
YHR083W	14	19	15	12
YHR086W	11	11	11	5
YHR089C	22	11	12	14
YHR092C	41	39	14	11
YHR094C	33	10	6	4
YHR098C	47	30	19	44
YHR099W	53	28	30	32
YHR103W	35	23	17	23
YHR104W	14	12	9	10
YHR107C	22	13	12	12
YHR108W	27	7	14	14
YHR113W	19	21	12	9
YHR114W	26	15	10	11
YHR115C	27	14	18	16
YHR117W	34	27	19	26
YHR119W	13	4	11	13
YHR120W	17	10	6	5
YHR121W	13	14	12	6
YHR123W	15	13	11	11
YHR128W	35	19	20	21
YHR131C	7	11	21	17
YHR132C	31	16	12	19
YHR133C	22	7	14	9
YHR135C	29	15	15	19
YHR136C	13	10	22	26
YHR137W	19	16	19	17
YHR141C	195	167	126	212
YHR143W	34	17	10	23
YHR143W-A	41	19	19	27
YHR146W	23	14	6	6
YHR154W	21	11	16	14
YHR158C	17	9	16	10
YHR161C	10	10	3	6
YHR162W	97	61	63	44
YHR163W	42	32	27	31
YHR164C	20	10	4	11
YHR165C	39	30	18	28
YHR168W	23	7	5	15
YHR170W	198	110	92	133
YHR174W	4173	2638	2415	3266
YHR179W	78	57	72	105
YHR181W	18	2	9	10
YHR183W	113	95	81	138
YHR186C	18	3	9	11
YHR188C	30	21	18	17
YHR190W	98	68	54	67
YHR193C	50	22	32	30
YHR195W	12	17	8	7
YHR196W	32	33	32	16
YHR197W	29	11	15	13
YHR199C	22	18	6	16
YHR200W	25	22	23	18
YHR201C	29	27	9	30
YHR203C	274	161	118	189
YHR206W	21	9	5	10
YHR208W	86	60	64	95
YIL002C	30	13	11	18
YIL009W	26	12	15	23
YIL014W	20	13	13	11
YIL015W	40	28	18	31
YIL018W	997	645	564	588
YIL019W	14	5	2	10
YIL020C	23	12	15	9
YIL021W	32	19	18	18
YIL022W	23	17	10	10
YIL023C	13	12	8	9
YIL026C	18	11	15	21
YIL030C	41	16	32	35
YIL033C	36	28	17	10
YIL034C	14	15	7	6
YIL035C	44	22	22	34
YIL036W	19	23	11	12
YIL038C	29	18	20	29
YIL039W	33	18	11	11
YIL041W	39	35	22	48
YIL043C	92	44	53	51
YIL047C	51	30	28	45
YIL050W	11	11	5	9
YIL051C	50	26	23	26
YIL052C	292	187	162	156
YIL053W	255	154	140	192
YIL062C	51	39	31	27
YIL064W	20	11	5	16
YIL067C	14	10	19	11
YIL068C	15	11	6	10
YIL069C	66	37	27	33
YIL070C	22	14	7	7
YIL074C	47	27	26	34
YIL075C	113	63	55	80
YIL076W	40	25	22	25
YIL078W	417	264	217	234
YIL085C	39	30	33	24
YIL088C	33	16	23	30
YIL090W	26	7	15	10
YIL091C	38	25	17	29
YIL093C	13	8	6	18
YIL094C	63	37	31	43
YIL103W	5	11	5	12
YIL105C	18	6	10	14
YIL109C	63	28	39	56
YIL110W	25	18	13	12
YIL112W	26	13	9	12
YIL115C	45	21	23	27
YIL116W	12	10	8	7
YIL118W	18	17	14	19
YIL121W	27	10	8	13
YIL123W	30	20	20	39
YIL124W	25	29	15	20
YIL125W	17	16	13	17
YIL126W	29	32	24	29
YIL128W	23	15	7	10
YIL129C	38	20	20	22
YIL130W	30	14	12	12
YIL133C	144	101	82	77
YIL137C	19	21	22	20
YIL138C	17	10	7	12
YIL142W	89	65	50	73
YIL143C	13	10	6	9
YIL145C	57	26	45	64
YIL147C	26	22	13	19
YIL148W	456	298	275	266
YIL149C	38	30	19	27
YIL157C	10	12	4	8
YIR002C	13	7	11	15
YIR004W	17	13	5	11
YIR006C	36	23	10	22
YIR008C	21	11	4	10
YIR012W	25	11	10	20
YIR022W	25	12	12	16
YIR033W	44	33	11	22
YIR034C	17	7	6	12
YIR035C	10	7	11	3
YIR037W	15	12	11	16
YJL001W	18	12	8	8
YJL002C	111	80	49	93
YJL005W	34	19	13	14
YJL008C	117	79	62	67
YJL010C	31	19	10	18
YJL012C	76	48	91	133
YJL014W	64	54	38	41
YJL016W	9	12	5	13
YJL020C	36	16	9	20
YJL026W	114	61	45	59
YJL029C	26	9	10	10
YJL031C	21	12	8	5
YJL033W	39	21	16	17
YJL034W	170	98	130	159
YJL035C	10	7	8	11
YJL036W	14	10	7	9
YJL039C	33	30	25	25
YJL041W	23	16	15	11
YJL042W	11	18	7	11
YJL044C	32	13	10	14
YJL050W	69	42	47	54
YJL052W	81	57	25	37
YJL054W	37	19	17	24
YJL055W	21	11	9	10
YJL061W	23	7	10	14
YJL068C	22	12	5	11
YJL069C	50	25	27	20
YJL073W	17	13	17	33
YJL074C	30	20	13	16
YJL076W	30	22	18	18
YJL078C	16	9	4	10
YJL079C	24	14	10	19
YJL080C	134	77	71	92
YJL081C	19	8	11	16
YJL085W	11	9	10	2
YJL091C	18	9	6	10
YJL093C	19	9	12	10
YJL098W	42	36	22	22
YJL101C	13	12	16	21
YJL109C	135	73	89	103
YJL111W	95	66	50	85
YJL112W	9	11	11	8
YJL117W	13	17	14	14
YJL121C	17	6	10	11
YJL123C	56	39	23	41
YJL124C	17	10	1	5
YJL129C	35	15	14	18
YJL130C	222	128	119	184
YJL136C	225	152	122	135
YJL138C	46	21	24	27
YJL140W	33	23	16	13
YJL145W	20	15	9	15
YJL148W	25	17	14	17
YJL154C	40	39	16	28
YJL157C	44	24	28	27
YJL158C	137	79	71	100
YJL159W	125	82	82	102
YJL167W	92	48	35	61
YJL168C	23	12	11	17
YJL171C	11	5	9	11
YJL172W	28	21	27	34
YJL173C	12	16	13	6
YJL174W	22	16	10	6
YJL176C	15	11	5	10
YJL177W	170	118	73	94
YJL178C	25	14	6	19
YJL183W	59	51	37	44
YJL186W	62	30	20	30
YJL189W	102	55	43	56
YJL190C	353	220	215	226
YJL191W	18	9	15	19
YJL192C	37	28	25	20
YJL196C	19	20	17	15
YJL197W	28	14	11	22
YJL198W	25	14	12	16
YJL200C	35	19	25	37
YJL201W	16	6	7	17
YJL204C	15	10	7	4
YJL207C	42	26	18	37
YJL208C	14	7	14	7
YJL210W	8	7	10	10
YJL212C	10	9	10	16
YJL217W	14	10	6	11
YJR001W	42	26	33	31
YJR002W	48	35	22	40
YJR003C	14	16	11	12
YJR005W	45	29	18	16
YJR007W	128	85	79	96
YJR009C	461	267	336	448
YJR014W	29	9	8	21
YJR015W	20	13	16	21
YJR016C	129	103	85	116
YJR017C	26	15	5	10
YJR031C	35	19	13	17
YJR032W	20	14	12	6
YJR033C	10	8	3	15
YJR040W	13	11	7	14
YJR041C	48	29	28	37
YJR042W	48	31	19	28
YJR045C	105	57	53	59
YJR049C	17	14	7	17
YJR051W	23	17	7	11
YJR054W	13	10	13	7
YJR057W	31	30	15	19
YJR060W	7	9	15	16
YJR064W	290	169	175	231
YJR065C	59	39	39	39
YJR066W	27	11	13	17
YJR068W	32	21	15	16
YJR069C	30	15	13	15
YJR070C	73	39	37	36
YJR072C	31	22	17	31
YJR073C	11	9	10	11
YJR075W	32	16	17	29
YJR076C	37	22	13	20
YJR077C	37	21	17	17
YJR085C	12	10	2	6
YJR088C	31	16	16	13
YJR089W	18	20	11	9
YJR090C	24	16	11	19
YJR091C	15	11	10	10
YJR092W	26	16	13	19
YJR094W-A	136	83	51	84
YJR103W	13	13	3	10
YJR104C	119	80	51	90
YJR105W	355	206	259	273
YJR109C	43	20	17	23
YJR117W	35	20	33	37
YJR119C	12	10	3	3
YJR121W	135	76	75	107
YJR123W	442	263	230	385
YJR125C	18	8	11	10
YJR126C	30	11	12	16
YJR127C	28	12	12	13
YJR131W	18	19	7	5
YJR132W	45	27	35	23
YJR133W	31	15	5	11
YJR134C	23	19	13	13
YJR135W-A	22	11	16	11
YJR137C	21	9	11	21
YJR139C	128	99	87	98
YJR140C	28	24	6	17
YJR143C	45	26	34	48
YJR144W	22	12	12	16
YJR145C	408	269	273	317
YJR148W	97	69	24	13
YKL002W	13	16	4	7
YKL004W	21	6	12	14
YKL005C	29	14	8	11
YKL006W	172	112	70	125
YKL007W	32	18	7	19
YKL008C	32	19	24	22
YKL009W	54	31	26	17
YKL010C	39	20	8	14
YKL012W	37	18	19	23
YKL013C	52	30	24	34
YKL014C	32	22	23	26
YKL015W	17	7	10	12
YKL018W	14	11	6	3
YKL019W	13	13	10	11
YKL020C	24	10	7	7
YKL021C	43	30	11	26
YKL024C	58	27	18	42
YKL027W	23	7	8	12
YKL028W	24	15	12	14
YKL029C	62	37	34	31
YKL033W	23	18	7	11
YKL033W-A	54	26	25	24
YKL035W	100	77	37	55
YKL038W	17	13	9	12
YKL039W	14	9	12	14
YKL040C	26	12	5	12
YKL045W	10	11	5	20
YKL046C	30	24	21	19
YKL047W	6	9	10	11
YKL054C	47	23	22	26
YKL056C	592	338	344	448
YKL057C	35	28	18	23
YKL058W	14	2	10	14
YKL060C	2824	1748	1437	1602
YKL064W	28	13	11	14
YKL065C	15	11	10	16
YKL067W	38	18	30	23
YKL068W	21	8	3	18
YKL073W	38	22	24	23
YKL074C	21	9	10	8
YKL077W	28	17	9	22
YKL079W	18	14	3	10
YKL080W	70	46	50	59
YKL081W	340	190	237	311
YKL082C	14	22	11	20
YKL085W	34	29	20	26
YKL094W	41	22	9	21
YKL096W	34	26	5	14
YKL096W-A	170	124	74	88
YKL099C	14	10	5	11
YKL100C	26	15	9	14
YKL101W	28	15	10	15
YKL104C	44	42	42	37
YKL105C	10	15	6	16
YKL106W	18	11	6	12
YKL109W	24	12	9	9
YKL110C	25	13	10	11
YKL112W	26	22	10	18
YKL113C	10	18	7	12
YKL114C	27	15	15	18
YKL117W	115	43	66	69
YKL119C	13	20	9	12
YKL120W	59	27	30	27
YKL122C	18	16	10	13
YKL125W	20	15	10	19
YKL126W	16	13	9	11
YKL127W	16	13	11	18
YKL128C	48	20	14	27
YKL130C	14	11	8	8
YKL135C	20	12	8	8
YKL141W	11	18	8	6
YKL142W	49	30	18	33
YKL143W	31	22	10	16
YKL145W	147	87	74	78
YKL148C	12	6	10	5
YKL151C	18	16	11	12
YKL152C	2080	1257	1023	1161
YKL155C	14	6	4	11
YKL156W	52	27	17	22
YKL157W	90	42	46	50
YKL160W	26	9	12	11
YKL164C	51	35	19	30
YKL165C	12	18	10	15
YKL172W	105	65	60	74
YKL173W	31	20	17	22
YKL174C	18	9	15	12
YKL175W	15	6	10	16
YKL176C	35	20	12	28
YKL179C	38	30	19	21
YKL180W	204	114	112	157
YKL181W	156	94	101	113
YKL182W	393	274	227	319
YKL184W	22	29	10	22
YKL185W	19	9	6	15
YKL190W	14	8	11	10
YKL191W	40	25	24	29
YKL193C	27	11	16	9
YKL195W	53	45	35	33
YKL196C	22	23	11	24
YKL203C	21	10	9	14
YKL204W	9	12	3	11
YKL205W	40	12	19	30
YKL207W	56	28	14	27
YKL209C	135	67	70	88
YKL210W	158	106	75	82
YKL211C	46	27	38	23
YKL212W	75	49	55	68
YKL213C	29	20	12	29
YKL215C	6	10	11	8
YKL216W	171	72	111	120
YKR001C	51	32	21	36
YKR003W	19	12	11	4
YKR008W	28	13	9	16
YKR011C	15	11	6	11
YKR013W	30	22	23	20
YKR014C	9	10	13	5
YKR016W	15	13	9	10
YKR018C	37	29	18	40
YKR023W	19	4	6	10
YKR024C	33	22	11	19
YKR026C	15	8	5	13
YKR027W	21	16	11	15
YKR028W	33	24	17	20
YKR031C	13	10	7	11
YKR036C	16	11	5	8
YKR038C	28	17	12	17
YKR042W	191	106	97	140
YKR043C	27	18	10	18
YKR048C	46	33	30	40
YKR054C	42	14	12	18
YKR056W	34	25	22	11
YKR057W	304	207	170	186
YKR059W	59	31	44	60
YKR060W	21	15	5	7
YKR062W	16	10	8	12
YKR063C	15	12	4	4
YKR065C	24	13	4	16
YKR066C	26	12	9	35
YKR067W	17	12	10	12
YKR068C	18	7	12	10
YKR070W	20	9	4	16
YKR071C	10	5	10	14
YKR072C	19	20	8	21
YKR074W	31	18	17	28
YKR079C	21	14	4	14
YKR080W	45	24	13	22
YKR081C	24	13	7	18
YKR082W	33	27	13	34
YKR084C	27	11	10	23
YKR086W	19	13	14	13
YKR089C	14	15	8	10
YKR092C	65	33	29	35
YKR094C	667	423	369	433
YKR095W	71	48	34	44
YKR096W	10	5	4	11
YKR099W	15	7	10	5
YLL001W	21	15	19	7
YLL004W	13	11	5	11
YLL008W	64	49	36	48
YLL009C	13	7	7	11
YLL010C	14	12	8	9
YLL011W	27	19	10	12
YLL013C	20	6	6	14
YLL015W	36	27	15	20
YLL018C	66	42	45	64
YLL021W	32	27	15	20
YLL023C	11	9	5	11
YLL024C	164	114	122	160
YLL026W	126	98	60	83
YLL027W	12	10	5	7
YLL029W	23	10	7	12
YLL031C	26	15	9	12
YLL034C	47	34	22	31
YLL035W	11	10	7	10
YLL036C	37	17	9	27
YLL039C	79	39	46	44
YLL040C	59	26	24	33
YLL041C	20	10	3	6
YLL043W	19	12	13	18
YLL045C	391	240	213	300
YLL048C	68	33	35	60
YLL050C	214	135	115	126
YLL051C	11	6	7	12
YLR002C	75	45	32	48
YLR003C	19	13	8	10
YLR005W	21	14	7	7
YLR007W	11	6	12	6
YLR008C	20	12	7	12
YLR009W	16	6	7	12
YLR014C	23	10	16	14
YLR016C	11	9	10	7
YLR017W	27	15	11	10
YLR019W	15	14	7	38
YLR024C	20	11	10	16
YLR025W	15	10	6	13
YLR027C	83	39	35	109
YLR028C	74	61	35	45
YLR029C	515	358	351	382
YLR032W	13	9	8	12
YLR033W	27	14	7	9
YLR043C	102	57	41	56
YLR044C	1983	1122	1082	1270
YLR045C	6	10	4	10
YLR048W	171	97	98	120
YLR049C	14	13	6	12
YLR056W	153	79	72	72
YLR057W	18	13	4	10
YLR058C	218	149	87	113
YLR060W	110	66	63	90
YLR061W	191	124	118	151
YLR065C	14	7	8	11
YLR066W	27	11	19	7
YLR069C	17	17	5	14
YLR071C	27	20	22	17
YLR074C	23	12	10	10
YLR075W	495	325	317	410
YLR077W	29	7	14	16
YLR083C	40	21	23	27
YLR084C	34	11	15	18
YLR086W	36	25	14	40
YLR088W	14	5	6	11
YLR089C	14	15	10	5
YLR093C	13	11	6	8
YLR096W	24	14	11	8
YLR100W	89	61	27	58
YLR103C	16	9	3	11
YLR106C	130	60	60	77
YLR109W	129	70	66	66
YLR110C	395	257	210	250
YLR113W	35	31	14	27
YLR114C	38	13	16	35
YLR115W	14	5	9	13
YLR117C	15	3	11	8
YLR120C	23	17	8	25
YLR129W	101	62	51	54
YLR130C	33	15	21	20
YLR133W	13	7	10	7
YLR138W	27	14	13	20
YLR143W	13	9	7	10
YLR146C	14	5	1	16
YLR148W	16	14	5	16
YLR150W	469	299	275	361
YLR153C	62	31	36	36
YLR163C	15	14	7	9
YLR166C	30	26	21	19
YLR167W	1721	1084	1033	1174
YLR172C	27	15	16	16
YLR173W	12	12	3	5
YLR175W	182	124	123	152
YLR179C	47	30	14	25
YLR180W	105	52	67	79
YLR185W	171	114	92	135
YLR186W	26	12	9	12
YLR188W	37	18	18	32
YLR189C	19	19	9	18
YLR190W	18	9	12	12
YLR192C	32	18	17	24
YLR195C	33	9	7	13
YLR196W	73	30	37	38
YLR197W	242	128	114	138
YLR199C	16	13	11	7
YLR203C	9	10	14	6
YLR206W	19	14	13	18
YLR207W	22	13	7	5
YLR208W	40	19	16	31
YLR214W	75	33	40	47
YLR216C	88	56	50	36
YLR220W	20	20	6	10
YLR222C	35	15	9	21
YLR223C	24	16	8	10
YLR228C	17	10	11	13
YLR229C	29	21	23	13
YLR231C	41	22	18	20
YLR241W	20	7	6	17
YLR243W	19	13	9	13
YLR244C	64	42	23	48
YLR247C	30	17	11	16
YLR248W	28	14	11	10
YLR249W	2218	1275	1475	2043
YLR250W	71	48	25	36
YLR253W	15	12	7	6
YLR256W	60	44	17	31
YLR257W	22	21	15	21
YLR258W	24	22	14	10
YLR259C	65	56	36	56
YLR264W	153	118	91	131
YLR266C	15	12	11	16
YLR268W	20	5	7	10
YLR270W	16	7	12	12
YLR272C	15	12	11	9
YLR274W	36	27	24	28
YLR276C	74	39	37	43
YLR278C	16	14	8	10
YLR285W	32	8	10	14
YLR286C	107	52	33	59
YLR287C	33	19	17	15
YLR287C-A	15	15	7	8
YLR291C	21	7	6	15
YLR292C	23	10	8	9
YLR293C	55	46	18	28
YLR295C	13	8	10	14
YLR299W	10	9	10	4
YLR300W	82	54	41	46
YLR301W	39	13	9	16
YLR304C	66	56	37	64
YLR305C	36	35	21	33
YLR309C	67	27	19	44
YLR310C	44	34	15	30
YLR314C	48	25	17	35
YLR320W	12	5	4	11
YLR321C	26	10	6	11
YLR325C	142	93	75	100
YLR328W	13	11	5	10
YLR330W	45	29	30	34
YLR333C	88	48	35	29
YLR335W	22	24	14	24
YLR336C	44	28	19	29
YLR340W	745	416	422	555
YLR342W	264	157	142	211
YLR344W	130	68	58	82
YLR347C	41	16	16	22
YLR348C	28	22	13	19
YLR350W	17	10	8	13
YLR351C	36	19	13	27
YLR354C	130	81	61	109
YLR355C	251	191	188	253
YLR359W	252	164	148	191
YLR361C	8	10	12	7
YLR363C	14	11	6	10
YLR367W	111	92	79	122
YLR370C	28	18	10	16
YLR371W	25	17	13	10
YLR372W	75	38	39	49
YLR373C	22	6	4	14
YLR375W	23	15	14	20
YLR378C	61	29	24	61
YLR380W	18	5	7	11
YLR383W	16	9	9	10
YLR384C	84	45	34	66
YLR386W	22	12	7	15
YLR387C	12	8	7	13
YLR388W	56	37	33	45
YLR389C	44	23	11	13
YLR390W-A	38	12	16	16
YLR397C	15	10	10	8
YLR398C	34	27	12	33
YLR399C	56	31	31	55
YLR401C	24	25	17	22
YLR405W	16	6	10	9
YLR406C	180	133	71	91
YLR409C	47	32	31	40
YLR410W	33	15	10	25
YLR413W	90	54	44	53
YLR418C	42	30	12	36
YLR419W	23	12	9	8
YLR420W	53	18	24	23
YLR421C	16	6	4	11
YLR422W	19	11	6	11
YLR427W	33	11	9	7
YLR429W	67	42	37	46
YLR430W	48	24	9	16
YLR432W	51	19	26	40
YLR435W	29	26	15	23
YLR436C	25	11	4	8
YLR440C	19	14	11	7
YLR441C	606	392	366	426
YLR447C	120	94	89	117
YLR448W	123	62	68	86
YLR449W	61	46	41	40
YLR450W	29	24	17	27
YLR452C	41	32	18	22
YLR454W	35	24	24	18
YML001W	27	14	12	16
YML004C	32	14	13	30
YML007W	15	15	12	13
YML008C	78	52	36	54
YML010W	50	40	14	25
YML012W	46	25	22	24
YML016C	23	11	8	9
YML022W	23	14	22	13
YML024W	366	232	247	265
YML026C	235	135	112	159
YML028W	368	214	198	203
YML031W	58	34	28	33
YML034W	30	18	15	17
YML035C	36	14	14	31
YML046W	21	12	14	20
YML048W	27	15	7	22
YML049C	21	17	5	9
YML051W	13	8	3	13
YML052W	42	15	16	13
YML053C	10	11	4	3
YML056C	109	68	90	103
YML057W	19	12	9	11
YML058W	46	41	20	36
YML059C	30	20	15	19
YML060W	29	13	11	12
YML063W	578	330	247	336
YML065W	25	18	15	17
YML069W	61	30	23	31
YML070W	17	10	4	8
YML071C	10	12	11	10
YML072C	92	44	38	61
YML073C	209	180	137	206
YML074C	59	33	27	38
YML075C	21	14	10	25
YML080W	18	18	6	10
YML081W	27	15	24	18
YML085C	60	35	23	27
YML086C	34	12	19	26
YML088W	16	10	3	9
YML091C	20	14	5	9
YML093W	50	28	22	32
YML096W	13	6	9	10
YML097C	18	11	3	10
YML099C	20	19	7	14
YML100W	16	16	3	4
YML103C	101	62	42	64
YML104C	21	17	6	7
YML105C	17	6	14	8
YML106W	90	42	36	52
YML109W	13	10	6	4
YML110C	35	42	18	32
YML111W	23	11	9	18
YML115C	21	16	8	16
YML117W	39	30	22	17
YML121W	24	13	6	7
YML123C	74	50	159	174
YML124C	46	22	17	26
YML125C	67	35	33	32
YML126C	106	61	46	83
YML127W	25	19	16	22
YML128C	11	10	3	7
YML130C	33	27	21	35
YMR002W	26	10	7	12
YMR004W	18	9	6	13
YMR006C	53	30	17	28
YMR008C	35	11	19	22
YMR010W	14	8	10	5
YMR011W	91	44	51	64
YMR012W	88	68	43	46
YMR014W	24	13	10	16
YMR015C	33	17	17	30
YMR019W	10	8	10	7
YMR027W	31	27	13	19
YMR029C	25	14	7	14
YMR031C	28	19	22	18
YMR032W	17	10	3	8
YMR033W	30	29	19	17
YMR037C	11	11	7	2
YMR038C	24	13	17	12
YMR039C	24	19	9	10
YMR047C	27	20	19	7
YMR049C	60	43	33	37
YMR054W	21	11	9	17
YMR058W	52	24	30	38
YMR061W	28	10	13	19
YMR062C	22	16	8	14
YMR070W	14	5	7	12
YMR074C	29	15	18	17
YMR076C	25	11	8	20
YMR078C	14	13	7	8
YMR079W	15	6	11	14
YMR080C	39	28	30	47
YMR083W	57	35	26	41
YMR089C	31	31	19	14
YMR091C	33	15	17	16
YMR092C	51	35	23	25
YMR093W	24	12	16	17
YMR099C	37	22	18	28
YMR100W	16	7	8	17
YMR102C	17	13	7	8
YMR105C	13	13	5	10
YMR108W	65	54	39	48
YMR109W	23	17	12	16
YMR110C	14	11	21	16
YMR116C	2149	1208	1352	1430
YMR119W	23	16	15	15
YMR120C	139	92	75	99
YMR122W-A	27	10	5	11
YMR123W	17	10	7	12
YMR125W	70	37	34	54
YMR126C	18	10	3	6
YMR128W	47	22	19	31
YMR129W	40	29	22	25
YMR130W	11	12	6	5
YMR131C	92	63	48	49
YMR142C	335	199	164	228
YMR143W	95	44	32	45
YMR145C	95	66	44	90
YMR146C	81	44	43	73
YMR149W	34	17	11	13
YMR152W	15	14	4	10
YMR153W	10	11	6	5
YMR157C	11	12	7	12
YMR158W	17	7	6	14
YMR162C	42	19	20	19
YMR176W	36	22	11	25
YMR178W	13	5	10	11
YMR183C	25	22	17	19
YMR185W	31	20	13	18
YMR186W	805	511	491	567
YMR189W	47	31	12	20
YMR194W	45	28	24	32
YMR196W	23	18	6	9
YMR198W	13	10	5	9
YMR199W	13	6	15	20
YMR200W	13	11	8	5
YMR202W	78	37	28	40
YMR203W	45	31	24	57
YMR205C	179	119	117	152
YMR207C	24	10	6	5
YMR208W	21	13	8	4
YMR211W	12	11	3	7
YMR212C	41	25	29	43
YMR214W	14	14	12	16
YMR215W	38	21	23	26
YMR216C	32	16	12	10
YMR217W	111	76	68	108
YMR218C	21	18	13	6
YMR219W	22	17	9	11
YMR220W	36	9	17	15
YMR221C	16	11	10	11
YMR223W	21	8	6	15
YMR226C	174	127	90	129
YMR229C	188	90	95	125
YMR230W	104	61	71	71
YMR235C	72	36	46	50
YMR237W	22	20	10	6
YMR241W	25	17	10	26
YMR242C	364	220	206	270
YMR243C	83	42	54	93
YMR246W	165	94	70	128
YMR247C	46	28	24	30
YMR251W-A	47	31	12	14
YMR258C	23	13	11	7
YMR259C	50	22	23	25
YMR260C	82	41	52	64
YMR261C	22	10	10	11
YMR264W	25	21	13	12
YMR266W	41	29	23	37
YMR267W	19	10	4	12
YMR270C	16	11	12	9
YMR272C	87	58	30	39
YMR276W	20	10	7	20
YMR277W	22	10	9	18
YMR278W	20	13	6	5
YMR282C	24	16	13	10
YMR285C	12	10	8	9
YMR288W	16	12	4	6
YMR289W	14	5	10	10
YMR290C	167	83	67	108
YMR295C	19	12	18	14
YMR296C	14	12	9	9
YMR297W	118	76	80	82
YMR298W	27	17	10	14
YMR300C	55	30	35	35
YMR301C	21	14	9	14
YMR302C	11	12	16	12
YMR304W	26	14	17	20
YMR305C	112	56	44	57
YMR307W	675	396	360	449
YMR308C	96	65	41	73
YMR309C	118	76	57	85
YMR314W	54	39	29	37
YMR315W	15	15	8	14
YMR318C	103	85	60	70
YMR319C	25	13	15	19
YNL002C	50	22	28	33
YNL004W	24	12	17	20
YNL007C	26	12	15	26
YNL008C	32	19	11	15
YNL010W	129	81	58	75
YNL016W	36	33	22	22
YNL021W	16	11	4	7
YNL022C	26	14	12	7
YNL023C	17	12	4	13
YNL030W	156	92	58	80
YNL031C	136	91	57	67
YNL035C	10	5	7	13
YNL037C	34	32	22	23
YNL038W	19	9	10	7
YNL041C	27	16	9	16
YNL044W	41	15	14	12
YNL045W	64	38	15	34
YNL048W	20	13	6	18
YNL049C	18	12	10	10
YNL055C	57	47	41	58
YNL059C	25	13	14	17
YNL061W	45	16	10	28
YNL062C	30	13	7	14
YNL064C	41	27	22	38
YNL065W	12	11	8	9
YNL066W	54	29	17	36
YNL067W	265	140	138	117
YNL069C	456	243	238	290
YNL070W	15	9	10	11
YNL071W	79	43	34	59
YNL073W	14	11	2	7
YNL075W	24	10	8	9
YNL079C	44	33	22	27
YNL080C	13	12	4	7
YNL081C	16	9	5	10
YNL084C	27	16	17	23
YNL085W	54	36	23	57
YNL087W	111	57	53	64
YNL088W	81	38	28	52
YNL090W	25	12	9	9
YNL091W	27	29	15	18
YNL096C	94	54	55	65
YNL098C	28	24	16	17
YNL099C	44	20	17	23
YNL101W	11	13	10	10
YNL102W	32	19	18	22
YNL104C	46	27	24	28
YNL110C	24	15	15	9
YNL112W	268	135	142	198
YNL113W	62	30	38	39
YNL115C	11	12	7	8
YNL118C	40	22	12	17
YNL119W	19	16	5	8
YNL121C	55	25	18	30
YNL123W	37	16	18	28
YNL126W	17	18	4	13
YNL131W	39	24	28	20
YNL132W	48	14	22	30
YNL134C	63	44	59	90
YNL135C	38	20	23	23
YNL137C	25	12	11	10
YNL138W	39	22	21	41
