group	member	nseq	alignment_length	parsimony_informative_sites	parsimony_informative_pct
fungi	919955at2759.faa.mafft	4	407	23	5.651105651105651
fungi	923657at2759.faa.mafft	4	456	22	4.824561403508772
fungi	924753at2759.faa.mafft	4	647	30	4.636785162287481
fungi	931188at2759.faa.mafft	4	685	26	3.795620437956204
fungi	937275at2759.faa.mafft	3	613	0	0.0
fungi	937686at2759.faa.mafft	3	596	0	0.0
fungi	939345at2759.faa.mafft	4	724	11	1.5193370165745856
fungi	944899at2759.faa.mafft	4	369	21	5.691056910569106
fungi	946128at2759.faa.mafft	4	840	26	3.0952380952380953
fungi	956854at2759.faa.mafft	3	362	0	0.0
fungi	97116at2759.faa.mafft	4	1483	76	5.124747134187458
fungi	973442at2759.faa.mafft	4	748	16	2.1390374331550803
fungi	974865at2759.faa.mafft	4	429	20	4.662004662004662
fungi	975158at2759.faa.mafft	4	605	25	4.132231404958677
fungi	975557at2759.faa.mafft	4	872	21	2.408256880733945
fungi	976469at2759.faa.mafft	3	415	0	0.0
fungi	981902at2759.faa.mafft	4	773	20	2.5873221216041395
fungi	996662at2759.faa.mafft	4	341	13	3.812316715542522
# animals_n	241
# fungi_n	255
# mann_whitney_u_animals_first	6948
# method	scipy.stats.mannwhitneyu(alternative=two-sided)
