guide	target_gene
CPSF2-I1	CPSF2
RBBP6-I4	RBBP6
SCAF1-I2	SCAF1
RPRD1B-I1	RPRD1B
CPSF7-I1	CPSF7
CPSF6-I5	CPSF6
NUDT21-I3	NUDT21
PAF1-I6	PAF1
CPSF3L-I8	CPSF3L
CPSF3-I3	CPSF3
RPRD1A-I5	RPRD1A
CDC73-I2	CDC73
SCAF4-I4	SCAF4
LEO1-I2	LEO1
CPSF3-I3	CPSF3
CSTF3-I5	CSTF3
SCAF8-I3	SCAF8
PABPC1-I1	PABPC1
PAPOLA-I3	PAPOLA
RPRD1B-I1	RPRD1B
SCAF8-I3	SCAF8
NT-I3	NT
NT-I7	NT
SCAF8-I3	SCAF8
SCAF4-I4	SCAF4
CPSF1-I3	CPSF1
PHF3-I5	PHF3
CSTF2-I4	CSTF2
LEO1-I2	LEO1
NT-I6	NT
SCAF4-I4	SCAF4
PHF3-I5	PHF3
LEO1-I2	LEO1
SCAF11-I3	SCAF11
SCAF8-I3	SCAF8
NT-I10	NT
CPSF2-I1	CPSF2
CPSF7-I1	CPSF7
PHF3-I5	PHF3
NT-I10	NT
CPSF3L-I8	CPSF3L
NT-I9	NT
SRSF3-I1	SRSF3
RPRD1B-I1	RPRD1B
LEO1-I2	LEO1
SCAF8-I3	SCAF8
CPSF7-I1	CPSF7
CPSF1-I3	CPSF1
RPRD1A-I5	RPRD1A
NT-I8	NT
NT-I5	NT
CPSF3-I3	CPSF3
NT-I6	NT
CPSF7-I1	CPSF7
CPSF1-I3	CPSF1
PABPC1-I1	PABPC1
CPSF7-I1	CPSF7
NT-I3	NT
NT-I3	NT
PABPN1-I2	PABPN1
NT-I10	NT
SCAF4-I4	SCAF4
CPSF1-I3	CPSF1
CSTF3-I5	CSTF3
CSTF2-I4	CSTF2
LEO1-I2	LEO1
CSTF1-I5	CSTF1
NT-I10	NT
NT-I1	NT
CSTF3-I5	CSTF3
CDC73-I2	CDC73
CPSF1-I3	CPSF1
SCAF8-I3	SCAF8
CTR9-I7	CTR9
SCAF4-I4	SCAF4
CPSF6-I5	CPSF6
NUDT21-I3	NUDT21
NT-I9	NT
NT-I8	NT
CSTF3-I5	CSTF3
CPSF7-I1	CPSF7
CPSF7-I1	CPSF7
PAPOLA-I3	PAPOLA
NT-I2	NT
NT-I9	NT
NT-I1	NT
CPSF2-I1	CPSF2
PABPN1-I2	PABPN1
CPSF1-I3	CPSF1
LEO1-I2	LEO1
CTR9-I7	CTR9
CPSF1-I3	CPSF1
SRSF3-I1	SRSF3
NT-I5	NT
CPSF4-I8	CPSF4
CPSF1-I3	CPSF1
NT-I5	NT
CPSF6-I5	CPSF6
SCAF8-I3	SCAF8
CTR9-I7	CTR9
PHF3-I5	PHF3
PAPOLA-I3	PAPOLA
NT-I7	NT
CPSF4-I8	CPSF4
FIP1L1-I1	FIP1L1
CPSF1-I3	CPSF1
NT-I8	NT
SCAF8-I3	SCAF8
CPSF2-I1	CPSF2
NT-I7	NT
NT-I7	NT
SCAF4-I4	SCAF4
CTR9-I7	CTR9
CSTF2-I4	CSTF2
LEO1-I2	LEO1
RPRD1A-I5	RPRD1A
PAPOLA-I3	PAPOLA
RPRD1A-I5	RPRD1A
PHF3-I5	PHF3
CTR9-I7	CTR9
SCAF4-I4	SCAF4
CDC73-I2	CDC73
NT-I9	NT
PAPOLA-I3	PAPOLA
NT-I4	NT
SCAF4-I4	SCAF4
NT-I10	NT
CDC73-I2	CDC73
CPSF7-I1	CPSF7
NT-I10	NT
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CPSF7-I1	CPSF7
PCF11-I5	PCF11
PCF11-I5	PCF11
LEO1-I2	LEO1
RBBP6-I4	RBBP6
CPSF2-I1	CPSF2
PABPC1-I1	PABPC1
CPSF3L-I8	CPSF3L
PAPOLA-I3	PAPOLA
NT-I5	NT
NT-I7	NT
NT-I6	NT
CPSF3L-I8	CPSF3L
CSTF3-I5	CSTF3
NT-I6	NT
LEO1-I2	LEO1
SRSF3-I1	SRSF3
NT-I2	NT
CSTF3-I5	CSTF3
CTR9-I7	CTR9
THOC5-I1	THOC5
RBBP6-I4	RBBP6
CTR9-I7	CTR9
RPRD1A-I5	RPRD1A
CPSF6-I5	CPSF6
LEO1-I2	LEO1
CPSF1-I3	CPSF1
NT-I1	NT
NUDT21-I3	NUDT21
SRSF3-I1	SRSF3
NT-I3	NT
RPRD1A-I5	RPRD1A
CPSF1-I3	CPSF1
NT-I10	NT
LEO1-I2	LEO1
RPRD1B-I1	RPRD1B
CPSF4-I8	CPSF4
SCAF4-I4	SCAF4
CPSF1-I3	CPSF1
CPSF2-I1	CPSF2
RPRD1B-I1	RPRD1B
CPSF3-I3	CPSF3
SCAF11-I3	SCAF11
CPSF2-I1	CPSF2
CPSF1-I3	CPSF1
NT-I2	NT
LEO1-I2	LEO1
CPSF7-I1	CPSF7
CPSF1-I3	CPSF1
NT-I9	NT
LEO1-I2	LEO1
CTR9-I7	CTR9
PHF3-I5	PHF3
CDC73-I2	CDC73
CPSF6-I5	CPSF6
CPSF3L-I8	CPSF3L
CPSF1-I3	CPSF1
SCAF11-I3	SCAF11
RPRD1A-I5	RPRD1A
PHF3-I5	PHF3
LEO1-I2	LEO1
CPSF3-I3	CPSF3
CTR9-I7	CTR9
NT-I9	NT
NT-I7	NT
SCAF11-I3	SCAF11
CTR9-I7	CTR9
CSTF2-I4	CSTF2
RPRD1B-I1	RPRD1B
CPSF3-I3	CPSF3
LEO1-I2	LEO1
CDC73-I2	CDC73
CPSF7-I1	CPSF7
CPSF4-I8	CPSF4
RBBP6-I4	RBBP6
SCAF4-I4	SCAF4
CPSF2-I1	CPSF2
CDC73-I2	CDC73
NT-I1	NT
CSTF2-I4	CSTF2
CPSF1-I3	CPSF1
SYMPK-I3	SYMPK
NT-I3	NT
CPSF4-I8	CPSF4
CSTF2-I4	CSTF2
NT-I2	NT
PAF1-I6	PAF1
NUDT21-I3	NUDT21
NT-I2	NT
SCAF8-I3	SCAF8
THOC5-I1	THOC5
CPSF2-I1	CPSF2
SCAF4-I4	SCAF4
CTR9-I7	CTR9
CPSF3-I3	CPSF3
NT-I9	NT
PABPC1-I1	PABPC1
NT-I7	NT
SCAF1-I2	SCAF1
NT-I3	NT
NT-I7	NT
SCAF11-I3	SCAF11
CSTF3-I5	CSTF3
CSTF2-I4	CSTF2
NT-I9	NT
CPSF7-I1	CPSF7
SCAF11-I3	SCAF11
SYMPK-I3	SYMPK
PABPN1-I2	PABPN1
NT-I10	NT
SCAF11-I3	SCAF11
NT-I8	NT
NT-I6	NT
CDC73-I2	CDC73
CPSF1-I3	CPSF1
CDC73-I2	CDC73
CPSF1-I3	CPSF1
PABPC1-I1	PABPC1
CSTF3-I5	CSTF3
LEO1-I2	LEO1
CPSF1-I3	CPSF1
SCAF8-I3	SCAF8
NT-I8	NT
PCF11-I5	PCF11
RBBP6-I4	RBBP6
FIP1L1-I1	FIP1L1
RPRD1B-I1	RPRD1B
NT-I4	NT
SCAF11-I3	SCAF11
NUDT21-I3	NUDT21
NT-I1	NT
CPSF7-I1	CPSF7
RPRD1B-I1	RPRD1B
CPSF3-I3	CPSF3
NT-I2	NT
CPSF2-I1	CPSF2
RPRD1A-I5	RPRD1A
RPRD1A-I5	RPRD1A
CPSF2-I1	CPSF2
CTR9-I7	CTR9
NT-I6	NT
CPSF1-I3	CPSF1
CPSF4-I8	CPSF4
NT-I2	NT
NT-I3	NT
PHF3-I5	PHF3
SRSF3-I1	SRSF3
PHF3-I5	PHF3
NT-I9	NT
NT-I6	NT
SCAF1-I2	SCAF1
SCAF1-I2	SCAF1
NT-I7	NT
SCAF11-I3	SCAF11
LEO1-I2	LEO1
RPRD1B-I1	RPRD1B
CPSF6-I5	CPSF6
CPSF2-I1	CPSF2
SCAF8-I3	SCAF8
CSTF2-I4	CSTF2
CPSF1-I3	CPSF1
NT-I1	NT
NUDT21-I3	NUDT21
LEO1-I2	LEO1
PHF3-I5	PHF3
PABPN1-I2	PABPN1
NUDT21-I3	NUDT21
SCAF4-I4	SCAF4
SCAF4-I4	SCAF4
PAF1-I6	PAF1
NT-I1	NT
LEO1-I2	LEO1
RPRD1A-I5	RPRD1A
CPSF7-I1	CPSF7
CPSF7-I1	CPSF7
NT-I3	NT
PHF3-I5	PHF3
LEO1-I2	LEO1
CSTF1-I5	CSTF1
NT-I3	NT
SCAF8-I3	SCAF8
NT-I9	NT
SCAF4-I4	SCAF4
SCAF11-I3	SCAF11
CPSF7-I1	CPSF7
PHF3-I5	PHF3
RBBP6-I4	RBBP6
NT-I4	NT
NUDT21-I3	NUDT21
CSTF1-I5	CSTF1
PHF3-I5	PHF3
CPSF2-I1	CPSF2
RPRD1B-I1	RPRD1B
CPSF1-I3	CPSF1
PHF3-I5	PHF3
LEO1-I2	LEO1
CPSF3L-I8	CPSF3L
PAF1-I6	PAF1
CPSF4-I8	CPSF4
NUDT21-I3	NUDT21
PABPC1-I1	PABPC1
PHF3-I5	PHF3
SCAF4-I4	SCAF4
NT-I4	NT
NT-I4	NT
NT-I4	NT
CPSF6-I5	CPSF6
CTR9-I7	CTR9
CTR9-I7	CTR9
CPSF6-I5	CPSF6
LEO1-I2	LEO1
PAPOLA-I3	PAPOLA
LEO1-I2	LEO1
NT-I4	NT
LEO1-I2	LEO1
NT-I10	NT
SCAF11-I3	SCAF11
PCF11-I5	PCF11
NUDT21-I3	NUDT21
NT-I10	NT
NT-I7	NT
NT-I9	NT
RBBP6-I4	RBBP6
SCAF4-I4	SCAF4
CPSF3-I3	CPSF3
NT-I10	NT
PHF3-I5	PHF3
CSTF2-I4	CSTF2
NT-I7	NT
CPSF3-I3	CPSF3
CDC73-I2	CDC73
RPRD1B-I1	RPRD1B
CPSF3-I3	CPSF3
PHF3-I5	PHF3
NT-I7	NT
CPSF1-I3	CPSF1
CPSF3-I3	CPSF3
CPSF6-I5	CPSF6
SRSF3-I1	SRSF3
SCAF8-I3	SCAF8
SCAF4-I4	SCAF4
SCAF4-I4	SCAF4
NT-I5	NT
RPRD1B-I1	RPRD1B
CPSF3-I3	CPSF3
NT-I10	NT
SCAF8-I3	SCAF8
CPSF3L-I8	CPSF3L
NT-I2	NT
NT-I5	NT
NT-I2	NT
RPRD1B-I1	RPRD1B
LEO1-I2	LEO1
CPSF6-I5	CPSF6
PHF3-I5	PHF3
NT-I1	NT
CDC73-I2	CDC73
NT-I8	NT
CDC73-I2	CDC73
NT-I10	NT
FIP1L1-I1	FIP1L1
NT-I2	NT
CPSF7-I1	CPSF7
SCAF8-I3	SCAF8
PAPOLA-I3	PAPOLA
SCAF4-I4	SCAF4
NT-I1	NT
NT-I1	NT
NT-I10	NT
CPSF7-I1	CPSF7
NT-I10	NT
CSTF2-I4	CSTF2
SCAF8-I3	SCAF8
NT-I6	NT
NT-I10	NT
CPSF3L-I8	CPSF3L
NT-I1	NT
NT-I1	NT
CDC73-I2	CDC73
CPSF2-I1	CPSF2
PAPOLA-I3	PAPOLA
SCAF8-I3	SCAF8
SCAF11-I3	SCAF11
NT-I3	NT
CSTF2-I4	CSTF2
LEO1-I2	LEO1
CSTF3-I5	CSTF3
CPSF6-I5	CPSF6
NT-I3	NT
NT-I10	NT
SRSF3-I1	SRSF3
NUDT21-I3	NUDT21
CPSF4-I8	CPSF4
RPRD1A-I5	RPRD1A
NT-I7	NT
NUDT21-I3	NUDT21
LEO1-I2	LEO1
PCF11-I5	PCF11
RPRD1A-I5	RPRD1A
CPSF2-I1	CPSF2
FIP1L1-I1	FIP1L1
NT-I10	NT
CDC73-I2	CDC73
NT-I1	NT
CPSF1-I3	CPSF1
PABPC1-I1	PABPC1
SCAF4-I4	SCAF4
NUDT21-I3	NUDT21
RPRD1A-I5	RPRD1A
CPSF1-I3	CPSF1
LEO1-I2	LEO1
FIP1L1-I1	FIP1L1
CSTF3-I5	CSTF3
SCAF8-I3	SCAF8
PAPOLA-I3	PAPOLA
PCF11-I5	PCF11
NT-I3	NT
SCAF8-I3	SCAF8
RPRD1A-I5	RPRD1A
NT-I1	NT
FIP1L1-I1	FIP1L1
NT-I6	NT
CPSF6-I5	CPSF6
SCAF8-I3	SCAF8
NT-I8	NT
NT-I10	NT
RPRD1B-I1	RPRD1B
CPSF7-I1	CPSF7
RPRD1A-I5	RPRD1A
PHF3-I5	PHF3
LEO1-I2	LEO1
CTR9-I7	CTR9
PAPOLA-I3	PAPOLA
PHF3-I5	PHF3
PHF3-I5	PHF3
NT-I8	NT
LEO1-I2	LEO1
CPSF3-I3	CPSF3
NT-I1	NT
LEO1-I2	LEO1
NT-I9	NT
SCAF8-I3	SCAF8
CSTF3-I5	CSTF3
SCAF1-I2	SCAF1
SCAF8-I3	SCAF8
CPSF1-I3	CPSF1
THOC5-I1	THOC5
CPSF7-I1	CPSF7
NUDT21-I3	NUDT21
CPSF1-I3	CPSF1
NT-I10	NT
SCAF8-I3	SCAF8
RBBP6-I4	RBBP6
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CSTF3-I5	CSTF3
CPSF2-I1	CPSF2
SCAF1-I2	SCAF1
SCAF11-I3	SCAF11
CSTF2-I4	CSTF2
PABPN1-I2	PABPN1
CPSF7-I1	CPSF7
NT-I9	NT
NT-I7	NT
CPSF2-I1	CPSF2
NT-I7	NT
CPSF2-I1	CPSF2
PAPOLA-I3	PAPOLA
NUDT21-I3	NUDT21
CPSF1-I3	CPSF1
CPSF7-I1	CPSF7
RPRD1A-I5	RPRD1A
LEO1-I2	LEO1
LEO1-I2	LEO1
CPSF1-I3	CPSF1
NUDT21-I3	NUDT21
CPSF1-I3	CPSF1
NT-I6	NT
PABPC1-I1	PABPC1
CPSF1-I3	CPSF1
NT-I8	NT
CDC73-I2	CDC73
CPSF1-I3	CPSF1
NT-I7	NT
RPRD1B-I1	RPRD1B
NT-I10	NT
NUDT21-I3	NUDT21
RBBP6-I4	RBBP6
LEO1-I2	LEO1
CDC73-I2	CDC73
CPSF2-I1	CPSF2
SCAF11-I3	SCAF11
NT-I7	NT
FIP1L1-I1	FIP1L1
SCAF11-I3	SCAF11
NUDT21-I3	NUDT21
NT-I8	NT
SCAF8-I3	SCAF8
PCF11-I5	PCF11
CPSF1-I3	CPSF1
NT-I4	NT
CSTF3-I5	CSTF3
NT-I8	NT
CPSF7-I1	CPSF7
NUDT21-I3	NUDT21
NUDT21-I3	NUDT21
PAF1-I6	PAF1
RBBP6-I4	RBBP6
NT-I9	NT
RPRD1B-I1	RPRD1B
LEO1-I2	LEO1
CTR9-I7	CTR9
PCF11-I5	PCF11
CSTF2-I4	CSTF2
CTR9-I7	CTR9
PAPOLA-I3	PAPOLA
RPRD1B-I1	RPRD1B
CTR9-I7	CTR9
CPSF1-I3	CPSF1
CTR9-I7	CTR9
CPSF3-I3	CPSF3
PAPOLA-I3	PAPOLA
NT-I5	NT
CSTF2-I4	CSTF2
NT-I1	NT
CPSF1-I3	CPSF1
NT-I8	NT
CSTF3-I5	CSTF3
CPSF1-I3	CPSF1
SCAF8-I3	SCAF8
FIP1L1-I1	FIP1L1
PAPOLA-I3	PAPOLA
NT-I6	NT
CPSF7-I1	CPSF7
CPSF3-I3	CPSF3
NT-I6	NT
SCAF11-I3	SCAF11
CPSF1-I3	CPSF1
NT-I6	NT
SCAF11-I3	SCAF11
NT-I4	NT
CPSF6-I5	CPSF6
NT-I6	NT
NT-I3	NT
NUDT21-I3	NUDT21
NT-I10	NT
CTR9-I7	CTR9
SCAF11-I3	SCAF11
LEO1-I2	LEO1
NT-I3	NT
PAPOLA-I3	PAPOLA
FIP1L1-I1	FIP1L1
CPSF2-I1	CPSF2
RPAP2-I2	RPAP2
CPSF1-I3	CPSF1
NT-I10	NT
SCAF11-I3	SCAF11
PHF3-I5	PHF3
CSTF1-I5	CSTF1
NT-I6	NT
NT-I3	NT
LEO1-I2	LEO1
NUDT21-I3	NUDT21
LEO1-I2	LEO1
LEO1-I2	LEO1
RPRD1B-I1	RPRD1B
CPSF2-I1	CPSF2
CPSF1-I3	CPSF1
LEO1-I2	LEO1
FIP1L1-I1	FIP1L1
RPRD1B-I1	RPRD1B
NT-I5	NT
SCAF4-I4	SCAF4
RBBP6-I4	RBBP6
CPSF2-I1	CPSF2
LEO1-I2	LEO1
NUDT21-I3	NUDT21
NT-I1	NT
PHF3-I5	PHF3
CSTF3-I5	CSTF3
LEO1-I2	LEO1
PAPOLA-I3	PAPOLA
PABPN1-I2	PABPN1
CSTF1-I5	CSTF1
SCAF8-I3	SCAF8
CPSF3-I3	CPSF3
CPSF1-I3	CPSF1
FIP1L1-I1	FIP1L1
NUDT21-I3	NUDT21
CPSF2-I1	CPSF2
NT-I1	NT
CSTF3-I5	CSTF3
CPSF3-I3	CPSF3
NT-I7	NT
NUDT21-I3	NUDT21
NT-I7	NT
CSTF3-I5	CSTF3
RPRD1B-I1	RPRD1B
CPSF1-I3	CPSF1
CDC73-I2	CDC73
PAPOLA-I3	PAPOLA
CSTF2-I4	CSTF2
CPSF1-I3	CPSF1
CPSF3-I3	CPSF3
CPSF2-I1	CPSF2
NUDT21-I3	NUDT21
NT-I10	NT
NT-I10	NT
SRSF3-I1	SRSF3
PCF11-I5	PCF11
CTR9-I7	CTR9
PHF3-I5	PHF3
NT-I2	NT
CSTF3-I5	CSTF3
PAPOLA-I3	PAPOLA
NT-I6	NT
CPSF2-I1	CPSF2
PABPN1-I2	PABPN1
CSTF3-I5	CSTF3
NT-I2	NT
CSTF1-I5	CSTF1
SCAF8-I3	SCAF8
CPSF1-I3	CPSF1
SCAF11-I3	SCAF11
CPSF3L-I8	CPSF3L
PAPOLA-I3	PAPOLA
PAPOLA-I3	PAPOLA
CPSF1-I3	CPSF1
SCAF11-I3	SCAF11
CPSF7-I1	CPSF7
PHF3-I5	PHF3
NT-I9	NT
CSTF3-I5	CSTF3
PAF1-I6	PAF1
CPSF3-I3	CPSF3
RPRD1B-I1	RPRD1B
CPSF1-I3	CPSF1
CSTF3-I5	CSTF3
CPSF3-I3	CPSF3
CSTF3-I5	CSTF3
PABPC1-I1	PABPC1
CPSF3-I3	CPSF3
SCAF8-I3	SCAF8
RPRD1B-I1	RPRD1B
PHF3-I5	PHF3
NT-I2	NT
CSTF1-I5	CSTF1
RBBP6-I4	RBBP6
NT-I10	NT
CTR9-I7	CTR9
CPSF1-I3	CPSF1
PCF11-I5	PCF11
CPSF1-I3	CPSF1
CPSF3-I3	CPSF3
CPSF4-I8	CPSF4
CPSF4-I8	CPSF4
NUDT21-I3	NUDT21
CPSF1-I3	CPSF1
SCAF8-I3	SCAF8
CPSF1-I3	CPSF1
CPSF6-I5	CPSF6
LEO1-I2	LEO1
RPRD1B-I1	RPRD1B
CPSF3-I3	CPSF3
PCF11-I5	PCF11
CPSF2-I1	CPSF2
NT-I10	NT
RPRD1B-I1	RPRD1B
NT-I3	NT
NT-I4	NT
CTR9-I7	CTR9
NT-I3	NT
NUDT21-I3	NUDT21
NT-I5	NT
RPRD1B-I1	RPRD1B
PABPN1-I2	PABPN1
FIP1L1-I1	FIP1L1
LEO1-I2	LEO1
PAPOLA-I3	PAPOLA
NT-I10	NT
SCAF8-I3	SCAF8
LEO1-I2	LEO1
PAPOLA-I3	PAPOLA
CSTF3-I5	CSTF3
CPSF1-I3	CPSF1
CTR9-I7	CTR9
CPSF3-I3	CPSF3
RBBP6-I4	RBBP6
NUDT21-I3	NUDT21
CPSF2-I1	CPSF2
CPSF6-I5	CPSF6
NT-I6	NT
PAPOLA-I3	PAPOLA
NT-I10	NT
NT-I6	NT
CPSF1-I3	CPSF1
SCAF11-I3	SCAF11
SCAF11-I3	SCAF11
NT-I8	NT
PAPOLA-I3	PAPOLA
CPSF1-I3	CPSF1
CSTF2-I4	CSTF2
CPSF7-I1	CPSF7
PHF3-I5	PHF3
NT-I2	NT
CTR9-I7	CTR9
RPRD1A-I5	RPRD1A
PABPC1-I1	PABPC1
PHF3-I5	PHF3
LEO1-I2	LEO1
FIP1L1-I1	FIP1L1
PABPN1-I2	PABPN1
NT-I1	NT
NUDT21-I3	NUDT21
CPSF2-I1	CPSF2
NT-I5	NT
CPSF2-I1	CPSF2
CPSF3L-I8	CPSF3L
RBBP6-I4	RBBP6
CSTF3-I5	CSTF3
NUDT21-I3	NUDT21
LEO1-I2	LEO1
LEO1-I2	LEO1
NT-I1	NT
CPSF4-I8	CPSF4
PAPOLA-I3	PAPOLA
THOC5-I1	THOC5
CPSF7-I1	CPSF7
CSTF2-I4	CSTF2
LEO1-I2	LEO1
PAPOLA-I3	PAPOLA
FIP1L1-I1	FIP1L1
SCAF8-I3	SCAF8
RPRD1B-I1	RPRD1B
RPRD1B-I1	RPRD1B
CPSF7-I1	CPSF7
NT-I4	NT
NT-I7	NT
NT-I5	NT
CDC73-I2	CDC73
THOC5-I1	THOC5
RPRD1B-I1	RPRD1B
CPSF1-I3	CPSF1
NT-I6	NT
PAPOLA-I3	PAPOLA
NT-I2	NT
CPSF2-I1	CPSF2
CPSF3-I3	CPSF3
CPSF2-I1	CPSF2
CSTF2-I4	CSTF2
RPRD1A-I5	RPRD1A
CPSF6-I5	CPSF6
PHF3-I5	PHF3
NT-I4	NT
NT-I6	NT
LEO1-I2	LEO1
CPSF1-I3	CPSF1
CSTF1-I5	CSTF1
CPSF2-I1	CPSF2
NT-I3	NT
RPRD1B-I1	RPRD1B
SCAF11-I3	SCAF11
PHF3-I5	PHF3
NT-I10	NT
NT-I8	NT
NUDT21-I3	NUDT21
LEO1-I2	LEO1
CDC73-I2	CDC73
CPSF1-I3	CPSF1
CTR9-I7	CTR9
FIP1L1-I1	FIP1L1
CTR9-I7	CTR9
NT-I2	NT
FIP1L1-I1	FIP1L1
CPSF1-I3	CPSF1
PABPN1-I2	PABPN1
NT-I2	NT
PHF3-I5	PHF3
LEO1-I2	LEO1
NT-I7	NT
NT-I6	NT
NT-I2	NT
PAPOLA-I3	PAPOLA
CSTF2-I4	CSTF2
LEO1-I2	LEO1
LEO1-I2	LEO1
NT-I5	NT
NT-I6	NT
SCAF11-I3	SCAF11
CPSF3-I3	CPSF3
NT-I3	NT
PHF3-I5	PHF3
PAPOLA-I3	PAPOLA
SF3A1-I5	SF3A1
PHF3-I5	PHF3
CSTF3-I5	CSTF3
NT-I8	NT
LEO1-I2	LEO1
NT-I8	NT
NUDT21-I3	NUDT21
RPRD1A-I5	RPRD1A
NT-I7	NT
NT-I7	NT
CDC73-I2	CDC73
NT-I10	NT
NT-I9	NT
CSTF3-I5	CSTF3
CPSF1-I3	CPSF1
PHF3-I5	PHF3
SCAF11-I3	SCAF11
NT-I6	NT
CSTF2-I4	CSTF2
CDC73-I2	CDC73
PAPOLA-I3	PAPOLA
CPSF2-I1	CPSF2
NT-I7	NT
NT-I6	NT
CTR9-I7	CTR9
RBBP6-I4	RBBP6
CPSF3-I3	CPSF3
NT-I9	NT
PHF3-I5	PHF3
CPSF1-I3	CPSF1
NT-I3	NT
CSTF3-I5	CSTF3
SCAF8-I3	SCAF8
SF3A1-I5	SF3A1
CPSF4-I8	CPSF4
NT-I2	NT
NT-I8	NT
NT-I9	NT
NT-I8	NT
NT-I6	NT
SCAF8-I3	SCAF8
RBBP6-I4	RBBP6
SCAF8-I3	SCAF8
CPSF7-I1	CPSF7
FIP1L1-I1	FIP1L1
NT-I10	NT
NT-I8	NT
SCAF8-I3	SCAF8
CPSF1-I3	CPSF1
CPSF2-I1	CPSF2
CSTF2-I4	CSTF2
CPSF2-I1	CPSF2
SCAF11-I3	SCAF11
CPSF1-I3	CPSF1
NT-I4	NT
NUDT21-I3	NUDT21
RPRD1A-I5	RPRD1A
CSTF3-I5	CSTF3
CPSF6-I5	CPSF6
CPSF1-I3	CPSF1
CSTF2-I4	CSTF2
CSTF2-I4	CSTF2
NT-I3	NT
PCF11-I5	PCF11
SCAF11-I3	SCAF11
CPSF2-I1	CPSF2
SCAF8-I3	SCAF8
CDC73-I2	CDC73
CSTF3-I5	CSTF3
CPSF1-I3	CPSF1
PABPC1-I1	PABPC1
SCAF4-I4	SCAF4
NT-I10	NT
CPSF7-I1	CPSF7
CPSF2-I1	CPSF2
CPSF7-I1	CPSF7
CPSF7-I1	CPSF7
CPSF2-I1	CPSF2
NUDT21-I3	NUDT21
NT-I9	NT
CTR9-I7	CTR9
CSTF1-I5	CSTF1
CSTF3-I5	CSTF3
SCAF11-I3	SCAF11
CPSF1-I3	CPSF1
CSTF3-I5	CSTF3
NT-I6	NT
LEO1-I2	LEO1
LEO1-I2	LEO1
CPSF2-I1	CPSF2
CPSF7-I1	CPSF7
NT-I5	NT
CPSF2-I1	CPSF2
NT-I2	NT
NT-I10	NT
RBBP6-I4	RBBP6
SCAF8-I3	SCAF8
NT-I2	NT
SCAF4-I4	SCAF4
SCAF1-I2	SCAF1
RPRD1B-I1	RPRD1B
LEO1-I2	LEO1
NT-I6	NT
CPSF1-I3	CPSF1
CPSF7-I1	CPSF7
RPRD1A-I5	RPRD1A
SCAF8-I3	SCAF8
NT-I4	NT
PHF3-I5	PHF3
CDC73-I2	CDC73
NT-I4	NT
PHF3-I5	PHF3
SCAF8-I3	SCAF8
CPSF3L-I8	CPSF3L
CPSF1-I3	CPSF1
CTR9-I7	CTR9
NUDT21-I3	NUDT21
NT-I4	NT
CPSF4-I8	CPSF4
NT-I9	NT
CPSF3-I3	CPSF3
CPSF7-I1	CPSF7
FIP1L1-I1	FIP1L1
SCAF1-I2	SCAF1
LEO1-I2	LEO1
NUDT21-I3	NUDT21
NT-I7	NT
SCAF4-I4	SCAF4
NT-I9	NT
PHF3-I5	PHF3
CPSF1-I3	CPSF1
LEO1-I2	LEO1
NT-I5	NT
PAPOLA-I3	PAPOLA
SCAF11-I3	SCAF11
SCAF8-I3	SCAF8
NT-I6	NT
SCAF4-I4	SCAF4
NT-I10	NT
PAPOLA-I3	PAPOLA
CSTF3-I5	CSTF3
CPSF3-I3	CPSF3
CPSF1-I3	CPSF1
CPSF1-I3	CPSF1
CDC73-I2	CDC73
NT-I6	NT
NT-I6	NT
NT-I10	NT
PABPC1-I1	PABPC1
RPRD1B-I1	RPRD1B
NT-I2	NT
FIP1L1-I1	FIP1L1
CTR9-I7	CTR9
NT-I6	NT
SCAF11-I3	SCAF11
THOC5-I1	THOC5
SCAF1-I2	SCAF1
PHF3-I5	PHF3
NT-I9	NT
CPSF1-I3	CPSF1
RPRD1B-I1	RPRD1B
NT-I2	NT
PABPC1-I1	PABPC1
RPRD1B-I1	RPRD1B
CPSF4-I8	CPSF4
SCAF11-I3	SCAF11
LEO1-I2	LEO1
PHF3-I5	PHF3
NUDT21-I3	NUDT21
NT-I9	NT
NUDT21-I3	NUDT21
CPSF1-I3	CPSF1
SCAF8-I3	SCAF8
NT-I7	NT
SCAF8-I3	SCAF8
CPSF3L-I8	CPSF3L
CSTF3-I5	CSTF3
NT-I10	NT
CTR9-I7	CTR9
RPRD1A-I5	RPRD1A
THOC5-I1	THOC5
NT-I6	NT
CPSF1-I3	CPSF1
LEO1-I2	LEO1
CSTF3-I5	CSTF3
RBBP6-I4	RBBP6
LEO1-I2	LEO1
NUDT21-I3	NUDT21
CPSF6-I5	CPSF6
LEO1-I2	LEO1
NT-I10	NT
RPRD1A-I5	RPRD1A
CSTF2-I4	CSTF2
PABPC1-I1	PABPC1
CPSF6-I5	CPSF6
RPRD1B-I1	RPRD1B
SCAF1-I2	SCAF1
CPSF3-I3	CPSF3
RBBP6-I4	RBBP6
NT-I9	NT
CDC73-I2	CDC73
FIP1L1-I1	FIP1L1
RPRD1A-I5	RPRD1A
CPSF7-I1	CPSF7
SCAF4-I4	SCAF4
THOC5-I1	THOC5
PABPC1-I1	PABPC1
CSTF2-I4	CSTF2
NT-I8	NT
