cell	gene	count
Cell_10369_WXV	Mme	1
Cell_10369_WXV	Mmp13	1
Cell_10369_WXV	Mob1a	1
Cell_10369_WXV	Mob3c	1
Cell_10369_WXV	Morf4l1	1
Cell_10369_WXV	Morf4l2	1
Cell_10369_WXV	Mpc2	1
Cell_10369_WXV	Mpeg1	1
Cell_10369_WXV	Mplkip	1
Cell_10369_WXV	Mpp1	1
Cell_10369_WXV	Mprip	1
Cell_10369_WXV	Mrpl14	1
Cell_10369_WXV	Mrpl50	1
Cell_10369_WXV	Mrpl54	1
Cell_10369_WXV	Mrpl55	1
Cell_10369_WXV	Mrps30	1
Cell_10369_WXV	Mt2	1
Cell_10369_WXV	Mta3	1
Cell_10369_WXV	Mthfsl	1
Cell_10369_WXV	Mul1	1
Cell_10369_WXV	Mum1	1
Cell_10369_WXV	Mxd1	1
Cell_10369_WXV	Myd88	1
Cell_10369_WXV	Myh9	1
Cell_10369_WXV	Myl12a	1
Cell_10369_WXV	Myo10	1
Cell_10369_WXV	Naaa	1
Cell_10369_WXV	Naga	1
Cell_10369_WXV	Nagpa	1
Cell_10369_WXV	Nasp	1
Cell_10369_WXV	Ncam1	1
Cell_10369_WXV	Ncoa1	1
Cell_10369_WXV	Ncoa2	1
Cell_10369_WXV	Ncor1	1
Cell_10369_WXV	Ncstn	1
Cell_10369_WXV	Ndc1	1
Cell_10369_WXV	Ndel1	1
Cell_10369_WXV	Ndrg3	1
Cell_10369_WXV	Ndufa11	1
Cell_10369_WXV	Ndufa13	1
Cell_10369_WXV	Ndufa8	1
Cell_10369_WXV	Ndufs7	1
Cell_10369_WXV	Ndufv2	1
Cell_10369_WXV	Nedd9	1
Cell_10369_WXV	Nek1	1
Cell_10369_WXV	Nfat5	1
Cell_10369_WXV	Nfib	1
Cell_10369_WXV	Nfic	1
Cell_10369_WXV	Ngly1	1
Cell_10369_WXV	Ninl	1
Cell_10369_WXV	Nipa1	1
Cell_10369_WXV	Nisch	1
Cell_10369_WXV	Nkd2	1
Cell_10369_WXV	Nlgn2	1
Cell_10369_WXV	Nog	1
Cell_10369_WXV	Nono	1
Cell_10369_WXV	Nop56	1
Cell_10369_WXV	Npc2	1
Cell_10369_WXV	Npepps	1
Cell_10369_WXV	Npm3	1
Cell_10369_WXV	Nptn	1
Cell_10369_WXV	Nr3c1	1
Cell_10369_WXV	Nrbp2	1
Cell_10369_WXV	Nsa2	1
Cell_10369_WXV	Nsg1	1
Cell_10369_WXV	Ntng2	1
Cell_10369_WXV	Nufip2	1
Cell_10369_WXV	Nup155	1
Cell_10369_WXV	Nup214	1
Cell_10369_WXV	Nupr1	1
Cell_10369_WXV	Oat	1
Cell_10369_WXV	Ocrl	1
Cell_10369_WXV	Ogn	1
Cell_10369_WXV	Opa3	1
Cell_10369_WXV	Ophn1	1
Cell_10369_WXV	Ormdl1	1
Cell_10369_WXV	Oser1	1
Cell_10369_WXV	P2rx4	1
Cell_10369_WXV	P3h1	1
Cell_10369_WXV	P4ha1	1
Cell_10369_WXV	Pabpc1	1
Cell_10369_WXV	Pafah1b1	1
Cell_10369_WXV	Pam	1
Cell_10369_WXV	Papd7	1
Cell_10369_WXV	Papola	1
Cell_10369_WXV	Papss2	1
Cell_10369_WXV	Pard6g	1
Cell_10369_WXV	Parg	1
Cell_10369_WXV	Parn	1
Cell_10369_WXV	Pbx3	1
Cell_10369_WXV	Pcbd2	1
Cell_10369_WXV	Pcbp2	1
Cell_10369_WXV	Pcdhgb4	1
Cell_10369_WXV	Pcgf2	1
Cell_10369_WXV	Pcif1	1
Cell_10369_WXV	Pcnp	1
Cell_10369_WXV	Pdcd4	1
Cell_10369_WXV	Pdcd6	1
Cell_10369_WXV	Pdcl	1
Cell_10369_WXV	Pde2a	1
Cell_10369_WXV	Pdgfd	1
Cell_10369_WXV	Pdia4	1
Cell_10369_WXV	Pdia6	1
Cell_10369_WXV	Pex10	1
Cell_10369_WXV	Pfdn1	1
Cell_10369_WXV	Pfdn5	1
Cell_10369_WXV	Phactr2	1
Cell_10369_WXV	Phf12	1
Cell_10369_WXV	Phf3	1
Cell_10369_WXV	Picalm	1
Cell_10369_WXV	Pigp	1
Cell_10369_WXV	Pik3c2a	1
Cell_10369_WXV	Pik3r1	1
Cell_10369_WXV	Pin1	1
Cell_10369_WXV	Pip5k1c	1
Cell_10369_WXV	Pitpnc1	1
Cell_10369_WXV	Plagl1	1
Cell_10369_WXV	Pld1	1
Cell_10369_WXV	Plekha5	1
Cell_10369_WXV	Plekhg2	1
Cell_10369_WXV	Plekhh3	1
Cell_10369_WXV	Plxdc2	1
Cell_10369_WXV	Plxna2	1
Cell_10369_WXV	Plxnc1	1
Cell_10369_WXV	Pnp	1
Cell_10369_WXV	Pnpla6	1
Cell_10369_WXV	Podxl2	1
Cell_10369_WXV	Pogz	1
Cell_10369_WXV	Poldip3	1
Cell_10369_WXV	Pon2	1
Cell_10369_WXV	Ppib	1
Cell_10369_WXV	Ppic	1
Cell_10369_WXV	Ppif	1
Cell_10369_WXV	Ppm1a	1
Cell_10369_WXV	Ppp1cc	1
Cell_10369_WXV	Ppp1r10	1
Cell_10369_WXV	Ppp1r21	1
Cell_10369_WXV	Ppp2ca	1
Cell_10369_WXV	Ppp2r5c	1
Cell_10369_WXV	Ppt1	1
Cell_10369_WXV	Praf2	1
Cell_10369_WXV	Prdm2	1
Cell_10369_WXV	Prdx1	1
Cell_10369_WXV	Prdx4	1
Cell_10369_WXV	Prdx6	1
Cell_10369_WXV	Prkab2	1
Cell_10369_WXV	Prkd3	1
Cell_10369_WXV	Prps1	1
Cell_10369_WXV	Prps2	1
Cell_10369_WXV	Prr16	1
Cell_10369_WXV	Prss23	1
Cell_10369_WXV	Prss34	1
Cell_10369_WXV	Psap	1
Cell_10369_WXV	Psenen	1
Cell_10369_WXV	Pskh1	1
Cell_10369_WXV	Psmc1	1
Cell_10369_WXV	Psmd4	1
Cell_10369_WXV	Psmg1	1
Cell_10369_WXV	Pspc1	1
Cell_10369_WXV	Ptdss1	1
Cell_10369_WXV	Ptgfrn	1
Cell_10369_WXV	Ptpn11	1
Cell_10369_WXV	Ptprj	1
Cell_10369_WXV	Pttg1ip	1
Cell_10369_WXV	Ptx3	1
Cell_10369_WXV	Pum1	1
Cell_10369_WXV	Pus1	1
Cell_10369_WXV	R3hdm1	1
Cell_10369_WXV	Rab10	1
Cell_10369_WXV	Rab35	1
Cell_10369_WXV	Rac1	1
Cell_10369_WXV	Rad21	1
Cell_10369_WXV	Rad50	1
Cell_10369_WXV	Rad54l2	1
Cell_10369_WXV	Raf1	1
Cell_10369_WXV	Rai14	1
Cell_10369_WXV	Ralbp1	1
Cell_10369_WXV	Ralgapa1	1
Cell_10369_WXV	Ranbp9	1
Cell_10369_WXV	Raph1	1
Cell_10369_WXV	Rarres2	1
Cell_10369_WXV	Rassf1	1
Cell_10369_WXV	Rb1cc1	1
Cell_10369_WXV	Rbfox2	1
Cell_10369_WXV	Rbm4b	1
Cell_10369_WXV	Rbx1	1
Cell_10369_WXV	Rdh13	1
Cell_10369_WXV	Rdh14	1
Cell_10369_WXV	Reep3	1
Cell_10369_WXV	Rer1	1
Cell_10369_WXV	Rexo1	1
Cell_10369_WXV	Rexo2	1
Cell_10369_WXV	Rfxank	1
Cell_10369_WXV	Rgs2	1
Cell_10369_WXV	Rheb	1
Cell_10369_WXV	Rhoa	1
Cell_10369_WXV	Rhod	1
Cell_10369_WXV	Rnf111	1
Cell_10369_WXV	Rnf130	1
Cell_10369_WXV	Rnf145	1
Cell_10369_WXV	Rnf167	1
Cell_10369_WXV	Rnf169	1
Cell_10369_WXV	Rnf215	1
Cell_10369_WXV	Rnf219	1
Cell_10369_WXV	Rnf220	1
Cell_10369_WXV	Rnf4	1
Cell_10369_WXV	Rnf7	1
Cell_10369_WXV	Rnft1	1
Cell_10369_WXV	Rnh1	1
Cell_10369_WXV	Romo1	1
Cell_10369_WXV	Rpl11	1
Cell_10369_WXV	Rpl13a	1
Cell_10369_WXV	Rpl17	1
Cell_10369_WXV	Rpl26	1
Cell_10369_WXV	Rpl31	1
Cell_10369_WXV	Rpl36	1
Cell_10369_WXV	Rpl37	1
Cell_10369_WXV	Rpl7	1
Cell_10369_WXV	Rpl8	1
Cell_10369_WXV	Rplp1	1
Cell_10369_WXV	Rpn2	1
Cell_10369_WXV	Rps10	1
Cell_10369_WXV	Rps15	1
Cell_10369_WXV	Rps18	1
Cell_10369_WXV	Rps19	1
Cell_10369_WXV	Rps20	1
Cell_10369_WXV	Rps24	1
Cell_10369_WXV	Rps25	1
Cell_10369_WXV	Rps27a	1
Cell_10369_WXV	Rps27l	1
Cell_10369_WXV	Rps27rt	1
Cell_10369_WXV	Rps29	1
Cell_10369_WXV	Rps3a1	1
Cell_10369_WXV	Rps4x	1
Cell_10369_WXV	Rps5	1
Cell_10369_WXV	Rps6ka4	1
Cell_10369_WXV	Rps6kb1	1
Cell_10369_WXV	Rps8	1
Cell_10369_WXV	Rps9	1
Cell_10369_WXV	Rptor	1
Cell_10369_WXV	Rrad	1
Cell_10369_WXV	Rsad1	1
Cell_10369_WXV	Rsu1	1
Cell_10369_WXV	Rtn4rl1	1
Cell_10369_WXV	Runx2	1
Cell_10369_WXV	Rybp	1
Cell_10369_WXV	S1pr1	1
Cell_10369_WXV	S1pr2	1
Cell_10369_WXV	Sag	1
Cell_10369_WXV	Sav1	1
Cell_10369_WXV	Sbno2	1
Cell_10369_WXV	Scaf11	1
Cell_10369_WXV	Scd1	1
Cell_10369_WXV	Scp2	1
Cell_10369_WXV	Sdc1	1
Cell_10369_WXV	Sec24b	1
Cell_10369_WXV	Sec61a1	1
Cell_10369_WXV	Sec61b	1
Cell_10369_WXV	Sema6d	1
Cell_10369_WXV	Sept7	1
Cell_10369_WXV	Serf1	1
Cell_10369_WXV	Serpinh1	1
Cell_10369_WXV	Sertad1	1
Cell_10369_WXV	Sf3b3	1
Cell_10369_WXV	Sfrp2	1
Cell_10369_WXV	Sfxn1	1
Cell_10369_WXV	Sfxn5	1
Cell_10369_WXV	Sh3bgrl	1
Cell_10369_WXV	Sh3rf3	1
Cell_10369_WXV	Shc1	1
Cell_10369_WXV	Six1	1
Cell_10369_WXV	Slain2	1
Cell_10369_WXV	Slbp	1
Cell_10369_WXV	Slc10a7	1
Cell_10369_WXV	Slc25a11	1
Cell_10369_WXV	Slc25a24	1
Cell_10369_WXV	Slc25a37	1
Cell_10369_WXV	Slc25a51	1
Cell_10369_WXV	Slc29a1	1
Cell_10369_WXV	Slc31a2	1
Cell_10369_WXV	Slc37a4	1
Cell_10369_WXV	Slc39a1	1
Cell_10369_WXV	Slc39a11	1
Cell_10369_WXV	Slc39a14	1
Cell_10369_WXV	Slc3a2	1
Cell_10369_WXV	Slc40a1	1
Cell_10369_WXV	Slc43a2	1
Cell_10369_WXV	Slc7a6	1
Cell_10369_WXV	Slc7a7	1
Cell_10369_WXV	Slco1c1	1
Cell_10369_WXV	Slit2	1
Cell_10369_WXV	Smad7	1
Cell_10369_WXV	Smarcad1	1
Cell_10369_WXV	Smc5	1
Cell_10369_WXV	Smcr8	1
Cell_10369_WXV	Smdt1	1
Cell_10369_WXV	Smg1	1
Cell_10369_WXV	Smim13	1
Cell_10369_WXV	Smpd1	1
Cell_10369_WXV	Snai2	1
Cell_10369_WXV	Snrnp70	1
Cell_10369_WXV	Snx18	1
Cell_10369_WXV	Sod1	1
Cell_10369_WXV	Sp100	1
Cell_10369_WXV	Spaca1	1
Cell_10369_WXV	Spag9	1
Cell_10369_WXV	Spata6	1
Cell_10369_WXV	Spcs1	1
Cell_10369_WXV	Specc1	1
Cell_10369_WXV	Specc1l	1
Cell_10369_WXV	Spsb1	1
Cell_10369_WXV	Sptan1	1
Cell_10369_WXV	Srp54b	1
Cell_10369_WXV	Srsf7	1
Cell_10369_WXV	St3gal1	1
Cell_10369_WXV	St3gal3	1
Cell_10369_WXV	Stk25	1
Cell_10369_WXV	Stk38l	1
Cell_10369_WXV	Stt3b	1
Cell_10369_WXV	Stx12	1
Cell_10369_WXV	Stx4a	1
Cell_10369_WXV	Sumf1	1
Cell_10369_WXV	Sumo2	1
Cell_10369_WXV	Surf4	1
Cell_10369_WXV	Susd6	1
Cell_10369_WXV	Suz12	1
Cell_10369_WXV	Svep1	1
Cell_10369_WXV	Swap70	1
Cell_10369_WXV	Synj1	1
Cell_10369_WXV	Syt6	1
Cell_10369_WXV	Taldo1	1
Cell_10369_WXV	Tbc1d4	1
Cell_10369_WXV	Tbca	1
Cell_10369_WXV	Tbx15	1
Cell_10369_WXV	Tcaf1	1
Cell_10369_WXV	Tcea1	1
Cell_10369_WXV	Tceal8	1
Cell_10369_WXV	Tcf12	1
Cell_10369_WXV	Tcf4	1
Cell_10369_WXV	Tead1	1
Cell_10369_WXV	Tex2	1
Cell_10369_WXV	Tex261	1
Cell_10369_WXV	Tfam	1
Cell_10369_WXV	Tgfb3	1
Cell_10369_WXV	Tgfbr2	1
Cell_10369_WXV	Tgfbr3	1
Cell_10369_WXV	Tgif1	1
Cell_10369_WXV	Tgoln1	1
Cell_10369_WXV	Thap2	1
Cell_10369_WXV	Thoc2	1
Cell_10369_WXV	Thra	1
Cell_10369_WXV	Thumpd1	1
Cell_10369_WXV	Timp3	1
Cell_10369_WXV	Tiparp	1
Cell_10369_WXV	Tlk1	1
Cell_10369_WXV	Tln1	1
Cell_10369_WXV	Tm2d2	1
Cell_10369_WXV	Tm9sf2	1
Cell_10369_WXV	Tmco1	1
Cell_10369_WXV	Tmem135	1
Cell_10369_WXV	Tmem159	1
Cell_10369_WXV	Tmem167	1
Cell_10369_WXV	Tmem184c	1
Cell_10369_WXV	Tmem251	1
Cell_10369_WXV	Tmem47	1
Cell_10369_WXV	Tmem5	1
Cell_10369_WXV	Tmem50b	1
Cell_10369_WXV	Tmem60	1
Cell_10369_WXV	Tmem65	1
Cell_10369_WXV	Tmem9b	1
Cell_10369_WXV	Tmf1	1
Cell_10369_WXV	Tmsb10	1
Cell_10369_WXV	Tnfrsf19	1
Cell_10369_WXV	Tnpo3	1
Cell_10369_WXV	Tnrc6a	1
Cell_10369_WXV	Tnrc6c	1
Cell_10369_WXV	Tollip	1
Cell_10369_WXV	Tomm5	1
Cell_10369_WXV	Tomm7	1
Cell_10369_WXV	Top1mt	1
Cell_10369_WXV	Tor1a	1
Cell_10369_WXV	Tpbg	1
Cell_10369_WXV	Tpm4	1
Cell_10369_WXV	Tpp2	1
Cell_10369_WXV	Tpst2	1
Cell_10369_WXV	Tpt1	1
Cell_10369_WXV	Tra2a	1
Cell_10369_WXV	Trabd2b	1
Cell_10369_WXV	Trim62	1
Cell_10369_WXV	Trim65	1
Cell_10369_WXV	Trmt1l	1
Cell_10369_WXV	Trp53inp2	1
Cell_10369_WXV	Trpc1	1
Cell_10369_WXV	Tsc2	1
Cell_10369_WXV	Tsg101	1
Cell_10369_WXV	Tshz1	1
Cell_10369_WXV	Tspo	1
Cell_10369_WXV	Ttbk2	1
Cell_10369_WXV	Ttc19	1
Cell_10369_WXV	Ttc32	1
Cell_10369_WXV	Tubb5	1
Cell_10369_WXV	Txndc5	1
Cell_10369_WXV	Txnrd1	1
Cell_10369_WXV	Ube2e3	1
Cell_10369_WXV	Ube2f	1
Cell_10369_WXV	Ube2g1	1
Cell_10369_WXV	Ube2z	1
Cell_10369_WXV	Ubn2	1
Cell_10369_WXV	Ubxn4	1
Cell_10369_WXV	Ubxn6	1
Cell_10369_WXV	Ufsp2	1
Cell_10369_WXV	Ugcg	1
Cell_10369_WXV	Uggt1	1
Cell_10369_WXV	Uhmk1	1
Cell_10369_WXV	Umad1	1
Cell_10369_WXV	Upk3bl	1
Cell_10369_WXV	Uqcr10	1
Cell_10369_WXV	Uqcr11	1
Cell_10369_WXV	Uqcrq	1
Cell_10369_WXV	Usp25	1
Cell_10369_WXV	Uty	1
Cell_10369_WXV	Vars	1
Cell_10369_WXV	Vcl	1
Cell_10369_WXV	Vdac1	1
Cell_10369_WXV	Vegfa	1
Cell_10369_WXV	Vgll4	1
Cell_10369_WXV	Vmp1	1
Cell_10369_WXV	Vps35	1
Cell_10369_WXV	Vps37a	1
Cell_10369_WXV	Vps51	1
Cell_10369_WXV	Wac	1
Cell_10369_WXV	Wdr12	1
Cell_10369_WXV	Wdr60	1
Cell_10369_WXV	Wif1	1
Cell_10369_WXV	Wsb1	1
Cell_10369_WXV	Wtip	1
Cell_10369_WXV	Xbp1	1
Cell_10369_WXV	Xylt2	1
Cell_10369_WXV	Ybx3	1
Cell_10369_WXV	Yipf3	1
Cell_10369_WXV	Ywhah	1
Cell_10369_WXV	Zbtb4	1
Cell_10369_WXV	Zcchc6	1
Cell_10369_WXV	Zeb2	1
Cell_10369_WXV	Zfand3	1
Cell_10369_WXV	Zfand5	1
Cell_10369_WXV	Zfand6	1
Cell_10369_WXV	Zfp131	1
Cell_10369_WXV	Zfp142	1
Cell_10369_WXV	Zfp157	1
Cell_10369_WXV	Zfp280d	1
Cell_10369_WXV	Zfp282	1
Cell_10369_WXV	Zfp36l2	1
Cell_10369_WXV	Zfp395	1
Cell_10369_WXV	Zfp451	1
Cell_10369_WXV	Zfp503	1
Cell_10369_WXV	Zfp618	1
Cell_10369_WXV	Zfp697	1
Cell_10369_WXV	Zfp710	1
Cell_10369_WXV	Zfyve19	1
Cell_10369_WXV	Zkscan3	1
Cell_10369_WXV	Zmiz1	1
Cell_10369_WXV	Zmym2	1
Cell_10369_WXV	Zmynd11	1
Cell_10369_WXV	Zzef1	1
Cell_11249_MCI	Malat1	134
Cell_11249_MCI	Inmt	25
Cell_11249_MCI	Mgp	25
Cell_11249_MCI	Gsn	23
Cell_11249_MCI	Fth1	18
Cell_11249_MCI	Apoe	14
Cell_11249_MCI	Igfbp7	8
Cell_11249_MCI	Mfap4	7
Cell_11249_MCI	Rps23	7
Cell_11249_MCI	Serping1	7
Cell_11249_MCI	Ftl1	6
Cell_11249_MCI	Gpx3	6
Cell_11249_MCI	Rpl21	6
Cell_11249_MCI	Tmsb10	6
Cell_11249_MCI	Itm2b	5
Cell_11249_MCI	Rpl10a	5
Cell_11249_MCI	Rpl13a	5
Cell_11249_MCI	Rpl18a	5
Cell_11249_MCI	Rpl37a	5
Cell_11249_MCI	Rps16	5
Cell_11249_MCI	Rps27	5
Cell_11249_MCI	Rps29	5
Cell_11249_MCI	Sparcl1	5
Cell_11249_MCI	Tmsb4x	5
Cell_11249_MCI	Ubb	5
Cell_11249_MCI	Cyr61	4
Cell_11249_MCI	Eif1	4
Cell_11249_MCI	Fau	4
Cell_11249_MCI	Ifitm3	4
Cell_11249_MCI	Laptm4a	4
Cell_11249_MCI	Rpl34	4
Cell_11249_MCI	Rpl37	4
Cell_11249_MCI	Rpl41	4
Cell_11249_MCI	Rplp1	4
Cell_11249_MCI	Rps3a1	4
Cell_11249_MCI	Rps7	4
Cell_11249_MCI	Tmem176a	4
Cell_11249_MCI	Tpt1	4
Cell_11249_MCI	Akr1b3	3
Cell_11249_MCI	B2m	3
Cell_11249_MCI	Cfh	3
Cell_11249_MCI	Col6a1	3
Cell_11249_MCI	Cox7a2l	3
Cell_11249_MCI	Fkbp7	3
Cell_11249_MCI	Fmo2	3
Cell_11249_MCI	Gpm6b	3
Cell_11249_MCI	Igfbp6	3
Cell_11249_MCI	Limch1	3
Cell_11249_MCI	Nfib	3
Cell_11249_MCI	Nop10	3
Cell_11249_MCI	Nupr1	3
Cell_11249_MCI	Ppp1r14a	3
Cell_11249_MCI	Rab18	3
Cell_11249_MCI	Rpl19	3
Cell_11249_MCI	Rpl23a	3
Cell_11249_MCI	Rpl24	3
Cell_11249_MCI	Rpl26	3
Cell_11249_MCI	Rpl38	3
Cell_11249_MCI	Rpl9	3
Cell_11249_MCI	Rps18	3
Cell_11249_MCI	Rps19	3
Cell_11249_MCI	Rps28	3
Cell_11249_MCI	Rps3	3
Cell_11249_MCI	Rps5	3
Cell_11249_MCI	Rps6	3
Cell_11249_MCI	Rsrp1	3
Cell_11249_MCI	S100a6	3
Cell_11249_MCI	Sec61g	3
Cell_11249_MCI	Selenbp1	3
Cell_11249_MCI	Sept4	3
Cell_11249_MCI	Smim14	3
Cell_11249_MCI	Actb	2
Cell_11249_MCI	Aldh2	2
Cell_11249_MCI	Anxa5	2
Cell_11249_MCI	Aplp2	2
Cell_11249_MCI	Art3	2
Cell_11249_MCI	Atp2b1	2
Cell_11249_MCI	Calm2	2
Cell_11249_MCI	Cd151	2
Cell_11249_MCI	Cd63	2
Cell_11249_MCI	Cd81	2
Cell_11249_MCI	Crip1	2
Cell_11249_MCI	Csrp1	2
Cell_11249_MCI	Ctsb	2
Cell_11249_MCI	Eif2s2	2
Cell_11249_MCI	Eif4a2	2
Cell_11249_MCI	Fhl1	2
Cell_11249_MCI	Ganc	2
Cell_11249_MCI	Gstm1	2
Cell_11249_MCI	Hsp90ab1	2
Cell_11249_MCI	Hspa5	2
Cell_11249_MCI	Hspb1	2
Cell_11249_MCI	Id3	2
Cell_11249_MCI	Ifitm2	2
Cell_11249_MCI	Ifnar2	2
Cell_11249_MCI	Itga8	2
Cell_11249_MCI	Junb	2
Cell_11249_MCI	Klf2	2
Cell_11249_MCI	Klf9	2
Cell_11249_MCI	Lgals1	2
Cell_11249_MCI	Lgals3bp	2
Cell_11249_MCI	Litaf	2
Cell_11249_MCI	Lrp1	2
Cell_11249_MCI	Lsr	2
Cell_11249_MCI	Ltbp4	2
Cell_11249_MCI	Macf1	2
Cell_11249_MCI	Mfap5	2
Cell_11249_MCI	Mgst1	2
Cell_11249_MCI	Mllt10	2
Cell_11249_MCI	Morf4l2	2
Cell_11249_MCI	Mrpl20	2
Cell_11249_MCI	Mrps5	2
Cell_11249_MCI	Mtdh	2
Cell_11249_MCI	Ndufc2	2
Cell_11249_MCI	Pcolce2	2
Cell_11249_MCI	Plxdc2	2
Cell_11249_MCI	Ppp1r2	2
Cell_11249_MCI	Prdx1	2
Cell_11249_MCI	Rarres2	2
Cell_11249_MCI	Rbx1	2
Cell_11249_MCI	Rhoa	2
Cell_11249_MCI	Rpl14	2
Cell_11249_MCI	Rpl28	2
Cell_11249_MCI	Rpl35	2
Cell_11249_MCI	Rpl36a	2
Cell_11249_MCI	Rpl39	2
Cell_11249_MCI	Rpl5	2
Cell_11249_MCI	Rpl6	2
Cell_11249_MCI	Rpl7a	2
Cell_11249_MCI	Rpl8	2
Cell_11249_MCI	Rpn2	2
Cell_11249_MCI	Rps10	2
Cell_11249_MCI	Rps12	2
Cell_11249_MCI	Rps14	2
Cell_11249_MCI	Rps15	2
Cell_11249_MCI	Rps20	2
Cell_11249_MCI	Rps25	2
Cell_11249_MCI	Rps27a	2
Cell_11249_MCI	Socs2	2
Cell_11249_MCI	Son	2
Cell_11249_MCI	Sparc	2
Cell_11249_MCI	Srsf5	2
Cell_11249_MCI	Tapbp	2
Cell_11249_MCI	Tmem59	2
Cell_11249_MCI	Tsc22d1	2
Cell_11249_MCI	Upk1b	2
Cell_11249_MCI	Zfp36l1	2
Cell_11249_MCI	1110004F10Rik	1
Cell_11249_MCI	1110032A03Rik	1
Cell_11249_MCI	1110046J04Rik	1
Cell_11249_MCI	2010111I01Rik	1
Cell_11249_MCI	2210016L21Rik	1
Cell_11249_MCI	2510002D24Rik	1
Cell_11249_MCI	6030408B16Rik	1
Cell_11249_MCI	Abhd17c	1
Cell_11249_MCI	Abracl	1
Cell_11249_MCI	Actg1	1
Cell_11249_MCI	Adm	1
Cell_11249_MCI	Aes	1
Cell_11249_MCI	Agtrap	1
Cell_11249_MCI	Ahdc1	1
Cell_11249_MCI	Ahsa1	1
Cell_11249_MCI	Aldh6a1	1
Cell_11249_MCI	Aldoa	1
Cell_11249_MCI	Alg6	1
Cell_11249_MCI	Amfr	1
Cell_11249_MCI	Anapc13	1
Cell_11249_MCI	Angptl4	1
Cell_11249_MCI	Ankrd12	1
Cell_11249_MCI	Anxa4	1
Cell_11249_MCI	Appbp2	1
Cell_11249_MCI	Arhgap24	1
Cell_11249_MCI	Arhgap5	1
Cell_11249_MCI	Arhgdia	1
Cell_11249_MCI	Arl6ip4	1
Cell_11249_MCI	Arl6ip5	1
Cell_11249_MCI	Armcx6	1
Cell_11249_MCI	Arpc3	1
Cell_11249_MCI	Atp5b	1
Cell_11249_MCI	Atp5g1	1
Cell_11249_MCI	Atp5h	1
Cell_11249_MCI	Atp5j	1
Cell_11249_MCI	Atp5k	1
Cell_11249_MCI	Atp5l	1
Cell_11249_MCI	Atp6ap2	1
Cell_11249_MCI	Atp6v1g1	1
Cell_11249_MCI	Atp9b	1
Cell_11249_MCI	Atxn7l3b	1
Cell_11249_MCI	Banf1	1
Cell_11249_MCI	Bbip1	1
Cell_11249_MCI	BC004004	1
Cell_11249_MCI	Bcas2	1
Cell_11249_MCI	Bin1	1
Cell_11249_MCI	Birc6	1
Cell_11249_MCI	Bloc1s2	1
Cell_11249_MCI	Bmp2k	1
Cell_11249_MCI	Bnip3l	1
Cell_11249_MCI	Boc	1
Cell_11249_MCI	Brd4	1
Cell_11249_MCI	Btg1	1
Cell_11249_MCI	C1ra	1
Cell_11249_MCI	C7	1
Cell_11249_MCI	Cacybp	1
Cell_11249_MCI	Cald1	1
Cell_11249_MCI	Calm3	1
Cell_11249_MCI	Capg	1
Cell_11249_MCI	Ccl7	1
Cell_11249_MCI	Ccni	1
Cell_11249_MCI	Cd109	1
Cell_11249_MCI	Cd44	1
Cell_11249_MCI	Cdc26	1
Cell_11249_MCI	Cdc42	1
Cell_11249_MCI	Cdc5l	1
Cell_11249_MCI	Cdk9	1
Cell_11249_MCI	Cdo1	1
Cell_11249_MCI	Cebpb	1
Cell_11249_MCI	Cep85l	1
Cell_11249_MCI	Cers4	1
Cell_11249_MCI	Cers5	1
Cell_11249_MCI	Cetn3	1
Cell_11249_MCI	Cfdp1	1
Cell_11249_MCI	Chchd2	1
Cell_11249_MCI	Chmp2a	1
Cell_11249_MCI	Chmp3	1
Cell_11249_MCI	Chmp4b	1
Cell_11249_MCI	Chpf	1
Cell_11249_MCI	Clec3b	1
Cell_11249_MCI	Clk1	1
Cell_11249_MCI	Clstn1	1
Cell_11249_MCI	Cmbl	1
Cell_11249_MCI	Cnbp	1
Cell_11249_MCI	Cnot6	1
Cell_11249_MCI	Col3a1	1
Cell_11249_MCI	Col4a1	1
Cell_11249_MCI	Comt	1
Cell_11249_MCI	Copg2	1
Cell_11249_MCI	Cox14	1
Cell_11249_MCI	Cox17	1
Cell_11249_MCI	Cox20	1
Cell_11249_MCI	Cox6b1	1
Cell_11249_MCI	Cox6b2	1
Cell_11249_MCI	Cox6c	1
Cell_11249_MCI	Cp	1
Cell_11249_MCI	Crip2	1
Cell_11249_MCI	Csnk1e	1
Cell_11249_MCI	Ctbp1	1
Cell_11249_MCI	Cxcl12	1
Cell_11249_MCI	Cxcl14	1
Cell_11249_MCI	Cyba	1
Cell_11249_MCI	Cyfip1	1
Cell_11249_MCI	Dad1	1
Cell_11249_MCI	Dap3	1
Cell_11249_MCI	Dcn	1
Cell_11249_MCI	Dctn3	1
Cell_11249_MCI	Ddx46	1
Cell_11249_MCI	Dennd1b	1
Cell_11249_MCI	Derl2	1
Cell_11249_MCI	Dhrs1	1
Cell_11249_MCI	Dhx30	1
Cell_11249_MCI	Dido1	1
Cell_11249_MCI	Dmxl1	1
Cell_11249_MCI	Dnajb6	1
Cell_11249_MCI	Dnajb9	1
Cell_11249_MCI	Dnlz	1
Cell_11249_MCI	Dnm1	1
Cell_11249_MCI	Dnttip1	1
Cell_11249_MCI	Dpep1	1
Cell_11249_MCI	Dusp1	1
Cell_11249_MCI	Dusp6	1
Cell_11249_MCI	Dynll1	1
