sample	cluster	n
Patient_061	23	1
Patient_061	24	1
Patient_061	26	35
Patient_061	28	1495
Patient_061	3	64
Patient_061	30	27
Patient_061	35	12
Patient_061	4	32
Patient_061	5	1
Patient_061	6	34
Patient_061	8	5
Patient_061	9	12
Patient_062	0	2
Patient_062	1	3
Patient_062	10	10
Patient_062	12	44
Patient_062	13	31
Patient_062	14	119
Patient_062	15	4
Patient_062	16	6
Patient_062	18	4
Patient_062	21	19
Patient_062	22	52
Patient_062	24	1
Patient_062	25	1
Patient_062	26	4
Patient_062	28	710
Patient_062	3	5
Patient_062	30	5
Patient_062	35	76
Patient_062	4	18
Patient_062	5	1
Patient_062	6	3
Patient_062	8	6
Patient_062	9	1
Patient_063	0	63
Patient_063	1	20
Patient_063	10	4
Patient_063	11	42
Patient_063	12	15
Patient_063	13	33
Patient_063	14	4
Patient_063	15	6
Patient_063	18	75
Patient_063	2	2
Patient_063	21	8
Patient_063	22	35
Patient_063	23	1
Patient_063	28	2
Patient_063	3	1
Patient_063	31	4
Patient_063	32	2
Patient_063	4	11
Patient_063	5	5
Patient_063	6	13
Patient_063	7	4
Patient_063	8	10
Patient_064	0	62
Patient_064	1	19
Patient_064	11	55
Patient_064	12	19
Patient_064	13	31
Patient_064	14	4
Patient_064	15	1
Patient_064	18	73
Patient_064	2	1
Patient_064	20	2
Patient_064	21	4
Patient_064	22	22
Patient_064	23	1
Patient_064	3	2
Patient_064	31	1
Patient_064	32	4
Patient_064	4	7
Patient_064	5	3
Patient_064	6	13
Patient_064	7	3
Patient_064	8	7
Patient_065	0	86
Patient_065	1	27
Patient_065	10	4
Patient_065	11	34
Patient_065	12	45
Patient_065	13	80
Patient_065	14	23
Patient_065	15	7
Patient_065	16	3
Patient_065	18	135
Patient_065	19	1
Patient_065	2	6
Patient_065	20	2
Patient_065	21	16
Patient_065	22	22
Patient_065	28	9
Patient_065	3	5
Patient_065	31	4
Patient_065	32	2
Patient_065	4	17
Patient_065	5	4
Patient_065	6	12
Patient_065	7	3
Patient_065	8	11
Patient_066	0	60
Patient_066	1	22
Patient_066	10	18
Patient_066	11	104
Patient_066	12	21
Patient_066	13	88
Patient_066	14	17
Patient_066	15	6
Patient_066	16	9
Patient_066	18	48
Patient_066	2	37
Patient_066	20	2
Patient_066	21	9
Patient_066	22	27
Patient_066	24	2
Patient_066	26	4
Patient_066	3	9
Patient_066	32	6
Patient_066	4	6
Patient_066	6	9
Patient_066	7	2
Patient_066	8	19
Patient_067	0	102
Patient_067	1	18
Patient_067	10	81
Patient_067	11	104
Patient_067	12	42
Patient_067	13	262
Patient_067	14	89
Patient_067	15	39
Patient_067	16	14
Patient_067	18	58
Patient_067	19	2
Patient_067	2	20
Patient_067	20	6
Patient_067	21	15
Patient_067	22	38
Patient_067	23	2
Patient_067	26	17
Patient_067	28	4
Patient_067	29	1
Patient_067	3	59
Patient_067	30	1
Patient_067	32	13
Patient_067	33	1
Patient_067	4	16
Patient_067	5	3
Patient_067	6	34
Patient_067	8	19
Patient_067	9	3
