	SRR5085170
YNL062C	13
YNL135C	20
YNL212W	24
YNL243W	44
YNL220W	54
YNL219C	13
YNL079C	33
YNL244C	16
YJL204C	10
YJR105W	206
YJR088C	16
YJL020C	16
YJR131W	19
YJR069C	15
YJL186W	30
YJL008C	79
YJL061W	7
YJR085C	10
YJR040W	11
YJL189W	55
YJR005W	29
YJR049C	14
YJR002W	35
YJR145C	269
YJR009C	267
YJL173C	16
YJR014W	9
YJR135W-A	11
YJR045C	57
YJL176C	11
YJL159W	82
YJR060W	9
YJR119C	10
YJR092W	16
YJL010C	19
YJR140C	24
YJL136C	152
YJL117W	17
YJL079C	14
YJL171C	5
YJL172W	21
YJL093C	9
YJL050W	42
YJL002C	80
YJL201W	6
snR128	64
YJL029C	9
YJR144W	12
YJL073W	13
YJR094W-A	83
YJL052W	57
YJR139C	99
YJL016W	12
YJR007W	85
YJR065C	39
YJR072C	22
YJR133W	15
YJL012C	48
YJR121W	76
YJL145W	15
YJR064W	169
YJL074C	20
YJL111W	66
YJL158C	79
YJR016C	103
YJL208C	7
YJL197W	14
YJL078C	9
YJR117W	20
YJR057W	30
YJL081C	8
YJL054W	19
YJR137C	9
YJL192C	28
YJR001W	26
YJL190C	220
YJL055W	11
YJL085W	9
YJR109C	20
YJL167W	48
YJL036W	10
YJL168C	12
YJR066W	11
YJL001W	12
YJL212C	9
YJR125C	8
YJR051W	17
YJL200C	19
YJL129C	15
YJR103W	13
YJL044C	13
YJL157C	24
YJL034W	98
YJL183W	51
YJR031C	19
YJR077C	21
YJR033C	8
YJL068C	12
YJL112W	11
YJL039C	30
YJR090C	16
YJL174W	16
YJL014W	54
YJR075W	16
YJR126C	11
YJL005W	19
YJR076C	22
YJL217W	10
YJL207C	26
YJL198W	14
YJR073C	9
YJR143C	26
YJL177W	118
YJR032W	14
YJL140W	23
YJR068W	21
YJR017C	15
YJL026W	61
YJL101C	12
YJR041C	29
YJL080C	77
YJR091C	11
YJL121C	6
YJL138C	21
YJL130C	128
snR190	22
YJL069C	25
YJL091C	9
YJL033W	21
YJL041W	16
YJR148W	69
YJL123C	39
YJR123W	263
YJR015W	13
YJL154C	39
YJL035C	7
YJR089W	20
YJL042W	18
YJR003C	16
YJL124C	10
YJR104C	80
YJR070C	39
YJR054W	10
YJL191W	9
YJL109C	73
YJL178C	14
YJL098W	36
YJL196C	20
YJL148W	17
YJL031C	12
YJR132W	27
YJR042W	31
YJR127C	12
YJL210W	7
YJR134C	19
YJL076W	22
YKR092C	33
YKL002W	16
YKL173W	20
YKL180W	114
YKL004W	6
YKL143W	22
YKL172W	65
YKR014C	10
YKR099W	7
YKL110C	13
YKL094W	22
YKR094C	423
YKL157W	42
YKR062W	10
YKR038C	17
YKR048C	33
YKL096W-A	124
YKL014C	22
YKR082W	27
YKL126W	13
YKR072C	20
YKL074C	9
YKL018W	11
YKL135C	12
YKL112W	22
YKR080W	24
YKR068C	7
YKR027W	16
YKL081W	190
YKR001C	32
YKR095W	48
YKL100C	15
YKR074W	18
YKL024C	27
YKL073W	22
YKL104C	42
YKL191W	25
YKR042W	106
YKR013W	22
YKL039W	9
YKL155C	6
YKR089C	15
YKR018C	29
YKR079C	14
YKL027W	7
YKL035W	77
YKL207W	28
YKR066C	12
YKL117W	43
YKL007W	18
YKL021C	30
YKL148C	6
YKL038W	13
YKL125W	15
YKL077W	17
YKR024C	22
YKR056W	25
YKL203C	10
YKR054C	14
YKR057W	207
YKL122C	16
YKL113C	18
YKL213C	20
YKR063C	12
YKL174C	9
YKR011C	11
YKL005C	14
YKL006W	112
YKL182W	274
YKL099C	10
YKL179C	30
YKL047W	9
YKL181W	94
YKL209C	67
YKR086W	13
YKL141W	18
YKL065C	11
YKL013C	30
YKL040C	12
YKL096W	26
YKL210W	106
YKL015W	7
YKL009W	31
YKL195W	45
YKL130C	11
YKL064W	13
YKR026C	8
YKL196C	23
YKL109W	12
YKR071C	5
YKR036C	11
YKR084C	11
YKL216W	72
YKL020C	10
YKL067W	18
YKR031C	10
YKL151C	16
YKL105C	15
YKL082C	22
YKR070W	9
YKR016W	13
YKR059W	31
YKL142W	30
YKL160W	9
YKR043C	18
YKL019W	13
YKL184W	29
YKL176C	20
YKL033W-A	26
YKL010C	20
YKL175W	6
YKL120W	27
YKL068W	8
YKR028W	24
YKL152C	1257
YKL080W	46
YKL185W	9
YKR081C	13
YKL101W	15
YKR008W	13
YKL056C	338
YKL156W	27
YKL204W	12
YKL190W	8
YKL211C	27
YKL127W	13
YKL205W	12
YKR003W	12
YKL028W	15
YKL193C	11
YKL212W	49
YKL054C	23
snR38	5
YKR096W	5
YKL164C	35
YKL079W	14
YKL012W	18
YKL106W	11
YKR065C	13
YKL045W	11
YKR060W	15
YKL085W	29
YKL165C	18
snR64	45
YKL046C	24
YKL058W	2
YKL060C	1748
YKL215C	10
YKL033W	18
YKR023W	4
YKR067W	12
YKL114C	15
YKL145W	87
YKL057C	28
YKL128C	20
YKL008C	19
YKL029C	37
YKL119C	20
YER056C-A	103
YEL054C	73
YEL047C	27
YER172C	15
YEL032W	17
YEL040W	162
YER105C	34
YEL053C	10
YEL046C	22
YER013W	14
YEL036C	34
YER094C	72
YEL034W	232
YER131W	28
YER145C	27
YER176W	23
YER177W	202
YER043C	104
YER141W	14
YER080W	27
YER052C	16
YER070W	59
YEL007W	15
YEL026W	47
YER040W	4
YER012W	5
YEL060C	10
YER081W	26
YER072W	16
YER178W	48
YER030W	12
YER003C	24
YEL065W	7
YEL055C	32
YER089C	17
YER166W	32
YER082C	12
YER125W	31
YER122C	32
YEL033W	6
YER006W	40
YEL002C	54
YER103W	35
YER007C-A	13
YER120W	27
YER164W	0
snR52	125
YEL042W	30
YER008C	13
YER114C	12
YER143W	6
YER048C	33
YER155C	39
snR4	12
YER031C	21
YEL006W	15
YER100W	11
YER129W	16
YER048W-A	15
YER171W	10
YER078C	6
YEL017C-A	10
YER133W	66
YER186C	12
YER022W	12
YER157W	18
YEL038W	8
YER063W	15
YER127W	26
YEL071W	34
YEL043W	12
YER017C	10
YER009W	65
SCR1	69
YER019C-A	15
YEL050C	19
YER062C	27
YER016W	10
YEL025C	16
YER023W	27
YER136W	16
YER151C	15
YER064C	17
YER130C	22
YEL015W	18
YER113C	18
YER005W	30
YER102W	156
YEL031W	62
YER073W	27
YEL027W	95
YER049W	42
YEL037C	24
YER088C	10
YER021W	56
YER004W	15
YER117W	167
YER168C	9
YER124C	42
YER086W	42
YER148W	16
YEL022W	21
YEL001C	22
YER056C	38
YER087C-B	10
YEL013W	16
YER074W	95
YEL051W	24
YEL061C	17
YER036C	77
YEL009C	98
YER156C	29
YER090W	23
snR67	24
YER026C	12
YER025W	32
YER126C	11
YER165W	121
YEL058W	31
YEL020W-A	16
YER077C	14
YER110C	65
YER001W	28
YER087W	7
YER055C	95
YER091C	54
YHR094C	10
YHR045W	21
YHR206W	9
YHR005C-A	25
YHR007C	133
YHR132C	16
YHR025W	28
YHR073W	17
YHR064C	100
YHR143W	17
YHR003C	19
YHR154W	11
YHR031C	8
YHR186C	3
YHR039C-A	42
YHR165C	30
YHL025W	17
YHR079C	10
YHR065C	20
YHR056C	7
YHR135C	15
YHR086W	11
YHR146W	14
YHR195W	17
YHR119W	4
YHL039W	27
YHR026W	74
YHR113W	21
YHR208W	60
YHR001W	17
YHR131C	11
YHR141C	167
YHR170W	110
YHR161C	10
YHR074W	16
YHR164C	10
YHR163W	32
YHR021C	37
YHL034C	26
YHR190W	68
YHR117W	27
YHL015W	291
YHR108W	7
YHR092C	39
YHL003C	30
YHR070W	15
YHR133C	7
YHR098C	30
YHR120W	10
YHL030W	52
YHR203C	161
YHR168W	7
YHR050W	12
YHR027C	90
YHR188C	21
YHR099W	28
YHR196W	33
YHR174W	2638
YHR179W	57
YHR121W	14
YHR063C	18
YHL017W	18
YHL035C	6
YHR115C	14
YHL007C	17
YHR018C	21
YHR068W	43
YHR037W	15
YHR077C	24
YHR052W	21
YHR123W	13
YHR009C	19
YHR072W-A	18
YHR019C	116
YHR104W	12
YHR083W	19
YHR032W	27
YHR008C	17
YHL038C	12
YHL033C	119
YHR066W	29
YHR201C	27
YHR103W	23
YHR082C	12
YHR020W	49
YHR128W	19
YHR047C	40
YHR197W	11
YHR028C	45
YHR137W	16
YHR158C	9
YHR042W	25
YHR069C	7
YHR200W	22
YHR114W	15
YHR039C	3
YHL011C	60
YHR199C	18
YHR193C	22
YHR030C	10
YHR162W	61
YHR089C	11
YHR010W	121
YHR005C	53
YHR183W	95
YHR049W	6
YHR072W	15
YHR107C	13
YHR143W-A	19
YHR023W	43
YHR136C	10
YHL001W	22
YHR181W	2
YIL050W	11
YIL126W	32
YIL026C	11
YIL068C	11
YIL009W	12
YIR004W	13
YIR022W	12
YIL133C	101
YIL123W	20
YIR002C	7
YIL067C	10
YIL110W	18
YIL128W	15
YIL064W	11
YIL147C	22
YIL149C	30
YIR033W	33
YIL105C	6
YIL070C	14
YIL051C	26
YIL118W	17
YIR034C	7
YIL109C	28
YIL039W	18
YIL074C	27
YIL022W	17
YIL030C	16
YIL014W	13
YIL137C	21
YIR037W	12
YIL143C	10
YIR008C	11
YIL129C	20
YIL124W	29
YIL115C	21
YIL035C	22
YIL094C	37
YIL103W	11
YIL002C	13
YIR012W	11
YIL112W	13
YIL075C	63
YIL018W	645
YIL085C	30
snR68	14
YIL076W	25
YIL053W	154
YIL062C	39
YIL019W	5
YIL093C	8
YIL020C	12
YIL023C	12
YIL142W	65
YIL034C	15
YIL091C	25
YIL078W	264
YIL052C	187
YIL125W	16
YIL138C	10
YIL130W	14
YIL043C	44
YIL021W	19
YIL038C	18
YIL157C	12
YIL121W	10
YIL088C	16
YIL148W	298
YIL145C	26
YIR006C	23
YIR035C	7
YIL036W	23
YIL033C	28
YIL041W	35
YIL090W	7
YIL069C	37
YIL047C	30
YIL015W	28
YIL116W	10
YCR031C	67
YCL011C	58
YCL040W	70
YCR052W	15
YCL024W	5
YCR036W	12
YCR092C	14
YCL034W	23
YCR094W	10
YCL028W	7
YCR011C	36
YCL057W	28
YCR002C	21
YCR035C	29
YCR032W	8
YCL059C	20
YCR017C	20
YCR043C	9
YCL009C	50
YCL045C	40
YCR088W	24
YCR037C	12
YCR077C	12
YCR009C	26
YCR053W	83
YCR072C	5
YCR057C	20
YCL030C	103
YCR008W	13
YCR042C	30
YCL055W	10
YCL031C	14
YCR033W	7
YCR024C-B	62
YCR034W	18
YCL052C	15
YCR004C	16
YCR059C	6
YCR028C-A	19
YCL064C	32
YCR028C	10
YCR084C	25
YCL017C	4
YCL014W	11
YCL050C	41
YCR067C	9
YCR047C	13
YCR026C	12
YCR093W	28
YCR012W	1258
YCL043C	181
YCL025C	3
YCR023C	7
YCR030C	13
YCR016W	9
YCL054W	31
YCR024C-A	24
YFL026W	116
YFR052W	15
YFL018C	27
YFR006W	32
YFL024C	19
YFL013C	9
YFL046W	4
YFR055W	12
YFR013W	17
YFR044C	33
YFR009W	34
YFL045C	57
YFL047W	22
YFR032C-A	29
YFR024C-A	29
YFR002W	37
YFL033C	15
YFL008W	24
YFR005C	10
YFL022C	29
YFL028C	14
YFL002C	16
YFR001W	11
YFR031C-A	149
YFL010C	11
YFR030W	14
YFL039C	218
YFR040W	15
YFL036W	11
YFR053C	28
YFL048C	20
YFL037W	71
YFL034C-A	16
YFR010W	12
YFR038W	13
YFL031W	43
YFL005W	30
YFR019W	12
YFR050C	17
YFL038C	115
YFR015C	14
YFR051C	11
YFR016C	18
YFR037C	21
YFR033C	7
YFR031C	20
YFL007W	71
YFL004W	30
YFL009W	21
YFR004W	22
YAL016W	70
YAL003W	178
YAL053W	5
YAL019W	15
YAL025C	9
YAL023C	40
YAL026C	26
YAL042W	31
YAL038W	1688
YAR003W	10
YAR007C	13
YAL060W	15
YAL017W	18
snR18	35
YAL001C	19
YAL056W	14
YAL059W	15
YAL005C	109
YAL035W	82
YAR014C	18
YAL036C	21
YAL002W	13
YAL021C	12
YAR002C-A	53
YAL029C	45
YAR015W	85
YAL041W	9
YAR042W	13
YAL043C	11
YAL044C	25
YAL058W	8
YAL012W	92
YAL007C	20
