	SRR5085168
YNL062C	14
YNL135C	23
YNL212W	19
YNL243W	34
YNL220W	63
YNL219C	18
YNL079C	27
YNL244C	24
YJL204C	4
YJR105W	273
YJR088C	13
YJL020C	20
YJR131W	5
YJR069C	15
YJL186W	30
YJL008C	67
YJL061W	14
YJR085C	6
YJR040W	14
YJL189W	56
YJR005W	16
YJR049C	17
YJR002W	40
YJR145C	317
YJR009C	448
YJL173C	6
YJR014W	21
YJR135W-A	11
YJR045C	59
YJL176C	10
YJL159W	102
YJR060W	16
YJR119C	3
YJR092W	19
YJL010C	18
YJR140C	17
YJL136C	135
YJL117W	14
YJL079C	19
YJL171C	11
YJL172W	34
YJL093C	10
YJL050W	54
YJL002C	93
YJL201W	17
snR128	50
YJL029C	10
YJR144W	16
YJL073W	33
YJR094W-A	84
YJL052W	37
YJR139C	98
YJL016W	13
YJR007W	96
YJR065C	39
YJR072C	31
YJR133W	11
YJL012C	133
YJR121W	107
YJL145W	15
YJR064W	231
YJL074C	16
YJL111W	85
YJL158C	100
YJR016C	116
YJL208C	7
YJL197W	22
YJL078C	10
YJR117W	37
YJR057W	19
YJL081C	16
YJL054W	24
YJR137C	21
YJL192C	20
YJR001W	31
YJL190C	226
YJL055W	10
YJL085W	2
YJR109C	23
YJL167W	61
YJL036W	9
YJL168C	17
YJR066W	17
YJL001W	8
YJL212C	16
YJR125C	10
YJR051W	11
YJL200C	37
YJL129C	18
YJR103W	10
YJL044C	14
YJL157C	27
YJL034W	159
YJL183W	44
YJR031C	17
YJR077C	17
YJR033C	15
YJL068C	11
YJL112W	8
YJL039C	25
YJR090C	19
YJL174W	6
YJL014W	41
YJR075W	29
YJR126C	16
YJL005W	14
YJR076C	20
YJL217W	11
YJL207C	37
YJL198W	16
YJR073C	11
YJR143C	48
YJL177W	94
YJR032W	6
YJL140W	13
YJR068W	16
YJR017C	10
YJL026W	59
YJL101C	21
YJR041C	37
YJL080C	92
YJR091C	10
YJL121C	11
YJL138C	27
YJL130C	184
snR190	25
YJL069C	20
YJL091C	10
YJL033W	17
YJL041W	11
YJR148W	13
YJL123C	41
YJR123W	385
YJR015W	21
YJL154C	28
YJL035C	11
YJR089W	9
YJL042W	11
YJR003C	12
YJL124C	5
YJR104C	90
YJR070C	36
YJR054W	7
YJL191W	19
YJL109C	103
YJL178C	19
YJL098W	22
YJL196C	15
YJL148W	17
YJL031C	5
YJR132W	23
YJR042W	28
YJR127C	13
YJL210W	10
YJR134C	13
YJL076W	18
YKR092C	35
YKL002W	7
YKL173W	22
YKL180W	157
YKL004W	14
YKL143W	16
YKL172W	74
YKR014C	5
YKR099W	5
YKL110C	11
YKL094W	21
YKR094C	433
YKL157W	50
YKR062W	12
YKR038C	17
YKR048C	40
YKL096W-A	88
YKL014C	26
YKR082W	34
YKL126W	11
YKR072C	21
YKL074C	8
YKL018W	3
YKL135C	8
YKL112W	18
YKR080W	22
YKR068C	10
YKR027W	15
YKL081W	311
YKR001C	36
YKR095W	44
YKL100C	14
YKR074W	28
YKL024C	42
YKL073W	23
YKL104C	37
YKL191W	29
YKR042W	140
YKR013W	20
YKL039W	14
YKL155C	11
YKR089C	10
YKR018C	40
YKR079C	14
YKL027W	12
YKL035W	55
YKL207W	27
YKR066C	35
YKL117W	69
YKL007W	19
YKL021C	26
YKL148C	5
YKL038W	12
YKL125W	19
YKL077W	22
YKR024C	19
YKR056W	11
YKL203C	14
YKR054C	18
YKR057W	186
YKL122C	13
YKL113C	12
YKL213C	29
YKR063C	4
YKL174C	12
YKR011C	11
YKL005C	11
YKL006W	125
YKL182W	319
YKL099C	11
YKL179C	21
YKL047W	11
YKL181W	113
YKL209C	88
YKR086W	13
YKL141W	6
YKL065C	16
YKL013C	34
YKL040C	12
YKL096W	14
YKL210W	82
YKL015W	12
YKL009W	17
YKL195W	33
YKL130C	8
YKL064W	14
YKR026C	13
YKL196C	24
YKL109W	9
YKR071C	14
YKR036C	8
YKR084C	23
YKL216W	120
YKL020C	7
YKL067W	23
YKR031C	11
YKL151C	12
YKL105C	16
YKL082C	20
YKR070W	16
YKR016W	10
YKR059W	60
YKL142W	33
YKL160W	11
YKR043C	18
YKL019W	11
YKL184W	22
YKL176C	28
YKL033W-A	24
YKL010C	14
YKL175W	16
YKL120W	27
YKL068W	18
YKR028W	20
YKL152C	1161
YKL080W	59
YKL185W	15
YKR081C	18
YKL101W	15
YKR008W	16
YKL056C	448
YKL156W	22
YKL204W	11
YKL190W	10
YKL211C	23
YKL127W	18
YKL205W	30
YKR003W	4
YKL028W	14
YKL193C	9
YKL212W	68
YKL054C	26
snR38	13
YKR096W	11
YKL164C	30
YKL079W	10
YKL012W	23
YKL106W	12
YKR065C	16
YKL045W	20
YKR060W	7
YKL085W	26
YKL165C	15
snR64	57
YKL046C	19
YKL058W	14
YKL060C	1602
YKL215C	8
YKL033W	11
YKR023W	10
YKR067W	12
YKL114C	18
YKL145W	78
YKL057C	23
YKL128C	27
YKL008C	22
YKL029C	31
YKL119C	12
YER056C-A	111
YEL054C	89
YEL047C	29
YER172C	25
YEL032W	16
YEL040W	212
YER105C	44
YEL053C	10
YEL046C	41
YER013W	14
YEL036C	36
YER094C	63
YEL034W	248
YER131W	19
YER145C	16
YER176W	17
YER177W	171
YER043C	111
YER141W	10
YER080W	19
YER052C	15
YER070W	71
YEL007W	4
YEL026W	57
YER040W	10
YER012W	10
YEL060C	8
YER081W	12
YER072W	38
YER178W	56
YER030W	10
YER003C	44
YEL065W	17
YEL055C	30
YER089C	16
YER166W	44
YER082C	16
YER125W	16
YER122C	25
YEL033W	27
YER006W	34
YEL002C	62
YER103W	20
YER007C-A	9
YER120W	25
YER164W	27
snR52	125
YEL042W	20
YER008C	21
YER114C	12
YER143W	13
YER048C	27
YER155C	38
snR4	5
YER031C	25
YEL006W	20
YER100W	6
YER129W	19
YER048W-A	7
YER171W	12
YER078C	10
YEL017C-A	17
YER133W	39
YER186C	5
YER022W	7
YER157W	24
YEL038W	8
YER063W	12
YER127W	25
YEL071W	44
YEL043W	17
YER017C	14
YER009W	77
SCR1	38
YER019C-A	8
YEL050C	12
YER062C	17
YER016W	5
YEL025C	27
YER023W	25
YER136W	25
YER151C	14
YER064C	6
YER130C	22
YEL015W	12
YER113C	13
YER005W	35
YER102W	144
YEL031W	102
YER073W	23
YEL027W	92
YER049W	43
YEL037C	23
YER088C	3
YER021W	63
YER004W	15
YER117W	177
YER168C	11
YER124C	33
YER086W	49
YER148W	11
YEL022W	25
YEL001C	22
YER056C	43
YER087C-B	18
YEL013W	25
YER074W	110
YEL051W	36
YEL061C	22
YER036C	108
YEL009C	144
YER156C	39
YER090W	40
snR67	16
YER026C	11
YER025W	45
YER126C	16
YER165W	162
YEL058W	38
YEL020W-A	13
YER077C	4
YER110C	57
YER001W	43
YER087W	10
YER055C	109
YER091C	51
YHR094C	4
YHR045W	21
YHR206W	10
YHR005C-A	14
YHR007C	161
YHR132C	19
YHR025W	36
YHR073W	16
YHR064C	114
YHR143W	23
YHR003C	20
YHR154W	14
YHR031C	13
YHR186C	11
YHR039C-A	55
YHR165C	28
YHL025W	19
YHR079C	19
YHR065C	16
YHR056C	11
YHR135C	19
YHR086W	5
YHR146W	6
YHR195W	7
YHR119W	13
YHL039W	22
YHR026W	68
YHR113W	9
YHR208W	95
YHR001W	11
YHR131C	17
YHR141C	212
YHR170W	133
YHR161C	6
YHR074W	21
YHR164C	11
YHR163W	31
YHR021C	39
YHL034C	33
YHR190W	67
YHR117W	26
YHL015W	289
YHR108W	14
YHR092C	11
YHL003C	24
YHR070W	13
YHR133C	9
YHR098C	44
YHR120W	5
YHL030W	42
YHR203C	189
YHR168W	15
YHR050W	16
YHR027C	71
YHR188C	17
YHR099W	32
YHR196W	16
YHR174W	3266
YHR179W	105
YHR121W	6
YHR063C	16
YHL017W	13
YHL035C	11
YHR115C	16
YHL007C	9
YHR018C	25
YHR068W	62
YHR037W	15
YHR077C	25
YHR052W	19
YHR123W	11
YHR009C	19
YHR072W-A	13
YHR019C	175
YHR104W	10
YHR083W	12
YHR032W	26
YHR008C	12
YHL038C	8
YHL033C	134
YHR066W	21
YHR201C	30
YHR103W	23
YHR082C	16
YHR020W	51
YHR128W	21
YHR047C	19
YHR197W	13
YHR028C	39
YHR137W	17
YHR158C	10
YHR042W	37
YHR069C	6
YHR200W	18
YHR114W	11
YHR039C	14
YHL011C	79
YHR199C	16
YHR193C	30
YHR030C	10
YHR162W	44
YHR089C	14
YHR010W	121
YHR005C	81
YHR183W	138
YHR049W	15
YHR072W	17
YHR107C	12
YHR143W-A	27
YHR023W	39
YHR136C	26
YHL001W	24
YHR181W	10
YIL050W	9
YIL126W	29
YIL026C	21
YIL068C	10
YIL009W	23
YIR004W	11
YIR022W	16
YIL133C	77
YIL123W	39
YIR002C	15
YIL067C	11
YIL110W	12
YIL128W	10
YIL064W	16
YIL147C	19
YIL149C	27
YIR033W	22
YIL105C	14
YIL070C	7
YIL051C	26
YIL118W	19
YIR034C	12
YIL109C	56
YIL039W	11
YIL074C	34
YIL022W	10
YIL030C	35
YIL014W	11
YIL137C	20
YIR037W	16
YIL143C	9
YIR008C	10
YIL129C	22
YIL124W	20
YIL115C	27
YIL035C	34
YIL094C	43
YIL103W	12
YIL002C	18
YIR012W	20
YIL112W	12
YIL075C	80
YIL018W	588
YIL085C	24
snR68	13
YIL076W	25
YIL053W	192
YIL062C	27
YIL019W	10
YIL093C	18
YIL020C	9
YIL023C	9
YIL142W	73
YIL034C	6
YIL091C	29
YIL078W	234
YIL052C	156
YIL125W	17
YIL138C	12
YIL130W	12
YIL043C	51
YIL021W	18
YIL038C	29
YIL157C	8
YIL121W	13
YIL088C	30
YIL148W	266
YIL145C	64
YIR006C	22
YIR035C	3
YIL036W	12
YIL033C	10
YIL041W	48
YIL090W	10
YIL069C	33
YIL047C	45
YIL015W	31
YIL116W	7
YCR031C	82
YCL011C	54
YCL040W	48
YCR052W	6
YCL024W	12
YCR036W	12
YCR092C	8
YCL034W	32
YCR094W	7
YCL028W	16
YCR011C	37
YCL057W	37
YCR002C	18
YCR035C	16
YCR032W	15
YCL059C	13
YCR017C	22
YCR043C	10
YCL009C	69
YCL045C	46
YCR088W	31
YCR037C	13
YCR077C	16
YCR009C	20
YCR053W	96
YCR072C	26
YCR057C	38
YCL030C	94
YCR008W	6
YCR042C	26
YCL055W	6
YCL031C	10
YCR033W	11
YCR024C-B	83
YCR034W	15
YCL052C	18
YCR004C	29
YCR059C	10
YCR028C-A	11
YCL064C	29
YCR028C	8
YCR084C	22
YCL017C	15
YCL014W	14
YCL050C	32
YCR067C	13
YCR047C	14
YCR026C	13
YCR093W	21
YCR012W	1140
YCL043C	249
YCL025C	11
YCR023C	8
YCR030C	21
YCR016W	14
YCL054W	31
YCR024C-A	22
YFL026W	85
YFR052W	13
YFL018C	32
YFR006W	13
YFL024C	20
YFL013C	11
YFL046W	14
YFR055W	7
YFR013W	11
YFR044C	18
YFR009W	39
YFL045C	64
YFL047W	27
YFR032C-A	19
YFR024C-A	37
YFR002W	25
YFL033C	10
YFL008W	25
YFR005C	2
YFL022C	46
YFL028C	23
YFL002C	19
YFR001W	11
YFR031C-A	169
YFL010C	7
YFR030W	8
YFL039C	291
YFR040W	10
YFL036W	15
YFR053C	11
YFL048C	24
YFL037W	90
YFL034C-A	35
YFR010W	13
YFR038W	14
YFL031W	60
YFL005W	31
YFR019W	17
YFR050C	13
YFL038C	92
YFR015C	3
YFR051C	11
YFR016C	18
YFR037C	30
YFR033C	20
YFR031C	14
YFL007W	69
YFL004W	66
YFL009W	19
YFR004W	30
YAL016W	95
YAL003W	233
YAL053W	22
YAL019W	9
YAL025C	8
YAL023C	52
YAL026C	25
YAL042W	43
YAL038W	2118
YAR003W	15
YAR007C	16
YAL060W	11
YAL017W	10
snR18	26
YAL001C	12
YAL056W	28
YAL059W	12
YAL005C	82
YAL035W	138
YAR014C	21
YAL036C	25
YAL002W	10
YAL021C	17
YAR002C-A	45
YAL029C	20
YAR015W	104
YAL041W	14
YAR042W	9
YAL043C	6
YAL044C	17
YAL058W	13
YAL012W	135
YAL007C	13
