	SRR5085167
YNL062C	7
YNL135C	23
YNL212W	11
YNL243W	25
YNL220W	56
YNL219C	15
YNL079C	22
YNL244C	23
YJL204C	7
YJR105W	259
YJR088C	16
YJL020C	9
YJR131W	7
YJR069C	13
YJL186W	20
YJL008C	62
YJL061W	10
YJR085C	2
YJR040W	7
YJL189W	43
YJR005W	18
YJR049C	7
YJR002W	22
YJR145C	273
YJR009C	336
YJL173C	13
YJR014W	8
YJR135W-A	16
YJR045C	53
YJL176C	5
YJL159W	82
YJR060W	15
YJR119C	3
YJR092W	13
YJL010C	10
YJR140C	6
YJL136C	122
YJL117W	14
YJL079C	10
YJL171C	9
YJL172W	27
YJL093C	12
YJL050W	47
YJL002C	49
YJL201W	7
snR128	56
YJL029C	10
YJR144W	12
YJL073W	17
YJR094W-A	51
YJL052W	25
YJR139C	87
YJL016W	5
YJR007W	79
YJR065C	39
YJR072C	17
YJR133W	5
YJL012C	91
YJR121W	75
YJL145W	9
YJR064W	175
YJL074C	13
YJL111W	50
YJL158C	71
YJR016C	85
YJL208C	14
YJL197W	11
YJL078C	4
YJR117W	33
YJR057W	15
YJL081C	11
YJL054W	17
YJR137C	11
YJL192C	25
YJR001W	33
YJL190C	215
YJL055W	9
YJL085W	10
YJR109C	17
YJL167W	35
YJL036W	7
YJL168C	11
YJR066W	13
YJL001W	8
YJL212C	10
YJR125C	11
YJR051W	7
YJL200C	25
YJL129C	14
YJR103W	3
YJL044C	10
YJL157C	28
YJL034W	130
YJL183W	37
YJR031C	13
YJR077C	17
YJR033C	3
YJL068C	5
YJL112W	11
YJL039C	25
YJR090C	11
YJL174W	10
YJL014W	38
YJR075W	17
YJR126C	12
YJL005W	13
YJR076C	13
YJL217W	6
YJL207C	18
YJL198W	12
YJR073C	10
YJR143C	34
YJL177W	73
YJR032W	12
YJL140W	16
YJR068W	15
YJR017C	5
YJL026W	45
YJL101C	16
YJR041C	28
YJL080C	71
YJR091C	10
YJL121C	10
YJL138C	24
YJL130C	119
snR190	16
YJL069C	27
YJL091C	6
YJL033W	16
YJL041W	15
YJR148W	24
YJL123C	23
YJR123W	230
YJR015W	16
YJL154C	16
YJL035C	8
YJR089W	11
YJL042W	7
YJR003C	11
YJL124C	1
YJR104C	51
YJR070C	37
YJR054W	13
YJL191W	15
YJL109C	89
YJL178C	6
YJL098W	22
YJL196C	17
YJL148W	14
YJL031C	8
YJR132W	35
YJR042W	19
YJR127C	12
YJL210W	10
YJR134C	13
YJL076W	18
YKR092C	29
YKL002W	4
YKL173W	17
YKL180W	112
YKL004W	12
YKL143W	10
YKL172W	60
YKR014C	13
YKR099W	10
YKL110C	10
YKL094W	9
YKR094C	369
YKL157W	46
YKR062W	8
YKR038C	12
YKR048C	30
YKL096W-A	74
YKL014C	23
YKR082W	13
YKL126W	9
YKR072C	8
YKL074C	10
YKL018W	6
YKL135C	8
YKL112W	10
YKR080W	13
YKR068C	12
YKR027W	11
YKL081W	237
YKR001C	21
YKR095W	34
YKL100C	9
YKR074W	17
YKL024C	18
YKL073W	24
YKL104C	42
YKL191W	24
YKR042W	97
YKR013W	23
YKL039W	12
YKL155C	4
YKR089C	8
YKR018C	18
YKR079C	4
YKL027W	8
YKL035W	37
YKL207W	14
YKR066C	9
YKL117W	66
YKL007W	7
YKL021C	11
YKL148C	10
YKL038W	9
YKL125W	10
YKL077W	9
YKR024C	11
YKR056W	22
YKL203C	9
YKR054C	12
YKR057W	170
YKL122C	10
YKL113C	7
YKL213C	12
YKR063C	4
YKL174C	15
YKR011C	6
YKL005C	8
YKL006W	70
YKL182W	227
YKL099C	5
YKL179C	19
YKL047W	10
YKL181W	101
YKL209C	70
YKR086W	14
YKL141W	8
YKL065C	10
YKL013C	24
YKL040C	5
YKL096W	5
YKL210W	75
YKL015W	10
YKL009W	26
YKL195W	35
YKL130C	8
YKL064W	11
YKR026C	5
YKL196C	11
YKL109W	9
YKR071C	10
YKR036C	5
YKR084C	10
YKL216W	111
YKL020C	7
YKL067W	30
YKR031C	7
YKL151C	11
YKL105C	6
YKL082C	11
YKR070W	4
YKR016W	9
YKR059W	44
YKL142W	18
YKL160W	12
YKR043C	10
YKL019W	10
YKL184W	10
YKL176C	12
YKL033W-A	25
YKL010C	8
YKL175W	10
YKL120W	30
YKL068W	3
YKR028W	17
YKL152C	1023
YKL080W	50
YKL185W	6
YKR081C	7
YKL101W	10
YKR008W	9
YKL056C	344
YKL156W	17
YKL204W	3
YKL190W	11
YKL211C	38
YKL127W	11
YKL205W	19
YKR003W	11
YKL028W	12
YKL193C	16
YKL212W	55
YKL054C	22
snR38	2
YKR096W	4
YKL164C	19
YKL079W	3
YKL012W	19
YKL106W	6
YKR065C	4
YKL045W	5
YKR060W	5
YKL085W	20
YKL165C	10
snR64	53
YKL046C	21
YKL058W	10
YKL060C	1437
YKL215C	11
YKL033W	7
YKR023W	6
YKR067W	10
YKL114C	15
YKL145W	74
YKL057C	18
YKL128C	14
YKL008C	24
YKL029C	34
YKL119C	9
YER056C-A	80
YEL054C	68
YEL047C	26
YER172C	17
YEL032W	24
YEL040W	198
YER105C	20
YEL053C	9
YEL046C	32
YER013W	12
YEL036C	21
YER094C	55
YEL034W	213
YER131W	23
YER145C	20
YER176W	8
YER177W	161
YER043C	95
YER141W	14
YER080W	17
YER052C	17
YER070W	58
YEL007W	10
YEL026W	50
YER040W	3
YER012W	8
YEL060C	10
YER081W	14
YER072W	26
YER178W	41
YER030W	9
YER003C	32
YEL065W	13
YEL055C	21
YER089C	15
YER166W	23
YER082C	10
YER125W	18
YER122C	23
YEL033W	10
YER006W	31
YEL002C	37
YER103W	22
YER007C-A	14
YER120W	22
YER164W	12
snR52	67
YEL042W	13
YER008C	18
YER114C	7
YER143W	2
YER048C	20
YER155C	36
snR4	5
YER031C	19
YEL006W	16
YER100W	8
YER129W	14
YER048W-A	5
YER171W	12
YER078C	5
YEL017C-A	12
YER133W	49
YER186C	16
YER022W	10
YER157W	31
YEL038W	13
YER063W	9
YER127W	18
YEL071W	39
YEL043W	10
YER017C	5
YER009W	70
SCR1	65
YER019C-A	5
YEL050C	13
YER062C	14
YER016W	4
YEL025C	11
YER023W	18
YER136W	24
YER151C	13
YER064C	20
YER130C	21
YEL015W	14
YER113C	9
YER005W	18
YER102W	128
YEL031W	81
YER073W	22
YEL027W	103
YER049W	34
YEL037C	20
YER088C	8
YER021W	54
YER004W	7
YER117W	155
YER168C	5
YER124C	20
YER086W	41
YER148W	14
YEL022W	21
YEL001C	14
YER056C	26
YER087C-B	6
YEL013W	13
YER074W	93
YEL051W	22
YEL061C	8
YER036C	87
YEL009C	109
YER156C	21
YER090W	27
snR67	11
YER026C	12
YER025W	31
YER126C	7
YER165W	105
YEL058W	29
YEL020W-A	10
YER077C	8
YER110C	58
YER001W	22
YER087W	5
YER055C	103
YER091C	38
YHR094C	6
YHR045W	17
YHR206W	5
YHR005C-A	11
YHR007C	146
YHR132C	12
YHR025W	28
YHR073W	11
YHR064C	88
YHR143W	10
YHR003C	13
YHR154W	16
YHR031C	9
YHR186C	9
YHR039C-A	52
YHR165C	18
YHL025W	6
YHR079C	8
YHR065C	20
YHR056C	7
YHR135C	15
YHR086W	11
YHR146W	6
YHR195W	8
YHR119W	11
YHL039W	16
YHR026W	57
YHR113W	12
YHR208W	64
YHR001W	10
YHR131C	21
YHR141C	126
YHR170W	92
YHR161C	3
YHR074W	14
YHR164C	4
YHR163W	27
YHR021C	41
YHL034C	16
YHR190W	54
YHR117W	19
YHL015W	252
YHR108W	14
YHR092C	14
YHL003C	23
YHR070W	5
YHR133C	14
YHR098C	19
YHR120W	6
YHL030W	23
YHR203C	118
YHR168W	5
YHR050W	16
YHR027C	52
YHR188C	18
YHR099W	30
YHR196W	32
YHR174W	2415
YHR179W	72
YHR121W	12
YHR063C	11
YHL017W	16
YHL035C	11
YHR115C	18
YHL007C	5
YHR018C	23
YHR068W	47
YHR037W	7
YHR077C	18
YHR052W	18
YHR123W	11
YHR009C	8
YHR072W-A	14
YHR019C	112
YHR104W	9
YHR083W	15
YHR032W	18
YHR008C	7
YHL038C	7
YHL033C	96
YHR066W	14
YHR201C	9
YHR103W	17
YHR082C	11
YHR020W	52
YHR128W	20
YHR047C	16
YHR197W	15
YHR028C	33
YHR137W	19
YHR158C	16
YHR042W	21
YHR069C	12
YHR200W	23
YHR114W	10
YHR039C	25
YHL011C	68
YHR199C	6
YHR193C	32
YHR030C	10
YHR162W	63
YHR089C	12
YHR010W	87
YHR005C	38
YHR183W	81
YHR049W	12
YHR072W	23
YHR107C	12
YHR143W-A	19
YHR023W	34
YHR136C	22
YHL001W	12
YHR181W	9
YIL050W	5
YIL126W	24
YIL026C	15
YIL068C	6
YIL009W	15
YIR004W	5
YIR022W	12
YIL133C	82
YIL123W	20
YIR002C	11
YIL067C	19
YIL110W	13
YIL128W	7
YIL064W	5
YIL147C	13
YIL149C	19
YIR033W	11
YIL105C	10
YIL070C	7
YIL051C	23
YIL118W	14
YIR034C	6
YIL109C	39
YIL039W	11
YIL074C	26
YIL022W	10
YIL030C	32
YIL014W	13
YIL137C	22
YIR037W	11
YIL143C	6
YIR008C	4
YIL129C	20
YIL124W	15
YIL115C	23
YIL035C	22
YIL094C	31
YIL103W	5
YIL002C	11
YIR012W	10
YIL112W	9
YIL075C	55
YIL018W	564
YIL085C	33
snR68	6
YIL076W	22
YIL053W	140
YIL062C	31
YIL019W	2
YIL093C	6
YIL020C	15
YIL023C	8
YIL142W	50
YIL034C	7
YIL091C	17
YIL078W	217
YIL052C	162
YIL125W	13
YIL138C	7
YIL130W	12
YIL043C	53
YIL021W	18
YIL038C	20
YIL157C	4
YIL121W	8
YIL088C	23
YIL148W	275
YIL145C	45
YIR006C	10
YIR035C	11
YIL036W	11
YIL033C	17
YIL041W	22
YIL090W	15
YIL069C	27
YIL047C	28
YIL015W	18
YIL116W	8
YCR031C	44
YCL011C	63
YCL040W	36
YCR052W	8
YCL024W	6
YCR036W	13
YCR092C	10
YCL034W	18
YCR094W	3
YCL028W	6
YCR011C	24
YCL057W	33
YCR002C	12
YCR035C	20
YCR032W	11
YCL059C	14
YCR017C	22
YCR043C	10
YCL009C	39
YCL045C	26
YCR088W	15
YCR037C	6
YCR077C	12
YCR009C	12
YCR053W	81
YCR072C	11
YCR057C	16
YCL030C	46
YCR008W	10
YCR042C	13
YCL055W	5
YCL031C	16
YCR033W	10
YCR024C-B	57
YCR034W	12
YCL052C	8
YCR004C	17
YCR059C	7
YCR028C-A	10
YCL064C	29
YCR028C	5
YCR084C	16
YCL017C	5
YCL014W	7
YCL050C	25
YCR067C	9
YCR047C	7
YCR026C	9
YCR093W	14
YCR012W	911
YCL043C	177
YCL025C	11
YCR023C	11
YCR030C	9
YCR016W	7
YCL054W	25
YCR024C-A	10
YFL026W	79
YFR052W	13
YFL018C	19
YFR006W	10
YFL024C	17
YFL013C	3
YFL046W	8
YFR055W	19
YFR013W	14
YFR044C	24
YFR009W	27
YFL045C	65
YFL047W	14
YFR032C-A	24
YFR024C-A	26
YFR002W	18
YFL033C	5
YFL008W	20
YFR005C	2
YFL022C	34
YFL028C	22
YFL002C	9
YFR001W	6
YFR031C-A	130
YFL010C	7
YFR030W	4
YFL039C	228
YFR040W	7
YFL036W	6
YFR053C	9
YFL048C	25
YFL037W	62
YFL034C-A	20
YFR010W	25
YFR038W	9
YFL031W	42
YFL005W	35
YFR019W	10
YFR050C	17
YFL038C	68
YFR015C	1
YFR051C	8
YFR016C	13
YFR037C	24
YFR033C	9
YFR031C	15
YFL007W	48
YFL004W	41
YFL009W	8
YFR004W	26
YAL016W	54
YAL003W	186
YAL053W	10
YAL019W	3
YAL025C	13
YAL023C	38
YAL026C	18
YAL042W	22
YAL038W	1609
YAR003W	8
YAR007C	9
YAL060W	10
YAL017W	8
snR18	28
YAL001C	17
YAL056W	12
YAL059W	9
YAL005C	69
YAL035W	82
YAR014C	9
YAL036C	9
YAL002W	3
YAL021C	4
YAR002C-A	26
YAL029C	27
YAR015W	68
YAL041W	9
YAR042W	5
YAL043C	4
YAL044C	20
YAL058W	6
YAL012W	69
YAL007C	12
