	SRR5085169	SRR5085170	SRR5085167	SRR5085168
YLL024C	164	114	122	160
YLR009W	16	6	7	12
YLR057W	18	13	4	10
YLR348C	28	22	13	19
YLR179C	47	30	14	25
YLR371W	25	17	13	10
YLR222C	35	15	9	21
YLR440C	19	14	11	7
YLR421C	16	6	4	11
YLL027W	12	10	5	7
YLR292C	23	10	8	9
YLR016C	11	9	10	7
YLR359W	252	164	148	191
YLL013C	20	6	6	14
YLR320W	12	5	4	11
YLL045C	391	240	213	300
YLR071C	27	20	22	17
YLR286C	107	52	33	59
YLL004W	13	11	5	11
YLR100W	89	61	27	58
YLR088W	14	5	6	11
YLR216C	88	56	50	36
YLL040C	59	26	24	33
YPL217C	52	33	27	50
YPR139C	17	12	10	17
YPR169W	30	15	20	38
YPL009C	33	22	15	29
YPL183C	57	23	45	48
YPL179W	15	14	4	7
YPR103W	50	41	24	40
YPL244C	17	7	14	10
YPR156C	13	14	11	6
YPL240C	94	52	34	62
YPL111W	26	13	15	16
YPR119W	14	12	6	16
YPL218W	87	62	46	63
YPL198W	74	53	57	88
YPL006W	12	12	6	8
YPR161C	13	13	4	8
YPL145C	46	12	19	26
YPR181C	50	39	35	38
YPR171W	11	8	8	12
YPR122W	25	25	15	13
YPL091W	64	40	40	54
YPL137C	14	4	11	14
YPL163C	32	13	17	16
YPR069C	44	20	25	34
YPR072W	26	12	15	14
YPL175W	28	18	15	35
YPL125W	31	23	14	30
YPL090C	460	317	235	362
YPR198W	11	4	5	10
YPR106W	11	1	4	11
YPL270W	15	12	15	16
YPR058W	27	14	9	15
YPL004C	62	60	47	57
YPR110C	63	40	31	38
YPR149W	88	42	21	45
YPR009W	11	10	3	5
YPR118W	56	47	33	51
YPR019W	22	10	12	20
YPL144W	15	10	6	6
YPL045W	43	37	23	34
YPL263C	37	16	16	23
YPR124W	20	16	9	17
YPR004C	14	11	11	10
YPR080W	156	108	77	91
YPR033C	57	46	38	29
YPL210C	54	27	25	29
YPL155C	14	10	9	9
YPL225W	49	34	24	36
YPL081W	96	63	49	46
YPL266W	22	14	16	13
YPR108W	32	29	15	16
YPL058C	45	20	12	21
YPR088C	42	21	14	22
YPL254W	10	9	2	13
YPR129W	15	5	6	12
YPR113W	26	21	21	24
YPL160W	213	134	119	120
YPL169C	13	10	7	23
YPR115W	10	11	11	11
YPL184C	28	15	13	26
YPR189W	24	20	16	30
YPL246C	17	12	11	9
YPL020C	8	13	6	11
YPL061W	159	128	73	117
YPR112C	56	32	25	30
YPR148C	45	24	14	24
YPL131W	304	191	156	218
YPL012W	66	45	23	31
YPL010W	52	30	23	19
YPR173C	33	17	11	29
YPR024W	53	33	25	26
YPR191W	17	11	8	15
YPL063W	38	27	18	27
YPR166C	22	5	10	7
YPL231W	251	139	130	183
YPL129W	18	12	8	12
YPR164W	23	18	11	14
YPL019C	101	81	151	194
YPL022W	34	24	19	26
YPL211W	25	18	11	12
YPL040C	11	14	8	7
YPR159W	63	38	19	23
YPL227C	15	11	6	13
YPL234C	49	40	29	35
YPL015C	13	14	8	16
YPR035W	148	135	116	156
YPR037C	24	8	11	13
YPL135W	18	16	10	11
YPL112C	23	10	6	9
YPL154C	55	31	17	39
YPR074C	183	126	89	147
YPR133C	46	32	18	33
YPR070W	14	9	4	12
YPL176C	45	25	16	38
YPL220W	92	55	65	92
YPL032C	17	20	14	15
YPR185W	23	11	16	28
YPR145W	280	154	173	223
YPL178W	15	14	7	13
YPL013C	23	14	7	18
YPR028W	55	35	34	36
YPR089W	34	7	12	8
YPL075W	25	15	10	10
YPR062W	30	16	13	17
YPR125W	16	12	8	12
YPL221W	28	13	11	28
YPR073C	15	11	3	4
YPL262W	29	21	27	26
snR45	28	14	22	22
YPR036W	212	155	105	220
YPL031C	16	10	5	8
YPL237W	106	54	44	66
YPL053C	37	31	19	22
YPL085W	25	14	9	10
YPR104C	22	17	5	17
YPR190C	19	13	15	17
YPL043W	59	40	27	42
YPL105C	33	17	15	23
YPR132W	222	142	114	136
YPR137W	29	20	9	19
YPL190C	25	23	6	14
YPL241C	15	9	7	10
YPR043W	127	83	85	93
YPL157W	32	30	22	24
YPL177C	16	14	1	5
YPR165W	53	29	26	27
YPL037C	87	59	42	56
YPL101W	24	16	5	13
YPL256C	23	36	23	22
YPR023C	19	12	5	15
YPL093W	61	49	47	60
YPL118W	19	12	15	20
YPL239W	33	16	8	22
YPL128C	11	4	2	12
YPL188W	21	10	4	8
YPL207W	61	31	20	37
YPR021C	27	14	9	12
YPL143W	232	150	165	194
YPL126W	97	60	49	62
YPR187W	50	23	29	13
YPR182W	18	7	6	11
YPL242C	95	52	38	64
YPR086W	25	18	14	17
YPR117W	22	14	7	8
YPL086C	81	30	35	47
YPR105C	47	41	25	23
YPL094C	22	11	12	12
YPR176C	13	8	8	10
YPR163C	100	76	71	61
YPR160W	20	22	4	11
YPL235W	30	6	8	18
YPR144C	62	29	29	64
YPL249C-A	160	98	67	81
YPL260W	37	14	16	20
YPR095C	11	11	10	13
YPR010C	189	95	77	105
YPL268W	21	13	8	14
YPL206C	16	16	14	21
YPR055W	14	13	14	6
YPL243W	57	31	32	48
YPL232W	35	24	20	28
YPR041W	213	163	116	147
YPL048W	62	49	34	35
YPL117C	26	8	11	17
YPL273W	41	29	30	25
YPR097W	26	12	8	22
YPL274W	17	7	6	10
YPL050C	31	21	14	13
YPR114W	11	10	8	11
YPR175W	11	10	4	2
YPL079W	240	145	115	159
YPL150W	14	12	6	9
YPL226W	156	124	85	148
YPL115C	18	14	9	12
YPL170W	21	10	10	9
YPL245W	42	24	26	52
YPR048W	22	17	8	14
YPR102C	72	57	41	49
YPR133W-A	19	12	16	7
YPL146C	51	34	16	19
YPL082C	37	26	25	34
YPR183W	32	31	18	28
YPL249C	14	5	6	12
YPR016C	45	23	15	24
YPR029C	53	33	33	27
YPL106C	208	104	106	154
YPL212C	30	17	9	19
YPL078C	47	30	17	23
YPL195W	35	18	21	30
YPR060C	15	8	8	12
YPL199C	24	12	8	11
YPL228W	19	12	9	6
YPL259C	19	8	10	11
YPL028W	136	88	70	98
YPR031W	29	17	9	20
YMR027W	31	27	13	19
YMR290C	167	83	67	108
YMR091C	33	15	17	16
YML088W	16	10	3	9
YML125C	67	35	33	32
YMR318C	103	85	60	70
YMR266W	41	29	23	37
YML057W	19	12	9	11
YMR105C	13	13	5	10
YMR012W	88	68	43	46
YMR202W	78	37	28	40
YMR083W	57	35	26	41
YML085C	60	35	23	27
YMR304W	26	14	17	20
YMR308C	96	65	41	73
YML001W	27	14	12	16
YMR319C	25	13	15	19
YML075C	21	14	10	25
YML073C	209	180	137	206
YMR149W	34	17	11	13
YMR260C	82	41	52	64
YML056C	109	68	90	103
YML091C	20	14	5	9
YMR199W	13	6	15	20
YML127W	25	19	16	22
YMR246W	165	94	70	128
YMR120C	139	92	75	99
YML049C	21	17	5	9
YMR302C	11	12	16	12
YML060W	29	13	11	12
YMR080C	39	28	30	47
YMR079W	15	6	11	14
YMR100W	16	7	8	17
YMR183C	25	22	17	19
YML074C	59	33	27	38
YMR157C	11	12	7	12
YMR110C	14	11	21	16
YMR300C	55	30	35	35
YMR031C	28	19	22	18
YMR200W	13	11	8	5
YMR297W	118	76	80	82
YML026C	235	135	112	159
YMR143W	95	44	32	45
YML069W	61	30	23	31
YMR211W	12	11	3	7
YMR142C	335	199	164	228
YMR203W	45	31	24	57
YMR089C	31	31	19	14
YMR099C	37	22	18	28
YML115C	21	16	8	16
snR11	15	13	6	29
YML012W	46	25	22	24
YML100W	16	16	3	4
YML099C	20	19	7	14
YML123C	74	50	159	174
YMR207C	24	10	6	5
YMR011W	91	44	51	64
YML008C	78	52	36	54
YMR109W	23	17	12	16
YMR004W	18	9	6	13
YMR216C	32	16	12	10
YMR272C	87	58	30	39
YML104C	21	17	6	7
YML058W	46	41	20	36
YML063W	578	330	247	336
YMR008C	35	11	19	22
YMR014W	24	13	10	16
YMR208W	21	13	8	4
YML028W	368	214	198	203
YMR285C	12	10	8	9
YMR189W	47	31	12	20
YML128C	11	10	3	7
YML022W	23	14	22	13
YMR119W	23	16	15	15
YMR215W	38	21	23	26
YMR277W	22	10	9	18
YMR033W	30	29	19	17
YMR305C	112	56	44	57
YMR237W	22	20	10	6
YMR162C	42	19	20	19
YMR158W	17	7	6	14
YMR241W	25	17	10	26
YMR205C	179	119	117	152
YMR235C	72	36	46	50
YMR047C	27	20	19	7
YMR259C	50	22	23	25
YMR261C	22	10	10	11
YML010W	50	40	14	25
YMR126C	18	10	3	6
YML081W	27	15	24	18
YMR221C	16	11	10	11
YML097C	18	11	3	10
YMR295C	19	12	18	14
YML080W	18	18	6	10
YMR058W	52	24	30	38
YMR076C	25	11	8	20
YMR242C	364	220	206	270
YMR309C	118	76	57	85
YML096W	13	6	9	10
YML016C	23	11	8	9
YMR178W	13	5	10	11
YML109W	13	10	6	4
YML106W	90	42	36	52
YML052W	42	15	16	13
YMR218C	21	18	13	6
YMR315W	15	15	8	14
YML121W	24	13	6	7
YMR217W	111	76	68	108
YMR298W	27	17	10	14
YMR289W	14	5	10	10
YML048W	27	15	7	22
snR77	23	16	12	14
YML046W	21	12	14	20
YML004C	32	14	13	30
YMR229C	188	90	95	125
YMR301C	21	14	9	14
YMR276W	20	10	7	20
YMR002W	26	10	7	12
YMR176W	36	22	11	25
YMR198W	13	10	5	9
YMR006C	53	30	17	28
tQ(CUG)M	13	9	9	11
YML093W	50	28	22	32
YMR116C	2149	1208	1352	1430
YMR196W	23	18	6	9
YML053C	10	11	4	3
YMR070W	14	5	7	12
YMR219W	22	17	9	11
YMR123W	17	10	7	12
YMR019W	10	8	10	7
YMR010W	14	8	10	5
YML126C	106	61	46	83
YMR270C	16	11	12	9
YMR108W	65	54	39	48
YML111W	23	11	9	18
YMR278W	20	13	6	5
YMR185W	31	20	13	18
YMR258C	23	13	11	7
YMR029C	25	14	7	14
YMR092C	51	35	23	25
YMR122W-A	27	10	5	11
YMR220W	36	9	17	15
YML031W	58	34	28	33
YMR078C	14	13	7	8
YMR223W	21	8	6	15
YMR214W	14	14	12	16
YML117W	39	30	22	17
snR24	22	16	16	23
YMR226C	174	127	90	129
YML110C	35	42	18	32
YML007W	15	15	12	13
YMR264W	25	21	13	12
YMR037C	11	11	7	2
YML024W	366	232	247	265
YMR130W	11	12	6	5
YMR054W	21	11	9	17
YMR194W	45	28	24	32
YMR074C	29	15	18	17
YML065W	25	18	15	17
YMR243C	83	42	54	93
YMR145C	95	66	44	90
YML071C	10	12	11	10
YMR015C	33	17	17	30
YML070W	17	10	4	8
YMR125W	70	37	34	54
YML072C	92	44	38	61
YML105C	17	6	14	8
YML124C	46	22	17	26
YMR102C	17	13	7	8
YMR128W	47	22	19	31
YMR039C	24	19	9	10
YMR230W	104	61	71	71
YMR267W	19	10	4	12
YMR247C	46	28	24	30
YMR152W	15	14	4	10
YMR251W-A	47	31	12	14
YMR146C	81	44	43	73
YMR032W	17	10	3	8
YMR153W	10	11	6	5
YMR282C	24	16	13	10
YMR062C	22	16	8	14
YMR038C	24	13	17	12
YMR049C	60	43	33	37
snR54	187	107	190	370
YML051W	13	8	3	13
YMR314W	54	39	29	37
YML034W	30	18	15	17
YMR131C	92	63	48	49
YML103C	101	62	42	64
YMR186W	805	511	491	567
YML059C	30	20	15	19
YML086C	34	12	19	26
YMR212C	41	25	29	43
YMR296C	14	12	9	9
YMR061W	28	10	13	19
YMR288W	16	12	4	6
YML130C	33	27	21	35
YML035C	36	14	14	31
YMR093W	24	12	16	17
YMR307W	675	396	360	449
YMR129W	40	29	22	25
YBL055C	18	9	11	11
YBR115C	40	23	15	25
YBR031W	151	92	94	133
YBL037W	14	5	9	10
YBL022C	80	49	36	42
YBR234C	20	12	9	15
YBR247C	20	11	5	12
YBR227C	15	11	7	5
YBR218C	62	45	59	63
YBR244W	15	10	14	12
YBR160W	10	15	10	6
YBR083W	19	9	5	14
YBR158W	82	54	46	57
YBR229C	25	22	20	14
YBR042C	16	11	13	13
YBR143C	158	98	82	83
YBR039W	36	17	14	32
YBL067C	20	8	12	15
YBR087W	21	13	9	6
YBR121C	199	130	87	90
YBR026C	20	8	11	8
YBR177C	21	15	15	20
YBR271W	11	11	6	11
YBR084W	141	74	53	96
YBR245C	34	21	15	31
YBR059C	26	17	18	24
YBR068C	51	31	25	42
YBR041W	21	15	16	23
YBL082C	22	7	5	24
YBL002W	87	37	49	43
YBL098W	71	76	10	18
YBR207W	23	14	14	15
YBR155W	32	13	11	14
YBR237W	11	8	10	8
YBR149W	27	20	18	23
YBR246W	17	8	7	13
YBR023C	40	24	14	41
YBL064C	17	15	4	12
YBL007C	45	30	28	29
YBL091C	23	22	8	21
YBR142W	50	32	20	25
YBR067C	74	39	15	27
YBR010W	97	58	37	52
YBL054W	33	15	16	23
YBR025C	113	71	52	70
YBL027W	275	174	118	195
YBR034C	58	36	35	49
YBR101C	42	24	29	15
YBL010C	11	5	4	10
YBR053C	30	14	19	22
YBL042C	63	16	25	34
YBL039C	92	41	36	45
YBL003C	131	70	62	86
YBR069C	59	38	31	43
YBR009C	69	42	29	37
YBR081C	30	15	14	14
YBR146W	18	12	17	13
YBL028C	17	14	9	16
YBR043C	22	13	9	11
YBR092C	51	32	37	21
YBR126C	41	22	23	24
YBR086C	75	55	35	45
YBR281C	28	14	17	11
YBR159W	36	25	22	25
YBR118W	258	169	115	152
YBL004W	93	29	40	53
YBL015W	18	12	9	17
YBR038W	21	5	5	12
YBR058C	23	23	11	13
YBL087C	195	133	107	162
YBR003W	17	10	6	5
LSR1	64	47	43	30
YBR200W	12	8	6	11
YBR248C	35	29	18	28
YBL047C	46	34	24	47
YBL092W	263	166	105	154
YBR199W	45	29	22	38
YBR139W	19	13	7	9
YBR054W	27	12	7	8
YBR111C	25	10	14	11
YBL001C	62	44	16	28
YBR110W	12	7	11	7
YBL036C	23	18	14	9
YBL076C	328	188	146	196
YBR256C	31	17	10	22
YBR189W	704	445	417	524
YBR011C	105	69	46	81
YBL041W	25	14	5	11
YBL040C	11	6	7	11
YBR082C	43	28	26	20
YBR061C	14	8	4	10
YBL016W	18	9	8	11
YBR175W	11	9	10	10
YBR029C	42	11	17	26
YBR222C	22	22	7	10
YBR162C	98	59	56	88
YBL033C	13	7	4	12
YBR263W	84	36	37	64
YBR272C	16	19	8	10
YBR084C-A	209	122	89	95
YBR106W	98	57	34	49
YBR166C	11	12	8	7
YBR109C	41	31	23	28
YBR255W	15	11	9	8
YBR205W	22	12	10	20
YBR130C	15	13	10	10
YBR122C	17	14	9	6
YBR202W	13	7	14	17
YBR001C	16	11	9	7
YBR288C	57	29	26	27
YBL072C	384	218	205	222
YBR103W	24	14	9	12
YBL024W	44	17	15	31
YBR102C	10	11	9	11
YBL051C	17	17	9	15
YBR196C	400	279	255	276
YBR236C	9	15	8	10
YBR276C	23	15	8	23
YBR036C	38	25	19	30
YBR079C	113	68	49	82
YBR017C	31	27	11	26
YBL023C	32	27	20	21
YBR127C	126	86	70	83
YBR035C	58	27	17	23
YBL017C	53	44	39	48
YBR195C	26	10	6	9
YBR221C	57	34	23	44
YBL045C	32	24	17	24
YBR154C	17	11	11	12
YBR273C	15	15	11	23
YBR048W	216	120	123	162
YBR104W	14	16	7	8
YBL079W	55	36	23	27
YBR265W	23	7	8	11
YBR249C	63	24	33	51
YBR170C	14	12	6	7
YBR133C	15	5	3	12
YBR275C	16	16	8	17
YBL085W	12	10	6	9
YBL052C	25	20	19	16
YBL009W	16	2	6	14
YBR283C	44	27	36	51
YBR198C	20	7	8	15
YBL056W	56	42	37	43
YBL099W	94	56	53	60
YBR242W	18	7	10	11
YBR181C	259	174	150	170
YBR052C	35	18	15	14
YBR093C	13	8	28	37
YBR049C	23	16	12	10
YBR056W	32	24	15	21
YBL030C	104	58	68	74
YBR151W	25	11	12	14
YBL105C	17	10	21	14
YBL102W	23	12	16	12
YBL011W	26	17	5	19
YBR235W	17	10	12	14
YBR015C	22	19	18	23
YBR055C	20	6	12	10
YBR088C	32	21	27	28
YBR164C	34	18	8	6
YBL020W	10	5	14	21
YBR208C	29	18	34	37
YBR172C	21	15	11	26
YBR286W	141	88	83	120
YBL061C	23	26	13	17
YBR267W	18	12	6	11
YBL032W	42	30	14	23
YBR191W	222	140	106	121
YBR074W	18	19	16	6
YBR187W	35	18	16	24
YBL035C	17	10	7	6
YBR073W	35	22	20	26
YBR260C	17	7	7	11
YBR279W	24	14	14	13
YBR078W	238	131	101	129
YBR028C	13	9	6	10
YBR129C	16	12	6	8
YBL050W	37	16	19	28
YBR080C	29	14	20	27
YBL058W	27	16	10	17
YBR140C	53	25	25	22
YNR017W	16	10	5	10
YNL306W	15	17	7	8
YNL288W	14	9	11	12
YNL137C	25	12	11	10
YNL030W	156	92	58	80
YNL297C	26	15	16	30
YNL102W	32	19	18	22
YNL099C	44	20	17	23
YNL182C	20	12	11	9
YNL180C	17	7	4	10
YNR001C	22	15	14	13
YNL091W	27	29	15	18
YNL221C	25	11	10	18
YNR052C	17	8	9	10
YNL061W	45	16	10	28
YNL121C	55	25	18	30
YNR055C	21	16	12	17
YNL119W	19	16	5	8
YNL310C	19	11	4	10
YNL126W	17	18	4	13
YNL301C	108	73	56	65
YNL263C	31	14	16	19
YNL059C	25	13	14	17
YNL044W	41	15	14	12
YNL067W	265	140	138	117
YNL104C	46	27	24	28
YNL169C	18	9	10	10
YNL268W	28	16	13	13
YNL162W	158	104	86	106
YNL257C	29	17	23	19
YNL229C	24	11	16	8
YNL248C	39	28	32	30
YNR051C	42	27	27	20
YNL190W	24	13	11	13
YNL080C	13	12	4	7
YNL145W	18	12	14	9
YNL323W	25	13	8	13
YNL048W	20	13	6	18
YNL273W	15	7	7	15
YNL055C	57	47	41	58
YNR013C	18	15	11	11
YNL041C	27	16	9	16
YNL008C	32	19	11	15
YNR015W	28	14	17	18
YNL313C	41	25	18	27
YNL035C	10	5	7	13
YNL007C	26	12	15	26
YNL002C	50	22	28	33
YNL311C	20	12	9	13
YNL291C	23	13	9	12
YNL087W	111	57	53	64
YNL217W	20	12	12	22
YNR028W	37	18	12	31
YNL192W	27	30	18	21
YNL071W	79	43	34	59
YNL308C	32	17	14	15
YNL239W	44	33	31	37
YNR067C	38	20	17	32
YNL294C	11	12	10	10
YNL280C	42	16	20	14
YNL075W	24	10	8	9
YNL261W	21	12	6	12
YNR021W	107	62	44	50
YNL201C	29	12	13	19
YNR033W	10	11	9	12
YNL123W	37	16	18	28
YNR016C	344	221	161	209
YNL178W	1135	783	649	745
YNL065W	12	11	8	9
YNR043W	20	18	13	22
YNL021W	16	11	4	7
YNL251C	23	22	9	14
snR40	97	74	51	55
YNL299W	21	14	13	15
snR19	35	32	29	47
YNL163C	42	19	22	26
YNL118C	40	22	12	17
YNL189W	99	76	42	55
YNL290W	41	20	20	64
YNL227C	20	8	7	11
YNL004W	24	12	17	20
YNL233W	15	10	5	8
YNL155W	24	12	17	5
YNL177C	20	13	5	7
YNL098C	28	24	16	17
YNL049C	18	12	10	10
YNL031C	136	91	57	67
YNR030W	17	13	14	12
YNL038W	19	9	10	7
YNL090W	25	12	9	9
YNL151C	12	7	3	10
YNR038W	32	6	11	18
YNL307C	29	24	19	21
YNL131W	39	24	28	20
YNL175C	58	26	19	47
YNL022C	26	14	12	7
YNL183C	19	14	8	13
YNL238W	22	21	13	23
YNL154C	55	34	27	31
YNL267W	35	14	12	24
YNL209W	246	146	149	200
YNL066W	54	29	17	36
YNR054C	26	15	4	11
YNR031C	30	21	21	26
YNL110C	24	15	15	9
YNL262W	26	19	7	16
YNL256W	20	13	11	18
YNR029C	12	4	10	5
YNL023C	17	12	4	13
YNL186W	22	13	12	11
YNL153C	14	18	7	10
YNL088W	81	38	28	52
YNL216W	26	15	7	20
YNL181W	19	7	13	3
YNL064C	41	27	22	38
YNL322C	18	10	16	8
YNL168C	23	15	12	10
YNL259C	20	7	10	12
YNL037C	34	32	22	23
YNL085W	54	36	23	57
YNL255C	386	255	212	306
YNL070W	15	9	10	11
YNL271C	26	16	19	28
YNL327W	66	51	34	39
YNL281W	58	35	25	29
YNL156C	45	31	17	31
YNL166C	8	11	6	16
YNL069C	456	243	238	290
YNR050C	67	38	36	45
YNL138W	39	22	21	41
YNL302C	146	83	72	111
YNL045W	64	38	15	34
YNL207W	39	20	22	23
YNR011C	18	10	3	4
YNL241C	51	23	37	51
YNL112W	268	135	142	198
YNL115C	11	12	7	8
YNL073W	14	11	2	7
YNL101W	11	13	10	10
YNL084C	27	16	17	23
YNL208W	30	18	14	31
YNL010W	129	81	58	75
YNL134C	63	44	59	90
YNR053C	68	33	37	46
YNL231C	21	16	11	14
YNL258C	27	11	10	13
YNL081C	16	9	5	10
YNL287W	114	54	67	86
YNL096C	94	54	55	65
YNL139C	43	22	24	23
YNL113W	62	30	38	39
YNL016W	36	33	22	22
YNL330C	33	6	13	21
YNL172W	14	16	8	15
YNL132W	48	14	22	30
YNR035C	29	15	10	18
YNL160W	38	28	8	20
YNL141W	74	23	11	26
YNL161W	22	12	8	13
YNL247W	66	57	42	54
YNL062C	30	13	7	14
YNL135C	38	20	23	23
YNL212W	32	24	11	19
YNL243W	56	44	25	34
YNL220W	92	54	56	63
YNL219C	23	13	15	18
YNL079C	44	33	22	27
YNL244C	52	16	23	24
YJL204C	15	10	7	4
YJR105W	355	206	259	273
YJR088C	31	16	16	13
YJL020C	36	16	9	20
YJR131W	18	19	7	5
YJR069C	30	15	13	15
YJL186W	62	30	20	30
YJL008C	117	79	62	67
YJL061W	23	7	10	14
YJR085C	12	10	2	6
YJR040W	13	11	7	14
YJL189W	102	55	43	56
YJR005W	45	29	18	16
YJR049C	17	14	7	17
YJR002W	48	35	22	40
YJR145C	408	269	273	317
YJR009C	461	267	336	448
YJL173C	12	16	13	6
YJR014W	29	9	8	21
YJR135W-A	22	11	16	11
YJR045C	105	57	53	59
YJL176C	15	11	5	10
YJL159W	125	82	82	102
YJR060W	7	9	15	16
YJR119C	12	10	3	3
YJR092W	26	16	13	19
YJL010C	31	19	10	18
YJR140C	28	24	6	17
YJL136C	225	152	122	135
YJL117W	13	17	14	14
YJL079C	24	14	10	19
YJL171C	11	5	9	11
YJL172W	28	21	27	34
YJL093C	19	9	12	10
YJL050W	69	42	47	54
YJL002C	111	80	49	93
YJL201W	16	6	7	17
snR128	101	64	56	50
YJL029C	26	9	10	10
YJR144W	22	12	12	16
YJL073W	17	13	17	33
YJR094W-A	136	83	51	84
YJL052W	81	57	25	37
YJR139C	128	99	87	98
YJL016W	9	12	5	13
YJR007W	128	85	79	96
YJR065C	59	39	39	39
YJR072C	31	22	17	31
YJR133W	31	15	5	11
YJL012C	76	48	91	133
YJR121W	135	76	75	107
YJL145W	20	15	9	15
YJR064W	290	169	175	231
YJL074C	30	20	13	16
YJL111W	95	66	50	85
YJL158C	137	79	71	100
YJR016C	129	103	85	116
YJL208C	14	7	14	7
YJL197W	28	14	11	22
YJL078C	16	9	4	10
YJR117W	35	20	33	37
YJR057W	31	30	15	19
YJL081C	19	8	11	16
YJL054W	37	19	17	24
YJR137C	21	9	11	21
YJL192C	37	28	25	20
YJR001W	42	26	33	31
YJL190C	353	220	215	226
YJL055W	21	11	9	10
YJL085W	11	9	10	2
YJR109C	43	20	17	23
YJL167W	92	48	35	61
YJL036W	14	10	7	9
YJL168C	23	12	11	17
YJR066W	27	11	13	17
YJL001W	18	12	8	8
YJL212C	10	9	10	16
YJR125C	18	8	11	10
YJR051W	23	17	7	11
YJL200C	35	19	25	37
YJL129C	35	15	14	18
YJR103W	13	13	3	10
YJL044C	32	13	10	14
YJL157C	44	24	28	27
YJL034W	170	98	130	159
YJL183W	59	51	37	44
YJR031C	35	19	13	17
YJR077C	37	21	17	17
YJR033C	10	8	3	15
YJL068C	22	12	5	11
YJL112W	9	11	11	8
YJL039C	33	30	25	25
YJR090C	24	16	11	19
YJL174W	22	16	10	6
YJL014W	64	54	38	41
YJR075W	32	16	17	29
YJR126C	30	11	12	16
YJL005W	34	19	13	14
YJR076C	37	22	13	20
YJL217W	14	10	6	11
YJL207C	42	26	18	37
YJL198W	25	14	12	16
YJR073C	11	9	10	11
YJR143C	45	26	34	48
YJL177W	170	118	73	94
YJR032W	20	14	12	6
YJL140W	33	23	16	13
YJR068W	32	21	15	16
YJR017C	26	15	5	10
YJL026W	114	61	45	59
YJL101C	13	12	16	21
YJR041C	48	29	28	37
YJL080C	134	77	71	92
YJR091C	15	11	10	10
YJL121C	17	6	10	11
YJL138C	46	21	24	27
YJL130C	222	128	119	184
snR190	30	22	16	25
YJL069C	50	25	27	20
YJL091C	18	9	6	10
YJL033W	39	21	16	17
YJL041W	23	16	15	11
YJR148W	97	69	24	13
YJL123C	56	39	23	41
YJR123W	442	263	230	385
YJR015W	20	13	16	21
YJL154C	40	39	16	28
YJL035C	10	7	8	11
YJR089W	18	20	11	9
YJL042W	11	18	7	11
YJR003C	14	16	11	12
YJL124C	17	10	1	5
YJR104C	119	80	51	90
YJR070C	73	39	37	36
YJR054W	13	10	13	7
YJL191W	18	9	15	19
YJL109C	135	73	89	103
YJL178C	25	14	6	19
YJL098W	42	36	22	22
YJL196C	19	20	17	15
YJL148W	25	17	14	17
YJL031C	21	12	8	5
YJR132W	45	27	35	23
YJR042W	48	31	19	28
YJR127C	28	12	12	13
YJL210W	8	7	10	10
YJR134C	23	19	13	13
YJL076W	30	22	18	18
YKR092C	65	33	29	35
YKL002W	13	16	4	7
YKL173W	31	20	17	22
YKL180W	204	114	112	157
YKL004W	21	6	12	14
YKL143W	31	22	10	16
YKL172W	105	65	60	74
YKR014C	9	10	13	5
YKR099W	15	7	10	5
YKL110C	25	13	10	11
YKL094W	41	22	9	21
YKR094C	667	423	369	433
YKL157W	90	42	46	50
YKR062W	16	10	8	12
YKR038C	28	17	12	17
YKR048C	46	33	30	40
YKL096W-A	170	124	74	88
YKL014C	32	22	23	26
YKR082W	33	27	13	34
YKL126W	16	13	9	11
YKR072C	19	20	8	21
YKL074C	21	9	10	8
YKL018W	14	11	6	3
YKL135C	20	12	8	8
YKL112W	26	22	10	18
YKR080W	45	24	13	22
YKR068C	18	7	12	10
YKR027W	21	16	11	15
YKL081W	340	190	237	311
YKR001C	51	32	21	36
YKR095W	71	48	34	44
YKL100C	26	15	9	14
YKR074W	31	18	17	28
YKL024C	58	27	18	42
YKL073W	38	22	24	23
YKL104C	44	42	42	37
YKL191W	40	25	24	29
YKR042W	191	106	97	140
YKR013W	30	22	23	20
YKL039W	14	9	12	14
YKL155C	14	6	4	11
YKR089C	14	15	8	10
YKR018C	37	29	18	40
YKR079C	21	14	4	14
YKL027W	23	7	8	12
YKL035W	100	77	37	55
YKL207W	56	28	14	27
YKR066C	26	12	9	35
YKL117W	115	43	66	69
YKL007W	32	18	7	19
YKL021C	43	30	11	26
YKL148C	12	6	10	5
YKL038W	17	13	9	12
YKL125W	20	15	10	19
YKL077W	28	17	9	22
YKR024C	33	22	11	19
YKR056W	34	25	22	11
YKL203C	21	10	9	14
YKR054C	42	14	12	18
YKR057W	304	207	170	186
YKL122C	18	16	10	13
YKL113C	10	18	7	12
YKL213C	29	20	12	29
YKR063C	15	12	4	4
YKL174C	18	9	15	12
YKR011C	15	11	6	11
YKL005C	29	14	8	11
YKL006W	172	112	70	125
YKL182W	393	274	227	319
YKL099C	14	10	5	11
YKL179C	38	30	19	21
YKL047W	6	9	10	11
YKL181W	156	94	101	113
YKL209C	135	67	70	88
YKR086W	19	13	14	13
YKL141W	11	18	8	6
YKL065C	15	11	10	16
YKL013C	52	30	24	34
YKL040C	26	12	5	12
YKL096W	34	26	5	14
YKL210W	158	106	75	82
YKL015W	17	7	10	12
YKL009W	54	31	26	17
YKL195W	53	45	35	33
