gene	Control_#1_B_cell	Control_#1_T_cell	Control_#1_monocyte	Control_#1_neutrophil	Control_#1_platelet	Control_#2_B_cell	Control_#2_T_cell	Control_#2_monocyte	Control_#2_neutrophil	Control_#3_B_cell	Control_#3_T_cell	Control_#3_erythroid_lineage_cell	Control_#3_monocyte	Control_#3_neutrophil	Control_#3_platelet	SARS_CoV2_pos_Mild_B_cell	SARS_CoV2_pos_Mild_T_cell	SARS_CoV2_pos_Mild_erythroid_lineage_cell	SARS_CoV2_pos_Mild_monocyte	SARS_CoV2_pos_Mild_neutrophil	SARS_CoV2_pos_Severe_#1_B_cell	SARS_CoV2_pos_Severe_#1_T_cell	SARS_CoV2_pos_Severe_#1_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#1_monocyte	SARS_CoV2_pos_Severe_#1_neutrophil	SARS_CoV2_pos_Severe_#1_platelet	SARS_CoV2_pos_Severe_#2_B_cell	SARS_CoV2_pos_Severe_#2_T_cell	SARS_CoV2_pos_Severe_#2_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#2_monocyte	SARS_CoV2_pos_Severe_#2_neutrophil	SARS_CoV2_pos_Severe_#2_platelet	SARS_CoV2_pos_Severe_#3_B_cell	SARS_CoV2_pos_Severe_#3_T_cell
CAPZB	6	396	253	3	15	33	480	186	4	17	299	3	223	28	12	88	1264	0	367	7	87	820	3	383	25	68	141	807	15	457	162	204	17	141
CARD16	2	134	232	0	1	8	159	175	4	8	91	0	169	20	1	30	421	0	400	37	21	303	0	290	11	4	40	315	3	432	194	48	5	41
CARD8	4	100	38	1	6	2	128	37	1	7	80	0	23	7	1	16	420	0	67	3	24	188	1	75	4	2	44	172	5	45	33	18	4	36
CARHSP1	5	111	37	1	0	7	121	32	0	8	85	1	28	1	1	33	391	7	55	1	39	303	6	75	7	0	30	231	33	67	22	20	11	47
CASP4	4	160	130	3	4	14	159	86	9	9	119	0	100	49	0	58	467	1	200	28	51	370	0	142	18	13	56	280	1	138	88	45	7	40
CAST	18	469	415	0	0	31	740	419	5	32	458	1	345	16	1	128	1165	0	562	4	129	889	1	556	17	1	357	990	19	669	186	7	23	153
CBL	2	43	29	0	0	7	62	42	0	6	41	0	36	6	1	29	221	0	68	3	30	71	0	83	8	5	21	87	0	82	44	30	5	11
CBX3	15	249	118	0	3	13	255	88	1	10	198	1	83	9	0	60	920	1	202	5	75	639	1	195	10	7	101	555	24	209	71	26	9	91
CCDC157	2	150	58	1	0	8	145	39	5	10	84	0	42	7	1	25	348	0	108	7	55	207	1	124	19	1	40	152	4	41	26	0	7	22
CCDC186	3	186	62	1	0	3	176	35	1	7	129	1	37	6	0	53	421	0	73	7	43	291	7	91	9	0	80	296	25	130	79	5	5	34
CCDC30	3	213	72	1	1	5	177	54	0	14	125	0	54	6	0	38	421	0	68	5	50	252	0	95	13	2	45	178	3	47	28	0	11	37
CCDC57	23	798	250	5	1	38	747	245	9	47	534	2	195	23	3	155	1723	0	313	12	219	1265	2	412	49	14	178	935	18	207	98	15	42	173
CCDC82	9	186	42	0	0	8	167	26	1	8	117	0	38	14	0	46	431	0	73	5	60	261	0	65	10	2	83	198	4	66	58	10	5	20
CCL5	29	1599	228	3	61	42	2685	170	3	33	1442	1	143	18	124	259	5245	2	445	11	245	3941	2	487	45	185	154	2300	12	177	47	253	85	419
CCL5-1	29	1583	228	3	61	42	2607	170	3	33	1442	1	143	18	124	259	5232	2	445	11	245	3862	2	487	45	185	154	2300	12	177	47	253	85	419
CCM2	8	272	77	0	1	18	226	58	1	19	203	1	60	7	1	56	602	0	97	0	52	367	1	121	7	5	67	276	3	101	35	16	8	46
CCND3	3	266	80	0	21	6	336	55	0	8	208	0	63	2	10	49	972	1	108	5	53	357	1	109	6	58	47	514	7	152	25	217	4	91
CCNDBP1	7	145	65	2	3	19	163	65	3	6	156	45	66	20	0	66	573	40	108	10	58	351	170	106	25	8	85	306	566	98	74	32	8	43
CCNI	39	975	414	6	6	63	966	381	16	82	664	11	410	36	2	270	2448	33	675	26	331	1575	154	607	59	13	558	1900	318	637	181	86	48	218
CCNL1	43	1162	521	27	0	74	983	348	13	70	691	1	310	99	3	166	1891	2	692	29	328	1868	6	798	128	0	523	2170	37	514	467	11	36	179
CCNY	2	100	104	0	5	12	103	93	4	4	79	0	75	16	3	21	190	0	160	6	34	136	1	133	6	14	34	162	3	89	47	45	1	18
CCPG1	1	75	58	6	6	5	75	51	6	5	55	0	54	23	7	25	229	0	87	9	27	139	2	122	15	29	30	95	14	129	101	108	1	15
CD164	9	251	160	0	1	20	239	132	2	31	176	0	139	9	3	65	700	0	293	0	91	453	10	284	16	9	147	546	23	273	52	22	12	64
CD37	107	539	304	6	0	232	592	291	11	259	437	0	275	21	0	986	1742	0	605	19	1015	948	3	503	32	7	1248	1205	16	635	265	25	154	139
CD46	9	224	145	13	1	9	241	118	17	11	163	0	97	41	7	55	713	0	202	33	34	338	2	221	66	3	55	338	9	202	299	30	10	44
CD47	12	294	82	0	11	28	299	75	0	17	192	1	70	2	4	78	789	0	120	3	107	602	1	148	4	23	103	510	14	223	41	70	12	88
CD55	19	341	390	18	1	34	294	198	19	23	202	6	348	119	3	96	675	5	191	25	114	322	18	535	91	6	176	447	125	559	502	33	15	30
CD63	2	223	434	1	10	10	307	250	0	9	190	0	317	29	15	40	686	0	680	10	55	422	1	952	20	65	86	590	8	1292	283	261	10	74
CD74	426	724	2124	2	0	806	613	2018	8	736	464	1	1692	7	2	2826	1313	2	4516	10	3503	1583	6	1889	20	3	4514	873	9	1426	39	5	617	91
CD82	47	955	408	16	1	79	896	254	4	92	691	0	258	69	2	274	1937	3	451	25	335	1279	6	519	115	9	300	905	15	315	307	16	35	134
CDC37	2	181	98	2	4	14	194	62	1	3	141	0	63	1	4	49	514	0	109	0	64	358	5	103	2	19	63	426	7	104	16	43	9	57
CDC42	43	1612	749	14	9	92	1506	531	12	58	987	8	495	31	1	285	3367	4	997	33	400	2572	18	1104	72	30	678	2459	99	1137	314	59	65	341
CDC42SE1	10	239	50	3	0	18	281	56	5	9	173	0	62	30	1	78	859	1	175	13	72	410	0	154	27	4	91	327	7	103	154	16	17	76
CDC42SE2	9	770	119	1	4	31	686	101	6	20	530	1	90	24	5	84	1407	2	126	8	132	1168	0	159	69	21	180	1060	9	118	184	42	23	154
CDKL5	8	171	283	6	0	9	148	252	7	8	91	1	148	32	1	16	268	0	189	17	22	165	4	239	24	0	16	94	10	102	127	5	8	24
CDKN1B	5	347	45	0	1	14	312	34	0	21	268	0	50	8	0	52	860	0	73	0	66	496	25	63	7	0	111	598	83	86	67	7	16	67
CDKN2D	8	294	217	4	31	14	226	133	4	12	204	18	197	72	39	51	451	21	215	20	43	300	55	288	42	132	79	634	134	435	295	411	4	83
CDS2	6	126	62	1	1	7	127	76	3	17	111	0	47	15	0	25	300	0	68	11	52	257	1	103	33	7	115	209	3	77	69	17	10	25
CDV3	12	309	223	0	0	19	322	185	5	17	248	2	167	15	2	65	771	2	315	4	165	620	14	393	25	7	229	720	40	475	105	20	11	80
CEACAM22P	18	340	107	5	0	15	325	103	3	21	213	0	77	18	0	74	618	0	177	15	69	569	1	181	45	3	97	348	11	92	81	9	16	59
CELF2	16	642	226	6	0	39	869	200	5	27	577	0	172	48	2	133	1777	4	359	23	154	924	0	378	46	9	142	957	8	228	263	33	14	133
CERCAM	18	436	212	13	1	34	389	139	6	30	298	0	142	35	7	82	850	0	225	14	104	532	1	269	45	3	89	398	11	135	109	5	27	56
CERT1	6	94	100	1	0	13	79	97	3	4	73	0	80	7	0	28	240	0	163	1	32	144	0	192	9	1	49	121	4	129	58	18	10	16
CFL1	30	1352	900	4	25	66	1716	625	15	57	1013	1	706	45	28	277	4529	4	1364	18	343	3348	4	1449	53	171	479	3574	26	1722	449	565	76	504
CFLAR	19	554	279	16	4	33	633	172	10	19	494	1	174	80	3	120	1568	0	361	30	163	1165	0	416	85	17	210	939	19	242	593	76	25	139
CGGBP1	2	163	60	1	2	8	154	47	0	8	105	1	56	4	2	38	351	3	81	3	44	256	10	77	6	8	55	251	36	81	38	26	9	39
CHCHD2	17	828	307	1	2	41	759	252	2	47	653	7	335	5	3	182	2075	4	509	9	234	1714	65	519	11	12	356	2162	126	601	81	91	42	283
CHD1	14	501	286	8	0	24	505	251	10	16	341	1	224	64	0	81	747	1	304	19	167	713	1	246	52	0	188	599	13	281	240	5	14	37
CHD2	27	547	138	8	0	42	509	114	10	32	333	0	99	27	0	150	1095	0	143	10	177	758	20	219	41	1	229	790	75	213	173	4	21	73
CHD4	13	167	50	6	1	24	244	58	6	11	124	0	37	25	4	53	418	0	130	6	92	258	1	101	31	4	86	223	4	52	87	10	17	32
CHD9	6	109	66	1	4	16	117	59	0	8	61	2	57	2	1	46	251	0	83	1	81	134	2	117	2	25	85	168	24	99	11	72	8	29
CHFR	13	334	124	1	0	17	274	81	1	16	193	0	88	17	0	38	596	0	150	3	82	439	3	146	27	0	97	276	4	102	123	13	15	58
CHMP1B	4	189	88	2	1	12	163	72	4	10	115	1	74	7	0	34	318	1	146	15	72	209	0	136	16	3	78	261	26	134	59	10	6	18
CHMP2A	2	153	124	1	3	8	156	73	4	8	103	1	122	23	0	34	472	3	215	13	39	340	21	149	25	8	67	348	63	224	173	47	9	56
CHMP2B	6	89	82	0	1	17	101	52	2	9	67	0	79	14	0	35	254	0	100	13	50	179	0	128	21	0	78	223	8	124	89	6	4	16
CHMP4B	4	126	171	0	1	9	130	131	1	7	100	2	103	11	2	43	280	1	173	3	45	228	16	204	8	3	56	227	50	217	102	11	8	30
CHMP5	2	47	23	1	0	4	69	13	0	4	48	3	26	5	2	26	224	1	76	4	15	87	8	75	4	3	26	147	45	59	31	25	3	23
CHST12	129	2212	586	11	1	175	2315	433	16	180	1777	5	454	73	3	777	6411	4	854	49	808	3831	12	1212	143	6	594	2615	35	601	384	17	140	646
CHURC1	12	335	95	1	1	12	288	62	1	17	230	0	94	18	4	78	1018	0	145	6	93	600	5	147	8	7	93	637	35	161	82	19	6	89
CIR1	13	335	97	7	0	20	343	80	11	19	226	3	70	41	0	71	529	2	148	22	115	581	13	180	60	0	136	586	57	132	197	12	13	39
CIRBP	37	834	130	1	4	62	848	121	0	75	655	0	163	9	3	183	1668	1	201	2	286	1230	5	189	4	13	380	1391	15	251	32	48	47	159
CKLF	2	146	135	4	0	4	184	100	1	5	158	0	105	17	0	20	470	0	217	11	24	295	0	213	17	3	23	376	2	240	297	9	3	58
CLEC2B	12	496	131	4	0	15	409	123	5	9	374	0	114	36	0	28	835	0	201	37	45	828	4	223	27	0	59	1047	19	232	398	5	5	88
CLINT1	5	140	85	0	7	9	124	51	1	12	122	0	62	3	0	40	368	0	123	1	63	253	2	122	4	8	84	275	8	122	17	35	3	37
CLIP1	9	386	178	1	4	25	281	128	1	18	262	1	143	18	0	102	1028	0	317	2	134	628	1	342	43	8	120	405	7	232	118	23	23	101
CLK1	21	382	120	2	0	19	311	77	4	15	186	0	66	9	0	48	489	0	104	3	88	483	5	120	21	2	132	488	25	99	45	6	8	45
CLTA	2	102	113	0	2	2	117	93	0	5	84	0	96	2	3	40	444	1	213	3	37	394	1	207	7	12	39	295	5	193	25	33	5	41
CLTC	1	78	101	1	1	2	71	78	2	7	60	0	60	7	3	20	209	0	156	10	23	192	10	168	17	4	36	175	48	130	77	14	0	22
CMBL	6	308	129	8	2	16	304	120	6	19	188	0	81	21	0	53	612	2	134	9	63	426	3	150	41	1	67	247	28	90	85	2	4	32
CMC2	2	174	47	2	3	3	203	63	0	6	133	0	36	3	2	38	438	0	97	2	44	520	4	90	9	3	48	325	12	72	12	31	8	22
CMIP	5	89	110	2	14	5	126	89	1	6	74	0	81	12	8	15	178	0	166	4	29	106	2	139	4	46	44	106	2	72	44	109	3	11
CMTM6	9	126	251	6	4	25	142	201	10	17	101	1	176	58	10	74	299	0	372	19	95	289	0	335	57	38	158	429	3	435	239	127	9	38
CNBP	6	530	264	3	0	27	511	181	3	25	417	1	234	27	0	135	1477	4	384	15	89	816	28	326	59	4	180	993	75	363	251	10	30	164
CNN2	7	244	84	0	0	17	299	61	8	7	156	1	93	32	2	72	714	0	140	11	50	675	1	171	38	8	71	514	2	137	170	49	15	106
CNPY3	6	95	172	0	1	9	88	128	2	16	74	1	116	11	5	51	232	0	261	5	55	163	1	238	16	4	80	183	2	247	55	18	10	26
COA1	4	204	44	1	1	9	185	32	1	8	114	0	26	4	0	53	485	0	54	2	53	330	0	71	17	0	42	243	0	62	21	0	7	31
COMMD6	24	848	250	0	0	58	1052	199	4	67	774	0	301	4	0	281	2805	2	467	5	274	1437	0	342	6	4	416	1805	24	365	47	8	61	252
COPA	13	486	171	8	1	39	474	155	2	29	351	2	99	12	0	62	815	1	236	11	142	785	3	211	24	7	189	729	36	182	111	6	13	71
COPE	4	190	154	0	7	7	220	91	5	16	218	0	134	5	3	50	657	4	206	5	69	526	17	244	5	7	84	591	36	254	36	31	23	115
COPS2	6	135	44	0	1	12	126	43	1	10	110	3	28	5	0	22	288	1	73	2	41	257	12	75	3	4	81	326	26	101	10	11	5	23
COQ10B	5	137	69	0	1	7	142	58	4	4	87	0	51	5	0	26	229	1	80	5	27	250	3	77	17	2	40	258	9	91	88	5	4	22
CORO1A	10	550	361	2	0	44	672	302	5	35	491	1	373	27	0	220	2664	0	667	16	141	1732	2	456	15	3	213	1474	5	668	123	13	50	352
COTL1	21	296	1137	11	16	34	346	755	17	34	232	1	1092	69	19	77	915	1	1494	22	109	1612	2	1678	97	56	171	793	16	1888	414	235	36	104
COX17	14	151	75	0	2	13	151	53	0	10	100	0	63	2	0	54	401	1	119	2	74	310	18	124	4	9	119	277	31	142	35	36	7	33
COX4I1	51	1304	634	1	3	86	1280	521	2	100	990	3	533	9	5	304	3399	0	963	3	484	2364	6	807	11	20	687	3010	43	935	85	64	69	337
COX5B	16	457	242	3	0	20	468	219	1	25	396	0	222	15	1	129	1299	0	420	7	128	943	19	400	13	6	201	1250	52	631	133	28	38	152
COX6A1	7	344	195	2	0	27	390	166	1	19	282	1	155	10	1	99	1083	3	294	5	148	873	23	330	10	13	202	1109	69	401	83	72	16	121
COX6B1	22	442	256	1	6	28	486	229	2	23	424	3	267	17	6	126	1446	3	453	7	108	877	58	417	13	31	179	1352	206	556	150	120	36	195
COX7A2	17	589	220	1	2	39	592	161	6	35	475	3	232	5	1	109	1467	1	317	5	168	1180	33	313	6	6	260	1480	91	445	92	59	33	199
COX7B	10	375	257	0	2	14	378	202	2	27	268	1	222	11	2	72	983	2	380	5	91	813	54	315	8	10	156	1005	265	453	94	30	19	122
COX7C	48	1574	483	0	1	91	1435	417	0	96	1156	3	482	2	2	359	4343	6	724	1	420	2548	51	647	1	8	641	3425	206	815	13	37	71	454
COX8A	7	375	239	0	3	14	406	190	0	13	327	1	235	6	3	71	1010	1	423	3	102	916	2	413	8	7	141	1137	19	550	85	53	14	117
CPEB4	4	63	87	4	1	5	80	71	3	7	66	1	74	28	1	13	151	1	160	17	33	70	114	216	91	13	41	113	499	178	221	45	0	9
CPT1A	12	221	72	4	1	22	197	57	1	20	134	0	55	13	0	75	754	1	162	4	67	499	13	194	7	1	73	309	10	98	27	10	28	98
CRBN	5	266	79	0	2	8	235	39	0	10	162	0	35	1	4	44	627	0	89	4	46	369	2	92	3	15	57	428	17	84	18	67	6	67
CREB1	4	73	32	4	1	5	80	25	0	13	69	0	23	5	0	40	270	0	72	6	43	127	5	49	6	2	48	116	19	22	36	5	6	19
CREBRF	20	411	118	3	2	40	430	128	8	26	329	0	93	40	0	77	842	0	131	9	145	569	10	200	78	3	167	624	41	170	288	29	14	84
CSDE1	20	582	355	2	4	34	556	264	1	32	363	9	218	24	3	110	1228	12	426	4	159	832	59	458	32	15	263	965	184	371	102	51	28	95
CSK	8	91	123	0	1	10	103	87	1	15	69	0	97	9	0	59	385	1	173	1	61	266	0	171	9	11	59	194	1	213	33	10	22	35
CSNK1A1	9	320	226	6	7	15	312	185	7	18	228	1	171	29	1	79	879	3	309	3	77	618	20	336	33	13	123	557	60	326	138	38	5	84
CSNK1D	10	168	88	9	0	16	193	77	4	12	99	0	77	25	0	31	299	0	116	6	78	293	3	97	40	1	85	271	6	124	117	6	7	18
CSNK1G2	3	154	54	1	0	8	159	36	1	5	105	0	38	5	0	33	365	0	90	1	41	190	0	69	9	2	65	189	2	87	36	9	8	25
CSNK2A1	15	497	182	4	0	31	501	149	5	44	389	0	133	16	1	119	1268	0	265	7	163	842	8	312	27	0	152	644	33	178	74	7	36	110
CTBS	3	68	61	4	1	6	75	67	1	5	51	0	49	16	0	12	205	0	98	15	24	129	0	108	20	1	31	180	5	108	87	4	3	10
CTCF	6	148	43	0	1	7	133	26	2	13	107	0	30	2	1	35	477	0	67	4	26	287	2	59	5	1	36	251	4	60	23	4	9	46
CTDSP1	2	89	99	0	1	9	116	64	0	8	86	0	60	0	3	35	335	0	133	3	15	170	2	137	4	13	29	140	0	97	10	15	6	20
CTDSP2	3	73	58	1	1	7	66	32	1	4	45	1	30	6	1	24	198	3	66	3	8	91	12	103	7	4	12	92	4	40	18	19	2	16
CTSC	1	174	186	1	0	3	227	128	1	2	195	0	288	8	1	12	651	0	264	2	15	611	0	365	5	3	40	499	0	475	80	25	3	71
CTSS	29	242	2797	8	0	33	223	2118	46	48	188	2	2043	135	0	191	666	1	4362	71	227	422	4	4041	136	0	255	428	10	3518	625	6	34	78
CTSZ	12	57	330	2	0	13	51	233	1	22	32	0	296	8	0	97	122	3	474	1	90	95	6	510	11	6	122	134	19	606	71	80	17	14
CUL3	11	138	76	3	0	19	176	41	1	10	116	1	40	8	1	57	404	2	87	6	97	288	5	114	15	0	136	300	18	101	45	16	4	28
CUL4B	12	271	94	3	1	16	303	84	3	22	168	0	54	6	0	71	697	0	135	2	96	388	1	136	18	0	89	291	10	83	57	6	14	55
CUX1	4	75	134	3	2	6	80	135	0	6	53	1	126	11	1	18	231	0	204	5	27	100	0	231	8	13	38	156	8	185	57	26	2	16
CXCR4	71	1841	414	15	0	141	1675	311	25	75	1541	0	204	87	1	250	2907	4	378	51	409	3006	5	421	206	1	608	3456	26	279	814	10	29	108
CYB561A3	29	696	285	6	0	61	632	226	1	63	460	0	174	42	2	247	1429	1	281	14	292	980	3	353	54	1	277	664	13	214	182	5	57	106
CYB5R3	9	97	42	0	6	7	99	47	2	7	62	4	52	1	7	39	216	10	73	1	33	221	17	97	1	45	40	118	51	65	19	82	10	17
CYB5R4	7	169	105	6	1	16	171	96	5	11	123	0	98	29	1	54	444	0	167	13	60	236	3	193	33	0	52	209	5	117	122	9	6	28
CYBA	68	1078	1264	5	0	105	1195	932	13	64	712	2	945	47	0	426	2751	0	1819	41	511	1971	3	1865	57	2	736	2458	25	2385	682	18	85	320
CYBC1	4	89	42	0	0	9	103	32	2	12	79	0	54	6	1	38	384	0	86	3	50	153	0	49	6	3	41	148	2	68	26	7	17	26
CYLD	19	599	182	5	0	33	571	138	9	24	398	0	129	37	0	67	1135	0	139	19	176	730	9	167	59	0	237	976	23	175	206	6	22	118
CYP20A1	6	267	122	6	0	20	282	100	2	12	177	0	87	12	1	68	742	0	157	3	90	397	1	206	28	1	99	361	3	125	74	1	15	54
CYRIB	11	273	259	8	0	20	322	190	21	15	162	1	172	66	1	66	839	0	350	33	77	607	3	390	77	1	124	477	4	357	325	7	13	85
CYTH2	20	535	222	1	0	27	491	163	1	29	386	2	138	19	0	116	1363	0	266	10	138	858	3	252	42	7	138	503	22	173	80	29	33	121
DAD1	5	222	104	1	4	10	298	77	1	13	242	1	69	3	3	45	836	0	150	6	32	415	9	127	4	19	67	601	57	165	37	94	9	114
DAPP1	4	62	77	3	21	26	70	84	2	20	50	0	97	12	18	86	260	0	181	4	118	160	0	163	12	70	109	112	4	71	65	158	18	35
DAZAP2	21	526	380	9	2	19	407	246	16	33	384	1	258	47	4	130	1075	3	509	25	186	784	12	559	102	7	283	883	42	467	283	35	21	101
DBI	12	312	214	0	0	43	323	152	1	12	242	0	157	3	0	69	832	0	272	2	112	720	1	332	5	4	167	829	3	433	51	6	28	89
DBNL	9	117	87	1	6	25	129	77	3	15	86	0	70	3	2	53	344	0	140	3	91	250	0	115	10	29	71	297	4	134	30	65	12	47
DCAKD	8	267	82	0	0	12	252	50	3	24	158	0	51	16	1	53	406	0	92	6	59	318	0	111	21	1	61	216	3	66	46	7	10	35
DCP2	6	133	94	0	0	5	109	63	2	12	55	0	70	9	2	36	368	2	116	13	29	266	7	141	12	1	56	216	37	120	82	19	3	31
DCUN1D1	2	61	22	0	0	7	70	23	1	6	34	13	22	3	0	23	138	18	63	1	25	127	58	75	6	3	31	112	157	47	21	22	3	11
DCUN1D2	38	850	369	7	0	66	812	273	11	48	606	2	243	34	1	213	1789	1	380	23	237	1249	11	501	46	0	192	775	12	212	146	1	33	147
DDX17	45	853	304	7	2	55	694	204	5	79	632	2	187	38	0	271	2349	2	432	23	283	1041	12	314	38	7	316	961	61	252	200	24	35	171
DDX21	36	662	351	18	0	72	405	308	10	34	378	1	327	50	1	118	1061	1	516	13	385	1236	2	531	56	0	709	1435	22	429	92	1	48	145
DDX3X	31	889	290	16	0	55	965	255	15	61	654	10	239	57	0	132	1646	5	384	28	178	678	40	333	45	14	438	1122	123	363	307	39	32	120
DDX5	82	2371	864	7	0	166	2271	695	16	135	1564	2	652	69	0	419	4490	1	1070	28	857	3233	16	1218	96	4	1154	3293	63	1031	385	14	101	509
DDX6	22	597	116	2	0	37	497	76	1	29	405	2	109	11	2	111	1227	3	137	6	164	904	17	161	27	6	156	803	55	127	64	10	24	130
DEK	8	368	211	1	4	14	407	168	2	17	282	0	171	11	1	73	1078	0	293	4	76	901	2	329	4	13	126	1002	19	306	104	14	18	84
DESI1	5	145	74	3	0	11	116	62	4	8	100	0	49	1	0	40	377	1	109	2	49	284	11	118	8	3	54	197	24	89	18	12	17	40
DGKH	7	144	34	0	1	3	162	46	0	7	98	0	34	7	0	41	535	1	97	6	33	291	1	81	5	2	19	186	6	26	15	13	13	89
DGKZ	2	220	66	0	2	3	203	49	1	4	154	0	47	6	1	17	598	0	110	2	18	312	0	89	11	6	19	274	6	47	45	8	1	43
DHRS7	3	157	64	1	0	4	201	63	2	3	133	0	86	30	0	32	496	0	163	9	22	310	0	147	26	8	46	299	2	137	149	16	7	48
DIAPH1	1	221	191	1	10	13	262	129	0	6	172	0	136	5	11	24	601	0	240	2	21	376	1	178	8	23	54	284	4	166	34	69	6	52
DNAJA1	50	598	121	6	0	40	765	87	3	41	365	13	63	26	0	82	675	10	180	13	134	493	26	166	25	0	195	573	437	196	114	14	6	31
DNAJB1	109	1743	197	1	2	55	1746	169	0	79	876	1	127	23	2	142	1682	2	251	12	305	1410	6	317	52	0	311	1156	56	258	95	10	19	137
DNAJB6	9	445	132	1	17	17	528	103	3	11	309	0	102	24	6	51	660	2	157	16	84	879	15	218	37	63	97	821	43	212	160	148	10	56
DNAJC21	10	296	100	2	0	26	319	109	2	25	244	0	105	3	0	127	1155	1	225	4	138	797	4	172	14	0	233	766	25	306	81	22	44	131
DNAJC7	19	423	233	1	0	31	388	186	1	23	269	0	202	5	1	119	992	0	314	1	180	692	0	348	12	0	156	679	13	308	47	15	27	102
DNM1	6	71	36	1	0	3	86	30	2	8	69	0	23	8	1	19	232	0	54	2	33	141	0	58	8	3	25	86	1	23	26	3	5	13
DNM2	3	123	76	2	0	6	127	66	2	7	126	0	50	2	1	31	363	3	111	6	40	319	2	120	8	2	35	222	9	76	39	5	7	45
DR1	4	155	76	0	1	12	158	57	1	7	143	0	63	9	1	36	314	1	98	4	47	288	9	115	3	5	44	294	49	86	35	34	11	31
DRAP1	7	292	137	0	0	13	285	116	0	9	212	1	125	5	3	47	813	4	248	4	58	501	14	187	5	11	75	621	46	344	23	32	8	72
DSG3	21	439	146	7	0	28	426	133	4	25	333	1	110	23	0	117	1133	0	229	12	183	664	2	242	39	0	164	499	9	148	73	6	29	92
DUSP1	41	1789	836	54	0	49	2891	532	158	43	1229	7	754	351	4	155	2458	2	1778	232	146	1862	3	1811	421	0	416	2111	32	1252	1199	7	28	84
DYNLL1	6	142	89	0	37	11	143	53	0	15	135	8	61	2	30	69	613	30	285	0	27	273	58	133	2	82	40	269	394	146	13	243	17	42
DYNLL2	1	122	29	1	3	10	172	36	1	4	110	1	27	1	5	12	226	0	66	1	12	198	7	57	7	13	41	247	15	62	24	35	7	24
DYNLRB1	2	178	44	0	2	5	201	55	0	9	169	1	57	3	6	42	588	3	111	1	31	366	19	87	5	31	80	464	63	137	32	137	10	53
DYNLT3	5	80	18	1	2	3	79	17	2	3	44	0	13	4	5	20	182	0	26	0	25	101	0	32	7	6	51	174	1	37	15	47	6	16
DYRK1A	5	149	70	1	0	9	152	68	2	5	115	0	44	12	2	38	297	1	82	5	47	234	9	99	17	3	62	201	27	83	80	11	5	24
E2F3P2	8	136	43	1	1	9	117	26	2	11	91	0	17	5	1	46	388	1	79	2	47	195	2	71	8	0	48	145	1	25	18	0	11	49
EEF1A1	581	18634	5411	2	0	974	17785	4571	6	1230	13312	17	5421	34	8	4454	49641	10	7790	12	5459	27567	60	7065	34	14	7563	33637	502	6161	148	63	926	4801
EEF2	50	1192	498	0	2	85	1105	388	1	109	895	5	448	1	0	336	2974	4	632	0	446	1965	52	653	5	2	690	2138	94	476	14	13	67	282
EHBP1L1	4	59	103	1	0	7	43	99	2	9	45	1	110	15	0	12	140	1	157	3	34	94	9	203	8	0	39	105	30	170	60	8	4	18
EHD1	0	85	56	13	9	5	116	61	5	3	87	0	72	17	3	23	236	0	77	4	17	131	2	215	24	11	17	133	8	190	150	29	10	25
EIF1	207	6242	2619	11	32	455	6105	1935	37	295	4374	38	2391	170	25	867	9236	121	2829	85	1908	8886	236	3199	179	154	3244	10391	1077	3878	826	640	170	771
EIF1B	20	256	115	0	3	38	193	70	4	28	160	24	104	11	4	103	507	66	148	6	239	448	209	161	8	19	326	463	710	201	70	68	15	31
EIF2AK1	3	97	30	0	20	1	96	22	0	4	68	13	30	0	17	31	222	33	52	0	31	195	190	65	3	55	44	176	551	41	9	203	4	23
EIF3I	6	268	126	1	0	14	274	103	1	32	221	0	100	10	1	68	781	1	197	9	103	534	2	173	14	0	122	683	8	182	47	4	25	93
EIF4A1	27	713	880	0	0	40	860	666	1	25	537	0	673	14	0	118	1498	0	1227	9	128	1203	1	1086	19	2	297	1754	7	1098	40	6	40	182
EIF4A2	19	746	127	1	3	58	864	107	1	38	512	0	107	7	1	230	1780	0	194	3	233	997	5	170	8	5	349	1307	46	185	38	45	29	127
EIF4B	24	689	231	1	0	30	665	203	3	35	452	0	215	8	0	151	1609	0	313	3	175	946	6	336	9	1	249	1148	20	218	38	10	28	143
EIF4EBP2	1	97	78	0	1	3	109	59	3	6	72	0	49	8	0	20	221	0	111	3	15	141	6	97	8	3	20	148	21	99	34	9	4	27
EIF4G2	18	420	315	2	6	30	521	250	1	33	299	1	207	24	12	100	909	0	353	5	150	747	8	426	29	26	203	781	48	433	149	131	21	82
EIF4G3	7	67	55	0	2	6	69	30	1	7	39	0	22	6	3	21	142	0	75	3	49	113	0	80	11	11	53	127	2	59	29	39	6	11
EIF4H	5	219	130	0	1	10	205	85	0	16	135	0	92	1	1	48	446	0	134	1	84	415	0	169	9	2	102	431	10	129	23	11	12	56
EIF5	33	525	241	12	2	44	507	221	5	44	381	7	179	27	0	94	787	4	334	13	227	661	47	310	32	13	322	925	380	410	150	73	23	68
EIF5A	10	587	172	0	1	22	369	79	0	28	384	7	129	4	1	113	1119	8	230	1	122	742	45	172	9	9	328	1329	154	322	32	37	54	157
