taxon	count	fraction_of_reads	fraction_of_classified
Staphylococcus haemolyticus	2	0.00000928	0.00000936
Kareius bicoloratus	2	0.00000928	0.00000936
Sparidae	2	0.00000928	0.00000936
Mizuhopecten yessoensis	2	0.00000928	0.00000936
Orcinus orca	2	0.00000928	0.00000936
Nematolebias whitei	2	0.00000928	0.00000936
uncultured Glomeromycotina	2	0.00000928	0.00000936
Chaetura pelagica	2	0.00000928	0.00000936
Capsella rubella	2	0.00000928	0.00000936
Scomber scombrus	2	0.00000928	0.00000936
Medioppia subpectinata	2	0.00000928	0.00000936
Apodinae	2	0.00000928	0.00000936
Pseudomonas	2	0.00000928	0.00000936
Ecdysozoa	2	0.00000928	0.00000936
Acipenser brevirostrum	2	0.00000928	0.00000936
Metamonada sp. GGile-2023s	2	0.00000928	0.00000936
Staphylococcus aureus	2	0.00000928	0.00000936
Poeciliopsis prolifica	2	0.00000928	0.00000936
Kutzneria sp. CA-103260	2	0.00000928	0.00000936
Pseudocrenilabrinae	2	0.00000928	0.00000936
Timema californicum	2	0.00000928	0.00000936
Mauremys mutica	2	0.00000928	0.00000936
Phymastichus coffea	2	0.00000928	0.00000936
Xenia sp. Carnegie-2017	2	0.00000928	0.00000936
Notamacropus eugenii	2	0.00000928	0.00000936
Labeo rohita	2	0.00000928	0.00000936
Severe acute respiratory syndrome coronavirus 2	2	0.00000928	0.00000936
Struthio camelus australis	2	0.00000928	0.00000936
Maxomys wattsi	2	0.00000928	0.00000936
Acanthamoeba castellanii str. Neff	2	0.00000928	0.00000936
Nesoprosopis	2	0.00000928	0.00000936
Siluroidei	2	0.00000928	0.00000936
Sus	2	0.00000928	0.00000936
Triplophysa dalaica	2	0.00000928	0.00000936
Pungitius pungitius	2	0.00000928	0.00000936
Crossorhombus kobensis	2	0.00000928	0.00000936
Acipenser fulvescens	2	0.00000928	0.00000936
Impatiens glandulifera	2	0.00000928	0.00000936
Oryza	2	0.00000928	0.00000936
Eimeria necatrix	2	0.00000928	0.00000936
Pterocles gutturalis	2	0.00000928	0.00000936
Pontibacter russatus	2	0.00000928	0.00000936
Metarhizium album ARSEF 1941	1	0.00000464	0.00000468
Burkholderia mayonis	1	0.00000464	0.00000468
Aspergillus alliaceus	1	0.00000464	0.00000468
Spinibarbus denticulatus	1	0.00000464	0.00000468
Verruconis gallopava	1	0.00000464	0.00000468
Sorangium cellulosum	1	0.00000464	0.00000468
Hyphobacterium sp. CCMP332	1	0.00000464	0.00000468
Arabidopsis thaliana	1	0.00000464	0.00000468
Colletes gigas	1	0.00000464	0.00000468
Acipenser ruthenus	1	0.00000464	0.00000468
Protobothrops mucrosquamatus	1	0.00000464	0.00000468
Passeridae	1	0.00000464	0.00000468
uncultured marine eukaryote	1	0.00000464	0.00000468
Serrasalmidae	1	0.00000464	0.00000468
Vermamoeba vermiformis	1	0.00000464	0.00000468
Pseudomonas sp. ADAK18	1	0.00000464	0.00000468
Plumularia lagenifera	1	0.00000464	0.00000468
Eurya acuminatissima	1	0.00000464	0.00000468
Colwellia sp. MT41	1	0.00000464	0.00000468
Chamaeleo arabicus	1	0.00000464	0.00000468
Olea europaea var. sylvestris	1	0.00000464	0.00000468
Plenodomus lingam/Leptosphaeria maculans species complex	1	0.00000464	0.00000468
Actinocatenispora sera	1	0.00000464	0.00000468
Clonostachys rosea	1	0.00000464	0.00000468
Microplitis demolitor	1	0.00000464	0.00000468
Streptomyces sp. NBC_01089	1	0.00000464	0.00000468
Toxicofera	1	0.00000464	0.00000468
Mesitornis unicolor	1	0.00000464	0.00000468
Epinephelus	1	0.00000464	0.00000468
Paraglaciecola sp. L3A3	1	0.00000464	0.00000468
Cymbidium sinense	1	0.00000464	0.00000468
Shewanella goraebulensis	1	0.00000464	0.00000468
Pocillopora verrucosa	1	0.00000464	0.00000468
Bacillus sp. Y1	1	0.00000464	0.00000468
Steginoporellidae	1	0.00000464	0.00000468
Hymenoplia galaica	1	0.00000464	0.00000468
Neuwiedia veratrifolia	1	0.00000464	0.00000468
Megalopta genalis	1	0.00000464	0.00000468
Sceloporus undulatus	1	0.00000464	0.00000468
Streptomyces sp. NBC_01233	1	0.00000464	0.00000468
Athene cunicularia	1	0.00000464	0.00000468
Pangshura tentoria circumdata	1	0.00000464	0.00000468
Echeneis naucrates	1	0.00000464	0.00000468
Boletus sp.	1	0.00000464	0.00000468
Serranidae	1	0.00000464	0.00000468
Drosophila serrata	1	0.00000464	0.00000468
Bifidobacterium dentium	1	0.00000464	0.00000468
Erwinia tasmaniensis Et1/99	1	0.00000464	0.00000468
Gordonia polyisoprenivorans	1	0.00000464	0.00000468
Oncorhynchus masou masou	1	0.00000464	0.00000468
Vesicomyidae	1	0.00000464	0.00000468
Agriocnemis forcipata	1	0.00000464	0.00000468
Neopsephotus bourkii	1	0.00000464	0.00000468
Microviridae sp.	1	0.00000464	0.00000468
Nannocystis poenicansa	1	0.00000464	0.00000468
Ceratosolen solmsi marchali	1	0.00000464	0.00000468
Malaclemys terrapin pileata	1	0.00000464	0.00000468
Paraopisthosyllis alternocirra	1	0.00000464	0.00000468
Platystoechotes lineata	1	0.00000464	0.00000468
Sebastes umbrosus	1	0.00000464	0.00000468
Pseudorasbora parva	1	0.00000464	0.00000468
Etheostoma spectabile	1	0.00000464	0.00000468
Howaia	1	0.00000464	0.00000468
Cyprinoidei	1	0.00000464	0.00000468
Oreochromis aureus	1	0.00000464	0.00000468
Prunus mume	1	0.00000464	0.00000468
Saccharomycodes ludwigii	1	0.00000464	0.00000468
Doryrhamphus excisus	1	0.00000464	0.00000468
Suillus fuscotomentosus	1	0.00000464	0.00000468
Brevibacterium aurantiacum	1	0.00000464	0.00000468
Terribacillus sp. DMT04	1	0.00000464	0.00000468
Streptomyces collinus	1	0.00000464	0.00000468
Spirillospora sp. NBC_01491	1	0.00000464	0.00000468
Atilax paludinosus	1	0.00000464	0.00000468
Allenopithecus nigroviridis	1	0.00000464	0.00000468
Solenopsis invicta	1	0.00000464	0.00000468
Calliptamus italicus	1	0.00000464	0.00000468
Bradyrhizobium sp. CIAT3101	1	0.00000464	0.00000468
Spirodela intermedia	1	0.00000464	0.00000468
Sinorhizobium	1	0.00000464	0.00000468
Aspergillus subgen. Fumigati	1	0.00000464	0.00000468
Penicillium bovifimosum	1	0.00000464	0.00000468
Nelumbo nucifera	1	0.00000464	0.00000468
Carassius carassius	1	0.00000464	0.00000468
Indicator indicator	1	0.00000464	0.00000468
Polydora	1	0.00000464	0.00000468
Burkholderia sp. MSMB0856	1	0.00000464	0.00000468
Coeliccia ryukyuensis ryukyuensis	1	0.00000464	0.00000468
Pyrgilauda ruficollis	1	0.00000464	0.00000468
Alosa	1	0.00000464	0.00000468
Amphipoda	1	0.00000464	0.00000468
Dactyloscopus tridigitatus	1	0.00000464	0.00000468
Tripylella jianjuni	1	0.00000464	0.00000468
Nocardioides sp. JQ2195	1	0.00000464	0.00000468
Bourletiella sp. DP-2013	1	0.00000464	0.00000468
Lampropidae	1	0.00000464	0.00000468
Notothenioidei	1	0.00000464	0.00000468
Macrobiotus pallarii	1	0.00000464	0.00000468
Glossina fuscipes	1	0.00000464	0.00000468
Acipenseridae	1	0.00000464	0.00000468
Venturia inaequalis	1	0.00000464	0.00000468
Penicillium macrosclerotiorum	1	0.00000464	0.00000468
Characoidei	1	0.00000464	0.00000468
Solanum lycopersicum	1	0.00000464	0.00000468
Cercopithecus albogularis labiatus	1	0.00000464	0.00000468
Hylobates agilis	1	0.00000464	0.00000468
Myxococcus sp. NMCA1	1	0.00000464	0.00000468
Babesia caballi	1	0.00000464	0.00000468
Arthroleptis	1	0.00000464	0.00000468
Anolis evermanni	1	0.00000464	0.00000468
Leopardus tigrinus	1	0.00000464	0.00000468
Neurospora	1	0.00000464	0.00000468
Batrachoididae	1	0.00000464	0.00000468
Devosia beringensis	1	0.00000464	0.00000468
Physcomitrium patens	1	0.00000464	0.00000468
Rhincodon typus	1	0.00000464	0.00000468
Neoarius graeffei	1	0.00000464	0.00000468
Helicoverpa	1	0.00000464	0.00000468
Lineus longissimus	1	0.00000464	0.00000468
Miopithecus ogouensis	1	0.00000464	0.00000468
Cellulophaga	1	0.00000464	0.00000468
Teleopsis dalmanni	1	0.00000464	0.00000468
Phoca largha	1	0.00000464	0.00000468
Prinia subflava	1	0.00000464	0.00000468
Triplophysa	1	0.00000464	0.00000468
Rouxiella badensis	1	0.00000464	0.00000468
Lotus japonicus	1	0.00000464	0.00000468
Schistocerca gregaria	1	0.00000464	0.00000468
Streptomyces sp. JB150	1	0.00000464	0.00000468
Syngnathoides biaculeatus	1	0.00000464	0.00000468
Sorghum bicolor	1	0.00000464	0.00000468
unclassified Trachelomonas	1	0.00000464	0.00000468
uncultured Alphaproteobacteria bacterium	1	0.00000464	0.00000468
Phanerochaete carnosa HHB-10118-sp	1	0.00000464	0.00000468
Monopterus albus	1	0.00000464	0.00000468
Chamaea fasciata	1	0.00000464	0.00000468
Meleagris gallopavo	1	0.00000464	0.00000468
Zygobothrium megacephalum	1	0.00000464	0.00000468
Centrocardita aculeata	1	0.00000464	0.00000468
Pseudomonas chlororaphis	1	0.00000464	0.00000468
Vibrio neonatus	1	0.00000464	0.00000468
Presbytis femoralis	1	0.00000464	0.00000468
Menura	1	0.00000464	0.00000468
Arsenophonus endosymbiont of Aphis craccivora	1	0.00000464	0.00000468
Diaporthe	1	0.00000464	0.00000468
uncultured Chloroflexota bacterium	1	0.00000464	0.00000468
Boletopsis leucomelaena	1	0.00000464	0.00000468
Heliamoeba mirabilis	1	0.00000464	0.00000468
Phycisphaerae bacterium	1	0.00000464	0.00000468
Hemibagrus wyckioides	1	0.00000464	0.00000468
Liolophura japonica	1	0.00000464	0.00000468
Holostei	1	0.00000464	0.00000468
Stenotrophomonas	1	0.00000464	0.00000468
Poecilia formosa	1	0.00000464	0.00000468
Drosophila navojoa	1	0.00000464	0.00000468
Serpentes	1	0.00000464	0.00000468
Solea	1	0.00000464	0.00000468
Syngnathus	1	0.00000464	0.00000468
Vespula vulgaris	1	0.00000464	0.00000468
Linyphiidae	1	0.00000464	0.00000468
Anolis	1	0.00000464	0.00000468
Lygodactylus madagascariensis	1	0.00000464	0.00000468
Burkholderia	1	0.00000464	0.00000468
Halocatena salina	1	0.00000464	0.00000468
Phasianus colchicus	1	0.00000464	0.00000468
Tyto alba	1	0.00000464	0.00000468
Mesalina brevirostris	1	0.00000464	0.00000468
Ebrietas infanda	1	0.00000464	0.00000468
Patiria miniata	1	0.00000464	0.00000468
Micromonospora sp. WMMD998	1	0.00000464	0.00000468
Electrona antarctica	1	0.00000464	0.00000468
Colubroidea	1	0.00000464	0.00000468
Salimicrobium jeotgali	1	0.00000464	0.00000468
Aotus azarai	1	0.00000464	0.00000468
Mariniblastus sp.	1	0.00000464	0.00000468
Lesueurina platycephala	1	0.00000464	0.00000468
Drosophila bipectinata	1	0.00000464	0.00000468
Atagema cf. osseosa JH-2017	1	0.00000464	0.00000468
Homo sapiens subsp. 'Denisova'	1	0.00000464	0.00000468
Bombina bombina	1	0.00000464	0.00000468
Candida jiufengensis	1	0.00000464	0.00000468
Geotria australis	1	0.00000464	0.00000468
Sukkupivirus	1	0.00000464	0.00000468
Streptomyces phaeolivaceus	1	0.00000464	0.00000468
Boana lanciformis	1	0.00000464	0.00000468
Epinephelus lanceolatus	1	0.00000464	0.00000468
Lodderomyces elongisporus	1	0.00000464	0.00000468
Plodia interpunctella	1	0.00000464	0.00000468
Delphinapterus leucas	1	0.00000464	0.00000468
Trachurus japonicus	1	0.00000464	0.00000468
Naegleria lovaniensis	1	0.00000464	0.00000468
Rhizobiaceae bacterium	1	0.00000464	0.00000468
Annulipalpia	1	0.00000464	0.00000468
Dendropsophus leucophyllatus	1	0.00000464	0.00000468
Hepatitis B virus	1	0.00000464	0.00000468
Methylobacteriaceae	1	0.00000464	0.00000468
Pachymerium ferrugineum	1	0.00000464	0.00000468
Microcebus	1	0.00000464	0.00000468
Synechococcus phage S-SM2	1	0.00000464	0.00000468
Streptomyces sp. CCM_MD2014	1	0.00000464	0.00000468
Anaerobacillus sp. HL2	1	0.00000464	0.00000468
Brachybacterium	1	0.00000464	0.00000468
Aspergillus campestris IBT 28561	1	0.00000464	0.00000468
Bothidae sp. CBM:ZF:21146	1	0.00000464	0.00000468
Candidozyma auris	1	0.00000464	0.00000468
Megalaspis cordyla	1	0.00000464	0.00000468
Phlebotomus riouxi	1	0.00000464	0.00000468
Blastocystis sp.	1	0.00000464	0.00000468
Hyloidea	1	0.00000464	0.00000468
Prevotella nigrescens	1	0.00000464	0.00000468
Oreochromis mossambicus	1	0.00000464	0.00000468
Helogale parvula	1	0.00000464	0.00000468
Cacopsylla chinensis	1	0.00000464	0.00000468
Kingella kingae	1	0.00000464	0.00000468
candidate division SR1 bacterium RAAC1_SR1_1	1	0.00000464	0.00000468
Drosophila erecta	1	0.00000464	0.00000468
Conus ammiralis	1	0.00000464	0.00000468
Zygoptera	1	0.00000464	0.00000468
Genyophryninae	1	0.00000464	0.00000468
Streptomyces longwoodensis	1	0.00000464	0.00000468
Haloarcula ordinaria	1	0.00000464	0.00000468
Evansella sp. LMS18	1	0.00000464	0.00000468
Povilla adusta	1	0.00000464	0.00000468
Kluyvera cryocrescens	1	0.00000464	0.00000468
Colossoma macropomum	1	0.00000464	0.00000468
Bartonella elizabethae	1	0.00000464	0.00000468
Erythrocebus patas	1	0.00000464	0.00000468
Sminthopsis crassicaudata	1	0.00000464	0.00000468
uncultured bacterium gwa2_scaffold_517	1	0.00000464	0.00000468
Rhagoletis	1	0.00000464	0.00000468
Longirostres	1	0.00000464	0.00000468
Hyposmocoma kahamanoa	1	0.00000464	0.00000468
Perameles nasuta	1	0.00000464	0.00000468
Gymnophiona	1	0.00000464	0.00000468
uncultured Ochrophyta	1	0.00000464	0.00000468
Harmonia axyridis	1	0.00000464	0.00000468
Acerentomidae	1	0.00000464	0.00000468
Egicoccus halophilus	1	0.00000464	0.00000468
Erpetoichthys calabaricus	1	0.00000464	0.00000468
Paspalum vaginatum	1	0.00000464	0.00000468
Fulmarus glacialis	1	0.00000464	0.00000468
Cryptosporidium ubiquitum	1	0.00000464	0.00000468
Candidatus Pseudomonas adelgestsugas	1	0.00000464	0.00000468
Sphenophryne schlaginhaufeni	1	0.00000464	0.00000468
Neoporphyra haitanensis	1	0.00000464	0.00000468
Aureoboletus moravicus	1	0.00000464	0.00000468
Vicinamibacterales bacterium	1	0.00000464	0.00000468
Salvelinus fontinalis	1	0.00000464	0.00000468
Osmerus	1	0.00000464	0.00000468
Meria laricis	1	0.00000464	0.00000468
Caenorhabditis briggsae	1	0.00000464	0.00000468
Coturnix pectoralis	1	0.00000464	0.00000468
Chitinophaga niabensis	1	0.00000464	0.00000468
Mycobacterium colombiense CECT 3035	1	0.00000464	0.00000468
Pseudomonas izuensis	1	0.00000464	0.00000468
Rhabditophora	1	0.00000464	0.00000468
Acetoanaerobium sticklandii	1	0.00000464	0.00000468
Porichthys notatus	1	0.00000464	0.00000468
Cecidopsylla cata	1	0.00000464	0.00000468
mammal environmental sample	1	0.00000464	0.00000468
Cuculus canorus	1	0.00000464	0.00000468
Haloarcula halobia	1	0.00000464	0.00000468
Prokaryotic dsDNA virus sp.	1	0.00000464	0.00000468
Prolixibacteraceae bacterium	1	0.00000464	0.00000468
Pancrustacea	1	0.00000464	0.00000468
Tauraco erythrolophus	1	0.00000464	0.00000468
Mustelinae	1	0.00000464	0.00000468
Globodera pallida	1	0.00000464	0.00000468
Cannabis sativa	1	0.00000464	0.00000468
Mobula hypostoma	1	0.00000464	0.00000468
Cryptodira	1	0.00000464	0.00000468
Pecten maximus	1	0.00000464	0.00000468
Eragrostis tef	1	0.00000464	0.00000468
Percopsis omiscomaycus	1	0.00000464	0.00000468
Trypanosoma conorhini	1	0.00000464	0.00000468
Arachis duranensis	1	0.00000464	0.00000468
Chitinimonas koreensis	1	0.00000464	0.00000468
Streptomyces marincola	1	0.00000464	0.00000468
Sundasciurus fraterculus	1	0.00000464	0.00000468
Thrips palmi	1	0.00000464	0.00000468
Natipusilla	1	0.00000464	0.00000468
Haemorhous mexicanus	1	0.00000464	0.00000468
Youhaiella tibetensis	1	0.00000464	0.00000468
Aotus trivirgatus	1	0.00000464	0.00000468
Verticillium	1	0.00000464	0.00000468
Gluconobacter albidus	1	0.00000464	0.00000468
Halobacteriales	1	0.00000464	0.00000468
Flammeovirga	1	0.00000464	0.00000468
Mastacembelus armatus	1	0.00000464	0.00000468
Dynastor darius	1	0.00000464	0.00000468
Mogera wogura	1	0.00000464	0.00000468
Phaseolus vulgaris	1	0.00000464	0.00000468
Gorilla beringei graueri	1	0.00000464	0.00000468
Ralstonia	1	0.00000464	0.00000468
Diplodasys ankeli	1	0.00000464	0.00000468
Ranoidea	1	0.00000464	0.00000468
Sirthenea	1	0.00000464	0.00000468
Columba livia	1	0.00000464	0.00000468
Drosophila sechellia	1	0.00000464	0.00000468
Halomonas sp. PA16-9	1	0.00000464	0.00000468
Callorhinchus milii	1	0.00000464	0.00000468
Gastropoda	1	0.00000464	0.00000468
uncultured Sphaerochaeta sp.	1	0.00000464	0.00000468
Acinetobacter baumannii	1	0.00000464	0.00000468
Sar	1	0.00000464	0.00000468
Halichoanolaimus dolichurus	1	0.00000464	0.00000468
Zingiber officinale	1	0.00000464	0.00000468
Wickerhamomyces ciferrii	1	0.00000464	0.00000468
Chernes hahnii	1	0.00000464	0.00000468
Sparus aurata	1	0.00000464	0.00000468
Fomitopsis serialis	1	0.00000464	0.00000468
Lepus capensis	1	0.00000464	0.00000468
Labrus bergylta	1	0.00000464	0.00000468
Plautia viridicollis	1	0.00000464	0.00000468
Barathronus	1	0.00000464	0.00000468
Aestuariibaculum lutulentum	1	0.00000464	0.00000468
Malaya genurostris	1	0.00000464	0.00000468
Cygnus atratus	1	0.00000464	0.00000468
Candidatus Planktophila versatilis	1	0.00000464	0.00000468
Branchiostoma floridae	1	0.00000464	0.00000468
Alligator	1	0.00000464	0.00000468
Procavia capensis	1	0.00000464	0.00000468
Perca	1	0.00000464	0.00000468
Decapoda	1	0.00000464	0.00000468
Oophaga granulifera	1	0.00000464	0.00000468
Bdellovibrio sp. HAGR004	1	0.00000464	0.00000468
Rena humilis	1	0.00000464	0.00000468
Geokichla sibirica sibirica	1	0.00000464	0.00000468
Phascolosoma turnerae	1	0.00000464	0.00000468
Lovettia sealii	1	0.00000464	0.00000468
Tipuloidea	1	0.00000464	0.00000468
Baseodiscus ohtsukai	1	0.00000464	0.00000468
Nymphalidae	1	0.00000464	0.00000468
Acipenser sinensis	1	0.00000464	0.00000468
Humboldtiana durangoensis	1	0.00000464	0.00000468
Bos grunniens	1	0.00000464	0.00000468
Drosophila	1	0.00000464	0.00000468
Symbiopectobacterium purcellii	1	0.00000464	0.00000468
Drosophila gunungcola	1	0.00000464	0.00000468
Flavobacterium sp. WV_118_3	1	0.00000464	0.00000468
Hypotaenidia okinawae	1	0.00000464	0.00000468
Micrococcus luteus	1	0.00000464	0.00000468
Tilletiaria anomala UBC 951	1	0.00000464	0.00000468
Neopterygii	1	0.00000464	0.00000468
Human ORFeome Gateway entry vector	1	0.00000464	0.00000468
Saturnispora diversa	1	0.00000464	0.00000468
Sundasciurus steerii	1	0.00000464	0.00000468
Treponema bryantii	1	0.00000464	0.00000468
Achromobacter spanius	1	0.00000464	0.00000468
Lancetes	1	0.00000464	0.00000468
Anguinella palmata	1	0.00000464	0.00000468
Gastropholis vittata	1	0.00000464	0.00000468
Rhagoletis zephyria	1	0.00000464	0.00000468
Pseudopodoces humilis	1	0.00000464	0.00000468
Hylobates sp.	1	0.00000464	0.00000468
Monkeypox virus	1	0.00000464	0.00000468
Meira siamensis	1	0.00000464	0.00000468
Peltospiridae	1	0.00000464	0.00000468
Campylobacter porcelli	1	0.00000464	0.00000468
Desarmillaria tabescens	1	0.00000464	0.00000468
Ammothella spinifera	1	0.00000464	0.00000468
Petromyzon marinus	1	0.00000464	0.00000468
Leptotrichia	1	0.00000464	0.00000468
Shewanella khirikhana	1	0.00000464	0.00000468
Gorilla beringei	1	0.00000464	0.00000468
Frankliniella occidentalis	1	0.00000464	0.00000468
Hippoglossus	1	0.00000464	0.00000468
Crocodylus porosus	1	0.00000464	0.00000468
Erinaceinae	1	0.00000464	0.00000468
Clostridium sp. 001	1	0.00000464	0.00000468
Iomys horsfieldi	1	0.00000464	0.00000468
Talaromyces proteolyticus	1	0.00000464	0.00000468
Galaxiini	1	0.00000464	0.00000468
Vitis retordii	1	0.00000464	0.00000468
Amphiprion ocellaris	1	0.00000464	0.00000468
Laodelphax striatellus	1	0.00000464	0.00000468
Schistocerca americana	1	0.00000464	0.00000468
Hippocampus zosterae	1	0.00000464	0.00000468
Nigrospora oryzae	1	0.00000464	0.00000468
Zasmidium cellare ATCC 36951	1	0.00000464	0.00000468
Anolis marmoratus	1	0.00000464	0.00000468
Aquila chrysaetos chrysaetos	1	0.00000464	0.00000468
Micropterus salmoides salmoides	1	0.00000464	0.00000468
Bactrocera neohumeralis	1	0.00000464	0.00000468
Gammaroidea	1	0.00000464	0.00000468
Sinogastromyzon tonkinensis	1	0.00000464	0.00000468
Dicrocoelium dendriticum	1	0.00000464	0.00000468
Homalodisca vitripennis	1	0.00000464	0.00000468
Sediminibacillus dalangtanensis	1	0.00000464	0.00000468
uncultured candidate division Zixibacteria bacterium	1	0.00000464	0.00000468
Nicotiana attenuata	1	0.00000464	0.00000468
Episquamata	1	0.00000464	0.00000468
Papio hamadryas	1	0.00000464	0.00000468
Ustilaginaceae	1	0.00000464	0.00000468
Brevibacillus brevis	1	0.00000464	0.00000468
Cynara cardunculus var. scolymus	1	0.00000464	0.00000468
Mangifera indica	1	0.00000464	0.00000468
Paramacrobiotus metropolitanus	1	0.00000464	0.00000468
Arachis stenosperma	1	0.00000464	0.00000468
Pezoporus occidentalis	1	0.00000464	0.00000468
Acinetobacter phage vB_AbaP_B09_Aci08	1	0.00000464	0.00000468
Brevibacillus laterosporus	1	0.00000464	0.00000468
Phycisphaera sp.	1	0.00000464	0.00000468
Rhodanobacter thiooxydans	1	0.00000464	0.00000468
Exaiptasia diaphana	1	0.00000464	0.00000468
Zootoca vivipara	1	0.00000464	0.00000468
Streptomyces chartreusis	1	0.00000464	0.00000468
Cyprinodon tularosa	1	0.00000464	0.00000468
Meyerozyma guilliermondii ATCC 6260	1	0.00000464	0.00000468
Firmicutes bacterium ASF500	1	0.00000464	0.00000468
Ceratina calcarata	1	0.00000464	0.00000468
Crossorhombus azureus	1	0.00000464	0.00000468
Dunckerocampus dactyliophorus	1	0.00000464	0.00000468
Tiliqua scincoides	1	0.00000464	0.00000468
Xiphophorus hellerii	1	0.00000464	0.00000468
Actinosynnema pretiosum	1	0.00000464	0.00000468
Thermoanaerobacterium	1	0.00000464	0.00000468
Paraplagusia japonica	1	0.00000464	0.00000468
Drosophila persimilis	1	0.00000464	0.00000468
Micromonas pusilla	1	0.00000464	0.00000468
Gloeothece verrucosa PCC 7822	1	0.00000464	0.00000468
Achilidae gen. sp. PCC-2008	1	0.00000464	0.00000468
Cochlearia officinalis	1	0.00000464	0.00000468
Durocryptodira	1	0.00000464	0.00000468
Mollusca	1	0.00000464	0.00000468
Melospiza georgiana	1	0.00000464	0.00000468
Duganella zoogloeoides	1	0.00000464	0.00000468
Salmo	1	0.00000464	0.00000468
uncultured Caldilineaceae bacterium	1	0.00000464	0.00000468
Cariama cristata	1	0.00000464	0.00000468
Helicosporidium sp. ex Simulium jonesi	1	0.00000464	0.00000468
Myodes rufocanus	1	0.00000464	0.00000468
Artemia franciscana	1	0.00000464	0.00000468
Palaeognathae	1	0.00000464	0.00000468
Chiloscyllium plagiosum	1	0.00000464	0.00000468
Lactiplantibacillus plantarum	1	0.00000464	0.00000468
Brassicaceae	1	0.00000464	0.00000468
Crinoidea	1	0.00000464	0.00000468
Methanosarcina acetivorans C2A	1	0.00000464	0.00000468
Paenibacillus sp. FSL F4-0243	1	0.00000464	0.00000468
Pyrus x bretschneideri	1	0.00000464	0.00000468
Lepus sp. 1 AS-2022	1	0.00000464	0.00000468
Capra	1	0.00000464	0.00000468
Trichiurus japonicus	1	0.00000464	0.00000468
Schistocerca serialis cubense	1	0.00000464	0.00000468
Alveolata	1	0.00000464	0.00000468
Eulemur	1	0.00000464	0.00000468
Osedax	1	0.00000464	0.00000468
Dipodidae	1	0.00000464	0.00000468
Addax nasomaculatus	1	0.00000464	0.00000468
Klebsiella phage EI	1	0.00000464	0.00000468
Anopheles darlingi	1	0.00000464	0.00000468
Bactrocera oleae	1	0.00000464	0.00000468
Defluviitalea saccharophila	1	0.00000464	0.00000468
Melospiza lincolnii	1	0.00000464	0.00000468
Daphnia magna	1	0.00000464	0.00000468
Solea senegalensis	1	0.00000464	0.00000468
Pezizomycotina	1	0.00000464	0.00000468
Labidostomma sp. RHT-1997	1	0.00000464	0.00000468
Vanessa cardui	1	0.00000464	0.00000468
Protacanthopterygii	1	0.00000464	0.00000468
Conidiocarpus caucasicus	1	0.00000464	0.00000468
Cyprinodon	1	0.00000464	0.00000468
Feaella	1	0.00000464	0.00000468
Otomorpha	1	0.00000464	0.00000468
Pontoporia blainvillei	1	0.00000464	0.00000468
Phrynoderma kerala	1	0.00000464	0.00000468
Crisia fistulosa	1	0.00000464	0.00000468
Mene maculata	1	0.00000464	0.00000468
Cercopithecus campbelli	1	0.00000464	0.00000468
Bivalvulida	1	0.00000464	0.00000468
Alosa alosa	1	0.00000464	0.00000468
Brassica oleracea var. oleracea	1	0.00000464	0.00000468
Nomascus siki	1	0.00000464	0.00000468
Ophryotrocha	1	0.00000464	0.00000468
melanogaster group	1	0.00000464	0.00000468
Chanos chanos	1	0.00000464	0.00000468
uncultured Eimeriidae	1	0.00000464	0.00000468
Candidatus Poribacteria bacterium	1	0.00000464	0.00000468
Cyphellophora attinorum	1	0.00000464	0.00000468
Rhabdosargus sarba	1	0.00000464	0.00000468
Callosciurus orestes	1	0.00000464	0.00000468
Rhabdosargus haffara	1	0.00000464	0.00000468
Dacini	1	0.00000464	0.00000468
Anserinae	1	0.00000464	0.00000468
Ochotona sp. WJ-2016f	1	0.00000464	0.00000468
Cyphomyrmex costatus	1	0.00000464	0.00000468
Hydropsyche fontinalis	1	0.00000464	0.00000468
Spirosoma rhododendri	1	0.00000464	0.00000468
Boiga flaviviridis	1	0.00000464	0.00000468
Spirochaetia bacterium	1	0.00000464	0.00000468
Sylviidae	1	0.00000464	0.00000468
Lygodactylus miops	1	0.00000464	0.00000468
Tanystylum	1	0.00000464	0.00000468
Fonsecaea multimorphosa CBS 102226	1	0.00000464	0.00000468
Panpulmonata	1	0.00000464	0.00000468
Drosophila yakuba	1	0.00000464	0.00000468
Actinia tenebrosa	1	0.00000464	0.00000468
Fusigobius duospilus	1	0.00000464	0.00000468
Rhineura floridana	1	0.00000464	0.00000468
Aerococcus	1	0.00000464	0.00000468
Psectrogaster	1	0.00000464	0.00000468
Haliotis rufescens	1	0.00000464	0.00000468
Paenibacillus sp. SYP-B4298	1	0.00000464	0.00000468
Marphysa sanguinea	1	0.00000464	0.00000468
Cyprinus carpio	1	0.00000464	0.00000468
Magallana gigas	1	0.00000464	0.00000468
Chiroxiphia lanceolata	1	0.00000464	0.00000468
Ditrysia	1	0.00000464	0.00000468
Gruidae	1	0.00000464	0.00000468
Pemphigus matsumurai	1	0.00000464	0.00000468
Ardea cinerea	1	0.00000464	0.00000468
Ancistrotermes guineensis	1	0.00000464	0.00000468
Deinococcus irradiatisoli	1	0.00000464	0.00000468
Beta vulgaris subsp. vulgaris	1	0.00000464	0.00000468
Boana dentei	1	0.00000464	0.00000468
uncultured Tenacibaculum sp.	1	0.00000464	0.00000468
