species	count	fraction_of_reads	fraction_of_classified
Malaya genurostris	1	0.00000464	0.00000468
Cygnus atratus	1	0.00000464	0.00000468
Branchiostoma floridae	1	0.00000464	0.00000468
Procavia capensis	1	0.00000464	0.00000468
Oophaga granulifera	1	0.00000464	0.00000468
Rena humilis	1	0.00000464	0.00000468
Phascolosoma turnerae	1	0.00000464	0.00000468
Lovettia sealii	1	0.00000464	0.00000468
Baseodiscus ohtsukai	1	0.00000464	0.00000468
Acipenser sinensis	1	0.00000464	0.00000468
Humboldtiana durangoensis	1	0.00000464	0.00000468
Bos grunniens	1	0.00000464	0.00000468
Symbiopectobacterium purcellii	1	0.00000464	0.00000468
Drosophila gunungcola	1	0.00000464	0.00000468
Hypotaenidia okinawae	1	0.00000464	0.00000468
Micrococcus luteus	1	0.00000464	0.00000468
Saturnispora diversa	1	0.00000464	0.00000468
Sundasciurus steerii	1	0.00000464	0.00000468
Treponema bryantii	1	0.00000464	0.00000468
Achromobacter spanius	1	0.00000464	0.00000468
Anguinella palmata	1	0.00000464	0.00000468
Gastropholis vittata	1	0.00000464	0.00000468
Rhagoletis zephyria	1	0.00000464	0.00000468
Pseudopodoces humilis	1	0.00000464	0.00000468
Monkeypox virus	1	0.00000464	0.00000468
Meira siamensis	1	0.00000464	0.00000468
Campylobacter porcelli	1	0.00000464	0.00000468
Desarmillaria tabescens	1	0.00000464	0.00000468
Ammothella spinifera	1	0.00000464	0.00000468
Petromyzon marinus	1	0.00000464	0.00000468
Shewanella khirikhana	1	0.00000464	0.00000468
Gorilla beringei	1	0.00000464	0.00000468
Frankliniella occidentalis	1	0.00000464	0.00000468
Crocodylus porosus	1	0.00000464	0.00000468
Iomys horsfieldi	1	0.00000464	0.00000468
Talaromyces proteolyticus	1	0.00000464	0.00000468
Vitis retordii	1	0.00000464	0.00000468
Amphiprion ocellaris	1	0.00000464	0.00000468
Laodelphax striatellus	1	0.00000464	0.00000468
Schistocerca americana	1	0.00000464	0.00000468
Hippocampus zosterae	1	0.00000464	0.00000468
Nigrospora oryzae	1	0.00000464	0.00000468
Anolis marmoratus	1	0.00000464	0.00000468
Bactrocera neohumeralis	1	0.00000464	0.00000468
Sinogastromyzon tonkinensis	1	0.00000464	0.00000468
Dicrocoelium dendriticum	1	0.00000464	0.00000468
Homalodisca vitripennis	1	0.00000464	0.00000468
Sediminibacillus dalangtanensis	1	0.00000464	0.00000468
Nicotiana attenuata	1	0.00000464	0.00000468
Papio hamadryas	1	0.00000464	0.00000468
Brevibacillus brevis	1	0.00000464	0.00000468
Mangifera indica	1	0.00000464	0.00000468
Paramacrobiotus metropolitanus	1	0.00000464	0.00000468
Arachis stenosperma	1	0.00000464	0.00000468
Pezoporus occidentalis	1	0.00000464	0.00000468
Brevibacillus laterosporus	1	0.00000464	0.00000468
Rhodanobacter thiooxydans	1	0.00000464	0.00000468
Exaiptasia diaphana	1	0.00000464	0.00000468
Zootoca vivipara	1	0.00000464	0.00000468
Streptomyces chartreusis	1	0.00000464	0.00000468
Cyprinodon tularosa	1	0.00000464	0.00000468
Ceratina calcarata	1	0.00000464	0.00000468
Crossorhombus azureus	1	0.00000464	0.00000468
Dunckerocampus dactyliophorus	1	0.00000464	0.00000468
Tiliqua scincoides	1	0.00000464	0.00000468
Xiphophorus hellerii	1	0.00000464	0.00000468
Actinosynnema pretiosum	1	0.00000464	0.00000468
Paraplagusia japonica	1	0.00000464	0.00000468
Drosophila persimilis	1	0.00000464	0.00000468
Micromonas pusilla	1	0.00000464	0.00000468
Cochlearia officinalis	1	0.00000464	0.00000468
Melospiza georgiana	1	0.00000464	0.00000468
Duganella zoogloeoides	1	0.00000464	0.00000468
Cariama cristata	1	0.00000464	0.00000468
Myodes rufocanus	1	0.00000464	0.00000468
Artemia franciscana	1	0.00000464	0.00000468
Chiloscyllium plagiosum	1	0.00000464	0.00000468
Lactiplantibacillus plantarum	1	0.00000464	0.00000468
Trichiurus japonicus	1	0.00000464	0.00000468
Addax nasomaculatus	1	0.00000464	0.00000468
Anopheles darlingi	1	0.00000464	0.00000468
Bactrocera oleae	1	0.00000464	0.00000468
Defluviitalea saccharophila	1	0.00000464	0.00000468
Melospiza lincolnii	1	0.00000464	0.00000468
Daphnia magna	1	0.00000464	0.00000468
Solea senegalensis	1	0.00000464	0.00000468
Vanessa cardui	1	0.00000464	0.00000468
Conidiocarpus caucasicus	1	0.00000464	0.00000468
Pontoporia blainvillei	1	0.00000464	0.00000468
Phrynoderma kerala	1	0.00000464	0.00000468
Crisia fistulosa	1	0.00000464	0.00000468
Mene maculata	1	0.00000464	0.00000468
Cercopithecus campbelli	1	0.00000464	0.00000468
Alosa alosa	1	0.00000464	0.00000468
Nomascus siki	1	0.00000464	0.00000468
Chanos chanos	1	0.00000464	0.00000468
Cyphellophora attinorum	1	0.00000464	0.00000468
Rhabdosargus sarba	1	0.00000464	0.00000468
Callosciurus orestes	1	0.00000464	0.00000468
Rhabdosargus haffara	1	0.00000464	0.00000468
Cyphomyrmex costatus	1	0.00000464	0.00000468
Hydropsyche fontinalis	1	0.00000464	0.00000468
Spirosoma rhododendri	1	0.00000464	0.00000468
Boiga flaviviridis	1	0.00000464	0.00000468
Spirochaetia bacterium	1	0.00000464	0.00000468
Lygodactylus miops	1	0.00000464	0.00000468
Drosophila yakuba	1	0.00000464	0.00000468
Actinia tenebrosa	1	0.00000464	0.00000468
Fusigobius duospilus	1	0.00000464	0.00000468
Rhineura floridana	1	0.00000464	0.00000468
Haliotis rufescens	1	0.00000464	0.00000468
Marphysa sanguinea	1	0.00000464	0.00000468
Cyprinus carpio	1	0.00000464	0.00000468
Magallana gigas	1	0.00000464	0.00000468
Chiroxiphia lanceolata	1	0.00000464	0.00000468
Pemphigus matsumurai	1	0.00000464	0.00000468
Ardea cinerea	1	0.00000464	0.00000468
Ancistrotermes guineensis	1	0.00000464	0.00000468
Deinococcus irradiatisoli	1	0.00000464	0.00000468
Boana dentei	1	0.00000464	0.00000468
Astyanax mexicanus	1	0.00000464	0.00000468
Haloferax volcanii	1	0.00000464	0.00000468
Empoasca fabae	1	0.00000464	0.00000468
Sphaerozoum punctatum	1	0.00000464	0.00000468
Lactuca sativa	1	0.00000464	0.00000468
Pelomedusa subrufa	1	0.00000464	0.00000468
Epeorus longimanus	1	0.00000464	0.00000468
Strigops habroptila	1	0.00000464	0.00000468
Rhea pennata	1	0.00000464	0.00000468
Pireneitega burqinensis	1	0.00000464	0.00000468
Phialemonium atrogriseum	1	0.00000464	0.00000468
Prionailurus bengalensis	1	0.00000464	0.00000468
Oryzias melastigma	1	0.00000464	0.00000468
Molothrus ater	1	0.00000464	0.00000468
Ogataea parapolymorpha	1	0.00000464	0.00000468
Cryptomeria japonica	1	0.00000464	0.00000468
Halopteris liechtensternii	1	0.00000464	0.00000468
Neolamprologus brichardi	1	0.00000464	0.00000468
Anabas testudineus	1	0.00000464	0.00000468
Vespula pensylvanica	1	0.00000464	0.00000468
Kwoniella shandongensis	1	0.00000464	0.00000468
Dichotomopilus funicola	1	0.00000464	0.00000468
Macadamia integrifolia	1	0.00000464	0.00000468
Wadotes dixiensis	1	0.00000464	0.00000468
Thamnaconus modestus	1	0.00000464	0.00000468
Scinax proboscideus	1	0.00000464	0.00000468
Eiseniella tetraedra	1	0.00000464	0.00000468
Brevundimonas albigilva	1	0.00000464	0.00000468
Monomorium pharaonis	1	0.00000464	0.00000468
Micrura rubramaculosa	1	0.00000464	0.00000468
Entelurus aequoreus	1	0.00000464	0.00000468
Pollicipes pollicipes	1	0.00000464	0.00000468
Laeocathaica amdoana	1	0.00000464	0.00000468
Vespa crabro	1	0.00000464	0.00000468
Naumovozyma castellii	1	0.00000464	0.00000468
Kockiozyma suomiensis	1	0.00000464	0.00000468
Cervidellus vexilliger	1	0.00000464	0.00000468
Varroa destructor	1	0.00000464	0.00000468
Ichthyophthirius multifiliis	1	0.00000464	0.00000468
Pectinaria gouldii	1	0.00000464	0.00000468
Austrodecus glaciale	1	0.00000464	0.00000468
Lachancea lanzarotensis	1	0.00000464	0.00000468
Entamoeba histolytica	1	0.00000464	0.00000468
Pseudomonas synxantha	1	0.00000464	0.00000468
Actinomyces qiguomingii	1	0.00000464	0.00000468
Naegleria fowleri	1	0.00000464	0.00000468
Pseudomonas marincola	1	0.00000464	0.00000468
Coturnix japonica	1	0.00000464	0.00000468
Aquilegia vulgaris	1	0.00000464	0.00000468
Diospyros lotus	1	0.00000464	0.00000468
Phyllomedusa bahiana	1	0.00000464	0.00000468
Schistocerca piceifrons	1	0.00000464	0.00000468
Chrysanthemum indicum	1	0.00000464	0.00000468
Cobetia litoralis	1	0.00000464	0.00000468
Lacticaseibacillus zeae	1	0.00000464	0.00000468
Petrimonas sulfuriphila	1	0.00000464	0.00000468
Xerobiotus euxinus	1	0.00000464	0.00000468
Trypanosyllis luzonensis	1	0.00000464	0.00000468
Melanocharis nigra	1	0.00000464	0.00000468
Pseudomonas aeruginosa	1	0.00000464	0.00000468
Pseudopucrolia discrepans	1	0.00000464	0.00000468
Anguilla celebesensis	1	0.00000464	0.00000468
Falco peregrinus	1	0.00000464	0.00000468
Microbacterium schleiferi	1	0.00000464	0.00000468
Asaccus griseonotus	1	0.00000464	0.00000468
Colletotrichum paranaense	1	0.00000464	0.00000468
Penaeus japonicus	1	0.00000464	0.00000468
Saguinus labiatus	1	0.00000464	0.00000468
Corythoichthys intestinalis	1	0.00000464	0.00000468
Exophiala oligosperma	1	0.00000464	0.00000468
Azumapecten farreri	1	0.00000464	0.00000468
Sirthenea nigronitens	1	0.00000464	0.00000468
Notothenia coriiceps	1	0.00000464	0.00000468
Cyclobacteriaceae bacterium	1	0.00000464	0.00000468
Natronosalvus amylolyticus	1	0.00000464	0.00000468
Pseudonaja textilis	1	0.00000464	0.00000468
Calidris pugnax	1	0.00000464	0.00000468
Mesonauta festivus	1	0.00000464	0.00000468
Lymnaea stagnalis	1	0.00000464	0.00000468
Mola mola	1	0.00000464	0.00000468
Scylla paramamosain	1	0.00000464	0.00000468
Stylophora pistillata	1	0.00000464	0.00000468
Falco rusticolus	1	0.00000464	0.00000468
Oncorhynchus kisutch	1	0.00000464	0.00000468
Houttuynia cordata	1	0.00000464	0.00000468
Phocoena phocoena	1	0.00000464	0.00000468
Hoolock hoolock	1	0.00000464	0.00000468
Trypanosoma theileri	1	0.00000464	0.00000468
Larus michahellis	1	0.00000464	0.00000468
Wenzhouxiangella marina	1	0.00000464	0.00000468
Methanogenium organophilum	1	0.00000464	0.00000468
Ambystoma mexicanum	1	0.00000464	0.00000468
Isichthys henryi	1	0.00000464	0.00000468
Tor khudree	1	0.00000464	0.00000468
Myripristis murdjan	1	0.00000464	0.00000468
Maylandia zebra	1	0.00000464	0.00000468
Brassica napus	1	0.00000464	0.00000468
Blarina brevicauda	1	0.00000464	0.00000468
Oncorhynchus tshawytscha	1	0.00000464	0.00000468
Cottus poecilopus	1	0.00000464	0.00000468
Callithomia lenea	1	0.00000464	0.00000468
Leiodon cutcutia	1	0.00000464	0.00000468
Salvia splendens	1	0.00000464	0.00000468
Coptotermes lacteus	1	0.00000464	0.00000468
Benincasa hispida	1	0.00000464	0.00000468
Arbacia lixula	1	0.00000464	0.00000468
Sclomina xingrensis	1	0.00000464	0.00000468
Panthera pardus	1	0.00000464	0.00000468
Trachypithecus johnii	1	0.00000464	0.00000468
Nanorana parkeri	1	0.00000464	0.00000468
Phallusia mammillata	1	0.00000464	0.00000468
Saguinus oedipus	1	0.00000464	0.00000468
Musca domestica	1	0.00000464	0.00000468
Mugil cephalus	1	0.00000464	0.00000468
Cylas formicarius	1	0.00000464	0.00000468
Raja asterias	1	0.00000464	0.00000468
Laudakia tuberculata	1	0.00000464	0.00000468
Brevirhabdus pacifica	1	0.00000464	0.00000468
Escherichia coli	1	0.00000464	0.00000468
Colobus polykomos	1	0.00000464	0.00000468
Lolium perenne	1	0.00000464	0.00000468
Coccinella septempunctata	1	0.00000464	0.00000468
Perca flavescens	1	0.00000464	0.00000468
Nocardia brasiliensis	1	0.00000464	0.00000468
Opisthocomus hoazin	1	0.00000464	0.00000468
Chrysomallon squamiferum	1	0.00000464	0.00000468
Lepus comus	1	0.00000464	0.00000468
Philantomba maxwellii	1	0.00000464	0.00000468
Cryptosporidium parvum	1	0.00000464	0.00000468
Alkalicella caledoniensis	1	0.00000464	0.00000468
Bufo gargarizans	1	0.00000464	0.00000468
Haliotis rubra	1	0.00000464	0.00000468
Mesoceration languidum	1	0.00000464	0.00000468
Apis cerana	1	0.00000464	0.00000468
Hypanus sabinus	1	0.00000464	0.00000468
Ctenocephalides felis	1	0.00000464	0.00000468
Trematomus bernacchii	1	0.00000464	0.00000468
Corvus moneduloides	1	0.00000464	0.00000468
Alternaria ethzedia	1	0.00000464	0.00000468
Salvelinus alpinus	1	0.00000464	0.00000468
Cicer arietinum	1	0.00000464	0.00000468
Tursiops truncatus	1	0.00000464	0.00000468
Streptomyces parvus	1	0.00000464	0.00000468
Pygocentrus nattereri	1	0.00000464	0.00000468
Bradyrhizobium xenonodulans	1	0.00000464	0.00000468
Hyla sarda	1	0.00000464	0.00000468
Colobus guereza	1	0.00000464	0.00000468
Acetobacter pasteurianus	1	0.00000464	0.00000468
Lilium longiflorum	1	0.00000464	0.00000468
Cyclopterus lumpus	1	0.00000464	0.00000468
Streptomyces venezuelae	1	0.00000464	0.00000468
Bufo bufo	1	0.00000464	0.00000468
Vigna angularis	1	0.00000464	0.00000468
Periophthalmus magnuspinnatus	1	0.00000464	0.00000468
Nicotiana tomentosiformis	1	0.00000464	0.00000468
Funambulus layardi	1	0.00000464	0.00000468
Ixodes scapularis	1	0.00000464	0.00000468
Dryobates pubescens	1	0.00000464	0.00000468
Microtus ochrogaster	1	0.00000464	0.00000468
Danaus plexippus	1	0.00000464	0.00000468
Pomacea canaliculata	1	0.00000464	0.00000468
Malpighia emarginata	1	0.00000464	0.00000468
Tokudaia muenninki	1	0.00000464	0.00000468
Amaurornis phoenicurus	1	0.00000464	0.00000468
Mya arenaria	1	0.00000464	0.00000468
Terrabacteria group	1	0.00000464	0.00000468
Girardinichthys multiradiatus	1	0.00000464	0.00000468
Helicoverpa zea	1	0.00000464	0.00000468
Etheostoma cragini	1	0.00000464	0.00000468
Larimichthys crocea	1	0.00000464	0.00000468
Hippoglossus stenolepis	1	0.00000464	0.00000468
Microlunatus soli	1	0.00000464	0.00000468
Pangasianodon hypophthalmus	1	0.00000464	0.00000468
Harpadon nehereus	1	0.00000464	0.00000468
Chalybion californicum	1	0.00000464	0.00000468
Halichoeres radiatus	1	0.00000464	0.00000468
Acidithiobacillus ferrivorans	1	0.00000464	0.00000468
Sirthenea obscura	1	0.00000464	0.00000468
Taphozous melanopogon	1	0.00000464	0.00000468
Boana faber	1	0.00000464	0.00000468
Histioteuthis reversa	1	0.00000464	0.00000468
Hedychium coronarium	1	0.00000464	0.00000468
Paracoccaceae bacterium	1	0.00000464	0.00000468
Hoolock tianxing	1	0.00000464	0.00000468
Myzus persicae	1	0.00000464	0.00000468
Penicillium coprophilum	1	0.00000464	0.00000468
Coregonus clupeaformis	1	0.00000464	0.00000468
Rana temporaria	1	0.00000464	0.00000468
Heteropriacanthus cruentatus	1	0.00000464	0.00000468
Pedetes capensis	1	0.00000464	0.00000468
Streptomyces virginiae	1	0.00000464	0.00000468
Chaetomium strumarium	1	0.00000464	0.00000468
Argya altirostris	1	0.00000464	0.00000468
Triplophysa rosa	1	0.00000464	0.00000468
Bacteroidales bacterium	1	0.00000464	0.00000468
Pyricularia oryzae	1	0.00000464	0.00000468
Dendroctonus valens	1	0.00000464	0.00000468
Lytechinus variegatus	1	0.00000464	0.00000468
Mycobacterium tuberculosis	1	0.00000464	0.00000468
Anopheles nili	1	0.00000464	0.00000468
Hemichromis fasciatus	1	0.00000464	0.00000468
Juglans regia	1	0.00000464	0.00000468
Ylistrum balloti	1	0.00000464	0.00000468
Triticum dicoccoides	1	0.00000464	0.00000468
Solanum habrochaites	1	0.00000464	0.00000468
Ophiotreta durbanensis	1	0.00000464	0.00000468
Microchloropsis salina	1	0.00000464	0.00000468
Melitaea cinxia	1	0.00000464	0.00000468
Acinonyx jubatus	1	0.00000464	0.00000468
Varanus komodoensis	1	0.00000464	0.00000468
Pandoravirus salinus	1	0.00000464	0.00000468
Stenonchulus troglodytes	1	0.00000464	0.00000468
Tetraselmis striata	1	0.00000464	0.00000468
Scophthalmus maximus	1	0.00000464	0.00000468
Streptomyces lunaelactis	1	0.00000464	0.00000468
Sinocyclocheilus grahami	1	0.00000464	0.00000468
Notacanthus chemnitzii	1	0.00000464	0.00000468
Cynoglossus semilaevis	1	0.00000464	0.00000468
Papio kindae	1	0.00000464	0.00000468
Saccostomus umbriventer	1	0.00000464	0.00000468
Babesia bovis	1	0.00000464	0.00000468
Calcinus laevimanus	1	0.00000464	0.00000468
Leptomastix dactylopii	1	0.00000464	0.00000468
Sulfolobus islandicus	1	0.00000464	0.00000468
Dreissena polymorpha	1	0.00000464	0.00000468
Azospirillum humicireducens	1	0.00000464	0.00000468
Desulfatiglandales bacterium	1	0.00000464	0.00000468
Anolis carolinensis	1	0.00000464	0.00000468
