gene	Control_#1_B_cell	Control_#1_monocyte	Control_#1_neutrophil	Control_#1_platelet	Control_#1_T_cell	Control_#2_B_cell	Control_#2_monocyte	Control_#2_neutrophil	Control_#2_T_cell	Control_#3_B_cell	Control_#3_erythroid_lineage_cell	Control_#3_monocyte	Control_#3_neutrophil	Control_#3_platelet	Control_#3_T_cell	SARS_CoV2_pos_Mild_B_cell	SARS_CoV2_pos_Mild_erythroid_lineage_cell	SARS_CoV2_pos_Mild_monocyte	SARS_CoV2_pos_Mild_neutrophil	SARS_CoV2_pos_Mild_T_cell	SARS_CoV2_pos_Severe_#1_B_cell	SARS_CoV2_pos_Severe_#1_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#1_monocyte	SARS_CoV2_pos_Severe_#1_neutrophil	SARS_CoV2_pos_Severe_#1_platelet	SARS_CoV2_pos_Severe_#1_T_cell	SARS_CoV2_pos_Severe_#2_B_cell	SARS_CoV2_pos_Severe_#2_erythroid_lineage_cell	SARS_CoV2_pos_Severe_#2_monocyte	SARS_CoV2_pos_Severe_#2_neutrophil	SARS_CoV2_pos_Severe_#2_platelet	SARS_CoV2_pos_Severe_#2_T_cell	SARS_CoV2_pos_Severe_#3_B_cell	SARS_CoV2_pos_Severe_#3_T_cell
PPP1R15A	46	426	20	1	1324	64	311	53	1378	64	4	337	119	1	941	134	1	419	22	988	232	33	412	138	11	1068	619	128	494	1104	50	1610	12	46
FTL	135	7552	57	111	2526	228	7164	204	3067	231	117	8353	736	157	2221	986	226	13307	451	7550	1085	1187	15293	1106	444	3881	1730	2953	17588	5846	1973	6322	184	862
BAX	5	120	0	3	176	10	81	1	179	9	0	83	4	2	137	31	0	160	1	419	78	0	166	6	7	446	101	10	210	14	22	472	10	42
UIMC1	10	38	0	3	68	11	34	0	70	5	1	24	2	4	51	30	1	41	1	160	37	10	57	7	14	117	52	115	39	25	78	105	3	12
ADD1	9	59	0	1	157	22	45	0	152	15	1	29	5	1	111	75	3	99	0	417	68	23	91	7	3	256	88	63	79	28	16	272	16	39
SF3B2	12	116	1	0	256	16	99	4	230	27	0	88	12	0	206	61	1	163	6	727	86	1	187	19	4	463	107	8	167	69	8	516	13	76
GNAS	72	523	2	76	1455	95	419	3	1425	106	13	387	28	108	968	374	23	671	14	3308	646	198	769	49	295	2723	1056	526	781	286	884	3048	91	305
FKBP1A	6	358	2	18	196	14	277	8	168	11	1	282	21	24	164	60	0	457	13	553	69	0	591	22	91	426	67	19	569	182	253	446	20	84
MAVS	2	54	1	3	74	2	37	1	64	1	0	29	3	3	55	22	0	86	2	249	22	0	58	5	8	98	17	5	19	11	13	79	8	14
DYNLL1	6	89	0	37	142	11	53	0	143	15	8	61	2	30	135	69	30	285	0	613	27	58	133	2	82	273	40	394	146	13	243	269	17	42
RPL6	161	1374	0	1	5189	246	1184	4	5253	346	2	1451	3	1	3994	1360	8	2523	0	15704	1643	18	1868	4	2	8833	2069	143	1666	28	19	10679	308	1783
P2RX7	14	233	13	0	521	29	136	6	520	34	0	125	19	0	395	75	0	202	14	860	91	2	239	46	2	677	87	20	110	90	1	414	10	53
ANAPC5	15	128	0	14	389	21	109	1	328	27	0	102	6	13	314	92	1	153	2	870	91	1	193	21	25	640	96	5	127	47	25	519	23	85
FUS	36	226	1	1	1046	53	175	3	1244	67	1	190	21	0	646	176	0	279	14	2234	283	3	400	21	0	1477	355	22	355	162	9	1605	47	164
IGBP1	5	84	0	3	135	10	67	0	170	8	0	59	0	2	136	54	0	99	4	531	49	6	98	3	4	279	89	10	98	21	10	413	6	51
FXYD5	11	187	1	4	491	18	162	0	410	29	1	194	1	0	362	87	2	335	1	1431	67	1	276	3	37	786	113	9	310	25	93	1071	12	179
MLF2	5	61	3	0	111	7	60	1	109	6	1	44	16	1	66	26	1	76	6	234	22	5	80	23	0	146	41	9	77	89	8	172	12	23
ARHGAP4	2	80	2	0	109	7	49	1	120	13	1	75	3	1	78	26	0	73	3	310	34	2	114	4	2	233	59	3	120	45	1	219	7	28
GPATCH2L	2	61	3	0	112	21	50	1	88	12	1	55	15	0	100	32	1	84	1	304	46	1	86	14	3	195	30	6	84	57	9	134	2	23
PAPOLA	13	180	3	4	304	32	137	2	367	38	3	130	11	2	236	88	7	246	9	778	136	18	252	9	2	574	156	66	280	132	41	603	17	62
YPEL3	11	102	3	1	383	19	84	4	370	24	31	90	61	0	234	105	59	153	26	776	92	180	171	63	8	474	105	672	125	324	38	462	15	88
NUDC	5	45	1	1	148	8	36	0	170	7	1	45	4	1	124	41	0	90	2	519	33	1	68	3	2	261	61	18	74	7	6	319	7	49
GNPTG	9	143	4	1	272	13	86	4	298	9	0	79	12	0	212	58	1	132	7	611	67	2	128	18	1	378	45	5	114	51	4	271	5	67
OSBPL8	8	151	3	1	287	22	141	3	288	15	0	137	21	0	205	54	0	281	19	682	77	2	257	40	8	483	82	12	296	315	31	498	8	53
TXNL1	3	36	1	0	125	6	36	0	120	5	3	28	5	1	87	37	2	90	3	380	55	19	71	8	5	238	59	134	91	26	28	271	2	44
CMTM6	9	251	6	4	126	25	201	10	142	17	1	176	58	10	101	74	0	372	19	299	95	0	335	57	38	289	158	3	435	239	127	429	9	38
CDV3	12	223	0	0	309	19	185	5	322	17	2	167	15	2	248	65	2	315	4	771	165	14	393	25	7	620	229	40	475	105	20	720	11	80
SCFD1	14	221	1	0	384	27	168	1	467	23	0	171	11	0	301	99	0	261	2	1030	172	14	333	30	3	768	202	12	336	80	6	619	17	85
HECTD1	9	90	1	1	214	14	56	2	255	23	1	67	5	0	203	68	1	145	1	586	90	6	177	6	0	470	106	10	132	17	6	343	18	43
HNRNPC	32	307	6	2	763	47	229	9	817	50	1	240	34	3	632	143	0	420	22	1584	246	11	445	31	6	1375	440	63	474	243	35	1745	29	128
SNAP23	3	69	0	15	58	10	50	3	67	6	1	50	11	10	42	45	0	106	2	154	40	0	89	2	59	85	44	13	91	48	268	86	7	20
MYL6	21	835	16	115	1232	60	739	29	1378	56	84	801	107	191	928	203	77	1257	41	3170	238	378	1552	76	555	2589	480	926	2142	1075	1865	3047	59	371
RFFL	18	183	7	1	590	43	142	8	515	35	1	111	27	0	432	146	0	293	12	1539	155	5	306	42	1	1010	138	15	133	96	2	560	43	176
MFSD11	4	61	1	0	174	8	41	2	137	7	0	39	2	0	74	25	0	69	1	266	39	1	63	12	3	224	33	5	46	36	7	151	7	24
LRRFIP2	3	45	0	3	44	4	60	2	43	6	0	29	1	3	46	15	0	50	3	127	22	3	79	10	11	96	27	29	91	25	44	94	3	9
WAC	7	165	8	1	331	18	111	3	307	20	1	163	35	0	227	70	4	231	16	682	132	14	260	57	4	552	185	55	262	193	18	463	13	50
HSP90AB1	100	324	0	0	1342	120	230	0	1476	112	18	249	3	0	905	329	15	439	0	2808	584	48	366	2	1	2199	963	613	503	13	19	3207	77	301
HNRNPH3	14	95	0	0	280	20	88	3	293	14	0	75	4	0	218	52	0	150	5	627	112	2	171	16	10	581	171	10	167	72	21	626	10	54
SH3GLB1	7	101	2	6	150	8	91	4	138	7	3	88	24	1	119	37	2	162	14	310	31	7	197	27	3	319	105	28	189	162	42	296	5	32
RAB18	9	60	0	0	174	6	34	5	174	9	0	51	6	0	131	26	0	93	3	350	54	1	99	6	2	240	59	13	97	55	5	319	6	44
MYO9B	5	147	2	0	128	8	133	4	137	12	0	108	17	1	93	26	0	224	2	291	70	0	258	23	0	220	54	1	189	100	5	162	10	35
KCNK6	43	353	10	8	828	56	276	3	782	51	1	241	48	3	553	214	0	483	21	1957	215	5	539	69	5	1278	193	13	235	209	11	790	45	192
CIRBP	37	130	1	4	834	62	121	0	848	75	0	163	9	3	655	183	1	201	2	1668	286	5	189	4	13	1230	380	15	251	32	48	1391	47	159
ATP5F1D	34	248	5	2	710	37	215	6	653	44	0	200	19	4	518	186	2	408	6	1814	210	12	394	32	10	1238	244	41	297	63	33	1203	49	172
HNRNPM	20	158	2	0	359	19	111	2	302	9	0	98	5	0	248	75	0	172	0	818	90	4	188	6	2	598	121	15	174	20	6	677	11	93
POLR2E	4	85	0	2	119	8	63	1	121	11	1	77	2	4	103	36	1	87	3	269	32	1	124	1	13	238	33	11	92	13	41	247	6	32
MKNK2	3	42	2	0	114	12	69	5	148	12	2	29	7	1	71	63	12	83	10	276	90	13	59	24	0	139	74	45	33	61	2	121	9	19
SF3A1	3	44	0	1	117	4	24	2	119	5	1	24	0	0	71	17	0	51	4	232	27	4	44	8	7	172	27	11	37	32	14	173	4	13
MAPK1	4	81	1	2	90	4	79	1	134	2	2	66	11	3	85	21	3	112	4	203	24	19	141	18	6	141	41	67	111	109	41	152	4	17
GRK3	14	124	2	1	199	35	118	2	152	15	0	102	8	1	114	132	0	268	5	806	115	1	290	7	5	412	110	4	116	31	9	255	33	109
TRIOBP	4	62	1	0	58	3	50	2	94	5	0	49	7	1	53	20	0	87	2	182	14	0	92	6	0	103	22	1	75	49	8	97	0	15
DDX17	45	304	7	2	853	55	204	5	694	79	2	187	38	0	632	271	2	432	23	2349	283	12	314	38	7	1041	316	61	252	200	24	961	35	171
JOSD1	9	51	1	0	242	11	67	1	215	6	0	41	10	1	166	23	1	54	4	346	71	0	66	5	3	469	73	9	72	32	16	383	3	34
FBXO7	2	70	0	1	160	3	45	0	124	9	55	45	2	0	74	24	68	79	1	280	53	351	98	3	4	271	81	704	72	23	19	244	7	24
CYB5R3	9	42	0	6	97	7	47	2	99	7	4	52	1	7	62	39	10	73	1	216	33	17	97	1	45	221	40	51	65	19	82	118	10	17
THOC5	7	75	6	0	231	12	59	4	232	19	3	64	21	0	160	41	0	80	5	497	50	3	106	19	3	333	46	2	83	51	2	245	11	36
TSPO	3	660	1	0	291	6	451	2	263	9	1	548	24	1	230	34	1	954	2	724	59	22	1138	38	3	542	70	27	1221	666	18	686	12	80
RPL3	267	1343	1	2	9481	383	1132	1	8791	565	1	1378	4	0	7461	1982	5	2211	0	24935	2493	16	1337	2	5	13854	3621	158	1283	12	19	17040	529	2389
APOL1	17	231	4	0	594	39	184	8	504	34	0	165	35	1	369	148	0	244	14	1155	145	3	297	49	0	873	136	12	173	97	1	577	28	107
MYH9	10	240	6	18	469	19	156	4	466	24	0	180	36	31	328	77	0	292	17	1351	91	2	375	78	80	1027	129	19	282	300	199	729	18	124
TNRC6B	18	85	1	0	439	38	87	3	585	39	1	61	23	0	367	142	2	175	7	1555	174	26	141	10	0	575	163	102	50	62	4	638	30	127
ST13	6	104	1	0	255	22	90	1	299	22	19	88	1	0	181	86	31	132	1	954	76	119	123	1	8	448	104	348	134	8	35	566	17	79
RBX1	3	91	0	18	175	9	80	0	186	12	20	94	4	5	134	65	37	218	0	639	44	148	138	0	70	437	78	487	185	31	192	371	16	67
EP300	11	177	13	0	169	15	139	5	186	8	1	131	24	0	135	34	2	175	11	355	65	15	246	44	3	261	75	83	208	209	8	229	11	25
DESI1	5	74	3	0	145	11	62	4	116	8	0	49	1	0	100	40	1	109	2	377	49	11	118	8	3	284	54	24	89	18	12	197	17	40
SOS2	4	43	1	1	100	2	47	2	91	5	1	44	21	1	44	29	0	70	5	179	22	0	82	18	1	124	32	5	66	90	7	159	3	14
NIN	11	96	4	0	157	16	78	5	234	11	0	80	15	4	99	68	0	152	17	460	103	0	178	24	1	259	106	3	103	110	14	227	5	36
ATP6V1D	6	118	0	1	304	18	73	5	283	13	8	72	18	1	189	46	6	123	7	501	44	36	111	27	1	464	59	115	115	87	20	295	4	31
DHRS7	3	64	1	0	157	4	63	2	201	3	0	86	30	0	133	32	0	163	9	496	22	0	147	26	8	310	46	2	137	149	16	299	7	48
PPM1A	6	48	2	4	73	5	27	3	87	2	10	33	8	1	52	18	16	58	3	166	19	72	67	19	24	174	32	211	54	56	54	140	3	15
HIF1A	15	264	12	3	139	15	154	16	109	16	1	164	77	0	83	44	0	247	40	263	73	0	468	113	5	277	97	12	460	746	16	299	6	21
SRSF5	46	573	6	2	1416	90	478	9	1453	82	0	506	46	2	991	321	1	723	27	3552	483	4	711	51	2	2194	666	47	1201	258	20	2270	53	211
EIF5	33	241	12	2	525	44	221	5	507	44	7	179	27	0	381	94	4	334	13	787	227	47	310	32	13	661	322	380	410	150	73	925	23	68
MTHFD1	33	322	7	0	967	59	223	8	961	54	1	222	48	2	757	249	2	398	15	2413	276	3	512	55	1	1659	251	17	227	150	7	997	59	238
VRK1	28	119	2	0	506	41	104	2	470	43	0	82	14	1	342	187	2	176	11	1317	222	2	181	18	0	741	166	18	88	34	0	565	28	94
YY1	10	148	0	2	328	23	112	1	329	26	0	121	7	1	216	62	2	200	4	791	105	13	205	15	15	535	125	61	184	71	38	549	10	67
TRIP11	19	123	2	0	496	41	86	4	457	24	0	96	15	1	311	124	0	205	13	1274	140	2	203	25	6	700	114	16	94	56	24	437	24	106
PABPN1	4	109	0	2	226	20	90	0	157	19	0	130	3	0	161	40	0	194	1	461	124	2	171	7	7	378	126	5	208	21	23	429	15	35
PSMA6	7	154	1	0	181	12	103	2	155	11	0	77	11	0	138	37	0	174	1	421	46	0	171	21	1	374	53	1	226	85	23	379	6	63
NFKBIA	22	1116	108	3	2483	35	957	177	3199	54	9	1032	660	5	1929	288	0	942	98	1932	351	3	1225	650	0	1255	669	82	1498	6675	40	3401	34	114
SEC23A	10	180	3	1	460	24	153	2	451	32	1	125	17	0	299	103	0	245	13	1104	102	1	233	32	1	709	130	5	164	48	7	508	28	101
RAB5IF	3	187	3	2	113	8	115	3	206	2	0	108	15	2	105	24	0	275	14	361	22	3	286	25	1	370	28	3	326	147	24	358	5	32
STK4	28	183	8	5	667	52	152	5	693	40	1	114	27	2	508	127	0	273	21	1965	176	2	220	77	16	970	259	17	239	227	64	1086	28	144
CTSZ	12	330	2	0	57	13	233	1	51	22	0	296	8	0	32	97	3	474	1	122	90	6	510	11	6	95	122	19	606	71	80	134	17	14
PSMA7	6	304	1	5	289	20	183	0	431	18	5	224	11	4	286	87	6	466	3	1260	94	9	382	8	14	1006	152	41	471	59	95	884	35	138
CSNK2A1	15	182	4	0	497	31	149	5	501	44	0	133	16	1	389	119	0	265	7	1268	163	8	312	27	0	842	152	33	178	74	7	644	36	110
CDS2	6	62	1	1	126	7	76	3	127	17	0	47	15	0	111	25	0	68	11	300	52	1	103	33	7	257	115	3	77	69	17	209	10	25
MAPRE1	3	79	0	2	124	7	48	2	154	4	0	59	3	2	104	17	0	116	5	290	35	0	111	5	12	325	65	1	128	43	29	282	7	27
CHMP4B	4	171	0	1	126	9	131	1	130	7	2	103	11	2	100	43	1	173	3	280	45	16	204	8	3	228	56	50	217	102	11	227	8	30
VAPA	13	201	1	13	304	29	172	4	263	20	2	146	29	5	205	60	0	288	18	778	100	7	304	52	28	486	167	38	325	208	136	666	15	80
LPIN2	2	20	1	3	131	2	19	3	141	1	19	20	6	2	116	6	9	27	4	457	12	98	41	9	9	246	4	285	14	38	10	219	1	39
SMCHD1	61	314	51	0	1192	140	223	46	1032	102	1	210	162	0	739	280	2	392	131	2381	552	2	416	264	0	1646	734	21	266	872	7	1603	47	156
MYL12A	22	414	0	128	1366	53	302	6	1546	38	1	337	23	141	1139	264	6	715	24	4533	171	11	515	29	399	2256	358	160	721	599	1278	2907	48	474
ANKRD12	37	299	2	0	1352	101	217	11	1280	84	2	212	39	0	866	299	0	413	19	2886	500	10	475	69	1	2112	631	39	383	276	16	2061	59	284
RIOK3	6	200	2	15	166	11	128	4	189	10	75	165	14	18	105	36	101	227	12	338	80	251	302	44	60	324	111	1357	444	153	251	374	7	25
MID1	18	153	11	0	536	30	117	9	459	32	0	107	23	1	348	110	0	215	6	1131	121	2	233	28	0	701	117	16	115	72	0	489	28	70
XIAP	23	251	9	0	537	38	171	2	575	38	0	173	39	2	337	177	2	321	23	1521	176	2	452	67	15	842	123	17	256	265	6	649	28	147
STAG2	4	114	2	1	280	13	106	5	291	14	1	82	10	1	175	72	8	186	7	725	94	24	162	18	8	523	95	64	108	93	29	405	15	59
PLP2	6	164	0	0	133	16	129	1	170	15	0	127	4	0	134	57	0	210	3	487	40	1	277	5	2	292	152	5	263	78	8	395	15	73
EMD	1	47	2	3	98	7	31	0	116	6	0	34	7	1	90	15	0	64	2	197	24	0	54	6	13	187	51	3	80	38	46	196	2	17
PGK1	5	351	1	4	376	26	217	4	348	15	0	268	26	3	318	62	0	427	4	1007	74	6	520	20	25	700	111	4	560	130	43	793	23	128
SMS	3	55	0	2	63	6	52	1	83	7	0	57	2	0	52	23	0	92	3	200	12	0	101	3	10	185	34	2	97	15	51	178	4	25
RBM3	31	385	1	0	677	55	251	2	643	49	0	323	3	1	479	138	1	429	0	1315	211	3	317	7	3	988	334	15	320	37	7	1028	28	111
STK24	6	78	0	6	93	6	45	1	90	10	0	51	4	4	76	27	1	123	1	250	31	1	117	3	16	170	46	10	104	35	58	152	4	19
SLC25A15	7	71	2	0	158	13	47	1	152	12	0	32	9	1	106	71	0	119	1	518	52	0	133	14	0	267	34	1	34	20	1	165	21	68
DGKH	7	34	0	1	144	3	46	0	162	7	0	34	7	0	98	41	1	97	6	535	33	1	81	5	2	291	19	6	26	15	13	186	13	89
INTS6	11	21	1	0	256	11	30	2	362	17	0	22	14	0	162	53	0	61	5	468	104	4	36	15	2	271	79	21	24	37	3	262	8	20
CORO1A	10	361	2	0	550	44	302	5	672	35	1	373	27	0	491	220	0	667	16	2664	141	2	456	15	3	1732	213	5	668	123	13	1474	50	352
PHKB	9	65	1	5	175	22	72	1	178	17	0	55	8	4	129	76	0	134	0	409	83	0	103	5	19	241	106	8	71	13	40	184	14	36
NFAT5	1	68	1	1	87	6	47	2	105	7	0	45	11	0	62	18	0	76	5	197	38	3	111	20	4	136	35	22	136	72	9	93	5	20
CTCF	6	43	0	1	148	7	26	2	133	13	0	30	2	1	107	35	0	67	4	477	26	2	59	5	1	287	36	4	60	23	4	251	9	46
SETD6	4	93	2	0	162	5	45	1	147	10	0	40	5	1	108	24	0	79	5	346	31	3	81	13	0	235	29	4	50	26	0	152	5	24
CMC2	2	47	2	3	174	3	63	0	203	6	0	36	3	2	133	38	0	97	2	438	44	4	90	9	3	520	48	12	72	12	31	325	8	22
COTL1	21	1137	11	16	296	34	755	17	346	34	1	1092	69	19	232	77	1	1494	22	915	109	2	1678	97	56	1612	171	16	1888	414	235	793	36	104
TSC2	31	202	8	1	592	51	183	1	533	39	1	169	30	2	401	150	1	286	12	1319	191	7	347	46	1	849	165	11	156	84	2	557	30	119
STUB1	2	59	1	3	153	7	32	0	159	6	0	53	2	2	131	38	0	77	3	468	45	3	92	2	10	291	52	7	78	7	29	330	6	53
GSPT1	3	37	0	0	150	4	26	2	191	6	61	25	0	0	108	21	66	52	2	424	35	315	44	1	4	453	56	1397	41	1	5	421	6	41
ELOB	15	361	2	5	537	25	270	12	551	25	36	313	27	4	390	103	39	508	4	1366	122	220	497	20	21	1015	183	441	616	203	86	1310	32	163
CSK	8	123	0	1	91	10	87	1	103	15	0	97	9	0	69	59	1	173	1	385	61	0	171	9	11	266	59	1	213	33	10	194	22	35
HERC1	7	39	0	2	157	8	61	0	186	10	2	44	1	1	94	30	3	63	1	409	53	24	91	4	4	280	54	68	49	19	21	287	4	26
RAB11A	1	45	1	14	75	6	38	2	93	7	0	46	4	7	84	29	0	80	4	242	14	3	73	8	72	190	35	13	103	73	278	218	8	25
ZNF106	3	198	1	0	105	9	141	1	123	9	0	106	7	1	83	50	1	256	4	308	32	0	356	22	1	231	63	1	228	110	12	210	2	23
BLOC1S6	51	405	5	8	1042	111	344	4	1046	104	5	280	36	4	753	322	2	443	15	2363	392	18	429	65	19	1525	583	67	414	182	71	1488	51	156
PLAT	25	196	10	0	601	42	156	2	519	31	0	128	37	3	361	109	0	229	13	1165	143	5	246	51	0	795	133	10	119	93	1	481	22	83
STK3	10	99	5	0	266	10	97	1	238	23	2	69	14	0	174	50	1	132	3	465	78	0	133	26	0	340	45	1	71	56	8	208	11	43
RAB2A	8	165	2	2	206	16	106	3	251	16	0	137	14	1	189	36	0	163	7	453	66	1	271	22	4	442	100	14	322	122	23	455	7	50
ERICH1	5	90	0	1	130	15	54	1	126	8	0	86	2	1	104	65	0	116	2	408	52	0	136	8	9	208	80	2	98	32	39	257	9	35
ASAH1	3	596	9	4	75	14	520	4	108	13	0	543	50	20	66	49	0	586	23	298	63	10	774	114	29	148	83	53	1008	419	62	159	5	23
BNIP3L	8	125	2	3	126	11	113	4	132	6	137	120	16	3	82	21	165	209	14	290	30	852	221	26	19	203	61	2735	152	77	54	231	5	26
CD37	107	304	6	0	539	232	291	11	592	259	0	275	21	0	437	986	0	605	19	1742	1015	3	503	32	7	948	1248	16	635	265	25	1205	154	139
OAZ1	37	1348	11	233	790	92	960	20	968	79	198	1132	123	244	703	372	264	1887	39	2338	328	864	2091	84	749	1583	563	3435	2336	858	3549	1839	85	293
C19orf53	10	116	0	0	357	18	62	0	307	17	0	89	2	1	234	82	1	163	2	940	76	5	178	11	3	595	109	26	166	34	20	656	15	116
FAM32A	4	67	0	2	74	5	37	1	87	5	0	39	6	4	60	18	0	77	3	230	29	0	118	6	3	154	36	5	169	30	14	186	4	26
PPP6R1	2	29	0	1	93	6	33	0	112	4	2	25	3	3	50	20	2	62	1	243	43	14	51	1	9	189	24	28	54	13	25	177	8	22
RPS16	229	1453	3	0	6723	408	1386	5	6518	445	4	1596	10	1	5244	1566	4	2121	5	17133	2529	19	2084	11	3	11080	3659	190	2238	133	20	15008	377	1704
HNRNPUL1	28	287	5	0	901	54	205	7	724	53	0	187	36	4	571	170	1	344	17	1627	255	6	394	60	3	1263	207	17	223	172	12	1011	41	121
TGFB1	6	224	3	60	400	8	162	3	430	10	0	151	20	55	249	50	0	313	10	719	59	2	337	30	181	698	74	10	204	208	524	611	8	77
RPS19	380	1600	2	2	9625	532	1674	1	9669	718	3	2220	5	0	8096	2528	8	3358	6	23677	4080	40	2791	15	9	16806	5601	251	4537	54	27	22701	581	2494
CDC37	2	98	2	4	181	14	62	1	194	3	0	63	1	4	141	49	0	109	0	514	64	5	103	2	19	358	63	7	104	16	43	426	9	57
NAPA	1	60	2	2	56	6	48	1	69	2	7	36	12	2	35	14	9	85	5	155	12	43	91	17	9	115	19	67	58	25	21	113	3	7
RABAC1	10	89	1	4	218	17	66	4	235	10	1	58	5	3	195	53	0	121	2	555	97	5	166	13	19	428	139	22	165	58	77	556	18	98
CYTH2	20	222	1	0	535	27	163	1	491	29	2	138	19	0	386	116	0	266	10	1363	138	3	252	42	7	858	138	22	173	80	29	503	33	121
CARD8	4	38	1	6	100	2	37	1	128	7	0	23	7	1	80	16	0	67	3	420	24	1	75	4	2	188	44	5	45	33	18	172	4	36
RPL18A	350	1540	0	0	7686	605	1590	0	7041	709	4	1849	1	0	5485	2588	10	3096	1	20866	3707	70	2208	3	2	12344	4406	237	2184	19	15	15912	428	1956
COPE	4	154	0	7	190	7	91	5	220	16	0	134	5	3	218	50	4	206	5	657	69	17	244	5	7	526	84	36	254	36	31	591	23	115
USF2	6	102	0	14	164	16	97	1	150	8	0	82	6	11	111	65	0	124	4	359	75	0	190	8	18	280	97	5	156	57	27	314	14	25
FKBP8	4	70	2	9	182	10	57	4	182	15	98	67	14	27	143	29	121	131	18	497	42	579	147	24	49	339	52	1527	120	96	118	378	10	47
NAMPT	20	2962	760	2	717	11	2664	767	547	25	63	1915	3818	40	433	64	58	2779	1453	669	134	78	6623	6339	1	989	225	198	4155	21755	217	1084	6	47
MTPN	33	247	0	39	233	52	208	6	297	39	2	280	16	48	241	157	0	351	6	586	225	36	410	21	93	460	361	70	588	152	458	591	27	41
ZC3HAV1	7	49	1	0	298	14	42	4	345	12	5	55	8	2	195	63	3	76	11	934	66	9	73	22	0	393	68	92	58	59	5	425	5	67
OGDH	3	32	1	0	98	2	36	3	79	4	1	35	5	2	72	20	2	91	5	322	33	6	75	11	2	171	23	7	47	24	2	127	11	34
H2AZ2	2	104	1	0	465	16	94	2	453	24	1	100	8	0	380	79	0	172	9	1055	76	7	206	6	2	1094	79	19	209	59	6	1063	9	91
DNAJB6	9	132	1	17	445	17	103	3	528	11	0	102	24	6	309	51	2	157	16	660	84	15	218	37	63	879	97	43	212	160	148	821	10	56
TAX1BP1	7	169	3	3	341	20	152	4	352	16	17	143	22	0	282	65	27	253	11	854	108	102	236	29	19	687	125	371	313	164	48	692	11	67
CHCHD2	17	307	1	2	828	41	252	2	759	47	7	335	5	3	653	182	4	509	9	2075	234	65	519	11	12	1714	356	126	601	81	91	2162	42	283
PDAP1	6	53	0	1	138	6	20	1	164	5	1	42	1	1	114	44	1	56	1	383	33	5	69	6	9	285	64	9	72	11	29	325	12	43
BUD31	7	74	1	1	141	9	41	1	169	7	1	46	11	1	122	39	0	94	8	321	52	5	90	11	1	365	84	33	128	89	25	371	13	20
C1GALT1	6	33	0	5	97	4	42	1	102	5	0	29	3	1	82	28	0	49	3	264	33	6	32	9	8	152	32	26	55	25	13	147	3	18
ZNHIT1	4	49	0	0	102	3	43	1	106	9	1	52	5	0	101	43	2	119	3	416	24	24	123	3	3	230	30	60	155	45	10	271	6	66
COA1	4	44	1	1	204	9	32	1	185	8	0	26	4	0	114	53	0	54	2	485	53	0	71	17	0	330	42	0	62	21	0	243	7	31
TMEM248	5	48	0	1	82	8	40	0	82	5	0	29	3	2	60	26	1	67	0	233	29	3	68	3	4	141	35	6	43	13	17	128	6	20
RHEB	2	65	1	6	81	10	54	0	86	7	1	56	3	2	67	19	0	107	1	258	32	2	115	3	17	203	49	11	132	21	91	216	5	15
PRKAG2	5	202	2	0	243	13	145	2	216	14	0	134	12	0	185	62	0	268	1	533	49	1	179	11	2	279	68	1	132	15	10	232	10	50
EIF4H	5	130	0	1	219	10	85	0	205	16	0	92	1	1	135	48	0	134	1	446	84	0	169	9	2	415	102	10	129	23	11	431	12	56
DNM1	6	36	1	0	71	3	30	2	86	8	0	23	8	1	69	19	0	54	2	232	33	0	58	8	3	141	25	1	23	26	3	86	5	13
BAG1	5	61	1	3	104	10	49	0	124	5	31	56	7	1	79	28	52	124	3	291	35	157	125	14	3	253	52	327	112	39	18	262	3	34
SETX	2	103	5	0	120	17	104	2	127	15	0	82	11	0	88	62	1	164	9	441	60	0	126	11	4	215	68	6	144	54	9	187	10	19
UBE2R2	5	161	2	1	91	3	128	9	97	9	0	153	38	1	68	27	1	209	10	275	28	6	219	50	2	130	41	17	227	215	26	133	4	22
ZFAND5	2	200	2	1	171	13	155	0	179	14	4	190	7	1	95	30	6	291	3	292	34	53	327	23	3	230	58	307	383	120	37	235	6	15
HPS1	5	43	0	0	56	3	29	0	59	9	13	39	3	0	67	15	14	56	1	165	29	30	76	4	0	152	34	92	74	16	8	147	1	19
ATE1	4	29	1	3	147	13	25	0	152	7	0	29	4	3	103	29	0	63	1	342	50	2	63	3	8	227	55	4	38	11	12	209	4	27
VSIR	0	297	7	2	69	3	219	8	86	0	2	277	51	4	61	11	0	409	22	346	15	1	536	59	7	127	6	2	644	275	16	134	3	26
GBF1	7	105	4	0	260	16	82	4	268	32	0	70	7	0	200	79	1	160	4	641	86	2	187	25	0	391	77	3	98	64	7	281	11	67
GTPBP4	38	381	7	0	853	54	261	7	718	40	3	259	65	0	586	175	2	398	21	1873	211	2	552	88	0	1221	241	17	311	292	6	915	32	159
MAP3K8	2	162	1	2	173	6	127	2	192	11	0	164	11	0	97	30	0	256	4	140	150	2	530	9	0	182	124	8	715	117	14	206	7	9
SHOC2	4	105	6	2	125	27	89	7	131	26	1	111	24	0	90	70	3	146	15	343	113	11	213	49	6	233	159	18	205	187	28	214	7	29
CCNY	2	104	0	5	100	12	93	4	103	4	0	75	16	3	79	21	0	160	6	190	34	1	133	6	14	136	34	3	89	47	45	162	1	18
