section	lag	metric	value
transcription_t_to_contact_t1	0	p_outcome_given_exposure	0.09445120891
transcription_t_to_contact_t1	0	p_outcome_given_no_exposure	0.04594791304
transcription_t_to_contact_t1	0	risk_difference	0.04850329587
transcription_t_to_contact_t1	0	odds_ratio	2.165718275
transcription_t_to_contact_t1	0	log_or_z	29.44175011
contact_t_to_transcription_t1_given_trans_t0	0	n_c0_t0	101563
contact_t_to_transcription_t1_given_trans_t0	0	n_c0_t1	18100
contact_t_to_transcription_t1_given_trans_t0	0	n_c1_t0	5384
contact_t_to_transcription_t1_given_trans_t0	0	n_c1_t1	1357
contact_t_to_transcription_t1_given_trans_t0	0	p_outcome_given_exposure	0.2013054443
contact_t_to_transcription_t1_given_trans_t0	0	p_outcome_given_no_exposure	0.1512581165
contact_t_to_transcription_t1_given_trans_t0	0	risk_difference	0.05004732775
contact_t_to_transcription_t1_given_trans_t0	0	odds_ratio	1.414268089
contact_t_to_transcription_t1_given_trans_t0	0	log_or_z	11.02859725
transcription_t_to_contact_t1_given_contact_t0	0	n_c0_t0	114163
transcription_t_to_contact_t1_given_contact_t0	0	n_c0_t1	5500
transcription_t_to_contact_t1_given_contact_t0	0	n_c1_t0	19725
transcription_t_to_contact_t1_given_contact_t0	0	n_c1_t1	2036
transcription_t_to_contact_t1_given_contact_t0	0	p_outcome_given_exposure	0.09356187675
transcription_t_to_contact_t1_given_contact_t0	0	p_outcome_given_no_exposure	0.0459624111
transcription_t_to_contact_t1_given_contact_t0	0	risk_difference	0.04759946565
transcription_t_to_contact_t1_given_contact_t0	0	odds_ratio	2.142512898
transcription_t_to_contact_t1_given_contact_t0	0	log_or_z	28.15522708
