category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	p_adjust_over_represented	p_adjust_under_represented
GO:0090230	0.366396828861972	0.934065336649205	1	6	regulation of centromere complex assembly	BP	1	1
GO:0007179	0.366424980355367	0.730622518882358	15	216	transforming growth factor beta receptor signaling pathway	BP	1	1
GO:0001502	0.366427959214147	0.869630370484265	2	19	cartilage condensation	BP	1	1
GO:0045607	0.366611778755392	0.930155514400937	1	9	regulation of inner ear auditory receptor cell differentiation	BP	1	1
GO:0045631	0.366611778755392	0.930155514400937	1	9	regulation of mechanoreceptor differentiation	BP	1	1
GO:2000980	0.366611778755392	0.930155514400937	1	9	regulation of inner ear receptor cell differentiation	BP	1	1
GO:0048536	0.36697713205968	0.833107393029547	3	36	spleen development	BP	1	1
GO:0046130	0.367024457769826	0.932166275734794	1	7	purine ribonucleoside catabolic process	BP	1	1
GO:0010984	0.367032150160306	0.865618281753345	2	34	regulation of lipoprotein particle clearance	BP	1	1
GO:0045747	0.367169787795969	0.810318466882256	4	48	positive regulation of Notch signaling pathway	BP	1	1
GO:0034035	0.367219336798876	0.868347702364546	2	21	purine ribonucleoside bisphosphate metabolic process	BP	1	1
GO:0050427	0.367219336798876	0.868347702364546	2	21	3'-phosphoadenosine 5'-phosphosulfate metabolic process	BP	1	1
GO:0045921	0.367294108689321	0.771416200885568	7	86	positive regulation of exocytosis	BP	1	1
GO:1903147	0.367353045615842	0.932033182486077	1	7	negative regulation of autophagy of mitochondrion	BP	1	1
GO:0048102	0.367355603736988	0.93079958281129	1	8	autophagic cell death	BP	1	1
GO:0002478	0.367644165612902	0.832151937154526	3	39	antigen processing and presentation of exogenous peptide antigen	BP	1	1
GO:0071498	0.367749133770547	0.868022488537408	2	21	cellular response to fluid shear stress	BP	1	1
GO:0072161	0.36777402221049	0.930627055912451	1	8	mesenchymal cell differentiation involved in kidney development	BP	1	1
GO:2001012	0.36777402221049	0.930627055912451	1	8	mesenchymal cell differentiation involved in renal system development	BP	1	1
GO:0035022	0.368427439007299	0.935610450354657	1	5	positive regulation of Rac protein signal transduction	BP	1	1
GO:1902231	0.368700660580237	0.931485702292341	1	7	positive regulation of intrinsic apoptotic signaling pathway in response to DNA damage	BP	1	1
GO:1904738	0.36876544449187	0.830273789856475	3	48	vascular associated smooth muscle cell migration	BP	1	1
GO:0097284	0.368921991559294	0.868106461673908	2	19	hepatocyte apoptotic process	BP	1	1
GO:0003307	0.368970032283731	0.929170077460303	1	9	regulation of Wnt signaling pathway involved in heart development	BP	1	1
GO:0016052	0.368971953005882	0.743551724606578	11	155	carbohydrate catabolic process	BP	1	1
GO:0003175	0.36899292496767	0.933035483774374	1	6	tricuspid valve development	BP	1	1
GO:0042454	0.369020983454685	0.867240177576491	2	21	ribonucleoside catabolic process	BP	1	1
GO:0044794	0.36915265775579	0.867541004868401	2	20	positive regulation by host of viral process	BP	1	1
GO:0007338	0.36920196396436	0.743237135064876	11	160	single fertilization	BP	1	1
GO:0030522	0.369464888179255	0.717789646311326	19	266	intracellular receptor signaling pathway	BP	1	1
GO:1901659	0.369691672116976	0.867634428175319	2	19	glycosyl compound biosynthetic process	BP	1	1
GO:0042092	0.369835192334449	0.830763604164325	3	38	type 2 immune response	BP	1	1
GO:0035723	0.369837878768816	0.932698226734522	1	6	interleukin-15-mediated signaling pathway	BP	1	1
GO:0071350	0.369837878768816	0.932698226734522	1	6	cellular response to interleukin-15	BP	1	1
GO:1904026	0.370062530551491	0.929678890378417	1	8	regulation of collagen fibril organization	BP	1	1
GO:0052651	0.370370116933791	0.930803820576375	1	7	monoacylglycerol catabolic process	BP	1	1
GO:0021828	0.370382542410996	0.932480288138255	1	6	gonadotrophin-releasing hormone neuronal migration to the hypothalamus	BP	1	1
GO:0021856	0.370382542410996	0.932480288138255	1	6	hypothalamic tangential migration using cell-axon interactions	BP	1	1
GO:0061082	0.370496199162654	0.807577749328129	4	50	myeloid leukocyte cytokine production	BP	1	1
GO:0060232	0.370557008734471	0.930727233541775	1	7	delamination	BP	1	1
GO:2000401	0.370592940908993	0.790657473784875	5	68	regulation of lymphocyte migration	BP	1	1
GO:0010866	0.370827562541954	0.865460501496744	2	23	regulation of triglyceride biosynthetic process	BP	1	1
GO:0035442	0.370844083639703	0.930609493190546	1	7	dipeptide transmembrane transport	BP	1	1
GO:0042938	0.370844083639703	0.930609493190546	1	7	dipeptide transport	BP	1	1
GO:0010770	0.371378377269022	0.768236524690784	7	83	positive regulation of cell morphogenesis involved in differentiation	BP	1	1
GO:0090140	0.371594515806592	0.83090712279844	3	31	regulation of mitochondrial fission	BP	1	1
GO:0060292	0.371698792611951	0.831087683121867	3	30	long-term synaptic depression	BP	1	1
GO:1901642	0.371700743749402	0.930257431234293	1	7	nucleoside transmembrane transport	BP	1	1
GO:0001914	0.371714335598364	0.829132986806102	3	40	regulation of T cell mediated cytotoxicity	BP	1	1
GO:0032928	0.371801665798755	0.865172643440884	2	22	regulation of superoxide anion generation	BP	1	1
GO:0060021	0.371931614354728	0.767317365371124	7	91	roof of mouth development	BP	1	1
GO:0000460	0.371980928173519	0.829586527699355	3	36	maturation of 5.8S rRNA	BP	1	1
GO:0030201	0.372030619571211	0.807716633818898	4	41	heparan sulfate proteoglycan metabolic process	BP	1	1
GO:0035930	0.372107595872511	0.865718539350745	2	20	corticosteroid hormone secretion	BP	1	1
GO:1900271	0.372153089167191	0.806838122889469	4	46	regulation of long-term synaptic potentiation	BP	1	1
GO:0072383	0.372247107791084	0.931730999305782	1	6	plus-end-directed vesicle transport along microtubule	BP	1	1
GO:1902744	0.372286182074674	0.928750216913676	1	8	negative regulation of lamellipodium organization	BP	1	1
GO:1903531	0.372385741526226	0.745445683919758	10	150	negative regulation of secretion by cell	BP	1	1
GO:0097638	0.372525363568306	0.929917526752499	1	7	L-arginine import across plasma membrane	BP	1	1
GO:0019827	0.372797371664305	0.731912916456978	13	177	stem cell population maintenance	BP	1	1
GO:0070842	0.37279783963083	0.931508730863766	1	6	aggresome assembly	BP	1	1
GO:0001957	0.372830183176128	0.929791630377599	1	7	intramembranous ossification	BP	1	1
GO:0036072	0.372830183176128	0.929791630377599	1	7	direct ossification	BP	1	1
GO:1901896	0.373083761456366	0.931393164749296	1	6	positive regulation of ATPase-coupled calcium transmembrane transporter activity	BP	1	1
GO:0002699	0.373155077471949	0.718888941678184	17	260	positive regulation of immune effector process	BP	1	1
GO:2000651	0.373186442249498	0.866502331962466	2	17	positive regulation of sodium ion transmembrane transporter activity	BP	1	1
GO:0061038	0.373704202135118	0.931141986290208	1	6	uterus morphogenesis	BP	1	1
GO:0002643	0.37382378602943	0.864654497070403	2	20	regulation of tolerance induction	BP	1	1
GO:0021953	0.373843317918467	0.731053683879343	13	174	central nervous system neuron differentiation	BP	1	1
GO:0055021	0.374037701086518	0.787869460453734	5	69	regulation of cardiac muscle tissue growth	BP	1	1
GO:0050830	0.374219117803932	0.773759987860838	6	118	defense response to Gram-positive bacterium	BP	1	1
GO:0002729	0.374385136907367	0.927866921972104	1	8	positive regulation of natural killer cell cytokine production	BP	1	1
GO:0098586	0.374402922633523	0.76424848829412	7	116	cellular response to virus	BP	1	1
GO:0042723	0.374412164042823	0.929136060790513	1	7	thiamine-containing compound metabolic process	BP	1	1
GO:0001561	0.374413020333357	0.929135704953998	1	7	fatty acid alpha-oxidation	BP	1	1
GO:0019800	0.374473634772294	0.930829721198526	1	6	peptide cross-linking via chondroitin 4-sulfate glycosaminoglycan	BP	1	1
GO:0045730	0.374810045232405	0.827082878671804	3	39	respiratory burst	BP	1	1
GO:0072673	0.374855312419678	0.864930352399145	2	18	lamellipodium morphogenesis	BP	1	1
GO:0003300	0.374903243172524	0.764470244054052	7	99	cardiac muscle hypertrophy	BP	1	1
GO:0006249	0.374945189517028	0.930637925068855	1	6	dCMP catabolic process	BP	1	1
GO:0046063	0.374945189517028	0.930637925068855	1	6	dCMP metabolic process	BP	1	1
GO:0002063	0.374978782223451	0.828281425690232	3	32	chondrocyte development	BP	1	1
GO:0035338	0.375018121418188	0.864345232618933	2	19	long-chain fatty-acyl-CoA biosynthetic process	BP	1	1
GO:0060437	0.375041201082158	0.928874371353363	1	7	lung growth	BP	1	1
GO:0034141	0.375130917215854	0.928837000756314	1	7	positive regulation of toll-like receptor 3 signaling pathway	BP	1	1
GO:0060710	0.375133641445675	0.928835865813554	1	7	chorio-allantoic fusion	BP	1	1
GO:0002090	0.375159756312848	0.787835614050701	5	59	regulation of receptor internalization	BP	1	1
GO:0014883	0.375172075298455	0.926539019748697	1	9	transition between fast and slow fiber	BP	1	1
GO:0006635	0.375200462575179	0.774776394715625	6	76	fatty acid beta-oxidation	BP	1	1
GO:0007351	0.375258703252135	0.863016880627389	2	22	tripartite regional subdivision	BP	1	1
GO:0008595	0.375258703252135	0.863016880627389	2	22	anterior/posterior axis specification, embryo	BP	1	1
GO:0001845	0.37526734837627	0.863756305952728	2	20	phagolysosome assembly	BP	1	1
GO:0030900	0.375523566459561	0.697682323224012	28	385	forebrain development	BP	1	1
GO:1904714	0.375713638826954	0.927304480283462	1	8	regulation of chaperone-mediated autophagy	BP	1	1
GO:0097198	0.375840404191754	0.930272931212256	1	6	histone H3-K36 trimethylation	BP	1	1
GO:0032119	0.375843604674696	0.927249316514894	1	8	sequestering of zinc ion	BP	1	1
GO:0070306	0.375921910903753	0.826791537069901	3	36	lens fiber cell differentiation	BP	1	1
GO:0022411	0.376319299327316	0.691337445501713	33	483	cellular component disassembly	BP	1	1
GO:0030516	0.376471833269707	0.755861315644878	8	93	regulation of axon extension	BP	1	1
GO:0021960	0.376525852299307	0.929992680713535	1	6	anterior commissure morphogenesis	BP	1	1
GO:0032532	0.376644170306315	0.928204886249656	1	7	regulation of microvillus length	BP	1	1
GO:0043244	0.376695219480101	0.742389501810505	10	127	regulation of protein-containing complex disassembly	BP	1	1
GO:0070474	0.376707725328023	0.926881903410068	1	8	positive regulation of uterine smooth muscle contraction	BP	1	1
GO:0035728	0.377522604508564	0.862785000655883	2	19	response to hepatocyte growth factor	BP	1	1
GO:0009615	0.377897480424568	0.699083755743865	25	409	response to virus	BP	1	1
GO:0036261	0.37801298438066	0.926324815709695	1	8	7-methylguanosine cap hypermethylation	BP	1	1
GO:0006525	0.378112536717276	0.861582388292034	2	21	arginine metabolic process	BP	1	1
GO:0003161	0.378551124780194	0.824738228887163	3	37	cardiac conduction system development	BP	1	1
GO:0016525	0.378578874549504	0.75215599095621	8	149	negative regulation of angiogenesis	BP	1	1
GO:0071230	0.378647057449769	0.771709142348897	6	80	cellular response to amino acid stimulus	BP	1	1
GO:1902498	0.378680357929054	0.929107369001397	1	6	regulation of protein autoubiquitination	BP	1	1
GO:0045988	0.378745895216197	0.926010893506805	1	8	negative regulation of striated muscle contraction	BP	1	1
GO:0042760	0.378747733813932	0.92732059213988	1	7	very long-chain fatty acid catabolic process	BP	1	1
GO:0051546	0.378807585325465	0.861541236033149	2	20	keratinocyte migration	BP	1	1
GO:0046622	0.378944025300731	0.80094339920496	4	52	positive regulation of organ growth	BP	1	1
GO:2000064	0.379007162792987	0.927211081675042	1	7	regulation of cortisol biosynthetic process	BP	1	1
GO:2001280	0.379067623531328	0.924857005866971	1	9	positive regulation of unsaturated fatty acid biosynthetic process	BP	1	1
GO:0048016	0.37910318948382	0.784819511190702	5	58	inositol phosphate-mediated signaling	BP	1	1
GO:0060147	0.379155064460546	0.801392622928473	4	47	regulation of post-transcriptional gene silencing	BP	1	1
GO:0018193	0.379298059127441	0.664130377570561	86	1281	peptidyl-amino acid modification	BP	1	1
GO:0014744	0.379356775469325	0.921849196164	1	14	positive regulation of muscle adaptation	BP	1	1
GO:0045945	0.379403668385298	0.86209970908186	2	18	positive regulation of transcription by RNA polymerase III	BP	1	1
GO:1901098	0.379408335144503	0.927041542621464	1	7	positive regulation of autophagosome maturation	BP	1	1
GO:0086045	0.379603271009104	0.928726073733851	1	6	membrane depolarization during AV node cell action potential	BP	1	1
GO:0022417	0.379840363999149	0.925540613437233	1	8	protein maturation by protein folding	BP	1	1
GO:0019695	0.379907816878981	0.928599981047109	1	6	choline metabolic process	BP	1	1
GO:0043615	0.379984609609234	0.924457747932773	1	9	astrocyte cell migration	BP	1	1
GO:0036446	0.380120345695732	0.925420020755125	1	8	myofibroblast differentiation	BP	1	1
GO:0048341	0.380167229304451	0.926720176398076	1	7	paraxial mesoderm formation	BP	1	1
GO:0033692	0.380189677603817	0.783140616409401	5	67	cellular polysaccharide biosynthetic process	BP	1	1
GO:0010888	0.380250914967444	0.859874318949045	2	22	negative regulation of lipid storage	BP	1	1
GO:0051136	0.380380319153368	0.928404081434695	1	6	regulation of NK T cell differentiation	BP	1	1
GO:0050921	0.380572871571502	0.738519112832368	10	144	positive regulation of chemotaxis	BP	1	1
GO:0009259	0.380917050959223	0.689021699149233	31	466	ribonucleotide metabolic process	BP	1	1
GO:0045759	0.380978881032534	0.926375525773527	1	7	negative regulation of action potential	BP	1	1
GO:0072126	0.381493303023102	0.926156581961509	1	7	positive regulation of glomerular mesangial cell proliferation	BP	1	1
GO:0032026	0.381525682899959	0.860272976870485	2	19	response to magnesium ion	BP	1	1
GO:0022607	0.381818687239398	0.648721732813218	195	3008	cellular component assembly	BP	1	1
GO:0015705	0.381882618878785	0.927779066287214	1	6	iodide transport	BP	1	1
GO:0015727	0.381948676064639	0.925962442460578	1	7	lactate transport	BP	1	1
GO:0035873	0.381948676064639	0.925962442460578	1	7	lactate transmembrane transport	BP	1	1
GO:0043271	0.382018221834802	0.73189608773137	11	168	negative regulation of ion transport	BP	1	1
GO:0016115	0.382019426547756	0.923567242342243	1	9	terpenoid catabolic process	BP	1	1
GO:0033005	0.382111336980667	0.859057297933602	2	21	positive regulation of mast cell activation	BP	1	1
GO:0060966	0.382231616103465	0.798780150793784	4	49	regulation of gene silencing by RNA	BP	1	1
GO:0032885	0.382348478110618	0.82184211233106	3	38	regulation of polysaccharide biosynthetic process	BP	1	1
GO:0046476	0.382434143330894	0.924418930155935	1	8	glycosylceramide biosynthetic process	BP	1	1
GO:2000629	0.382561036383732	0.859173602383052	2	20	negative regulation of miRNA metabolic process	BP	1	1
GO:0043586	0.382641555445851	0.859122595399108	2	20	tongue development	BP	1	1
GO:0099518	0.382762168332318	0.769061784665317	6	70	vesicle cytoskeletal trafficking	BP	1	1
GO:0048168	0.382795730823163	0.781884690252511	5	58	regulation of neuronal synaptic plasticity	BP	1	1
GO:1903209	0.382902733285353	0.858190806460881	2	22	positive regulation of oxidative stress-induced cell death	BP	1	1
GO:0061091	0.38290703899196	0.927350978541966	1	6	regulation of phospholipid translocation	BP	1	1
GO:1904996	0.38328299373962	0.857036165252433	2	25	positive regulation of leukocyte adhesion to vascular endothelial cell	BP	1	1
GO:0098735	0.383606455946874	0.92960804232505	1	5	positive regulation of the force of heart contraction	BP	1	1
GO:0048290	0.38364769787842	0.925235377622584	1	7	isotype switching to IgA isotypes	BP	1	1
GO:0097107	0.383822723734306	0.859884390475925	2	17	postsynaptic density assembly	BP	1	1
GO:0019626	0.383882882679943	0.925134396160142	1	7	short-chain fatty acid catabolic process	BP	1	1
GO:0010694	0.383909669998154	0.926930509493987	1	6	positive regulation of alkaline phosphatase activity	BP	1	1
GO:0060440	0.384008927455219	0.925080242303634	1	7	trachea formation	BP	1	1
GO:0002532	0.384247565734881	0.766127531958551	6	100	production of molecular mediator involved in inflammatory response	BP	1	1
GO:0072524	0.384340150415816	0.767109570375041	6	79	pyridine-containing compound metabolic process	BP	1	1
GO:0009637	0.38434452184052	0.924935942109946	1	7	response to blue light	BP	1	1
GO:0070509	0.384676876194444	0.796902632245694	4	49	calcium ion import	BP	1	1
GO:0043267	0.384679809525057	0.819842536965063	3	40	negative regulation of potassium ion transport	BP	1	1
GO:0070102	0.384872856911027	0.855758735902957	2	26	interleukin-6-mediated signaling pathway	BP	1	1
GO:0060389	0.384985693931921	0.77939084954675	5	66	pathway-restricted SMAD protein phosphorylation	BP	1	1
GO:0009582	0.385047689421024	0.729882222512548	11	142	detection of abiotic stimulus	BP	1	1
GO:0008593	0.385113979213132	0.756038964995044	7	97	regulation of Notch signaling pathway	BP	1	1
GO:0016240	0.385115861805331	0.924603641408346	1	7	autophagosome membrane docking	BP	1	1
GO:0015744	0.385225277039512	0.923200595408563	1	8	succinate transport	BP	1	1
GO:0071422	0.385225277039512	0.923200595408563	1	8	succinate transmembrane transport	BP	1	1
GO:0070588	0.385478291341312	0.692510403163947	25	345	calcium ion transmembrane transport	BP	1	1
GO:0046877	0.385543579042215	0.923060908975652	1	8	regulation of saliva secretion	BP	1	1
GO:0045063	0.385823408648805	0.856693167855339	2	21	T-helper 1 cell differentiation	BP	1	1
GO:0061458	0.386065843012953	0.698456174251705	21	312	reproductive system development	BP	1	1
GO:0034341	0.386174342672434	0.739356692781914	9	139	response to interferon-gamma	BP	1	1
GO:0090287	0.386363085471254	0.696264280061701	22	337	regulation of cellular response to growth factor stimulus	BP	1	1
GO:0060158	0.386383879422565	0.922691407589975	1	8	phospholipase C-activating dopamine receptor signaling pathway	BP	1	1
GO:1905461	0.386433447091857	0.920772802515974	1	10	positive regulation of vascular associated smooth muscle cell apoptotic process	BP	1	1
GO:0140374	0.386439766424036	0.855929918801749	2	22	antiviral innate immune response	BP	1	1
GO:1901341	0.386509057657741	0.925833546780852	1	6	positive regulation of store-operated calcium channel activity	BP	1	1
GO:0033630	0.386823009329564	0.855683889640373	2	22	positive regulation of cell adhesion mediated by integrin	BP	1	1
GO:0021871	0.3870072904249	0.854922263197476	2	24	forebrain regionalization	BP	1	1
GO:0002155	0.38714756140928	0.923724109190394	1	7	regulation of thyroid hormone mediated signaling pathway	BP	1	1
GO:0006643	0.387240171982029	0.71211718558259	15	210	membrane lipid metabolic process	BP	1	1
GO:0031204	0.387307732608055	0.92228393119763	1	8	post-translational protein targeting to membrane, translocation	BP	1	1
GO:0044837	0.387580130670791	0.923536049632447	1	7	actomyosin contractile ring organization	BP	1	1
GO:0021575	0.387665291946523	0.795155724318396	4	45	hindbrain morphogenesis	BP	1	1
GO:0070201	0.387858416994512	0.67861681361543	35	527	regulation of establishment of protein localization	BP	1	1
GO:1903525	0.387941434430568	0.925224822089171	1	6	regulation of membrane tubulation	BP	1	1
GO:0046697	0.388092263682832	0.853939089889758	2	25	decidualization	BP	1	1
GO:0006573	0.388598575478959	0.92309217146462	1	7	valine metabolic process	BP	1	1
GO:0007130	0.388688954487631	0.854854895869449	2	21	synaptonemal complex assembly	BP	1	1
GO:0035768	0.388709951894973	0.919743843260324	1	10	endothelial cell chemotaxis to fibroblast growth factor	BP	1	1
GO:2000544	0.388709951894973	0.919743843260324	1	10	regulation of endothelial cell chemotaxis to fibroblast growth factor	BP	1	1
GO:0061762	0.388884253928803	0.922967381677597	1	7	CAMKK-AMPK signaling cascade	BP	1	1
GO:1901658	0.388887867685969	0.817653480885844	3	35	glycosyl compound catabolic process	BP	1	1
GO:2000181	0.389424353917686	0.742858938780876	8	151	negative regulation of blood vessel morphogenesis	BP	1	1
GO:0032289	0.389475805203349	0.924569390550091	1	6	central nervous system myelin formation	BP	1	1
GO:0060251	0.389658316743131	0.816375280055229	3	39	regulation of glial cell proliferation	BP	1	1
GO:0043525	0.389958876605866	0.792143056764391	4	55	positive regulation of neuron apoptotic process	BP	1	1
GO:0071677	0.390099590181711	0.774762119740544	5	73	positive regulation of mononuclear cell migration	BP	1	1
GO:0045471	0.390117926108167	0.7362356054877	9	129	response to ethanol	BP	1	1
GO:0060363	0.390500800517053	0.920865601603181	1	8	cranial suture morphogenesis	BP	1	1
GO:0010506	0.390543657978591	0.689225481248089	24	346	regulation of autophagy	BP	1	1
GO:0006082	0.390590080005284	0.659975298778173	63	962	organic acid metabolic process	BP	1	1
GO:0001955	0.390612731208441	0.920815601246927	1	8	blood vessel maturation	BP	1	1
GO:0044805	0.39062037135668	0.92220637024316	1	7	late nucleophagy	BP	1	1
GO:0019229	0.390665973092564	0.77499550410037	5	64	regulation of vasoconstriction	BP	1	1
GO:0014855	0.390681079594311	0.761752228742021	6	81	striated muscle cell proliferation	BP	1	1
GO:0060947	0.390900476896797	0.918746183022349	1	10	cardiac vascular smooth muscle cell differentiation	BP	1	1
GO:0071621	0.390928244190609	0.742110998921137	8	129	granulocyte chemotaxis	BP	1	1
GO:1901992	0.391077381894099	0.750879005874499	7	100	positive regulation of mitotic cell cycle phase transition	BP	1	1
GO:0036089	0.391200298173368	0.921951151828744	1	7	cleavage furrow formation	BP	1	1
GO:0032768	0.391654557664276	0.790724755865732	4	56	regulation of monooxygenase activity	BP	1	1
GO:0034614	0.391725380744853	0.728663550091623	10	149	cellular response to reactive oxygen species	BP	1	1
GO:2000322	0.391823059531571	0.92167651670521	1	7	regulation of glucocorticoid receptor signaling pathway	BP	1	1
GO:0038034	0.391872787441631	0.773768945897401	5	67	signal transduction in absence of ligand	BP	1	1
GO:0097192	0.391872787441631	0.773768945897401	5	67	extrinsic apoptotic signaling pathway in absence of ligand	BP	1	1
GO:0008627	0.392035554290186	0.920178346016631	1	8	intrinsic apoptotic signaling pathway in response to osmotic stress	BP	1	1
GO:0097017	0.392095207498801	0.921556316461529	1	7	renal protein absorption	BP	1	1
GO:0014009	0.3923007828164	0.790423370251536	4	54	glial cell proliferation	BP	1	1
GO:0031643	0.392403269974275	0.853849646085456	2	18	positive regulation of myelination	BP	1	1
GO:0033182	0.392527359567799	0.921365216507318	1	7	regulation of histone ubiquitination	BP	1	1
GO:0090324	0.392677740654001	0.918799666565965	1	9	negative regulation of oxidative phosphorylation	BP	1	1
GO:1901522	0.392709969523175	0.852255819461553	2	21	positive regulation of transcription from RNA polymerase II promoter involved in cellular response to chemical stimulus	BP	1	1
GO:2000489	0.392756160069994	0.921263925201069	1	7	regulation of hepatic stellate cell activation	BP	1	1
GO:0044237	0.392758596492462	0.630060932400656	610	10166	cellular metabolic process	BP	1	1
GO:0019530	0.393095674110573	0.921113474185748	1	7	taurine metabolic process	BP	1	1
GO:0019694	0.393095674110573	0.921113474185748	1	7	alkanesulfonate metabolic process	BP	1	1
GO:0046467	0.393153058946982	0.722518153435362	11	150	membrane lipid biosynthetic process	BP	1	1
GO:0032380	0.393162667718354	0.917708066015869	1	10	regulation of intracellular sterol transport	BP	1	1
GO:0032383	0.393162667718354	0.917708066015869	1	10	regulation of intracellular cholesterol transport	BP	1	1
GO:0044546	0.393198108335252	0.851560842759779	2	22	NLRP3 inflammasome complex assembly	BP	1	1
GO:0021954	0.393246233017633	0.749847519149812	7	85	central nervous system neuron development	BP	1	1
GO:0015914	0.393276896694767	0.741009005640398	8	104	phospholipid transport	BP	1	1
GO:0031114	0.393300594909248	0.815354584221252	3	31	regulation of microtubule depolymerization	BP	1	1
GO:1903903	0.393372098175296	0.922889329637685	1	6	regulation of establishment of T cell polarity	BP	1	1
GO:0030091	0.39346684259259	0.920948795968742	1	7	protein repair	BP	1	1
GO:0008202	0.393642747220902	0.691391828200394	21	323	steroid metabolic process	BP	1	1
GO:0060836	0.393718936253553	0.919420388184204	1	8	lymphatic endothelial cell differentiation	BP	1	1
GO:0001780	0.393742414304096	0.85200303875397	2	20	neutrophil homeostasis	BP	1	1
GO:1902807	0.39377488063377	0.758314667938299	6	98	negative regulation of cell cycle G1/S phase transition	BP	1	1
GO:0043300	0.393817728825078	0.78969733056771	4	50	regulation of leukocyte degranulation	BP	1	1
GO:0010719	0.393912513684889	0.812948534225681	3	41	negative regulation of epithelial to mesenchymal transition	BP	1	1
GO:0006111	0.394133323794845	0.789100886171053	4	53	regulation of gluconeogenesis	BP	1	1
GO:0035766	0.394161745158395	0.916533610973521	1	11	cell chemotaxis to fibroblast growth factor	BP	1	1
GO:1904847	0.394161745158395	0.916533610973521	1	11	regulation of cell chemotaxis to fibroblast growth factor	BP	1	1
GO:0046654	0.394340774353212	0.920560228489724	1	7	tetrahydrofolate biosynthetic process	BP	1	1
GO:0030011	0.394427738188501	0.851557796537735	2	20	maintenance of cell polarity	BP	1	1
GO:1904666	0.394571423577608	0.850004224919743	2	24	regulation of ubiquitin protein ligase activity	BP	1	1
GO:0048664	0.394659000230846	0.917017020403455	1	10	neuron fate determination	BP	1	1
GO:0010757	0.394667250024716	0.918991485921157	1	8	negative regulation of plasminogen activation	BP	1	1
GO:0045760	0.394680084350296	0.918985671743667	1	8	positive regulation of action potential	BP	1	1
GO:0023041	0.394764337528128	0.920371486389997	1	7	neuronal signal transduction	BP	1	1
GO:0014891	0.394801665031777	0.918930580963693	1	8	striated muscle atrophy	BP	1	1
GO:1990456	0.394971913614552	0.920278889722079	1	7	mitochondrion-endoplasmic reticulum membrane tethering	BP	1	1
GO:0035507	0.395359915974143	0.92010563170333	1	7	regulation of myosin-light-chain-phosphatase activity	BP	1	1
GO:0048318	0.39577401153884	0.917381894591168	1	9	axial mesoderm development	BP	1	1
GO:1903747	0.396134172627073	0.787887626872146	4	50	regulation of establishment of protein localization to mitochondrion	BP	1	1
GO:0032870	0.396187008272603	0.666701452786196	40	598	cellular response to hormone stimulus	BP	1	1
GO:0072678	0.396311692198155	0.769725987712981	5	73	T cell migration	BP	1	1
GO:0035360	0.396326983419196	0.91712712397175	1	9	positive regulation of peroxisome proliferator activated receptor signaling pathway	BP	1	1
GO:0014743	0.39633731840951	0.76977391120328	5	72	regulation of muscle hypertrophy	BP	1	1
GO:1901343	0.396392286401537	0.736838341811568	8	152	negative regulation of vasculature development	BP	1	1
GO:0006657	0.39656420751306	0.919566408454373	1	7	CDP-choline pathway	BP	1	1
GO:0048146	0.396928246381956	0.786913049465553	4	53	positive regulation of fibroblast proliferation	BP	1	1
GO:0014012	0.397063203535483	0.915899365241892	1	10	peripheral nervous system axon regeneration	BP	1	1
GO:0030856	0.397228012103775	0.723481600411621	10	164	regulation of epithelial cell differentiation	BP	1	1
GO:1902600	0.397415667865251	0.723446671062472	10	158	proton transmembrane transport	BP	1	1
GO:1903288	0.397615600156747	0.919093836427035	1	7	positive regulation of potassium ion import across plasma membrane	BP	1	1
GO:0002036	0.397703964262217	0.917608723534544	1	8	regulation of L-glutamate import across plasma membrane	BP	1	1
GO:0042439	0.398231910690438	0.917366870484288	1	8	ethanolamine-containing compound metabolic process	BP	1	1
GO:0072574	0.398283978478004	0.848230261878994	2	22	hepatocyte proliferation	BP	1	1
GO:0072575	0.398283978478004	0.848230261878994	2	22	epithelial cell proliferation involved in liver morphogenesis	BP	1	1
GO:1904396	0.398288416809272	0.918790537129662	1	7	regulation of neuromuscular junction development	BP	1	1
GO:0070900	0.39837571463278	0.916179059764313	1	9	mitochondrial tRNA modification	BP	1	1
GO:1900864	0.39837571463278	0.916179059764313	1	9	mitochondrial RNA modification	BP	1	1
GO:0046053	0.398376442659221	0.918750804667411	1	7	dAMP metabolic process	BP	1	1
GO:0071450	0.398501183164145	0.8474171042663	2	24	cellular response to oxygen radical	BP	1	1
GO:0071451	0.398501183164145	0.8474171042663	2	24	cellular response to superoxide	BP	1	1
GO:0051216	0.398519297833175	0.705132543507659	14	202	cartilage development	BP	1	1
GO:0098880	0.39855619113309	0.920618819474076	1	6	maintenance of postsynaptic specialization structure	BP	1	1
GO:2000831	0.398594516050314	0.847675388959426	2	23	regulation of steroid hormone secretion	BP	1	1
GO:0046395	0.399328170660433	0.695328904394372	17	245	carboxylic acid catabolic process	BP	1	1
GO:0034260	0.399506778533229	0.809468992664682	3	37	negative regulation of GTPase activity	BP	1	1
GO:0009221	0.399596596500199	0.916739704781447	1	8	pyrimidine deoxyribonucleotide biosynthetic process	BP	1	1
GO:1900180	0.399741868060952	0.721978995959755	10	136	regulation of protein localization to nucleus	BP	1	1
GO:0007602	0.399889114999585	0.785069796054476	4	49	phototransduction	BP	1	1
