group	member	n_taxa	n_pairs	mean_patristic_distance	status	error
Fungi	855834at2759.faa.mafft.clipkit.treefile	4	6	2.5456807801500001	ok	
Fungi	858842at2759.faa.mafft.clipkit.treefile	3	3	1.8560246582666666	ok	
Fungi	865202at2759.faa.mafft.clipkit.treefile	4	6	1.7292463459166667	ok	
Fungi	866359at2759.faa.mafft.clipkit.treefile	4	6	0.85503708746666662	ok	
Fungi	869548at2759.faa.mafft.clipkit.treefile	4	6	1.8137161844333332	ok	
Fungi	878143at2759.faa.mafft.clipkit.treefile	4	6	1.5230639838666666	ok	
Fungi	87842at2759.faa.mafft.clipkit.treefile	4	6	1.8598256931166668	ok	
Fungi	887370at2759.faa.mafft.clipkit.treefile	4	6	1.7936240491166666	ok	
Fungi	891751at2759.faa.mafft.clipkit.treefile	4	6	2.3071621701166669	ok	
Fungi	898782at2759.faa.mafft.clipkit.treefile	4	6	2.2209618738833332	ok	
Fungi	901894at2759.faa.mafft.clipkit.treefile	4	6	1.7333503108166666	ok	
Fungi	905026at2759.faa.mafft.clipkit.treefile	4	6	1.7686911280666668	ok	
Fungi	911863at2759.faa.mafft.clipkit.treefile	4	6	2.0354029436833332	ok	
Fungi	917326at2759.faa.mafft.clipkit.treefile	4	6	1.3733009997166665	ok	
Fungi	918816at2759.faa.mafft.clipkit.treefile	4	6	1.90507926095	ok	
Fungi	919955at2759.faa.mafft.clipkit.treefile	4	6	1.5072276001333333	ok	
Fungi	923657at2759.faa.mafft.clipkit.treefile	4	6	2.1811815775166665	ok	
Fungi	924753at2759.faa.mafft.clipkit.treefile	4	6	1.8279958533	ok	
Fungi	931188at2759.faa.mafft.clipkit.treefile	4	6	2.1353808210666667	ok	
Fungi	937275at2759.faa.mafft.clipkit.treefile	3	3	2.4910008344666665	ok	
Fungi	937686at2759.faa.mafft.clipkit.treefile	3	3	1.2552447785333334	ok	
Fungi	939345at2759.faa.mafft.clipkit.treefile	4	6	2.1211432808000001	ok	
Fungi	944899at2759.faa.mafft.clipkit.treefile	4	6	0.6120044969166667	ok	
Fungi	946128at2759.faa.mafft.clipkit.treefile	4	6	1.8682866349999998	ok	
Fungi	956854at2759.faa.mafft.clipkit.treefile	3	3	1.5928635082	ok	
Fungi	97116at2759.faa.mafft.clipkit.treefile	4	6	1.5273289059333333	ok	
Fungi	973442at2759.faa.mafft.clipkit.treefile	4	6	1.8439660878833333	ok	
Fungi	974865at2759.faa.mafft.clipkit.treefile	4	6	1.2751336016833335	ok	
Fungi	975158at2759.faa.mafft.clipkit.treefile	4	6	1.6630886949166666	ok	
Fungi	975557at2759.faa.mafft.clipkit.treefile	4	6	2.1082023058000003	ok	
Fungi	976469at2759.faa.mafft.clipkit.treefile	3	3	1.1909071283999999	ok	
Fungi	981902at2759.faa.mafft.clipkit.treefile	4	6	2.7195450858000001	ok	
Fungi	996662at2759.faa.mafft.clipkit.treefile	4	6	1.3109191007499998	ok	
