gene	SARS_CoV2_pos_Mild_T_cell	SARS_CoV2_pos_Severe_#2_T_cell	SARS_CoV2_pos_Severe_#2_neutrophil	SARS_CoV2_pos_Severe_#1_T_cell	SARS_CoV2_pos_Severe_#2_erythroid_lineage_cell	Control_#2_T_cell	Control_#1_T_cell	Control_#3_T_cell	SARS_CoV2_pos_Severe_#2_platelet	SARS_CoV2_pos_Severe_#2_B_cell	SARS_CoV2_pos_Severe_#1_neutrophil	SARS_CoV2_pos_Severe_#2_monocyte	SARS_CoV2_pos_Severe_#1_monocyte	SARS_CoV2_pos_Severe_#1_B_cell	SARS_CoV2_pos_Severe_#1_erythroid_lineage_cell	SARS_CoV2_pos_Mild_monocyte	Control_#3_neutrophil	SARS_CoV2_pos_Mild_B_cell	SARS_CoV2_pos_Severe_#3_T_cell	Control_#1_monocyte	SARS_CoV2_pos_Severe_#1_platelet	Control_#3_monocyte	Control_#2_monocyte	SARS_CoV2_pos_Mild_neutrophil	SARS_CoV2_pos_Mild_erythroid_lineage_cell	Control_#3_erythroid_lineage_cell	Control_#3_B_cell	Control_#2_neutrophil	Control_#3_platelet	Control_#2_B_cell	Control_#1_platelet	Control_#1_neutrophil	SARS_CoV2_pos_Severe_#3_B_cell	Control_#1_B_cell
PPP1R15A	988	1610	1104	1068	128	1378	1324	941	50	619	138	494	412	232	33	419	119	134	46	426	11	337	311	22	1	4	64	53	1	64	1	20	12	46
FTL	7550	6322	5846	3881	2953	3067	2526	2221	1973	1730	1106	17588	15293	1085	1187	13307	736	986	862	7552	444	8353	7164	451	226	117	231	204	157	228	111	57	184	135
BAX	419	472	14	446	10	179	176	137	22	101	6	210	166	78	0	160	4	31	42	120	7	83	81	1	0	0	9	1	2	10	3	0	10	5
UIMC1	160	105	25	117	115	70	68	51	78	52	7	39	57	37	10	41	2	30	12	38	14	24	34	1	1	1	5	0	4	11	3	0	3	10
ADD1	417	272	28	256	63	152	157	111	16	88	7	79	91	68	23	99	5	75	39	59	3	29	45	0	3	1	15	0	1	22	1	0	16	9
SF3B2	727	516	69	463	8	230	256	206	8	107	19	167	187	86	1	163	12	61	76	116	4	88	99	6	1	0	27	4	0	16	0	1	13	12
GNAS	3308	3048	286	2723	526	1425	1455	968	884	1056	49	781	769	646	198	671	28	374	305	523	295	387	419	14	23	13	106	3	108	95	76	2	91	72
FKBP1A	553	446	182	426	19	168	196	164	253	67	22	569	591	69	0	457	21	60	84	358	91	282	277	13	0	1	11	8	24	14	18	2	20	6
MAVS	249	79	11	98	5	64	74	55	13	17	5	19	58	22	0	86	3	22	14	54	8	29	37	2	0	0	1	1	3	2	3	1	8	2
DYNLL1	613	269	13	273	394	143	142	135	243	40	2	146	133	27	58	285	2	69	42	89	82	61	53	0	30	8	15	0	30	11	37	0	17	6
RPL6	15704	10679	28	8833	143	5253	5189	3994	19	2069	4	1666	1868	1643	18	2523	3	1360	1783	1374	2	1451	1184	0	8	2	346	4	1	246	1	0	308	161
P2RX7	860	414	90	677	20	520	521	395	1	87	46	110	239	91	2	202	19	75	53	233	2	125	136	14	0	0	34	6	0	29	0	13	10	14
ANAPC5	870	519	47	640	5	328	389	314	25	96	21	127	193	91	1	153	6	92	85	128	25	102	109	2	1	0	27	1	13	21	14	0	23	15
FUS	2234	1605	162	1477	22	1244	1046	646	9	355	21	355	400	283	3	279	21	176	164	226	0	190	175	14	0	1	67	3	0	53	1	1	47	36
IGBP1	531	413	21	279	10	170	135	136	10	89	3	98	98	49	6	99	0	54	51	84	4	59	67	4	0	0	8	0	2	10	3	0	6	5
FXYD5	1431	1071	25	786	9	410	491	362	93	113	3	310	276	67	1	335	1	87	179	187	37	194	162	1	2	1	29	0	0	18	4	1	12	11
MLF2	234	172	89	146	9	109	111	66	8	41	23	77	80	22	5	76	16	26	23	61	0	44	60	6	1	1	6	1	1	7	0	3	12	5
ARHGAP4	310	219	45	233	3	120	109	78	1	59	4	120	114	34	2	73	3	26	28	80	2	75	49	3	0	1	13	1	1	7	0	2	7	2
GPATCH2L	304	134	57	195	6	88	112	100	9	30	14	84	86	46	1	84	15	32	23	61	3	55	50	1	1	1	12	1	0	21	0	3	2	2
PAPOLA	778	603	132	574	66	367	304	236	41	156	9	280	252	136	18	246	11	88	62	180	2	130	137	9	7	3	38	2	2	32	4	3	17	13
YPEL3	776	462	324	474	672	370	383	234	38	105	63	125	171	92	180	153	61	105	88	102	8	90	84	26	59	31	24	4	0	19	1	3	15	11
NUDC	519	319	7	261	18	170	148	124	6	61	3	74	68	33	1	90	4	41	49	45	2	45	36	2	0	1	7	0	1	8	1	1	7	5
GNPTG	611	271	51	378	5	298	272	212	4	45	18	114	128	67	2	132	12	58	67	143	1	79	86	7	1	0	9	4	0	13	1	4	5	9
OSBPL8	682	498	315	483	12	288	287	205	31	82	40	296	257	77	2	281	21	54	53	151	8	137	141	19	0	0	15	3	0	22	1	3	8	8
TXNL1	380	271	26	238	134	120	125	87	28	59	8	91	71	55	19	90	5	37	44	36	5	28	36	3	2	3	5	0	1	6	0	1	2	3
CMTM6	299	429	239	289	3	142	126	101	127	158	57	435	335	95	0	372	58	74	38	251	38	176	201	19	0	1	17	10	10	25	4	6	9	9
CDV3	771	720	105	620	40	322	309	248	20	229	25	475	393	165	14	315	15	65	80	223	7	167	185	4	2	2	17	5	2	19	0	0	11	12
SCFD1	1030	619	80	768	12	467	384	301	6	202	30	336	333	172	14	261	11	99	85	221	3	171	168	2	0	0	23	1	0	27	0	1	17	14
HECTD1	586	343	17	470	10	255	214	203	6	106	6	132	177	90	6	145	5	68	43	90	0	67	56	1	1	1	23	2	0	14	1	1	18	9
HNRNPC	1584	1745	243	1375	63	817	763	632	35	440	31	474	445	246	11	420	34	143	128	307	6	240	229	22	0	1	50	9	3	47	2	6	29	32
SNAP23	154	86	48	85	13	67	58	42	268	44	2	91	89	40	0	106	11	45	20	69	59	50	50	2	0	1	6	3	10	10	15	0	7	3
MYL6	3170	3047	1075	2589	926	1378	1232	928	1865	480	76	2142	1552	238	378	1257	107	203	371	835	555	801	739	41	77	84	56	29	191	60	115	16	59	21
RFFL	1539	560	96	1010	15	515	590	432	2	138	42	133	306	155	5	293	27	146	176	183	1	111	142	12	0	1	35	8	0	43	1	7	43	18
MFSD11	266	151	36	224	5	137	174	74	7	33	12	46	63	39	1	69	2	25	24	61	3	39	41	1	0	0	7	2	0	8	0	1	7	4
LRRFIP2	127	94	25	96	29	43	44	46	44	27	10	91	79	22	3	50	1	15	9	45	11	29	60	3	0	0	6	2	3	4	3	0	3	3
WAC	682	463	193	552	55	307	331	227	18	185	57	262	260	132	14	231	35	70	50	165	4	163	111	16	4	1	20	3	0	18	1	8	13	7
HSP90AB1	2808	3207	13	2199	613	1476	1342	905	19	963	2	503	366	584	48	439	3	329	301	324	1	249	230	0	15	18	112	0	0	120	0	0	77	100
HNRNPH3	627	626	72	581	10	293	280	218	21	171	16	167	171	112	2	150	4	52	54	95	10	75	88	5	0	0	14	3	0	20	0	0	10	14
SH3GLB1	310	296	162	319	28	138	150	119	42	105	27	189	197	31	7	162	24	37	32	101	3	88	91	14	2	3	7	4	1	8	6	2	5	7
RAB18	350	319	55	240	13	174	174	131	5	59	6	97	99	54	1	93	6	26	44	60	2	51	34	3	0	0	9	5	0	6	0	0	6	9
MYO9B	291	162	100	220	1	137	128	93	5	54	23	189	258	70	0	224	17	26	35	147	0	108	133	2	0	0	12	4	1	8	0	2	10	5
KCNK6	1957	790	209	1278	13	782	828	553	11	193	69	235	539	215	5	483	48	214	192	353	5	241	276	21	0	1	51	3	3	56	8	10	45	43
CIRBP	1668	1391	32	1230	15	848	834	655	48	380	4	251	189	286	5	201	9	183	159	130	13	163	121	2	1	0	75	0	3	62	4	1	47	37
ATP5F1D	1814	1203	63	1238	41	653	710	518	33	244	32	297	394	210	12	408	19	186	172	248	10	200	215	6	2	0	44	6	4	37	2	5	49	34
HNRNPM	818	677	20	598	15	302	359	248	6	121	6	174	188	90	4	172	5	75	93	158	2	98	111	0	0	0	9	2	0	19	0	2	11	20
POLR2E	269	247	13	238	11	121	119	103	41	33	1	92	124	32	1	87	2	36	32	85	13	77	63	3	1	1	11	1	4	8	2	0	6	4
MKNK2	276	121	61	139	45	148	114	71	2	74	24	33	59	90	13	83	7	63	19	42	0	29	69	10	12	2	12	5	1	12	0	2	9	3
SF3A1	232	173	32	172	11	119	117	71	14	27	8	37	44	27	4	51	0	17	13	44	7	24	24	4	0	1	5	2	0	4	1	0	4	3
MAPK1	203	152	109	141	67	134	90	85	41	41	18	111	141	24	19	112	11	21	17	81	6	66	79	4	3	2	2	1	3	4	2	1	4	4
GRK3	806	255	31	412	4	152	199	114	9	110	7	116	290	115	1	268	8	132	109	124	5	102	118	5	0	0	15	2	1	35	1	2	33	14
TRIOBP	182	97	49	103	1	94	58	53	8	22	6	75	92	14	0	87	7	20	15	62	0	49	50	2	0	0	5	2	1	3	0	1	0	4
DDX17	2349	961	200	1041	61	694	853	632	24	316	38	252	314	283	12	432	38	271	171	304	7	187	204	23	2	2	79	5	0	55	2	7	35	45
JOSD1	346	383	32	469	9	215	242	166	16	73	5	72	66	71	0	54	10	23	34	51	3	41	67	4	1	0	6	1	1	11	0	1	3	9
FBXO7	280	244	23	271	704	124	160	74	19	81	3	72	98	53	351	79	2	24	24	70	4	45	45	1	68	55	9	0	0	3	1	0	7	2
CYB5R3	216	118	19	221	51	99	97	62	82	40	1	65	97	33	17	73	1	39	17	42	45	52	47	1	10	4	7	2	7	7	6	0	10	9
THOC5	497	245	51	333	2	232	231	160	2	46	19	83	106	50	3	80	21	41	36	75	3	64	59	5	0	3	19	4	0	12	0	6	11	7
TSPO	724	686	666	542	27	263	291	230	18	70	38	1221	1138	59	22	954	24	34	80	660	3	548	451	2	1	1	9	2	1	6	0	1	12	3
RPL3	24935	17040	12	13854	158	8791	9481	7461	19	3621	2	1283	1337	2493	16	2211	4	1982	2389	1343	5	1378	1132	0	5	1	565	1	0	383	2	1	529	267
APOL1	1155	577	97	873	12	504	594	369	1	136	49	173	297	145	3	244	35	148	107	231	0	165	184	14	0	0	34	8	1	39	0	4	28	17
MYH9	1351	729	300	1027	19	466	469	328	199	129	78	282	375	91	2	292	36	77	124	240	80	180	156	17	0	0	24	4	31	19	18	6	18	10
TNRC6B	1555	638	62	575	102	585	439	367	4	163	10	50	141	174	26	175	23	142	127	85	0	61	87	7	2	1	39	3	0	38	0	1	30	18
ST13	954	566	8	448	348	299	255	181	35	104	1	134	123	76	119	132	1	86	79	104	8	88	90	1	31	19	22	1	0	22	0	1	17	6
RBX1	639	371	31	437	487	186	175	134	192	78	0	185	138	44	148	218	4	65	67	91	70	94	80	0	37	20	12	0	5	9	18	0	16	3
EP300	355	229	209	261	83	186	169	135	8	75	44	208	246	65	15	175	24	34	25	177	3	131	139	11	2	1	8	5	0	15	0	13	11	11
DESI1	377	197	18	284	24	116	145	100	12	54	8	89	118	49	11	109	1	40	40	74	3	49	62	2	1	0	8	4	0	11	0	3	17	5
SOS2	179	159	90	124	5	91	100	44	7	32	18	66	82	22	0	70	21	29	14	43	1	44	47	5	0	1	5	2	1	2	1	1	3	4
NIN	460	227	110	259	3	234	157	99	14	106	24	103	178	103	0	152	15	68	36	96	1	80	78	17	0	0	11	5	4	16	0	4	5	11
ATP6V1D	501	295	87	464	115	283	304	189	20	59	27	115	111	44	36	123	18	46	31	118	1	72	73	7	6	8	13	5	1	18	1	0	4	6
DHRS7	496	299	149	310	2	201	157	133	16	46	26	137	147	22	0	163	30	32	48	64	8	86	63	9	0	0	3	2	0	4	0	1	7	3
PPM1A	166	140	56	174	211	87	73	52	54	32	19	54	67	19	72	58	8	18	15	48	24	33	27	3	16	10	2	3	1	5	4	2	3	6
HIF1A	263	299	746	277	12	109	139	83	16	97	113	460	468	73	0	247	77	44	21	264	5	164	154	40	0	1	16	16	0	15	3	12	6	15
SRSF5	3552	2270	258	2194	47	1453	1416	991	20	666	51	1201	711	483	4	723	46	321	211	573	2	506	478	27	1	0	82	9	2	90	2	6	53	46
EIF5	787	925	150	661	380	507	525	381	73	322	32	410	310	227	47	334	27	94	68	241	13	179	221	13	4	7	44	5	0	44	2	12	23	33
MTHFD1	2413	997	150	1659	17	961	967	757	7	251	55	227	512	276	3	398	48	249	238	322	1	222	223	15	2	1	54	8	2	59	0	7	59	33
VRK1	1317	565	34	741	18	470	506	342	0	166	18	88	181	222	2	176	14	187	94	119	0	82	104	11	2	0	43	2	1	41	0	2	28	28
YY1	791	549	71	535	61	329	328	216	38	125	15	184	205	105	13	200	7	62	67	148	15	121	112	4	2	0	26	1	1	23	2	0	10	10
TRIP11	1274	437	56	700	16	457	496	311	24	114	25	94	203	140	2	205	15	124	106	123	6	96	86	13	0	0	24	4	1	41	0	2	24	19
PABPN1	461	429	21	378	5	157	226	161	23	126	7	208	171	124	2	194	3	40	35	109	7	130	90	1	0	0	19	0	0	20	2	0	15	4
PSMA6	421	379	85	374	1	155	181	138	23	53	21	226	171	46	0	174	11	37	63	154	1	77	103	1	0	0	11	2	0	12	0	1	6	7
NFKBIA	1932	3401	6675	1255	82	3199	2483	1929	40	669	650	1498	1225	351	3	942	660	288	114	1116	0	1032	957	98	0	9	54	177	5	35	3	108	34	22
SEC23A	1104	508	48	709	5	451	460	299	7	130	32	164	233	102	1	245	17	103	101	180	1	125	153	13	0	1	32	2	0	24	1	3	28	10
RAB5IF	361	358	147	370	3	206	113	105	24	28	25	326	286	22	3	275	15	24	32	187	1	108	115	14	0	0	2	3	2	8	2	3	5	3
STK4	1965	1086	227	970	17	693	667	508	64	259	77	239	220	176	2	273	27	127	144	183	16	114	152	21	0	1	40	5	2	52	5	8	28	28
CTSZ	122	134	71	95	19	51	57	32	80	122	11	606	510	90	6	474	8	97	14	330	6	296	233	1	3	0	22	1	0	13	0	2	17	12
PSMA7	1260	884	59	1006	41	431	289	286	95	152	8	471	382	94	9	466	11	87	138	304	14	224	183	3	6	5	18	0	4	20	5	1	35	6
CSNK2A1	1268	644	74	842	33	501	497	389	7	152	27	178	312	163	8	265	16	119	110	182	0	133	149	7	0	0	44	5	1	31	0	4	36	15
CDS2	300	209	69	257	3	127	126	111	17	115	33	77	103	52	1	68	15	25	25	62	7	47	76	11	0	0	17	3	0	7	1	1	10	6
MAPRE1	290	282	43	325	1	154	124	104	29	65	5	128	111	35	0	116	3	17	27	79	12	59	48	5	0	0	4	2	2	7	2	0	7	3
CHMP4B	280	227	102	228	50	130	126	100	11	56	8	217	204	45	16	173	11	43	30	171	3	103	131	3	1	2	7	1	2	9	1	0	8	4
VAPA	778	666	208	486	38	263	304	205	136	167	52	325	304	100	7	288	29	60	80	201	28	146	172	18	0	2	20	4	5	29	13	1	15	13
LPIN2	457	219	38	246	285	141	131	116	10	4	9	14	41	12	98	27	6	6	39	20	9	20	19	4	9	19	1	3	2	2	3	1	1	2
SMCHD1	2381	1603	872	1646	21	1032	1192	739	7	734	264	266	416	552	2	392	162	280	156	314	0	210	223	131	2	1	102	46	0	140	0	51	47	61
MYL12A	4533	2907	599	2256	160	1546	1366	1139	1278	358	29	721	515	171	11	715	23	264	474	414	399	337	302	24	6	1	38	6	141	53	128	0	48	22
ANKRD12	2886	2061	276	2112	39	1280	1352	866	16	631	69	383	475	500	10	413	39	299	284	299	1	212	217	19	0	2	84	11	0	101	0	2	59	37
RIOK3	338	374	153	324	1357	189	166	105	251	111	44	444	302	80	251	227	14	36	25	200	60	165	128	12	101	75	10	4	18	11	15	2	7	6
MID1	1131	489	72	701	16	459	536	348	0	117	28	115	233	121	2	215	23	110	70	153	0	107	117	6	0	0	32	9	1	30	0	11	28	18
XIAP	1521	649	265	842	17	575	537	337	6	123	67	256	452	176	2	321	39	177	147	251	15	173	171	23	2	0	38	2	2	38	0	9	28	23
STAG2	725	405	93	523	64	291	280	175	29	95	18	108	162	94	24	186	10	72	59	114	8	82	106	7	8	1	14	5	1	13	1	2	15	4
PLP2	487	395	78	292	5	170	133	134	8	152	5	263	277	40	1	210	4	57	73	164	2	127	129	3	0	0	15	1	0	16	0	0	15	6
EMD	197	196	38	187	3	116	98	90	46	51	6	80	54	24	0	64	7	15	17	47	13	34	31	2	0	0	6	0	1	7	3	2	2	1
PGK1	1007	793	130	700	4	348	376	318	43	111	20	560	520	74	6	427	26	62	128	351	25	268	217	4	0	0	15	4	3	26	4	1	23	5
SMS	200	178	15	185	2	83	63	52	51	34	3	97	101	12	0	92	2	23	25	55	10	57	52	3	0	0	7	1	0	6	2	0	4	3
RBM3	1315	1028	37	988	15	643	677	479	7	334	7	320	317	211	3	429	3	138	111	385	3	323	251	0	1	0	49	2	1	55	0	1	28	31
STK24	250	152	35	170	10	90	93	76	58	46	3	104	117	31	1	123	4	27	19	78	16	51	45	1	1	0	10	1	4	6	6	0	4	6
SLC25A15	518	165	20	267	1	152	158	106	1	34	14	34	133	52	0	119	9	71	68	71	0	32	47	1	0	0	12	1	1	13	0	2	21	7
DGKH	535	186	15	291	6	162	144	98	13	19	5	26	81	33	1	97	7	41	89	34	2	34	46	6	1	0	7	0	0	3	1	0	13	7
INTS6	468	262	37	271	21	362	256	162	3	79	15	24	36	104	4	61	14	53	20	21	2	22	30	5	0	0	17	2	0	11	0	1	8	11
CORO1A	2664	1474	123	1732	5	672	550	491	13	213	15	668	456	141	2	667	27	220	352	361	3	373	302	16	0	1	35	5	0	44	0	2	50	10
PHKB	409	184	13	241	8	178	175	129	40	106	5	71	103	83	0	134	8	76	36	65	19	55	72	0	0	0	17	1	4	22	5	1	14	9
NFAT5	197	93	72	136	22	105	87	62	9	35	20	136	111	38	3	76	11	18	20	68	4	45	47	5	0	0	7	2	0	6	1	1	5	1
CTCF	477	251	23	287	4	133	148	107	4	36	5	60	59	26	2	67	2	35	46	43	1	30	26	4	0	0	13	2	1	7	1	0	9	6
SETD6	346	152	26	235	4	147	162	108	0	29	13	50	81	31	3	79	5	24	24	93	0	40	45	5	0	0	10	1	1	5	0	2	5	4
CMC2	438	325	12	520	12	203	174	133	31	48	9	72	90	44	4	97	3	38	22	47	3	36	63	2	0	0	6	0	2	3	3	2	8	2
COTL1	915	793	414	1612	16	346	296	232	235	171	97	1888	1678	109	2	1494	69	77	104	1137	56	1092	755	22	1	1	34	17	19	34	16	11	36	21
TSC2	1319	557	84	849	11	533	592	401	2	165	46	156	347	191	7	286	30	150	119	202	1	169	183	12	1	1	39	1	2	51	1	8	30	31
STUB1	468	330	7	291	7	159	153	131	29	52	2	78	92	45	3	77	2	38	53	59	10	53	32	3	0	0	6	0	2	7	3	1	6	2
GSPT1	424	421	1	453	1397	191	150	108	5	56	1	41	44	35	315	52	0	21	41	37	4	25	26	2	66	61	6	2	0	4	0	0	6	3
ELOB	1366	1310	203	1015	441	551	537	390	86	183	20	616	497	122	220	508	27	103	163	361	21	313	270	4	39	36	25	12	4	25	5	2	32	15
CSK	385	194	33	266	1	103	91	69	10	59	9	213	171	61	0	173	9	59	35	123	11	97	87	1	1	0	15	1	0	10	1	0	22	8
HERC1	409	287	19	280	68	186	157	94	21	54	4	49	91	53	24	63	1	30	26	39	4	44	61	1	3	2	10	0	1	8	2	0	4	7
RAB11A	242	218	73	190	13	93	75	84	278	35	8	103	73	14	3	80	4	29	25	45	72	46	38	4	0	0	7	2	7	6	14	1	8	1
ZNF106	308	210	110	231	1	123	105	83	12	63	22	228	356	32	0	256	7	50	23	198	1	106	141	4	1	0	9	1	1	9	0	1	2	3
BLOC1S6	2363	1488	182	1525	67	1046	1042	753	71	583	65	414	429	392	18	443	36	322	156	405	19	280	344	15	2	5	104	4	4	111	8	5	51	51
PLAT	1165	481	93	795	10	519	601	361	1	133	51	119	246	143	5	229	37	109	83	196	0	128	156	13	0	0	31	2	3	42	0	10	22	25
STK3	465	208	56	340	1	238	266	174	8	45	26	71	133	78	0	132	14	50	43	99	0	69	97	3	1	2	23	1	0	10	0	5	11	10
RAB2A	453	455	122	442	14	251	206	189	23	100	22	322	271	66	1	163	14	36	50	165	4	137	106	7	0	0	16	3	1	16	2	2	7	8
ERICH1	408	257	32	208	2	126	130	104	39	80	8	98	136	52	0	116	2	65	35	90	9	86	54	2	0	0	8	1	1	15	1	0	9	5
ASAH1	298	159	419	148	53	108	75	66	62	83	114	1008	774	63	10	586	50	49	23	596	29	543	520	23	0	0	13	4	20	14	4	9	5	3
BNIP3L	290	231	77	203	2735	132	126	82	54	61	26	152	221	30	852	209	16	21	26	125	19	120	113	14	165	137	6	4	3	11	3	2	5	8
CD37	1742	1205	265	948	16	592	539	437	25	1248	32	635	503	1015	3	605	21	986	139	304	7	275	291	19	0	0	259	11	0	232	0	6	154	107
OAZ1	2338	1839	858	1583	3435	968	790	703	3549	563	84	2336	2091	328	864	1887	123	372	293	1348	749	1132	960	39	264	198	79	20	244	92	233	11	85	37
C19orf53	940	656	34	595	26	307	357	234	20	109	11	166	178	76	5	163	2	82	116	116	3	89	62	2	1	0	17	0	1	18	0	0	15	10
FAM32A	230	186	30	154	5	87	74	60	14	36	6	169	118	29	0	77	6	18	26	67	3	39	37	3	0	0	5	1	4	5	2	0	4	4
PPP6R1	243	177	13	189	28	112	93	50	25	24	1	54	51	43	14	62	3	20	22	29	9	25	33	1	2	2	4	0	3	6	1	0	8	2
RPS16	17133	15008	133	11080	190	6518	6723	5244	20	3659	11	2238	2084	2529	19	2121	10	1566	1704	1453	3	1596	1386	5	4	4	445	5	1	408	0	3	377	229
HNRNPUL1	1627	1011	172	1263	17	724	901	571	12	207	60	223	394	255	6	344	36	170	121	287	3	187	205	17	1	0	53	7	4	54	0	5	41	28
TGFB1	719	611	208	698	10	430	400	249	524	74	30	204	337	59	2	313	20	50	77	224	181	151	162	10	0	0	10	3	55	8	60	3	8	6
RPS19	23677	22701	54	16806	251	9669	9625	8096	27	5601	15	4537	2791	4080	40	3358	5	2528	2494	1600	9	2220	1674	6	8	3	718	1	0	532	2	2	581	380
CDC37	514	426	16	358	7	194	181	141	43	63	2	104	103	64	5	109	1	49	57	98	19	63	62	0	0	0	3	1	4	14	4	2	9	2
NAPA	155	113	25	115	67	69	56	35	21	19	17	58	91	12	43	85	12	14	7	60	9	36	48	5	9	7	2	1	2	6	2	2	3	1
RABAC1	555	556	58	428	22	235	218	195	77	139	13	165	166	97	5	121	5	53	98	89	19	58	66	2	0	1	10	4	3	17	4	1	18	10
CYTH2	1363	503	80	858	22	491	535	386	29	138	42	173	252	138	3	266	19	116	121	222	7	138	163	10	0	2	29	1	0	27	0	1	33	20
CARD8	420	172	33	188	5	128	100	80	18	44	4	45	75	24	1	67	7	16	36	38	2	23	37	3	0	0	7	1	1	2	6	1	4	4
RPL18A	20866	15912	19	12344	237	7041	7686	5485	15	4406	3	2184	2208	3707	70	3096	1	2588	1956	1540	2	1849	1590	1	10	4	709	0	0	605	0	0	428	350
COPE	657	591	36	526	36	220	190	218	31	84	5	254	244	69	17	206	5	50	115	154	7	134	91	5	4	0	16	5	3	7	7	0	23	4
USF2	359	314	57	280	5	150	164	111	27	97	8	156	190	75	0	124	6	65	25	102	18	82	97	4	0	0	8	1	11	16	14	0	14	6
FKBP8	497	378	96	339	1527	182	182	143	118	52	24	120	147	42	579	131	14	29	47	70	49	67	57	18	121	98	15	4	27	10	9	2	10	4
NAMPT	669	1084	21755	989	198	547	717	433	217	225	6339	4155	6623	134	78	2779	3818	64	47	2962	1	1915	2664	1453	58	63	25	767	40	11	2	760	6	20
MTPN	586	591	152	460	70	297	233	241	458	361	21	588	410	225	36	351	16	157	41	247	93	280	208	6	0	2	39	6	48	52	39	0	27	33
ZC3HAV1	934	425	59	393	92	345	298	195	5	68	22	58	73	66	9	76	8	63	67	49	0	55	42	11	3	5	12	4	2	14	0	1	5	7
OGDH	322	127	24	171	7	79	98	72	2	23	11	47	75	33	6	91	5	20	34	32	2	35	36	5	2	1	4	3	2	2	0	1	11	3
H2AZ2	1055	1063	59	1094	19	453	465	380	6	79	6	209	206	76	7	172	8	79	91	104	2	100	94	9	0	1	24	2	0	16	0	1	9	2
DNAJB6	660	821	160	879	43	528	445	309	148	97	37	212	218	84	15	157	24	51	56	132	63	102	103	16	2	0	11	3	6	17	17	1	10	9
TAX1BP1	854	692	164	687	371	352	341	282	48	125	29	313	236	108	102	253	22	65	67	169	19	143	152	11	27	17	16	4	0	20	3	3	11	7
CHCHD2	2075	2162	81	1714	126	759	828	653	91	356	11	601	519	234	65	509	5	182	283	307	12	335	252	9	4	7	47	2	3	41	2	1	42	17
PDAP1	383	325	11	285	9	164	138	114	29	64	6	72	69	33	5	56	1	44	43	53	9	42	20	1	1	1	5	1	1	6	1	0	12	6
BUD31	321	371	89	365	33	169	141	122	25	84	11	128	90	52	5	94	11	39	20	74	1	46	41	8	0	1	7	1	1	9	1	1	13	7
C1GALT1	264	147	25	152	26	102	97	82	13	32	9	55	32	33	6	49	3	28	18	33	8	29	42	3	0	0	5	1	1	4	5	0	3	6
ZNHIT1	416	271	45	230	60	106	102	101	10	30	3	155	123	24	24	119	5	43	66	49	3	52	43	3	2	1	9	1	0	3	0	0	6	4
COA1	485	243	21	330	0	185	204	114	0	42	17	62	71	53	0	54	4	53	31	44	0	26	32	2	0	0	8	1	0	9	1	1	7	4
TMEM248	233	128	13	141	6	82	82	60	17	35	3	43	68	29	3	67	3	26	20	48	4	29	40	0	1	0	5	0	2	8	1	0	6	5
RHEB	258	216	21	203	11	86	81	67	91	49	3	132	115	32	2	107	3	19	15	65	17	56	54	1	0	1	7	0	2	10	6	1	5	2
PRKAG2	533	232	15	279	1	216	243	185	10	68	11	132	179	49	1	268	12	62	50	202	2	134	145	1	0	0	14	2	0	13	0	2	10	5
EIF4H	446	431	23	415	10	205	219	135	11	102	9	129	169	84	0	134	1	48	56	130	2	92	85	1	0	0	16	0	1	10	1	0	12	5
DNM1	232	86	26	141	1	86	71	69	3	25	8	23	58	33	0	54	8	19	13	36	3	23	30	2	0	0	8	2	1	3	0	1	5	6
BAG1	291	262	39	253	327	124	104	79	18	52	14	112	125	35	157	124	7	28	34	61	3	56	49	3	52	31	5	0	1	10	3	1	3	5
SETX	441	187	54	215	6	127	120	88	9	68	11	144	126	60	0	164	11	62	19	103	4	82	104	9	1	0	15	2	0	17	0	5	10	2
UBE2R2	275	133	215	130	17	97	91	68	26	41	50	227	219	28	6	209	38	27	22	161	2	153	128	10	1	0	9	9	1	3	1	2	4	5
ZFAND5	292	235	120	230	307	179	171	95	37	58	23	383	327	34	53	291	7	30	15	200	3	190	155	3	6	4	14	0	1	13	1	2	6	2
HPS1	165	147	16	152	92	59	56	67	8	34	4	74	76	29	30	56	3	15	19	43	0	39	29	1	14	13	9	0	0	3	0	0	1	5
ATE1	342	209	11	227	4	152	147	103	12	55	3	38	63	50	2	63	4	29	27	29	8	29	25	1	0	0	7	0	3	13	3	1	4	4
VSIR	346	134	275	127	2	86	69	61	16	6	59	644	536	15	1	409	51	11	26	297	7	277	219	22	0	2	0	8	4	3	2	7	3	0
GBF1	641	281	64	391	3	268	260	200	7	77	25	98	187	86	2	160	7	79	67	105	0	70	82	4	1	0	32	4	0	16	0	4	11	7
GTPBP4	1873	915	292	1221	17	718	853	586	6	241	88	311	552	211	2	398	65	175	159	381	0	259	261	21	2	3	40	7	0	54	0	7	32	38
MAP3K8	140	206	117	182	8	192	173	97	14	124	9	715	530	150	2	256	11	30	9	162	0	164	127	4	0	0	11	2	0	6	2	1	7	2
SHOC2	343	214	187	233	18	131	125	90	28	159	49	205	213	113	11	146	24	70	29	105	6	111	89	15	3	1	26	7	0	27	2	6	7	4
CCNY	190	162	47	136	3	103	100	79	45	34	6	89	133	34	1	160	16	21	18	104	14	75	93	6	0	0	4	4	3	12	5	0	1	2
