section	key	value
donor	donor23	"{""B_frac"": 0.0384, ""B_ifn"": 3.5189, ""Mono_frac"": 0.2707, ""Mono_ifn"": 3.4018, ""NK_frac"": 0.2923, ""NK_ifn"": 3.4628, ""Plasma_frac"": 0.041, ""Plasma_ifn"": 2.7635, ""Platelet_frac"": 0.0009, ""Platelet_ifn"": 1.964, ""T_frac"": 0.3568, ""T_ifn"": 3.2701, ""agg_all"": 1, ""agg_sig"": 0, ""cytotoxic_z"": 1.1009, ""disease_score"": -2.0422, ""hier_all"": 1, ""ifn_raw"": 3.413, ""ifn_z"": -0.936, ""inflam_raw"": 5.0669, ""inflam_z"": -1.1062, ""kmeans_all"": 1, ""kmeans_sig"": 0, ""library"": 38734658, ""n_cells"": 5762, ""pc1"": 0.5882, ""pc2"": 42.3142, ""plasma_z"": 1.1811, ""sig_pc1"": -3.5768}"
donor	donor24	"{""B_frac"": 0.0752, ""B_ifn"": 3.6544, ""Mono_frac"": 0.2107, ""Mono_ifn"": 3.9055, ""NK_frac"": 0.3137, ""NK_ifn"": 3.5486, ""Plasma_frac"": 0.0032, ""Plasma_ifn"": 3.1447, ""Platelet_frac"": 0.0004, ""Platelet_ifn"": 2.3856, ""T_frac"": 0.3968, ""T_ifn"": 3.4867, ""agg_all"": 0, ""agg_sig"": 0, ""cytotoxic_z"": 0.786, ""disease_score"": -0.84, ""hier_all"": 0, ""ifn_raw"": 3.7222, ""ifn_z"": -0.5636, ""inflam_raw"": 5.3347, ""inflam_z"": -0.2764, ""kmeans_all"": 0, ""kmeans_sig"": 0, ""library"": 33546557, ""n_cells"": 7828, ""pc1"": -28.9477, ""pc2"": -12.9125, ""plasma_z"": -0.7837, ""sig_pc1"": -1.4326}"
donor	donor25	"{""B_frac"": 0.0878, ""B_ifn"": 3.6355, ""Mono_frac"": 0.3677, ""Mono_ifn"": 3.6771, ""NK_frac"": 0.241, ""NK_ifn"": 3.7803, ""Plasma_frac"": 0.0035, ""Plasma_ifn"": 3.4011, ""Platelet_frac"": 0.001, ""Platelet_ifn"": 1.7482, ""T_frac"": 0.299, ""T_ifn"": 3.4081, ""agg_all"": 1, ""agg_sig"": 0, ""cytotoxic_z"": 0.2744, ""disease_score"": -0.1444, ""hier_all"": 1, ""ifn_raw"": 3.6873, ""ifn_z"": -0.5983, ""inflam_raw"": 5.8217, ""inflam_z"": 0.4539, ""kmeans_all"": 1, ""kmeans_sig"": 0, ""library"": 29171564, ""n_cells"": 6916, ""pc1"": 3.5828, ""pc2"": -9.7483, ""plasma_z"": -1.0349, ""sig_pc1"": -0.7012}"
donor	donor26	"{""B_frac"": 0.1221, ""B_ifn"": 5.3954, ""Mono_frac"": 0.2718, ""Mono_ifn"": 5.8606, ""NK_frac"": 0.2368, ""NK_ifn"": 5.1856, ""Plasma_frac"": 0.012, ""Plasma_ifn"": 4.1941, ""Platelet_frac"": 0.0012, ""Platelet_ifn"": 3.6485, ""T_frac"": 0.356, ""T_ifn"": 5.0417, ""agg_all"": 1, ""agg_sig"": 1, ""cytotoxic_z"": 0.3767, ""disease_score"": 1.5826, ""hier_all"": 1, ""ifn_raw"": 5.4648, ""ifn_z"": 1.5745, ""inflam_raw"": 5.7366, ""inflam_z"": 0.0082, ""kmeans_all"": 1, ""kmeans_sig"": 1, ""library"": 43645518, ""n_cells"": 10801, ""pc1"": 4.2979, ""pc2"": 3.17, ""plasma_z"": 0.3837, ""sig_pc1"": 4.1072}"
donor	donor27	"{""B_frac"": 0.1258, ""B_ifn"": 3.7121, ""Mono_frac"": 0.2386, ""Mono_ifn"": 3.9468, ""NK_frac"": 0.3074, ""NK_ifn"": 3.6226, ""Plasma_frac"": 0.003, ""Plasma_ifn"": 3.414, ""Platelet_frac"": 0.0002, ""Platelet_ifn"": 0.5613, ""T_frac"": 0.325, ""T_ifn"": 3.5554, ""agg_all"": 0, ""agg_sig"": 0, ""cytotoxic_z"": 0.5164, ""disease_score"": -0.5893, ""hier_all"": 0, ""ifn_raw"": 3.8, ""ifn_z"": -0.507, ""inflam_raw"": 5.3942, ""inflam_z"": -0.0822, ""kmeans_all"": 0, ""kmeans_sig"": 0, ""library"": 33433892, ""n_cells"": 8364, ""pc1"": -17.8676, ""pc2"": -18.8127, ""plasma_z"": -0.8281, ""sig_pc1"": -0.8826}"
donor	donor28	"{""B_frac"": 0.0776, ""B_ifn"": 3.6464, ""Mono_frac"": 0.6105, ""Mono_ifn"": 4.1647, ""NK_frac"": 0.1091, ""NK_ifn"": 3.804, ""Plasma_frac"": 0.0088, ""Plasma_ifn"": 3.1592, ""Platelet_frac"": 0.001, ""Platelet_ifn"": 1.5804, ""T_frac"": 0.193, ""T_ifn"": 3.5427, ""agg_all"": 1, ""agg_sig"": 0, ""cytotoxic_z"": -0.9611, ""disease_score"": 0.7816, ""hier_all"": 1, ""ifn_raw"": 4.0151, ""ifn_z"": -0.3385, ""inflam_raw"": 6.19, ""inflam_z"": 1.1202, ""kmeans_all"": 1, ""kmeans_sig"": 0, ""library"": 27602472, ""n_cells"": 6157, ""pc1"": 33.6555, ""pc2"": -11.0092, ""plasma_z"": -0.0496, ""sig_pc1"": 0.0365}"
donor	donor29	"{""B_frac"": 0.071, ""B_ifn"": 3.7106, ""Mono_frac"": 0.1664, ""Mono_ifn"": 4.0984, ""NK_frac"": 0.2015, ""NK_ifn"": 3.9439, ""Plasma_frac"": 0.0025, ""Plasma_ifn"": 3.4657, ""Platelet_frac"": 0.0004, ""Platelet_ifn"": 1.5742, ""T_frac"": 0.5582, ""T_ifn"": 3.5864, ""agg_all"": 0, ""agg_sig"": 0, ""cytotoxic_z"": 0.2538, ""disease_score"": -1.4625, ""hier_all"": 0, ""ifn_raw"": 3.8084, ""ifn_z"": -0.4952, ""inflam_raw"": 5.004, ""inflam_z"": -0.9673, ""kmeans_all"": 0, ""kmeans_sig"": 0, ""library"": 47629238, ""n_cells"": 10745, ""pc1"": -36.2707, ""pc2"": -4.3295, ""plasma_z"": -1.3028, ""sig_pc1"": -0.5884}"
donor	donor30	"{""B_frac"": 0.0349, ""B_ifn"": 4.3296, ""Mono_frac"": 0.8282, ""Mono_ifn"": 4.6171, ""NK_frac"": 0.0754, ""NK_ifn"": 4.0964, ""Plasma_frac"": 0.011, ""Plasma_ifn"": 3.4849, ""Platelet_frac"": 0.0, ""Platelet_ifn"": 0.0, ""T_frac"": 0.0505, ""T_ifn"": 3.9426, ""agg_all"": 1, ""agg_sig"": 0, ""cytotoxic_z"": -2.2836, ""disease_score"": 1.8702, ""hier_all"": 1, ""ifn_raw"": 4.5705, ""ifn_z"": 0.334, ""inflam_raw"": 6.4807, ""inflam_z"": 1.5362, ""kmeans_all"": 1, ""kmeans_sig"": 0, ""library"": 32099138, ""n_cells"": 5185, ""pc1"": 57.9457, ""pc2"": -29.4615, ""plasma_z"": -0.197, ""sig_pc1"": 1.3312}"
donor	donor31	"{""B_frac"": 0.0608, ""B_ifn"": 4.4263, ""Mono_frac"": 0.4603, ""Mono_ifn"": 4.8909, ""NK_frac"": 0.0731, ""NK_ifn"": 4.4441, ""Plasma_frac"": 0.027, ""Plasma_ifn"": 3.8814, ""Platelet_frac"": 0.0009, ""Platelet_ifn"": 3.9182, ""T_frac"": 0.3779, ""T_ifn"": 4.0266, ""agg_all"": 1, ""agg_sig"": 0, ""cytotoxic_z"": -1.3123, ""disease_score"": 1.0529, ""hier_all"": 1, ""ifn_raw"": 4.6119, ""ifn_z"": 0.4385, ""inflam_raw"": 6.0404, ""inflam_z"": 0.6144, ""kmeans_all"": 1, ""kmeans_sig"": 0, ""library"": 32210433, ""n_cells"": 5851, ""pc1"": 31.3379, ""pc2"": 0.5612, ""plasma_z"": 1.6414, ""sig_pc1"": 1.9731}"
donor	donor32	"{""B_frac"": 0.1171, ""B_ifn"": 3.9924, ""Mono_frac"": 0.2276, ""Mono_ifn"": 4.2635, ""NK_frac"": 0.1502, ""NK_ifn"": 3.8506, ""Plasma_frac"": 0.0033, ""Plasma_ifn"": 3.4939, ""Platelet_frac"": 0.0015, ""Platelet_ifn"": 2.8509, ""T_frac"": 0.5003, ""T_ifn"": 3.6577, ""agg_all"": 0, ""agg_sig"": 0, ""cytotoxic_z"": -0.7136, ""disease_score"": -0.4931, ""hier_all"": 0, ""ifn_raw"": 3.9813, ""ifn_z"": -0.2937, ""inflam_raw"": 5.3716, ""inflam_z"": -0.1994, ""kmeans_all"": 0, ""kmeans_sig"": 0, ""library"": 32681123, ""n_cells"": 7848, ""pc1"": -16.6757, ""pc2"": -17.9337, ""plasma_z"": -1.3988, ""sig_pc1"": -0.5086}"
donor	donor33	"{""B_frac"": 0.1305, ""B_ifn"": 6.1653, ""Mono_frac"": 0.2161, ""Mono_ifn"": 6.5481, ""NK_frac"": 0.1425, ""NK_ifn"": 6.1175, ""Plasma_frac"": 0.0064, ""Plasma_ifn"": 4.6297, ""Platelet_frac"": 0.0006, ""Platelet_ifn"": 1.8903, ""T_frac"": 0.504, ""T_ifn"": 6.057, ""agg_all"": 1, ""agg_sig"": 1, ""cytotoxic_z"": 0.4617, ""disease_score"": 2.9338, ""hier_all"": 1, ""ifn_raw"": 6.3032, ""ifn_z"": 2.7856, ""inflam_raw"": 5.7792, ""inflam_z"": 0.1482, ""kmeans_all"": 1, ""kmeans_sig"": 1, ""library"": 20623272, ""n_cells"": 5159, ""pc1"": 0.9678, ""pc2"": -6.1639, ""plasma_z"": -0.0403, ""sig_pc1"": 7.47}"
