rank	experiment	n_files	sum_flag_total	sum_stats_reads_mapped	files	bio_reps	flag_totals	mq0	sizes	hrefs
102	ENCSR752NTF	2	68422116	68422077	ENCFF250JPZ,ENCFF824FOA	1,1	34146551,34275565	0,0	1450095765,1467668760	https://www.encodeproject.org/files/ENCFF250JPZ/@@download/ENCFF250JPZ.bam,https://www.encodeproject.org/files/ENCFF824FOA/@@download/ENCFF824FOA.bam
103	ENCSR286WIA	2	68360141	68360084	ENCFF693WFN,ENCFF992HOZ	1,1	34086939,34273202	0,0	1588867746,1617025298	https://www.encodeproject.org/files/ENCFF693WFN/@@download/ENCFF693WFN.bam,https://www.encodeproject.org/files/ENCFF992HOZ/@@download/ENCFF992HOZ.bam
104	ENCSR468OVW	2	68355964	68355938	ENCFF125VOT,ENCFF154JIB	1,1	34238293,34117671	0,0	1519552227,1496439675	https://www.encodeproject.org/files/ENCFF125VOT/@@download/ENCFF125VOT.bam,https://www.encodeproject.org/files/ENCFF154JIB/@@download/ENCFF154JIB.bam
105	ENCSR694DOX	1	84549926	84549926	ENCFF515ADG	1	84549926	0	3844876450	https://www.encodeproject.org/files/ENCFF515ADG/@@download/ENCFF515ADG.bam
106	ENCSR932OSG	1	67940424	67940424	ENCFF943AFY	1	67940424	0	2922504612	https://www.encodeproject.org/files/ENCFF943AFY/@@download/ENCFF943AFY.bam
107	ENCSR332BSB	2	67804793	67804756	ENCFF855EOW,ENCFF914ZZA	1,1	33837312,33967481	0,0	1711966276,1738224032	https://www.encodeproject.org/files/ENCFF855EOW/@@download/ENCFF855EOW.bam,https://www.encodeproject.org/files/ENCFF914ZZA/@@download/ENCFF914ZZA.bam
108	ENCSR198UKY	1	67783342	67783342	ENCFF293MVC	1	67783342	0	3148980720	https://www.encodeproject.org/files/ENCFF293MVC/@@download/ENCFF293MVC.bam
109	ENCSR514QHN	2	67711410	67711358	ENCFF320RNH,ENCFF492WOW	1,1	33787724,33923686	0,0	1414551455,1437616159	https://www.encodeproject.org/files/ENCFF320RNH/@@download/ENCFF320RNH.bam,https://www.encodeproject.org/files/ENCFF492WOW/@@download/ENCFF492WOW.bam
110	ENCSR533VAF	2	67545259	67545119	ENCFF022BIA,ENCFF904LWW	1,1	33984338,33560921	0,0	1520572875,1493761609	https://www.encodeproject.org/files/ENCFF022BIA/@@download/ENCFF022BIA.bam,https://www.encodeproject.org/files/ENCFF904LWW/@@download/ENCFF904LWW.bam
111	ENCSR112AKE	1	85033226	85033226	ENCFF254MVQ	1	85033226	0	3678961061	https://www.encodeproject.org/files/ENCFF254MVQ/@@download/ENCFF254MVQ.bam
112	ENCSR198JXW	2	67376295	67376255	ENCFF292RWC,ENCFF691HJH	1,1	33765101,33611194	0,0	1713939763,1688200180	https://www.encodeproject.org/files/ENCFF292RWC/@@download/ENCFF292RWC.bam,https://www.encodeproject.org/files/ENCFF691HJH/@@download/ENCFF691HJH.bam
113	ENCSR283MZJ	1	67327780	67327780	ENCFF870ABZ	1	67327780	0	2847300642	https://www.encodeproject.org/files/ENCFF870ABZ/@@download/ENCFF870ABZ.bam
114	ENCSR729DRB	2	85287580	85287410	ENCFF188DIT,ENCFF985GDK	1,1	42923686,42363894	0,0	2089197750,2042197991	https://www.encodeproject.org/files/ENCFF188DIT/@@download/ENCFF188DIT.bam,https://www.encodeproject.org/files/ENCFF985GDK/@@download/ENCFF985GDK.bam
115	ENCSR346GIP	1	67017496	67017496	ENCFF968CXF	1	67017496	0	2916076198	https://www.encodeproject.org/files/ENCFF968CXF/@@download/ENCFF968CXF.bam
116	ENCSR290NGL	1	66924692	66924692	ENCFF728ZLL	1	66924692	0	3104150060	https://www.encodeproject.org/files/ENCFF728ZLL/@@download/ENCFF728ZLL.bam
117	ENCSR911YVV	2	85762325	85762250	ENCFF217SYQ,ENCFF640FXT	1,1	42738798,43023527	0,0	1923807813,1959466971	https://www.encodeproject.org/files/ENCFF217SYQ/@@download/ENCFF217SYQ.bam,https://www.encodeproject.org/files/ENCFF640FXT/@@download/ENCFF640FXT.bam
118	ENCSR928SYE	2	66683082	66683043	ENCFF427YKA,ENCFF641XHB	1,1	33265047,33418035	0,0	1537082575,1562452268	https://www.encodeproject.org/files/ENCFF427YKA/@@download/ENCFF427YKA.bam,https://www.encodeproject.org/files/ENCFF641XHB/@@download/ENCFF641XHB.bam
119	ENCSR000EOM	4	85981819	85980935	ENCFF025YVN,ENCFF393ZCH,ENCFF217AES,ENCFF904ELM	1,1,2,2	19277504,20703969,24002840,21997506	0,0,0,0	945546699,1003301940,1075864142,1005444268	https://www.encodeproject.org/files/ENCFF025YVN/@@download/ENCFF025YVN.bam,https://www.encodeproject.org/files/ENCFF393ZCH/@@download/ENCFF393ZCH.bam,https://www.encodeproject.org/files/ENCFF217AES/@@download/ENCFF217AES.bam,https://www.encodeproject.org/files/ENCFF904ELM/@@download/ENCFF904ELM.bam
120	ENCSR648RAX	2	66504888	66504814	ENCFF117UCU,ENCFF176AMR	1,1	33368145,33136743	0,0	1496204511,1467973608	https://www.encodeproject.org/files/ENCFF117UCU/@@download/ENCFF117UCU.bam,https://www.encodeproject.org/files/ENCFF176AMR/@@download/ENCFF176AMR.bam
121	ENCSR585CGU	2	66473086	66473027	ENCFF695PEK,ENCFF776ZTK	1,1	33342668,33130418	0,0	1581811095,1553790455	https://www.encodeproject.org/files/ENCFF695PEK/@@download/ENCFF695PEK.bam,https://www.encodeproject.org/files/ENCFF776ZTK/@@download/ENCFF776ZTK.bam
122	ENCSR619BNL	2	66472675	66472630	ENCFF161ZAX,ENCFF696DIP	1,1	33167191,33305484	0,0	1517909116,1539977749	https://www.encodeproject.org/files/ENCFF161ZAX/@@download/ENCFF161ZAX.bam,https://www.encodeproject.org/files/ENCFF696DIP/@@download/ENCFF696DIP.bam
123	ENCSR803VCR	2	66455290	66455255	ENCFF193WOS,ENCFF288UKL	1,1	33286100,33169190	0,0	1443675780,1420733760	https://www.encodeproject.org/files/ENCFF193WOS/@@download/ENCFF193WOS.bam,https://www.encodeproject.org/files/ENCFF288UKL/@@download/ENCFF288UKL.bam
124	ENCSR396ZIN	1	66358910	66358910	ENCFF288WLP	1	66358910	0	2533903906	https://www.encodeproject.org/files/ENCFF288WLP/@@download/ENCFF288WLP.bam
125	ENCSR420RWU	2	86214851	86214378	ENCFF255UMI,ENCFF501IRE	1,1	42068905,44145946	0,0	2006008043,2090960418	https://www.encodeproject.org/files/ENCFF255UMI/@@download/ENCFF255UMI.bam,https://www.encodeproject.org/files/ENCFF501IRE/@@download/ENCFF501IRE.bam
126	ENCSR453RFW	1	66340276	66340276	ENCFF692JSM	1	66340276	0	2654921675	https://www.encodeproject.org/files/ENCFF692JSM/@@download/ENCFF692JSM.bam
127	ENCSR726YMS	2	66338155	66338045	ENCFF430FMO,ENCFF740FBM	1,1	33352269,32985886	0,0	1688974396,1653980075	https://www.encodeproject.org/files/ENCFF430FMO/@@download/ENCFF430FMO.bam,https://www.encodeproject.org/files/ENCFF740FBM/@@download/ENCFF740FBM.bam
128	ENCSR303YII	2	66292772	66292729	ENCFF576XTM,ENCFF724ZYK	1,1	33067811,33224961	0,0	1548540190,1575044564	https://www.encodeproject.org/files/ENCFF576XTM/@@download/ENCFF576XTM.bam,https://www.encodeproject.org/files/ENCFF724ZYK/@@download/ENCFF724ZYK.bam
129	ENCSR757EPJ	2	86333252	86333219	ENCFF066IIT,ENCFF283QOO	1,1	43236514,43096738	0,0	2037165762,2003998664	https://www.encodeproject.org/files/ENCFF066IIT/@@download/ENCFF066IIT.bam,https://www.encodeproject.org/files/ENCFF283QOO/@@download/ENCFF283QOO.bam
130	ENCSR092OFK	2	66166068	66165735	ENCFF198CSA,ENCFF279XBP	1,1	32563147,33602921	0,0	1717171712,1773167118	https://www.encodeproject.org/files/ENCFF198CSA/@@download/ENCFF198CSA.bam,https://www.encodeproject.org/files/ENCFF279XBP/@@download/ENCFF279XBP.bam
131	ENCSR482HQE	2	86718543	86718513	ENCFF581AVY,ENCFF694HLO	1,1	43418823,43299720	0,0	1607546218,1585080997	https://www.encodeproject.org/files/ENCFF581AVY/@@download/ENCFF581AVY.bam,https://www.encodeproject.org/files/ENCFF694HLO/@@download/ENCFF694HLO.bam
132	ENCSR627UDJ	2	65798161	65797798	ENCFF341YKJ,ENCFF838LVF	1,1	33563924,32234237	0,0	1613340123,1555595982	https://www.encodeproject.org/files/ENCFF341YKJ/@@download/ENCFF341YKJ.bam,https://www.encodeproject.org/files/ENCFF838LVF/@@download/ENCFF838LVF.bam
133	ENCSR932DHT	2	65587957	65587896	ENCFF791WZV,ENCFF972PYS	1,1	32697329,32890628	0,0	1630193546,1659439906	https://www.encodeproject.org/files/ENCFF791WZV/@@download/ENCFF791WZV.bam,https://www.encodeproject.org/files/ENCFF972PYS/@@download/ENCFF972PYS.bam
134	ENCSR411MGY	2	87047466	87047386	ENCFF793SQU,ENCFF980AMQ	1,1	43388250,43659216	0,0	1930758405,1965584266	https://www.encodeproject.org/files/ENCFF793SQU/@@download/ENCFF793SQU.bam,https://www.encodeproject.org/files/ENCFF980AMQ/@@download/ENCFF980AMQ.bam
135	ENCSR649MJI	1	87133288	87133288	ENCFF138DUZ	1	87133288	0	3916094623	https://www.encodeproject.org/files/ENCFF138DUZ/@@download/ENCFF138DUZ.bam
136	ENCSR366EGE	2	65348563	65346325	ENCFF022ZDL,ENCFF926JRS	1,1	29297017,36051546	0,0	1360079282,1590542731	https://www.encodeproject.org/files/ENCFF022ZDL/@@download/ENCFF022ZDL.bam,https://www.encodeproject.org/files/ENCFF926JRS/@@download/ENCFF926JRS.bam
137	ENCSR856QJX	2	65267102	65266922	ENCFF022KTP,ENCFF485KBE	1,1	32314013,32953089	0,0	1522697911,1557462064	https://www.encodeproject.org/files/ENCFF022KTP/@@download/ENCFF022KTP.bam,https://www.encodeproject.org/files/ENCFF485KBE/@@download/ENCFF485KBE.bam
138	ENCSR507XBY	1	65007342	65007342	ENCFF809SGB	1	65007342	0	2651332849	https://www.encodeproject.org/files/ENCFF809SGB/@@download/ENCFF809SGB.bam
139	ENCSR332HAD	1	64998230	64998230	ENCFF686WEN	1	64998230	0	2713085427	https://www.encodeproject.org/files/ENCFF686WEN/@@download/ENCFF686WEN.bam
140	ENCSR540VTN	1	64951096	64951096	ENCFF096GHS	1	64951096	0	2605585263	https://www.encodeproject.org/files/ENCFF096GHS/@@download/ENCFF096GHS.bam
141	ENCSR000EOG	2	64911337	64911143	ENCFF032ZHQ,ENCFF282CQE	1,1	32824227,32087110	0,0	1501122777,1464041844	https://www.encodeproject.org/files/ENCFF032ZHQ/@@download/ENCFF032ZHQ.bam,https://www.encodeproject.org/files/ENCFF282CQE/@@download/ENCFF282CQE.bam
142	ENCSR000EQA	2	64823523	64823318	ENCFF012DKI,ENCFF350ADG	2,2	32100242,32723281	0,0	1367845683,1406447908	https://www.encodeproject.org/files/ENCFF012DKI/@@download/ENCFF012DKI.bam,https://www.encodeproject.org/files/ENCFF350ADG/@@download/ENCFF350ADG.bam
143	ENCSR000EID	2	87791784	87791784	ENCFF460PUA,ENCFF728NQI	1,1	86884437,907347	0,0	3024820226,38100486	https://www.encodeproject.org/files/ENCFF460PUA/@@download/ENCFF460PUA.bam,https://www.encodeproject.org/files/ENCFF728NQI/@@download/ENCFF728NQI.bam
144	ENCSR542GKI	1	64685974	64685974	ENCFF238UQP	1	64685974	0	2399136021	https://www.encodeproject.org/files/ENCFF238UQP/@@download/ENCFF238UQP.bam
145	ENCSR682PKY	2	64587421	64587327	ENCFF139RJL,ENCFF163TRX	1,1	32461525,32125896	0,0	1613805865,1580065382	https://www.encodeproject.org/files/ENCFF139RJL/@@download/ENCFF139RJL.bam,https://www.encodeproject.org/files/ENCFF163TRX/@@download/ENCFF163TRX.bam
146	ENCSR320PGJ	2	64479460	64479316	ENCFF685GEJ,ENCFF721PUH	1,1	32467350,32012110	0,0	1438584659,1411377886	https://www.encodeproject.org/files/ENCFF685GEJ/@@download/ENCFF685GEJ.bam,https://www.encodeproject.org/files/ENCFF721PUH/@@download/ENCFF721PUH.bam
147	ENCSR555TFE	2	88608547	88606186	ENCFF516IJI,ENCFF637MNL	1,1	40833343,47775204	0,0	1857644631,2108312381	https://www.encodeproject.org/files/ENCFF516IJI/@@download/ENCFF516IJI.bam,https://www.encodeproject.org/files/ENCFF637MNL/@@download/ENCFF637MNL.bam
148	ENCSR282QFE	2	63910422	63910267	ENCFF343DHM,ENCFF514GTX	1,1	31731786,32178636	0,0	1427205560,1460416529	https://www.encodeproject.org/files/ENCFF343DHM/@@download/ENCFF343DHM.bam,https://www.encodeproject.org/files/ENCFF514GTX/@@download/ENCFF514GTX.bam
149	ENCSR357RED	2	63877932	63877873	ENCFF620ARS,ENCFF689AWK	1,1	31862816,32015116	0,0	1362244750,1384796375	https://www.encodeproject.org/files/ENCFF620ARS/@@download/ENCFF620ARS.bam,https://www.encodeproject.org/files/ENCFF689AWK/@@download/ENCFF689AWK.bam
150	ENCSR648GDP	2	63874509	63872798	ENCFF149HFR,ENCFF328FOI	1,1	29591508,34283001	0,0	1366698843,1538829734	https://www.encodeproject.org/files/ENCFF149HFR/@@download/ENCFF149HFR.bam,https://www.encodeproject.org/files/ENCFF328FOI/@@download/ENCFF328FOI.bam
151	ENCSR659JPP	1	88837942	88837942	ENCFF486AEZ	1	88837942	0	3705616452	https://www.encodeproject.org/files/ENCFF486AEZ/@@download/ENCFF486AEZ.bam
152	ENCSR092WMD	2	63677869	63677813	ENCFF394BLL,ENCFF420TCF	1,1	31752245,31925624	0,0	1308886864,1326891358	https://www.encodeproject.org/files/ENCFF394BLL/@@download/ENCFF394BLL.bam,https://www.encodeproject.org/files/ENCFF420TCF/@@download/ENCFF420TCF.bam
153	ENCSR761ZFA	2	63467833	63467746	ENCFF102TYI,ENCFF170ADJ	1,1	31873572,31594261	0,0	1494642519,1468476928	https://www.encodeproject.org/files/ENCFF102TYI/@@download/ENCFF102TYI.bam,https://www.encodeproject.org/files/ENCFF170ADJ/@@download/ENCFF170ADJ.bam
154	ENCSR398CXD	1	63457414	63457414	ENCFF560EBB	1	63457414	0	2931511620	https://www.encodeproject.org/files/ENCFF560EBB/@@download/ENCFF560EBB.bam
155	ENCSR246PXX	2	89192219	89192128	ENCFF334LMK,ENCFF525YME	1,1	44752107,44440112	0,0	2240392759,2201553808	https://www.encodeproject.org/files/ENCFF334LMK/@@download/ENCFF334LMK.bam,https://www.encodeproject.org/files/ENCFF525YME/@@download/ENCFF525YME.bam
156	ENCSR869JYO	1	63333662	63333662	ENCFF217SLM	1	63333662	0	2685844998	https://www.encodeproject.org/files/ENCFF217SLM/@@download/ENCFF217SLM.bam
157	ENCSR545KQR	2	89235684	89235558	ENCFF093JOU,ENCFF821JWU	1,1	44846375,44389309	0,0	2057649659,2014510826	https://www.encodeproject.org/files/ENCFF093JOU/@@download/ENCFF093JOU.bam,https://www.encodeproject.org/files/ENCFF821JWU/@@download/ENCFF821JWU.bam
158	ENCSR643GHI	2	63106546	63106086	ENCFF263RQE,ENCFF793KAR	1,1	32253361,30853185	0,0	1335170574,1282670888	https://www.encodeproject.org/files/ENCFF263RQE/@@download/ENCFF263RQE.bam,https://www.encodeproject.org/files/ENCFF793KAR/@@download/ENCFF793KAR.bam
159	ENCSR453EVC	2	63052909	63052295	ENCFF389XNA,ENCFF569GII	1,1	32759008,30293901	0,0	1593377468,1487033789	https://www.encodeproject.org/files/ENCFF389XNA/@@download/ENCFF389XNA.bam,https://www.encodeproject.org/files/ENCFF569GII/@@download/ENCFF569GII.bam
160	ENCSR646JBR	1	89660794	89660794	ENCFF989COB	1	89660794	0	3919812597	https://www.encodeproject.org/files/ENCFF989COB/@@download/ENCFF989COB.bam
161	ENCSR763XBU	1	89688954	89688954	ENCFF277BCT	1	89688954	0	3966583620	https://www.encodeproject.org/files/ENCFF277BCT/@@download/ENCFF277BCT.bam
162	ENCSR156CLC	2	89759963	89759921	ENCFF107ZXF,ENCFF582VOY	1,1	44998462,44761501	0,0	1936837167,1910513243	https://www.encodeproject.org/files/ENCFF107ZXF/@@download/ENCFF107ZXF.bam,https://www.encodeproject.org/files/ENCFF582VOY/@@download/ENCFF582VOY.bam
163	ENCSR197ZNW	1	62775662	62775662	ENCFF721DXM	1	62775662	0	2680267105	https://www.encodeproject.org/files/ENCFF721DXM/@@download/ENCFF721DXM.bam
164	ENCSR114QAK	1	89788010	89788010	ENCFF037RUL	1	89788010	0	3747087205	https://www.encodeproject.org/files/ENCFF037RUL/@@download/ENCFF037RUL.bam
165	ENCSR600RAA	2	89989875	89989796	ENCFF280YWT,ENCFF906FBZ	1,1	45117164,44872711	0,0	2309423237,2271973663	https://www.encodeproject.org/files/ENCFF280YWT/@@download/ENCFF280YWT.bam,https://www.encodeproject.org/files/ENCFF906FBZ/@@download/ENCFF906FBZ.bam
166	ENCSR000EMI	4	90012161	90011433	ENCFF340AOJ,ENCFF895GQL,ENCFF233HFA,ENCFF474LBE	1,1,2,2	24362803,22734571,22421764,20493023	0,0,0,0	1250833726,1173003835,1041350074,967368115	https://www.encodeproject.org/files/ENCFF340AOJ/@@download/ENCFF340AOJ.bam,https://www.encodeproject.org/files/ENCFF895GQL/@@download/ENCFF895GQL.bam,https://www.encodeproject.org/files/ENCFF233HFA/@@download/ENCFF233HFA.bam,https://www.encodeproject.org/files/ENCFF474LBE/@@download/ENCFF474LBE.bam
167	ENCSR438TWI	2	62538976	62538894	ENCFF081IPQ,ENCFF153KUO	1,1	31153211,31385765	0,0	1449311827,1475830084	https://www.encodeproject.org/files/ENCFF081IPQ/@@download/ENCFF081IPQ.bam,https://www.encodeproject.org/files/ENCFF153KUO/@@download/ENCFF153KUO.bam
168	ENCSR502NDK	2	90076326	90076156	ENCFF497YUO,ENCFF645ZJZ	1,1	45241477,44834849	0,0	2043663525,2010940849	https://www.encodeproject.org/files/ENCFF497YUO/@@download/ENCFF497YUO.bam,https://www.encodeproject.org/files/ENCFF645ZJZ/@@download/ENCFF645ZJZ.bam
169	ENCSR828RNY	2	62474557	62474541	ENCFF453YEB,ENCFF822LXI	1,1	31194545,31280012	0,0	1384096174,1399272604	https://www.encodeproject.org/files/ENCFF453YEB/@@download/ENCFF453YEB.bam,https://www.encodeproject.org/files/ENCFF822LXI/@@download/ENCFF822LXI.bam
170	ENCSR965JHW	1	62355394	62355394	ENCFF207YBC	1	62355394	0	2629636689	https://www.encodeproject.org/files/ENCFF207YBC/@@download/ENCFF207YBC.bam
171	ENCSR033DQS	2	62277232	62277197	ENCFF718CPH,ENCFF951SGI	1,1	31203771,31073461	0,0	1469993651,1449139761	https://www.encodeproject.org/files/ENCFF718CPH/@@download/ENCFF718CPH.bam,https://www.encodeproject.org/files/ENCFF951SGI/@@download/ENCFF951SGI.bam
172	ENCSR861NUH	2	62097377	62097311	ENCFF481LFO,ENCFF765ERD	1,1	31168431,30928946	0,0	1559220386,1530138513	https://www.encodeproject.org/files/ENCFF481LFO/@@download/ENCFF481LFO.bam,https://www.encodeproject.org/files/ENCFF765ERD/@@download/ENCFF765ERD.bam
173	ENCSR859KGQ	2	62000118	62000072	ENCFF182JHA,ENCFF812HCM	1,1	30929648,31070470	0,0	1316131539,1336580779	https://www.encodeproject.org/files/ENCFF182JHA/@@download/ENCFF182JHA.bam,https://www.encodeproject.org/files/ENCFF812HCM/@@download/ENCFF812HCM.bam
174	ENCSR297ORG	2	90795634	90795565	ENCFF320WEE,ENCFF619YUY	1,1	45519591,45276043	0,0	2091135373,2054287287	https://www.encodeproject.org/files/ENCFF320WEE/@@download/ENCFF320WEE.bam,https://www.encodeproject.org/files/ENCFF619YUY/@@download/ENCFF619YUY.bam
175	ENCSR476SDZ	2	61694432	61694384	ENCFF155AZA,ENCFF897GMR	1,1	30903637,30790795	0,0	1492292823,1470733852	https://www.encodeproject.org/files/ENCFF155AZA/@@download/ENCFF155AZA.bam,https://www.encodeproject.org/files/ENCFF897GMR/@@download/ENCFF897GMR.bam
176	ENCSR000EJV	2	90964659	90964653	ENCFF691HJY,ENCFF730LDQ	1,1	45461602,45503057	0,0	1671569087,1696456770	https://www.encodeproject.org/files/ENCFF691HJY/@@download/ENCFF691HJY.bam,https://www.encodeproject.org/files/ENCFF730LDQ/@@download/ENCFF730LDQ.bam
177	ENCSR000ENF	2	90979201	90978332	ENCFF113PHZ,ENCFF425VFT	1,1	46863439,44115762	0,0	2001626330,1890651443	https://www.encodeproject.org/files/ENCFF113PHZ/@@download/ENCFF113PHZ.bam,https://www.encodeproject.org/files/ENCFF425VFT/@@download/ENCFF425VFT.bam
178	ENCSR154NOT	1	61513680	61513680	ENCFF879KDW	1	61513680	0	2669758230	https://www.encodeproject.org/files/ENCFF879KDW/@@download/ENCFF879KDW.bam
179	ENCSR655LUX	1	91058254	91058254	ENCFF878NXP	1	91058254	0	3700981014	https://www.encodeproject.org/files/ENCFF878NXP/@@download/ENCFF878NXP.bam
180	ENCSR232FAS	1	91061534	91061534	ENCFF852JWU	1	91061534	0	3525074213	https://www.encodeproject.org/files/ENCFF852JWU/@@download/ENCFF852JWU.bam
181	ENCSR490UQP	1	61359552	61359552	ENCFF465WGX	1	61359552	0	2976332143	https://www.encodeproject.org/files/ENCFF465WGX/@@download/ENCFF465WGX.bam
182	ENCSR301RCD	2	61324525	61324473	ENCFF646GPT,ENCFF799FPE	1,1	30585813,30738712	0,0	1343854772,1366195600	https://www.encodeproject.org/files/ENCFF646GPT/@@download/ENCFF646GPT.bam,https://www.encodeproject.org/files/ENCFF799FPE/@@download/ENCFF799FPE.bam
183	ENCSR218FJD	1	61203108	61203108	ENCFF285DGZ	1	61203108	0	2694934889	https://www.encodeproject.org/files/ENCFF285DGZ/@@download/ENCFF285DGZ.bam
184	ENCSR608AHQ	2	61163665	61163553	ENCFF186DCB,ENCFF655BJW	1,1	30732549,30431116	0,0	1388781852,1361921272	https://www.encodeproject.org/files/ENCFF186DCB/@@download/ENCFF186DCB.bam,https://www.encodeproject.org/files/ENCFF655BJW/@@download/ENCFF655BJW.bam
185	ENCSR582QEW	1	61118108	61118108	ENCFF309COD	1	61118108	0	2667126152	https://www.encodeproject.org/files/ENCFF309COD/@@download/ENCFF309COD.bam
186	ENCSR872IXQ	1	61059048	61059048	ENCFF984EJT	1	61059048	0	2498216194	https://www.encodeproject.org/files/ENCFF984EJT/@@download/ENCFF984EJT.bam
187	ENCSR320SVK	2	61055519	61055471	ENCFF939OLN,ENCFF983QHC	1,1	30452128,30603391	0,0	1440015872,1463481823	https://www.encodeproject.org/files/ENCFF939OLN/@@download/ENCFF939OLN.bam,https://www.encodeproject.org/files/ENCFF983QHC/@@download/ENCFF983QHC.bam
188	ENCSR428XAX	2	60991492	60991450	ENCFF151NWN,ENCFF803UUA	1,1	30579354,30412138	0,0	1541912692,1519070612	https://www.encodeproject.org/files/ENCFF151NWN/@@download/ENCFF151NWN.bam,https://www.encodeproject.org/files/ENCFF803UUA/@@download/ENCFF803UUA.bam
189	ENCSR986HEN	2	60914750	60914703	ENCFF259TWS,ENCFF288NSD	1,1	30549082,30365668	0,0	1484979782,1459632984	https://www.encodeproject.org/files/ENCFF259TWS/@@download/ENCFF259TWS.bam,https://www.encodeproject.org/files/ENCFF288NSD/@@download/ENCFF288NSD.bam
190	ENCSR328UMC	2	60860885	60860777	ENCFF292XIO,ENCFF993CDV	1,1	30271894,30588991	0,0	1349245791,1376497963	https://www.encodeproject.org/files/ENCFF292XIO/@@download/ENCFF292XIO.bam,https://www.encodeproject.org/files/ENCFF993CDV/@@download/ENCFF993CDV.bam
191	ENCSR111LTT	1	91741902	91741902	ENCFF108ELD	1	91741902	0	3593568115	https://www.encodeproject.org/files/ENCFF108ELD/@@download/ENCFF108ELD.bam
192	ENCSR947VPG	2	91868367	91868320	ENCFF171PLZ,ENCFF331BGG	1,1	46014082,45854285	0,0	2256388223,2221776819	https://www.encodeproject.org/files/ENCFF171PLZ/@@download/ENCFF171PLZ.bam,https://www.encodeproject.org/files/ENCFF331BGG/@@download/ENCFF331BGG.bam
193	ENCSR928PKL	1	91905680	91905680	ENCFF479FLN	1	91905680	0	3965273219	https://www.encodeproject.org/files/ENCFF479FLN/@@download/ENCFF479FLN.bam
194	ENCSR441MMO	2	60594392	60594367	ENCFF651UEB,ENCFF948LUN	1,1	30351300,30243092	0,0	1272613699,1257137822	https://www.encodeproject.org/files/ENCFF651UEB/@@download/ENCFF651UEB.bam,https://www.encodeproject.org/files/ENCFF948LUN/@@download/ENCFF948LUN.bam
195	ENCSR889ONK	1	92048454	92048454	ENCFF867MZF	1	92048454	0	3980831303	https://www.encodeproject.org/files/ENCFF867MZF/@@download/ENCFF867MZF.bam
196	ENCSR953JVX	2	60479631	60479599	ENCFF165CHM,ENCFF928GDL	1,1	30293825,30185806	0,0	1320099143,1298991433	https://www.encodeproject.org/files/ENCFF165CHM/@@download/ENCFF165CHM.bam,https://www.encodeproject.org/files/ENCFF928GDL/@@download/ENCFF928GDL.bam
197	ENCSR555DLG	1	60475542	60475542	ENCFF960LMQ	1	60475542	0	2659481287	https://www.encodeproject.org/files/ENCFF960LMQ/@@download/ENCFF960LMQ.bam
198	ENCSR962EAP	2	92136975	92136884	ENCFF483PTN,ENCFF502ZFV	1,1	46246603,45890372	0,0	2265399073,2224123226	https://www.encodeproject.org/files/ENCFF483PTN/@@download/ENCFF483PTN.bam,https://www.encodeproject.org/files/ENCFF502ZFV/@@download/ENCFF502ZFV.bam
199	ENCSR022ECC	2	60396028	60395937	ENCFF411CUP,ENCFF850HIE	1,1	30349718,30046310	0,0	1526351908,1495208553	https://www.encodeproject.org/files/ENCFF411CUP/@@download/ENCFF411CUP.bam,https://www.encodeproject.org/files/ENCFF850HIE/@@download/ENCFF850HIE.bam
200	ENCSR217YRJ	2	60373616	60373542	ENCFF057YLB,ENCFF214HKE	1,1	30057126,30316490	0,0	1344283302,1363388831	https://www.encodeproject.org/files/ENCFF057YLB/@@download/ENCFF057YLB.bam,https://www.encodeproject.org/files/ENCFF214HKE/@@download/ENCFF214HKE.bam
