# normalized ATAC accessibility diagnostic
# method=Pearson correlation of log1p(CPM) across 2430700 genomic windows
# chrom_chunks_observed=63	chrom_chunks_declared=63
# totals=Bladder:701506327,Brain:1168148790,Cloaca:484000505,GallBladder:565994637,Gill:1094125058,Heart:868549497,Intestine:699794434,Kidney:745602917,Limb:1147926115,Liver:398317869,Lung:877686879,Pancreas:1398702406,Prostate:973845979,Spleen:497829833,Stomach:455786546
pair	sample_a	sample_b	log1p_cpm_pearson
top_specific	Heart	chr2q_3	432370000	432380000	95873	4.712974	1.276921
top_specific	Heart	chr6q_3	71280000	71290000	9710	2.499759	1.269481
top_specific	Heart	chr5p_3	180030000	180040000	7431292	9.054503	1.255564
top_specific	Heart	chr1p_3	309060000	309070000	3880	1.698770	1.253387
top_specific	Heart	chr2p_1	59530000	59540000	1714173	7.588123	1.245149
top_specific	Heart	chr5p_2	331870000	331880000	6034	2.072822	1.209865
top_specific	Heart	chr7p_1	90540000	90550000	410020	6.159253	1.206172
top_specific	Heart	chr5q_1	378660000	378670000	5022	1.914280	1.182278
top_specific	Heart	chr4p_1	176940000	176950000	5302	1.960719	1.175570
top_specific	Heart	chr6q_3	71270000	71280000	3726	1.665801	1.164812
top_specific	Heart	chr4p_1	177670000	177680000	5345	1.967663	1.157433
top_specific	Heart	chr9q_2	421570000	421580000	4048	1.733538	1.149651
top_specific	Heart	chr12p	157670000	157680000	23444	3.331923	1.141823
top_specific	Heart	chr5q_1	378630000	378640000	5997	2.067447	1.122065
top_specific	Intestine	chr2q_3	432370000	432380000	112510	5.086211	1.676819
top_specific	Intestine	chr6p_1	260340000	260350000	1567552	7.714685	1.658216
top_specific	Intestine	chr2p_1	59530000	59540000	1997723	7.957082	1.640462
top_specific	Intestine	chr7p_1	90540000	90550000	495673	6.564296	1.640147
top_specific	Intestine	chr5p_3	180030000	180040000	8420545	9.395482	1.620899
top_specific	Intestine	chr2q_2	248040000	248050000	5248	2.139989	1.613768
top_specific	Intestine	chr5p_3	180040000	180050000	584462	6.728857	1.603030
top_specific	Intestine	chr6q_1	218320000	218330000	4124	1.930529	1.545346
top_specific	Intestine	chr6q_1	218330000	218340000	4082	1.921785	1.528864
top_specific	Intestine	chr6p_1	3660000	3670000	5567	2.192234	1.487734
top_specific	Intestine	chr2q_3	430550000	430560000	57696	4.424213	1.483651
top_specific	Intestine	chr5p_3	180020000	180030000	65814	4.554378	1.424607
top_specific	Intestine	chr5q_3	158010000	158020000	4223	1.950845	1.424514
top_specific	Intestine	chr2q_2	248490000	248500000	4965	2.091239	1.393452
top_specific	Intestine	chr4q_2	382630000	382640000	3516	1.795807	1.362281
top_specific	Intestine	chr6q_4	215800000	215810000	6994	2.397383	1.355842
top_specific	Intestine	chr2q_2	247990000	248000000	3942	1.892070	1.348900
top_specific	Intestine	chr3q_1	71000000	71010000	3393	1.766197	1.317800
top_specific	Intestine	chr2q_3	245940000	245950000	3467	1.784116	1.314566
top_specific	Intestine	chr6q_1	218310000	218320000	3894	1.881675	1.282843
top_specific	Intestine	chr11p	4620000	4630000	2478	1.513156	1.282105
top_specific	Intestine	chr13q	160940000	160950000	2717	1.585671	1.280315
top_specific	Intestine	chr4p_1	48660000	48670000	3893	1.881457	1.264721
top_specific	Intestine	chr2q_3	370270000	370280000	4793	2.060406	1.259811
top_specific	Intestine	chr3q_1	350000000	350010000	4036	1.912118	1.255141
top_specific	Kidney	chr3p_1	343720000	343730000	5061	2.052558	1.279845
top_specific	Kidney	chr2p_3	367160000	367170000	6900	2.327693	1.138941
top_specific	Kidney	chr3p_1	96160000	96170000	3156	1.654950	1.054515
top_specific	Kidney	chr13q	476080000	476090000	4219	1.895895	1.031657
top_specific	Kidney	chr3p_1	108240000	108250000	2754	1.546212	0.978260
top_specific	Kidney	chr3p_1	101680000	101690000	3306	1.692675	0.954478
top_specific	Kidney	chr12q_2	195090000	195100000	1641	1.163433	0.891988
top_specific	Kidney	chr8p_1	40770000	40780000	2683	1.525715	0.880193
top_specific	Kidney	chr4q_3	12110000	12120000	3134	1.649295	0.871774
top_specific	Kidney	chr3p_1	108110000	108120000	2193	1.371496	0.865518
top_specific	Kidney	chr13q	478370000	478380000	2642	1.513685	0.857019
top_specific	Kidney	chr12q_2	195000000	195010000	1467	1.087732	0.819974
top_specific	Kidney	chr3p_1	105040000	105050000	1729	1.199642	0.808618
top_specific	Kidney	chr3p_1	273340000	273350000	2218	1.379968	0.807135
top_specific	Kidney	chr3p_1	108260000	108270000	1815	1.233805	0.806921
top_specific	Kidney	chr3p_1	101950000	101960000	1945	1.283327	0.801467
top_specific	Kidney	chr6q_1	178740000	178750000	10358	2.700832	0.790594
top_specific	Kidney	chr3p_1	105180000	105190000	1692	1.184577	0.787790
top_specific	Kidney	chr3p_1	108160000	108170000	1711	1.192342	0.784695
top_specific	Kidney	chr3p_1	108590000	108600000	2057	1.324111	0.782431
top_specific	Kidney	chr5p_2	410110000	410120000	1911	1.270610	0.776202
top_specific	Kidney	chr3p_1	105330000	105340000	1638	1.162175	0.776035
top_specific	Kidney	chr1q_1	201850000	201860000	1250	0.984508	0.773499
top_specific	Kidney	chr3p_1	99380000	99390000	2472	1.462199	0.773051
top_specific	Kidney	chr13q	478380000	478390000	2885	1.582961	0.767358
top_specific	Limb	chr3p_1	96160000	96170000	5853	1.808086	1.218589
top_specific	Limb	chr3p_1	101680000	101690000	6008	1.829984	1.101595
top_specific	Limb	chr1q_1	441860000	441870000	4747	1.636135	1.067919
top_specific	Limb	chr3p_1	99380000	99390000	5020	1.681406	1.007916
top_specific	Limb	chr13q	55750000	55760000	13372	2.537565	0.999687
top_specific	Limb	chr2p_3	367160000	367170000	9100	2.189118	0.990468
top_specific	Limb	chr13p	185510000	185520000	4229	1.544160	0.989801
top_specific	Limb	chr6q_4	106810000	106820000	6204	1.857005	0.971359
top_specific	Limb	chr6q_1	178740000	178750000	19037	2.866979	0.968609
top_specific	Limb	chr3p_1	106740000	106750000	5031	1.683188	0.950221
top_specific	Limb	chr13q	478370000	478380000	4536	1.599685	0.949163
top_specific	Limb	chr13q	476080000	476090000	5863	1.809513	0.939105
top_specific	Limb	chr13q	478380000	478390000	5403	1.741649	0.937381
top_specific	Limb	chr3p_1	108590000	108600000	3724	1.445532	0.912526
top_specific	Limb	chr6q_4	106820000	106830000	6174	1.852916	0.890790
top_specific	Limb	chr3p_1	108240000	108250000	3804	1.461820	0.887840
top_specific	Limb	chr2p_1	285950000	285960000	5099	1.694133	0.883777
top_specific	Limb	chr5q_2	309380000	309390000	3432	1.383726	0.879643
top_specific	Limb	chr3p_1	108880000	108890000	8052	2.081239	0.864943
top_specific	Limb	chr9q_1	35510000	35520000	9525	2.229753	0.863712
top_specific	Limb	chr3q_1	240630000	240640000	3586	1.416798	0.836083
top_specific	Limb	chr4q_2	379440000	379450000	3720	1.444711	0.818608
top_specific	Limb	chr1q_1	441870000	441880000	2468	1.147391	0.818146
top_specific	Limb	chr13q	306240000	306250000	2263	1.089027	0.805275
top_specific	Limb	chr2p_1	380460000	380470000	3806	1.462223	0.795785
top_specific	Liver	chr6p_1	267170000	267180000	11305	3.380377	2.863001
top_specific	Liver	chr6q_1	291870000	291880000	9313	3.193797	2.827902
top_specific	Liver	chr6q_1	291850000	291860000	5689	2.726712	2.441011
top_specific	Liver	chr6q_1	291810000	291820000	5579	2.708477	2.397197
top_specific	Liver	chr6q_1	291840000	291850000	5250	2.651863	2.329750
top_specific	Liver	chr6q_1	291860000	291870000	4356	2.479558	2.260216
top_specific	Liver	chr6q_1	291830000	291840000	4588	2.527203	2.202728
top_specific	Liver	chr13q	188890000	188900000	5092	2.623491	2.169089
top_specific	Liver	chr2p_1	59530000	59540000	1861443	8.449826	2.168402
top_specific	Liver	chr13q	189140000	189150000	5092	2.623491	2.167496
top_specific	Liver	chr2q_3	432370000	432380000	100358	5.533210	2.155746
top_specific	Liver	chr7p_1	90540000	90550000	455048	7.041783	2.151740
top_specific	Liver	chr6q_2	348410000	348420000	4771	2.563246	2.145198
top_specific	Liver	chr5p_3	180040000	180050000	547896	7.227317	2.137094
top_specific	Liver	chr6p_1	260340000	260350000	1382540	8.152471	2.127272
top_specific	Liver	chr5p_3	180030000	180040000	7421405	9.832682	2.089328
top_specific	Liver	chr2q_3	430550000	430560000	57992	4.987655	2.087340
top_specific	Liver	chr5p_3	180020000	180030000	66380	5.121883	2.032648
top_specific	Liver	chr10p_3	66830000	66840000	3381	2.250048	1.995543
top_specific	Liver	chr6q_1	291820000	291830000	3545	2.292527	1.993084
top_specific	Liver	chr9p	8840000	8850000	3351	2.242079	1.939632
top_specific	Liver	chr14p	61180000	61190000	5151	2.634180	1.898899
top_specific	Liver	chr5p_3	335250000	335260000	8750	3.134075	1.896583
top_specific	Liver	chr7p_2	79850000	79860000	2966	2.133730	1.866990
top_specific	Liver	chr6q_2	348660000	348670000	3263	2.218328	1.770778
top_specific	Lung	chr3q_3	508700000	508710000	6336	2.106446	1.839414
top_specific	Lung	chr13q	475500000	475510000	5169	1.929976	1.576032
top_specific	Lung	chr2q_3	458050000	458060000	6685	2.153692	1.365691
top_specific	Lung	chr2p_2	186450000	186460000	6504	2.129468	1.311683
top_specific	Lung	chr13q	476080000	476090000	6115	2.075330	1.223909
top_specific	Lung	chr9q_1	111920000	111930000	4520	1.816436	1.160678
top_specific	Lung	chr2q_3	458320000	458330000	4089	1.733218	1.156874
top_specific	Lung	chr2p_2	186670000	186680000	5033	1.907227	1.106222
top_specific	Lung	chr10q	313530000	313540000	2938	1.469586	1.076375
top_specific	Lung	chr2q_2	231490000	231500000	2804	1.433836	1.024739
top_specific	Lung	chr10q	313520000	313530000	2511	1.350908	1.020241
top_specific	Lung	chr2q_3	458130000	458140000	3225	1.542107	1.019740
top_specific	Lung	chr8q_1	259080000	259090000	2241	1.267877	1.014977
top_specific	Lung	chr2q_2	231500000	231510000	3634	1.637136	1.009940
top_specific	Lung	chr6p_1	21560000	21570000	5096	1.917830	1.002685
top_specific	Lung	chr10q	313550000	313560000	4030	1.721268	0.995420
top_specific	Lung	chr9q_2	494690000	494700000	12363	2.713760	0.968720
top_specific	Lung	chr13q	475630000	475640000	2342	1.299749	0.967056
top_specific	Lung	chr2p_2	186660000	186670000	3810	1.675405	0.959230
top_specific	Lung	chr9q_1	111930000	111940000	2915	1.463540	0.954536
top_specific	Lung	chr7p_1	229290000	229300000	2285	1.281887	0.943485
top_specific	Lung	chr3q_2	355600000	355610000	3447	1.594805	0.928112
top_specific	Lung	chr10p_2	193880000	193890000	3125	1.517431	0.923875
top_specific	Lung	chr2q_3	458210000	458220000	4069	1.729183	0.914922
top_specific	Lung	chr6p_1	21580000	21590000	2368	1.307792	0.913608
top_specific	Pancreas	chr1q_2	46940000	46950000	56073	3.715748	2.604815
top_specific	Pancreas	chr12q_2	253100000	253110000	18653	2.662769	2.327037
top_specific	Pancreas	chr13p	222080000	222090000	15362	2.483492	2.233783
top_specific	Pancreas	chr12q_2	253090000	253100000	15608	2.498063	2.204129
top_specific	Pancreas	chr12q_2	252740000	252750000	16057	2.524121	2.196560
top_specific	Pancreas	chr3p_1	27990000	28000000	17135	2.584046	2.168782
top_specific	Pancreas	chr8q_1	206350000	206360000	14451	2.427606	2.148937
top_specific	Pancreas	chr1q_2	46950000	46960000	37559	3.326932	2.132111
top_specific	Pancreas	chr1p_3	22280000	22290000	16213	2.533019	2.109238
top_specific	Pancreas	chr2q_2	155300000	155310000	21502	2.795623	2.102552
top_specific	Pancreas	chr1p_3	22240000	22250000	13837	2.388097	2.061881
top_specific	Pancreas	chr8q_1	206340000	206350000	12649	2.306914	2.048245
top_specific	Pancreas	chr3p_1	26500000	26510000	15319	2.480923	2.036384
top_specific	Pancreas	chr10p_3	313490000	313500000	12555	2.300200	2.030534
top_specific	Pancreas	chr3p_1	26640000	26650000	14496	2.430441	2.022306
top_specific	Pancreas	chr3q_1	457520000	457530000	13656	2.376145	2.010377
top_specific	Pancreas	chr3p_1	26570000	26580000	13506	2.366132	2.008856
top_specific	Pancreas	chr12q_2	253080000	253090000	13530	2.367741	1.975301
top_specific	Pancreas	chr8p_1	63500000	63510000	12576	2.301704	1.949895
top_specific	Pancreas	chr8q_1	206120000	206130000	11436	2.216608	1.944890
top_specific	Pancreas	chr10p_3	229080000	229090000	11472	2.219409	1.922058
top_specific	Pancreas	chr10p_3	229070000	229080000	10970	2.179624	1.919764
top_specific	Pancreas	chr3p_1	27900000	27910000	21740	2.805962	1.899614
top_specific	Pancreas	chr3p_1	26580000	26590000	12947	2.327905	1.898980
top_specific	Pancreas	chr8p_1	63510000	63520000	11548	2.225296	1.898694
top_specific	Prostate	chr4p_1	43650000	43660000	20444	3.090727	2.723354
top_specific	Prostate	chr6q_4	383620000	383630000	18116	2.975659	2.654975
top_specific	Prostate	chr4p_1	43660000	43670000	17407	2.937811	2.634072
top_specific	Prostate	chr4p_1	43640000	43650000	17604	2.948472	2.615769
top_specific	Prostate	chr1p_3	166490000	166500000	17294	2.931645	2.615702
top_specific	Prostate	chr6q_4	383630000	383640000	16578	2.891661	2.610979
top_specific	Prostate	chr1q_1	451420000	451430000	18107	2.975187	2.609747
top_specific	Prostate	chr1p_3	166650000	166660000	17128	2.922516	2.594314
top_specific	Prostate	chr6q_4	383640000	383650000	16284	2.874769	2.591257
top_specific	Prostate	chr6q_4	383730000	383740000	16948	2.912523	2.584174
top_specific	Prostate	chr1q_1	451410000	451420000	17184	2.925605	2.578214
top_specific	Prostate	chr6q_4	383600000	383610000	16051	2.861176	2.570044
top_specific	Prostate	chr1p_3	166480000	166490000	16986	2.914641	2.569191
top_specific	Prostate	chr1p_3	166640000	166650000	16483	2.886234	2.565196
top_specific	Prostate	chr6q_4	383760000	383770000	15578	2.833000	2.564064
top_specific	Prostate	chr6q_4	383710000	383720000	16863	2.907768	2.563352
top_specific	Prostate	chr1q_1	451350000	451360000	16355	2.878875	2.561595
top_specific	Prostate	chr6q_4	383610000	383620000	15590	2.833724	2.560979
top_specific	Prostate	chr1p_3	166470000	166480000	16332	2.877546	2.547888
top_specific	Prostate	chr1p_3	166680000	166690000	16377	2.880143	2.543206
top_specific	Prostate	chr1p_3	166690000	166700000	16929	2.911462	2.540110
top_specific	Prostate	chr1p_3	166520000	166530000	16745	2.901131	2.537328
top_specific	Prostate	chr1q_1	451430000	451440000	16911	2.910456	2.528171
top_specific	Prostate	chr6q_4	383690000	383700000	17025	2.916810	2.512533
top_specific	Prostate	chr1q_1	451440000	451450000	16031	2.860000	2.511586
top_specific	Spleen	chr3p_1	99380000	99390000	4618	2.329837	1.702663
top_specific	Spleen	chr3p_1	101680000	101690000	4701	2.345931	1.654395
top_specific	Spleen	chr13q	478380000	478390000	4256	2.256448	1.488951
top_specific	Spleen	chr3p_1	108880000	108890000	5973	2.564801	1.383046
top_specific	Spleen	chr13q	36950000	36960000	2130	1.663655	1.375714
top_specific	Spleen	chr7p_1	49750000	49760000	2360	1.747559	1.338766
top_specific	Spleen	chr3p_2	233770000	233780000	2916	1.925332	1.294189
top_specific	Spleen	chr6p_1	440610000	440620000	3021	1.955625	1.291907
top_specific	Spleen	chr9p	339900000	339910000	4255	2.256237	1.287062
top_specific	Spleen	chr3p_2	233790000	233800000	3221	2.010906	1.273321
top_specific	Spleen	chr3p_1	96160000	96170000	2697	1.859031	1.273173
top_specific	Spleen	chr2q_3	458050000	458060000	3369	2.049932	1.254520
top_specific	Spleen	chr13q	36930000	36940000	2262	1.712666	1.254190
top_specific	Spleen	chr6q_4	361760000	361770000	3585	2.104287	1.246857
top_specific	Spleen	chr5q_2	121600000	121610000	2486	1.790705	1.244802
top_specific	Spleen	chr14p	71440000	71450000	2203	1.691056	1.235193
top_specific	Spleen	chr13p	212770000	212780000	2655	1.845797	1.227993
top_specific	Spleen	chr13p	225790000	225800000	2882	1.915322	1.216370
top_specific	Spleen	chr8q_2	426270000	426280000	4043	2.210607	1.207848
top_specific	Spleen	chr3p_1	100150000	100160000	2746	1.874252	1.206040
top_specific	Spleen	chr13q	36940000	36950000	2276	1.717726	1.204786
top_specific	Spleen	chr13q	36920000	36930000	1962	1.597589	1.190818
top_specific	Spleen	chr5p_1	87680000	87690000	3282	2.027176	1.182040
top_specific	Spleen	chr1q_2	11650000	11660000	2685	1.855268	1.178293
top_specific	Spleen	chr13q	478370000	478380000	2552	1.812583	1.177267
top_specific	Stomach	chr7q_1	128950000	128960000	7101	2.808177	2.309339
top_specific	Stomach	chr9q_2	314950000	314960000	4706	2.427013	2.064579
top_specific	Stomach	chr3p_1	344760000	344770000	4681	2.422158	2.028227
top_specific	Stomach	chr1q_3	14360000	14370000	3674	2.203956	1.885828
top_specific	Stomach	chr1q_3	14370000	14380000	3856	2.247083	1.869119
top_specific	Stomach	chr6q_4	215780000	215790000	3586	2.182417	1.821134
top_specific	Stomach	chr3p_1	344780000	344790000	3698	2.209751	1.745902
top_specific	Stomach	chr12q_1	311320000	311330000	3216	2.086409	1.741992
top_specific	Stomach	chr3p_1	344770000	344780000	3149	2.067993	1.685198
top_specific	Stomach	chr1q_3	14390000	14400000	3106	2.055993	1.599687
top_specific	Stomach	chr6q_4	215790000	215800000	3912	2.259987	1.594227
top_specific	Stomach	chr3q_1	349990000	350000000	3506	2.162426	1.548694
top_specific	Stomach	chr1p_1	399200000	399210000	2947	2.010325	1.527206
top_specific	Stomach	chr6p_2	455690000	455700000	3253	2.096435	1.523581
top_specific	Stomach	chr1q_3	14380000	14390000	2489	1.865767	1.486111
top_specific	Stomach	chr6q_4	215800000	215810000	5120	2.504164	1.470250
top_specific	Stomach	chr1q_3	15030000	15040000	2496	1.868141	1.463204
top_specific	Stomach	chr1q_3	15020000	15030000	2529	1.879259	1.461787
top_specific	Stomach	chr11q_1	210620000	210630000	2316	1.805223	1.460676
top_specific	Stomach	chr11q_1	210770000	210780000	2229	1.773332	1.418986
top_specific	Stomach	chr11q_1	210720000	210730000	2113	1.729164	1.418515
top_specific	Stomach	chr9q_2	314960000	314970000	2445	1.850713	1.411610
top_specific	Stomach	chr9q_1	297560000	297570000	2073	1.713470	1.399016
top_specific	Stomach	chr2q_3	413640000	413650000	2250	1.781123	1.397816
top_specific	Stomach	chr11q_1	210710000	210720000	2067	1.711095	1.394463
bottom_specific	sample	chrom	start	end	raw_count	log1p_cpm	contrast
bottom_specific	Bladder	chr9q_2	494690000	494700000	339	0.394233	-1.516487
bottom_specific	Bladder	chr3p_1	59990000	60000000	409	0.459341	-1.075874
bottom_specific	Bladder	chr3p_1	59980000	59990000	269	0.324588	-1.034529
bottom_specific	Bladder	chr3p_1	59960000	59970000	8	0.011339	-0.897078
bottom_specific	Bladder	chr1q_2	46950000	46960000	489	0.528904	-0.865776
bottom_specific	Bladder	chr9q_2	492890000	492900000	349	0.403798	-0.848578
bottom_specific	Bladder	chr1q_2	46960000	46970000	429	0.477191	-0.843406
bottom_specific	Bladder	chr3p_1	59970000	59980000	180	0.228402	-0.825618
bottom_specific	Bladder	chr3p_1	60030000	60040000	23	0.032261	-0.779854
bottom_specific	Bladder	chr3p_1	113020000	113030000	26	0.036393	-0.762788
bottom_specific	Bladder	chr13q	57500000	57510000	4660	2.033770	-0.758846
bottom_specific	Bladder	chr3p_1	94310000	94320000	56	0.076802	-0.757057
bottom_specific	Bladder	chr1q_2	46940000	46950000	561	0.587624	-0.746746
bottom_specific	Bladder	chr1q_2	46970000	46980000	306	0.362004	-0.715599
bottom_specific	Bladder	chr6p_1	3660000	3670000	111	0.146894	-0.703702
bottom_specific	Bladder	chr2q_2	160140000	160150000	1347	1.071636	-0.700328
bottom_specific	Bladder	chr3p_1	60040000	60050000	41	0.056801	-0.689036
bottom_specific	Bladder	chr3q_2	99220000	99230000	566	0.591577	-0.683573
bottom_specific	Bladder	chr3q_2	99210000	99220000	514	0.549686	-0.679340
bottom_specific	Bladder	chr3p_1	110070000	110080000	66	0.089917	-0.672233
bottom_specific	Bladder	chr6q_1	186310000	186320000	945	0.853181	-0.671992
bottom_specific	Bladder	chr4p_2	2360000	2370000	1358	1.076992	-0.664615
bottom_specific	Bladder	chr3p_1	110010000	110020000	27	0.037766	-0.652915
bottom_specific	Bladder	chr5q_2	65520000	65530000	1211	1.002940	-0.647926
bottom_specific	Bladder	chr3p_1	93700000	93710000	0	0.000000	-0.633939
bottom_specific	Brain	chr9q_2	494690000	494700000	721	0.480706	-1.423837
bottom_specific	Brain	chr2q_3	432370000	432380000	12346	2.448317	-1.149496
bottom_specific	Brain	chr5p_3	180030000	180040000	1144684	6.888484	-1.065170
bottom_specific	Brain	chr6p_1	260340000	260350000	206458	5.180319	-1.057177
bottom_specific	Brain	chr3p_1	59990000	60000000	715	0.477525	-1.056392
bottom_specific	Brain	chr2p_1	59530000	59540000	272516	5.456554	-1.038674
bottom_specific	Brain	chr7p_1	90540000	90550000	66855	4.064428	-1.038283
bottom_specific	Brain	chr3p_1	59980000	59990000	474	0.340585	-1.017389
bottom_specific	Brain	chr5p_3	180040000	180050000	86235	4.315111	-0.983126
bottom_specific	Brain	chr2q_3	430550000	430560000	9078	2.171482	-0.929989
bottom_specific	Brain	chr2p_2	412580000	412590000	842	0.542788	-0.910290
bottom_specific	Brain	chr5p_3	180020000	180030000	11479	2.382012	-0.902929
bottom_specific	Brain	chr1q_3	449120000	449130000	1541	0.841214	-0.901826
bottom_specific	Brain	chr11q_3	1830000	1840000	2181	1.053286	-0.879398
bottom_specific	Brain	chr3q_1	80140000	80150000	4394	1.560564	-0.872606
bottom_specific	Brain	chr3p_1	59960000	59970000	44	0.036974	-0.869612
bottom_specific	Brain	chr2q_3	437680000	437690000	569	0.396825	-0.866372
bottom_specific	Brain	chr2q_2	145630000	145640000	1431	0.799764	-0.844624
bottom_specific	Brain	chr11q_3	111910000	111920000	849	0.546265	-0.835266
bottom_specific	Brain	chr3p_1	59970000	59980000	301	0.229263	-0.824696
bottom_specific	Brain	chr3p_1	49340000	49350000	1374	0.777589	-0.823675
bottom_specific	Brain	chr9q_2	492890000	492900000	632	0.432449	-0.817880
bottom_specific	Brain	chr3q_3	309510000	309520000	958	0.598892	-0.815243
bottom_specific	Brain	chr2q_1	39910000	39920000	1102	0.664425	-0.813873
bottom_specific	Brain	chr7p_1	96060000	96070000	807	0.525223	-0.801831
bottom_specific	Cloaca	chr6q_4	361760000	361770000	7	0.014359	-0.992352
bottom_specific	Cloaca	chr13q	476080000	476090000	6	0.012320	-0.986459
bottom_specific	Cloaca	chr7q_3	212440000	212450000	100	0.187816	-0.940263
bottom_specific	Cloaca	chr7q_3	318940000	318950000	1261	1.282424	-0.926440
bottom_specific	Cloaca	chr13q	478380000	478390000	11	0.022473	-0.904594
bottom_specific	Cloaca	chr3p_1	101680000	101690000	1	0.002064	-0.856890
bottom_specific	Cloaca	chr1p_1	21490000	21500000	103	0.192940	-0.834411
bottom_specific	Cloaca	chr2p_1	285950000	285960000	52	0.102049	-0.822027
bottom_specific	Cloaca	chr6p_1	6190000	6200000	234	0.394384	-0.818529
bottom_specific	Cloaca	chr1p_1	201860000	201870000	961	1.093779	-0.817893
bottom_specific	Cloaca	chr13q	478370000	478380000	0	0.000000	-0.764786
bottom_specific	Cloaca	chr3p_1	99380000	99390000	22	0.044452	-0.745963
bottom_specific	Cloaca	chr2p_3	367160000	367170000	407	0.610259	-0.701167
bottom_specific	Cloaca	chr6p_1	5270000	5280000	22	0.044452	-0.698181
bottom_specific	Cloaca	chr4q_2	241840000	241850000	165	0.293348	-0.697650
bottom_specific	Cloaca	chr3p_1	96160000	96170000	13	0.026505	-0.690247
bottom_specific	Cloaca	chr6p_1	3740000	3750000	101	0.189527	-0.682591
bottom_specific	Cloaca	chr6p_1	45080000	45090000	259	0.428611	-0.682473
bottom_specific	Cloaca	chr9q_2	473290000	473300000	665	0.864562	-0.681842
bottom_specific	Cloaca	chr3p_1	108240000	108250000	0	0.000000	-0.678395
bottom_specific	Cloaca	chr10p_1	131770000	131780000	141	0.255667	-0.648290
bottom_specific	Cloaca	chr1p_1	204180000	204190000	2	0.004124	-0.642517
bottom_specific	Cloaca	chr9q_2	469720000	469730000	192	0.334108	-0.639882
bottom_specific	Cloaca	chr3p_1	108590000	108600000	0	0.000000	-0.636259
bottom_specific	Cloaca	chr4q_1	350470000	350480000	104	0.194642	-0.634261
bottom_specific	GallBladder	chr1q_3	445450000	445460000	3032	1.849547	-2.058514
bottom_specific	GallBladder	chr2q_1	1920000	1930000	1419	1.254787	-1.985668
bottom_specific	GallBladder	chr1q_3	416870000	416880000	1149	1.108581	-1.970894
bottom_specific	GallBladder	chr5q_3	384490000	384500000	1819	1.438368	-1.939517
bottom_specific	GallBladder	chr5q_3	392080000	392090000	1151	1.109746	-1.736136
bottom_specific	GallBladder	chr1q_3	417470000	417480000	884	0.940731	-1.693945
bottom_specific	GallBladder	chr1q_3	479100000	479110000	2655	1.738861	-1.657600
bottom_specific	GallBladder	chr5q_3	390100000	390110000	1343	1.215747	-1.625066
bottom_specific	GallBladder	chr1q_3	409310000	409320000	1400	1.245169	-1.599232
bottom_specific	GallBladder	chr4q_3	378800000	378810000	665	0.776993	-1.591116
bottom_specific	GallBladder	chr10p_1	28160000	28170000	3872	2.059373	-1.588354
bottom_specific	GallBladder	chr3q_1	80140000	80150000	847	0.914882	-1.564408
bottom_specific	GallBladder	chr4q_3	394070000	394080000	691	0.797894	-1.563006
bottom_specific	GallBladder	chr1q_3	433320000	433330000	565	0.692268	-1.561744
bottom_specific	GallBladder	chr6p_1	43410000	43420000	2083	1.543351	-1.558463
bottom_specific	GallBladder	chr5q_3	383400000	383410000	867	0.928937	-1.543631
bottom_specific	GallBladder	chr6q_4	379320000	379330000	445	0.580105	-1.539988
bottom_specific	GallBladder	chr5q_3	390200000	390210000	2443	1.670777	-1.535097
bottom_specific	GallBladder	chr1q_3	486390000	486400000	550	0.678917	-1.525131
bottom_specific	GallBladder	chr1q_3	479380000	479390000	384	0.517872	-1.524076
bottom_specific	GallBladder	chr3p_1	100050000	100060000	352	0.483607	-1.515000
bottom_specific	GallBladder	chr5q_3	391690000	391700000	908	0.957147	-1.513285
bottom_specific	GallBladder	chr5q_3	386050000	386060000	754	0.846798	-1.506227
bottom_specific	GallBladder	chr6q_4	387660000	387670000	404	0.538706	-1.483077
bottom_specific	GallBladder	chr6p_1	3780000	3790000	1099	1.078993	-1.477796
bottom_specific	Gill	chr13p	223060000	223070000	910	0.605253	-1.176499
bottom_specific	Gill	chr5p_2	424160000	424170000	1066	0.680211	-1.147274
bottom_specific	Gill	chr5q_1	58680000	58690000	3689	1.475139	-0.994722
bottom_specific	Gill	chr12q_2	398890000	398900000	250	0.205788	-0.986755
bottom_specific	Gill	chr2q_2	156010000	156020000	119	0.103245	-0.899466
bottom_specific	Gill	chr2q_2	156020000	156030000	80	0.070568	-0.899458
bottom_specific	Gill	chr6q_1	178740000	178750000	2274	1.124401	-0.898439
bottom_specific	Gill	chr5p_3	335250000	335260000	768	0.531763	-0.891608
bottom_specific	Gill	chr3p_1	101680000	101690000	6	0.005469	-0.853242
bottom_specific	Gill	chr7q_3	333800000	333810000	134	0.115534	-0.835518
bottom_specific	Gill	chr3p_1	108880000	108890000	701	0.495120	-0.834470
bottom_specific	Gill	chr2q_2	156030000	156040000	316	0.253723	-0.824943
bottom_specific	Gill	chr1p_1	207160000	207170000	669	0.477133	-0.823299
bottom_specific	Gill	chr3q_3	506450000	506460000	542	0.402376	-0.808480
bottom_specific	Gill	chr12q_2	398900000	398910000	47	0.042060	-0.805778
bottom_specific	Gill	chr5q_1	58670000	58680000	25384	3.186364	-0.805630
bottom_specific	Gill	chr6q_4	372230000	372240000	323	0.258675	-0.800923
bottom_specific	Gill	chr7q_3	263120000	263130000	668	0.476565	-0.789446
