	cell_type	sampleID
Cell_825	Macrophage	s2
Cell_826	Macrophage	s1
Cell_827	Macrophage	s2
Cell_828	Macrophage	s1
Cell_829	Macrophage	s2
Cell_830	Macrophage	s1
Cell_831	Macrophage	s2
Cell_832	Macrophage	s1
Cell_833	Macrophage	s2
Cell_834	Macrophage	s1
Cell_835	Macrophage	s2
Cell_836	Macrophage	s1
Cell_837	Macrophage	s2
Cell_838	Macrophage	s1
Cell_839	Macrophage	s2
Cell_840	Macrophage	s1
Cell_841	Macrophage	s2
Cell_842	Macrophage	s1
Cell_843	Macrophage	s2
Cell_844	Macrophage	s1
Cell_845	Macrophage	s2
Cell_846	Macrophage	s1
Cell_847	Macrophage	s2
Cell_848	Macrophage	s1
Cell_849	Macrophage	s2
Cell_850	Macrophage	s1
Cell_851	Macrophage	s2
Cell_852	Macrophage	s1
Cell_853	Macrophage	s2
Cell_854	Macrophage	s1
Cell_855	Macrophage	s2
Cell_856	Macrophage	s1
Cell_857	Macrophage	s2
Cell_858	Macrophage	s1
Cell_859	Macrophage	s2
Cell_860	Macrophage	s1
Cell_861	Macrophage	s2
Cell_862	Macrophage	s1
Cell_863	Macrophage	s2
Cell_864	Macrophage	s1
Cell_865	Macrophage	s2
Cell_866	Macrophage	s1
Cell_867	Macrophage	s2
Cell_868	Macrophage	s1
Cell_869	Macrophage	s2
Cell_870	Macrophage	s1
Cell_871	Macrophage	s2
Cell_872	Macrophage	s1
Cell_873	Macrophage	s2
Cell_874	Macrophage	s1
Cell_875	Macrophage	s2
Cell_876	Macrophage	s1
Cell_877	Macrophage	s2
Cell_878	Macrophage	s1
Cell_879	Macrophage	s2
Cell_880	Macrophage	s1
Cell_881	Macrophage	s2
Cell_882	Macrophage	s1
Cell_883	Macrophage	s2
Cell_884	Macrophage	s1
Cell_885	Macrophage	s2
Cell_886	Macrophage	s1
Cell_887	Macrophage	s2
Cell_888	Macrophage	s1
Cell_889	Macrophage	s2
Cell_890	Macrophage	s1
Cell_891	Macrophage	s2
Cell_892	Macrophage	s1
Cell_893	Macrophage	s2
Cell_894	Macrophage	s1
Cell_895	Macrophage	s2
Cell_896	Macrophage	s1
Cell_897	Macrophage	s2
Cell_898	Macrophage	s1
Cell_899	Macrophage	s2
Cell_900	Macrophage	s1
Cell_901	Macrophage	s2
Cell_902	Macrophage	s1
Cell_903	Macrophage	s2
Cell_904	Macrophage	s1
Cell_905	Macrophage	s2
Cell_906	Macrophage	s1
Cell_907	Macrophage	s2
Cell_908	Macrophage	s1
Cell_909	Macrophage	s2
Cell_910	Macrophage	s1
Cell_911	Macrophage	s2
Cell_912	Macrophage	s1
Cell_913	Macrophage	s2
Cell_914	Macrophage	s1
Cell_915	Macrophage	s2
Cell_916	Macrophage	s1
Cell_917	Macrophage	s2
Cell_918	Macrophage	s1
Cell_919	Macrophage	s2
Cell_920	Macrophage	s1
Cell_921	Macrophage	s2
Cell_922	Macrophage	s1
Cell_923	Macrophage	s2
Cell_924	Macrophage	s1
Cell_925	Macrophage	s2
Cell_926	Macrophage	s1
Cell_927	Macrophage	s2
Cell_928	Macrophage	s1
Cell_929	Macrophage	s2
Cell_930	Macrophage	s1
Cell_931	Macrophage	s2
Cell_932	Macrophage	s1
Cell_933	Macrophage	s2
Cell_934	Macrophage	s1
Cell_935	Macrophage	s2
Cell_936	Macrophage	s1
Cell_937	Macrophage	s2
Cell_938	Macrophage	s1
Cell_939	Macrophage	s2
Cell_940	Macrophage	s1
Cell_941	Macrophage	s2
Cell_942	Macrophage	s1
Cell_943	Macrophage	s2
Cell_944	Macrophage	s1
Cell_945	Macrophage	s2
Cell_946	Macrophage	s1
Cell_947	Macrophage	s2
Cell_948	Macrophage	s1
Cell_949	Macrophage	s2
Cell_950	Macrophage	s1
Cell_951	Macrophage	s2
Cell_952	Macrophage	s1
Cell_953	Macrophage	s2
Cell_954	Macrophage	s1
Cell_955	Macrophage	s2
Cell_956	Macrophage	s1
Cell_957	Macrophage	s2
Cell_958	Macrophage	s1
Cell_959	Macrophage	s2
Cell_960	Macrophage	s1
Cell_961	Macrophage	s2
Cell_962	Macrophage	s1
Cell_963	Macrophage	s2
Cell_964	Macrophage	s1
Cell_965	Macrophage	s2
Cell_966	Macrophage	s1
Cell_967	Macrophage	s2
Cell_968	Macrophage	s1
Cell_969	Macrophage	s2
Cell_970	Macrophage	s1
Cell_971	Macrophage	s2
Cell_972	Macrophage	s1
Cell_973	Macrophage	s2
Cell_974	Macrophage	s1
Cell_975	Macrophage	s2
Cell_976	Macrophage	s1
Cell_977	Macrophage	s2
Cell_978	Macrophage	s1
Cell_979	Macrophage	s2
Cell_980	Macrophage	s1
Cell_981	Macrophage	s2
Cell_982	Macrophage	s1
Cell_983	Macrophage	s2
Cell_984	Macrophage	s1
Cell_985	Macrophage	s2
Cell_986	Macrophage	s1
Cell_987	Macrophage	s2
Cell_988	Macrophage	s1
Cell_989	Macrophage	s2
Cell_990	Macrophage	s1
Cell_991	Macrophage	s2
Cell_992	Macrophage	s1
Cell_993	Macrophage	s2
Cell_994	Macrophage	s1
Cell_995	Macrophage	s2
Cell_996	Macrophage	s1
Cell_997	Macrophage	s2
Cell_998	Macrophage	s1
Cell_999	Macrophage	s2
Cell_1000	Endothelial	s1
Cell_1001	Endothelial	s2
Cell_1002	Endothelial	s1
Cell_1003	Endothelial	s2
Cell_1004	Endothelial	s1
Cell_1005	Endothelial	s2
Cell_1006	Endothelial	s1
Cell_1007	Endothelial	s2
Cell_1008	Endothelial	s1
Cell_1009	Endothelial	s2
Cell_1010	Endothelial	s1
Cell_1011	Endothelial	s2
Cell_1012	Endothelial	s1
Cell_1013	Endothelial	s2
Cell_1014	Endothelial	s1
Cell_1015	Endothelial	s2
Cell_1016	Endothelial	s1
Cell_1017	Endothelial	s2
Cell_1018	Endothelial	s1
Cell_1019	Endothelial	s2
Cell_1020	Endothelial	s1
Cell_1021	Endothelial	s2
Cell_1022	Endothelial	s1
Cell_1023	Endothelial	s2
Cell_1024	Endothelial	s1
Cell_1025	Endothelial	s2
Cell_1026	Endothelial	s1
Cell_1027	Endothelial	s2
Cell_1028	Endothelial	s1
Cell_1029	Endothelial	s2
Cell_1030	Endothelial	s1
Cell_1031	Endothelial	s2
Cell_1032	Endothelial	s1
Cell_1033	Endothelial	s2
Cell_1034	Endothelial	s1
Cell_1035	Endothelial	s2
Cell_1036	Endothelial	s1
Cell_1037	Endothelial	s2
Cell_1038	Endothelial	s1
Cell_1039	Endothelial	s2
Cell_1040	Endothelial	s1
Cell_1041	Endothelial	s2
Cell_1042	Endothelial	s1
Cell_1043	Endothelial	s2
Cell_1044	Endothelial	s1
Cell_1045	Endothelial	s2
Cell_1046	Endothelial	s1
Cell_1047	Endothelial	s2
Cell_1048	Endothelial	s1
Cell_1049	Endothelial	s2
Cell_1050	Endothelial	s1
Cell_1051	Endothelial	s2
Cell_1052	Endothelial	s1
Cell_1053	Endothelial	s2
Cell_1054	Endothelial	s1
Cell_1055	Endothelial	s2
Cell_1056	Endothelial	s1
Cell_1057	Endothelial	s2
Cell_1058	Endothelial	s1
Cell_1059	Endothelial	s2
Cell_1060	Endothelial	s1
Cell_1061	Endothelial	s2
Cell_1062	Endothelial	s1
Cell_1063	Endothelial	s2
Cell_1064	Endothelial	s1
Cell_1065	Endothelial	s2
Cell_1066	Endothelial	s1
Cell_1067	Endothelial	s2
Cell_1068	Endothelial	s1
Cell_1069	Endothelial	s2
Cell_1070	Endothelial	s1
Cell_1071	Endothelial	s2
Cell_1072	Endothelial	s1
Cell_1073	Endothelial	s2
Cell_1074	Endothelial	s1
Cell_1075	Endothelial	s2
Cell_1076	Endothelial	s1
Cell_1077	Endothelial	s2
Cell_1078	Endothelial	s1
Cell_1079	Endothelial	s2
Cell_1080	Endothelial	s1
Cell_1081	Endothelial	s2
Cell_1082	Endothelial	s1
Cell_1083	Endothelial	s2
Cell_1084	Endothelial	s1
Cell_1085	Endothelial	s2
Cell_1086	Endothelial	s1
Cell_1087	Endothelial	s2
Cell_1088	Endothelial	s1
Cell_1089	Endothelial	s2
Cell_1090	Endothelial	s1
Cell_1091	Endothelial	s2
Cell_1092	Endothelial	s1
Cell_1093	Endothelial	s2
Cell_1094	Endothelial	s1
Cell_1095	Endothelial	s2
Cell_1096	Endothelial	s1
Cell_1097	Endothelial	s2
Cell_1098	Endothelial	s1
Cell_1099	Endothelial	s2
Cell_1100	Endothelial	s1
Cell_1101	Endothelial	s2
Cell_1102	Endothelial	s1
Cell_1103	Endothelial	s2
Cell_1104	Endothelial	s1
Cell_1105	Endothelial	s2
Cell_1106	Endothelial	s1
Cell_1107	Endothelial	s2
Cell_1108	Endothelial	s1
Cell_1109	Endothelial	s2
Cell_1110	Endothelial	s1
Cell_1111	Endothelial	s2
Cell_1112	Endothelial	s1
Cell_1113	Endothelial	s2
Cell_1114	Endothelial	s1
Cell_1115	Endothelial	s2
Cell_1116	Endothelial	s1
Cell_1117	Endothelial	s2
Cell_1118	Endothelial	s1
Cell_1119	Endothelial	s2
Cell_1120	Endothelial	s1
Cell_1121	Endothelial	s2
Cell_1122	Endothelial	s1
Cell_1123	Endothelial	s2
Cell_1124	Endothelial	s1
Cell_1125	Endothelial	s2
Cell_1126	Endothelial	s1
Cell_1127	Endothelial	s2
Cell_1128	Endothelial	s1
Cell_1129	Endothelial	s2
Cell_1130	Endothelial	s1
Cell_1131	Endothelial	s2
Cell_1132	Endothelial	s1
Cell_1133	Endothelial	s2
Cell_1134	Endothelial	s1
Cell_1135	Endothelial	s2
Cell_1136	Endothelial	s1
Cell_1137	Endothelial	s2
Cell_1138	Endothelial	s1
Cell_1139	Endothelial	s2
Cell_1140	Endothelial	s1
Cell_1141	Endothelial	s2
Cell_1142	Endothelial	s1
Cell_1143	Endothelial	s2
Cell_1144	Endothelial	s1
Cell_1145	Endothelial	s2
Cell_1146	Endothelial	s1
Cell_1147	Endothelial	s2
Cell_1148	Endothelial	s1
Cell_1149	Endothelial	s2
Cell_1150	Endothelial	s1
Cell_1151	Endothelial	s2
Cell_1152	Endothelial	s1
Cell_1153	Endothelial	s2
Cell_1154	Endothelial	s1
Cell_1155	Endothelial	s2
Cell_1156	Endothelial	s1
Cell_1157	Endothelial	s2
Cell_1158	Endothelial	s1
Cell_1159	Endothelial	s2
Cell_1160	Endothelial	s1
Cell_1161	Endothelial	s2
Cell_1162	Endothelial	s1
Cell_1163	Endothelial	s2
Cell_1164	Endothelial	s1
Cell_1165	Endothelial	s2
Cell_1166	Endothelial	s1
Cell_1167	Endothelial	s2
Cell_1168	Endothelial	s1
Cell_1169	Endothelial	s2
Cell_1170	Endothelial	s1
Cell_1171	Endothelial	s2
Cell_1172	Endothelial	s1
Cell_1173	Endothelial	s2
Cell_1174	Endothelial	s1
Cell_1175	Endothelial	s2
Cell_1176	Endothelial	s1
Cell_1177	Endothelial	s2
Cell_1178	Endothelial	s1
Cell_1179	Endothelial	s2
Cell_1180	Endothelial	s1
Cell_1181	Endothelial	s2
Cell_1182	Endothelial	s1
Cell_1183	Endothelial	s2
Cell_1184	Endothelial	s1
Cell_1185	Endothelial	s2
Cell_1186	Endothelial	s1
Cell_1187	Endothelial	s2
Cell_1188	Endothelial	s1
Cell_1189	Endothelial	s2
Cell_1190	Endothelial	s1
Cell_1191	Endothelial	s2
Cell_1192	Endothelial	s1
Cell_1193	Endothelial	s2
Cell_1194	Endothelial	s1
Cell_1195	Endothelial	s2
Cell_1196	Endothelial	s1
Cell_1197	Endothelial	s2
Cell_1198	Endothelial	s1
Cell_1199	Endothelial	s2
