	cell_type	sampleID
Cell_728	B_Cell	sampleID
Cell_729	B_Cell	sampleID
Cell_730	B_Cell	sampleID
Cell_731	B_Cell	sampleID
Cell_732	B_Cell	sampleID
Cell_733	B_Cell	sampleID
Cell_734	B_Cell	sampleID
Cell_735	B_Cell	sampleID
Cell_736	B_Cell	sampleID
Cell_737	B_Cell	sampleID
Cell_738	B_Cell	sampleID
Cell_739	B_Cell	sampleID
Cell_740	B_Cell	sampleID
Cell_741	B_Cell	sampleID
Cell_742	B_Cell	sampleID
Cell_743	B_Cell	sampleID
Cell_744	B_Cell	sampleID
Cell_745	B_Cell	sampleID
Cell_746	B_Cell	sampleID
Cell_747	B_Cell	sampleID
Cell_748	B_Cell	sampleID
Cell_749	B_Cell	sampleID
Cell_750	B_Cell	sampleID
Cell_751	B_Cell	sampleID
Cell_752	B_Cell	sampleID
Cell_753	B_Cell	sampleID
Cell_754	B_Cell	sampleID
Cell_755	B_Cell	sampleID
Cell_756	B_Cell	sampleID
Cell_757	B_Cell	sampleID
Cell_758	B_Cell	sampleID
Cell_759	B_Cell	sampleID
Cell_760	B_Cell	sampleID
Cell_761	B_Cell	sampleID
Cell_762	B_Cell	sampleID
Cell_763	B_Cell	sampleID
Cell_764	B_Cell	sampleID
Cell_765	B_Cell	sampleID
Cell_766	B_Cell	sampleID
Cell_767	B_Cell	sampleID
Cell_768	B_Cell	sampleID
Cell_769	B_Cell	sampleID
Cell_770	B_Cell	sampleID
Cell_771	B_Cell	sampleID
Cell_772	B_Cell	sampleID
Cell_773	B_Cell	sampleID
Cell_774	B_Cell	sampleID
Cell_775	B_Cell	sampleID
Cell_776	B_Cell	sampleID
Cell_777	B_Cell	sampleID
Cell_778	B_Cell	sampleID
Cell_779	B_Cell	sampleID
Cell_780	B_Cell	sampleID
Cell_781	B_Cell	sampleID
Cell_782	B_Cell	sampleID
Cell_783	B_Cell	sampleID
Cell_784	B_Cell	sampleID
Cell_785	B_Cell	sampleID
Cell_786	B_Cell	sampleID
Cell_787	B_Cell	sampleID
Cell_788	B_Cell	sampleID
Cell_789	B_Cell	sampleID
Cell_790	B_Cell	sampleID
Cell_791	B_Cell	sampleID
Cell_792	B_Cell	sampleID
Cell_793	B_Cell	sampleID
Cell_794	B_Cell	sampleID
Cell_795	B_Cell	sampleID
Cell_796	B_Cell	sampleID
Cell_797	B_Cell	sampleID
Cell_798	B_Cell	sampleID
Cell_799	B_Cell	sampleID
Cell_800	Macrophage	sampleID
Cell_801	Macrophage	sampleID
Cell_802	Macrophage	sampleID
Cell_803	Macrophage	sampleID
Cell_804	Macrophage	sampleID
Cell_805	Macrophage	sampleID
Cell_806	Macrophage	sampleID
Cell_807	Macrophage	sampleID
Cell_808	Macrophage	sampleID
Cell_809	Macrophage	sampleID
Cell_810	Macrophage	sampleID
Cell_811	Macrophage	sampleID
Cell_812	Macrophage	sampleID
Cell_813	Macrophage	sampleID
Cell_814	Macrophage	sampleID
Cell_815	Macrophage	sampleID
Cell_816	Macrophage	sampleID
Cell_817	Macrophage	sampleID
Cell_818	Macrophage	sampleID
Cell_819	Macrophage	sampleID
Cell_820	Macrophage	sampleID
Cell_821	Macrophage	sampleID
Cell_822	Macrophage	sampleID
Cell_823	Macrophage	sampleID
Cell_824	Macrophage	sampleID
Cell_825	Macrophage	sampleID
Cell_826	Macrophage	sampleID
Cell_827	Macrophage	sampleID
Cell_828	Macrophage	sampleID
Cell_829	Macrophage	sampleID
Cell_830	Macrophage	sampleID
Cell_831	Macrophage	sampleID
Cell_832	Macrophage	sampleID
Cell_833	Macrophage	sampleID
Cell_834	Macrophage	sampleID
Cell_835	Macrophage	sampleID
Cell_836	Macrophage	sampleID
Cell_837	Macrophage	sampleID
Cell_838	Macrophage	sampleID
Cell_839	Macrophage	sampleID
Cell_840	Macrophage	sampleID
Cell_841	Macrophage	sampleID
Cell_842	Macrophage	sampleID
Cell_843	Macrophage	sampleID
Cell_844	Macrophage	sampleID
Cell_845	Macrophage	sampleID
Cell_846	Macrophage	sampleID
Cell_847	Macrophage	sampleID
Cell_848	Macrophage	sampleID
Cell_849	Macrophage	sampleID
Cell_850	Macrophage	sampleID
Cell_851	Macrophage	sampleID
Cell_852	Macrophage	sampleID
Cell_853	Macrophage	sampleID
Cell_854	Macrophage	sampleID
Cell_855	Macrophage	sampleID
Cell_856	Macrophage	sampleID
Cell_857	Macrophage	sampleID
Cell_858	Macrophage	sampleID
Cell_859	Macrophage	sampleID
Cell_860	Macrophage	sampleID
Cell_861	Macrophage	sampleID
Cell_862	Macrophage	sampleID
Cell_863	Macrophage	sampleID
Cell_864	Macrophage	sampleID
Cell_865	Macrophage	sampleID
Cell_866	Macrophage	sampleID
Cell_867	Macrophage	sampleID
Cell_868	Macrophage	sampleID
Cell_869	Macrophage	sampleID
Cell_870	Macrophage	sampleID
Cell_871	Macrophage	sampleID
Cell_872	Macrophage	sampleID
Cell_873	Macrophage	sampleID
Cell_874	Macrophage	sampleID
Cell_875	Macrophage	sampleID
Cell_876	Macrophage	sampleID
Cell_877	Macrophage	sampleID
Cell_878	Macrophage	sampleID
Cell_879	Macrophage	sampleID
Cell_880	Macrophage	sampleID
Cell_881	Macrophage	sampleID
Cell_882	Macrophage	sampleID
Cell_883	Macrophage	sampleID
Cell_884	Macrophage	sampleID
Cell_885	Macrophage	sampleID
Cell_886	Macrophage	sampleID
Cell_887	Macrophage	sampleID
Cell_888	Macrophage	sampleID
Cell_889	Macrophage	sampleID
Cell_890	Macrophage	sampleID
Cell_891	Macrophage	sampleID
Cell_892	Macrophage	sampleID
Cell_893	Macrophage	sampleID
Cell_894	Macrophage	sampleID
Cell_895	Macrophage	sampleID
Cell_896	Macrophage	sampleID
Cell_897	Macrophage	sampleID
Cell_898	Macrophage	sampleID
Cell_899	Macrophage	sampleID
Cell_900	Macrophage	sampleID
Cell_901	Macrophage	sampleID
Cell_902	Macrophage	sampleID
Cell_903	Macrophage	sampleID
Cell_904	Macrophage	sampleID
Cell_905	Macrophage	sampleID
Cell_906	Macrophage	sampleID
Cell_907	Macrophage	sampleID
Cell_908	Macrophage	sampleID
Cell_909	Macrophage	sampleID
Cell_910	Macrophage	sampleID
Cell_911	Macrophage	sampleID
Cell_912	Macrophage	sampleID
Cell_913	Macrophage	sampleID
Cell_914	Macrophage	sampleID
Cell_915	Macrophage	sampleID
Cell_916	Macrophage	sampleID
Cell_917	Macrophage	sampleID
Cell_918	Macrophage	sampleID
Cell_919	Macrophage	sampleID
Cell_920	Macrophage	sampleID
Cell_921	Macrophage	sampleID
Cell_922	Macrophage	sampleID
Cell_923	Macrophage	sampleID
Cell_924	Macrophage	sampleID
Cell_925	Macrophage	sampleID
Cell_926	Macrophage	sampleID
Cell_927	Macrophage	sampleID
Cell_928	Macrophage	sampleID
Cell_929	Macrophage	sampleID
Cell_930	Macrophage	sampleID
Cell_931	Macrophage	sampleID
Cell_932	Macrophage	sampleID
Cell_933	Macrophage	sampleID
Cell_934	Macrophage	sampleID
Cell_935	Macrophage	sampleID
Cell_936	Macrophage	sampleID
Cell_937	Macrophage	sampleID
Cell_938	Macrophage	sampleID
Cell_939	Macrophage	sampleID
Cell_940	Macrophage	sampleID
Cell_941	Macrophage	sampleID
Cell_942	Macrophage	sampleID
Cell_943	Macrophage	sampleID
Cell_944	Macrophage	sampleID
Cell_945	Macrophage	sampleID
Cell_946	Macrophage	sampleID
Cell_947	Macrophage	sampleID
Cell_948	Macrophage	sampleID
Cell_949	Macrophage	sampleID
Cell_950	Macrophage	sampleID
Cell_951	Macrophage	sampleID
Cell_952	Macrophage	sampleID
Cell_953	Macrophage	sampleID
Cell_954	Macrophage	sampleID
Cell_955	Macrophage	sampleID
Cell_956	Macrophage	sampleID
Cell_957	Macrophage	sampleID
Cell_958	Macrophage	sampleID
Cell_959	Macrophage	sampleID
Cell_960	Macrophage	sampleID
Cell_961	Macrophage	sampleID
Cell_962	Macrophage	sampleID
Cell_963	Macrophage	sampleID
Cell_964	Macrophage	sampleID
Cell_965	Macrophage	sampleID
Cell_966	Macrophage	sampleID
Cell_967	Macrophage	sampleID
Cell_968	Macrophage	sampleID
Cell_969	Macrophage	sampleID
Cell_970	Macrophage	sampleID
Cell_971	Macrophage	sampleID
Cell_972	Macrophage	sampleID
Cell_973	Macrophage	sampleID
Cell_974	Macrophage	sampleID
Cell_975	Macrophage	sampleID
Cell_976	Macrophage	sampleID
Cell_977	Macrophage	sampleID
Cell_978	Macrophage	sampleID
Cell_979	Macrophage	sampleID
Cell_980	Macrophage	sampleID
Cell_981	Macrophage	sampleID
Cell_982	Macrophage	sampleID
Cell_983	Macrophage	sampleID
Cell_984	Macrophage	sampleID
Cell_985	Macrophage	sampleID
Cell_986	Macrophage	sampleID
Cell_987	Macrophage	sampleID
Cell_988	Macrophage	sampleID
Cell_989	Macrophage	sampleID
Cell_990	Macrophage	sampleID
Cell_991	Macrophage	sampleID
Cell_992	Macrophage	sampleID
Cell_993	Macrophage	sampleID
Cell_994	Macrophage	sampleID
Cell_995	Macrophage	sampleID
Cell_996	Macrophage	sampleID
Cell_997	Macrophage	sampleID
Cell_998	Macrophage	sampleID
Cell_999	Macrophage	sampleID
Cell_1000	Endothelial	sampleID
Cell_1001	Endothelial	sampleID
Cell_1002	Endothelial	sampleID
Cell_1003	Endothelial	sampleID
Cell_1004	Endothelial	sampleID
Cell_1005	Endothelial	sampleID
Cell_1006	Endothelial	sampleID
Cell_1007	Endothelial	sampleID
Cell_1008	Endothelial	sampleID
Cell_1009	Endothelial	sampleID
Cell_1010	Endothelial	sampleID
Cell_1011	Endothelial	sampleID
Cell_1012	Endothelial	sampleID
Cell_1013	Endothelial	sampleID
Cell_1014	Endothelial	sampleID
Cell_1015	Endothelial	sampleID
Cell_1016	Endothelial	sampleID
Cell_1017	Endothelial	sampleID
Cell_1018	Endothelial	sampleID
Cell_1019	Endothelial	sampleID
Cell_1020	Endothelial	sampleID
Cell_1021	Endothelial	sampleID
Cell_1022	Endothelial	sampleID
Cell_1023	Endothelial	sampleID
Cell_1024	Endothelial	sampleID
Cell_1025	Endothelial	sampleID
Cell_1026	Endothelial	sampleID
Cell_1027	Endothelial	sampleID
Cell_1028	Endothelial	sampleID
Cell_1029	Endothelial	sampleID
Cell_1030	Endothelial	sampleID
Cell_1031	Endothelial	sampleID
Cell_1032	Endothelial	sampleID
Cell_1033	Endothelial	sampleID
Cell_1034	Endothelial	sampleID
Cell_1035	Endothelial	sampleID
Cell_1036	Endothelial	sampleID
Cell_1037	Endothelial	sampleID
Cell_1038	Endothelial	sampleID
Cell_1039	Endothelial	sampleID
Cell_1040	Endothelial	sampleID
Cell_1041	Endothelial	sampleID
Cell_1042	Endothelial	sampleID
Cell_1043	Endothelial	sampleID
Cell_1044	Endothelial	sampleID
Cell_1045	Endothelial	sampleID
Cell_1046	Endothelial	sampleID
Cell_1047	Endothelial	sampleID
Cell_1048	Endothelial	sampleID
Cell_1049	Endothelial	sampleID
Cell_1050	Endothelial	sampleID
Cell_1051	Endothelial	sampleID
Cell_1052	Endothelial	sampleID
Cell_1053	Endothelial	sampleID
Cell_1054	Endothelial	sampleID
Cell_1055	Endothelial	sampleID
Cell_1056	Endothelial	sampleID
Cell_1057	Endothelial	sampleID
Cell_1058	Endothelial	sampleID
Cell_1059	Endothelial	sampleID
Cell_1060	Endothelial	sampleID
Cell_1061	Endothelial	sampleID
Cell_1062	Endothelial	sampleID
Cell_1063	Endothelial	sampleID
Cell_1064	Endothelial	sampleID
Cell_1065	Endothelial	sampleID
Cell_1066	Endothelial	sampleID
Cell_1067	Endothelial	sampleID
Cell_1068	Endothelial	sampleID
Cell_1069	Endothelial	sampleID
Cell_1070	Endothelial	sampleID
Cell_1071	Endothelial	sampleID
Cell_1072	Endothelial	sampleID
Cell_1073	Endothelial	sampleID
Cell_1074	Endothelial	sampleID
Cell_1075	Endothelial	sampleID
Cell_1076	Endothelial	sampleID
Cell_1077	Endothelial	sampleID
Cell_1078	Endothelial	sampleID
Cell_1079	Endothelial	sampleID
Cell_1080	Endothelial	sampleID
Cell_1081	Endothelial	sampleID
Cell_1082	Endothelial	sampleID
Cell_1083	Endothelial	sampleID
Cell_1084	Endothelial	sampleID
Cell_1085	Endothelial	sampleID
Cell_1086	Endothelial	sampleID
Cell_1087	Endothelial	sampleID
Cell_1088	Endothelial	sampleID
Cell_1089	Endothelial	sampleID
Cell_1090	Endothelial	sampleID
Cell_1091	Endothelial	sampleID
Cell_1092	Endothelial	sampleID
Cell_1093	Endothelial	sampleID
Cell_1094	Endothelial	sampleID
Cell_1095	Endothelial	sampleID
Cell_1096	Endothelial	sampleID
Cell_1097	Endothelial	sampleID
Cell_1098	Endothelial	sampleID
Cell_1099	Endothelial	sampleID
Cell_1100	Endothelial	sampleID
Cell_1101	Endothelial	sampleID
Cell_1102	Endothelial	sampleID
Cell_1103	Endothelial	sampleID
Cell_1104	Endothelial	sampleID
Cell_1105	Endothelial	sampleID
Cell_1106	Endothelial	sampleID
Cell_1107	Endothelial	sampleID
Cell_1108	Endothelial	sampleID
Cell_1109	Endothelial	sampleID
Cell_1110	Endothelial	sampleID
Cell_1111	Endothelial	sampleID
Cell_1112	Endothelial	sampleID
Cell_1113	Endothelial	sampleID
Cell_1114	Endothelial	sampleID
Cell_1115	Endothelial	sampleID
Cell_1116	Endothelial	sampleID
Cell_1117	Endothelial	sampleID
Cell_1118	Endothelial	sampleID
Cell_1119	Endothelial	sampleID
Cell_1120	Endothelial	sampleID
Cell_1121	Endothelial	sampleID
Cell_1122	Endothelial	sampleID
Cell_1123	Endothelial	sampleID
Cell_1124	Endothelial	sampleID
Cell_1125	Endothelial	sampleID
Cell_1126	Endothelial	sampleID
Cell_1127	Endothelial	sampleID
Cell_1128	Endothelial	sampleID
Cell_1129	Endothelial	sampleID
Cell_1130	Endothelial	sampleID
Cell_1131	Endothelial	sampleID
Cell_1132	Endothelial	sampleID
Cell_1133	Endothelial	sampleID
Cell_1134	Endothelial	sampleID
Cell_1135	Endothelial	sampleID
Cell_1136	Endothelial	sampleID
Cell_1137	Endothelial	sampleID
Cell_1138	Endothelial	sampleID
Cell_1139	Endothelial	sampleID
Cell_1140	Endothelial	sampleID
Cell_1141	Endothelial	sampleID
Cell_1142	Endothelial	sampleID
Cell_1143	Endothelial	sampleID
Cell_1144	Endothelial	sampleID
Cell_1145	Endothelial	sampleID
Cell_1146	Endothelial	sampleID
Cell_1147	Endothelial	sampleID
Cell_1148	Endothelial	sampleID
Cell_1149	Endothelial	sampleID
Cell_1150	Endothelial	sampleID
Cell_1151	Endothelial	sampleID
Cell_1152	Endothelial	sampleID
Cell_1153	Endothelial	sampleID
Cell_1154	Endothelial	sampleID
Cell_1155	Endothelial	sampleID
Cell_1156	Endothelial	sampleID
Cell_1157	Endothelial	sampleID
Cell_1158	Endothelial	sampleID
Cell_1159	Endothelial	sampleID
Cell_1160	Endothelial	sampleID
Cell_1161	Endothelial	sampleID
Cell_1162	Endothelial	sampleID
Cell_1163	Endothelial	sampleID
Cell_1164	Endothelial	sampleID
Cell_1165	Endothelial	sampleID
Cell_1166	Endothelial	sampleID
Cell_1167	Endothelial	sampleID
Cell_1168	Endothelial	sampleID
Cell_1169	Endothelial	sampleID
Cell_1170	Endothelial	sampleID
Cell_1171	Endothelial	sampleID
Cell_1172	Endothelial	sampleID
Cell_1173	Endothelial	sampleID
Cell_1174	Endothelial	sampleID
Cell_1175	Endothelial	sampleID
Cell_1176	Endothelial	sampleID
Cell_1177	Endothelial	sampleID
Cell_1178	Endothelial	sampleID
Cell_1179	Endothelial	sampleID
Cell_1180	Endothelial	sampleID
Cell_1181	Endothelial	sampleID
Cell_1182	Endothelial	sampleID
Cell_1183	Endothelial	sampleID
Cell_1184	Endothelial	sampleID
Cell_1185	Endothelial	sampleID
Cell_1186	Endothelial	sampleID
Cell_1187	Endothelial	sampleID
Cell_1188	Endothelial	sampleID
Cell_1189	Endothelial	sampleID
Cell_1190	Endothelial	sampleID
Cell_1191	Endothelial	sampleID
Cell_1192	Endothelial	sampleID
Cell_1193	Endothelial	sampleID
Cell_1194	Endothelial	sampleID
Cell_1195	Endothelial	sampleID
Cell_1196	Endothelial	sampleID
Cell_1197	Endothelial	sampleID
Cell_1198	Endothelial	sampleID
Cell_1199	Endothelial	sampleID
