window	expected_cell_type	marker_gene	AIIamacrine	Astrocyte	Cone	GABAamacrine	Horizontal	Microglia	Mullerglia	Retinalganglioncell	Rod
50000	Retinalganglioncell	SNCG	-1.297492	0.799888	-0.092173	-1.352383	-0.201309	0.070926	1.612213	1.252056	-0.791726
50000	Retinalganglioncell	NEFL	0.017356	-0.690854	-0.957287	0.513885	0.607801	-0.738375	-0.818228	2.379006	-0.313305
50000	Retinalganglioncell	NEFM	0.225395	-1.081291	-0.689260	0.620498	0.503487	-0.648299	-1.080116	2.251464	-0.101877
50000	Retinalganglioncell	NEFH	-0.802901	-0.479765	0.509549	0.452271	0.048166	-0.843206	-1.294827	2.292859	0.117853
50000	Retinalganglioncell	SLC17A6	0.079355	-0.768238	-0.431735	0.220324	-0.021471	-0.231187	-0.801406	2.644911	-0.690554
50000	Retinalganglioncell	ISL1	-0.144071	0.056287	-0.395932	-0.256561	0.720345	0.097932	-1.020897	2.306965	-1.364068
50000	Rod	RHO	-0.029641	0.457904	-0.450146	-1.057508	-0.715252	0.662017	0.370298	-1.363964	2.126292
50000	Rod	GNAT1	-0.756564	0.186467	0.691763	-1.227262	-0.584732	0.410732	0.792622	-1.361303	1.848276
50000	Rod	PDE6A	-0.473153	0.466542	-0.109845	-0.950376	-0.761021	0.301653	0.320592	-1.149839	2.355446
50000	Rod	PDE6B	-0.418216	-0.329194	0.503479	-0.688669	-0.659171	0.210437	-0.102063	-1.047089	2.530488
50000	Rod	CNGA1	-0.686022	-0.076757	-0.014361	-1.180044	-0.523197	0.708153	0.433813	-0.954320	2.292735
50000	Rod	SAG	-0.791783	0.025622	0.471491	-0.906491	-0.862719	0.449644	0.411288	-1.055214	2.258162
50000	Rod	NRL	0.221641	-0.555116	-0.198786	-0.565255	0.059596	0.246502	0.084412	-1.641782	2.348788
50000	Rod	NR2E3	-0.878954	-0.046442	0.015997	-0.758359	-0.834546	0.281525	-0.131085	-0.254345	2.606208
50000	Rod	GNGT1	-0.719062	-1.811495	0.152011	0.209907	0.047526	1.685024	-1.031123	0.456905	1.010308
50000	Rod	ROM1	-0.647621	0.263100	0.615493	-1.025068	-0.529607	0.304440	0.440088	-1.491873	2.071048
