cluster	eye	score	probe	genes
5	eye2	0.0045512514	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
6	eye1	0.004589766	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
6	eye2	0.0028847794	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
7	eye1	0.0060927225	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
7	eye2	0.006633866	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
8	eye1	0.31979963	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
8	eye2	0.30034867	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
9	eye1	0.0051490064	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
9	eye2	0.0032793032	Endothelial	PECAM1,CLDN5,VWF,CDH5,KDR,FLT1,EMCN
0	eye1	2.203716	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
0	eye2	2.101128	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
1	eye1	2.1004128	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
1	eye2	1.9709374	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
10	eye1	0.47358936	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
10	eye2	0.44511607	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
11	eye1	2.099095	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
11	eye2	1.9616605	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
12	eye1	0.18649393	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
12	eye2	0.22254092	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
13	eye1	0.32939294	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
13	eye2	0.216842	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
14	eye1	0.27302533	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
14	eye2	0.21754895	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
15	eye1	0.28069758	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
15	eye2	0.2142037	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
16	eye1	0.43040907	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
16	eye2	0.3606988	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
17	eye1	0.39197114	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
17	eye2	0.2701311	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
18	eye1	0.3122165	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
18	eye2	0.22987007	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
19	eye1	0.56006485	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
19	eye2	0.45051894	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
2	eye1	2.1243632	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
2	eye2	2.0584195	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
20	eye1	0.3052706	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
20	eye2	0.30079973	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
21	eye1	0.17577787	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
21	eye2	0.15836775	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
22	eye1	0.21436821	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
22	eye2	0.17498955	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
23	eye1	1.0983027	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
23	eye2	0.51994014	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
24	eye1	0.28743967	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
24	eye2	0.28845948	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
25	eye1	0.20414627	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
25	eye2	0.17391326	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
3	eye1	2.1511376	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
3	eye2	2.0173593	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
4	eye1	2.0878112	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
4	eye2	1.967804	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
5	eye1	2.1247728	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
5	eye2	2.0376568	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
6	eye1	2.1097262	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
6	eye2	1.9799427	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
7	eye1	2.1167257	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
7	eye2	2.0662422	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
8	eye1	0.6286402	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
8	eye2	0.7416492	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
9	eye1	0.7757897	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
9	eye2	0.38515055	Rod	RHO,NRL,NR2E3,PDE6A,PDE6B,GNAT1
0	eye1	0.08366822	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
0	eye2	0.08189165	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
1	eye1	0.076939516	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
1	eye2	0.06783855	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
10	eye1	0.08221228	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
10	eye2	0.077163085	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
11	eye1	0.08753158	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
11	eye2	0.088983476	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
12	eye1	0.04402087	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
12	eye2	0.043323856	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
13	eye1	0.07585169	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
13	eye2	0.052041616	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
14	eye1	0.052063618	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
14	eye2	0.044858582	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
15	eye1	0.06379015	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
15	eye2	0.033451878	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
16	eye1	0.072366595	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
16	eye2	0.08173075	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
17	eye1	0.065567866	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
17	eye2	0.061804555	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
18	eye1	0.04984312	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
18	eye2	0.043353114	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
19	eye1	0.09592294	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
19	eye2	0.059247106	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
2	eye1	0.07904747	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
2	eye2	0.07387354	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
20	eye1	0.06638832	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
20	eye2	0.08652961	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
21	eye1	0.019510595	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
21	eye2	0.047711946	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
22	eye1	0.050118465	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
22	eye2	0.0440279	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
23	eye1	0.41890374	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
23	eye2	0.5843605	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
24	eye1	0.04990747	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
24	eye2	0.086159445	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
25	eye1	0.05871897	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
25	eye2	0.028892873	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
3	eye1	0.070866615	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
3	eye2	0.08720168	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
4	eye1	0.06095975	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
4	eye2	0.0724533	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
5	eye1	0.07532568	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
5	eye2	0.072196566	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
6	eye1	0.08518834	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
6	eye2	0.07118695	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
7	eye1	0.074801564	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
7	eye2	0.07966737	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
8	eye1	0.08072508	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
8	eye2	0.09083777	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
9	eye1	1.2811353	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
9	eye2	1.2019061	Cone	OPN1SW,OPN1MW,OPN1LW,GNAT2,PDE6H,ARR3
0	eye1	0.30312192	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
0	eye2	0.28495106	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
1	eye1	0.25147837	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
1	eye2	0.21218888	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
10	eye1	1.5102819	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
10	eye2	1.5117153	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
11	eye1	0.22987165	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
11	eye2	0.19847089	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
12	eye1	0.7788666	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
12	eye2	0.73453295	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
13	eye1	0.14599988	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
13	eye2	0.1345372	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
14	eye1	1.0563123	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
14	eye2	1.0390015	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
15	eye1	0.041000225	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
15	eye2	0.048677098	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
16	eye1	0.102232024	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
16	eye2	0.12020912	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
17	eye1	0.8198622	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
17	eye2	0.8395685	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
18	eye1	1.2007755	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
18	eye2	1.2030189	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
19	eye1	0.15673512	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
19	eye2	0.1144688	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
2	eye1	0.28354952	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
2	eye2	0.26587072	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
20	eye1	1.1700705	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
20	eye2	1.2026577	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
21	eye1	0.8199362	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
21	eye2	0.7725388	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
22	eye1	0.8037902	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
22	eye2	0.82988435	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
23	eye1	0.70581955	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
23	eye2	0.631756	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
24	eye1	0.0958257	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
24	eye2	0.081824526	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
25	eye1	0.05868852	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
25	eye2	0.05683618	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
3	eye1	0.27744758	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
3	eye2	0.23068321	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
4	eye1	0.2722037	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
4	eye2	0.24545829	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
5	eye1	0.2684408	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
5	eye2	0.2305086	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
6	eye1	0.2526777	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
6	eye2	0.2336689	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
7	eye1	0.27886888	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
7	eye2	0.25164214	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
8	eye1	0.18955709	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
8	eye2	0.19728969	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
9	eye1	0.1693746	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
9	eye2	0.1445275	Bipolar	VSX2,OTX2,GRIK1,CABP5,TRPM1,ISL1,PRKCA,GRM6
0	eye1	0.011413473	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
0	eye2	0.021399526	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
1	eye1	0.012885623	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
1	eye2	0.01606077	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
10	eye1	0.018836152	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
10	eye2	0.016774844	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
11	eye1	0.010531171	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
11	eye2	0.01564233	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
12	eye1	0.020863153	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
12	eye2	0.022542404	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
13	eye1	0.1292858	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
13	eye2	0.08918238	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
14	eye1	0.015886214	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
14	eye2	0.025455764	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
15	eye1	0.04947591	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
15	eye2	0.05302124	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
16	eye1	0.045187578	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
16	eye2	0.046605702	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
17	eye1	0.028527642	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
17	eye2	0.03306295	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
18	eye1	0.057679962	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
18	eye2	0.03217871	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
19	eye1	0.044592228	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
19	eye2	0.035818238	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
2	eye1	0.012261876	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
2	eye2	0.01955928	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
20	eye1	0.022916425	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
20	eye2	0.015714398	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
21	eye1	0.011829024	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
21	eye2	0.022541761	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
22	eye1	0.024240248	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
22	eye2	0.022392983	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
23	eye1	0.024524022	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
23	eye2	0.006796103	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
24	eye1	0.18568486	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
24	eye2	0.19821402	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
25	eye1	0.07970288	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
25	eye2	0.009519891	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
3	eye1	0.01631073	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
3	eye2	0.01777747	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
4	eye1	0.014430753	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
4	eye2	0.017948614	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
5	eye1	0.010741647	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
5	eye2	0.016109042	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
6	eye1	0.012905631	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
6	eye2	0.012231762	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
7	eye1	0.012108759	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
7	eye2	0.014934253	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
8	eye1	0.029057495	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
8	eye2	0.0220193	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
9	eye1	0.028267091	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
9	eye2	0.01995337	RGC	RBPMS,POU4F2,SLC17A6,THY1,NEFL,NEFM
0	eye1	0.015367916	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
0	eye2	0.016882848	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
1	eye1	0.013836586	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
1	eye2	0.0175152	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
10	eye1	0.02328652	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
10	eye2	0.022195484	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
11	eye1	0.0076315952	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
11	eye2	0.014728166	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
12	eye1	0.015864229	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
12	eye2	0.01941655	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
13	eye1	0.32131153	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
13	eye2	0.26108822	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
14	eye1	0.01568563	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
14	eye2	0.010703155	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
15	eye1	0.09568799	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
15	eye2	0.055176064	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
16	eye1	0.77854747	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
16	eye2	0.69540995	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
17	eye1	0.015204557	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
17	eye2	0.012182291	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
18	eye1	0.00665192	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
18	eye2	0.0029351336	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
19	eye1	0.26246732	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
19	eye2	0.24422735	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
2	eye1	0.0131546	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
2	eye2	0.016779909	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
20	eye1	0.011362191	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
20	eye2	0.04152367	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
21	eye1	0.0053764204	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
21	eye2	0.0033655702	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
22	eye1	0.4261372	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
22	eye2	0.29495195	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
23	eye1	0.05651613	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
23	eye2	0.05707002	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
24	eye1	0.03318115	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
24	eye2	0.03412273	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
25	eye1	0.122490704	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
25	eye2	0.028304158	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
3	eye1	0.007946906	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
3	eye2	0.020876657	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
4	eye1	0.016156584	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
4	eye2	0.012371717	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
5	eye1	0.0113534145	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
5	eye2	0.021207666	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
6	eye1	0.014364911	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
6	eye2	0.021903204	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
7	eye1	0.013413823	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
7	eye2	0.011912458	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
8	eye1	0.029660664	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
8	eye2	0.029199202	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
9	eye1	0.09518973	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
9	eye2	0.09516842	Horizontal	ONECUT1,LHX1,CALB1,SNCG,GAD1
0	eye1	0.006575837	Immune_T	CD3D,CD3E,CD2,CD4,CD8A
0	eye2	0.0043277238	Immune_T	CD3D,CD3E,CD2,CD4,CD8A
1	eye1	0.0040793964	Immune_T	CD3D,CD3E,CD2,CD4,CD8A
